Orthogroup	schistosoma_mansoni	opisthorchis_viverrini
OG0003470	Smp_333890.1	T265_11547, T265_11549
OG0003471	Smp_066260.1	T265_11489
OG0003472	Smp_011710.1	T265_15369
OG0003473	Smp_247530.1, Smp_247530.2	T265_12937
OG0003474	Smp_139900.1	T265_02823
OG0003475	Smp_163220.1	T265_09374
OG0003476	Smp_196920.1	T265_09472, T265_12155
OG0003477	Smp_050880.2, Smp_050880.1	T265_01902
OG0003478	Smp_304660.1, Smp_306210.1	T265_08469
OG0003479	Smp_141320.1	T265_13318
OG0003480	Smp_000110.1	T265_09876, T265_14913
OG0003482	Smp_267090.1	T265_05343
OG0003483	Smp_336350.1	T265_13053
OG0003484	Smp_242630.1	T265_06650
OG0003485	Smp_343680.1	T265_13645, T265_13644
OG0003486	Smp_072560.1	T265_13646
OG0003487	Smp_166980.1	T265_08087, T265_10196
OG0003488	Smp_047240.1	T265_09073
OG0003489	Smp_096780.1	T265_00323
OG0003490	Smp_011560.1	T265_03113
OG0003491	Smp_340850.1	T265_04324
OG0003492	Smp_018570.1	T265_02536
OG0003493	Smp_317670.1, Smp_342590.1	T265_11233
OG0003494	Smp_175660.1, Smp_175660.2	T265_08759
OG0003495	Smp_139070.1	T265_04558
OG0003496	Smp_160850.1	T265_02588
OG0003497	Smp_037460.1	T265_00036
OG0003498	Smp_053160.1	T265_02133
OG0003499	Smp_129450.1	T265_13442
OG0003500	Smp_026280.1, Smp_026280.2	T265_07015
OG0003501	Smp_169610.1	T265_10024
OG0003502	Smp_120080.1	T265_13592
OG0003503	Smp_172730.1	T265_13487
OG0003505	Smp_172990.1	T265_12248, T265_00127, T265_16214
OG0003507	Smp_031220.1	T265_04937
OG0003508	Smp_027080.1	T265_02519
OG0003509	Smp_142250.1	T265_15081
OG0003510	Smp_170230.1	T265_09042
OG0003511	Smp_018870.1	T265_13027
OG0003513	Smp_313310.1	T265_09089
OG0003515	Smp_033350.1	T265_06621
OG0003516	Smp_023270.1	T265_10171
OG0003517	Smp_346540.1	T265_06615
OG0003518	Smp_247790.1	T265_08612
OG0003519	Smp_068110.1	T265_05628
OG0003520	Smp_160000.1	T265_01815
OG0003521	Smp_061970.1	T265_04411
OG0003522	Smp_170690.1	T265_13909
OG0003523	Smp_212140.1	T265_01345
OG0003524	Smp_013360.1, Smp_013360.2	T265_00504
OG0003525	Smp_198680.1, Smp_198680.2	T265_01893, T265_08418
OG0003526	Smp_200410.1	T265_08334
OG0003527	Smp_055760.1	T265_11499, T265_16069
OG0003528	Smp_015530.1	T265_11428
OG0003529	Smp_121320.1	T265_15692, T265_15691
OG0003530	Smp_138290.1	T265_01532
OG0003531	Smp_214290.1	T265_04537
OG0003532	Smp_043500.1, Smp_043500.2	T265_15073, T265_10184
OG0003533	Smp_345270.1	T265_08083
OG0003534	Smp_172210.1, Smp_172210.2, Smp_172210.3	T265_14367
OG0003535	Smp_097590.1	T265_13748, T265_13749
OG0003536	Smp_132350.1	T265_03943
OG0003537	Smp_167450.1	T265_08781, T265_14670
OG0003540	Smp_093100.1, Smp_348830.1	T265_06653
OG0003541	Smp_074140.1	T265_08893
OG0003542	Smp_063390.1	T265_00656, T265_13990
OG0003543	Smp_046880.1	T265_08692
OG0003544	Smp_171280.1	T265_11978
OG0003545	Smp_076040.1	T265_05565
OG0003547	Smp_304870.1	T265_13128
OG0003548	Smp_345530.1	T265_15344
OG0003549	Smp_080730.1	T265_08011
OG0003553	Smp_346090.1	T265_10953
OG0003554	Smp_340030.1	T265_05158
OG0003555	Smp_334280.1	T265_00079
OG0003556	Smp_018550.1	T265_02539
OG0003557	Smp_021080.1	T265_02901
OG0003558	Smp_176490.1, Smp_176490.2	T265_03991
OG0003559	Smp_247640.1	T265_13234
OG0003560	Smp_341430.1	T265_14817
OG0003577	Smp_135080.1	T265_04132
OG0003580	Smp_054340.1	T265_10604
OG0003581	Smp_169180.1	T265_10913, T265_14331
OG0003582	Smp_349410.1	T265_06314, T265_12092, T265_15431
OG0003583	Smp_242530.1, Smp_242530.2, Smp_242530.3	T265_14147
OG0003584	Smp_174780.1	T265_10564
OG0003585	Smp_321250.1	T265_07130
OG0003586	Smp_075870.1	T265_05888
OG0003587	Smp_165460.1	T265_00983, T265_06561
OG0003588	Smp_038965.1, Smp_038980.1	T265_14600
OG0003590	Smp_006195.1, Smp_342170.1	T265_02486
OG0003591	Smp_124460.1	T265_01108
OG0003593	Smp_114160.1	T265_14611
OG0003594	Smp_024360.1	T265_15427
OG0003595	Smp_166200.1	T265_07915
OG0003596	Smp_148400.1, Smp_148400.2	T265_00838
OG0003597	Smp_334160.1, Smp_334160.2	T265_14097
OG0003598	Smp_000050.1	T265_14336
OG0003599	Smp_157230.1	T265_14959
OG0003600	Smp_246330.1	T265_05129
OG0003601	Smp_097730.1	T265_07052
OG0003602	Smp_342670.1	T265_02041
OG0003603	Smp_248170.1	T265_05734
OG0003605	Smp_060170.1	T265_11576
OG0003606	Smp_083150.1	T265_10609
OG0003607	Smp_159450.1	T265_13798
OG0003608	Smp_132620.1	T265_00734
OG0003609	Smp_159570.1	T265_07040
OG0003610	Smp_138890.3, Smp_138890.1, Smp_138890.2	T265_05958
OG0003611	Smp_043780.1	T265_08091
OG0003612	Smp_333520.1, Smp_167470.1	T265_13022, T265_02498
OG0003613	Smp_100110.1	T265_04789
OG0003615	Smp_332550.1, Smp_332550.2	T265_04147
OG0003616	Smp_323920.1	T265_03030
OG0003617	Smp_246900.1	T265_03178
OG0003618	Smp_176430.1	T265_03758
OG0003619	Smp_079920.1	T265_01591, T265_07717
OG0003620	Smp_065290.1	T265_13102
OG0003621	Smp_145740.1	T265_01334
OG0003622	Smp_316800.1, Smp_102340.1	T265_02194
OG0003623	Smp_004170.1	T265_13109
OG0003624	Smp_017890.1	T265_09870
OG0003625	Smp_174690.1	T265_09174
OG0003626	Smp_081820.1	T265_14517
OG0003627	Smp_334630.1	T265_08254
OG0003629	Smp_053470.1	T265_01597
OG0003630	Smp_332470.1	T265_00552
OG0003631	Smp_055130.1	T265_05474
OG0003632	Smp_144450.1, Smp_144450.2	T265_01555
OG0003633	Smp_128750.1	T265_00479
OG0003634	Smp_343750.1	T265_13087
OG0003635	Smp_095650.1	T265_15443, T265_02172, T265_03007, T265_06156
OG0003636	Smp_336730.1	T265_14928
OG0003637	Smp_000320.1	T265_15655
OG0003638	Smp_245900.1	T265_05106
OG0003639	Smp_044810.1	T265_05104, T265_16000
OG0003640	Smp_245290.1	T265_01012
OG0003641	Smp_053640.1, Smp_053640.2	T265_02862
OG0003642	Smp_336050.1	T265_12743, T265_01199
OG0003643	Smp_168520.1	T265_00281
OG0003645	Smp_213020.1	T265_00160, T265_00162
OG0003646	Smp_154830.1	T265_03853
OG0003647	Smp_244380.1	T265_11848, T265_15568
OG0003648	Smp_165840.1	T265_10268
OG0003649	Smp_160780.1	T265_00575
OG0003650	Smp_306180.1	T265_15117
OG0003651	Smp_001560.1	T265_13683
OG0003652	Smp_318800.1	T265_00794, T265_12637
OG0003653	Smp_213920.1, Smp_213930.1	T265_02615
OG0003654	Smp_138430.1	T265_08494
OG0003655	Smp_173180.1	T265_05208
OG0003656	Smp_036020.1, Smp_036020.2	T265_03290
OG0003657	Smp_304220.1, Smp_304210.1	T265_11037
OG0003658	Smp_211060.1	T265_07445
OG0003659	Smp_165340.1	T265_02794
OG0003660	Smp_213750.1	T265_00788, T265_02325
OG0003661	Smp_146630.1	T265_00438
OG0003662	Smp_085910.1	T265_11677
OG0003663	Smp_241510.1	T265_15278
OG0003665	Smp_146690.1	T265_12643, T265_12644
OG0003666	Smp_347290.1	T265_08460, T265_13632
OG0003668	Smp_146400.2, Smp_146400.1	T265_03603
OG0003669	Smp_137720.1	T265_00288
OG0003670	Smp_181490.1	T265_08934
OG0003671	Smp_247810.1	T265_01972
OG0003672	Smp_140110.1	T265_14717
OG0003674	Smp_305430.1	T265_13658, T265_04998
OG0003676	Smp_140040.1, Smp_140040.2	T265_16358, T265_11520, T265_16124
OG0003677	Smp_344410.1	T265_09034
OG0003678	Smp_346630.1	T265_10342
OG0003679	Smp_131770.1, Smp_131770.2	T265_11802
OG0003680	Smp_083790.1	T265_02876
OG0003681	Smp_123280.1	T265_09754
OG0003683	Smp_133800.1	T265_06872
OG0003684	Smp_034430.1	T265_15486
OG0003685	Smp_084600.1	T265_04088
OG0003686	Smp_147020.1	T265_04768
OG0003687	Smp_172240.1	T265_08327
OG0003688	Smp_101370.2, Smp_101370.1	T265_01680
OG0003689	Smp_106060.1	T265_15525, T265_11754
OG0003690	Smp_316380.1	T265_11143, T265_15936
OG0003691	Smp_031730.1	T265_05651
OG0003692	Smp_141680.1	T265_08242
OG0003693	Smp_012380.1	T265_08095
OG0003694	Smp_171070.1	T265_07501
OG0003695	Smp_336330.1	T265_09288
OG0003696	Smp_176100.1, Smp_176100.2	T265_00034
OG0003697	Smp_342820.1	T265_06827, T265_14149
OG0003698	Smp_344520.1	T265_15116
OG0003699	Smp_033680.1	T265_07037
OG0003700	Smp_131700.1	T265_10146
OG0003701	Smp_337370.1	T265_01634
OG0003703	Smp_305875.1, Smp_305875.2	T265_07221, T265_16143
OG0003704	Smp_093580.1	T265_06510
OG0003705	Smp_118220.1	T265_07049
OG0003706	Smp_098450.1	T265_04171
OG0003708	Smp_162620.1	T265_07688
OG0003709	Smp_176200.1	T265_04308, T265_04657, T265_14395
OG0003710	Smp_347110.1	T265_13051
OG0003711	Smp_000660.1	T265_05157
OG0003712	Smp_037400.1, Smp_037400.2	T265_13695
OG0003713	Smp_091740.1, Smp_091740.2	T265_07311
OG0003715	Smp_213720.1	T265_13324
OG0003717	Smp_150080.3, Smp_150080.2, Smp_150080.1	T265_14734
OG0003718	Smp_042390.1	T265_13675
OG0003719	Smp_129640.1	T265_09180
OG0003720	Smp_066330.1	T265_06792
OG0003721	Smp_127080.1	T265_02624
OG0003723	Smp_130270.2, Smp_130270.1, Smp_130270.3	T265_07088
OG0003724	Smp_076010.1	T265_09063
OG0003725	Smp_067540.1	T265_09685
OG0003726	Smp_047620.1	T265_03314
OG0003727	Smp_178710.1	T265_10556
OG0003728	Smp_032320.2	T265_02271
OG0003729	Smp_011860.1	T265_10965
OG0003730	Smp_180430.1	T265_14130
OG0003731	Smp_334510.1	T265_13642
OG0003732	Smp_125670.1	T265_13560
OG0003733	Smp_311890.1, Smp_315980.1	T265_01595
OG0003734	Smp_322280.1, Smp_022500.1	T265_09564
OG0003735	Smp_347010.1	T265_06408
OG0003736	Smp_000910.1	T265_12784
OG0003737	Smp_176230.1	T265_14236, T265_15927
OG0003738	Smp_332700.1	T265_05054
OG0003739	Smp_144870.1	T265_15441
OG0003740	Smp_159730.1	T265_12173, T265_02122, T265_16241
OG0003742	Smp_167520.1	T265_00182
OG0003743	Smp_156280.1	T265_01139
OG0003744	Smp_161850.1	T265_08995
OG0003745	Smp_128990.1	T265_08231
OG0003746	Smp_171670.1	T265_15392
OG0003747	Smp_213680.1	T265_02110
OG0003748	Smp_343160.1	T265_06307
OG0003749	Smp_162910.1	T265_02264
OG0003750	Smp_247370.1	T265_03282
OG0003751	Smp_133380.1	T265_03402
OG0003752	Smp_167170.1	T265_08865
OG0003754	Smp_160530.1	T265_07808
OG0003755	Smp_153250.1	T265_06436
OG0003756	Smp_341570.1	T265_08406
OG0003757	Smp_072440.1	T265_03497
OG0003759	Smp_212710.1	T265_05181
OG0003760	Smp_157470.1	T265_10848, T265_05509, T265_09336
OG0003761	Smp_004260.1	T265_08834
OG0003762	Smp_138920.1	T265_11768
OG0003763	Smp_211320.2, Smp_211320.1	T265_02568
OG0003764	Smp_170340.1	T265_02610
OG0003766	Smp_133600.1	T265_09173
OG0003767	Smp_074040.1	T265_00597
OG0003768	Smp_169480.1, Smp_169480.2	T265_15091
OG0003769	Smp_124130.1	T265_05416
OG0003770	Smp_141000.1, Smp_141000.2	T265_03594
OG0003771	Smp_096160.1	T265_15770, T265_15771
OG0003772	Smp_245550.2, Smp_245550.1	T265_00071
OG0003773	Smp_036370.1	T265_07529, T265_07530
OG0003774	Smp_312760.1	T265_01329
OG0003775	Smp_050350.1	T265_09155, T265_08355
OG0003776	Smp_342730.1	T265_14561
OG0003777	Smp_105690.1	T265_01583
OG0003778	Smp_130280.3, Smp_130280.2, Smp_130280.1	T265_07089
OG0003779	Smp_153520.1	T265_05531
OG0003780	Smp_120960.1, Smp_326430.1	T265_13360
OG0003781	Smp_168400.1	T265_04246
OG0003782	Smp_066630.1	T265_06846
OG0003783	Smp_242220.1	T265_12559
OG0003784	Smp_017360.1	T265_00146, T265_12352, T265_15752
OG0003785	Smp_017520.1	T265_04718
OG0003786	Smp_197540.1	T265_01448
OG0003787	Smp_077180.1	T265_10458, T265_11182
OG0003788	Smp_148790.1	T265_11551
OG0003789	Smp_304910.1	T265_11782
OG0003790	Smp_097280.1	T265_07338
OG0003792	Smp_142490.1	T265_07300
OG0003794	Smp_088310.1	T265_07116
OG0003795	Smp_337530.1	T265_08168
OG0003796	Smp_123630.1	T265_11530, T265_11441, T265_11529
OG0003797	Smp_313320.1	T265_13903
OG0003798	Smp_068840.1, Smp_068840.2	T265_09175
OG0003799	Smp_348340.1	T265_02377
OG0003800	Smp_164200.1	T265_05983
OG0003801	Smp_012410.1	T265_08096
OG0003802	Smp_015980.1	T265_03294
OG0003803	Smp_165780.1	T265_09049
OG0003804	Smp_024240.1	T265_12924
OG0003805	Smp_015880.1	T265_00258
OG0003806	Smp_066410.1	T265_00275
OG0003807	Smp_008140.1	T265_15782
OG0003809	Smp_126750.1	T265_02345
OG0003814	Smp_150580.1	T265_06383
OG0003827	Smp_129830.1	T265_13331
OG0003828	Smp_158480.1	T265_02993, T265_03636, T265_02995, T265_03637
OG0003829	Smp_171940.1	T265_10436
OG0003830	Smp_061870.1	T265_09055
OG0003831	Smp_170540.1	T265_11014, T265_11015
OG0003832	Smp_125160.1	T265_10860
OG0003834	Smp_336830.1	T265_05544
OG0003835	Smp_054320.1	T265_11735
OG0003836	Smp_129870.1	T265_08888
OG0003837	Smp_148700.1	T265_06035, T265_09723
OG0003838	Smp_345410.1	T265_07776
OG0003839	Smp_132000.1	T265_05240
OG0003840	Smp_072630.1, Smp_337020.1, Smp_337030.1	T265_14592
OG0003842	Smp_347770.1	T265_15056, T265_08637, T265_08638
OG0003843	Smp_145600.1	T265_14168
OG0003844	Smp_008430.1	T265_00713
OG0003845	Smp_307070.1	T265_02625
OG0003846	Smp_241480.1	T265_06818
OG0003847	Smp_346300.1	T265_10563
OG0003848	Smp_133350.1	T265_07131
OG0003849	Smp_143750.1	T265_15329
OG0003850	Smp_196950.1, Smp_196950.2	T265_00751
OG0003851	Smp_347810.1	T265_05837, T265_13888
OG0003852	Smp_318140.1, Smp_318130.1	T265_14491
OG0003853	Smp_332390.1, Smp_332390.2	T265_08362
OG0003854	Smp_308980.1, Smp_309000.1	T265_03170, T265_03168, T265_03171, T265_03169
OG0003855	Smp_172110.1	T265_12068
OG0003856	Smp_343650.1	T265_10681
OG0003857	Smp_160710.1	T265_05336
OG0003858	Smp_083200.1	T265_07459
OG0003859	Smp_243690.1	T265_03929
OG0003860	Smp_170320.1	T265_02613
OG0003861	Smp_068120.1	T265_01889
OG0003863	Smp_099170.1	T265_05699
OG0003864	Smp_329570.3, Smp_329570.1, Smp_329570.2	T265_00327
OG0003865	Smp_300770.1, Smp_300770.2, Smp_318150.1	T265_16087
OG0003866	Smp_093700.1	T265_03366
OG0003867	Smp_004600.1	T265_00021
OG0003868	Smp_018640.1	T265_03172
OG0003869	Smp_159140.1	T265_12812
OG0003872	Smp_246110.1	T265_01200
OG0003873	Smp_334460.1	T265_14902
OG0003874	Smp_005520.1	T265_09712
OG0003875	Smp_077980.1	T265_05982
OG0003876	Smp_048380.1	T265_06523
OG0003877	Smp_013610.1	T265_01126
OG0003878	Smp_347790.1	T265_12724
OG0003879	Smp_151070.1	T265_09833
OG0003881	Smp_018400.1	T265_02017
OG0003882	Smp_203310.1	T265_03801
OG0003883	Smp_132210.1	T265_04185
OG0003884	Smp_056260.2, Smp_056260.1	T265_05578
OG0003885	Smp_002080.1	T265_07522
OG0003886	Smp_343460.1	T265_14515, T265_16100, T265_16102
OG0003887	Smp_343240.1	T265_02629, T265_13056
OG0003888	Smp_064250.1	T265_02628
OG0003889	Smp_145540.1	T265_02775
OG0003890	Smp_051300.1	T265_13252
OG0003891	Smp_163250.1	T265_09065
OG0003892	Smp_147110.1	T265_05178
OG0003894	Smp_158290.1	T265_12868
OG0003895	Smp_130160.1	T265_03559
OG0003896	Smp_148470.1	T265_01211
OG0003897	Smp_311940.1, Smp_311150.1	T265_10035, T265_04263
OG0003899	Smp_130180.1	T265_07211
OG0003900	Smp_333740.1	T265_10723
OG0003902	Smp_165700.1	T265_13594, T265_16150
OG0003903	Smp_165870.1	T265_09767
OG0003904	Smp_083970.1	T265_12792
OG0003905	Smp_041190.1	T265_02716
OG0003906	Smp_180060.1	T265_15259
OG0003907	Smp_048620.1	T265_08382
OG0003908	Smp_337110.1	T265_13254
OG0003909	Smp_132690.1	T265_14652
OG0003910	Smp_133940.1	T265_14467
OG0003911	Smp_072180.1	T265_07148
OG0003912	Smp_149160.1	T265_01757
OG0003913	Smp_129000.1	T265_15870, T265_13380, T265_13379
OG0003914	Smp_337060.1	T265_02342
OG0003915	Smp_037230.1	T265_02343
OG0003916	Smp_247720.1	T265_04956
OG0003917	Smp_018220.1	T265_00965
OG0003918	Smp_124450.1	T265_11784
OG0003919	Smp_340670.1	T265_08326
OG0003920	Smp_176540.1	T265_06647
OG0003921	Smp_169470.1	T265_10885
OG0003922	Smp_167680.1	T265_01385
OG0003923	Smp_004080.1	T265_05966
OG0003924	Smp_021830.1	T265_01221
OG0003925	Smp_245840.2, Smp_245840.1, Smp_245840.3	T265_13740, T265_13742
OG0003926	Smp_341980.1	T265_03768
OG0003927	Smp_151570.1	T265_02043
OG0003928	Smp_172050.1	T265_09914
OG0003929	Smp_341520.1	T265_05791
OG0003930	Smp_053800.1	T265_10020
OG0003931	Smp_048970.1	T265_00356
OG0003932	Smp_337395.1	T265_06772, T265_09511
OG0003933	Smp_341230.1	T265_07605
OG0003934	Smp_344090.1	T265_00259
OG0003936	Smp_044530.1	T265_13452
OG0003937	Smp_245570.1	T265_13217, T265_13216
OG0003938	Smp_052230.1	T265_06118
OG0003939	Smp_144030.1	T265_16172
OG0003940	Smp_323540.1	T265_03321
OG0003941	Smp_139140.1, Smp_031390.1	T265_06268
OG0003942	Smp_001210.1	T265_13372
OG0003943	Smp_347720.1	T265_10688
OG0003945	Smp_158630.1	T265_13755, T265_13756
OG0003946	Smp_124320.1	T265_02108
OG0003947	Smp_154780.1	T265_05884
OG0003948	Smp_170400.1	T265_14150, T265_16082, T265_16108
OG0003949	Smp_047370.1	T265_05466, T265_16243
OG0003950	Smp_006350.1	T265_06273
OG0003951	Smp_350430.1, Smp_346010.1	T265_11981
OG0003952	Smp_172510.2, Smp_172510.1	T265_04156
OG0003953	Smp_070600.1	T265_11268
OG0003955	Smp_176310.1	T265_15588
OG0003956	Smp_085110.1	T265_00672
OG0003957	Smp_032060.1	T265_07581
OG0003958	Smp_161960.1	T265_04262
OG0003959	Smp_305770.1	T265_14829
OG0003960	Smp_082620.1	T265_13631
OG0003961	Smp_312610.1, Smp_312620.1	T265_14901, T265_16141
OG0003964	Smp_055900.1	T265_08186
OG0003965	Smp_163550.1	T265_05582
OG0003967	Smp_144070.1	T265_01515, T265_08210
OG0003968	Smp_204380.1	T265_08006
OG0003969	Smp_147090.1	T265_03015
OG0003970	Smp_164080.1	T265_14765
OG0003971	Smp_127520.1	T265_12912
OG0003972	Smp_196790.1	T265_10338
OG0003973	Smp_078110.2, Smp_078110.1	T265_05669
OG0003974	Smp_096910.1	T265_02855
OG0003975	Smp_302140.1	T265_04899, T265_04898
OG0003976	Smp_124030.1	T265_15106
OG0003977	Smp_179940.1	T265_00385
OG0003978	Smp_341120.1	T265_04067
OG0003979	Smp_242800.1, Smp_242800.2	T265_04589
OG0003980	Smp_340220.1	T265_05217
OG0003982	Smp_078730.1	T265_12819
OG0003983	Smp_018430.1	T265_03139
OG0003984	Smp_305070.1, Smp_322930.1	T265_08473
OG0003985	Smp_123610.1	T265_00185
OG0003986	Smp_079760.1	T265_00664
OG0003987	Smp_267280.1	T265_06432
OG0003988	Smp_210810.1, Smp_210810.2	T265_09190
OG0003989	Smp_138030.1	T265_13605
OG0003991	Smp_347610.1	T265_06214
OG0003992	Smp_073280.1	T265_00578
OG0003993	Smp_160700.1	T265_13785
OG0003994	Smp_161360.1	T265_04732
OG0003995	Smp_165660.1	T265_14455
OG0003996	Smp_318910.1	T265_01337
OG0003997	Smp_130600.1	T265_01440
OG0003999	Smp_176090.1	T265_06186
OG0004000	Smp_342690.1, Smp_342690.2	T265_11435
OG0004001	Smp_133660.1	T265_03300
OG0004002	Smp_007970.1	T265_12865
OG0004003	Smp_318970.1	T265_09720
OG0004004	Smp_086900.1	T265_10247
OG0004005	Smp_142670.1	T265_01501
OG0004006	Smp_057090.1	T265_11320
OG0004007	Smp_148830.1	T265_00321
OG0004008	Smp_003130.1	T265_07509
OG0004009	Smp_125300.1	T265_05235
OG0004010	Smp_087760.1	T265_10401
OG0004011	Smp_247600.1, Smp_247600.2	T265_15136
OG0004013	Smp_347390.1	T265_06164
OG0004015	Smp_300790.1, Smp_332960.1	T265_14492
OG0004016	Smp_342830.1	T265_06913
OG0004018	Smp_123190.1	T265_09487
OG0004019	Smp_172250.1	T265_04159
OG0004023	Smp_308270.1	T265_10136
OG0004024	Smp_152350.1	T265_15006
OG0004025	Smp_070310.1	T265_15600
OG0004026	Smp_345580.1	T265_07030
OG0004027	Smp_334290.1	T265_06744, T265_06749
OG0004029	Smp_063040.1	T265_12763
OG0004030	Smp_331820.2, Smp_331820.1	T265_09691
OG0004031	Smp_126690.1	T265_10121
OG0004032	Smp_305720.1	T265_13989
OG0004033	Smp_302450.1, Smp_302480.2, Smp_302480.1	T265_03646
OG0004034	Smp_127160.1	T265_11229
OG0004035	Smp_179560.1	T265_01826
OG0004036	Smp_084610.1	T265_05064
OG0004037	Smp_015710.1	T265_06695
OG0004038	Smp_310600.1, Smp_310580.1	T265_15026
OG0004039	Smp_053230.1	T265_11226
OG0004040	Smp_082860.1	T265_09084
OG0004041	Smp_308370.1	T265_07133
OG0004042	Smp_030010.1	T265_07612
OG0004043	Smp_094950.1	T265_13544
OG0004044	Smp_341680.1	T265_10408
OG0004045	Smp_048660.1	T265_07773
OG0004046	Smp_173550.1	T265_10261
OG0004047	Smp_144250.1	T265_11840
OG0004048	Smp_073880.1	T265_01163
OG0004049	Smp_041390.1	T265_14846
OG0004050	Smp_042110.1	T265_05910
OG0004051	Smp_052330.1	T265_14071
OG0004053	Smp_149480.1	T265_00562
OG0004054	Smp_103560.1, Smp_103560.2	T265_11970, T265_12010
OG0004055	Smp_196110.1	T265_09068
OG0004056	Smp_143460.1	T265_02438
OG0004057	Smp_328060.1, Smp_147350.1	T265_06863
OG0004058	Smp_066900.1	T265_06127
OG0004059	Smp_211130.1	T265_07021
OG0004060	Smp_028340.1	T265_06303
OG0004061	Smp_080840.1	T265_15066
OG0004062	Smp_080850.1	T265_10152
OG0004063	Smp_048520.2, Smp_048520.1	T265_00247
OG0004064	Smp_180000.1, Smp_350050.1	T265_14496
OG0004065	Smp_153560.1, Smp_153560.2	T265_15656
OG0004066	Smp_316580.1	T265_10462
OG0004067	Smp_153500.1	T265_00908, T265_12667
OG0004068	Smp_042680.1	T265_13907
OG0004069	Smp_032720.1	T265_07421
OG0004070	Smp_318470.1	T265_01954, T265_14283
OG0004071	Smp_318000.1, Smp_316640.1	T265_11410
OG0004072	Smp_019280.1	T265_00733
OG0004073	Smp_200240.1, Smp_001000.1	T265_01174
OG0004089	Smp_085640.1	T265_13365
OG0004090	Smp_059600.1	T265_02229, T265_16354
OG0004091	Smp_156150.1	T265_06336
OG0004092	Smp_151100.1	T265_02459
OG0004093	Smp_080180.1	T265_10684
OG0004095	Smp_244250.1	T265_04428
OG0004096	Smp_119110.1	T265_10832
OG0004097	Smp_211280.1	T265_06723
OG0004098	Smp_125460.1	T265_00462
OG0004099	Smp_332830.1	T265_10950
OG0004100	Smp_079240.1	T265_11652
OG0004101	Smp_181180.1, Smp_181180.2	T265_14006
OG0004102	Smp_020590.1	T265_16205
OG0004103	Smp_071020.1	T265_13771
OG0004105	Smp_246710.1	T265_13816
OG0004106	Smp_153090.1	T265_09532
OG0004107	Smp_306230.1, Smp_306230.2	T265_08527
OG0004108	Smp_179180.1	T265_03501
OG0004109	Smp_068100.1	T265_01896
OG0004110	Smp_153920.1	T265_14124
OG0004111	Smp_155810.1	T265_12464
OG0004112	Smp_196030.1	T265_06196, T265_15640
OG0004113	Smp_346480.1	T265_10735
OG0004114	Smp_049010.1	T265_00417
OG0004115	Smp_000070.1	T265_07618
OG0004116	Smp_143940.1	T265_14856
OG0004117	Smp_245370.1	T265_13258
OG0004118	Smp_144210.1	T265_04082
OG0004120	Smp_126110.1	T265_08318
OG0004122	Smp_105360.1	T265_07472
OG0004123	Smp_151320.1	T265_06900
OG0004125	Smp_155790.1	T265_05718
OG0004126	Smp_155860.1	T265_00012
OG0004127	Smp_017640.1	T265_07518
OG0004128	Smp_345350.1	T265_10514, T265_15170
OG0004129	Smp_128200.1	T265_08402
OG0004130	Smp_211170.1	T265_14412
OG0004131	Smp_176040.1	T265_00896
OG0004132	Smp_174700.1	T265_03785
OG0004134	Smp_173760.1	T265_10819
OG0004135	Smp_196620.1	T265_05000
OG0004136	Smp_197690.1	T265_12875
OG0004137	Smp_071390.1	T265_08007
OG0004139	Smp_012930.1	T265_06601
OG0004140	Smp_146120.1	T265_03524
OG0004141	Smp_129810.1	T265_10583
OG0004142	Smp_125640.1	T265_01654
OG0004143	Smp_341330.1	T265_14143
OG0004144	Smp_018940.1	T265_00492
OG0004145	Smp_070780.1	T265_13026
OG0004146	Smp_129010.1	T265_03626
OG0004147	Smp_021750.1	T265_08082
OG0004148	Smp_335120.2, Smp_335120.3, Smp_335120.1	T265_12921
OG0004149	Smp_323380.1, Smp_337410.1	T265_03110
OG0004150	Smp_180380.1	T265_04361
OG0004151	Smp_032640.1	T265_01198
OG0004152	Smp_153490.1	T265_11343
OG0004153	Smp_180260.1, Smp_052630.1	T265_02251
OG0004154	Smp_091010.1	T265_12101, T265_12303
OG0004155	Smp_242140.1	T265_01949, T265_01948
OG0004156	Smp_138760.1	T265_03364
OG0004157	Smp_032490.1	T265_09215
OG0004158	Smp_104680.1	T265_13415
OG0004159	Smp_115340.1	T265_11617, T265_12729
OG0004160	Smp_174370.1	T265_14169
OG0004161	Smp_025100.1	T265_11847
OG0004163	Smp_313210.1	T265_02001
OG0004164	Smp_305740.2, Smp_305740.1	T265_14364
OG0004165	Smp_332490.1	T265_13867, T265_13868, T265_13084
OG0004166	Smp_104790.1	T265_12680
OG0004167	Smp_128440.1	T265_00254
OG0004168	Smp_300370.1, Smp_332780.1	T265_04759
OG0004169	Smp_006550.1	T265_02972
OG0004170	Smp_247540.1	T265_02137
OG0004171	Smp_169990.1	T265_03809
OG0004172	Smp_042270.1	T265_01982
OG0004173	Smp_164950.1	T265_13455
OG0004174	Smp_002100.1	T265_10362
OG0004175	Smp_122960.1	T265_13069
OG0004176	Smp_157750.1	T265_04579
OG0004177	Smp_005260.1, Smp_005260.2	T265_15313
OG0004178	Smp_346440.1	T265_00496, T265_03495
OG0004179	Smp_247710.1	T265_10209
OG0004180	Smp_333600.1	T265_14191
OG0004182	Smp_169780.1	T265_05167
OG0004183	Smp_159620.1	T265_07332, T265_12052
