Orthogroup	schistosoma_mansoni	schistosoma_japonicum
OG0003801	Smp_012410.1	EWB00_010684.1, EWB00_010684.2, EWB00_010684.3
OG0003802	Smp_015980.1	EWB00_001220
OG0003803	Smp_165780.1	EWB00_009246.2, EWB00_009246.3, EWB00_009246.4, EWB00_009246.1, EWB00_009246.6, EWB00_009246.5
OG0003804	Smp_024240.1	EWB00_006457.1, EWB00_006457.2
OG0003805	Smp_015880.1	EWB00_005679
OG0003806	Smp_066410.1	EWB00_004442.1, EWB00_004442.2, EWB00_004443
OG0003807	Smp_008140.1	EWB00_005612.1, EWB00_005612.2, EWB00_005612.3
OG0003808	Smp_337490.1, Smp_337490.2	EWB00_002275
OG0003809	Smp_126750.1	EWB00_000951
OG0003811	Smp_341730.1	EWB00_005012.1, EWB00_005012.2, EWB00_005012.3, EWB00_005012.4
OG0003812	Smp_213690.1	EWB00_005241.1, EWB00_005241.2, EWB00_005241.3
OG0003814	Smp_150580.1	EWB00_001506.2, EWB00_001506.1, EWB00_001506.3
OG0003815	Smp_149410.1	EWB00_011390.1, EWB00_011390.2
OG0003816	Smp_121930.1, Smp_121930.2	EWB00_005172
OG0003817	Smp_308260.1	EWB00_011260.3, EWB00_011260.2, EWB00_011260.1
OG0003818	Smp_246240.1	EWB00_006079.2, EWB00_006079.1, EWB00_006079.3
OG0003819	Smp_035540.1	EWB00_003354.1, EWB00_003354.2
OG0003820	Smp_341130.1, Smp_316860.1, Smp_319970.1	EWB00_007665
OG0003821	Smp_131970.1	EWB00_008953.1, EWB00_008953.2
OG0003822	Smp_214090.1	EWB00_005887.1, EWB00_005887.3
OG0003827	Smp_129830.1	EWB00_006016
OG0003828	Smp_158480.1	EWB00_009130, EWB00_009129
OG0003829	Smp_171940.1	EWB00_008674.1, EWB00_008674.2
OG0003830	Smp_061870.1	EWB00_004192.1, EWB00_004192.2
OG0003831	Smp_170540.1	EWB00_009510
OG0003832	Smp_125160.1	EWB00_004787
OG0003833	Smp_303330.1	EWB00_004886
OG0003834	Smp_336830.1	EWB00_008633, EWB00_008632
OG0003835	Smp_054320.1	EWB00_010282.1, EWB00_010282.3, EWB00_010282.2
OG0003836	Smp_129870.1	EWB00_006020.1, EWB00_006020.2
OG0003837	Smp_148700.1	EWB00_003928.1, EWB00_003928.2
OG0003838	Smp_345410.1	EWB00_003701.1, EWB00_003701.2, EWB00_003701.3
OG0003839	Smp_132000.1	EWB00_002192, EWB00_002193
OG0003840	Smp_072630.1, Smp_337020.1, Smp_337030.1	EWB00_007664
OG0003841	Smp_141660.1	EWB00_004393
OG0003842	Smp_347770.1	EWB00_005988
OG0003843	Smp_145600.1	EWB00_008834.1, EWB00_008834.2
OG0003844	Smp_008430.1	EWB00_002130.1, EWB00_002130.2
OG0003845	Smp_307070.1	EWB00_008313
OG0003846	Smp_241480.1	EWB00_000107
OG0003847	Smp_346300.1	EWB00_011158
OG0003848	Smp_133350.1	EWB00_004934
OG0003849	Smp_143750.1	EWB00_010310
OG0003850	Smp_196950.1, Smp_196950.2	EWB00_007943
OG0003851	Smp_347810.1	EWB00_000395.1, EWB00_000395.2
OG0003852	Smp_318140.1, Smp_318130.1	EWB00_005883, EWB00_005884, EWB00_005882, EWB00_005881
OG0003853	Smp_332390.1, Smp_332390.2	EWB00_006670
OG0003854	Smp_308980.1, Smp_309000.1	EWB00_009805
OG0003855	Smp_172110.1	EWB00_007977.2, EWB00_007977.1, EWB00_007977.3
OG0003856	Smp_343650.1	EWB00_001328
OG0003857	Smp_160710.1	EWB00_009551.1, EWB00_009551.2, EWB00_009551.3, EWB00_009551.4, EWB00_009551.5
OG0003858	Smp_083200.1	EWB00_005924
OG0003859	Smp_243690.1	EWB00_007124
OG0003860	Smp_170320.1	EWB00_006202.1, EWB00_006202.2
OG0003861	Smp_068120.1	EWB00_007710
OG0003863	Smp_099170.1	EWB00_007564.2
OG0003865	Smp_300770.1, Smp_300770.2, Smp_318150.1	EWB00_005866.1, EWB00_005866.3, EWB00_005866.2
OG0003866	Smp_093700.1	EWB00_003913.1, EWB00_003913.4, EWB00_003913.2, EWB00_003913.3
OG0003867	Smp_004600.1	EWB00_006888.1, EWB00_006888.4, EWB00_006888.2, EWB00_006888.3
OG0003868	Smp_018640.1	EWB00_011354.1, EWB00_011354.2, EWB00_011354.3
OG0003869	Smp_159140.1	EWB00_008395.3, EWB00_008395.2, EWB00_008395.1
OG0003870	Smp_318110.1	EWB00_006041.1, EWB00_006041.2, EWB00_006041.3
OG0003871	Smp_071560.1	EWB00_002874
OG0003872	Smp_246110.1	EWB00_003568
OG0003873	Smp_334460.1	EWB00_008775
OG0003875	Smp_077980.1	EWB00_007096
OG0003876	Smp_048380.1	EWB00_006152.1, EWB00_006152.2
OG0003877	Smp_013610.1	EWB00_009177.1, EWB00_009177.2
OG0003878	Smp_347790.1	EWB00_009178
OG0003879	Smp_151070.1	EWB00_003492
OG0003880	Smp_141960.1	EWB00_002066
OG0003881	Smp_018400.1	EWB00_011332.1, EWB00_011332.3, EWB00_011332.2
OG0003882	Smp_203310.1	EWB00_005868.1, EWB00_005868.2
OG0003883	Smp_132210.1	EWB00_011321.2, EWB00_011321.1, EWB00_011321.3
OG0003884	Smp_056260.2, Smp_056260.1	EWB00_006990.1, EWB00_006990.2, EWB00_006990.3, EWB00_006990.4, EWB00_006990.5
OG0003885	Smp_002080.1	EWB00_006914.3, EWB00_006914.1, EWB00_006914.2
OG0003886	Smp_343460.1	EWB00_004392
OG0003887	Smp_343240.1	EWB00_003045
OG0003888	Smp_064250.1	EWB00_005898, EWB00_005075.1, EWB00_005075.2
OG0003889	Smp_145540.1	EWB00_007147.1, EWB00_007147.2
OG0003890	Smp_051300.1	EWB00_006435
OG0003891	Smp_163250.1	EWB00_003704.1, EWB00_003704.2
OG0003892	Smp_147110.1	EWB00_004872
OG0003894	Smp_158290.1	EWB00_008446.1, EWB00_008446.3, EWB00_008446.2, EWB00_008446.4, EWB00_008446.5
OG0003895	Smp_130160.1	EWB00_006795.1, EWB00_006795.2
OG0003896	Smp_148470.1	EWB00_010655.1, EWB00_010655.2
OG0003897	Smp_311940.1, Smp_311150.1	EWB00_009154.3, EWB00_009154.1, EWB00_009154.2
OG0003898	Smp_059920.1	EWB00_003094.1, EWB00_003094.2
OG0003899	Smp_130180.1	EWB00_006793
OG0003900	Smp_333740.1	EWB00_008548
OG0003902	Smp_165700.1	EWB00_000314
OG0003903	Smp_165870.1	EWB00_008924
OG0003904	Smp_083970.1	EWB00_006255.1, EWB00_006255.2
OG0003905	Smp_041190.1	EWB00_000552, EWB00_000553
OG0003907	Smp_048620.1	EWB00_003598.1, EWB00_003598.2, EWB00_003598.3
OG0003908	Smp_337110.1	EWB00_008568
OG0003909	Smp_132690.1	EWB00_004282.1
OG0003910	Smp_133940.1	EWB00_001202.1, EWB00_001202.2, EWB00_001202.4, EWB00_001202.3
OG0003911	Smp_072180.1	EWB00_007991.1, EWB00_007991.2, EWB00_007991.4, EWB00_007991.3
OG0003912	Smp_149160.1	EWB00_002288.1, EWB00_002288.2
OG0003913	Smp_129000.1	EWB00_002901.1, EWB00_002901.2
OG0003914	Smp_337060.1	EWB00_009669, EWB00_002785
OG0003915	Smp_037230.1	EWB00_000528
OG0003917	Smp_018220.1	EWB00_004210.1, EWB00_004210.2, EWB00_010603
OG0003918	Smp_124450.1	EWB00_003606.1, EWB00_003606.2
OG0003919	Smp_340670.1	EWB00_001779.2, EWB00_001779.4, EWB00_001779.1, EWB00_001779.3
OG0003920	Smp_176540.1	EWB00_007634, EWB00_007633
OG0003921	Smp_169470.1	EWB00_003667.1, EWB00_003667.2, EWB00_003667.3
OG0003922	Smp_167680.1	EWB00_006247
OG0003923	Smp_004080.1	EWB00_001116.1, EWB00_001116.2
OG0003924	Smp_021830.1	EWB00_001207.2, EWB00_001207.1, EWB00_001207.3
OG0003925	Smp_245840.2, Smp_245840.1, Smp_245840.3	EWB00_010627.1, EWB00_010627.2
OG0003926	Smp_341980.1	EWB00_000258, EWB00_000257.1, EWB00_000257.2, EWB00_000257.3, EWB00_000257.4, EWB00_000257.5
OG0003927	Smp_151570.1	EWB00_008556
OG0003928	Smp_172050.1	EWB00_007987
OG0003929	Smp_341520.1	EWB00_009265.1, EWB00_009265.2
OG0003930	Smp_053800.1	EWB00_003472.1, EWB00_003472.2
OG0003931	Smp_048970.1	EWB00_010615.1, EWB00_010615.3, EWB00_010615.2
OG0003932	Smp_337395.1	EWB00_004188.1, EWB00_004188.2
OG0003933	Smp_341230.1	EWB00_000008, EWB00_009721
OG0003934	Smp_344090.1	EWB00_003596.2, EWB00_003596.1, EWB00_003596.3
OG0003935	Smp_323340.1	EWB00_004206.3, EWB00_004206.1, EWB00_004206.2
OG0003936	Smp_044530.1	EWB00_005910
OG0003937	Smp_245570.1	EWB00_010776
OG0003938	Smp_052230.1	EWB00_006624
OG0003939	Smp_144030.1	EWB00_004488.1, EWB00_004488.3, EWB00_004488.2
OG0003940	Smp_323540.1	EWB00_010014
OG0003941	Smp_139140.1	EWB00_004841
OG0003941	Smp_031390.1	EWB00_004842
OG0003942	Smp_001210.1	EWB00_003638.1, EWB00_003638.2
OG0003943	Smp_347720.1	EWB00_004051
OG0003944	Smp_095920.1	EWB00_004052
OG0003945	Smp_158630.1	EWB00_007531
OG0003946	Smp_124320.1	EWB00_001125, EWB00_001124
OG0003947	Smp_154780.1	EWB00_007816
OG0003948	Smp_170400.1	EWB00_005142
OG0003949	Smp_047370.1	EWB00_008117.1, EWB00_008117.2, EWB00_008117.3
OG0003950	Smp_006350.1	EWB00_008455
OG0003951	Smp_350430.1, Smp_346010.1	EWB00_008072
OG0003952	Smp_172510.2, Smp_172510.1	EWB00_001856.1, EWB00_001856.2
OG0003953	Smp_070600.1	EWB00_006729.1, EWB00_006729.4, EWB00_006729.2, EWB00_006729.3, EWB00_006729.5
OG0003954	Smp_325960.1, Smp_342640.1	EWB00_011100, EWB00_011099
OG0003955	Smp_176310.1	EWB00_007597
OG0003956	Smp_085110.1	EWB00_000398.2, EWB00_000398.1, EWB00_000398.3, EWB00_000398.4
OG0003957	Smp_032060.1	EWB00_008169.1
OG0003958	Smp_161960.1	EWB00_004101.2, EWB00_004101.5, EWB00_004101.6, EWB00_004101.1, EWB00_004101.3, EWB00_004101.4
OG0003959	Smp_305770.1	EWB00_004638
OG0003960	Smp_082620.1	EWB00_006515.1, EWB00_006515.2
OG0003961	Smp_312610.1, Smp_312620.1	EWB00_008772
OG0003962	Smp_345240.1	EWB00_005979
OG0003963	Smp_344350.1	EWB00_008819
OG0003965	Smp_163550.1	EWB00_010883.1, EWB00_010883.2
OG0003966	Smp_322690.1	EWB00_008837.2
OG0003967	Smp_144070.1	EWB00_002798
OG0003968	Smp_204380.1	EWB00_007339.1, EWB00_007339.2, EWB00_007339.3, EWB00_007339.4, EWB00_007339.5
OG0003969	Smp_147090.1	EWB00_008405, EWB00_008406
OG0003970	Smp_164080.1	EWB00_000376
OG0003971	Smp_127520.1	EWB00_009792
OG0003972	Smp_196790.1	EWB00_007469.1, EWB00_007469.5, EWB00_007469.4, EWB00_007469.2, EWB00_007469.3, EWB00_007469.6
OG0003973	Smp_078110.2, Smp_078110.1	EWB00_000005, EWB00_003692
OG0003974	Smp_096910.1	EWB00_005369
OG0003975	Smp_302140.1	EWB00_006211.1, EWB00_006211.2
OG0003976	Smp_124030.1	EWB00_004231
OG0003977	Smp_179940.1	EWB00_005387.1, EWB00_005387.2
OG0003978	Smp_341120.1	EWB00_010706.1, EWB00_010706.3, EWB00_010706.2, EWB00_010706.4
OG0003979	Smp_242800.1, Smp_242800.2	EWB00_003707.1, EWB00_003707.2
OG0003980	Smp_340220.1	EWB00_007431
OG0003981	Smp_086060.1	EWB00_007090.2, EWB00_007090.4, EWB00_007090.3, EWB00_007090.5
OG0003982	Smp_078730.1	EWB00_010445.1, EWB00_010445.2
OG0003983	Smp_018430.1	EWB00_011334.1, EWB00_011334.2
OG0003985	Smp_123610.1	EWB00_010488.3, EWB00_010488.4, EWB00_010488.1, EWB00_010488.2
OG0003986	Smp_079760.1	EWB00_010398
OG0003987	Smp_267280.1	EWB00_005816, EWB00_009505
OG0003988	Smp_210810.1, Smp_210810.2	EWB00_007702
OG0003989	Smp_138030.1	EWB00_010031
OG0003990	Smp_065170.1	EWB00_008743.1, EWB00_008743.2
OG0003991	Smp_347610.1	EWB00_004166
OG0003992	Smp_073280.1	EWB00_004622.4, EWB00_004622.1, EWB00_004622.3, EWB00_004622.2
OG0003993	Smp_160700.1	EWB00_010970
OG0003994	Smp_161360.1	EWB00_001578.1, EWB00_001578.2
OG0003995	Smp_165660.1	EWB00_003271.1, EWB00_003271.2
OG0003996	Smp_318910.1	EWB00_008121.3, EWB00_008121.1, EWB00_008121.2
OG0003998	Smp_026700.1	EWB00_009366.1, EWB00_009366.2
OG0003999	Smp_176090.1	EWB00_008563.1, EWB00_008563.2
OG0004000	Smp_342690.1, Smp_342690.2	EWB00_009870.1, EWB00_009870.3, EWB00_009870.2
OG0004001	Smp_133660.1	EWB00_002548.3, EWB00_002548.1, EWB00_002548.2
OG0004002	Smp_007970.1	EWB00_010964
OG0004003	Smp_318970.1	EWB00_002134
OG0004004	Smp_086900.1	EWB00_008657
OG0004005	Smp_142670.1	EWB00_003143.2, EWB00_003143.3, EWB00_003143.5, EWB00_003143.4
OG0004006	Smp_057090.1	EWB00_005972.1, EWB00_005972.2, EWB00_005972.3
OG0004007	Smp_148830.1	EWB00_002738.1, EWB00_002738.2
OG0004008	Smp_003130.1	EWB00_000280.1, EWB00_000280.2
OG0004010	Smp_087760.1	EWB00_007550.1, EWB00_007550.2
OG0004011	Smp_247600.1, Smp_247600.2	EWB00_001416
OG0004012	Smp_176820.1	EWB00_005377
OG0004012	Smp_099670.1	EWB00_005376
OG0004013	Smp_347390.1	EWB00_010472
OG0004014	Smp_133420.1	EWB00_001659.1, EWB00_001659.2
OG0004015	Smp_300790.1, Smp_332960.1	EWB00_008942.1, EWB00_008942.2
OG0004016	Smp_342830.1	EWB00_005644
OG0004018	Smp_123190.1	EWB00_006915
OG0004019	Smp_172250.1	EWB00_009268.1, EWB00_009268.2, EWB00_009268.3
OG0004021	Smp_177180.1, Smp_177180.2, Smp_177180.3	EWB00_011391.1, EWB00_011391.2
OG0004022	Smp_169950.1	EWB00_009287.1, EWB00_009287.2, EWB00_009287.3, EWB00_009287.4, EWB00_009287.5, EWB00_009287.6, EWB00_009287.7
OG0004023	Smp_308270.1	EWB00_011261.1, EWB00_011261.2
OG0004024	Smp_152350.1	EWB00_008002
OG0004025	Smp_070310.1	EWB00_003510
OG0004026	Smp_345580.1	EWB00_009538
OG0004027	Smp_334290.1	EWB00_011023
OG0004028	Smp_161350.1	EWB00_009204
OG0004029	Smp_063040.1	EWB00_001618.1, EWB00_001618.2
OG0004030	Smp_331820.2, Smp_331820.1	EWB00_005474.1, EWB00_005474.3, EWB00_005474.4, EWB00_005474.2
OG0004031	Smp_126690.1	EWB00_005920
OG0004032	Smp_305720.1	EWB00_009395
OG0004033	Smp_302450.1, Smp_302480.2, Smp_302480.1	EWB00_003914
OG0004034	Smp_127160.1	EWB00_008582
OG0004035	Smp_179560.1	EWB00_001972
OG0004036	Smp_084610.1	EWB00_003139
OG0004037	Smp_015710.1	EWB00_003585
OG0004038	Smp_310600.1, Smp_310580.1	EWB00_010720.1, EWB00_010720.2
OG0004039	Smp_053230.1	EWB00_003882, EWB00_009947
OG0004040	Smp_082860.1	EWB00_005409
OG0004041	Smp_308370.1	EWB00_004717.2, EWB00_004717.1
OG0004042	Smp_030010.1	EWB00_009809.1, EWB00_009809.2
OG0004043	Smp_094950.1	EWB00_001510.1, EWB00_001510.2
OG0004044	Smp_341680.1	EWB00_007544.1, EWB00_007544.3, EWB00_007544.2
OG0004045	Smp_048660.1	EWB00_010195.1, EWB00_010195.2
OG0004046	Smp_173550.1	EWB00_009476.1, EWB00_009476.2, EWB00_009476.3
OG0004048	Smp_073880.1	EWB00_011272.1, EWB00_011272.3, EWB00_011272.2, EWB00_011272.4
OG0004049	Smp_041390.1	EWB00_000570
OG0004050	Smp_042110.1	EWB00_004578.1, EWB00_004578.2, EWB00_004578.3, EWB00_004578.5, EWB00_004578.4
OG0004051	Smp_052330.1	EWB00_008864
OG0004052	Smp_213410.1	EWB00_005178.1, EWB00_005178.2
OG0004053	Smp_149480.1	EWB00_011405.1, EWB00_011405.2
OG0004054	Smp_103560.1, Smp_103560.2	EWB00_001591.3, EWB00_001591.1, EWB00_001591.2
OG0004055	Smp_196110.1	EWB00_009413
OG0004056	Smp_143460.1	EWB00_010726.1, EWB00_010726.2
OG0004057	Smp_328060.1, Smp_147350.1	EWB00_007618
OG0004058	Smp_066900.1	EWB00_011043.1, EWB00_011043.2, EWB00_011043.3
OG0004059	Smp_211130.1	EWB00_011259.1, EWB00_011259.2
OG0004060	Smp_028340.1	EWB00_007347.1, EWB00_007347.2, EWB00_007347.3
OG0004061	Smp_080840.1	EWB00_000318.1, EWB00_000318.2
OG0004062	Smp_080850.1	EWB00_000319
OG0004063	Smp_048520.2, Smp_048520.1	EWB00_010245.1, EWB00_010245.2
OG0004064	Smp_180000.1, Smp_350050.1	EWB00_005533.2, EWB00_005533.1
OG0004066	Smp_316580.1	EWB00_000071.2, EWB00_000071.1, EWB00_000071.3
OG0004067	Smp_153500.1	EWB00_002300.1, EWB00_002300.2
OG0004068	Smp_042680.1	EWB00_001373.1, EWB00_001373.2
OG0004069	Smp_032720.1	EWB00_011373
OG0004071	Smp_316640.1	EWB00_002408
OG0004072	Smp_019280.1	EWB00_004276
OG0004073	Smp_200240.1	EWB00_010068, EWB00_010069
OG0004074	Smp_082360.1	EWB00_001453
OG0004075	Smp_317630.1, Smp_131410.1	EWB00_003173, EWB00_003172
OG0004076	Smp_169720.1, Smp_169720.2	EWB00_001984
OG0004077	Smp_194910.1	EWB00_002084.2, EWB00_002084.4, EWB00_002084.5, EWB00_002084.6, EWB00_002084.1, EWB00_002084.3, EWB00_002082.1, EWB00_002082.2, EWB00_002082.5, EWB00_002082.3, EWB00_002082.4
OG0004078	Smp_169460.1	EWB00_003666
OG0004079	Smp_126820.1	EWB00_011052
OG0004080	Smp_136730.1	EWB00_000908
OG0004081	Smp_144190.1	EWB00_002816.1, EWB00_002816.2, EWB00_002816.3
OG0004082	Smp_083730.1	EWB00_001303.1, EWB00_001303.3, EWB00_001303.2
OG0004083	Smp_195060.1, Smp_195060.2	EWB00_000060.1, EWB00_000060.4, EWB00_000060.2, EWB00_000060.3
OG0004084	Smp_244920.1	EWB00_008707, EWB00_008708
OG0004085	Smp_345790.1, Smp_333930.1, Smp_333220.1, Smp_334070.1, Smp_334240.1, Smp_333870.1	EWB00_009717, EWB00_001521, EWB00_010027
OG0004086	Smp_320460.1, Smp_320450.1	EWB00_008281.1, EWB00_008281.2
OG0004089	Smp_085640.1	EWB00_005436.1, EWB00_005436.2
OG0004090	Smp_059600.1	EWB00_001943
OG0004091	Smp_156150.1	EWB00_001617.1, EWB00_001617.2
OG0004092	Smp_151100.1	EWB00_008484.1, EWB00_008484.2
OG0004093	Smp_080180.1	EWB00_001231
OG0004094	Smp_332690.1	EWB00_001797.3, EWB00_001797.1, EWB00_001797.2
OG0004095	Smp_244250.1	EWB00_000672
OG0004096	Smp_119110.1	EWB00_008843
OG0004097	Smp_211280.1	EWB00_011276
OG0004098	Smp_125460.1	EWB00_010752
OG0004099	Smp_332830.1	EWB00_003845.1, EWB00_003845.2
OG0004101	Smp_181180.1, Smp_181180.2	EWB00_004724.1, EWB00_004724.2
OG0004102	Smp_020590.1	EWB00_004935
OG0004103	Smp_071020.1	EWB00_009552.1, EWB00_009552.2
OG0004104	Smp_121460.1	EWB00_004331
OG0004105	Smp_246710.1	EWB00_005014
OG0004106	Smp_153090.1	EWB00_011195
OG0004107	Smp_306230.1, Smp_306230.2	EWB00_003133.1, EWB00_003133.2, EWB00_003133.3, EWB00_003133.4, EWB00_003133.5
OG0004108	Smp_179180.1	EWB00_003248.1, EWB00_003248.2
OG0004109	Smp_068100.1	EWB00_007708
OG0004110	Smp_153920.1	EWB00_010947.1, EWB00_010947.2
OG0004111	Smp_155810.1	EWB00_009000
OG0004112	Smp_196030.1	EWB00_000051, EWB00_000052.1, EWB00_000052.2, EWB00_000052.3
OG0004113	Smp_346480.1	EWB00_007542
OG0004114	Smp_049010.1	EWB00_006787
OG0004115	Smp_000070.1	EWB00_004300
OG0004116	Smp_143940.1	EWB00_004504
OG0004117	Smp_245370.1	EWB00_009022
OG0004118	Smp_144210.1	EWB00_002822
OG0004119	Smp_003190.1	EWB00_000273.1, EWB00_000273.2
OG0004120	Smp_126110.1	EWB00_002932.1, EWB00_002932.4, EWB00_002932.2, EWB00_002932.5
OG0004121	Smp_130080.1	EWB00_006814.4, EWB00_006814.1, EWB00_006814.3, EWB00_006814.2
OG0004122	Smp_105360.1	EWB00_008041
OG0004123	Smp_151320.1	EWB00_003109.1, EWB00_003109.2
OG0004124	Smp_020220.1	EWB00_000636
OG0004125	Smp_155790.1	EWB00_009001
OG0004126	Smp_155860.1	EWB00_002004.1, EWB00_002004.2, EWB00_002004.3
OG0004127	Smp_017640.1	EWB00_005034.1, EWB00_005034.2, EWB00_005034.3, EWB00_005034.4
OG0004128	Smp_345350.1	EWB00_000074
OG0004129	Smp_128200.1	EWB00_010809
OG0004130	Smp_211170.1	EWB00_002733
OG0004131	Smp_176040.1	EWB00_002434
OG0004132	Smp_174700.1	EWB00_010267, EWB00_003008
OG0004133	Smp_164650.1	EWB00_005752
OG0004134	Smp_173760.1	EWB00_003112, EWB00_003111
OG0004135	Smp_196620.1	EWB00_001767.2, EWB00_001767.1, EWB00_001767.3, EWB00_001767.4, EWB00_001767.5
OG0004136	Smp_197690.1	EWB00_005563
OG0004137	Smp_071390.1	EWB00_006076.1, EWB00_006076.2
OG0004138	Smp_125520.1	EWB00_010747.3, EWB00_010747.4, EWB00_010747.1, EWB00_010747.2
OG0004139	Smp_012930.1	EWB00_002879.1, EWB00_002879.2
OG0004140	Smp_146120.1	EWB00_010754.1, EWB00_010754.2
OG0004141	Smp_129810.1	EWB00_005479.1, EWB00_005479.2
OG0004142	Smp_125640.1	EWB00_000137.1, EWB00_000137.2, EWB00_000137.3
OG0004143	Smp_341330.1	EWB00_008465
OG0004144	Smp_018940.1	EWB00_009878
OG0004145	Smp_070780.1	EWB00_007734.1, EWB00_007734.2, EWB00_007734.4, EWB00_007734.3
OG0004146	Smp_129010.1	EWB00_002894
OG0004147	Smp_021750.1	EWB00_005249.1, EWB00_005249.2
OG0004148	Smp_335120.1	EWB00_004185, EWB00_004186.1, EWB00_004186.2
OG0004149	Smp_323380.1, Smp_337410.1	EWB00_007888
OG0004150	Smp_180380.1	EWB00_000680, EWB00_000681
OG0004151	Smp_032640.1	EWB00_003570
OG0004152	Smp_153490.1	EWB00_002302.4, EWB00_002302.1, EWB00_002302.3, EWB00_002302.2
OG0004153	Smp_180260.1, Smp_052630.1	EWB00_008559
OG0004154	Smp_091010.1	EWB00_007790.1, EWB00_007790.2, EWB00_007790.3
OG0004155	Smp_242140.1	EWB00_008075
OG0004156	Smp_138760.1	EWB00_003221
OG0004157	Smp_032490.1	EWB00_002520.1, EWB00_002520.4, EWB00_002520.2, EWB00_002520.3
OG0004158	Smp_104680.1	EWB00_001800.4
OG0004159	Smp_115340.1	EWB00_006276.1, EWB00_006276.2
OG0004160	Smp_174370.1	EWB00_008269.3, EWB00_008269.4, EWB00_008269.2, EWB00_008269.1
OG0004161	Smp_025100.1	EWB00_010008.2, EWB00_010008.1, EWB00_010008.3
OG0004163	Smp_313210.1	EWB00_011032, EWB00_011034
OG0004164	Smp_305740.2, Smp_305740.1	EWB00_004630
OG0004165	Smp_332490.1	EWB00_003376
OG0004166	Smp_104790.1	EWB00_006303.1, EWB00_006303.2
OG0004167	Smp_128440.1	EWB00_003054, EWB00_004869.1, EWB00_004869.2, EWB00_003055
OG0004168	Smp_300370.1, Smp_332780.1	EWB00_008571
OG0004169	Smp_006550.1	EWB00_010899.1, EWB00_010899.2, EWB00_010899.3, EWB00_010899.4
OG0004170	Smp_247540.1	EWB00_007393.1, EWB00_007393.2
OG0004171	Smp_169990.1	EWB00_004455.5, EWB00_004455.1, EWB00_004455.2, EWB00_004455.3, EWB00_004455.4
OG0004172	Smp_042270.1	EWB00_004558.1, EWB00_004558.2
OG0004173	Smp_164950.1	EWB00_000345.1, EWB00_000345.2
OG0004174	Smp_002100.1	EWB00_006920.2, EWB00_006920.1
OG0004175	Smp_122960.1	EWB00_004415
OG0004176	Smp_157750.1	EWB00_004163.1, EWB00_004163.2
OG0004177	Smp_005260.1, Smp_005260.2	EWB00_008851.1, EWB00_008851.2, EWB00_008851.3, EWB00_008851.4
OG0004178	Smp_346440.1	EWB00_005182.1, EWB00_005182.2
OG0004179	Smp_247710.1	EWB00_002625
OG0004180	Smp_333600.1	EWB00_009839.1, EWB00_009839.3, EWB00_009839.2
OG0004181	Smp_026630.1, Smp_026630.2	EWB00_009371
OG0004182	Smp_169780.1	EWB00_010422
OG0004183	Smp_159620.1	EWB00_001906
OG0004184	Smp_131940.1	EWB00_008955.2, EWB00_008955.1, EWB00_008955.3
OG0004185	Smp_180590.1	EWB00_008379
OG0004186	Smp_331490.1	EWB00_004461, EWB00_004460
OG0004187	Smp_156390.1, Smp_156390.2	EWB00_000941.1, EWB00_000941.2
OG0004188	Smp_125660.1	EWB00_000134.1, EWB00_000134.2
OG0004189	Smp_154490.1	EWB00_002450
OG0004190	Smp_342330.1	EWB00_002057.1, EWB00_002057.2, EWB00_002057.3
OG0004191	Smp_015090.1	EWB00_007436.2, EWB00_007436.1
OG0004192	Smp_084090.1	EWB00_006522
OG0004193	Smp_129230.1	EWB00_007298
OG0004194	Smp_020450.1, Smp_020450.2	EWB00_001323
OG0004195	Smp_130450.1	EWB00_006454
OG0004196	Smp_136150.1	EWB00_001723.1, EWB00_001723.2
OG0004197	Smp_162940.1	EWB00_010783
OG0004198	Smp_198800.1, Smp_198800.2	EWB00_001655.1, EWB00_001655.2
OG0004199	Smp_242670.1	EWB00_000518
OG0004200	Smp_151060.1	EWB00_003494
OG0004201	Smp_347380.1	EWB00_008910
OG0004202	Smp_051280.1	EWB00_006439
OG0004203	Smp_340190.1	EWB00_010936
OG0004204	Smp_129360.1	EWB00_004013
OG0004205	Smp_024380.1	EWB00_004816.1, EWB00_004816.3, EWB00_004816.2
OG0004206	Smp_141440.1	EWB00_001916
OG0004207	Smp_307600.1	EWB00_011233, EWB00_008860
OG0004208	Smp_346790.1	EWB00_006266
OG0004209	Smp_131230.1	EWB00_006707
OG0004210	Smp_133110.1	EWB00_000630.1, EWB00_000630.2, EWB00_000630.3
OG0004211	Smp_142410.1	EWB00_003796
OG0004212	Smp_154870.1	EWB00_005399
OG0004213	Smp_134020.1	EWB00_000891
OG0004215	Smp_031950.1	EWB00_008161.6, EWB00_008161.4, EWB00_008161.5, EWB00_008161.7, EWB00_008161.2, EWB00_008161.3, EWB00_008161.1
OG0004216	Smp_247220.1	EWB00_007814.2
OG0004217	Smp_144660.1	EWB00_000557
OG0004218	Smp_174300.1, Smp_318660.1, Smp_318660.2	EWB00_007590
OG0004219	Smp_026320.1	EWB00_007115, EWB00_007116
OG0004220	Smp_304380.1	EWB00_009566.1, EWB00_009566.2, EWB00_009566.3
OG0004221	Smp_086910.1	EWB00_008658
OG0004222	Smp_004480.1, Smp_004480.2	EWB00_007971
OG0004223	Smp_052780.1	EWB00_001758.1, EWB00_001758.2, EWB00_001758.4, EWB00_001758.3
OG0004224	Smp_129120.1	EWB00_007128.1, EWB00_007128.2
