Orthogroup	schistosoma_mansoni	fasciola_hepatica
OG0003056	Smp_128660.1	FhHiC23_g12585.t1
OG0003057	Smp_136360.1	FhHiC23_g7397.t1
OG0003058	Smp_009250.1	FhHiC23_g16089.t1
OG0003059	Smp_132740.1	FhHiC23_g14069.t1
OG0003060	Smp_146580.1	FhHiC23_g1376.t1
OG0003061	Smp_179130.1	FhHiC23_g3502.t1
OG0003062	Smp_345940.1	FhHiC23_g15991.t1
OG0003063	Smp_340720.1	FhHiC23_g11667.t1
OG0003064	Smp_304890.1, Smp_304890.2	FhHiC23_g13269.t1, FhHiC23_g13269.t2
OG0003065	Smp_166090.1	FhHiC23_g14953.t1
OG0003066	Smp_140080.1	FhHiC23_g9211.t1, FhHiC23_g9211.t2
OG0003067	Smp_003940.1	FhHiC23_g9045.t2, FhHiC23_g9045.t1
OG0003068	Smp_334300.1	FhHiC23_g2504.t1
OG0003069	Smp_197180.1	FhHiC23_g1548.t1
OG0003070	Smp_005080.1	FhHiC23_g6423.t1
OG0003071	Smp_132200.1	FhHiC23_g6782.t1
OG0003072	Smp_149220.1	FhHiC23_g2526.t1
OG0003073	Smp_333570.1	FhHiC23_g8254.t1
OG0003074	Smp_340610.1	FhHiC23_g7265.t1, FhHiC23_g7265.t2
OG0003075	Smp_072890.1	FhHiC23_g7706.t1, FhHiC23_g7706.t2
OG0003076	Smp_315360.1	FhHiC23_g7108.t1, FhHiC23_g7108.t2
OG0003077	Smp_340470.1	FhHiC23_g2415.t1
OG0003078	Smp_331920.1	FhHiC23_g7304.t1
OG0003079	Smp_170940.1	FhHiC23_g1993.t1
OG0003080	Smp_165430.1	FhHiC23_g10859.t1
OG0003081	Smp_058650.1	FhHiC23_g11699.t1
OG0003082	Smp_013930.1	FhHiC23_g1200.t1
OG0003083	Smp_137000.1	FhHiC23_g2579.t1, FhHiC23_g2579.t2
OG0003084	Smp_344290.1	FhHiC23_g588.t1
OG0003085	Smp_165080.1	FhHiC23_g6315.t1
OG0003086	Smp_079800.1	FhHiC23_g7793.t1, FhHiC23_g7793.t2
OG0003087	Smp_139410.1	FhHiC23_g9838.t1, FhHiC23_g9838.t2
OG0003107	Smp_093430.1, Smp_093430.2	FhHiC23_g2181.t1, FhHiC23_g2181.t2
OG0003108	Smp_166040.1	FhHiC23_g9694.t3, FhHiC23_g9694.t1, FhHiC23_g9694.t2
OG0003109	Smp_135210.1	FhHiC23_g15431.t1, FhHiC23_g15431.t2
OG0003110	Smp_267270.1	FhHiC23_g12147.t1
OG0003111	Smp_092280.1	FhHiC23_g2993.t1
OG0003112	Smp_083930.1	FhHiC23_g7744.t1
OG0003114	Smp_340060.1	FhHiC23_g16550.t1
OG0003115	Smp_126970.1	FhHiC23_g2850.t1
OG0003116	Smp_147120.1	FhHiC23_g6893.t1, FhHiC23_g6894.t1
OG0003117	Smp_162770.1, Smp_162770.2	FhHiC23_g15162.t1, FhHiC23_g15162.t2
OG0003118	Smp_345780.1, Smp_345780.2	FhHiC23_g14709.t1, FhHiC23_g14709.t2
OG0003119	Smp_173640.1	FhHiC23_g5747.t1, FhHiC23_g5747.t2
OG0003120	Smp_036060.1	FhHiC23_g1334.t1
OG0003121	Smp_157000.1	FhHiC23_g13535.t1, FhHiC23_g13535.t2
OG0003122	Smp_148120.1	FhHiC23_g13541.t1, FhHiC23_g13541.t2
OG0003123	Smp_336210.1, Smp_333340.1, Smp_333340.2	FhHiC23_g8009.t1
OG0003124	Smp_068530.1	FhHiC23_g16671.t1
OG0003126	Smp_124760.1	FhHiC23_g15380.t1, FhHiC23_g15380.t2
OG0003127	Smp_162260.1	FhHiC23_g16147.t1, FhHiC23_g16147.t2
OG0003128	Smp_150550.1	FhHiC23_g4221.t1
OG0003129	Smp_169550.1, Smp_322150.1	FhHiC23_g13307.t3, FhHiC23_g13307.t1, FhHiC23_g13307.t2
OG0003130	Smp_035560.1	FhHiC23_g10474.t1, FhHiC23_g9568.t2, FhHiC23_g9568.t1
OG0003131	Smp_348090.1	FhHiC23_g2845.t1
OG0003132	Smp_171090.1	FhHiC23_g10395.t2, FhHiC23_g10395.t1
OG0003133	Smp_167410.1	FhHiC23_g6837.t1
OG0003134	Smp_156950.1	FhHiC23_g3798.t1, FhHiC23_g3798.t2
OG0003135	Smp_127580.1	FhHiC23_g5141.t1
OG0003136	Smp_068250.1	FhHiC23_g13636.t1
OG0003137	Smp_152550.1	FhHiC23_g10806.t1, FhHiC23_g4159.t1
OG0003138	Smp_334780.1	FhHiC23_g16561.t1
OG0003139	Smp_147220.1	FhHiC23_g1398.t1, FhHiC23_g1398.t3, FhHiC23_g1398.t2
OG0003140	Smp_012470.1	FhHiC23_g5221.t1
OG0003141	Smp_075130.1	FhHiC23_g7858.t2, FhHiC23_g7858.t1
OG0003142	Smp_266770.1	FhHiC23_g2954.t1, FhHiC23_g2442.t1
OG0003143	Smp_213510.1, Smp_213510.2	FhHiC23_g3107.t1, FhHiC23_g3107.t2
OG0003144	Smp_169380.1	FhHiC23_g5308.t1, FhHiC23_g5308.t2
OG0003145	Smp_143830.1	FhHiC23_g15587.t1
OG0003146	Smp_027010.1	FhHiC23_g15582.t1
OG0003147	Smp_159370.1	FhHiC23_g14888.t1, FhHiC23_g14888.t2, FhHiC23_g122.t1
OG0003148	Smp_341770.1	FhHiC23_g9444.t1
OG0003149	Smp_021790.1	FhHiC23_g1417.t1
OG0003150	Smp_152510.1	FhHiC23_g1170.t1
OG0003151	Smp_342040.1	FhHiC23_g965.t2, FhHiC23_g965.t1
OG0003152	Smp_144550.1	FhHiC23_g6043.t1
OG0003153	Smp_126920.1	FhHiC23_g2885.t1, FhHiC23_g2885.t2
OG0003154	Smp_332480.1, Smp_332480.2	FhHiC23_g14849.t1, FhHiC23_g14850.t1
OG0003155	Smp_149000.1	FhHiC23_g2750.t1
OG0003156	Smp_084620.1	FhHiC23_g14816.t1, FhHiC23_g14816.t2
OG0003157	Smp_342480.1, Smp_342480.2	FhHiC23_g1714.t2, FhHiC23_g1714.t1
OG0003158	Smp_347550.1	FhHiC23_g16029.t1
OG0003159	Smp_180910.1	FhHiC23_g11497.t1, FhHiC23_g16508.t1, FhHiC23_g1308.t1
OG0003161	Smp_016410.1	FhHiC23_g1803.t1
OG0003162	Smp_154040.1, Smp_322920.1	FhHiC23_g13473.t1
OG0003163	Smp_064600.1	FhHiC23_g12522.t1, FhHiC23_g12522.t2
OG0003164	Smp_301430.1	FhHiC23_g5564.t1
OG0003165	Smp_343780.1	FhHiC23_g1513.t1
OG0003167	Smp_127920.1	FhHiC23_g9337.t1
OG0003168	Smp_168800.1	FhHiC23_g8029.t1, FhHiC23_g6975.t1
OG0003170	Smp_198850.1	FhHiC23_g11476.t1
OG0003171	Smp_344180.1	FhHiC23_g612.t2, FhHiC23_g612.t1
OG0003172	Smp_026510.1	FhHiC23_g15613.t1
OG0003173	Smp_125730.1, Smp_125730.2	FhHiC23_g5045.t1, FhHiC23_g5045.t2, FhHiC23_g5045.t3
OG0003174	Smp_042920.1	FhHiC23_g10671.t2, FhHiC23_g10671.t1
OG0003175	Smp_210090.1	FhHiC23_g9981.t1
OG0003176	Smp_181870.1	FhHiC23_g1350.t3, FhHiC23_g1350.t1, FhHiC23_g1350.t4, FhHiC23_g1350.t2
OG0003177	Smp_162010.1	FhHiC23_g8977.t3, FhHiC23_g8977.t1, FhHiC23_g8977.t2
OG0003178	Smp_126140.1	FhHiC23_g6573.t1
OG0003179	Smp_343840.1	FhHiC23_g2696.t3, FhHiC23_g2696.t1, FhHiC23_g2696.t2
OG0003180	Smp_007450.1, Smp_007450.2	FhHiC23_g12499.t1, FhHiC23_g12494.t1
OG0003181	Smp_315830.1, Smp_315830.2	FhHiC23_g5933.t1, FhHiC23_g6205.t1
OG0003182	Smp_104120.1	FhHiC23_g5521.t1
OG0003183	Smp_157200.1	FhHiC23_g10910.t1
OG0003184	Smp_035200.1	FhHiC23_g5585.t1, FhHiC23_g5585.t2
OG0003185	Smp_345000.1	FhHiC23_g2609.t1, FhHiC23_g2609.t2
OG0003186	Smp_175590.1	FhHiC23_g6174.t1
OG0003187	Smp_126910.1	FhHiC23_g2688.t1
OG0003188	Smp_003710.1	FhHiC23_g4171.t1
OG0003189	Smp_170450.1	FhHiC23_g2376.t1
OG0003190	Smp_137910.1	FhHiC23_g8616.t1, FhHiC23_g8616.t2
OG0003191	Smp_324630.1	FhHiC23_g2066.t1
OG0003192	Smp_029800.1	FhHiC23_g7336.t1
OG0003193	Smp_144560.1	FhHiC23_g6038.t1
OG0003194	Smp_036980.1	FhHiC23_g3227.t1
OG0003195	Smp_306630.1	FhHiC23_g11642.t1
OG0003196	Smp_013460.1	FhHiC23_g7155.t1
OG0003197	Smp_134500.1	FhHiC23_g9495.t1
OG0003198	Smp_169040.1	FhHiC23_g347.t1
OG0003199	Smp_010710.1	FhHiC23_g9167.t1, FhHiC23_g9167.t2
OG0003200	Smp_180070.1	FhHiC23_g13563.t1, FhHiC23_g13563.t2
OG0003201	Smp_176350.1	FhHiC23_g11677.t1
OG0003202	Smp_096320.1	FhHiC23_g15154.t1
OG0003203	Smp_016910.1, Smp_016900.1	FhHiC23_g16285.t1
OG0003204	Smp_243960.1	FhHiC23_g15247.t1
OG0003205	Smp_121420.1	FhHiC23_g14576.t1
OG0003206	Smp_084080.1	FhHiC23_g11169.t1
OG0003207	Smp_145550.1	FhHiC23_g12832.t1
OG0003208	Smp_132590.1	FhHiC23_g8516.t1
OG0003209	Smp_247520.1	FhHiC23_g2510.t1, FhHiC23_g2510.t2, FhHiC23_g2510.t3
OG0003210	Smp_135870.1	FhHiC23_g10792.t2, FhHiC23_g10792.t3, FhHiC23_g10792.t1
OG0003211	Smp_145320.1	FhHiC23_g3037.t1
OG0003212	Smp_036500.1	FhHiC23_g13354.t1
OG0003213	Smp_007210.1	FhHiC23_g6030.t2, FhHiC23_g6030.t1
OG0003214	Smp_155500.1	FhHiC23_g11836.t1, FhHiC23_g11834.t1
OG0003215	Smp_011700.1	FhHiC23_g13199.t1
OG0003216	Smp_027850.1	FhHiC23_g10033.t1, FhHiC23_g7750.t1, FhHiC23_g7750.t2, FhHiC23_g7750.t3
OG0003217	Smp_132280.1	FhHiC23_g7593.t1, FhHiC23_g7593.t2
OG0003218	Smp_151780.1	FhHiC23_g8320.t3, FhHiC23_g8320.t1, FhHiC23_g8320.t2
OG0003221	Smp_048260.1	FhHiC23_g5148.t1
OG0003222	Smp_157930.1	FhHiC23_g11402.t1, FhHiC23_g11402.t2
OG0003223	Smp_176710.1	FhHiC23_g16331.t1
OG0003224	Smp_036180.1	FhHiC23_g14882.t1
OG0003225	Smp_247880.1	FhHiC23_g16057.t1, FhHiC23_g16057.t2
OG0003226	Smp_047200.1	FhHiC23_g12103.t1
OG0003227	Smp_075140.1	FhHiC23_g7921.t2, FhHiC23_g7921.t1
OG0003228	Smp_158620.1	FhHiC23_g16065.t1
OG0003229	Smp_007960.3, Smp_007960.1, Smp_007960.2	FhHiC23_g3272.t1, FhHiC23_g3272.t2, FhHiC23_g3272.t3
OG0003230	Smp_131150.1	FhHiC23_g633.t1
OG0003231	Smp_146420.1	FhHiC23_g11000.t1
OG0003232	Smp_179610.1	FhHiC23_g11182.t1
OG0003233	Smp_244130.1	FhHiC23_g15692.t1
OG0003234	Smp_137870.1	FhHiC23_g7151.t1
OG0003235	Smp_013150.1	FhHiC23_g4273.t1, FhHiC23_g4273.t2
OG0003236	Smp_030690.1	FhHiC23_g6998.t1
OG0003237	Smp_245690.1	FhHiC23_g10254.t1
OG0003238	Smp_123640.1	FhHiC23_g8245.t1
OG0003239	Smp_212250.1	FhHiC23_g7246.t1
OG0003240	Smp_080550.1	FhHiC23_g13494.t1
OG0003241	Smp_158520.2, Smp_158520.1	FhHiC23_g4811.t1, FhHiC23_g4813.t2
OG0003242	Smp_105540.1	FhHiC23_g1391.t1
OG0003243	Smp_128650.1	FhHiC23_g11653.t1, FhHiC23_g11653.t2
OG0003244	Smp_344680.1, Smp_344680.2	FhHiC23_g1054.t1, FhHiC23_g1055.t1
OG0003245	Smp_044850.1	FhHiC23_g942.t1
OG0003246	Smp_012200.2, Smp_012200.1	FhHiC23_g12709.t2, FhHiC23_g12709.t1, FhHiC23_g9898.t1, FhHiC23_g9899.t1
OG0003247	Smp_061230.1	FhHiC23_g15555.t1, FhHiC23_g15555.t2
OG0003248	Smp_345150.1, Smp_345150.3, Smp_345150.2	FhHiC23_g4086.t3, FhHiC23_g4086.t1, FhHiC23_g4086.t2
OG0003249	Smp_063260.1	FhHiC23_g7091.t1
OG0003250	Smp_164730.1	FhHiC23_g2563.t1
OG0003251	Smp_179290.1	FhHiC23_g4361.t1, FhHiC23_g4361.t2
OG0003252	Smp_194770.1	FhHiC23_g13873.t1, FhHiC23_g13874.t1
OG0003253	Smp_123210.1	FhHiC23_g15938.t1
OG0003254	Smp_057130.1	FhHiC23_g7334.t1
OG0003255	Smp_010720.1, Smp_130370.1	FhHiC23_g9370.t2, FhHiC23_g9370.t1
OG0003256	Smp_156870.1	FhHiC23_g3948.t4, FhHiC23_g3948.t1, FhHiC23_g3948.t3, FhHiC23_g3948.t2
OG0003257	Smp_025360.1, Smp_025360.2	FhHiC23_g10879.t1
OG0003258	Smp_337340.1	FhHiC23_g14309.t1
OG0003259	Smp_171010.1	FhHiC23_g9707.t1
OG0003260	Smp_143430.1	FhHiC23_g3453.t1
OG0003261	Smp_315760.1	FhHiC23_g5986.t1
OG0003263	Smp_030370.1	FhHiC23_g12959.t1, FhHiC23_g12959.t2
OG0003264	Smp_135300.1	FhHiC23_g15025.t1
OG0003265	Smp_170600.1	FhHiC23_g14664.t1
OG0003266	Smp_049970.1	FhHiC23_g1639.t1
OG0003267	Smp_243930.1	FhHiC23_g15350.t2, FhHiC23_g15350.t1
OG0003268	Smp_303000.1	FhHiC23_g14199.t1, FhHiC23_g14199.t2
OG0003269	Smp_093850.1	FhHiC23_g3332.t1
OG0003270	Smp_105950.1	FhHiC23_g7178.t1
OG0003271	Smp_047060.1	FhHiC23_g10947.t1
OG0003272	Smp_009810.1	FhHiC23_g3736.t1, FhHiC23_g3735.t1
OG0003273	Smp_025890.1	FhHiC23_g4757.t1
OG0003274	Smp_071610.1	FhHiC23_g15137.t1
OG0003275	Smp_129560.1	FhHiC23_g10062.t1
OG0003276	Smp_174810.1	FhHiC23_g7878.t1, FhHiC23_g7878.t2
OG0003277	Smp_346200.1	FhHiC23_g5096.t1, FhHiC23_g5096.t2
OG0003278	Smp_142510.1	FhHiC23_g2173.t1
OG0003279	Smp_043970.1	FhHiC23_g12358.t1, FhHiC23_g12358.t2
OG0003280	Smp_042060.1	FhHiC23_g3004.t1
OG0003281	Smp_173940.1	FhHiC23_g9574.t1, FhHiC23_g9575.t1
OG0003282	Smp_148450.1	FhHiC23_g386.t1
OG0003283	Smp_041450.1	FhHiC23_g9999.t2, FhHiC23_g9999.t1
OG0003284	Smp_137940.1	FhHiC23_g7118.t1
OG0003285	Smp_099570.1	FhHiC23_g9070.t1
OG0003286	Smp_159890.1	FhHiC23_g7522.t1, FhHiC23_g7522.t2
OG0003287	Smp_103930.1, Smp_103930.2	FhHiC23_g12165.t1
OG0003288	Smp_100030.1	FhHiC23_g8129.t1
OG0003289	Smp_244420.1	FhHiC23_g12168.t2, FhHiC23_g12168.t1
OG0003290	Smp_079950.1	FhHiC23_g12943.t1
OG0003291	Smp_074510.1	FhHiC23_g10831.t1
OG0003292	Smp_086760.1, Smp_086760.2	FhHiC23_g3941.t1
OG0003293	Smp_076630.1	FhHiC23_g6632.t1
OG0003294	Smp_025620.1	FhHiC23_g5656.t1
OG0003295	Smp_073570.1	FhHiC23_g4629.t1
OG0003296	Smp_047500.1	FhHiC23_g1290.t1
OG0003297	Smp_142300.1	FhHiC23_g10640.t1
OG0003298	Smp_131690.1	FhHiC23_g883.t1, FhHiC23_g881.t1
OG0003299	Smp_062630.1	FhHiC23_g2704.t2, FhHiC23_g2704.t1
OG0003300	Smp_058410.1	FhHiC23_g11556.t1
OG0003301	Smp_211160.1	FhHiC23_g14704.t1, FhHiC23_g14705.t2, FhHiC23_g14705.t1
OG0003302	Smp_145650.1	FhHiC23_g12995.t1
OG0003303	Smp_210320.1	FhHiC23_g98.t1, FhHiC23_g100.t1, FhHiC23_g100.t2
OG0003304	Smp_142180.1	FhHiC23_g10738.t1, FhHiC23_g10738.t2
OG0003305	Smp_346590.1	FhHiC23_g3030.t1
OG0003306	Smp_333950.1	FhHiC23_g2064.t1, FhHiC23_g2064.t2
OG0003307	Smp_305200.1, Smp_314650.1	FhHiC23_g9989.t1
OG0003309	Smp_015800.1	FhHiC23_g13581.t1, FhHiC23_g14886.t1
OG0003310	Smp_072090.1	FhHiC23_g1498.t1
OG0003311	Smp_141430.1	FhHiC23_g15990.t1
OG0003313	Smp_331980.1	FhHiC23_g2873.t1
OG0003314	Smp_076910.1, Smp_076910.2, Smp_076910.3	FhHiC23_g3760.t1
OG0003315	Smp_317550.1, Smp_332240.1, Smp_332245.1	FhHiC23_g6234.t1, FhHiC23_g6234.t2
OG0003326	Smp_030280.1	FhHiC23_g8112.t1
OG0003327	Smp_070170.1	FhHiC23_g3141.t1
OG0003328	Smp_064010.1	FhHiC23_g10097.t1, FhHiC23_g3297.t1, FhHiC23_g3297.t2, FhHiC23_g10096.t1
OG0003329	Smp_336610.1	FhHiC23_g9185.t1, FhHiC23_g9185.t2
OG0003330	Smp_167010.1	FhHiC23_g1838.t1
OG0003331	Smp_345570.1	FhHiC23_g13446.t2, FhHiC23_g13446.t1, FhHiC23_g13445.t1
OG0003332	Smp_140570.1	FhHiC23_g5818.t1
OG0003333	Smp_044440.1	FhHiC23_g11074.t1
OG0003334	Smp_035210.1	FhHiC23_g5233.t1, FhHiC23_g5233.t2
OG0003335	Smp_023700.1	FhHiC23_g7563.t1
OG0003336	Smp_345520.1	FhHiC23_g7853.t1
OG0003337	Smp_347030.1	FhHiC23_g2594.t1
OG0003338	Smp_346450.1, Smp_346450.2	FhHiC23_g10922.t1, FhHiC23_g10922.t2
OG0003339	Smp_130660.1	FhHiC23_g12575.t1, FhHiC23_g12573.t1, FhHiC23_g12573.t2
OG0003340	Smp_147970.1	FhHiC23_g4728.t1
OG0003341	Smp_000230.1	FhHiC23_g8399.t1
OG0003342	Smp_058190.1, Smp_058190.2	FhHiC23_g15580.t1
OG0003343	Smp_156540.1	FhHiC23_g2245.t1
OG0003344	Smp_160460.1	FhHiC23_g9261.t1
OG0003345	Smp_086030.1	FhHiC23_g16606.t1
OG0003346	Smp_033140.1	FhHiC23_g9039.t1, FhHiC23_g9039.t2
OG0003347	Smp_135140.1	FhHiC23_g14564.t1, FhHiC23_g14564.t2
OG0003348	Smp_176810.1	FhHiC23_g1814.t1
OG0003349	Smp_049630.1	FhHiC23_g6019.t1
OG0003350	Smp_000810.1	FhHiC23_g14671.t1
OG0003351	Smp_329340.1, Smp_316020.2, Smp_312950.1, Smp_312950.2, Smp_316020.1	FhHiC23_g2747.t1
OG0003352	Smp_070610.1	FhHiC23_g3800.t1
OG0003353	Smp_096920.1, Smp_248140.1, Smp_248130.1	FhHiC23_g9096.t4, FhHiC23_g9096.t1, FhHiC23_g9096.t2, FhHiC23_g9096.t3
OG0003354	Smp_175840.1	FhHiC23_g9715.t1
OG0003355	Smp_001100.1	FhHiC23_g8205.t1
OG0003356	Smp_344830.1	FhHiC23_g11925.t1
OG0003357	Smp_302950.1	FhHiC23_g14741.t1, FhHiC23_g14741.t2, FhHiC23_g14741.t3
OG0003358	Smp_024930.2, Smp_024930.1, Smp_337830.1	FhHiC23_g15951.t1, FhHiC23_g15951.t2
OG0003359	Smp_197700.1	FhHiC23_g7881.t2, FhHiC23_g7881.t1
OG0003360	Smp_246820.1, Smp_246820.2	FhHiC23_g4919.t1, FhHiC23_g4920.t1
OG0003361	Smp_243920.1	FhHiC23_g11316.t1
OG0003362	Smp_043170.1	FhHiC23_g2653.t1, FhHiC23_g2653.t2
OG0003363	Smp_014280.1	FhHiC23_g5710.t1, FhHiC23_g5713.t1
OG0003364	Smp_169330.1	FhHiC23_g3910.t1, FhHiC23_g3910.t2
OG0003365	Smp_193750.2, Smp_193750.1, Smp_193750.3	FhHiC23_g15552.t1
OG0003366	Smp_333540.1	FhHiC23_g7666.t1
OG0003367	Smp_128190.1	FhHiC23_g1897.t1
OG0003368	Smp_154620.1	FhHiC23_g5783.t1
OG0003369	Smp_341250.1, Smp_134860.1	FhHiC23_g8134.t1, FhHiC23_g8134.t2
OG0003370	Smp_073620.1	FhHiC23_g5871.t1
OG0003371	Smp_128280.1	FhHiC23_g2015.t2, FhHiC23_g2015.t1, FhHiC23_g2015.t4, FhHiC23_g2015.t3
OG0003372	Smp_344530.1, Smp_344530.2	FhHiC23_g9214.t1
OG0003373	Smp_244370.1	FhHiC23_g15014.t1
OG0003374	Smp_347460.1	FhHiC23_g10071.t1, FhHiC23_g10071.t2
OG0003375	Smp_142110.1	FhHiC23_g3081.t1
OG0003376	Smp_146110.1	FhHiC23_g715.t1, FhHiC23_g715.t2, FhHiC23_g715.t3
OG0003377	Smp_125630.1	FhHiC23_g3575.t2, FhHiC23_g3575.t1
OG0003378	Smp_160160.1	FhHiC23_g3456.t2, FhHiC23_g3456.t1, FhHiC23_g3466.t1
OG0003379	Smp_002880.1	FhHiC23_g8115.t1
OG0003380	Smp_063630.1	FhHiC23_g1412.t1, FhHiC23_g1412.t2
OG0003381	Smp_068440.1	FhHiC23_g13912.t1, FhHiC23_g325.t1
OG0003382	Smp_169410.1	FhHiC23_g1360.t1, FhHiC23_g1360.t2
OG0003383	Smp_102240.1, Smp_335690.1	FhHiC23_g13615.t1
OG0003384	Smp_072740.1	FhHiC23_g5987.t1
OG0003385	Smp_342570.1	FhHiC23_g16302.t2, FhHiC23_g16302.t1
OG0003386	Smp_070340.1	FhHiC23_g15425.t1
OG0003387	Smp_323660.1	FhHiC23_g15533.t1
OG0003388	Smp_140200.1, Smp_140200.2	FhHiC23_g9145.t1, FhHiC23_g9146.t1
OG0003389	Smp_147840.1	FhHiC23_g1214.t1
OG0003390	Smp_105090.1, Smp_105090.2	FhHiC23_g5839.t1, FhHiC23_g7361.t1
OG0003391	Smp_136970.1	FhHiC23_g2984.t1
OG0003392	Smp_311870.2, Smp_311870.3, Smp_311870.5, Smp_311870.1, Smp_311870.4	FhHiC23_g1254.t1
OG0003393	Smp_045070.1	FhHiC23_g4666.t1, FhHiC23_g4666.t2
OG0003394	Smp_040270.1	FhHiC23_g13892.t1
OG0003395	Smp_104580.1, Smp_104580.2	FhHiC23_g1610.t1
OG0003396	Smp_038830.1	FhHiC23_g14521.t1
OG0003397	Smp_094050.1	FhHiC23_g15501.t1
OG0003398	Smp_092570.1	FhHiC23_g13371.t1, FhHiC23_g13371.t2
OG0003399	Smp_005230.1	FhHiC23_g5032.t2, FhHiC23_g5032.t1
OG0003400	Smp_312910.1	FhHiC23_g907.t3, FhHiC23_g907.t1
OG0003401	Smp_056970.1	FhHiC23_g5828.t1, FhHiC23_g5828.t2
OG0003402	Smp_266820.1	FhHiC23_g15775.t1, FhHiC23_g15775.t2
OG0003403	Smp_001780.1	FhHiC23_g3196.t1, FhHiC23_g3196.t2, FhHiC23_g3197.t2, FhHiC23_g3197.t1
OG0003404	Smp_145300.1	FhHiC23_g3039.t1
OG0003405	Smp_128230.1	FhHiC23_g1919.t1, FhHiC23_g2019.t1, FhHiC23_g2019.t2
OG0003406	Smp_182620.1	FhHiC23_g10997.t1
OG0003407	Smp_133470.1	FhHiC23_g7911.t1, FhHiC23_g3577.t1
OG0003408	Smp_197070.1	FhHiC23_g9592.t1
OG0003409	Smp_167770.1	FhHiC23_g11909.t1
OG0003410	Smp_000755.1	FhHiC23_g7070.t1
OG0003411	Smp_247150.1	FhHiC23_g6068.t2, FhHiC23_g6068.t1
OG0003412	Smp_192670.1, Smp_174390.1	FhHiC23_g12447.t1, FhHiC23_g12448.t1
OG0003413	Smp_214140.1	FhHiC23_g13366.t1
OG0003414	Smp_148070.1	FhHiC23_g5682.t1
OG0003415	Smp_336170.1	FhHiC23_g3170.t2, FhHiC23_g3170.t1
OG0003416	Smp_000980.1	FhHiC23_g6755.t1
OG0003417	Smp_155700.1	FhHiC23_g1656.t1
OG0003419	Smp_334180.1	FhHiC23_g2689.t1, FhHiC23_g2689.t2
OG0003420	Smp_342240.1, Smp_342240.2	FhHiC23_g16682.t2, FhHiC23_g14164.t1
OG0003421	Smp_210820.1	FhHiC23_g16240.t1, FhHiC23_g6582.t1
OG0003422	Smp_016550.2, Smp_016550.1	FhHiC23_g629.t3, FhHiC23_g629.t4, FhHiC23_g629.t2, FhHiC23_g629.t1
OG0003423	Smp_210510.1	FhHiC23_g12041.t2, FhHiC23_g12041.t1
OG0003424	Smp_247780.1	FhHiC23_g16326.t1
OG0003425	Smp_169280.1	FhHiC23_g4077.t1
OG0003426	Smp_156290.1	FhHiC23_g7430.t1, FhHiC23_g7429.t1
OG0003427	Smp_248100.1	FhHiC23_g14662.t1, FhHiC23_g14662.t2
OG0003428	Smp_345490.1, Smp_345490.2	FhHiC23_g4105.t1
OG0003429	Smp_145020.1	FhHiC23_g1095.t1, FhHiC23_g1095.t2
OG0003430	Smp_155740.1	FhHiC23_g1099.t1
OG0003431	Smp_243970.1	FhHiC23_g15335.t1
OG0003432	Smp_086450.1	FhHiC23_g399.t1
OG0003433	Smp_022700.1	FhHiC23_g12489.t1
OG0003434	Smp_247260.1	FhHiC23_g6833.t1
OG0003435	Smp_008230.1	FhHiC23_g14861.t1
OG0003436	Smp_123020.1	FhHiC23_g3189.t2, FhHiC23_g3189.t1
OG0003437	Smp_051930.1	FhHiC23_g3082.t1
OG0003438	Smp_128890.1	FhHiC23_g6374.t1
OG0003439	Smp_136490.1	FhHiC23_g14987.t1
OG0003440	Smp_316620.1	FhHiC23_g15220.t1
OG0003441	Smp_333250.1	FhHiC23_g9481.t1, FhHiC23_g10036.t1
OG0003442	Smp_312820.1	FhHiC23_g8035.t1, FhHiC23_g1587.t1, FhHiC23_g1587.t2, FhHiC23_g1587.t3
OG0003443	Smp_194090.1	FhHiC23_g6800.t1
OG0003444	Smp_088090.1	FhHiC23_g12587.t1, FhHiC23_g12588.t1
OG0003445	Smp_131810.1	FhHiC23_g14226.t1, FhHiC23_g14226.t2
OG0003446	Smp_009650.1	FhHiC23_g5765.t1, FhHiC23_g5765.t2
OG0003447	Smp_245250.1	FhHiC23_g12909.t1, FhHiC23_g12909.t2
OG0003448	Smp_063000.1, Smp_063000.2	FhHiC23_g180.t1
OG0003449	Smp_062980.1	FhHiC23_g181.t1
OG0003450	Smp_079840.1	FhHiC23_g7257.t1
OG0003451	Smp_143930.1	FhHiC23_g3974.t1, FhHiC23_g3974.t3, FhHiC23_g3974.t2
OG0003452	Smp_128600.1	FhHiC23_g11703.t1, FhHiC23_g11703.t2
OG0003453	Smp_161550.1	FhHiC23_g6212.t2, FhHiC23_g6212.t1, FhHiC23_g6212.t3
OG0003454	Smp_315700.1, Smp_315700.2	FhHiC23_g5734.t2, FhHiC23_g5734.t1
OG0003455	Smp_078800.1	FhHiC23_g8498.t1
OG0003456	Smp_245000.1	FhHiC23_g12933.t1
OG0003457	Smp_142550.1	FhHiC23_g14060.t1
OG0003458	Smp_125870.1	FhHiC23_g5901.t1
OG0003459	Smp_101310.1	FhHiC23_g12965.t1
OG0003460	Smp_135120.1	FhHiC23_g14869.t1, FhHiC23_g14869.t2
OG0003461	Smp_013200.1	FhHiC23_g3913.t1
OG0003462	Smp_340820.1	FhHiC23_g5671.t1, FhHiC23_g5671.t2
