Orthogroup	schistosoma_japonicum	schmidtea_mediterranea
OG0002487	EWB00_010595.2, EWB00_010595.3, EWB00_010595.1, EWB00_010595.4	h1SMcT0000887.1
OG0002488	EWB00_000755	h1SMcT0008356.1, h1SMcT0008356.2, h1SMcT0003941.2, h1SMcT0003941.4, h1SMcT0003941.1, h1SMcT0003941.5, h1SMcT0003941.3
OG0002489	EWB00_002851.1, EWB00_002851.2, EWB00_002851.3	h1SMcT0008476.1
OG0002490	EWB00_009136.1, EWB00_009136.2	h1SMcT0014777.1
OG0002491	EWB00_008768.1, EWB00_008768.2, EWB00_008768.3	h1SMcT0006511.1, h1SMcT0006511.2, h1SMcT0006511.3, h1SMcT0006511.4
OG0002492	EWB00_001387, EWB00_001388	h1SMcT0003303.1, h1SMcT0003303.2
OG0002493	EWB00_010415	h1SMcT0007628.1, h1SMcT0007628.2
OG0002494	EWB00_003325.1, EWB00_003325.2	h1SMcT0001331.1, h1SMcT0003288.1, h1SMcT0003288.2
OG0002495	EWB00_009747, EWB00_009361.1, EWB00_009361.2	h1SMcT0016730.2, h1SMcT0016730.1, h1SMcT0016730.3
OG0002496	EWB00_006396.1, EWB00_006396.2	h1SMcT0004789.2, h1SMcT0004789.3, h1SMcT0004789.1, h1SMcT0004789.4
OG0002497	EWB00_003626	h1SMcT0007248.1
OG0002498	EWB00_005669	h1SMcT0022995.2, h1SMcT0012646.1, h1SMcT0012646.2, h1SMcT0022995.1
OG0002499	EWB00_007612.1, EWB00_007612.2	h1SMcT0002983.1
OG0002500	EWB00_010213	h1SMcT0021401.1
OG0002502	EWB00_002970, EWB00_002971	h1SMcT0007067.1
OG0002503	EWB00_010390	h1SMcT0014834.1, h1SMcT0018901.1, h1SMcT0018901.2
OG0002504	EWB00_007059	h1SMcT0014436.1, h1SMcT0014436.2
OG0002505	EWB00_006513	h1SMcT0002120.1, h1SMcT0002120.2
OG0002506	EWB00_005937.1, EWB00_005937.2, EWB00_005937.4, EWB00_005937.3, EWB00_005937.5	h1SMcT0017018.1, h1SMcT0017018.2
OG0002507	EWB00_008781	h1SMcT0015792.1
OG0002508	EWB00_008892.1, EWB00_008892.2, EWB00_008892.3, EWB00_008892.4	h1SMcT0004619.1
OG0002510	EWB00_005943	h1SMcT0013582.1
OG0002512	EWB00_000405.1, EWB00_000405.2, EWB00_000405.3, EWB00_000405.4, EWB00_000405.5, EWB00_000405.6	h1SMcT0010283.1, h1SMcT0010283.2, h1SMcT0015007.1
OG0002513	EWB00_005217.2, EWB00_005217.1, EWB00_005217.3	h1SMcT0002753.3, h1SMcT0002753.1, h1SMcT0002753.2
OG0002514	EWB00_010294.4, EWB00_010294.5, EWB00_010294.1, EWB00_010294.2, EWB00_010294.3	h1SMcT0009501.1
OG0002516	EWB00_011018.1, EWB00_011018.2, EWB00_011018.5, EWB00_011018.4, EWB00_011018.3	h1SMcT0021466.2, h1SMcT0021466.5, h1SMcT0021466.3, h1SMcT0022719.1, h1SMcT0021466.6, h1SMcT0021466.1, h1SMcT0021466.4
OG0002518	EWB00_006408	h1SMcT0007707.1, h1SMcT0007707.2, h1SMcT0007707.3, h1SMcT0007707.4, h1SMcT0007707.5, h1SMcT0007707.6, h1SMcT0007707.7, h1SMcT0007707.8, h1SMcT0007707.9
OG0002527	EWB00_004723	h1SMcT0001728.1
OG0002528	EWB00_000555.1, EWB00_000555.2	h1SMcT0022210.1, h1SMcT0022210.2, h1SMcT0017479.1
OG0002529	EWB00_002200.1, EWB00_002200.2, EWB00_002200.3	h1SMcT0015803.4, h1SMcT0015803.2, h1SMcT0015803.3, h1SMcT0015803.1
OG0002530	EWB00_001400	h1SMcT0008535.1
OG0002531	EWB00_010884.3, EWB00_010884.1, EWB00_010884.2	h1SMcT0004078.1, h1SMcT0004078.3, h1SMcT0004078.2, h1SMcT0004078.4
OG0002532	EWB00_007371	h1SMcT0006830.1, h1SMcT0018958.1, h1SMcT0018958.2
OG0002533	EWB00_010494.1, EWB00_010494.2	h1SMcT0009116.1, h1SMcT0012022.1, h1SMcT0012022.2, h1SMcT0012902.1, h1SMcT0017428.1, h1SMcT0006855.1
OG0002534	EWB00_001927	h1SMcT0020061.1, h1SMcT0020073.1
OG0002535	EWB00_006843.3, EWB00_006843.1, EWB00_006843.2	h1SMcT0003493.1
OG0002537	EWB00_008294	h1SMcT0004586.1, h1SMcT0004586.2, h1SMcT0004586.3
OG0002539	EWB00_008035	h1SMcT0007617.1, h1SMcT0007617.2, h1SMcT0007617.3, h1SMcT0015478.3, h1SMcT0015478.2, h1SMcT0015478.1
OG0002540	EWB00_006209.1, EWB00_006209.2	h1SMcT0012068.1
OG0002541	EWB00_003802	h1SMcT0002313.1, h1SMcT0002313.2
OG0002542	EWB00_004941.1, EWB00_004941.2	h1SMcT0003716.1
OG0002543	EWB00_000637	h1SMcT0018262.1
OG0002545	EWB00_007069	h1SMcT0014502.1
OG0002546	EWB00_005429.1, EWB00_005429.2, EWB00_005429.3	h1SMcT0012387.1
OG0002547	EWB00_009977.3, EWB00_009977.1, EWB00_009977.2	h1SMcT0003464.2, h1SMcT0003464.4, h1SMcT0003464.3, h1SMcT0003464.1
OG0002548	EWB00_000788	h1SMcT0000863.1, h1SMcT0017163.1
OG0002550	EWB00_003432	h1SMcT0008576.1, h1SMcT0008576.2
OG0002551	EWB00_007456.1, EWB00_007456.2	h1SMcT0011949.1, h1SMcT0011949.2
OG0002553	EWB00_005581.2, EWB00_005581.1	h1SMcT0010309.1, h1SMcT0014836.1
OG0002554	EWB00_005265, EWB00_005267	h1SMcT0020161.1
OG0002555	EWB00_004264.1, EWB00_004264.2	h1SMcT0006274.1
OG0002556	EWB00_002517.3, EWB00_002517.1, EWB00_002517.2	h1SMcT0013294.1
OG0002557	EWB00_002809	h1SMcT0020892.1
OG0002560	EWB00_011401	h1SMcT0008463.1
OG0002561	EWB00_000210.1, EWB00_000210.4, EWB00_000210.2, EWB00_000210.3	h1SMcT0011247.1, h1SMcT0016617.1
OG0002562	EWB00_003061.1, EWB00_003061.2, EWB00_003061.3	h1SMcT0018348.1
OG0002563	EWB00_011143	h1SMcT0002794.1
OG0002566	EWB00_000913	h1SMcT0012384.1, h1SMcT0012384.2
OG0002567	EWB00_006833	h1SMcT0021436.1, h1SMcT0021436.3, h1SMcT0021436.4, h1SMcT0021436.2
OG0002568	EWB00_010405.1, EWB00_010405.2, EWB00_010405.3	h1SMcT0012509.10, h1SMcT0012509.3, h1SMcT0012509.4, h1SMcT0012509.7, h1SMcT0012509.5, h1SMcT0012509.6, h1SMcT0012509.9
OG0002569	EWB00_010451.2, EWB00_010451.1, EWB00_010451.3	h1SMcT0012827.1, h1SMcT0012827.2
OG0002570	EWB00_010896	h1SMcT0013991.1, h1SMcT0014653.1
OG0002571	EWB00_003919	h1SMcT0004290.1, h1SMcT0004290.2, h1SMcT0021935.1
OG0002572	EWB00_000488, EWB00_000489.1, EWB00_000489.3, EWB00_000489.4, EWB00_000489.2	h1SMcT0014417.1
OG0002573	EWB00_003627, EWB00_000067, EWB00_005234	h1SMcT0006230.1, h1SMcT0008035.1
OG0002575	EWB00_001137	h1SMcT0002913.1, h1SMcT0010223.1, h1SMcT0014814.1, h1SMcT0018895.1, h1SMcT0018895.2
OG0002576	EWB00_001249	h1SMcT0003439.1, h1SMcT0003439.2, h1SMcT0003439.3
OG0002578	EWB00_002993	h1SMcT0021496.1, h1SMcT0021496.2, h1SMcT0021496.3
OG0002579	EWB00_005516.1, EWB00_005516.2	h1SMcT0010133.1
OG0002580	EWB00_000511	h1SMcT0019844.1
OG0002581	EWB00_000227.1, EWB00_000227.2	h1SMcT0022257.3, h1SMcT0022257.1, h1SMcT0022257.2, h1SMcT0007918.4, h1SMcT0007918.3, h1SMcT0007918.5, h1SMcT0007918.1, h1SMcT0007918.2
OG0002582	EWB00_008364.2, EWB00_008364.5, EWB00_008364.1, EWB00_008364.3, EWB00_008364.4	h1SMcT0011505.1, h1SMcT0011505.2
OG0002583	EWB00_000727.1, EWB00_000727.2, EWB00_000727.4, EWB00_000727.5, EWB00_000727.3	h1SMcT0020908.1, h1SMcT0020908.2, h1SMcT0020908.3
OG0002584	EWB00_006203.1, EWB00_006203.2	h1SMcT0000515.1, h1SMcT0000515.2, h1SMcT0000515.3
OG0002586	EWB00_001039, EWB00_001038	h1SMcT0004116.1
OG0002587	EWB00_007018.1, EWB00_007018.2	h1SMcT0010795.1, h1SMcT0010795.2
OG0002588	EWB00_011107.1, EWB00_011107.2	h1SMcT0018144.1, h1SMcT0018144.2, h1SMcT0018144.5
OG0002589	EWB00_011349	h1SMcT0004347.1
OG0002590	EWB00_010994.2, EWB00_010994.3, EWB00_010994.1	h1SMcT0006472.1
OG0002591	EWB00_001228	h1SMcT0011750.1, h1SMcT0011750.2, h1SMcT0011750.3, h1SMcT0004986.1, h1SMcT0004986.2
OG0002592	EWB00_010875.2, EWB00_010875.1	h1SMcT0020368.1
OG0002593	EWB00_010593.1, EWB00_010593.2	h1SMcT0010211.1, h1SMcT0010211.2
OG0002594	EWB00_010592	h1SMcT0014132.1
OG0002595	EWB00_010703	h1SMcT0004812.1
OG0002596	EWB00_010956	h1SMcT0010450.1, h1SMcT0010450.2
OG0002597	EWB00_010007.1, EWB00_010007.2, EWB00_010007.3	h1SMcT0004058.3, h1SMcT0004058.5, h1SMcT0004058.4, h1SMcT0004058.2, h1SMcT0004058.1
OG0002598	EWB00_005934.1, EWB00_005934.3, EWB00_005934.2, EWB00_005934.4	h1SMcT0008181.1
OG0002599	EWB00_009819.1, EWB00_009819.2	h1SMcT0002663.2, h1SMcT0002663.1, h1SMcT0015973.1, h1SMcT0015973.2
OG0002600	EWB00_006873	h1SMcT0008122.1
OG0002602	EWB00_003513.1, EWB00_003513.2	h1SMcT0017114.1, h1SMcT0017114.2, h1SMcT0017115.1, h1SMcT0017115.2
OG0002603	EWB00_007130	h1SMcT0016607.1, h1SMcT0016607.2, h1SMcT0016607.3
OG0002604	EWB00_007905	h1SMcT0001279.4, h1SMcT0001279.2, h1SMcT0001279.1, h1SMcT0001279.3
OG0002605	EWB00_002979.1, EWB00_002979.2	h1SMcT0000766.3, h1SMcT0000766.1, h1SMcT0000766.2
OG0002606	EWB00_001343.1, EWB00_001343.2	h1SMcT0017551.1
OG0002607	EWB00_002917.2, EWB00_002917.1, EWB00_002917.3	h1SMcT0004356.1, h1SMcT0016360.1
OG0002609	EWB00_009049	h1SMcT0000491.1, h1SMcT0021455.1
OG0002610	EWB00_002815	h1SMcT0002019.1
OG0002613	EWB00_004745.1, EWB00_004745.2, EWB00_004745.3, EWB00_001620	h1SMcT0013712.1, h1SMcT0013713.1
OG0002614	EWB00_010208	h1SMcT0020539.1, h1SMcT0013264.1, h1SMcT0012651.1, h1SMcT0012648.1, h1SMcT0023037.1, h1SMcT0019624.1, h1SMcT0019624.2
OG0002615	EWB00_001668.1, EWB00_001668.2, EWB00_001668.3, EWB00_001668.5, EWB00_001668.4, EWB00_001668.6	h1SMcT0022056.1
OG0002616	EWB00_001284.3, EWB00_001284.1, EWB00_001284.2	h1SMcT0004893.1
OG0002617	EWB00_007992	h1SMcT0016816.1
OG0002619	EWB00_007958.1, EWB00_007958.2	h1SMcT0006042.1
OG0002620	EWB00_005986.1, EWB00_005986.2, EWB00_005986.3	h1SMcT0003803.1, h1SMcT0003803.2
OG0002621	EWB00_010847.2, EWB00_010847.4, EWB00_010847.1, EWB00_010847.3	h1SMcT0016234.3, h1SMcT0016234.4, h1SMcT0016234.2, h1SMcT0016234.1
OG0002622	EWB00_009101, EWB00_009102	h1SMcT0000023.2, h1SMcT0000023.1, h1SMcT0000023.3
OG0002623	EWB00_009381	h1SMcT0007802.1, h1SMcT0018722.1
OG0002624	EWB00_002445.1, EWB00_002445.3, EWB00_002445.2	h1SMcT0009000.1, h1SMcT0009000.2, h1SMcT0013344.1, h1SMcT0013344.2, h1SMcT0013344.3
OG0002626	EWB00_011221.1, EWB00_011221.2	h1SMcT0005057.1, h1SMcT0006803.2, h1SMcT0006803.1, h1SMcT0007268.1
OG0002627	EWB00_004587	h1SMcT0011652.1, h1SMcT0011652.2
OG0002628	EWB00_009617	h1SMcT0021179.1, h1SMcT0021179.2, h1SMcT0021178.1, h1SMcT0021178.2, h1SMcT0021178.3, h1SMcT0021178.4
OG0002629	EWB00_006703	h1SMcT0004856.3
OG0002630	EWB00_003076	h1SMcT0019755.1
OG0002632	EWB00_004498.1, EWB00_004498.2	h1SMcT0004705.1
OG0002635	EWB00_001533	h1SMcT0005019.3, h1SMcT0005019.1, h1SMcT0005019.2, h1SMcT0005019.7, h1SMcT0005019.4, h1SMcT0005019.6, h1SMcT0005019.5, h1SMcT0005019.8
OG0002636	EWB00_007482, EWB00_007481	h1SMcT0022205.1, h1SMcT0022205.2
OG0002638	EWB00_008118.1, EWB00_008118.2	h1SMcT0018293.2, h1SMcT0018293.3, h1SMcT0018293.1, h1SMcT0018293.4, h1SMcT0018293.5, h1SMcT0018293.6
OG0002639	EWB00_009856.1, EWB00_009856.2, EWB00_009856.4, EWB00_009856.3	h1SMcT0013571.1
OG0002640	EWB00_009489.1, EWB00_009489.2	h1SMcT0004237.1, h1SMcT0004237.2
OG0002642	EWB00_005643.2, EWB00_005643.3, EWB00_005643.1	h1SMcT0011811.1, h1SMcT0011811.2, h1SMcT0001191.3, h1SMcT0001191.2, h1SMcT0001191.1, h1SMcT0001191.4
OG0002643	EWB00_004839.1, EWB00_004839.2, EWB00_004839.3	h1SMcT0012850.1, h1SMcT0012850.2
OG0002644	EWB00_004022	h1SMcT0018551.1, h1SMcT0018551.2
OG0002645	EWB00_000810.1, EWB00_000810.2	h1SMcT0009982.1, h1SMcT0009982.2
OG0002646	EWB00_004992.1, EWB00_004992.2	h1SMcT0007453.3, h1SMcT0007453.1, h1SMcT0007453.2
OG0002648	EWB00_003690, EWB00_003823, EWB00_003824.3, EWB00_003824.4, EWB00_003824.1, EWB00_003824.2	h1SMcT0006943.1
OG0002649	EWB00_003910.1, EWB00_003910.2	h1SMcT0004889.2, h1SMcT0004889.3, h1SMcT0004889.1, h1SMcT0004889.4
OG0002650	EWB00_001513.3, EWB00_001513.1, EWB00_001513.2	h1SMcT0011970.1, h1SMcT0011970.2, h1SMcT0011970.4, h1SMcT0011970.3, h1SMcT0009318.2, h1SMcT0009318.3, h1SMcT0009318.4
OG0002651	EWB00_009492.1, EWB00_009492.2	h1SMcT0021526.1
OG0002652	EWB00_009708	h1SMcT0002647.2, h1SMcT0015990.1
OG0002653	EWB00_011381.1, EWB00_011381.2, EWB00_011381.3, EWB00_011381.4	h1SMcT0022125.1
OG0002654	EWB00_009668.1, EWB00_009668.2	h1SMcT0007436.1
OG0002655	EWB00_005164.2, EWB00_005164.3, EWB00_005164.4, EWB00_005164.5, EWB00_005164.8, EWB00_005164.1, EWB00_005164.6, EWB00_005164.7	h1SMcT0022119.1
OG0002656	EWB00_006449.1, EWB00_006449.2	h1SMcT0013642.1
OG0002657	EWB00_003106.1, EWB00_003106.5, EWB00_003106.2, EWB00_003106.7, EWB00_003106.4, EWB00_003106.3, EWB00_003106.6	h1SMcT0009274.1, h1SMcT0009274.2
OG0002658	EWB00_006064, EWB00_006065	h1SMcT0022164.1, h1SMcT0022164.2
OG0002660	EWB00_004243.1, EWB00_004243.2	h1SMcT0002936.1, h1SMcT0009331.5
OG0002661	EWB00_010421	h1SMcT0015257.1
OG0002662	EWB00_002592.1, EWB00_002592.2	h1SMcT0018230.1, h1SMcT0018230.2
OG0002663	EWB00_010170.1, EWB00_010170.2	h1SMcT0000647.1
OG0002664	EWB00_000455.1, EWB00_000455.2	h1SMcT0012383.1, h1SMcT0012383.2
OG0002665	EWB00_004435.1, EWB00_004435.2	h1SMcT0005136.1
OG0002667	EWB00_007003.2, EWB00_007003.1, EWB00_007003.3	h1SMcT0015595.1, h1SMcT0015595.2, h1SMcT0015595.3
OG0002668	EWB00_010080, EWB00_010079	h1SMcT0017181.1, h1SMcT0019582.1, h1SMcT0013940.1, h1SMcT0019422.1
OG0002669	EWB00_001970.1, EWB00_001970.2, EWB00_001970.3, EWB00_001968	h1SMcT0022286.1, h1SMcT0012082.1, h1SMcT0012082.2
OG0002670	EWB00_003288.1, EWB00_003288.2	h1SMcT0016669.1, h1SMcT0016669.2, h1SMcT0016669.3
OG0002671	EWB00_000790.1, EWB00_000790.2	h1SMcT0022139.1
OG0002672	EWB00_010932.1, EWB00_010932.2	h1SMcT0017205.1
OG0002673	EWB00_011063	h1SMcT0006278.1, h1SMcT0006279.1
OG0002674	EWB00_003367	h1SMcT0020547.1
OG0002677	EWB00_001155	h1SMcT0012775.1
OG0002678	EWB00_008596	h1SMcT0023121.1, h1SMcT0023114.3, h1SMcT0023114.1, h1SMcT0023114.2
OG0002679	EWB00_003500	h1SMcT0007046.1
OG0002680	EWB00_005789	h1SMcT0019160.3
OG0002681	EWB00_010891.3, EWB00_010891.4, EWB00_010891.2, EWB00_010891.1	h1SMcT0000524.1, h1SMcT0000524.2
OG0002682	EWB00_003530, EWB00_003531	h1SMcT0003192.1, h1SMcT0003191.1, h1SMcT0001398.1, h1SMcT0001885.1, h1SMcT0021316.1
OG0002683	EWB00_011204.1, EWB00_011204.2, EWB00_011204.3	h1SMcT0006071.1
OG0002685	EWB00_010292.1, EWB00_010292.2, EWB00_010292.3, EWB00_010290.1, EWB00_010290.2	h1SMcT0000568.1
OG0002686	EWB00_006490	h1SMcT0007823.1
OG0002687	EWB00_009122.2, EWB00_009122.4, EWB00_009122.5, EWB00_009122.1, EWB00_009122.3	h1SMcT0014747.2, h1SMcT0014747.3, h1SMcT0014747.1, h1SMcT0014747.4
OG0002689	EWB00_005112	h1SMcT0020029.1, h1SMcT0011360.1, h1SMcT0011373.1, h1SMcT0011373.2
OG0002690	EWB00_007980	h1SMcT0010698.1, h1SMcT0018654.1, h1SMcT0006959.3, h1SMcT0006959.1, h1SMcT0006959.2
OG0002691	EWB00_010387.1, EWB00_010387.2	h1SMcT0022592.1
OG0002692	EWB00_002687.1, EWB00_002687.2, EWB00_002687.3	h1SMcT0020628.1, h1SMcT0020628.2
OG0002693	EWB00_010725	h1SMcT0013748.1
OG0002697	EWB00_004679.1, EWB00_004679.2	h1SMcT0016469.1, h1SMcT0016469.2
OG0002698	EWB00_007900.1, EWB00_007900.2	h1SMcT0018533.1, h1SMcT0018533.2, h1SMcT0018533.3
OG0002700	EWB00_001819	h1SMcT0012327.1, h1SMcT0012327.2
OG0002708	EWB00_004625.1, EWB00_004625.2	h1SMcT0010585.2
OG0002709	EWB00_008702	h1SMcT0014206.1, h1SMcT0014207.1
OG0002711	EWB00_000342	h1SMcT0022126.1
OG0002712	EWB00_010288	h1SMcT0001865.1, h1SMcT0016475.3, h1SMcT0016474.4, h1SMcT0016475.2
OG0002713	EWB00_010773	h1SMcT0012298.4, h1SMcT0012298.3, h1SMcT0012298.1, h1SMcT0012298.2
OG0002715	EWB00_008694.3, EWB00_008694.1, EWB00_008694.2	h1SMcT0018555.1
OG0002717	EWB00_004945	h1SMcT0001489.1, h1SMcT0001487.1, h1SMcT0001487.3, h1SMcT0001487.2
OG0002718	EWB00_009800.1, EWB00_009800.2	h1SMcT0016815.3, h1SMcT0016815.5, h1SMcT0016815.4, h1SMcT0016815.1, h1SMcT0016815.2
OG0002719	EWB00_002038	h1SMcT0003025.1, h1SMcT0010149.1, h1SMcT0019874.1
OG0002720	EWB00_008274	h1SMcT0002372.1
OG0002721	EWB00_001449	h1SMcT0022586.1, h1SMcT0022586.2
OG0002723	EWB00_009663	h1SMcT0018284.1, h1SMcT0001098.1, h1SMcT0020557.1, h1SMcT0020557.2
OG0002724	EWB00_000166.1, EWB00_000166.2, EWB00_000166.3, EWB00_000166.5, EWB00_000166.4	h1SMcT0014129.1
OG0002725	EWB00_004854	h1SMcT0006290.1, h1SMcT0006290.2
OG0002726	EWB00_004134	h1SMcT0013409.1
OG0002727	EWB00_010913	h1SMcT0017844.2, h1SMcT0017844.3, h1SMcT0017844.5, h1SMcT0017844.7, h1SMcT0017844.1, h1SMcT0017844.6, h1SMcT0017844.4
OG0002730	EWB00_006764.1, EWB00_006764.2	h1SMcT0018069.1, h1SMcT0018069.2, h1SMcT0018069.3
OG0002731	EWB00_004036	h1SMcT0021544.1, h1SMcT0022908.1
OG0002732	EWB00_005796.1, EWB00_005796.2, EWB00_005796.3	h1SMcT0012543.1, h1SMcT0012543.4, h1SMcT0012543.2, h1SMcT0012543.3, h1SMcT0012543.5
OG0002734	EWB00_002791.1, EWB00_002791.2, EWB00_002791.3	h1SMcT0000891.1, h1SMcT0008266.2, h1SMcT0008266.4, h1SMcT0008266.3, h1SMcT0008266.1
OG0002735	EWB00_007443	h1SMcT0010016.1, h1SMcT0010016.2, h1SMcT0010016.3
OG0002736	EWB00_006998	h1SMcT0013012.1
OG0002738	EWB00_003729, EWB00_011245	h1SMcT0016321.1, h1SMcT0016321.2, h1SMcT0016120.1, h1SMcT0016288.1, h1SMcT0016287.1, h1SMcT0016295.1, h1SMcT0001969.1, h1SMcT0011328.1
OG0002739	EWB00_009729	h1SMcT0019941.1
OG0002740	EWB00_006149	h1SMcT0018883.1
OG0002741	EWB00_006519	h1SMcT0021447.1, h1SMcT0021447.2, h1SMcT0004667.2, h1SMcT0004667.1, h1SMcT0004667.3
OG0002742	EWB00_001594	h1SMcT0014277.1
OG0002743	EWB00_008303.1, EWB00_008303.2	h1SMcT0007441.1, h1SMcT0021805.1, h1SMcT0021805.2, h1SMcT0021805.3, h1SMcT0008290.1, h1SMcT0006348.1, h1SMcT0005956.1, h1SMcT0005956.2
OG0002744	EWB00_005558.1, EWB00_005558.2	h1SMcT0014974.1, h1SMcT0014974.3, h1SMcT0014974.4, h1SMcT0014974.6, h1SMcT0014974.2, h1SMcT0014974.5
OG0002745	EWB00_000372	h1SMcT0021005.1, h1SMcT0021005.2
OG0002747	EWB00_002870.3, EWB00_002870.1, EWB00_002870.2, EWB00_002872.1, EWB00_002872.2, EWB00_002872.3, EWB00_002872.4, EWB00_002872.5, EWB00_002872.6, EWB00_002872.7, EWB00_006981.1, EWB00_006981.3, EWB00_006981.4, EWB00_006981.5, EWB00_006981.2	h1SMcT0022327.1
OG0002748	EWB00_001471.1, EWB00_001471.2, EWB00_001471.3	h1SMcT0016516.2, h1SMcT0016516.6, h1SMcT0016516.4, h1SMcT0016516.1, h1SMcT0016516.5, h1SMcT0016516.3, h1SMcT0003223.1, h1SMcT0003223.2
OG0002749	EWB00_010813.1, EWB00_010813.2	h1SMcT0018110.1, h1SMcT0018110.4, h1SMcT0018110.2, h1SMcT0018110.3
OG0002750	EWB00_000216	h1SMcT0022983.2, h1SMcT0022983.3, h1SMcT0022983.5, h1SMcT0001790.1, h1SMcT0001790.3, h1SMcT0022983.4, h1SMcT0001790.4, h1SMcT0001790.2, h1SMcT0022983.6, h1SMcT0022983.1
OG0002752	EWB00_009942	h1SMcT0015526.2, h1SMcT0015526.1, h1SMcT0015526.3
OG0002753	EWB00_009007	h1SMcT0003328.1, h1SMcT0003328.2, h1SMcT0003328.3
OG0002754	EWB00_004118.1, EWB00_004118.2	h1SMcT0000748.1, h1SMcT0023038.1
OG0002755	EWB00_009047.2, EWB00_009047.3, EWB00_009047.4	h1SMcT0006094.1, h1SMcT0006100.1
OG0002756	EWB00_003462	h1SMcT0003135.1, h1SMcT0003135.2, h1SMcT0023066.1, h1SMcT0000588.6, h1SMcT0000588.2, h1SMcT0000588.4, h1SMcT0000588.5
OG0002758	EWB00_006302	h1SMcT0008309.1
OG0002759	EWB00_006974.1, EWB00_006974.2, EWB00_006974.4, EWB00_006974.3	h1SMcT0019699.1, h1SMcT0019699.2
OG0002761	EWB00_009560	h1SMcT0005922.1
OG0002762	EWB00_006682	h1SMcT0017886.1
OG0002763	EWB00_001241.3, EWB00_001241.1, EWB00_001241.2	h1SMcT0014019.1, h1SMcT0014019.2, h1SMcT0014019.3
OG0002766	EWB00_006627	h1SMcT0020057.1
OG0002767	EWB00_002978	h1SMcT0003718.1, h1SMcT0003718.7, h1SMcT0003718.4, h1SMcT0003718.3, h1SMcT0003718.6, h1SMcT0003718.2, h1SMcT0003718.5
OG0002768	EWB00_007195.1, EWB00_007195.2	h1SMcT0009763.1, h1SMcT0009763.2, h1SMcT0009763.3
OG0002770	EWB00_006453	h1SMcT0014243.1, h1SMcT0014243.2
OG0002773	EWB00_003108.2, EWB00_003108.3, EWB00_003108.1	h1SMcT0012073.1, h1SMcT0012073.2, h1SMcT0016018.1, h1SMcT0016018.4, h1SMcT0016018.2, h1SMcT0016018.3
OG0002774	EWB00_007883	h1SMcT0018682.1
OG0002775	EWB00_001770, EWB00_001769	h1SMcT0010432.1, h1SMcT0010432.2
OG0002777	EWB00_010957	h1SMcT0014472.2, h1SMcT0014472.1, h1SMcT0014472.4, h1SMcT0014472.3
OG0002778	EWB00_004788	h1SMcT0007488.1
OG0002779	EWB00_002929, EWB00_002928	h1SMcT0022636.1, h1SMcT0022636.2
OG0002780	EWB00_008963.1, EWB00_008963.2	h1SMcT0000474.2, h1SMcT0000474.4, h1SMcT0001764.1, h1SMcT0004130.1, h1SMcT0010964.1
OG0002782	EWB00_002654	h1SMcT0022604.1
OG0002783	EWB00_008114	h1SMcT0008003.1
OG0002784	EWB00_003721.1, EWB00_003721.2, EWB00_003721.3	h1SMcT0008178.1, h1SMcT0008178.2
OG0002786	EWB00_002690	h1SMcT0010646.1, h1SMcT0010646.2
OG0002787	EWB00_008673	h1SMcT0001295.1, h1SMcT0014123.1
OG0002788	EWB00_004671	h1SMcT0014807.3, h1SMcT0014807.1, h1SMcT0014807.2
OG0002789	EWB00_001061.1, EWB00_001061.2, EWB00_001061.3	h1SMcT0013724.1
OG0002790	EWB00_010995	h1SMcT0010488.1, h1SMcT0010488.2
OG0002792	EWB00_008383.1, EWB00_008383.2, EWB00_008383.3	h1SMcT0001032.3, h1SMcT0001032.1, h1SMcT0001032.2, h1SMcT0001032.4, h1SMcT0001032.5
OG0002794	EWB00_005503.1, EWB00_005503.2	h1SMcT0019472.1, h1SMcT0019472.2
OG0002795	EWB00_005051.2, EWB00_005051.4, EWB00_005051.3, EWB00_005051.1	h1SMcT0021429.1, h1SMcT0021429.2
OG0002796	EWB00_007684.1, EWB00_007684.2	h1SMcT0009699.1
OG0002798	EWB00_010942.1, EWB00_010942.2	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3
OG0002800	EWB00_002260.1, EWB00_002260.2	h1SMcT0017204.1, h1SMcT0017204.2
OG0002801	EWB00_006348	h1SMcT0004739.1
OG0002802	EWB00_000333.2, EWB00_000333.3, EWB00_000333.1	h1SMcT0013333.1, h1SMcT0013333.2
OG0002803	EWB00_005016.2, EWB00_005016.1, EWB00_005016.3	h1SMcT0003358.1
OG0002804	EWB00_006188	h1SMcT0016072.1, h1SMcT0016072.2
OG0002805	EWB00_007833, EWB00_007834	h1SMcT0021082.1
OG0002807	EWB00_002493	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2
OG0002808	EWB00_000226, EWB00_000224, EWB00_000547, EWB00_000223	h1SMcT0003897.1
OG0002809	EWB00_000152	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2
OG0002810	EWB00_008164.1, EWB00_008164.2, EWB00_008164.3	h1SMcT0007485.1, h1SMcT0007485.2
OG0002812	EWB00_000098	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3
OG0002813	EWB00_004567, EWB00_004566	h1SMcT0013510.1
OG0002814	EWB00_007073	h1SMcT0020082.1
