Orthogroup	schistosoma_japonicum	schistosoma_intercalatum
OG0002811	EWB00_002428	SINT1_21970.7, SINT1_21970.2, SINT1_21970.4, SINT1_21970.10, SINT1_21970.8, SINT1_21970.1, SINT1_21970.5, SINT1_21970.6, SINT1_21970.3, SINT1_21970.9
OG0002812	EWB00_000098	SINT1_84440.1
OG0002813	EWB00_004567, EWB00_004566	SINT1_76640.1
OG0002814	EWB00_007073	SINT1_23780.1, SINT1_23780.2
OG0002815	EWB00_007100.1, EWB00_007100.2	SINT1_63090.1
OG0002816	EWB00_010355	SINT1_19700.1, SINT1_19700.2, SINT1_19700.3
OG0002817	EWB00_001285	SINT1_37240.1, SINT1_37240.2, SINT1_37240.3, SINT1_37240.4, SINT1_37240.5
OG0002818	EWB00_004518.1, EWB00_004518.2	SINT1_74290.1
OG0002819	EWB00_008916.1, EWB00_008916.2	SINT1_67950.1, SINT1_67950.2
OG0002820	EWB00_001407, EWB00_001404, EWB00_001405	SINT1_73700.1, SINT1_73700.2, SINT1_73700.3
OG0002821	EWB00_004844.3, EWB00_004844.5, EWB00_004844.1, EWB00_004844.4, EWB00_004844.2	SINT1_4230.1, SINT1_4230.2
OG0002822	EWB00_009673.1, EWB00_009673.2, EWB00_009673.3, EWB00_009673.4, EWB00_009673.5, EWB00_009673.6	SINT1_9890.1
OG0002823	EWB00_002330	SINT1_15120.1, SINT1_15120.2, SINT1_15120.3
OG0002824	EWB00_008799.1, EWB00_008799.3, EWB00_008799.2	SINT1_1830.1
OG0002825	EWB00_008085.1, EWB00_008085.2	SINT1_48630.1
OG0002826	EWB00_007800	SINT1_40790.1, SINT1_40790.3, SINT1_40790.2, SINT1_40790.4
OG0002827	EWB00_002846.1, EWB00_002846.2	SINT1_27310.1
OG0002828	EWB00_006963.3, EWB00_006963.2, EWB00_006963.1	SINT1_28190.1, SINT1_28200.1
OG0002829	EWB00_011311	SINT1_60400.1, SINT1_60400.2
OG0002830	EWB00_007081	SINT1_23600.1, SINT1_23600.2
OG0002831	EWB00_004126	SINT1_15700.1
OG0002832	EWB00_009234	SINT1_80080.1
OG0002833	EWB00_005141	SINT1_56570.1, SINT1_56570.2, SINT1_56570.3, SINT1_56570.4
OG0002834	EWB00_000870.1, EWB00_000870.3, EWB00_000870.2	SINT1_3510.1, SINT1_3510.2
OG0002835	EWB00_009214	SINT1_90020.1
OG0002836	EWB00_000279	SINT1_25660.3, SINT1_25660.2, SINT1_25660.1, SINT1_25660.4
OG0002837	EWB00_004125	SINT1_15710.3, SINT1_15710.1, SINT1_15710.2
OG0002838	EWB00_004159.1, EWB00_004159.2	SINT1_13930.1
OG0002839	EWB00_001593	SINT1_70670.1, SINT1_70670.3, SINT1_70670.2, SINT1_70670.4
OG0002840	EWB00_006717.2, EWB00_006717.1, EWB00_006717.3	SINT1_89790.1, SINT1_89790.2, SINT1_89790.3
OG0002841	EWB00_003674	SINT1_50650.1
OG0002842	EWB00_007355	SINT1_70900.3, SINT1_70900.2, SINT1_70900.1
OG0002843	EWB00_003712	SINT1_26220.5, SINT1_26220.2, SINT1_26220.1, SINT1_26220.4, SINT1_26220.3
OG0002844	EWB00_009990.1, EWB00_009990.2, EWB00_009990.3, EWB00_009990.4	SINT1_67010.1
OG0002845	EWB00_005538.2, EWB00_005538.1, EWB00_005538.3	SINT1_11040.1
OG0002846	EWB00_010309.1, EWB00_010309.2	SINT1_19910.1, SINT1_19910.2
OG0002847	EWB00_005561.1, EWB00_005561.2	SINT1_57550.1, SINT1_57550.2
OG0002848	EWB00_011105	SINT1_60950.1
OG0002849	EWB00_004117.1, EWB00_004117.2	SINT1_13750.1
OG0002850	EWB00_003649.2, EWB00_003649.4, EWB00_003649.1, EWB00_003649.3	SINT1_64330.1
OG0002851	EWB00_001938.1, EWB00_001938.3, EWB00_001938.2, EWB00_001937.1, EWB00_001937.2	SINT1_88140.1
OG0002852	EWB00_002305.1, EWB00_002305.2	SINT1_13830.1
OG0002853	EWB00_004529	SINT1_72250.1
OG0002854	EWB00_003389.1, EWB00_003389.2	SINT1_34630.1, SINT1_34630.2
OG0002855	EWB00_000069.1, EWB00_000069.2	SINT1_17220.1
OG0002856	EWB00_005400	SINT1_53330.1, SINT1_53330.2
OG0002857	EWB00_007138.1, EWB00_007138.2	SINT1_62780.1
OG0002858	EWB00_008506.4, EWB00_008506.6	SINT1_10090.1
OG0002859	EWB00_000389	SINT1_62430.1, SINT1_62430.3, SINT1_62430.2
OG0002860	EWB00_001409.1, EWB00_001409.3, EWB00_001409.2	SINT1_76270.1, SINT1_76270.3, SINT1_76270.2
OG0002861	EWB00_003277	SINT1_86480.1
OG0002862	EWB00_000928	SINT1_64760.1, SINT1_64760.2, SINT1_64760.3
OG0002863	EWB00_000678	SINT1_17480.1
OG0002864	EWB00_006484	SINT1_53710.1
OG0002865	EWB00_004666.2, EWB00_004666.1, EWB00_004666.4, EWB00_004666.3	SINT1_10860.1, SINT1_10860.4, SINT1_10860.2, SINT1_10860.3
OG0002866	EWB00_004245, EWB00_004246, EWB00_006869	SINT1_35770.1
OG0002867	EWB00_009064.1, EWB00_009064.2, EWB00_009064.3, EWB00_009064.4	SINT1_3700.1, SINT1_3700.4, SINT1_3700.2
OG0002868	EWB00_006929.1, EWB00_006929.3, EWB00_006929.2	SINT1_85660.1, SINT1_85660.2, SINT1_85660.3, SINT1_85660.4
OG0002869	EWB00_004651	SINT1_1960.1
OG0002870	EWB00_006870.1, EWB00_006870.2, EWB00_006870.3	SINT1_47510.2, SINT1_47510.1
OG0002871	EWB00_009709.2, EWB00_009709.3, EWB00_009709.1, EWB00_009709.4	SINT1_45070.2, SINT1_45070.1, SINT1_45070.3
OG0002872	EWB00_007610	SINT1_49510.2, SINT1_49510.1
OG0002873	EWB00_008574.3, EWB00_008574.1, EWB00_008574.2	SINT1_90330.1
OG0002874	EWB00_006146	SINT1_39610.1, SINT1_39610.2
OG0002875	EWB00_005307	SINT1_51030.1
OG0002876	EWB00_003668	SINT1_70140.1, SINT1_70140.2, SINT1_70140.3
OG0002877	EWB00_000821.1	SINT1_60350.1
OG0002878	EWB00_010430, EWB00_010821	SINT1_63440.3, SINT1_63440.1, SINT1_63440.2
OG0002879	EWB00_000598.1, EWB00_000598.2, EWB00_000598.4, EWB00_000598.5, EWB00_000598.3	SINT1_18030.3, SINT1_18030.1, SINT1_18030.2
OG0002880	EWB00_002435.1, EWB00_002435.2	SINT1_21900.1
OG0002881	EWB00_000487.1, EWB00_000487.3, EWB00_000487.2	SINT1_58910.2, SINT1_58910.4, SINT1_58910.5, SINT1_58910.1, SINT1_58910.3
OG0002882	EWB00_005444	SINT1_18480.2, SINT1_18480.1
OG0002883	EWB00_005318.2, EWB00_005318.1	SINT1_51140.1, SINT1_51140.2
OG0002884	EWB00_000910	SINT1_64590.1
OG0002885	EWB00_002549	SINT1_46690.3, SINT1_46690.1, SINT1_46690.2
OG0002886	EWB00_008232.2, EWB00_008232.1	SINT1_73390.1, SINT1_73390.2
OG0002889	EWB00_003777.1, EWB00_003777.2	SINT1_80790.1, SINT1_80790.2
OG0002890	EWB00_001076.1, EWB00_001076.4, EWB00_001076.2, EWB00_001076.3	SINT1_27780.5, SINT1_27780.1, SINT1_27780.3, SINT1_27780.4, SINT1_27780.2
OG0002892	EWB00_010988, EWB00_001195	SINT1_96710.1, SINT1_96710.2, SINT1_75230.1
OG0002893	EWB00_001509.1, EWB00_001509.4, EWB00_001509.3, EWB00_001509.2	SINT1_8510.1, SINT1_8510.2, SINT1_8510.3
OG0002894	EWB00_003778	SINT1_80780.1, SINT1_80780.2
OG0002895	EWB00_005862	SINT1_92280.1, SINT1_93510.1, SINT1_93500.1
OG0002896	EWB00_001110.1, EWB00_001110.2	SINT1_24730.2, SINT1_24730.1, SINT1_24730.3
OG0002897	EWB00_004229.1, EWB00_004229.2, EWB00_004229.3	SINT1_25300.1, SINT1_25300.2, SINT1_25300.3
OG0002902	EWB00_006182	SINT1_39310.3, SINT1_39310.2, SINT1_39310.1
OG0002903	EWB00_007350.1, EWB00_007350.2, EWB00_007350.3, EWB00_007350.4, EWB00_007350.5	SINT1_70950.1
OG0002904	EWB00_002403.1, EWB00_002403.2	SINT1_22450.1
OG0002905	EWB00_003998	SINT1_65800.1
OG0002906	EWB00_000629	SINT1_29130.1, SINT1_29130.2, SINT1_29130.3
OG0002907	EWB00_006306	SINT1_5410.1
OG0002908	EWB00_008921	SINT1_67910.1, SINT1_67920.1
OG0002910	EWB00_005467.2, EWB00_005467.1, EWB00_005467.3	SINT1_18710.1
OG0002911	EWB00_002322.3, EWB00_002322.4, EWB00_002322.1, EWB00_002322.2	SINT1_15020.1
OG0002912	EWB00_003648.5, EWB00_003648.4, EWB00_003648.2, EWB00_003648.3, EWB00_003648.1	SINT1_64320.1, SINT1_64320.2
OG0002914	EWB00_002464.1, EWB00_002464.3, EWB00_002464.2	SINT1_16530.2, SINT1_16530.1
OG0002915	EWB00_008242	SINT1_76300.1, SINT1_76300.2, SINT1_76300.4, SINT1_76300.3
OG0002916	EWB00_000674.1, EWB00_000674.2	SINT1_17530.1, SINT1_17530.2
OG0002917	EWB00_007541	SINT1_23110.1
OG0002918	EWB00_009281.1, EWB00_009281.2, EWB00_009281.3	SINT1_80050.1
OG0002919	EWB00_004146	SINT1_84630.1
OG0002920	EWB00_006384.3, EWB00_006384.1, EWB00_006384.4, EWB00_006384.2	SINT1_42940.1
OG0002921	EWB00_001444	SINT1_93410.1, SINT1_93410.2, SINT1_93410.3
OG0002922	EWB00_010996.3, EWB00_010996.1, EWB00_010996.2, EWB00_010996.4, EWB00_010996.5	SINT1_75290.2, SINT1_75290.3, SINT1_75290.1
OG0002923	EWB00_011326	SINT1_60520.1
OG0002924	EWB00_004637	SINT1_11940.1, SINT1_11940.2
OG0002925	EWB00_007687	SINT1_12630.1, SINT1_12630.2
OG0002926	EWB00_005922.1, EWB00_005922.2	SINT1_32490.1
OG0002927	EWB00_008511.1, EWB00_008511.2	SINT1_9730.1, SINT1_9730.2, SINT1_9730.3, SINT1_9730.4, SINT1_9730.5, SINT1_9730.6
OG0002928	EWB00_001377	SINT1_73920.1
OG0002929	EWB00_005762	SINT1_22720.2, SINT1_22720.1
OG0002930	EWB00_002838.1, EWB00_007947, EWB00_002838.2	SINT1_40530.1
OG0002931	EWB00_008800	SINT1_1840.1, SINT1_1840.2
OG0002932	EWB00_004892.1, EWB00_004892.2	SINT1_44950.1, SINT1_44940.1
OG0002933	EWB00_003920, EWB00_003922, EWB00_003921	SINT1_40270.1, SINT1_40270.2, SINT1_40270.3
OG0002934	EWB00_008969	SINT1_91580.1
OG0002935	EWB00_010446.1, EWB00_010446.2	SINT1_65290.1
OG0002936	EWB00_002547	SINT1_46630.1
OG0002938	EWB00_002633, EWB00_002636, EWB00_002634, EWB00_002632	SINT1_77970.1
OG0002939	EWB00_003814	SINT1_13270.1, SINT1_13270.2
OG0002940	EWB00_010745, EWB00_010746	SINT1_47980.1, SINT1_47980.2
OG0002941	EWB00_009279, EWB00_009278, EWB00_011182	SINT1_54930.1
OG0002941	EWB00_009276.1, EWB00_009276.2	SINT1_54940.1
OG0002942	EWB00_001223	SINT1_77250.1
OG0002943	EWB00_001225.1, EWB00_001225.2	SINT1_77270.1, SINT1_77270.2, SINT1_77270.3
OG0002944	EWB00_006517	SINT1_17580.1, SINT1_17610.1
OG0002945	EWB00_004561	SINT1_76600.1, SINT1_76600.2
OG0002946	EWB00_005483	SINT1_18870.1
OG0002947	EWB00_001682	SINT1_87970.1
OG0002948	EWB00_000229.1, EWB00_000229.2, EWB00_000229.3	SINT1_60270.1
OG0002949	EWB00_001776	SINT1_34170.1, SINT1_34170.2, SINT1_34170.3
OG0002950	EWB00_008655	SINT1_69350.1, SINT1_69350.2
OG0002951	EWB00_007699.1, EWB00_007699.2, EWB00_007699.3	SINT1_37850.1
OG0002952	EWB00_004417, EWB00_004416	SINT1_50350.1
OG0002953	EWB00_007337	SINT1_3240.1, SINT1_3240.2, SINT1_3240.5, SINT1_3240.3, SINT1_3240.4
OG0002954	EWB00_007955	SINT1_59740.1
OG0002955	EWB00_003441	SINT1_72760.1
OG0002956	EWB00_004785.1, EWB00_004785.2	SINT1_93180.1
OG0002957	EWB00_009939.1, EWB00_009939.4, EWB00_009939.3, EWB00_009939.2	SINT1_69450.1, SINT1_69450.2
OG0002958	EWB00_009830.1, EWB00_009830.2	SINT1_66290.2, SINT1_66290.1, SINT1_66290.3
OG0002959	EWB00_006928	SINT1_85650.1
OG0002960	EWB00_008079.3, EWB00_008079.1, EWB00_008079.2	SINT1_48610.1, SINT1_48610.2
OG0002961	EWB00_000045	SINT1_19320.1
OG0002962	EWB00_003995, EWB00_003994	SINT1_65820.1, SINT1_65820.2, SINT1_65820.3
OG0002963	EWB00_005062.1, EWB00_005062.2	SINT1_14020.1
OG0002964	EWB00_004221	SINT1_25240.1, SINT1_25240.2, SINT1_25240.3
OG0002965	EWB00_008384	SINT1_90890.3, SINT1_90890.1, SINT1_90890.2
OG0002966	EWB00_000021.2, EWB00_000021.3, EWB00_000021.1, EWB00_000021.4	SINT1_43910.1
OG0002967	EWB00_011093	SINT1_60810.1
OG0002969	EWB00_010617, EWB00_010614	SINT1_52700.1
OG0002970	EWB00_000815.1, EWB00_000815.2, EWB00_000815.3	SINT1_10030.1
OG0002971	EWB00_009795	SINT1_62680.1
OG0002972	EWB00_001168.1, EWB00_001168.2, EWB00_001168.3	SINT1_61420.3
OG0002973	EWB00_005414.1, EWB00_005414.2, EWB00_005414.3	SINT1_48440.1, SINT1_48440.2
OG0002974	EWB00_005917	SINT1_32560.1
OG0002975	EWB00_004394.1, EWB00_004394.3, EWB00_004394.2	SINT1_38320.1, SINT1_38320.2
OG0002977	EWB00_009513	SINT1_8040.5, SINT1_8040.7, SINT1_8040.4, SINT1_8040.1, SINT1_8040.2, SINT1_8040.3, SINT1_8040.6
OG0002979	EWB00_010784	SINT1_21650.1, SINT1_21650.2, SINT1_21650.3
OG0002980	EWB00_009149.3, EWB00_009149.1, EWB00_009149.2	SINT1_29430.2, SINT1_29430.1
OG0002981	EWB00_001172.1, EWB00_001172.2	SINT1_74110.1
OG0002982	EWB00_005370.5, EWB00_005370.1, EWB00_005370.3, EWB00_005370.2, EWB00_005370.4	SINT1_53600.1
OG0002983	EWB00_001113.1, EWB00_001113.2	SINT1_24760.1
OG0002985	EWB00_004643	SINT1_2050.1, SINT1_2050.4, SINT1_2050.2, SINT1_2050.3, SINT1_2050.5
OG0002986	EWB00_008512, EWB00_009623	SINT1_10170.1
OG0002988	EWB00_005524.1, EWB00_005524.2	SINT1_91440.1, SINT1_91440.2
OG0002989	EWB00_002981	SINT1_49340.3, SINT1_49340.1, SINT1_49340.2, SINT1_49340.5, SINT1_49340.4
OG0002990	EWB00_006767	SINT1_79650.1, SINT1_79650.2
OG0002991	EWB00_011215.3	SINT1_32020.1, SINT1_32020.2
OG0002992	EWB00_011051	SINT1_74810.1
OG0002993	EWB00_008402.1, EWB00_008402.2	SINT1_82590.1
OG0002994	EWB00_008806	SINT1_19500.1
OG0002995	EWB00_011403	SINT1_87530.1
OG0002996	EWB00_002315	SINT1_14970.2, SINT1_14970.3, SINT1_14970.4, SINT1_14970.1
OG0002997	EWB00_007863	SINT1_34440.1
OG0002998	EWB00_001001	SINT1_44620.1
OG0002999	EWB00_011297	SINT1_60140.2, SINT1_60140.4, SINT1_60140.1, SINT1_60140.5, SINT1_60140.6, SINT1_60140.3
OG0003000	EWB00_005001	SINT1_27120.1, SINT1_27120.2, SINT1_27120.3, SINT1_27120.4
OG0003001	EWB00_005005	SINT1_27060.1, SINT1_27060.2
OG0003002	EWB00_010348.1, EWB00_010348.2, EWB00_010348.3, EWB00_010348.4	SINT1_19770.1
OG0003004	EWB00_001367	SINT1_74030.1
OG0003005	EWB00_007764.1, EWB00_007764.2	SINT1_53890.1
OG0003006	EWB00_009601.1, EWB00_009601.2, EWB00_009601.3	SINT1_83520.1, SINT1_83520.2, SINT1_83520.3
OG0003007	EWB00_011096.1, EWB00_011096.2, EWB00_011096.3	SINT1_60860.1
OG0003008	EWB00_011210.2, EWB00_011210.1, EWB00_011210.3	SINT1_32080.1
OG0003010	EWB00_000953.3, EWB00_000953.2, EWB00_000953.1, EWB00_000953.5, EWB00_000953.4	SINT1_70020.1
OG0003011	EWB00_005980	SINT1_30440.1
OG0003012	EWB00_011151	SINT1_61280.1
OG0003013	EWB00_007403.1, EWB00_007403.2	SINT1_77070.1, SINT1_77070.2
OG0003014	EWB00_010168.1, EWB00_010168.2, EWB00_010168.3, EWB00_010166, EWB00_010167	SINT1_43350.1, SINT1_82810.1
OG0003015	EWB00_009554	SINT1_43380.1, SINT1_43380.2, SINT1_43380.3
OG0003016	EWB00_007145.2, EWB00_007145.1, EWB00_007145.3, EWB00_007145.4	SINT1_74490.1
OG0003017	EWB00_004426.1, EWB00_004426.2, EWB00_004426.3	SINT1_50230.1, SINT1_50260.1
OG0003018	EWB00_000565	SINT1_92980.1, SINT1_92980.2
OG0003019	EWB00_007253	SINT1_73560.1
OG0003020	EWB00_003278.4, EWB00_003278.3, EWB00_003278.1, EWB00_003278.2, EWB00_003278.5	SINT1_28870.1
OG0003021	EWB00_007311.2, EWB00_007311.1, EWB00_007311.3	SINT1_82840.1
OG0003022	EWB00_005245	SINT1_25020.3, SINT1_25020.2, SINT1_25020.1
OG0003023	EWB00_010173	SINT1_82770.3, SINT1_82770.2, SINT1_82770.1
OG0003024	EWB00_004568.1, EWB00_004568.2	SINT1_76650.1, SINT1_76650.2
OG0003025	EWB00_005613.2, EWB00_005613.1, EWB00_005613.5, EWB00_005613.3, EWB00_005613.4	SINT1_36980.1
OG0003026	EWB00_002945.1, EWB00_002945.2	SINT1_33230.1, SINT1_33230.2, SINT1_33230.3
OG0003027	EWB00_007627, EWB00_007628	SINT1_16790.1, SINT1_16780.1
OG0003029	EWB00_008949.1, EWB00_008949.2	SINT1_80650.1
OG0003030	EWB00_010353	SINT1_19710.2, SINT1_19710.1
OG0003031	EWB00_004696.1, EWB00_004696.2	SINT1_64060.1
OG0003032	EWB00_011252	SINT1_58670.1, SINT1_58670.2
OG0003033	EWB00_002562, EWB00_002561	SINT1_46800.1
OG0003034	EWB00_001483	SINT1_81040.1, SINT1_81040.2, SINT1_81040.3, SINT1_81040.4
OG0003036	EWB00_007302	SINT1_82920.1, SINT1_82930.1, SINT1_82940.1
OG0003037	EWB00_002276	SINT1_78370.1
OG0003038	EWB00_006825	SINT1_52100.1
OG0003039	EWB00_000186	SINT1_46070.1, SINT1_46070.2
OG0003040	EWB00_006008	SINT1_30110.5, SINT1_30110.1, SINT1_30110.2, SINT1_30110.3, SINT1_30110.4
OG0003041	EWB00_002125.1, EWB00_002125.2	SINT1_32940.1
OG0003042	EWB00_007978.1, EWB00_007978.2	SINT1_40860.1
OG0003043	EWB00_010761, EWB00_010762	SINT1_47830.1, SINT1_47830.2
OG0003044	EWB00_004449.2, EWB00_004449.6, EWB00_004449.5, EWB00_004449.1, EWB00_004449.4	SINT1_7810.1
OG0003045	EWB00_006509	SINT1_51560.1
OG0003046	EWB00_006508.1, EWB00_006508.2	SINT1_51570.1, SINT1_51570.2
OG0003047	EWB00_010012	SINT1_13060.3, SINT1_13060.1, SINT1_13060.2
OG0003048	EWB00_003618.1, EWB00_003618.4, EWB00_003618.2, EWB00_003618.3	SINT1_95870.1, SINT1_45770.1
OG0003049	EWB00_003619.1, EWB00_003619.2	SINT1_45760.2, SINT1_45760.1
OG0003050	EWB00_001236	SINT1_77410.2, SINT1_77410.1, SINT1_77400.1
OG0003051	EWB00_001091.2, EWB00_001091.3, EWB00_001091.4, EWB00_001091.5, EWB00_001091.6, EWB00_001091.1	SINT1_24490.1, SINT1_24490.2
OG0003052	EWB00_003655.2, EWB00_003655.4	SINT1_64410.1
OG0003053	EWB00_005047	SINT1_26630.2, SINT1_26630.1
OG0003054	EWB00_003074.1, EWB00_003074.2	SINT1_8930.1, SINT1_8930.2, SINT1_8930.3
OG0003055	EWB00_003562	SINT1_56200.1
OG0003056	EWB00_003086, EWB00_003087	SINT1_8810.1, SINT1_8810.2
OG0003057	EWB00_007110.1, EWB00_007110.2, EWB00_007110.3, EWB00_007110.4	SINT1_62980.2, SINT1_62980.5, SINT1_62980.6, SINT1_62980.3, SINT1_62980.1, SINT1_62980.4
OG0003058	EWB00_008316	SINT1_90440.1
OG0003059	EWB00_004270.3, EWB00_004270.1, EWB00_004270.2	SINT1_35960.2, SINT1_35960.3, SINT1_35960.4, SINT1_35960.1
OG0003060	EWB00_003557.1, EWB00_003557.2	SINT1_51880.1
OG0003062	EWB00_001918	SINT1_88250.1
OG0003063	EWB00_006552	SINT1_17860.1
OG0003064	EWB00_004450	SINT1_7820.1, SINT1_7830.1, SINT1_7830.2
OG0003065	EWB00_002430	SINT1_21950.1
OG0003066	EWB00_005896.2, EWB00_005896.1, EWB00_005896.3	SINT1_92480.2, SINT1_92480.1
OG0003067	EWB00_006984	SINT1_24960.2, SINT1_24960.1
OG0003068	EWB00_007267	SINT1_75580.1, SINT1_75580.2
OG0003069	EWB00_007924.1, EWB00_007924.2, EWB00_007924.3	SINT1_69670.3, SINT1_69670.1, SINT1_69670.2
OG0003070	EWB00_001470	SINT1_35250.1
OG0003071	EWB00_011317.1, EWB00_011317.2, EWB00_011317.3	SINT1_60450.1
OG0003072	EWB00_002274	SINT1_78350.1
OG0003073	EWB00_008884	SINT1_63610.1
OG0003074	EWB00_010530.1, EWB00_010530.2	SINT1_58470.1
OG0003075	EWB00_008858	SINT1_57300.1
OG0003076	EWB00_011230	SINT1_57260.1, SINT1_57260.2
OG0003077	EWB00_007256	SINT1_73590.1, SINT1_73590.2
OG0003078	EWB00_011108.3, EWB00_011108.4, EWB00_011108.8, EWB00_011108.1, EWB00_011108.2, EWB00_011108.5, EWB00_011108.6, EWB00_011108.7	SINT1_60920.1
OG0003079	EWB00_001066, EWB00_002969.2, EWB00_002969.4, EWB00_002969.3, EWB00_002969.1	SINT1_56180.1
OG0003080	EWB00_005547	SINT1_11120.2, SINT1_11120.3, SINT1_11120.1
OG0003081	EWB00_004182.2, EWB00_004183, EWB00_004182.3, EWB00_004182.1	SINT1_14800.1
OG0003082	EWB00_005350.1, EWB00_005350.2	SINT1_50040.1, SINT1_50040.2
OG0003083	EWB00_008187.1, EWB00_008187.2, EWB00_008187.5, EWB00_008187.3, EWB00_008187.4	SINT1_78110.1, SINT1_78110.2
OG0003084	EWB00_006599	SINT1_71870.1, SINT1_71870.2
OG0003085	EWB00_009540.1, EWB00_009540.3, EWB00_009540.4, EWB00_009540.2	SINT1_38730.1
OG0003086	EWB00_010401.4, EWB00_010401.1, EWB00_010401.2, EWB00_010401.3	SINT1_65410.1, SINT1_65410.2
OG0003087	EWB00_009973	SINT1_94290.1
OG0003088	EWB00_002485	SINT1_20710.1, SINT1_20710.2, SINT1_20710.3
OG0003089	EWB00_005476	SINT1_18780.1
OG0003090	EWB00_010110.1, EWB00_010110.2	SINT1_31960.1
OG0003091	EWB00_008765.1, EWB00_008765.2	SINT1_91400.1
OG0003092	EWB00_009635	SINT1_82150.1
OG0003095	EWB00_010734.3, EWB00_010734.1, EWB00_010734.2, EWB00_010734.4, EWB00_010734.6, EWB00_010734.5, EWB00_010734.7, EWB00_010734.8	SINT1_48050.1, SINT1_48050.2, SINT1_95570.1
OG0003096	EWB00_007155.1, EWB00_007155.2	SINT1_74570.3, SINT1_74570.1, SINT1_74570.2
OG0003097	EWB00_009301	SINT1_65560.1
OG0003098	EWB00_010278	SINT1_15880.1
OG0003099	EWB00_006370	SINT1_43080.1
OG0003107	EWB00_005250.1, EWB00_005250.3, EWB00_005250.2	SINT1_55990.1
OG0003108	EWB00_008029.1, EWB00_008029.3, EWB00_008029.2, EWB00_008029.4	SINT1_26430.1
OG0003109	EWB00_002369.4, EWB00_002369.1, EWB00_002369.2, EWB00_002369.3	SINT1_15340.1, SINT1_15340.2
OG0003111	EWB00_007357.1, EWB00_007357.2	SINT1_70890.1, SINT1_70890.2
OG0003112	EWB00_006248.1, EWB00_006248.5, EWB00_006248.4, EWB00_006248.2, EWB00_006248.3	SINT1_67260.2, SINT1_67260.1
OG0003114	EWB00_006927.3, EWB00_006927.1, EWB00_006927.2	SINT1_85640.1
OG0003115	EWB00_010917	SINT1_72810.1
OG0003116	EWB00_004873.2, EWB00_004873.1, EWB00_004873.3	SINT1_86710.1
OG0003117	EWB00_005464.1, EWB00_005464.2	SINT1_18670.1, SINT1_18670.2
OG0003118	EWB00_007809.3, EWB00_007809.2, EWB00_007809.1	SINT1_40700.1
OG0003119	EWB00_002143.1, EWB00_002143.2	SINT1_33080.1, SINT1_33080.2
OG0003120	EWB00_000963.1, EWB00_000963.2	SINT1_69930.1
OG0003122	EWB00_010246	SINT1_490.1, SINT1_490.2
OG0003123	EWB00_010391	SINT1_82140.1
OG0003123	EWB00_002591	SINT1_82190.1
OG0003124	EWB00_003249	SINT1_89130.2, SINT1_89130.3, SINT1_89130.1, SINT1_89130.4
OG0003125	EWB00_008233.1	SINT1_73380.1
OG0003126	EWB00_000047.1, EWB00_000047.4, EWB00_000047.2, EWB00_000047.3	SINT1_19350.1
OG0003127	EWB00_000622	SINT1_84890.1, SINT1_84890.3, SINT1_84890.2
OG0003128	EWB00_001499.1, EWB00_001499.2	SINT1_80960.1
OG0003129	EWB00_007584	SINT1_2790.1
OG0003130	EWB00_006947.1, EWB00_006947.2, EWB00_006947.3	SINT1_28020.2, SINT1_28020.1
OG0003131	EWB00_002699	SINT1_71460.1, SINT1_71460.2
OG0003132	EWB00_002867.1, EWB00_002867.2	SINT1_24000.1, SINT1_24000.2, SINT1_24000.3, SINT1_24000.4
OG0003133	EWB00_000499.1, EWB00_000499.3, EWB00_000499.2	SINT1_59010.1
OG0003134	EWB00_002618.1, EWB00_002618.3, EWB00_002618.2	SINT1_82240.1
OG0003135	EWB00_004305	SINT1_36300.1
OG0003136	EWB00_008466.1, EWB00_008466.2, EWB00_008466.3	SINT1_10310.1, SINT1_10310.2, SINT1_10310.3
OG0003137	EWB00_008830	SINT1_80230.1
OG0003138	EWB00_005081, EWB00_005080	SINT1_88900.1, SINT1_88900.2, SINT1_88920.1, SINT1_88910.1, SINT1_88910.2
OG0003139	EWB00_002982	SINT1_49320.1, SINT1_96130.1
OG0003140	EWB00_007444.1	SINT1_31080.1
OG0003141	EWB00_011154.2, EWB00_011154.3, EWB00_011154.4, EWB00_011154.1	SINT1_61290.1
OG0003143	EWB00_007165	SINT1_74650.4, SINT1_74650.1, SINT1_74650.2, SINT1_74650.3
OG0003144	EWB00_006185	SINT1_39290.3, SINT1_39290.1, SINT1_39290.2
OG0003145	EWB00_010319.1, EWB00_010319.2	SINT1_20040.1, SINT1_20040.2
OG0003146	EWB00_003651.1, EWB00_003651.2	SINT1_64350.1, SINT1_64350.2, SINT1_64350.3
OG0003147	EWB00_003001	SINT1_49170.1
OG0003148	EWB00_005096	SINT1_91030.1
OG0003149	EWB00_001204.1, EWB00_001204.2	SINT1_55940.1, SINT1_55940.2
OG0003150	EWB00_001265.1, EWB00_001265.2	SINT1_77660.1
OG0003151	EWB00_005365.1, EWB00_005365.2	SINT1_49890.1, SINT1_49890.2
OG0003152	EWB00_001276	SINT1_37170.1, SINT1_37170.2
OG0003153	EWB00_010929	SINT1_72900.4, SINT1_72900.2, SINT1_72900.3, SINT1_72900.1
OG0003154	EWB00_006862	SINT1_35690.3, SINT1_35690.1, SINT1_35690.2
OG0003155	EWB00_006098	SINT1_70290.1
OG0003156	EWB00_003140.1, EWB00_003140.2, EWB00_003140.3	SINT1_38210.1, SINT1_38210.2
