Orthogroup	schistosoma_haematobium	s.mekongi
OG0002342	SHAE2_4050.1	KAK4475632.1
OG0002343	SHAE2_46650.1	KAK4472783.1
OG0002344	SHAE2_64360.3, SHAE2_64360.1, SHAE2_64360.2	KAK4471870.1
OG0002345	SHAE2_92750.1, SHAE2_92750.2	KAK4468737.1
OG0002346	SHAE2_27650.1	KAK4473237.1
OG0002347	SHAE2_22880.1, SHAE2_22870.1	KAK4474998.1, KAK4474997.1
OG0002349	SHAE2_94220.2, SHAE2_94220.3, SHAE2_94220.1, SHAE2_94220.4	KAK4468594.1
OG0002350	SHAE2_39430.3, SHAE2_39430.4, SHAE2_39430.1, SHAE2_39430.2	KAK4474000.1
OG0002351	SHAE2_54300.1, SHAE2_54300.2	KAK4469666.1
OG0002352	SHAE2_93720.1, SHAE2_93720.2, SHAE2_93720.3, SHAE2_93720.4	KAK4468684.1
OG0002353	SHAE2_79650.1	KAK4470343.1
OG0002355	SHAE2_77950.1	KAK4470597.1
OG0002356	SHAE2_69730.6, SHAE2_69730.7, SHAE2_69730.8, SHAE2_69730.2, SHAE2_69730.3, SHAE2_69730.4, SHAE2_69730.5, SHAE2_69730.1, SHAE2_69730.10, SHAE2_69730.11, SHAE2_69730.9	KAK4471254.1
OG0002357	SHAE2_30070.1	KAK4473135.1
OG0002357	SHAE2_30060.1	KAK4473137.1
OG0002358	SHAE2_19790.3, SHAE2_19790.1, SHAE2_19790.2	KAK4474939.1
OG0002359	SHAE2_16080.1, SHAE2_16080.2, SHAE2_16080.3, SHAE2_16080.4	KAK4474550.1
OG0002360	SHAE2_80740.1	KAK4470696.1
OG0002361	SHAE2_90090.1, SHAE2_90090.2	KAK4468109.1
OG0002362	SHAE2_69470.1, SHAE2_69470.2, SHAE2_69470.3	KAK4471226.1
OG0002363	SHAE2_73180.2, SHAE2_73180.1, SHAE2_73180.4, SHAE2_73180.3	KAK4471743.1
OG0002364	SHAE2_45940.1, SHAE2_45940.2, SHAE2_45940.3	KAK4473538.1
OG0002365	SHAE2_5160.2, SHAE2_5160.6, SHAE2_5160.3, SHAE2_5160.5, SHAE2_5160.4, SHAE2_5160.1, SHAE2_5160.7	KAK4475751.1
OG0002370	SHAE2_51260.1	KAK4469597.1
OG0002370	SHAE2_49720.1	KAK4469133.1
OG0002371	SHAE2_2020.1, SHAE2_2020.2	KAK4474916.1
OG0002372	SHAE2_67750.1	KAK4467224.1, KAK4471312.1
OG0002373	SHAE2_80790.1, SHAE2_80790.3, SHAE2_80790.4	KAK4470701.1
OG0002374	SHAE2_6110.1	KAK4475820.1
OG0002375	SHAE2_100900.2, SHAE2_100900.3, SHAE2_100900.5, SHAE2_100900.6, SHAE2_100900.4, SHAE2_100900.1	KAK4467780.1
OG0002376	SHAE2_76710.1, SHAE2_76710.2, SHAE2_76710.3	KAK4470257.1
OG0002377	SHAE2_32050.1, SHAE2_32020.1	KAK4472439.1
OG0002378	SHAE2_42830.1, SHAE2_42840.1	KAK4473698.1
OG0002379	SHAE2_45650.1	KAK4473511.1
OG0002380	SHAE2_23620.1	KAK4475429.1, KAK4470544.1
OG0002381	SHAE2_56880.1, SHAE2_56880.2	KAK4469366.1
OG0002382	SHAE2_11770.1	KAK4474375.1
OG0002383	SHAE2_55540.1, SHAE2_55540.2, SHAE2_55540.3	KAK4469692.1
OG0002384	SHAE2_86380.2, SHAE2_86380.1, SHAE2_86380.3	KAK4467987.1
OG0002385	SHAE2_31080.1	KAK4472809.1
OG0002386	SHAE2_36050.1, SHAE2_36030.4, SHAE2_36030.3, SHAE2_36030.1, SHAE2_36030.2	KAK4472367.1, KAK4472366.1
OG0002387	SHAE2_81710.1, SHAE2_81710.2	KAK4470018.1
OG0002388	SHAE2_12600.4, SHAE2_12600.2, SHAE2_12600.5, SHAE2_12600.6, SHAE2_12600.1, SHAE2_12600.3	KAK4475940.1
OG0002389	SHAE2_93870.5, SHAE2_93870.10, SHAE2_93870.6, SHAE2_93870.8, SHAE2_93870.2, SHAE2_93870.1, SHAE2_93870.9, SHAE2_93870.7, SHAE2_93870.3, SHAE2_93870.4	KAK4468669.1
OG0002390	SHAE2_18510.2, SHAE2_18510.1, SHAE2_18510.3	KAK4474823.1
OG0002391	SHAE2_20940.1	KAK4475150.1
OG0002392	SHAE2_96340.1	KAK4468612.1
OG0002393	SHAE2_63390.2, SHAE2_63390.3, SHAE2_63390.1	KAK4472029.1
OG0002394	SHAE2_33440.1, SHAE2_33440.2, SHAE2_33440.4, SHAE2_33440.5, SHAE2_33440.3, SHAE2_33440.7, SHAE2_33440.6	KAK4472676.1
OG0002395	SHAE2_88770.1, SHAE2_88770.2	KAK4468093.1, KAK4468094.1
OG0002396	SHAE2_35100.1	KAK4472397.1
OG0002397	SHAE2_83260.1, SHAE2_83260.2, SHAE2_83260.3, SHAE2_83260.4	KAK4470885.1
OG0002398	SHAE2_5850.3, SHAE2_5850.4, SHAE2_5850.5, SHAE2_5850.6, SHAE2_5850.2, SHAE2_5850.1	KAK4475858.1
OG0002399	SHAE2_43780.2, SHAE2_43780.1	KAK4473606.1
OG0002400	SHAE2_3560.2, SHAE2_3560.1, SHAE2_3560.3	KAK4475588.1
OG0002401	SHAE2_101570.1	KAK4467838.1
OG0002402	SHAE2_21840.3, SHAE2_21840.1, SHAE2_21840.2, SHAE2_21830.1, SHAE2_21830.2	KAK4475402.1
OG0002403	SHAE2_103280.1, SHAE2_103280.2, SHAE2_103280.3, SHAE2_103280.4	KAK4473070.1
OG0002404	SHAE2_66090.1	KAK4471785.1
OG0002405	SHAE2_2140.2, SHAE2_2140.1	KAK4475049.1
OG0002406	SHAE2_10390.3, SHAE2_10390.5, SHAE2_10390.2, SHAE2_10390.4, SHAE2_10390.1	KAK4475993.1
OG0002407	SHAE2_9960.1	KAK4476136.1
OG0002408	SHAE2_78200.3, SHAE2_78200.4, SHAE2_78200.2, SHAE2_78200.1	KAK4470613.1
OG0002409	SHAE2_89830.3, SHAE2_89830.1, SHAE2_89830.2	KAK4468127.1
OG0002410	SHAE2_38330.3, SHAE2_38330.1, SHAE2_38330.4, SHAE2_38330.2	KAK4474104.1
OG0002411	SHAE2_94060.1	KAK4468652.1
OG0002412	SHAE2_31760.1	KAK4472430.1
OG0002413	SHAE2_92500.1	KAK4468788.1
OG0002415	SHAE2_22670.1, SHAE2_22670.2, SHAE2_22670.3, SHAE2_22670.4	KAK4474976.1
OG0002416	SHAE2_43730.4, SHAE2_43730.3, SHAE2_43730.1, SHAE2_43730.2, SHAE2_43730.5	KAK4473611.1
OG0002417	SHAE2_18300.5, SHAE2_18300.6, SHAE2_18300.1, SHAE2_18300.2, SHAE2_18300.3, SHAE2_18300.4	KAK4474808.1
OG0002418	SHAE2_35870.1	KAK4472382.1
OG0002419	SHAE2_30950.2, SHAE2_30950.1, SHAE2_30950.3, SHAE2_30950.4, SHAE2_30950.5	KAK4472820.1
OG0002420	SHAE2_36080.1	KAK4472363.1
OG0002421	SHAE2_76100.1, SHAE2_76100.2, SHAE2_76100.5, SHAE2_76100.4, SHAE2_76100.3	KAK4470174.1
OG0002422	SHAE2_37600.1, SHAE2_37600.2	KAK4474164.1
OG0002423	SHAE2_75000.2, SHAE2_75000.3, SHAE2_75000.1	KAK4470832.1
OG0002425	SHAE2_37360.1, SHAE2_37360.2	KAK4474187.1
OG0002426	SHAE2_39850.1, SHAE2_39850.2	KAK4473965.1
OG0002427	SHAE2_10380.1	KAK4475994.1
OG0002428	SHAE2_14350.1	KAK4474646.1
OG0002429	SHAE2_42890.1, SHAE2_42890.2	KAK4473683.1
OG0002430	SHAE2_78980.1	KAK4470471.1
OG0002431	SHAE2_39590.3, SHAE2_39590.1, SHAE2_39590.2	KAK4473988.1
OG0002432	SHAE2_64810.1	KAK4471897.1
OG0002433	SHAE2_21580.1	KAK4475085.1
OG0002434	SHAE2_37680.1	KAK4474158.1
OG0002435	SHAE2_31010.1, SHAE2_31010.2	KAK4472802.1
OG0002436	SHAE2_24290.3, SHAE2_24290.4, SHAE2_24290.2, SHAE2_24290.1	KAK4475444.1
OG0002437	SHAE2_55940.1, SHAE2_55940.4, SHAE2_55940.3, SHAE2_55940.5, SHAE2_55940.2	KAK4469477.1
OG0002438	SHAE2_36320.4, SHAE2_36320.5, SHAE2_36320.1, SHAE2_36320.2, SHAE2_36320.3	KAK4472333.1
OG0002439	SHAE2_56090.1	KAK4469502.1
OG0002440	SHAE2_73490.6, SHAE2_73490.1, SHAE2_73490.3, SHAE2_73490.4, SHAE2_73490.5, SHAE2_73490.2	KAK4471468.1
OG0002441	SHAE2_52310.1, SHAE2_52310.2	KAK4469282.1
OG0002442	SHAE2_45430.1, SHAE2_45430.2, SHAE2_45430.3	KAK4473493.1
OG0002443	SHAE2_48510.1	KAK4473569.1
OG0002444	SHAE2_61230.1	KAK4471163.1
OG0002445	SHAE2_73510.1, SHAE2_73510.3, SHAE2_73510.4, SHAE2_73510.2	KAK4471033.1, KAK4471034.1
OG0002446	SHAE2_66660.1, SHAE2_66660.3, SHAE2_66660.2	KAK4471713.1
OG0002447	SHAE2_8020.1	KAK4475948.1
OG0002448	SHAE2_34550.1, SHAE2_34550.4, SHAE2_34550.2, SHAE2_34550.3	KAK4474203.1
OG0002449	SHAE2_20460.1	KAK4475205.1
OG0002450	SHAE2_69450.3, SHAE2_69450.2, SHAE2_69450.1, SHAE2_69450.4	KAK4471224.1
OG0002451	SHAE2_76130.1, SHAE2_76130.4, SHAE2_76130.5, SHAE2_76130.2, SHAE2_76130.3	KAK4470176.1
OG0002452	SHAE2_8500.1, SHAE2_8500.2, SHAE2_8500.3	KAK4476118.1
OG0002453	SHAE2_79220.1, SHAE2_50410.2, SHAE2_50410.5, SHAE2_50410.4, SHAE2_50410.1, SHAE2_50410.3	KAK4469090.1
OG0002454	SHAE2_71390.1	KAK4471609.1
OG0002455	SHAE2_70200.4, SHAE2_70200.2, SHAE2_70200.3, SHAE2_70200.5, SHAE2_70200.1, SHAE2_70200.6	KAK4471329.1
OG0002456	SHAE2_35080.1	KAK4472501.1
OG0002457	SHAE2_75270.1	KAK4470483.1
OG0002458	SHAE2_89850.1, SHAE2_89850.2	KAK4468125.1
OG0002459	SHAE2_41060.1, SHAE2_41060.2, SHAE2_41060.3, SHAE2_41060.4	KAK4473929.1
OG0002460	SHAE2_10130.1, SHAE2_10130.2, SHAE2_10130.7, SHAE2_10130.5, SHAE2_10130.4, SHAE2_10130.3, SHAE2_10130.6	KAK4476149.1
OG0002461	SHAE2_11270.1	KAK4474949.1
OG0002462	SHAE2_68450.2, SHAE2_68450.3, SHAE2_68450.1	KAK4471476.1
OG0002463	SHAE2_88930.1, SHAE2_88930.2	KAK4467460.1
OG0002464	SHAE2_30340.1, SHAE2_30340.2	KAK4473107.1
OG0002465	SHAE2_87340.1, SHAE2_87340.2, SHAE2_87340.3	KAK4468232.1
OG0002466	SHAE2_99290.6, SHAE2_99290.7, SHAE2_99290.3, SHAE2_99290.4, SHAE2_99290.5, SHAE2_99290.1, SHAE2_99290.2	KAK4467611.1
OG0002467	SHAE2_53780.1, SHAE2_53780.2	KAK4469429.1
OG0002468	SHAE2_80360.1	KAK4470508.1
OG0002469	SHAE2_4980.1, SHAE2_4980.2	KAK4475730.1
OG0002470	SHAE2_83590.2, SHAE2_83590.3, SHAE2_83590.1	KAK4470917.1
OG0002471	SHAE2_79410.1, SHAE2_79410.2, SHAE2_79410.3	KAK4470366.1
OG0002472	SHAE2_39730.1, SHAE2_39730.3, SHAE2_39730.2	KAK4473974.1
OG0002473	SHAE2_11640.3, SHAE2_11640.4, SHAE2_11640.5, SHAE2_11640.1, SHAE2_11640.2	KAK4474357.1
OG0002474	SHAE2_93340.1, SHAE2_93340.2, SHAE2_93340.4, SHAE2_93340.3	KAK4468715.1
OG0002475	SHAE2_20980.1	KAK4475148.1
OG0002476	SHAE2_33210.5, SHAE2_33210.6, SHAE2_33210.7, SHAE2_33210.4, SHAE2_33210.1, SHAE2_33210.3, SHAE2_33210.2	KAK4472699.1
OG0002477	SHAE2_80940.1, SHAE2_80940.4, SHAE2_80940.3, SHAE2_80940.2	KAK4470715.1
OG0002478	SHAE2_54510.1, SHAE2_54510.2	KAK4469646.1
OG0002479	SHAE2_67550.1	KAK4471422.1
OG0002480	SHAE2_30140.1	KAK4473129.1
OG0002481	SHAE2_6570.1	KAK4475915.1
OG0002482	SHAE2_65820.2, SHAE2_65820.3, SHAE2_65820.1	KAK4471812.1
OG0002483	SHAE2_23020.1	KAK4475013.1
OG0002484	SHAE2_26170.1	KAK4473299.1
OG0002485	SHAE2_37050.1	KAK4472541.1
OG0002486	SHAE2_26290.1, SHAE2_26290.2	KAK4473286.1
OG0002487	SHAE2_84370.1, SHAE2_84370.3, SHAE2_84370.2, SHAE2_84370.4, SHAE2_84370.5, SHAE2_84370.6, SHAE2_84370.8, SHAE2_84370.7	KAK4470995.1
OG0002488	SHAE2_58020.1, SHAE2_58020.2	KAK4469858.1
OG0002489	SHAE2_29590.1	KAK4473026.1
OG0002490	SHAE2_78690.1, SHAE2_78690.2, SHAE2_78690.3, SHAE2_78690.4, SHAE2_78690.5, SHAE2_78690.6	KAK4470660.1
OG0002491	SHAE2_98320.2, SHAE2_98320.1	KAK4467913.1
OG0002492	SHAE2_79400.3, SHAE2_79400.4, SHAE2_79400.1, SHAE2_79400.2	KAK4470367.1
OG0002493	SHAE2_67880.2, SHAE2_67880.5, SHAE2_67880.3, SHAE2_67880.1, SHAE2_67880.4	KAK4471320.1
OG0002494	SHAE2_1930.4, SHAE2_1930.1, SHAE2_1930.3, SHAE2_1930.2	KAK4474831.1
OG0002495	SHAE2_16330.1, SHAE2_16330.2	KAK4474575.1
OG0002496	SHAE2_45680.1	KAK4473513.1
OG0002497	SHAE2_49260.1	KAK4469709.1
OG0002498	SHAE2_1210.1, SHAE2_1210.3, SHAE2_1210.2	KAK4474394.1
OG0002499	SHAE2_52790.1	KAK4469230.1
OG0002500	SHAE2_190.1, SHAE2_190.2, SHAE2_190.3	KAK4475638.1
OG0002501	SHAE2_11590.3, SHAE2_11590.4, SHAE2_11590.5, SHAE2_11590.6, SHAE2_11590.7, SHAE2_11590.9, SHAE2_11590.1, SHAE2_11590.8, SHAE2_11590.2	KAK4474363.1
OG0002502	SHAE2_59590.3, SHAE2_59590.1, SHAE2_59590.2, SHAE2_59590.4, SHAE2_59590.5	KAK4469951.1, KAK4469952.1
OG0002503	SHAE2_88920.1	KAK4467461.1
OG0002504	SHAE2_26240.1	KAK4473291.1
OG0002505	SHAE2_54850.1	KAK4469156.1
OG0002506	SHAE2_37130.3, SHAE2_37130.5, SHAE2_37130.1, SHAE2_37130.4, SHAE2_37130.6, SHAE2_37130.7, SHAE2_37130.8, SHAE2_37130.2	KAK4472548.1
OG0002507	SHAE2_87180.1, SHAE2_87180.2	KAK4468244.1
OG0002508	SHAE2_68260.4, SHAE2_68260.1, SHAE2_68260.2, SHAE2_68260.3	KAK4471460.1
OG0002509	SHAE2_11110.1, SHAE2_11110.2	KAK4476214.1
OG0002510	SHAE2_61510.1	KAK4467569.1
OG0002511	SHAE2_76670.4, SHAE2_76670.5, SHAE2_76670.1, SHAE2_76670.2, SHAE2_76670.3	KAK4470253.1
OG0002512	SHAE2_67060.1	KAK4471671.1
OG0002513	SHAE2_53830.2, SHAE2_53830.1	KAK4469436.1
OG0002514	SHAE2_17970.2, SHAE2_17970.4, SHAE2_17970.3, SHAE2_17970.1	KAK4474778.1
OG0002515	SHAE2_44720.3, SHAE2_44720.1, SHAE2_44720.2	KAK4473425.1
OG0002516	SHAE2_81110.1	KAK4470734.1
OG0002517	SHAE2_78960.1	KAK4470474.1
OG0002518	SHAE2_45530.2, SHAE2_45530.3, SHAE2_45530.1, SHAE2_45530.4	KAK4473503.1
OG0002519	SHAE2_61560.1, SHAE2_61580.1, SHAE2_61580.2, SHAE2_61550.1, SHAE2_61570.1	KAK4467565.1
OG0002520	SHAE2_79200.3, SHAE2_79200.2, SHAE2_79200.1	KAK4470742.1
OG0002521	SHAE2_71810.1	KAK4471067.1, KAK4471066.1
OG0002522	SHAE2_27760.3, SHAE2_27760.4, SHAE2_27760.2, SHAE2_27760.1	KAK4473252.1
OG0002526	SHAE2_15280.5, SHAE2_15280.1, SHAE2_15280.2, SHAE2_15280.3, SHAE2_15280.4, SHAE2_15280.6, SHAE2_15280.7	KAK4474740.1
OG0002527	SHAE2_44450.1	KAK4473392.1, KAK4473393.1
OG0002528	SHAE2_99970.1, SHAE2_99960.1	KAK4467775.1
OG0002530	SHAE2_79280.1, SHAE2_79280.2, SHAE2_79280.3	KAK4470379.1
OG0002531	SHAE2_29700.3, SHAE2_29700.2, SHAE2_29700.1	KAK4473089.1
OG0002532	SHAE2_75930.4, SHAE2_75930.3, SHAE2_75930.1, SHAE2_75930.2	KAK4470157.1
OG0002533	SHAE2_69710.1	KAK4471252.1
OG0002534	SHAE2_95160.1	KAK4468563.1
OG0002535	SHAE2_38320.1, SHAE2_38320.2	KAK4474105.1
OG0002536	SHAE2_15330.1	KAK4474745.1
OG0002537	SHAE2_87040.1, SHAE2_87040.2, SHAE2_87040.4, SHAE2_87040.5, SHAE2_87040.3	KAK4468260.1
OG0002538	SHAE2_64880.1, SHAE2_64880.2	KAK4471905.1
OG0002539	SHAE2_28670.2, SHAE2_28670.1	KAK4472987.1
OG0002540	SHAE2_41980.1, SHAE2_41980.2	KAK4473767.1
OG0002541	SHAE2_58910.1	KAK4469799.1
OG0002542	SHAE2_94780.2, SHAE2_94780.4, SHAE2_94780.1, SHAE2_94780.3	KAK4468510.1
OG0002543	SHAE2_31220.1, SHAE2_31220.2, SHAE2_31220.3, SHAE2_31220.4	KAK4472792.1
OG0002544	SHAE2_50930.1	KAK4469629.1
OG0002545	SHAE2_26030.1	KAK4473302.1
OG0002546	SHAE2_20370.1	KAK4475215.1
OG0002547	SHAE2_101370.1, SHAE2_101370.3, SHAE2_101370.2	KAK4467856.1
OG0002548	SHAE2_98970.3, SHAE2_98970.2, SHAE2_98970.1, SHAE2_98970.4	KAK4467883.1
OG0002549	SHAE2_30050.1, SHAE2_30050.2	KAK4473138.1
OG0002550	SHAE2_50130.1, SHAE2_50130.2, SHAE2_50130.3	KAK4469066.1
OG0002551	SHAE2_33390.1, SHAE2_33390.2, SHAE2_33390.3, SHAE2_33390.4, SHAE2_33390.5	KAK4472679.1
OG0002552	SHAE2_4810.1, SHAE2_4810.3, SHAE2_4810.2, SHAE2_4810.4, SHAE2_4810.5	KAK4467387.1, KAK4467506.1, KAK4475710.1
OG0002553	SHAE2_68630.1, SHAE2_68630.2	KAK4471835.1
OG0002554	SHAE2_62800.3, SHAE2_62800.4, SHAE2_62800.7, SHAE2_62800.1, SHAE2_62800.2, SHAE2_62800.5, SHAE2_62800.6	KAK4472087.1
OG0002555	SHAE2_38790.1	KAK4474061.1
OG0002556	SHAE2_22950.1, SHAE2_22950.2, SHAE2_22950.3	KAK4474301.1
OG0002557	SHAE2_45310.1, SHAE2_45310.2, SHAE2_45310.3, SHAE2_45310.4	KAK4473479.1
OG0002558	SHAE2_4530.1, SHAE2_4530.3, SHAE2_4530.2	KAK4475678.1
OG0002559	SHAE2_26800.1	KAK4473156.1
OG0002560	SHAE2_94410.5, SHAE2_94410.4, SHAE2_94410.3, SHAE2_94410.2, SHAE2_94410.1	KAK4468947.1
OG0002562	SHAE2_10820.1, SHAE2_10820.2, SHAE2_10820.3, SHAE2_10820.4	KAK4476239.1
OG0002563	SHAE2_65600.1	KAK4471980.1
OG0002564	SHAE2_81980.2, SHAE2_81980.3, SHAE2_81980.1, SHAE2_81980.4	KAK4470753.1
OG0002565	SHAE2_2700.1	KAK4475513.1
OG0002565	SHAE2_2690.1	KAK4475502.1
OG0002566	SHAE2_69350.1, SHAE2_69350.2	KAK4471213.1
OG0002567	SHAE2_38220.1, SHAE2_38220.4, SHAE2_38220.2, SHAE2_38220.3	KAK4474116.1
OG0002568	SHAE2_67780.1	KAK4471310.1
OG0002569	SHAE2_70000.4, SHAE2_70000.5, SHAE2_70000.6, SHAE2_70000.2, SHAE2_70000.3, SHAE2_70000.1, SHAE2_70000.7	KAK4471279.1
OG0002570	SHAE2_33960.1	KAK4472620.1
OG0002571	SHAE2_43200.3, SHAE2_43200.5, SHAE2_43200.4, SHAE2_43200.1, SHAE2_43200.2	KAK4473656.1
OG0002572	SHAE2_63180.1, SHAE2_63180.2, SHAE2_63180.3	KAK4472039.1
OG0002574	SHAE2_79770.5, SHAE2_79770.3, SHAE2_79770.4, SHAE2_79770.1, SHAE2_79770.2	KAK4470332.1
OG0002575	SHAE2_26490.1	KAK4473068.1
OG0002576	SHAE2_83120.1	KAK4470870.1
OG0002578	SHAE2_52540.3, SHAE2_52540.1, SHAE2_52540.2	KAK4469253.1
OG0002579	SHAE2_99160.1	KAK4467904.1
OG0002580	SHAE2_63330.1, SHAE2_63330.4, SHAE2_63330.3, SHAE2_63330.2	KAK4472055.1
OG0002581	SHAE2_64660.1	KAK4471767.1
OG0002582	SHAE2_37810.1	KAK4474148.1
OG0002583	SHAE2_93040.1, SHAE2_93040.5, SHAE2_93040.4, SHAE2_93040.3, SHAE2_93040.6, SHAE2_93040.2	KAK4468752.1
OG0002584	SHAE2_42040.1	KAK4473762.1
OG0002585	SHAE2_22340.1, SHAE2_22330.1	KAK4475358.1
OG0002586	SHAE2_21250.1	KAK4475123.1
OG0002587	SHAE2_87260.1	KAK4468233.1
OG0002588	SHAE2_65320.2, SHAE2_65320.3, SHAE2_65320.1	KAK4471951.1
OG0002589	SHAE2_65100.2, SHAE2_65100.1, SHAE2_65100.3	KAK4471928.1
OG0002590	SHAE2_80910.1	KAK4470710.1
OG0002591	SHAE2_82920.2, SHAE2_82920.1	KAK4470847.1
OG0002592	SHAE2_29750.4, SHAE2_29750.1, SHAE2_29750.2, SHAE2_29750.3	KAK4473094.1
OG0002593	SHAE2_84330.2, SHAE2_84330.1	KAK4470993.1
OG0002594	SHAE2_84320.1, SHAE2_84320.3, SHAE2_84320.2, SHAE2_84320.5, SHAE2_84320.4	KAK4470992.1
OG0002595	SHAE2_51670.1	KAK4469555.1
OG0002596	SHAE2_80570.1, SHAE2_80570.2, SHAE2_80570.3	KAK4470677.1
OG0002597	SHAE2_14750.1	KAK4474701.1
OG0002598	SHAE2_37100.1	KAK4472544.1
OG0002599	SHAE2_70750.1, SHAE2_70750.2, SHAE2_70750.3	KAK4471646.1, KAK4471071.1
OG0002600	SHAE2_50740.1	KAK4469126.1
OG0002601	SHAE2_13790.1	KAK4474432.1
OG0002602	SHAE2_23860.2, SHAE2_23860.3, SHAE2_23860.1	KAK4475406.1
OG0002603	SHAE2_67330.1, SHAE2_67330.3, SHAE2_67330.2	KAK4471396.1
OG0002604	SHAE2_2710.5, SHAE2_2710.1, SHAE2_2710.2, SHAE2_2710.4, SHAE2_2710.3	KAK4475522.1
OG0002605	SHAE2_52650.1, SHAE2_52650.3, SHAE2_52650.6, SHAE2_52650.4, SHAE2_52650.7, SHAE2_52650.2, SHAE2_52650.5	KAK4469244.1
OG0002606	SHAE2_90410.1	KAK4468082.1
OG0002607	SHAE2_36330.2, SHAE2_36330.4, SHAE2_36330.3, SHAE2_36330.1	KAK4472334.1
OG0002608	SHAE2_51480.1	KAK4469572.1
OG0002609	SHAE2_4390.1	KAK4475663.1, KAK4475665.1
OG0002610	SHAE2_45370.7, SHAE2_45370.3, SHAE2_45370.1, SHAE2_45370.2, SHAE2_45370.4, SHAE2_45370.5, SHAE2_45370.6	KAK4473486.1
OG0002611	SHAE2_19050.1, SHAE2_19050.2, SHAE2_19050.4, SHAE2_19050.3	KAK4474861.1
OG0002612	SHAE2_26560.1, SHAE2_26560.2, SHAE2_26560.3	KAK4467481.1
OG0002612	SHAE2_60190.1	KAK4469751.1
OG0002613	SHAE2_48420.1	KAK4473505.1
OG0002613	SHAE2_74360.1	KAK4470130.1
OG0002614	SHAE2_220.1	KAK4475608.1
OG0002615	SHAE2_88710.1	KAK4468140.1
OG0002616	SHAE2_40180.1, SHAE2_40170.1	KAK4473848.1
OG0002617	SHAE2_102410.1, SHAE2_102410.2, SHAE2_102410.3	KAK4473594.1
OG0002618	SHAE2_61220.1	KAK4471164.1
OG0002619	SHAE2_64080.1	KAK4471838.1
OG0002620	SHAE2_32520.1, SHAE2_32520.2	KAK4472489.1
OG0002621	SHAE2_10230.1, SHAE2_10230.8, SHAE2_10230.2, SHAE2_10230.4, SHAE2_10230.5, SHAE2_10230.3, SHAE2_10230.6, SHAE2_10230.7	KAK4475984.1
OG0002622	SHAE2_60070.1, SHAE2_60070.2, SHAE2_60070.3, SHAE2_60070.4	KAK4469743.1
OG0002623	SHAE2_13150.1, SHAE2_13150.2	KAK4474559.1
OG0002624	SHAE2_18650.1, SHAE2_18650.2	KAK4474836.1
OG0002625	SHAE2_38890.1	KAK4474049.1
OG0002626	SHAE2_61530.2, SHAE2_61530.1	KAK4467566.1
OG0002627	SHAE2_14880.1, SHAE2_14880.2	KAK4474676.1
OG0002628	SHAE2_44610.1	KAK4473414.1, KAK4473411.1
OG0002629	SHAE2_96860.1, SHAE2_96860.2	KAK4468445.1
OG0002630	SHAE2_10640.1	KAK4476252.1
OG0002631	SHAE2_27460.1, SHAE2_27460.2	KAK4473217.1
OG0002632	SHAE2_90030.1, SHAE2_90030.2	KAK4468113.1
OG0002633	SHAE2_42870.3, SHAE2_42870.4, SHAE2_42870.2, SHAE2_42870.5, SHAE2_42870.1	KAK4473686.1
OG0002634	SHAE2_27260.1	KAK4473197.1
OG0002635	SHAE2_25500.1, SHAE2_25500.2, SHAE2_25500.3	KAK4473343.1
OG0002636	SHAE2_84590.4, SHAE2_84590.1, SHAE2_84590.2, SHAE2_84590.3	KAK4471015.1
OG0002637	SHAE2_99660.1	KAK4467702.1
OG0002638	SHAE2_57400.1, SHAE2_57400.2, SHAE2_57400.3	KAK4469897.1
OG0002639	SHAE2_71340.1	KAK4471615.1
OG0002640	SHAE2_12400.1	KAK4476273.1
OG0002641	SHAE2_56830.1, SHAE2_56830.2	KAK4469360.1
OG0002642	SHAE2_1760.2, SHAE2_1760.1	KAK4474619.1
OG0002643	SHAE2_4760.1, SHAE2_4760.2, SHAE2_4760.5, SHAE2_4760.3, SHAE2_4760.4	KAK4467574.1, KAK4467575.1, KAK4475706.1
OG0002644	SHAE2_66020.1, SHAE2_66020.2	KAK4471790.1
OG0002645	SHAE2_11800.1, SHAE2_11800.2, SHAE2_11800.4, SHAE2_11800.3	KAK4474376.1
OG0002646	SHAE2_29290.1, SHAE2_29290.2	KAK4472920.1
OG0002647	SHAE2_93540.1	KAK4468697.1
OG0002648	SHAE2_7120.1, SHAE2_7120.2, SHAE2_7120.3	KAK4476061.1
OG0002649	SHAE2_43270.5, SHAE2_43270.1, SHAE2_43270.3, SHAE2_43270.4, SHAE2_43270.6, SHAE2_43270.7, SHAE2_43270.8, SHAE2_43270.2, SHAE2_43270.9	KAK4473646.1
OG0002650	SHAE2_10240.3, SHAE2_10240.1, SHAE2_10240.2, SHAE2_10240.6, SHAE2_10240.4, SHAE2_10240.5	KAK4475983.1
OG0002651	SHAE2_12440.1	KAK4476278.1
OG0002652	SHAE2_47980.1, SHAE2_47980.2	KAK4473894.1, KAK4467542.1
OG0002653	SHAE2_94600.1	KAK4468927.1
OG0002654	SHAE2_85450.1, SHAE2_85450.2	KAK4468318.1
OG0002655	SHAE2_60430.1	KAK4469771.1
OG0002656	SHAE2_22610.1, SHAE2_22610.2	KAK4475330.1
OG0002657	SHAE2_18080.1, SHAE2_18080.2	KAK4474784.1
OG0002658	SHAE2_31910.2, SHAE2_31910.1, SHAE2_31910.3	KAK4472414.1
