Orthogroup	schmidtea_mediterranea	trichobilharzia_regenti
OG0002921	h1SMcT0009277.1	TREG1_132840.3, TREG1_132840.4, TREG1_132840.1, TREG1_132840.2
OG0002922	h1SMcT0003698.1	TREG1_106970.1
OG0002925	h1SMcT0015505.1	TREG1_25680.1
OG0002928	h1SMcT0017861.1, h1SMcT0017861.2	TREG1_107960.2, TREG1_107960.4, TREG1_107960.3, TREG1_107960.5, TREG1_107970.1
OG0002929	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3	TREG1_29370.3, TREG1_29370.2, TREG1_29360.1, TREG1_29370.1
OG0002930	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2	TREG1_45880.1
OG0002931	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2	TREG1_9920.6, TREG1_9920.3, TREG1_9920.4, TREG1_9920.7, TREG1_9920.5, TREG1_9920.2, TREG1_9920.1
OG0002932	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3	TREG1_31900.1
OG0002934	h1SMcT0015709.1, h1SMcT0015709.2	TREG1_130510.1, TREG1_130510.2, TREG1_130510.3
OG0002936	h1SMcT0008577.1, h1SMcT0008577.2	TREG1_63540.1
OG0002938	h1SMcT0009268.1, h1SMcT0009268.2, h1SMcT0009268.3	TREG1_68170.1
OG0002939	h1SMcT0009984.1	TREG1_29540.1
OG0002942	h1SMcT0009114.1	TREG1_104240.1, TREG1_104220.1, TREG1_104230.1
OG0002943	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5	TREG1_104260.1
OG0002944	h1SMcT0022414.1	TREG1_13630.4, TREG1_13630.1, TREG1_13630.2, TREG1_13630.3
OG0002945	h1SMcT0021889.1	TREG1_105990.1, TREG1_105990.4, TREG1_105990.3, TREG1_105990.2
OG0002947	h1SMcT0015902.1, h1SMcT0015902.2	TREG1_127350.1
OG0002948	h1SMcT0021089.1, h1SMcT0021089.2	TREG1_81390.1
OG0002949	h1SMcT0009486.1	TREG1_32930.1, TREG1_53760.1
OG0002950	h1SMcT0007052.1	TREG1_97980.1, TREG1_97980.2, TREG1_97980.3
OG0002951	h1SMcT0010433.1, h1SMcT0010433.2	TREG1_33030.1
OG0002953	h1SMcT0002670.1, h1SMcT0015965.1	TREG1_3010.1
OG0002954	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3	TREG1_79650.4, TREG1_79650.1, TREG1_79650.2, TREG1_79650.3, TREG1_79650.5, TREG1_79650.6, TREG1_79650.7, TREG1_79650.8, TREG1_79650.9
OG0002955	h1SMcT0017042.1	TREG1_106670.1
OG0002956	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2	TREG1_134370.1, TREG1_134370.2, TREG1_134370.3
OG0002958	h1SMcT0021861.1, h1SMcT0021861.2	TREG1_90850.1, TREG1_90850.2, TREG1_90850.3
OG0002959	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3	TREG1_119830.1, TREG1_119830.2
OG0002960	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1	TREG1_70930.1, TREG1_70930.2
OG0002961	h1SMcT0011634.1, h1SMcT0011634.2	TREG1_21530.1, TREG1_21530.2, TREG1_21530.3, TREG1_21530.4
OG0002962	h1SMcT0003796.1	TREG1_89380.2, TREG1_89380.4, TREG1_89380.1, TREG1_89380.3
OG0002963	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2	TREG1_15620.1
OG0002964	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3	TREG1_31510.1, TREG1_31510.4, TREG1_31510.2, TREG1_31510.3
OG0002967	h1SMcT0003658.1	TREG1_86580.1
OG0002969	h1SMcT0017175.1	TREG1_70240.1, TREG1_70230.1
OG0002971	h1SMcT0017152.1	TREG1_89130.1
OG0002972	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4	TREG1_84410.1
OG0002973	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2	TREG1_66240.1
OG0002974	h1SMcT0008277.1	TREG1_47570.1, TREG1_47570.2
OG0002975	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2	TREG1_55510.1, TREG1_55510.2
OG0002976	h1SMcT0004422.1	TREG1_87550.3, TREG1_87550.1, TREG1_87550.2, TREG1_87550.4, TREG1_87550.5
OG0002977	h1SMcT0003763.1	TREG1_7100.1
OG0002978	h1SMcT0014459.1, h1SMcT0014461.1, h1SMcT0014464.1, h1SMcT0009665.1, h1SMcT0009668.1, h1SMcT0009668.2, h1SMcT0014465.1, h1SMcT0009667.1, h1SMcT0014458.1, h1SMcT0014448.1, h1SMcT0014451.1, h1SMcT0014453.1, h1SMcT0014454.1, h1SMcT0014454.2, h1SMcT0014454.3, h1SMcT0014455.1	TREG1_24140.1, TREG1_24140.2, TREG1_24140.3
OG0002979	h1SMcT0019481.1	TREG1_24230.1, TREG1_24220.1
OG0002981	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2	TREG1_105250.1
OG0002983	h1SMcT0017079.1	TREG1_58620.1, TREG1_58620.3, TREG1_58620.5, TREG1_58620.2, TREG1_58620.4
OG0002984	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2	TREG1_6620.1
OG0002985	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3	TREG1_1430.1
OG0002986	h1SMcT0009242.1, h1SMcT0009242.2	TREG1_29920.4, TREG1_29920.2, TREG1_29920.1, TREG1_29920.3
OG0002988	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3	TREG1_130770.1, TREG1_130770.2, TREG1_130770.3, TREG1_130770.4, TREG1_130770.5
OG0002989	h1SMcT0011055.1	TREG1_71650.1, TREG1_71660.3, TREG1_71660.1, TREG1_71660.2, TREG1_71640.1
OG0002991	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1	TREG1_41800.1
OG0002992	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4	TREG1_98490.1, TREG1_98490.2
OG0002993	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3	TREG1_112320.1, TREG1_112330.1
OG0002995	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3	TREG1_129150.1, TREG1_129150.2, TREG1_129150.3
OG0002996	h1SMcT0005458.1	TREG1_24460.1, TREG1_24460.2
OG0002997	h1SMcT0018267.1	TREG1_50700.2, TREG1_50700.3, TREG1_50700.1, TREG1_50700.4
OG0002998	h1SMcT0006805.1	TREG1_30690.1
OG0002999	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2	TREG1_31850.1, TREG1_85310.1
OG0003001	h1SMcT0021432.1	TREG1_33540.3, TREG1_33540.1, TREG1_33540.2, TREG1_33430.1, TREG1_33540.4
OG0003002	h1SMcT0017011.1	TREG1_15010.1
OG0003003	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2	TREG1_132550.1
OG0003004	h1SMcT0022793.1, h1SMcT0021479.3, h1SMcT0021479.4, h1SMcT0021479.1, h1SMcT0021479.2, h1SMcT0022793.2	TREG1_103810.1
OG0003005	h1SMcT0007903.1, h1SMcT0007903.2	TREG1_68940.2, TREG1_68940.4, TREG1_68940.1, TREG1_68940.3
OG0003006	h1SMcT0014506.1	TREG1_114320.1
OG0003007	h1SMcT0015078.1	TREG1_91730.1
OG0003009	h1SMcT0001412.1, h1SMcT0001412.2, h1SMcT0001412.3	TREG1_6050.1, TREG1_6050.2
OG0003010	h1SMcT0021914.1, h1SMcT0021914.2, h1SMcT0021327.3, h1SMcT0021327.5, h1SMcT0021327.4, h1SMcT0021327.6	TREG1_95200.1
OG0003011	h1SMcT0010357.1	TREG1_49010.1
OG0003012	h1SMcT0018119.1	TREG1_87760.5, TREG1_87760.6, TREG1_87760.3, TREG1_87760.4, TREG1_87760.1, TREG1_87760.2
OG0003014	h1SMcT0005268.1	TREG1_63780.1, TREG1_63790.1
OG0003015	h1SMcT0019089.2, h1SMcT0019089.1, h1SMcT0019089.3	TREG1_57710.1
OG0003016	h1SMcT0006828.1, h1SMcT0006828.2, h1SMcT0006828.3, h1SMcT0006828.4	TREG1_98760.1
OG0003017	h1SMcT0006801.1, h1SMcT0007267.1	TREG1_76370.1
OG0003018	h1SMcT0016671.1, h1SMcT0016671.2	TREG1_132930.1, TREG1_132930.2
OG0003019	h1SMcT0004932.4, h1SMcT0004932.3, h1SMcT0004932.2, h1SMcT0004932.1	TREG1_99090.1, TREG1_99090.3, TREG1_99090.4, TREG1_99090.5, TREG1_99090.2
OG0003021	h1SMcT0002696.1, h1SMcT0002696.2	TREG1_110640.1, TREG1_110620.1, TREG1_110650.1
OG0003023	h1SMcT0005078.1, h1SMcT0005078.2	TREG1_110770.1, TREG1_110770.2, TREG1_110780.1
OG0003024	h1SMcT0020338.1	TREG1_108660.1
OG0003028	h1SMcT0020044.1	TREG1_1720.1
OG0003029	h1SMcT0015062.1	TREG1_112920.1, TREG1_112920.2
OG0003030	h1SMcT0001941.1, h1SMcT0001941.2	TREG1_15070.1, TREG1_15080.1
OG0003031	h1SMcT0014296.1, h1SMcT0014296.2	TREG1_81820.2, TREG1_81820.1, TREG1_81820.3, TREG1_81820.4
OG0003032	h1SMcT0005960.1, h1SMcT0005892.1, h1SMcT0005892.2	TREG1_81500.1
OG0003033	h1SMcT0011480.1, h1SMcT0011480.3, h1SMcT0011480.2	TREG1_71850.1, TREG1_71840.1
OG0003034	h1SMcT0011192.1	TREG1_117800.1
OG0003036	h1SMcT0012716.1	TREG1_110270.1
OG0003037	h1SMcT0006277.1, h1SMcT0006277.2	TREG1_101240.1
OG0003038	h1SMcT0020116.1	TREG1_70110.1, TREG1_70220.1, TREG1_70220.2
OG0003039	h1SMcT0011776.1, h1SMcT0011776.2	TREG1_62870.1
OG0003041	h1SMcT0021330.1	TREG1_51360.1
OG0003042	h1SMcT0014097.2, h1SMcT0014097.3, h1SMcT0014097.1, h1SMcT0014097.4	TREG1_56800.1
OG0003043	h1SMcT0001787.1	TREG1_64010.1, TREG1_63990.1
OG0003044	h1SMcT0017159.2, h1SMcT0017159.4, h1SMcT0017159.1, h1SMcT0017159.3	TREG1_34530.1, TREG1_7400.1
OG0003045	h1SMcT0002072.1, h1SMcT0002072.2, h1SMcT0002072.3, h1SMcT0002072.4	TREG1_69760.1, TREG1_69760.2, TREG1_69760.11, TREG1_69760.13, TREG1_69760.6, TREG1_69760.10, TREG1_69760.12, TREG1_69760.14, TREG1_69760.4, TREG1_69760.5, TREG1_69760.7, TREG1_69760.8, TREG1_69760.9, TREG1_69760.3
OG0003046	h1SMcT0000855.1	TREG1_69750.1, TREG1_69750.2
OG0003047	h1SMcT0007558.1, h1SMcT0007558.2	TREG1_20260.3, TREG1_20260.1, TREG1_20260.2
OG0003048	h1SMcT0011197.1, h1SMcT0011197.2	TREG1_61360.1, TREG1_61360.2
OG0003049	h1SMcT0020453.1, h1SMcT0016153.1, h1SMcT0016153.2	TREG1_61370.1, TREG1_61370.2
OG0003050	h1SMcT0005152.5, h1SMcT0005152.3, h1SMcT0005152.1, h1SMcT0005152.4, h1SMcT0005152.2	TREG1_104400.1, TREG1_104400.2
OG0003051	h1SMcT0007990.2, h1SMcT0007990.5, h1SMcT0007990.3, h1SMcT0007990.1, h1SMcT0007990.4, h1SMcT0007990.7, h1SMcT0007990.6	TREG1_60340.1
OG0003052	h1SMcT0016002.1, h1SMcT0016002.2, h1SMcT0016002.3	TREG1_89000.1
OG0003053	h1SMcT0016931.1, h1SMcT0016931.2, h1SMcT0016931.3	TREG1_38440.1
OG0003054	h1SMcT0018675.1, h1SMcT0004016.1, h1SMcT0004016.2, h1SMcT0004016.4, h1SMcT0004016.3, h1SMcT0006537.1, h1SMcT0020138.1	TREG1_11220.3, TREG1_11220.1, TREG1_11220.2
OG0003055	h1SMcT0019134.1	TREG1_75810.1
OG0003056	h1SMcT0003979.1	TREG1_11030.1
OG0003058	h1SMcT0003333.1, h1SMcT0003333.2	TREG1_128100.1, TREG1_128100.2, TREG1_128100.3, TREG1_128100.4, TREG1_128100.5
OG0003059	h1SMcT0008347.1, h1SMcT0008347.4, h1SMcT0008347.3, h1SMcT0008347.2	TREG1_44240.1
OG0003060	h1SMcT0011744.1, h1SMcT0011744.2, h1SMcT0011744.5, h1SMcT0011744.6, h1SMcT0011744.3, h1SMcT0011744.4	TREG1_66600.1
OG0003062	h1SMcT0013915.1	TREG1_127720.1, TREG1_127780.1
OG0003063	h1SMcT0012821.1, h1SMcT0012821.2, h1SMcT0012805.1, h1SMcT0012806.1	TREG1_16730.1
OG0003064	h1SMcT0008163.1	TREG1_3970.1, TREG1_3970.3, TREG1_3970.2, TREG1_3970.4
OG0003065	h1SMcT0000333.1	TREG1_142140.1, TREG1_27410.2, TREG1_27410.1, TREG1_27410.3
OG0003066	h1SMcT0011449.1, h1SMcT0011449.2	TREG1_131470.1, TREG1_131470.2, TREG1_131470.4, TREG1_131470.6, TREG1_131470.3, TREG1_131470.5
OG0003067	h1SMcT0005008.1	TREG1_54630.1, TREG1_54630.5, TREG1_54630.7, TREG1_54630.3, TREG1_54630.4, TREG1_54630.2, TREG1_54630.6
OG0003068	h1SMcT0022311.1, h1SMcT0022311.3, h1SMcT0022311.2	TREG1_105230.1, TREG1_105230.2
OG0003070	h1SMcT0003629.1, h1SMcT0003629.2	TREG1_36640.1, TREG1_36640.2
OG0003072	h1SMcT0001100.1, h1SMcT0001100.2, h1SMcT0001100.4, h1SMcT0001100.3, h1SMcT0019338.1, h1SMcT0019338.2, h1SMcT0004692.1, h1SMcT0004692.4, h1SMcT0004692.2, h1SMcT0004692.3	TREG1_101260.1
OG0003073	h1SMcT0011150.1, h1SMcT0015836.1, h1SMcT0015836.2, h1SMcT0015836.4, h1SMcT0015836.3, h1SMcT0015837.1, h1SMcT0015837.3, h1SMcT0015837.2, h1SMcT0015841.2, h1SMcT0015841.1, h1SMcT0015841.3, h1SMcT0015841.4, h1SMcT0012715.3, h1SMcT0012715.2, h1SMcT0012715.1, h1SMcT0001252.1	TREG1_88680.1
OG0003074	h1SMcT0004065.1	TREG1_78350.1, TREG1_78350.2, TREG1_78350.3, TREG1_78350.4, TREG1_78350.5
OG0003076	h1SMcT0015937.1, h1SMcT0015937.7, h1SMcT0015937.6, h1SMcT0015937.2, h1SMcT0015937.3, h1SMcT0015937.4, h1SMcT0015937.5	TREG1_77840.1
OG0003080	h1SMcT0008762.1, h1SMcT0008762.2, h1SMcT0008762.5, h1SMcT0008762.3, h1SMcT0008762.4	TREG1_25540.1
OG0003081	h1SMcT0017491.1	TREG1_25770.1, TREG1_33630.1, TREG1_33620.1
OG0003082	h1SMcT0016152.1	TREG1_76720.1
OG0003083	h1SMcT0003189.1, h1SMcT0003189.2	TREG1_109630.1
OG0003086	h1SMcT0007745.1, h1SMcT0007745.2	TREG1_82070.1, TREG1_82070.2, TREG1_82070.3
OG0003087	h1SMcT0013897.1, h1SMcT0013897.2, h1SMcT0006048.1, h1SMcT0011537.3, h1SMcT0011537.2, h1SMcT0011537.1, h1SMcT0004969.1, h1SMcT0004969.2, h1SMcT0004969.3, h1SMcT0014223.1	TREG1_134640.1
OG0003089	h1SMcT0013279.2, h1SMcT0013279.1, h1SMcT0013268.1, h1SMcT0013268.2, h1SMcT0013281.1	TREG1_16190.1, TREG1_16190.3, TREG1_16190.2
OG0003099	h1SMcT0010063.1	TREG1_42640.1, TREG1_42650.1
OG0003107	h1SMcT0015377.1	TREG1_75300.1, TREG1_75300.2, TREG1_75300.3
OG0003108	h1SMcT0015502.1	TREG1_38810.1, TREG1_38800.1
OG0003109	h1SMcT0008651.1	TREG1_20030.1
OG0003110	h1SMcT0012449.1, h1SMcT0012449.2	TREG1_14030.2, TREG1_14030.1, TREG1_13980.1, TREG1_13980.2, TREG1_13980.3, TREG1_14010.1, TREG1_14010.3, TREG1_14010.4, TREG1_14010.2, TREG1_14010.5, TREG1_14010.6
OG0003111	h1SMcT0011575.1	TREG1_103310.1, TREG1_103320.1
OG0003112	h1SMcT0009040.1, h1SMcT0018311.1, h1SMcT0018311.2, h1SMcT0018311.3	TREG1_91820.1
OG0003114	h1SMcT0005694.2, h1SMcT0005694.4, h1SMcT0005694.3, h1SMcT0005694.1, h1SMcT0005694.5, h1SMcT0005694.6	TREG1_119860.1
OG0003115	h1SMcT0000128.5, h1SMcT0000128.2, h1SMcT0000128.3, h1SMcT0000128.1, h1SMcT0000128.4	TREG1_106720.3, TREG1_106720.2, TREG1_106720.1
OG0003116	h1SMcT0014809.1	TREG1_124110.1, TREG1_124120.1
OG0003118	h1SMcT0010890.1, h1SMcT0010890.2	TREG1_57070.1, TREG1_57080.1
OG0003121	h1SMcT0012547.1, h1SMcT0012547.2	TREG1_4740.1, TREG1_4740.2, TREG1_4740.3, TREG1_4740.4, TREG1_4740.5, TREG1_4740.6
OG0003124	h1SMcT0007756.1, h1SMcT0007756.2	TREG1_124860.1
OG0003125	h1SMcT0016907.1, h1SMcT0016907.2	TREG1_102920.1, TREG1_102920.2
OG0003127	h1SMcT0015110.1, h1SMcT0019913.1	TREG1_121820.1
OG0003128	h1SMcT0018724.1	TREG1_110930.1, TREG1_110930.2
OG0003131	h1SMcT0000664.1	TREG1_139830.1, TREG1_104870.1, TREG1_139820.1, TREG1_139820.2
OG0003133	h1SMcT0020070.1, h1SMcT0020070.2	TREG1_81610.1
OG0003136	h1SMcT0004061.1, h1SMcT0004061.2	TREG1_2010.1
OG0003137	h1SMcT0019913.6, h1SMcT0019913.5, h1SMcT0019913.2, h1SMcT0019913.3, h1SMcT0019913.4	TREG1_111930.1, TREG1_111940.1, TREG1_111920.1, TREG1_111910.1, TREG1_111920.2, TREG1_111920.3
OG0003138	h1SMcT0011089.1	TREG1_120710.1, TREG1_120710.2, TREG1_120710.3, TREG1_120710.4
OG0003140	h1SMcT0003323.1	TREG1_43650.1
OG0003141	h1SMcT0007365.1, h1SMcT0007366.1	TREG1_87780.1
OG0003142	h1SMcT0018040.1	TREG1_104730.1
OG0003145	h1SMcT0010125.1, h1SMcT0010125.2, h1SMcT0010125.3	TREG1_22470.3, TREG1_22470.1, TREG1_22470.2
OG0003146	h1SMcT0018833.1, h1SMcT0018833.2, h1SMcT0000047.1, h1SMcT0000047.2	TREG1_89040.1
OG0003147	h1SMcT0013401.2, h1SMcT0013401.1, h1SMcT0013401.3, h1SMcT0005526.1, h1SMcT0005526.2, h1SMcT0005526.3	TREG1_72540.1, TREG1_72540.2
OG0003148	h1SMcT0016375.1, h1SMcT0006773.1, h1SMcT0006773.2, h1SMcT0006774.1, h1SMcT0007556.1, h1SMcT0007556.2, h1SMcT0007556.3, h1SMcT0007556.4, h1SMcT0007556.5, h1SMcT0007556.6, h1SMcT0007556.7, h1SMcT0002187.1, h1SMcT0013644.1	TREG1_131210.2, TREG1_131210.1, TREG1_131210.3, TREG1_131210.4
OG0003149	h1SMcT0022070.1	TREG1_76400.1
OG0003150	h1SMcT0005154.1	TREG1_108390.1
OG0003151	h1SMcT0009477.1, h1SMcT0009477.2	TREG1_61970.1
OG0003152	h1SMcT0002448.1	TREG1_47330.1, TREG1_47330.2, TREG1_47330.3, TREG1_47330.4, TREG1_47330.5
OG0003153	h1SMcT0009249.1	TREG1_106820.1, TREG1_106820.2, TREG1_106820.3
OG0003155	h1SMcT0018245.1, h1SMcT0018245.2	TREG1_92730.1, TREG1_95670.1
OG0003157	h1SMcT0015519.1	TREG1_37930.1, TREG1_73050.1, TREG1_73050.2, TREG1_73050.3
OG0003158	h1SMcT0022543.1	TREG1_126130.1
OG0003159	h1SMcT0000896.1	TREG1_74410.1, TREG1_74410.2, TREG1_74410.3
OG0003160	h1SMcT0017909.1, h1SMcT0017909.2	TREG1_23470.4, TREG1_23470.2, TREG1_23470.1, TREG1_23470.5, TREG1_23470.3
OG0003162	h1SMcT0021131.1, h1SMcT0021131.2	TREG1_17120.1, TREG1_17130.1
OG0003163	h1SMcT0021672.1, h1SMcT0021672.2	TREG1_118800.1, TREG1_96400.1, TREG1_4750.1, TREG1_4750.2
OG0003164	h1SMcT0022123.1, h1SMcT0022123.2, h1SMcT0022123.3, h1SMcT0022123.4, h1SMcT0022123.5	TREG1_44650.1, TREG1_44650.2
OG0003165	h1SMcT0018697.1	TREG1_141720.1, TREG1_104890.4, TREG1_104890.7, TREG1_104890.1, TREG1_104890.6, TREG1_104890.12, TREG1_104890.2, TREG1_104890.9, TREG1_104890.11, TREG1_104890.8, TREG1_104890.3, TREG1_104890.5, TREG1_104890.10
OG0003167	h1SMcT0019950.1, h1SMcT0019950.2, h1SMcT0019950.3	TREG1_132390.1
OG0003168	h1SMcT0014216.1	TREG1_81980.1
OG0003169	h1SMcT0013822.1, h1SMcT0013822.2	TREG1_27220.1
OG0003170	h1SMcT0020859.1	TREG1_19340.1, TREG1_19340.2, TREG1_18590.1
OG0003171	h1SMcT0003722.1, h1SMcT0003722.2	TREG1_100860.1, TREG1_100860.2, TREG1_100860.3
OG0003172	h1SMcT0008462.1, h1SMcT0008462.2, h1SMcT0008462.3, h1SMcT0008462.4, h1SMcT0010776.1, h1SMcT0010776.2	TREG1_23950.1, TREG1_23950.2
OG0003174	h1SMcT0007581.1, h1SMcT0007581.2, h1SMcT0007581.3	TREG1_100030.1
OG0003175	h1SMcT0015496.1, h1SMcT0015496.2	TREG1_133360.1
OG0003176	h1SMcT0021985.1	TREG1_99280.1
OG0003178	h1SMcT0022104.1	TREG1_44600.1
OG0003179	h1SMcT0004843.1, h1SMcT0004843.2	TREG1_106440.1
OG0003180	h1SMcT0007124.6, h1SMcT0007124.7	TREG1_190.1
OG0003181	h1SMcT0011279.1	TREG1_45740.1
OG0003182	h1SMcT0000868.1	TREG1_50010.3, TREG1_50010.1, TREG1_50010.2, TREG1_50010.4
OG0003184	h1SMcT0000641.1, h1SMcT0000641.2, h1SMcT0014905.1	TREG1_48370.1, TREG1_48370.2
OG0003185	h1SMcT0016184.1, h1SMcT0016184.3, h1SMcT0016184.2	TREG1_98060.1, TREG1_98060.2
OG0003187	h1SMcT0008113.1	TREG1_106860.1
OG0003188	h1SMcT0017318.1	TREG1_113310.1
OG0003189	h1SMcT0020507.5, h1SMcT0020507.3, h1SMcT0020507.4	TREG1_76240.1, TREG1_76240.2
OG0003191	h1SMcT0019331.1, h1SMcT0019331.2	TREG1_67150.2, TREG1_67150.1, TREG1_67150.4, TREG1_67150.3, TREG1_67150.5
OG0003192	h1SMcT0012195.3, h1SMcT0012195.4, h1SMcT0012195.6, h1SMcT0012195.7, h1SMcT0012195.8, h1SMcT0012195.1, h1SMcT0012195.2, h1SMcT0012195.9, h1SMcT0012195.5	TREG1_89430.1
OG0003193	h1SMcT0008180.1, h1SMcT0008180.2, h1SMcT0008180.3, h1SMcT0021063.1, h1SMcT0021085.1, h1SMcT0021085.2, h1SMcT0021085.3, h1SMcT0021397.1, h1SMcT0021397.2, h1SMcT0006457.1, h1SMcT0006457.2	TREG1_47370.1
OG0003194	h1SMcT0005218.1	TREG1_95900.1, TREG1_95900.2, TREG1_95900.3, TREG1_95900.4, TREG1_62430.1, TREG1_95900.5, TREG1_95900.6
OG0003195	h1SMcT0008802.1, h1SMcT0008802.2	TREG1_19670.1, TREG1_19670.2
OG0003196	h1SMcT0016546.1, h1SMcT0016546.2, h1SMcT0002390.1, h1SMcT0002390.2, h1SMcT0002390.3	TREG1_81370.1, TREG1_81370.2
OG0003197	h1SMcT0008434.1, h1SMcT0008434.2	TREG1_136110.4, TREG1_136110.2, TREG1_136110.1, TREG1_136110.3
OG0003199	h1SMcT0012625.2, h1SMcT0012625.1, h1SMcT0012625.3	TREG1_134580.1, TREG1_134580.2, TREG1_134580.3
OG0003201	h1SMcT0013974.1	TREG1_29710.1, TREG1_29710.2, TREG1_29710.3, TREG1_29710.4, TREG1_29710.5, TREG1_29710.6
OG0003202	h1SMcT0016880.1	TREG1_24430.1, TREG1_24430.2, TREG1_24430.4, TREG1_24430.3, TREG1_24430.5, TREG1_24430.6
OG0003203	h1SMcT0000481.1	TREG1_129980.1, TREG1_129990.2, TREG1_129970.1, TREG1_129990.1
OG0003205	h1SMcT0007886.1	TREG1_56880.1
OG0003206	h1SMcT0003099.1	TREG1_13540.1
OG0003207	h1SMcT0003114.1, h1SMcT0003114.2	TREG1_7060.1
OG0003208	h1SMcT0007447.1, h1SMcT0022769.1	TREG1_93220.1, TREG1_93220.2
OG0003209	h1SMcT0015578.1, h1SMcT0015578.2	TREG1_108500.1, TREG1_108490.1
OG0003210	h1SMcT0010700.1, h1SMcT0010700.2	TREG1_29960.1
OG0003211	h1SMcT0010088.1, h1SMcT0010088.2, h1SMcT0010092.4, h1SMcT0010092.1, h1SMcT0010092.3, h1SMcT0010091.1, h1SMcT0010091.3, h1SMcT0010091.2	TREG1_107910.1, TREG1_107910.2, TREG1_107910.3
OG0003212	h1SMcT0008560.1, h1SMcT0008560.2, h1SMcT0008560.3	TREG1_13240.1, TREG1_13250.1
OG0003213	h1SMcT0018521.1, h1SMcT0018521.2, h1SMcT0018521.3	TREG1_34370.1
OG0003214	h1SMcT0016576.1, h1SMcT0016576.2	TREG1_13940.1, TREG1_13940.2, TREG1_13940.4, TREG1_13940.3
OG0003215	h1SMcT0017814.1, h1SMcT0017814.2	TREG1_11730.1, TREG1_11730.2
OG0003217	h1SMcT0009783.1	TREG1_83820.1, TREG1_83820.2, TREG1_83820.3
OG0003218	h1SMcT0018270.1	TREG1_79130.1
OG0003221	h1SMcT0019212.1, h1SMcT0019212.2	TREG1_41470.1
OG0003222	h1SMcT0013691.1	TREG1_15000.1
OG0003223	h1SMcT0015106.1, h1SMcT0001134.1	TREG1_122750.3, TREG1_122750.1, TREG1_122750.2
OG0003224	h1SMcT0015164.1, h1SMcT0001803.1, h1SMcT0001803.2	TREG1_55500.1
OG0003225	h1SMcT0011080.2, h1SMcT0011080.3, h1SMcT0011080.1, h1SMcT0011080.4	TREG1_124210.1
OG0003226	h1SMcT0021847.1, h1SMcT0022103.1	TREG1_8310.1, TREG1_8300.1
OG0003227	h1SMcT0001291.1, h1SMcT0001291.2	TREG1_87790.1
OG0003229	h1SMcT0002408.1	TREG1_106300.1
OG0003230	h1SMcT0003929.1, h1SMcT0003929.2	TREG1_72380.1
OG0003231	h1SMcT0002079.1	TREG1_15750.1
OG0003232	h1SMcT0008345.1, h1SMcT0008345.2, h1SMcT0008345.3, h1SMcT0008345.5, h1SMcT0008345.4	TREG1_6750.1
OG0003233	h1SMcT0020211.1, h1SMcT0020211.2	TREG1_23890.1, TREG1_23880.1
OG0003234	h1SMcT0018532.1, h1SMcT0018532.2, h1SMcT0018532.3	TREG1_85690.1
OG0003235	h1SMcT0008953.1	TREG1_110260.1, TREG1_110260.2
OG0003236	h1SMcT0019053.1	TREG1_77940.1
OG0003238	h1SMcT0005250.1, h1SMcT0005250.3, h1SMcT0005250.2, h1SMcT0016407.1	TREG1_88060.1
OG0003239	h1SMcT0019186.1	TREG1_112550.1, TREG1_112560.1
