Orthogroup	schmidtea_mediterranea	schistosoma_mansoni
OG0003608	h1SMcT0000105.1, h1SMcT0000105.2	Smp_132620.1
OG0003609	h1SMcT0011897.1, h1SMcT0011897.2	Smp_159570.1
OG0003610	h1SMcT0021256.3	Smp_138890.3, Smp_138890.1, Smp_138890.2
OG0003611	h1SMcT0020153.1	Smp_043780.1
OG0003614	h1SMcT0021029.1	Smp_004440.1
OG0003615	h1SMcT0009552.1, h1SMcT0016899.1	Smp_332550.1, Smp_332550.2
OG0003616	h1SMcT0013986.1, h1SMcT0013986.2	Smp_323920.1
OG0003617	h1SMcT0021970.1	Smp_246900.1
OG0003619	h1SMcT0012852.1	Smp_079920.1
OG0003620	h1SMcT0016395.1, h1SMcT0021539.1, h1SMcT0022931.1, h1SMcT0014896.1, h1SMcT0003898.1, h1SMcT0012424.1	Smp_065290.1
OG0003621	h1SMcT0019421.1, h1SMcT0019421.2	Smp_145740.1
OG0003622	h1SMcT0003180.1	Smp_316800.1, Smp_102340.1
OG0003623	h1SMcT0022341.1	Smp_004170.1
OG0003624	h1SMcT0012575.1, h1SMcT0012575.2	Smp_017890.1
OG0003625	h1SMcT0000253.4, h1SMcT0000253.1, h1SMcT0000253.3, h1SMcT0000253.2	Smp_174690.1
OG0003626	h1SMcT0017906.2, h1SMcT0017906.3, h1SMcT0017906.4, h1SMcT0017906.1, h1SMcT0017906.5	Smp_081820.1
OG0003627	h1SMcT0010053.1, h1SMcT0015893.1	Smp_334630.1
OG0003630	h1SMcT0016319.1	Smp_332470.1
OG0003631	h1SMcT0018149.1, h1SMcT0018247.1, h1SMcT0018247.2, h1SMcT0008497.1, h1SMcT0008497.2, h1SMcT0008497.3	Smp_055130.1
OG0003632	h1SMcT0000049.2	Smp_144450.1, Smp_144450.2
OG0003634	h1SMcT0021142.2, h1SMcT0021142.3, h1SMcT0021142.1, h1SMcT0021142.4	Smp_343750.1
OG0003635	h1SMcT0001888.1, h1SMcT0001889.1	Smp_095650.1
OG0003637	h1SMcT0002430.2, h1SMcT0002430.7, h1SMcT0002430.6, h1SMcT0002430.9, h1SMcT0002430.5, h1SMcT0002430.10, h1SMcT0002430.3, h1SMcT0002430.4, h1SMcT0002430.8	Smp_000320.1
OG0003638	h1SMcT0014143.1, h1SMcT0016340.1, h1SMcT0016340.2	Smp_245900.1
OG0003640	h1SMcT0014562.1	Smp_245290.1
OG0003642	h1SMcT0009300.1, h1SMcT0009300.2, h1SMcT0009300.3, h1SMcT0009300.5, h1SMcT0009300.4	Smp_336050.1
OG0003643	h1SMcT0014430.1	Smp_168520.1
OG0003647	h1SMcT0007938.1, h1SMcT0007938.2	Smp_244380.1
OG0003648	h1SMcT0013250.1	Smp_165840.1
OG0003649	h1SMcT0003422.2, h1SMcT0003422.3, h1SMcT0003177.1, h1SMcT0003177.2, h1SMcT0003177.3, h1SMcT0003177.4	Smp_160780.1
OG0003650	h1SMcT0007425.1, h1SMcT0007427.1, h1SMcT0007777.1, h1SMcT0007775.1, h1SMcT0007776.1	Smp_306180.1
OG0003651	h1SMcT0010028.1	Smp_001560.1
OG0003652	h1SMcT0018660.1, h1SMcT0018660.2	Smp_318800.1
OG0003653	h1SMcT0006239.1, h1SMcT0006239.2	Smp_213920.1, Smp_213930.1
OG0003654	h1SMcT0009018.1, h1SMcT0009018.2	Smp_138430.1
OG0003655	h1SMcT0000078.1	Smp_173180.1
OG0003656	h1SMcT0011749.1, h1SMcT0011749.2	Smp_036020.1, Smp_036020.2
OG0003657	h1SMcT0004100.1, h1SMcT0005639.1	Smp_304220.1, Smp_304210.1
OG0003658	h1SMcT0018792.1, h1SMcT0018792.3, h1SMcT0018792.2, h1SMcT0018792.4, h1SMcT0018792.6, h1SMcT0018792.5	Smp_211060.1
OG0003659	h1SMcT0022461.1, h1SMcT0022483.2, h1SMcT0022483.3, h1SMcT0022481.2, h1SMcT0022482.2, h1SMcT0022482.1, h1SMcT0022482.3	Smp_165340.1
OG0003660	h1SMcT0019237.1, h1SMcT0019237.2	Smp_213750.1
OG0003661	h1SMcT0020113.1, h1SMcT0020113.2	Smp_146630.1
OG0003662	h1SMcT0012678.1	Smp_085910.1
OG0003663	h1SMcT0020390.1, h1SMcT0021425.1, h1SMcT0021425.2	Smp_241510.1
OG0003665	h1SMcT0022301.1	Smp_146690.1
OG0003666	h1SMcT0018659.1, h1SMcT0018659.2, h1SMcT0018659.3	Smp_347290.1
OG0003667	h1SMcT0017842.1	Smp_060290.1
OG0003670	h1SMcT0021848.1, h1SMcT0005300.1, h1SMcT0005300.2	Smp_181490.1
OG0003671	h1SMcT0018539.1	Smp_247810.1
OG0003672	h1SMcT0021887.1, h1SMcT0021887.2	Smp_140110.1
OG0003673	h1SMcT0001725.1	Smp_165720.1, Smp_165720.2
OG0003674	h1SMcT0006658.1, h1SMcT0006658.2, h1SMcT0006658.3	Smp_305430.1
OG0003675	h1SMcT0023107.1	Smp_340980.1, Smp_063380.1
OG0003676	h1SMcT0001797.1, h1SMcT0001797.2	Smp_140040.1, Smp_140040.2
OG0003679	h1SMcT0021675.1, h1SMcT0021675.2	Smp_131770.1, Smp_131770.2
OG0003681	h1SMcT0020747.1	Smp_123280.1
OG0003684	h1SMcT0014766.1	Smp_034430.1
OG0003685	h1SMcT0002971.1	Smp_084600.1
OG0003686	h1SMcT0015551.1	Smp_147020.1
OG0003687	h1SMcT0020278.1, h1SMcT0020278.2, h1SMcT0020278.3	Smp_172240.1
OG0003688	h1SMcT0002631.1, h1SMcT0002631.2	Smp_101370.2, Smp_101370.1
OG0003689	h1SMcT0000918.1, h1SMcT0000921.1	Smp_106060.1
OG0003691	h1SMcT0009999.1	Smp_031730.1
OG0003693	h1SMcT0014050.2, h1SMcT0022706.1, h1SMcT0022706.4, h1SMcT0014050.1, h1SMcT0022706.2, h1SMcT0022706.3	Smp_012380.1
OG0003694	h1SMcT0006802.1, h1SMcT0009283.1	Smp_171070.1
OG0003695	h1SMcT0004950.1, h1SMcT0004950.2, h1SMcT0004950.3	Smp_336330.1
OG0003696	h1SMcT0003888.1, h1SMcT0008649.1, h1SMcT0009111.4, h1SMcT0009111.1, h1SMcT0009111.2, h1SMcT0009111.3	Smp_176100.1, Smp_176100.2
OG0003697	h1SMcT0002976.1, h1SMcT0002976.2	Smp_342820.1
OG0003698	h1SMcT0000673.1, h1SMcT0013203.1, h1SMcT0013203.2	Smp_344520.1
OG0003699	h1SMcT0012950.1	Smp_033680.1
OG0003700	h1SMcT0004608.1, h1SMcT0015764.2, h1SMcT0015764.1, h1SMcT0015764.4, h1SMcT0015764.3	Smp_131700.1
OG0003701	h1SMcT0013014.1, h1SMcT0013014.2	Smp_337370.1
OG0003703	h1SMcT0005125.1, h1SMcT0006405.1, h1SMcT0006405.2, h1SMcT0006405.3	Smp_305875.1, Smp_305875.2
OG0003704	h1SMcT0004294.1	Smp_093580.1
OG0003705	h1SMcT0017746.1	Smp_118220.1
OG0003706	h1SMcT0022328.1	Smp_098450.1
OG0003708	h1SMcT0016122.1	Smp_162620.1
OG0003709	h1SMcT0015138.1, h1SMcT0022015.1	Smp_176200.1
OG0003710	h1SMcT0000643.1, h1SMcT0000643.10, h1SMcT0000643.11, h1SMcT0000643.12, h1SMcT0000643.13, h1SMcT0000643.2, h1SMcT0000643.3, h1SMcT0000643.4, h1SMcT0000643.5, h1SMcT0000643.6, h1SMcT0000643.7, h1SMcT0000643.8, h1SMcT0000643.9, h1SMcT0000643.14	Smp_347110.1
OG0003711	h1SMcT0006890.1	Smp_000660.1
OG0003712	h1SMcT0004663.3, h1SMcT0004663.1, h1SMcT0004663.2, h1SMcT0004663.4	Smp_037400.1, Smp_037400.2
OG0003713	h1SMcT0017621.1	Smp_091740.1, Smp_091740.2
OG0003715	h1SMcT0017508.2, h1SMcT0017508.7, h1SMcT0017508.1, h1SMcT0017508.5, h1SMcT0017508.6, h1SMcT0017508.3, h1SMcT0017508.4	Smp_213720.1
OG0003716	h1SMcT0010531.1, h1SMcT0010531.2	Smp_127620.1
OG0003717	h1SMcT0019043.2, h1SMcT0019043.1, h1SMcT0019043.3, h1SMcT0019043.4	Smp_150080.3, Smp_150080.2, Smp_150080.1
OG0003718	h1SMcT0018924.1, h1SMcT0018924.2, h1SMcT0018924.3, h1SMcT0009811.1, h1SMcT0009808.1, h1SMcT0009807.1, h1SMcT0009809.1	Smp_042390.1
OG0003720	h1SMcT0004241.1, h1SMcT0004241.2, h1SMcT0003657.1, h1SMcT0003657.2	Smp_066330.1
OG0003722	h1SMcT0021168.1, h1SMcT0021168.2	Smp_317700.1, Smp_342300.1
OG0003723	h1SMcT0003549.1, h1SMcT0003549.2, h1SMcT0003549.3	Smp_130270.2, Smp_130270.1, Smp_130270.3
OG0003725	h1SMcT0003823.1, h1SMcT0003823.2, h1SMcT0003823.3	Smp_067540.1
OG0003726	h1SMcT0006311.1	Smp_047620.1
OG0003727	h1SMcT0007982.1	Smp_178710.1
OG0003728	h1SMcT0021525.1	Smp_032320.2
OG0003730	h1SMcT0009136.1	Smp_180430.1
OG0003732	h1SMcT0004489.1, h1SMcT0004489.2	Smp_125670.1
OG0003733	h1SMcT0010758.1, h1SMcT0010758.2	Smp_311890.1, Smp_315980.1
OG0003735	h1SMcT0010498.1, h1SMcT0010498.2	Smp_347010.1
OG0003736	h1SMcT0004616.1, h1SMcT0004616.2	Smp_000910.1
OG0003737	h1SMcT0016541.1	Smp_176230.1
OG0003739	h1SMcT0004135.1, h1SMcT0004135.2, h1SMcT0004135.4, h1SMcT0004135.5, h1SMcT0004135.6, h1SMcT0004135.7, h1SMcT0004135.8, h1SMcT0004135.3	Smp_144870.1
OG0003740	h1SMcT0003530.1	Smp_159730.1
OG0003741	h1SMcT0013195.4, h1SMcT0013195.3, h1SMcT0013195.1, h1SMcT0013195.2, h1SMcT0013195.5	Smp_154850.1
OG0003743	h1SMcT0003420.1	Smp_156280.1
OG0003744	h1SMcT0007904.1, h1SMcT0020477.4, h1SMcT0020477.1, h1SMcT0020477.2, h1SMcT0020477.3	Smp_161850.1
OG0003745	h1SMcT0018725.1, h1SMcT0018725.2	Smp_128990.1
OG0003747	h1SMcT0004266.1	Smp_213680.1
OG0003748	h1SMcT0018220.1, h1SMcT0000703.1, h1SMcT0000703.2	Smp_343160.1
OG0003749	h1SMcT0010525.1	Smp_162910.1
OG0003752	h1SMcT0003605.1	Smp_167170.1
OG0003754	h1SMcT0000938.1	Smp_160530.1
OG0003755	h1SMcT0000211.1	Smp_153250.1
OG0003756	h1SMcT0022596.1, h1SMcT0022596.2, h1SMcT0022596.3	Smp_341570.1
OG0003758	h1SMcT0021054.1	Smp_057020.1
OG0003759	h1SMcT0008011.1, h1SMcT0008011.2, h1SMcT0008011.3	Smp_212710.1
OG0003760	h1SMcT0003701.1	Smp_157470.1
OG0003761	h1SMcT0018498.1	Smp_004260.1
OG0003762	h1SMcT0018964.1, h1SMcT0018964.2, h1SMcT0018964.3	Smp_138920.1
OG0003763	h1SMcT0020988.1, h1SMcT0020988.2, h1SMcT0020988.5, h1SMcT0020988.6, h1SMcT0020988.7, h1SMcT0020988.3, h1SMcT0020988.4	Smp_211320.2, Smp_211320.1
OG0003764	h1SMcT0007433.3, h1SMcT0007433.1, h1SMcT0007433.2	Smp_170340.1
OG0003765	h1SMcT0016751.1, h1SMcT0016751.3, h1SMcT0016751.2, h1SMcT0016751.4	Smp_017860.1
OG0003766	h1SMcT0018347.2, h1SMcT0018347.3, h1SMcT0018347.1, h1SMcT0017605.1, h1SMcT0020318.1, h1SMcT0020318.2	Smp_133600.1
OG0003767	h1SMcT0001887.1, h1SMcT0001887.2	Smp_074040.1
OG0003768	h1SMcT0010098.1, h1SMcT0010098.2	Smp_169480.1, Smp_169480.2
OG0003769	h1SMcT0015412.1, h1SMcT0018203.1, h1SMcT0018203.3, h1SMcT0018203.2, h1SMcT0018203.4, h1SMcT0015485.1	Smp_124130.1
OG0003770	h1SMcT0012287.1	Smp_141000.1, Smp_141000.2
OG0003772	h1SMcT0010220.1, h1SMcT0010220.2	Smp_245550.2, Smp_245550.1
OG0003773	h1SMcT0002262.1, h1SMcT0021924.1, h1SMcT0022195.1, h1SMcT0022195.3, h1SMcT0022195.2	Smp_036370.1
OG0003774	h1SMcT0019188.2	Smp_312760.1
OG0003775	h1SMcT0014121.1	Smp_050350.1
OG0003776	h1SMcT0009491.1	Smp_342730.1
OG0003777	h1SMcT0013416.1, h1SMcT0013416.2	Smp_105690.1
OG0003778	h1SMcT0003233.1, h1SMcT0003233.2, h1SMcT0003233.3	Smp_130280.3, Smp_130280.2, Smp_130280.1
OG0003780	h1SMcT0015198.1	Smp_120960.1, Smp_326430.1
OG0003782	h1SMcT0001170.1, h1SMcT0018093.1	Smp_066630.1
OG0003784	h1SMcT0002864.1, h1SMcT0009748.1	Smp_017360.1
OG0003785	h1SMcT0010219.1, h1SMcT0010219.2	Smp_017520.1
OG0003786	h1SMcT0018459.1, h1SMcT0018459.2	Smp_197540.1
OG0003787	h1SMcT0018860.1	Smp_077180.1
OG0003788	h1SMcT0016939.1	Smp_148790.1
OG0003790	h1SMcT0009815.1	Smp_097280.1
OG0003792	h1SMcT0002743.1, h1SMcT0002746.1, h1SMcT0002744.1, h1SMcT0002745.1, h1SMcT0002780.1	Smp_142490.1
OG0003793	h1SMcT0017221.1	Smp_147750.1
OG0003794	h1SMcT0005061.1, h1SMcT0005062.1	Smp_088310.1
OG0003795	h1SMcT0007307.1, h1SMcT0021866.1	Smp_337530.1
OG0003798	h1SMcT0010010.1	Smp_068840.1, Smp_068840.2
OG0003800	h1SMcT0019309.1	Smp_164200.1
OG0003801	h1SMcT0022379.2	Smp_012410.1
OG0003803	h1SMcT0007089.1	Smp_165780.1
OG0003804	h1SMcT0006594.1, h1SMcT0021104.1	Smp_024240.1
OG0003805	h1SMcT0001086.1, h1SMcT0001086.3, h1SMcT0001086.2	Smp_015880.1
OG0003806	h1SMcT0005713.1, h1SMcT0005713.4, h1SMcT0005713.2, h1SMcT0005713.3	Smp_066410.1
OG0003807	h1SMcT0022254.1	Smp_008140.1
OG0003809	h1SMcT0006286.1, h1SMcT0018099.1	Smp_126750.1
OG0003811	h1SMcT0012337.1	Smp_341730.1
OG0003827	h1SMcT0014037.1, h1SMcT0020987.1, h1SMcT0020987.2	Smp_129830.1
OG0003828	h1SMcT0022351.1	Smp_158480.1
OG0003829	h1SMcT0018251.1, h1SMcT0018251.2	Smp_171940.1
OG0003830	h1SMcT0014685.1	Smp_061870.1
OG0003832	h1SMcT0010783.1	Smp_125160.1
OG0003833	h1SMcT0000802.3, h1SMcT0000802.1, h1SMcT0000802.2, h1SMcT0001709.4, h1SMcT0001709.1, h1SMcT0022921.2, h1SMcT0001709.2, h1SMcT0022921.3, h1SMcT0001709.3, h1SMcT0022921.1, h1SMcT0000957.1, h1SMcT0019147.1	Smp_303330.1
OG0003834	h1SMcT0022168.1, h1SMcT0022168.2	Smp_336830.1
OG0003835	h1SMcT0012403.1	Smp_054320.1
OG0003838	h1SMcT0002495.1, h1SMcT0019970.2, h1SMcT0019970.3, h1SMcT0019970.1	Smp_345410.1
OG0003839	h1SMcT0012870.1, h1SMcT0012870.2	Smp_132000.1
OG0003841	h1SMcT0007169.1	Smp_141660.1
OG0003843	h1SMcT0003794.1, h1SMcT0021046.1	Smp_145600.1
OG0003845	h1SMcT0006624.1, h1SMcT0006624.2	Smp_307070.1
OG0003846	h1SMcT0000622.1, h1SMcT0022186.1, h1SMcT0018696.1	Smp_241480.1
OG0003847	h1SMcT0014186.1	Smp_346300.1
OG0003848	h1SMcT0001867.1	Smp_133350.1
OG0003850	h1SMcT0005292.1, h1SMcT0006886.1, h1SMcT0003132.1, h1SMcT0003132.2	Smp_196950.1, Smp_196950.2
OG0003851	h1SMcT0011549.5, h1SMcT0011549.2, h1SMcT0011549.4, h1SMcT0011549.1, h1SMcT0011549.3	Smp_347810.1
OG0003852	h1SMcT0005037.1, h1SMcT0007970.1, h1SMcT0019831.1	Smp_318140.1, Smp_318130.1
OG0003854	h1SMcT0010560.1	Smp_308980.1, Smp_309000.1
OG0003855	h1SMcT0021073.5, h1SMcT0021073.1, h1SMcT0021073.2, h1SMcT0021073.3, h1SMcT0021073.6, h1SMcT0021073.4, h1SMcT0021073.7	Smp_172110.1
OG0003856	h1SMcT0006374.4	Smp_343650.1
OG0003858	h1SMcT0011376.1, h1SMcT0011376.4, h1SMcT0011376.3, h1SMcT0011376.2, h1SMcT0011376.5	Smp_083200.1
OG0003859	h1SMcT0007589.3, h1SMcT0007589.2, h1SMcT0007589.1	Smp_243690.1
OG0003860	h1SMcT0016827.1	Smp_170320.1
OG0003861	h1SMcT0007994.1, h1SMcT0007994.3	Smp_068120.1
OG0003863	h1SMcT0000269.1, h1SMcT0003646.1	Smp_099170.1
OG0003864	h1SMcT0018195.1, h1SMcT0018195.2	Smp_329570.3, Smp_329570.1, Smp_329570.2
OG0003865	h1SMcT0003532.1, h1SMcT0003533.1, h1SMcT0003533.2	Smp_300770.1, Smp_300770.2, Smp_318150.1
OG0003866	h1SMcT0016013.1, h1SMcT0016165.1	Smp_093700.1
OG0003867	h1SMcT0004926.2, h1SMcT0004926.3, h1SMcT0010279.1, h1SMcT0010279.2	Smp_004600.1
OG0003868	h1SMcT0006851.1	Smp_018640.1
OG0003869	h1SMcT0005486.1	Smp_159140.1
OG0003871	h1SMcT0016887.2, h1SMcT0016887.3	Smp_071560.1
OG0003873	h1SMcT0000645.1	Smp_334460.1
OG0003874	h1SMcT0022232.1, h1SMcT0003671.1	Smp_005520.1
OG0003875	h1SMcT0013018.1, h1SMcT0019772.1, h1SMcT0019772.2, h1SMcT0019772.3, h1SMcT0019772.4, h1SMcT0019772.5, h1SMcT0003672.6, h1SMcT0003672.5, h1SMcT0003672.2, h1SMcT0003672.3, h1SMcT0003672.1, h1SMcT0003672.4	Smp_077980.1
OG0003876	h1SMcT0005003.1	Smp_048380.1
OG0003877	h1SMcT0015696.1	Smp_013610.1
OG0003878	h1SMcT0002577.1	Smp_347790.1
OG0003879	h1SMcT0011576.1	Smp_151070.1
OG0003880	h1SMcT0004977.1	Smp_141960.1
OG0003881	h1SMcT0009806.1, h1SMcT0009806.2	Smp_018400.1
OG0003882	h1SMcT0006189.1, h1SMcT0006189.2	Smp_203310.1
OG0003883	h1SMcT0003257.1	Smp_132210.1
OG0003884	h1SMcT0010724.1, h1SMcT0010724.2	Smp_056260.2, Smp_056260.1
OG0003885	h1SMcT0003343.1, h1SMcT0003343.3, h1SMcT0003343.2, h1SMcT0005079.1, h1SMcT0005079.3, h1SMcT0005079.2, h1SMcT0002027.6, h1SMcT0002027.8, h1SMcT0002027.5, h1SMcT0002027.7	Smp_002080.1
OG0003886	h1SMcT0012152.1	Smp_343460.1
OG0003887	h1SMcT0018844.1	Smp_343240.1
OG0003888	h1SMcT0001229.1	Smp_064250.1
OG0003889	h1SMcT0020244.1, h1SMcT0020244.2, h1SMcT0006576.1, h1SMcT0006576.2, h1SMcT0006576.3, h1SMcT0006576.4, h1SMcT0004902.1	Smp_145540.1
OG0003890	h1SMcT0014895.1, h1SMcT0016521.1, h1SMcT0016519.1, h1SMcT0016519.2	Smp_051300.1
OG0003891	h1SMcT0006320.1	Smp_163250.1
OG0003892	h1SMcT0007102.1, h1SMcT0007102.2, h1SMcT0004479.4, h1SMcT0004479.1, h1SMcT0004479.3, h1SMcT0004479.2	Smp_147110.1
OG0003893	h1SMcT0000199.1	Smp_346340.1
OG0003896	h1SMcT0009914.1, h1SMcT0009914.2	Smp_148470.1
OG0003899	h1SMcT0019525.1	Smp_130180.1
OG0003900	h1SMcT0011240.1, h1SMcT0011240.2	Smp_333740.1
OG0003901	h1SMcT0001300.2, h1SMcT0001300.1, h1SMcT0001300.3	Smp_196220.1
OG0003902	h1SMcT0022538.1, h1SMcT0022538.2	Smp_165700.1
OG0003904	h1SMcT0018628.1	Smp_083970.1
OG0003906	h1SMcT0009344.1	Smp_180060.1
OG0003907	h1SMcT0004482.1, h1SMcT0004482.2	Smp_048620.1
OG0003908	h1SMcT0009287.1, h1SMcT0009287.2, h1SMcT0009287.3	Smp_337110.1
OG0003909	h1SMcT0004470.1, h1SMcT0004470.2, h1SMcT0004470.3	Smp_132690.1
OG0003910	h1SMcT0013437.1	Smp_133940.1
OG0003911	h1SMcT0002275.1, h1SMcT0002275.2, h1SMcT0002275.3, h1SMcT0002275.4	Smp_072180.1
OG0003913	h1SMcT0001110.1, h1SMcT0001110.2	Smp_129000.1
OG0003914	h1SMcT0020025.1, h1SMcT0020025.2, h1SMcT0001606.1, h1SMcT0000049.1	Smp_337060.1
OG0003915	h1SMcT0011845.1, h1SMcT0011703.1, h1SMcT0011703.2, h1SMcT0021892.1, h1SMcT0021894.1	Smp_037230.1
OG0003916	h1SMcT0003668.4, h1SMcT0003668.1, h1SMcT0003668.2	Smp_247720.1
OG0003917	h1SMcT0009262.1	Smp_018220.1
OG0003918	h1SMcT0007863.1	Smp_124450.1
OG0003919	h1SMcT0010103.1, h1SMcT0010104.1, h1SMcT0010104.2, h1SMcT0010104.3	Smp_340670.1
OG0003920	h1SMcT0005347.1, h1SMcT0005347.2, h1SMcT0005352.1	Smp_176540.1
OG0003922	h1SMcT0001710.1, h1SMcT0022920.1	Smp_167680.1
OG0003923	h1SMcT0001320.1, h1SMcT0012483.1	Smp_004080.1
OG0003924	h1SMcT0017640.1	Smp_021830.1
OG0003925	h1SMcT0009063.1, h1SMcT0009063.2	Smp_245840.2, Smp_245840.1, Smp_245840.3
OG0003928	h1SMcT0002543.1, h1SMcT0002543.3, h1SMcT0002543.2	Smp_172050.1
OG0003930	h1SMcT0006843.2, h1SMcT0006843.3, h1SMcT0006843.1	Smp_053800.1
OG0003931	h1SMcT0020554.1	Smp_048970.1
OG0003932	h1SMcT0007689.3, h1SMcT0007689.1, h1SMcT0007689.2	Smp_337395.1
OG0003933	h1SMcT0010889.4, h1SMcT0010889.1, h1SMcT0010889.2, h1SMcT0010889.3	Smp_341230.1
OG0003934	h1SMcT0010448.1, h1SMcT0010448.2, h1SMcT0010451.1	Smp_344090.1
OG0003935	h1SMcT0010397.1	Smp_323340.1
OG0003936	h1SMcT0003655.1, h1SMcT0003656.1	Smp_044530.1
OG0003938	h1SMcT0022492.1, h1SMcT0022492.2, h1SMcT0022492.3, h1SMcT0022492.4	Smp_052230.1
OG0003939	h1SMcT0011085.1, h1SMcT0011085.2	Smp_144030.1
OG0003940	h1SMcT0020212.1, h1SMcT0020212.2	Smp_323540.1
OG0003943	h1SMcT0009929.1	Smp_347720.1
OG0003944	h1SMcT0008089.1, h1SMcT0008089.5, h1SMcT0008089.4, h1SMcT0008089.2, h1SMcT0008089.3	Smp_095920.1
OG0003946	h1SMcT0015479.1	Smp_124320.1
OG0003947	h1SMcT0017224.1, h1SMcT0017224.2	Smp_154780.1
OG0003948	h1SMcT0008947.1	Smp_170400.1
OG0003949	h1SMcT0020177.1, h1SMcT0014544.3, h1SMcT0014544.2, h1SMcT0014544.1	Smp_047370.1
OG0003950	h1SMcT0004912.1	Smp_006350.1
OG0003951	h1SMcT0010802.1	Smp_350430.1, Smp_346010.1
OG0003952	h1SMcT0014131.1	Smp_172510.2, Smp_172510.1
OG0003953	h1SMcT0002241.1	Smp_070600.1
OG0003954	h1SMcT0017933.1	Smp_325960.1, Smp_342640.1
OG0003955	h1SMcT0010774.1, h1SMcT0010774.2, h1SMcT0010774.3, h1SMcT0010774.4, h1SMcT0010774.5	Smp_176310.1
OG0003956	h1SMcT0010570.1, h1SMcT0010570.2	Smp_085110.1
OG0003957	h1SMcT0021821.1	Smp_032060.1
OG0003958	h1SMcT0006040.1	Smp_161960.1
OG0003960	h1SMcT0003424.1	Smp_082620.1
OG0003961	h1SMcT0012531.1, h1SMcT0012531.2	Smp_312610.1, Smp_312620.1
OG0003964	h1SMcT0015336.1	Smp_055900.1
OG0003965	h1SMcT0002939.1, h1SMcT0002939.2	Smp_163550.1
OG0003966	h1SMcT0020626.1, h1SMcT0015395.1, h1SMcT0015395.2	Smp_322690.1, Smp_145640.1
OG0003968	h1SMcT0014084.1	Smp_204380.1
OG0003970	h1SMcT0004509.1, h1SMcT0004509.2, h1SMcT0004509.3, h1SMcT0004509.4	Smp_164080.1
OG0003972	h1SMcT0011026.1	Smp_196790.1
OG0003974	h1SMcT0012401.1	Smp_096910.1
OG0003975	h1SMcT0008185.1, h1SMcT0011945.1	Smp_302140.1
OG0003976	h1SMcT0013237.1, h1SMcT0013237.2	Smp_124030.1
OG0003978	h1SMcT0008844.1	Smp_341120.1
OG0003979	h1SMcT0012113.1, h1SMcT0002382.3, h1SMcT0002382.1, h1SMcT0002382.2	Smp_242800.1, Smp_242800.2
OG0003980	h1SMcT0013061.1, h1SMcT0013061.2, h1SMcT0013059.1, h1SMcT0013059.2	Smp_340220.1
OG0003982	h1SMcT0000294.5, h1SMcT0000294.4, h1SMcT0000294.1, h1SMcT0000294.2, h1SMcT0000294.3	Smp_078730.1
OG0003983	h1SMcT0008711.3, h1SMcT0008711.1, h1SMcT0008711.4, h1SMcT0008711.2	Smp_018430.1
OG0003985	h1SMcT0014264.3, h1SMcT0014264.1, h1SMcT0014264.2	Smp_123610.1
OG0003986	h1SMcT0016022.1	Smp_079760.1
OG0003987	h1SMcT0005578.1	Smp_267280.1
OG0003988	h1SMcT0013382.1	Smp_210810.1, Smp_210810.2
OG0003991	h1SMcT0011806.1, h1SMcT0011806.2, h1SMcT0019702.1, h1SMcT0019702.2, h1SMcT0019449.4, h1SMcT0019449.2, h1SMcT0019449.1, h1SMcT0019449.3	Smp_347610.1
OG0003992	h1SMcT0019862.1, h1SMcT0019862.2	Smp_073280.1
OG0003993	h1SMcT0010730.2, h1SMcT0010730.3, h1SMcT0019813.1, h1SMcT0019817.1	Smp_160700.1
OG0003995	h1SMcT0022018.1, h1SMcT0013587.1, h1SMcT0013587.2, h1SMcT0003676.1, h1SMcT0003675.2, h1SMcT0003675.3	Smp_165660.1
OG0003997	h1SMcT0005732.1	Smp_130600.1
OG0003998	h1SMcT0010494.3, h1SMcT0010494.1, h1SMcT0010494.2	Smp_026700.1
OG0003999	h1SMcT0006441.1, h1SMcT0006441.2	Smp_176090.1
OG0004002	h1SMcT0016678.1, h1SMcT0016678.2, h1SMcT0016678.3, h1SMcT0016678.4	Smp_007970.1
OG0004003	h1SMcT0008471.1	Smp_318970.1
OG0004004	h1SMcT0006638.1, h1SMcT0018745.1, h1SMcT0018745.2	Smp_086900.1
OG0004005	h1SMcT0013306.1, h1SMcT0013306.2	Smp_142670.1
OG0004006	h1SMcT0000050.1, h1SMcT0004460.1	Smp_057090.1
OG0004008	h1SMcT0020654.3, h1SMcT0020654.2, h1SMcT0020654.1	Smp_003130.1
OG0004010	h1SMcT0008745.1, h1SMcT0011235.1, h1SMcT0011232.1, h1SMcT0007372.4, h1SMcT0007372.5, h1SMcT0007370.1, h1SMcT0007372.1, h1SMcT0007372.2, h1SMcT0007372.3	Smp_087760.1
OG0004013	h1SMcT0000264.2	Smp_347390.1
OG0004014	h1SMcT0016255.1, h1SMcT0016255.2, h1SMcT0016255.3, h1SMcT0016255.4, h1SMcT0017629.1, h1SMcT0017629.2, h1SMcT0007287.1, h1SMcT0007287.2, h1SMcT0018686.1, h1SMcT0010513.1, h1SMcT0010513.2	Smp_133420.1
OG0004015	h1SMcT0016687.2, h1SMcT0016687.1, h1SMcT0016687.3	Smp_300790.1, Smp_332960.1
OG0004016	h1SMcT0011812.1, h1SMcT0011812.2	Smp_342830.1
OG0004017	h1SMcT0001458.1, h1SMcT0001458.2	Smp_053430.1
OG0004018	h1SMcT0015111.1	Smp_123190.1
