Orthogroup	schmidtea_mediterranea	opisthorchis_viverrini
OG0002583	h1SMcT0020908.1, h1SMcT0020908.2, h1SMcT0020908.3	T265_08898
OG0002584	h1SMcT0000515.1, h1SMcT0000515.2, h1SMcT0000515.3	T265_13055
OG0002586	h1SMcT0004116.1	T265_09506, T265_03414
OG0002587	h1SMcT0010795.1, h1SMcT0010795.2	T265_06030
OG0002588	h1SMcT0018144.1, h1SMcT0018144.2, h1SMcT0018144.5	T265_08785
OG0002589	h1SMcT0004347.1	T265_04177
OG0002590	h1SMcT0006472.1	T265_13106
OG0002591	h1SMcT0011750.1, h1SMcT0011750.2, h1SMcT0011750.3, h1SMcT0004986.1, h1SMcT0004986.2	T265_11493
OG0002592	h1SMcT0020368.1	T265_14197
OG0002593	h1SMcT0010211.1, h1SMcT0010211.2	T265_02360
OG0002594	h1SMcT0014132.1	T265_02363
OG0002595	h1SMcT0004812.1	T265_02820
OG0002596	h1SMcT0010450.1, h1SMcT0010450.2	T265_05825
OG0002597	h1SMcT0004058.3, h1SMcT0004058.5, h1SMcT0004058.4, h1SMcT0004058.2, h1SMcT0004058.1	T265_12817, T265_12684
OG0002598	h1SMcT0008181.1	T265_11007
OG0002599	h1SMcT0002663.2, h1SMcT0002663.1, h1SMcT0015973.1, h1SMcT0015973.2	T265_03901
OG0002600	h1SMcT0008122.1	T265_10026
OG0002602	h1SMcT0017114.1, h1SMcT0017114.2, h1SMcT0017115.1, h1SMcT0017115.2	T265_11163
OG0002603	h1SMcT0016607.1, h1SMcT0016607.2, h1SMcT0016607.3	T265_01188
OG0002604	h1SMcT0001279.4, h1SMcT0001279.2, h1SMcT0001279.1, h1SMcT0001279.3	T265_10922
OG0002605	h1SMcT0000766.3, h1SMcT0000766.1, h1SMcT0000766.2	T265_09297
OG0002606	h1SMcT0017551.1	T265_15010
OG0002607	h1SMcT0004356.1, h1SMcT0016360.1	T265_15621
OG0002609	h1SMcT0000491.1, h1SMcT0021455.1	T265_06812
OG0002610	h1SMcT0002019.1	T265_04076, T265_15961
OG0002613	h1SMcT0013712.1, h1SMcT0013713.1	T265_08303, T265_07594
OG0002614	h1SMcT0010198.1, h1SMcT0011053.1, h1SMcT0010721.3, h1SMcT0010721.2, h1SMcT0010721.1	T265_13503
OG0002614	h1SMcT0020539.1, h1SMcT0013264.1, h1SMcT0012651.1, h1SMcT0012648.1, h1SMcT0023037.1, h1SMcT0019624.1, h1SMcT0019624.2	T265_15097, T265_16170
OG0002615	h1SMcT0022056.1	T265_03587
OG0002616	h1SMcT0004893.1	T265_04004
OG0002617	h1SMcT0016816.1	T265_04692
OG0002619	h1SMcT0006042.1	T265_10984
OG0002620	h1SMcT0003803.1, h1SMcT0003803.2	T265_08636
OG0002621	h1SMcT0016234.3, h1SMcT0016234.4, h1SMcT0016234.2, h1SMcT0016234.1	T265_09809
OG0002622	h1SMcT0000023.2, h1SMcT0000023.1, h1SMcT0000023.3	T265_11458
OG0002623	h1SMcT0007802.1, h1SMcT0018722.1	T265_04416
OG0002624	h1SMcT0009000.1, h1SMcT0009000.2, h1SMcT0013344.1, h1SMcT0013344.2, h1SMcT0013344.3	T265_07686
OG0002626	h1SMcT0005057.1, h1SMcT0006803.2, h1SMcT0006803.1, h1SMcT0007268.1	T265_08212
OG0002627	h1SMcT0011652.1, h1SMcT0011652.2	T265_03218
OG0002628	h1SMcT0021179.1, h1SMcT0021179.2, h1SMcT0021178.1, h1SMcT0021178.2, h1SMcT0021178.3, h1SMcT0021178.4	T265_08624, T265_08623, T265_14214, T265_13827
OG0002629	h1SMcT0004856.3	T265_13471
OG0002630	h1SMcT0019755.1	T265_01008
OG0002632	h1SMcT0004705.1	T265_06015
OG0002635	h1SMcT0005019.3, h1SMcT0005019.1, h1SMcT0005019.2, h1SMcT0005019.7, h1SMcT0005019.4, h1SMcT0005019.6, h1SMcT0005019.5, h1SMcT0005019.8	T265_06947
OG0002636	h1SMcT0022205.1, h1SMcT0022205.2	T265_12437
OG0002638	h1SMcT0018293.2, h1SMcT0018293.3, h1SMcT0018293.1, h1SMcT0018293.4, h1SMcT0018293.5, h1SMcT0018293.6	T265_01339
OG0002639	h1SMcT0013571.1	T265_06794
OG0002640	h1SMcT0004237.1, h1SMcT0004237.2	T265_08171
OG0002642	h1SMcT0011811.1, h1SMcT0011811.2, h1SMcT0001191.3, h1SMcT0001191.2, h1SMcT0001191.1, h1SMcT0001191.4	T265_06912
OG0002643	h1SMcT0012850.1, h1SMcT0012850.2	T265_10968
OG0002644	h1SMcT0018551.1, h1SMcT0018551.2	T265_14640
OG0002645	h1SMcT0009982.1, h1SMcT0009982.2	T265_00224
OG0002646	h1SMcT0007453.3, h1SMcT0007453.1, h1SMcT0007453.2	T265_05691
OG0002648	h1SMcT0006943.1	T265_04212
OG0002649	h1SMcT0004889.2, h1SMcT0004889.3, h1SMcT0004889.1, h1SMcT0004889.4	T265_05362
OG0002650	h1SMcT0011970.1, h1SMcT0011970.2, h1SMcT0011970.4, h1SMcT0011970.3, h1SMcT0009318.2, h1SMcT0009318.3, h1SMcT0009318.4	T265_14961
OG0002651	h1SMcT0021526.1	T265_13532, T265_13531
OG0002652	h1SMcT0002647.2, h1SMcT0015990.1	T265_03490, T265_03489
OG0002653	h1SMcT0022125.1	T265_05349
OG0002654	h1SMcT0007436.1	T265_15265
OG0002655	h1SMcT0022119.1	T265_07489
OG0002656	h1SMcT0013642.1	T265_13304
OG0002657	h1SMcT0009274.1, h1SMcT0009274.2	T265_13545
OG0002658	h1SMcT0022164.1, h1SMcT0022164.2	T265_00747, T265_12627
OG0002660	h1SMcT0002936.1, h1SMcT0009331.5	T265_00945
OG0002661	h1SMcT0015257.1	T265_13706
OG0002662	h1SMcT0018230.1, h1SMcT0018230.2	T265_14428
OG0002663	h1SMcT0000647.1	T265_10211
OG0002664	h1SMcT0012383.1, h1SMcT0012383.2	T265_11068, T265_16106
OG0002665	h1SMcT0005136.1	T265_06844, T265_16075
OG0002667	h1SMcT0015595.1, h1SMcT0015595.2, h1SMcT0015595.3	T265_03243
OG0002668	h1SMcT0017181.1, h1SMcT0019582.1, h1SMcT0013940.1, h1SMcT0019422.1	T265_01423
OG0002669	h1SMcT0022286.1, h1SMcT0012082.1, h1SMcT0012082.2	T265_13389
OG0002670	h1SMcT0016669.1, h1SMcT0016669.2, h1SMcT0016669.3	T265_02796
OG0002671	h1SMcT0022139.1	T265_04847
OG0002672	h1SMcT0017205.1	T265_00778
OG0002673	h1SMcT0006278.1, h1SMcT0006279.1	T265_14755
OG0002674	h1SMcT0020547.1	T265_02974, T265_09573
OG0002675	h1SMcT0020577.1, h1SMcT0020577.2	T265_01135
OG0002677	h1SMcT0012775.1	T265_11806
OG0002678	h1SMcT0023121.1, h1SMcT0023114.3, h1SMcT0023114.1, h1SMcT0023114.2	T265_14495, T265_08174
OG0002679	h1SMcT0007046.1	T265_14188
OG0002680	h1SMcT0019160.3	T265_01156
OG0002681	h1SMcT0000524.1, h1SMcT0000524.2	T265_11893, T265_11894
OG0002682	h1SMcT0003192.1, h1SMcT0003191.1, h1SMcT0001398.1, h1SMcT0001885.1, h1SMcT0021316.1	T265_10217
OG0002683	h1SMcT0006071.1	T265_13830
OG0002685	h1SMcT0000568.1	T265_09546
OG0002686	h1SMcT0007823.1	T265_13273
OG0002687	h1SMcT0014747.2, h1SMcT0014747.3, h1SMcT0014747.1, h1SMcT0014747.4	T265_04020, T265_04336
OG0002688	h1SMcT0018029.4, h1SMcT0018029.5, h1SMcT0018029.7, h1SMcT0018029.6, h1SMcT0018029.1, h1SMcT0018029.2, h1SMcT0018029.3	T265_11653
OG0002689	h1SMcT0020029.1, h1SMcT0011360.1, h1SMcT0011373.1, h1SMcT0011373.2	T265_04523
OG0002690	h1SMcT0010698.1, h1SMcT0018654.1, h1SMcT0006959.3, h1SMcT0006959.1, h1SMcT0006959.2	T265_09672
OG0002691	h1SMcT0022592.1	T265_15871
OG0002692	h1SMcT0020628.1, h1SMcT0020628.2	T265_11446
OG0002693	h1SMcT0013748.1	T265_02440
OG0002697	h1SMcT0016469.1, h1SMcT0016469.2	T265_08181
OG0002698	h1SMcT0018533.1, h1SMcT0018533.2, h1SMcT0018533.3	T265_12501
OG0002700	h1SMcT0012327.1, h1SMcT0012327.2	T265_02734
OG0002709	h1SMcT0014206.1, h1SMcT0014207.1	T265_09385
OG0002711	h1SMcT0022126.1	T265_11288
OG0002713	h1SMcT0012298.4, h1SMcT0012298.3, h1SMcT0012298.1, h1SMcT0012298.2	T265_05798
OG0002715	h1SMcT0018555.1	T265_02021
OG0002717	h1SMcT0001489.1, h1SMcT0001487.1, h1SMcT0001487.3, h1SMcT0001487.2	T265_01862, T265_16344
OG0002718	h1SMcT0016815.3, h1SMcT0016815.5, h1SMcT0016815.4, h1SMcT0016815.1, h1SMcT0016815.2	T265_08451, T265_10568
OG0002719	h1SMcT0007142.1, h1SMcT0003244.1, h1SMcT0017998.1	T265_08405
OG0002719	h1SMcT0003025.1, h1SMcT0010149.1, h1SMcT0019874.1	T265_06423
OG0002720	h1SMcT0002372.1	T265_09225, T265_09226, T265_15015
OG0002721	h1SMcT0022586.1, h1SMcT0022586.2	T265_11661
OG0002724	h1SMcT0014129.1	T265_12997
OG0002725	h1SMcT0006290.1, h1SMcT0006290.2	T265_08421
OG0002726	h1SMcT0013409.1	T265_08999
OG0002727	h1SMcT0017844.2, h1SMcT0017844.3, h1SMcT0017844.5, h1SMcT0017844.7, h1SMcT0017844.1, h1SMcT0017844.6, h1SMcT0017844.4	T265_00821
OG0002730	h1SMcT0018069.1, h1SMcT0018069.2, h1SMcT0018069.3	T265_02419, T265_16240
OG0002731	h1SMcT0021544.1, h1SMcT0022908.1	T265_01959, T265_13402
OG0002732	h1SMcT0012543.1, h1SMcT0012543.4, h1SMcT0012543.2, h1SMcT0012543.3, h1SMcT0012543.5	T265_14352
OG0002734	h1SMcT0000891.1, h1SMcT0008266.2, h1SMcT0008266.4, h1SMcT0008266.3, h1SMcT0008266.1	T265_13416
OG0002735	h1SMcT0010016.1, h1SMcT0010016.2, h1SMcT0010016.3	T265_10699
OG0002736	h1SMcT0013012.1	T265_03760
OG0002738	h1SMcT0016321.1, h1SMcT0016321.2, h1SMcT0016120.1, h1SMcT0016288.1, h1SMcT0016287.1, h1SMcT0016295.1, h1SMcT0001969.1, h1SMcT0011328.1	T265_03554, T265_03555, T265_05707, T265_10277, T265_12164, T265_12402, T265_05828
OG0002739	h1SMcT0019941.1	T265_09407
OG0002740	h1SMcT0018883.1	T265_02573
OG0002741	h1SMcT0021447.1, h1SMcT0021447.2, h1SMcT0004667.2, h1SMcT0004667.1, h1SMcT0004667.3	T265_10545, T265_11017
OG0002742	h1SMcT0014277.1	T265_12515
OG0002743	h1SMcT0007441.1, h1SMcT0021805.1, h1SMcT0021805.2, h1SMcT0021805.3, h1SMcT0008290.1, h1SMcT0006348.1, h1SMcT0005956.1, h1SMcT0005956.2	T265_15636
OG0002744	h1SMcT0014974.1, h1SMcT0014974.3, h1SMcT0014974.4, h1SMcT0014974.6, h1SMcT0014974.2, h1SMcT0014974.5	T265_06158
OG0002745	h1SMcT0021005.1, h1SMcT0021005.2	T265_05355
OG0002747	h1SMcT0022327.1	T265_11759
OG0002748	h1SMcT0016516.2, h1SMcT0016516.6, h1SMcT0016516.4, h1SMcT0016516.1, h1SMcT0016516.5, h1SMcT0016516.3, h1SMcT0003223.1, h1SMcT0003223.2	T265_13947, T265_06098
OG0002749	h1SMcT0018110.1, h1SMcT0018110.4, h1SMcT0018110.2, h1SMcT0018110.3	T265_06761
OG0002750	h1SMcT0022983.2, h1SMcT0022983.3, h1SMcT0022983.5, h1SMcT0001790.1, h1SMcT0001790.3, h1SMcT0022983.4, h1SMcT0001790.4, h1SMcT0001790.2, h1SMcT0022983.6, h1SMcT0022983.1	T265_13284, T265_16195
OG0002752	h1SMcT0015526.2, h1SMcT0015526.1, h1SMcT0015526.3	T265_00423, T265_16111
OG0002755	h1SMcT0006094.1, h1SMcT0006100.1	T265_09929
OG0002756	h1SMcT0003135.1, h1SMcT0003135.2, h1SMcT0023066.1, h1SMcT0000588.6, h1SMcT0000588.2, h1SMcT0000588.4, h1SMcT0000588.5	T265_00650
OG0002758	h1SMcT0008309.1	T265_00955
OG0002759	h1SMcT0019699.1, h1SMcT0019699.2	T265_03239
OG0002761	h1SMcT0005922.1	T265_03044
OG0002762	h1SMcT0017886.1	T265_13549
OG0002763	h1SMcT0014019.1, h1SMcT0014019.2, h1SMcT0014019.3	T265_13464
OG0002765	h1SMcT0007684.1, h1SMcT0007684.2	T265_05839
OG0002766	h1SMcT0020057.1	T265_00330
OG0002767	h1SMcT0003718.1, h1SMcT0003718.7, h1SMcT0003718.4, h1SMcT0003718.3, h1SMcT0003718.6, h1SMcT0003718.2, h1SMcT0003718.5	T265_06760
OG0002768	h1SMcT0009763.1, h1SMcT0009763.2, h1SMcT0009763.3	T265_10258, T265_16169
OG0002773	h1SMcT0013591.1, h1SMcT0013591.2	T265_07914
OG0002774	h1SMcT0018682.1	T265_05258
OG0002777	h1SMcT0014472.2, h1SMcT0014472.1, h1SMcT0014472.4, h1SMcT0014472.3	T265_05823
OG0002778	h1SMcT0007488.1	T265_09444
OG0002779	h1SMcT0022636.1, h1SMcT0022636.2	T265_14542
OG0002782	h1SMcT0022604.1	T265_12327, T265_10961, T265_01932
OG0002783	h1SMcT0008003.1	T265_00286
OG0002784	h1SMcT0008178.1, h1SMcT0008178.2	T265_01050
OG0002786	h1SMcT0010646.1, h1SMcT0010646.2	T265_13497
OG0002787	h1SMcT0001295.1, h1SMcT0014123.1	T265_03074
OG0002788	h1SMcT0014807.3, h1SMcT0014807.1, h1SMcT0014807.2	T265_01005
OG0002789	h1SMcT0013724.1	T265_08482
OG0002790	h1SMcT0010488.1, h1SMcT0010488.2	T265_02675
OG0002792	h1SMcT0001032.3, h1SMcT0001032.1, h1SMcT0001032.2, h1SMcT0001032.4, h1SMcT0001032.5	T265_06771
OG0002794	h1SMcT0019472.1, h1SMcT0019472.2	T265_15249, T265_15899
OG0002795	h1SMcT0021429.1, h1SMcT0021429.2	T265_07477
OG0002796	h1SMcT0009699.1	T265_13167
OG0002798	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3	T265_13131
OG0002800	h1SMcT0017204.1, h1SMcT0017204.2	T265_14735
OG0002802	h1SMcT0013333.1, h1SMcT0013333.2	T265_07569
OG0002803	h1SMcT0003358.1	T265_03781
OG0002804	h1SMcT0016072.1, h1SMcT0016072.2	T265_13660
OG0002805	h1SMcT0021082.1	T265_12771
OG0002806	h1SMcT0004369.1, h1SMcT0004369.2	T265_15954, T265_07440, T265_16235
OG0002807	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2	T265_06189
OG0002808	h1SMcT0003897.1	T265_04515
OG0002809	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2	T265_12974
OG0002810	h1SMcT0007485.1, h1SMcT0007485.2	T265_06252
OG0002812	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3	T265_04204, T265_13449
OG0002814	h1SMcT0020082.1	T265_05382
OG0002816	h1SMcT0003753.1, h1SMcT0003753.2, h1SMcT0003753.3, h1SMcT0017894.1, h1SMcT0017894.2, h1SMcT0017894.3	T265_08032
OG0002817	h1SMcT0022064.1	T265_04006
OG0002818	h1SMcT0021904.2, h1SMcT0021904.1, h1SMcT0021904.3	T265_08927, T265_01280
OG0002819	h1SMcT0000992.1, h1SMcT0000992.2	T265_09770
OG0002821	h1SMcT0006182.1	T265_03347
OG0002822	h1SMcT0005549.1	T265_07965
OG0002823	h1SMcT0008134.1	T265_05525
OG0002824	h1SMcT0019939.1, h1SMcT0019939.2	T265_10376
OG0002825	h1SMcT0008532.1, h1SMcT0012833.4, h1SMcT0012833.8, h1SMcT0012833.7, h1SMcT0012833.3, h1SMcT0012833.9, h1SMcT0012833.1, h1SMcT0012833.5, h1SMcT0012833.10, h1SMcT0012833.2, h1SMcT0012833.6	T265_07639
OG0002826	h1SMcT0013331.1	T265_11221, T265_15380
OG0002827	h1SMcT0001920.1	T265_03736
OG0002828	h1SMcT0013393.1, h1SMcT0014439.1	T265_09896
OG0002829	h1SMcT0006187.1	T265_06804
OG0002830	h1SMcT0001922.1	T265_15416
OG0002831	h1SMcT0013023.1	T265_06375
OG0002832	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4	T265_03399
OG0002834	h1SMcT0011093.1, h1SMcT0019571.1	T265_11271
OG0002835	h1SMcT0001144.1, h1SMcT0001144.2	T265_04910
OG0002836	h1SMcT0019327.1	T265_03775
OG0002837	h1SMcT0014915.1	T265_03657
OG0002839	h1SMcT0006670.1, h1SMcT0006670.2	T265_00320
OG0002841	h1SMcT0006700.1, h1SMcT0017675.1, h1SMcT0017675.2	T265_10889
OG0002842	h1SMcT0004397.1	T265_12366, T265_08849, T265_15989
OG0002845	h1SMcT0021588.1, h1SMcT0021588.2	T265_13463
OG0002846	h1SMcT0021442.1, h1SMcT0021442.2	T265_16173, T265_06179
OG0002847	h1SMcT0004395.1	T265_00612
OG0002848	h1SMcT0001453.1	T265_14189
OG0002848	h1SMcT0014726.1, h1SMcT0014726.2	T265_08788
OG0002849	h1SMcT0016208.1, h1SMcT0016208.2	T265_06370
OG0002851	h1SMcT0000841.1	T265_08012, T265_12159, T265_14456, T265_08013
OG0002852	h1SMcT0003565.1, h1SMcT0003565.2	T265_10322
OG0002853	h1SMcT0000924.1, h1SMcT0000924.2	T265_09115
OG0002854	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5	T265_02955, T265_13136
OG0002855	h1SMcT0021886.1, h1SMcT0021886.2	T265_08034
OG0002856	h1SMcT0000988.1, h1SMcT0000988.2	T265_06755
OG0002857	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14	T265_01821, T265_01444
OG0002858	h1SMcT0011425.1, h1SMcT0011425.2	T265_01858
OG0002859	h1SMcT0010965.1, h1SMcT0010965.2	T265_02034
OG0002860	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2	T265_14764
OG0002861	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3	T265_08733, T265_14653
OG0002863	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2	T265_16256, T265_04944
OG0002864	h1SMcT0001560.1, h1SMcT0001560.2	T265_13279
OG0002866	h1SMcT0009506.1	T265_05742, T265_08029, T265_14459, T265_14460
OG0002868	h1SMcT0018668.1	T265_04776, T265_04777
OG0002869	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4	T265_02470
OG0002870	h1SMcT0019214.1	T265_02369
OG0002871	h1SMcT0020026.1	T265_05892
OG0002872	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3	T265_06839
OG0002873	h1SMcT0009651.1	T265_05961
OG0002874	h1SMcT0020479.1, h1SMcT0020479.2	T265_13044
OG0002875	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4	T265_08601
OG0002876	h1SMcT0007716.1	T265_09158
OG0002877	h1SMcT0007009.1	T265_15585
OG0002879	h1SMcT0011833.1, h1SMcT0011833.2	T265_00994
OG0002880	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4	T265_15974, T265_16333, T265_16372
OG0002881	h1SMcT0004996.1	T265_03918
OG0002883	h1SMcT0022337.1	T265_00123
OG0002884	h1SMcT0003205.1, h1SMcT0003205.2	T265_01404
OG0002885	h1SMcT0020452.1	T265_03301, T265_03258
OG0002889	h1SMcT0005077.1, h1SMcT0005077.2	T265_09957
OG0002902	h1SMcT0009500.1, h1SMcT0013191.1	T265_10089
OG0002903	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3	T265_01720, T265_16142, T265_15992
OG0002904	h1SMcT0012884.1, h1SMcT0012884.2	T265_00938, T265_12671, T265_16281
OG0002905	h1SMcT0004020.1	T265_13028, T265_02524
OG0002907	h1SMcT0014558.1	T265_00957
OG0002908	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4	T265_13687, T265_15239
OG0002910	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6	T265_13256
OG0002911	h1SMcT0017495.1, h1SMcT0017622.1	T265_13253
OG0002912	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1	T265_12025, T265_15674
OG0002913	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4	T265_08468, T265_12220
OG0002914	h1SMcT0014698.1, h1SMcT0016522.1	T265_10038
OG0002915	h1SMcT0007240.1, h1SMcT0007240.2	T265_13119
OG0002916	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4	T265_02505
OG0002917	h1SMcT0021979.1, h1SMcT0006977.1, h1SMcT0018520.1	T265_01608
OG0002917	h1SMcT0020733.1, h1SMcT0002931.1	T265_10733
OG0002918	h1SMcT0022319.1	T265_06975
OG0002921	h1SMcT0009277.1	T265_07949
OG0002922	h1SMcT0003698.1	T265_02668
OG0002925	h1SMcT0015505.1	T265_03081
OG0002928	h1SMcT0017861.1, h1SMcT0017861.2	T265_13841
OG0002929	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3	T265_00854
OG0002930	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2	T265_09338
OG0002931	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2	T265_10381
OG0002932	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3	T265_12802
OG0002934	h1SMcT0015709.1, h1SMcT0015709.2	T265_07078
OG0002936	h1SMcT0008577.1, h1SMcT0008577.2	T265_02894
OG0002938	h1SMcT0009268.1, h1SMcT0009268.2, h1SMcT0009268.3	T265_12858
OG0002938	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3	T265_04269, T265_04417, T265_04418
OG0002939	h1SMcT0009984.1	T265_03203
OG0002942	h1SMcT0009114.1	T265_02787
OG0002943	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5	T265_13089
OG0002944	h1SMcT0022414.1	T265_10544
OG0002945	h1SMcT0021889.1	T265_11225
OG0002947	h1SMcT0015902.1, h1SMcT0015902.2	T265_09749
OG0002948	h1SMcT0021089.1, h1SMcT0021089.2	T265_10715
OG0002949	h1SMcT0009486.1	T265_02799
OG0002950	h1SMcT0007052.1	T265_04871
OG0002951	h1SMcT0010433.1, h1SMcT0010433.2	T265_07586
OG0002953	h1SMcT0002670.1, h1SMcT0015965.1	T265_04423, T265_15987
OG0002954	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3	T265_06597, T265_15941
OG0002955	h1SMcT0017042.1	T265_14732
OG0002956	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2	T265_15076
OG0002958	h1SMcT0021861.1, h1SMcT0021861.2	T265_16166, T265_10751, T265_10762
OG0002959	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3	T265_13472
OG0002960	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1	T265_05712
OG0002961	h1SMcT0011634.1, h1SMcT0011634.2	T265_11252
OG0002962	h1SMcT0003796.1	T265_14105
OG0002964	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3	T265_08700
OG0002967	h1SMcT0003658.1	T265_09516, T265_09515, T265_14873
OG0002969	h1SMcT0004653.1, h1SMcT0003717.1	T265_06233
OG0002969	h1SMcT0017175.1	T265_07415
OG0002971	h1SMcT0017152.1	T265_09283
OG0002972	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4	T265_00627
OG0002973	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2	T265_07435
OG0002974	h1SMcT0008277.1	T265_15126
OG0002975	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2	T265_01518
OG0002976	h1SMcT0004422.1	T265_03160
OG0002977	h1SMcT0003763.1	T265_01592
OG0002978	h1SMcT0014459.1, h1SMcT0014461.1, h1SMcT0014464.1, h1SMcT0009665.1, h1SMcT0009668.1, h1SMcT0009668.2, h1SMcT0014465.1, h1SMcT0009667.1, h1SMcT0014458.1, h1SMcT0014448.1, h1SMcT0014451.1, h1SMcT0014453.1, h1SMcT0014454.1, h1SMcT0014454.2, h1SMcT0014454.3, h1SMcT0014455.1	T265_00903, T265_09105, T265_10423, T265_12662, T265_10155, T265_10156
OG0002979	h1SMcT0019481.1	T265_11670
OG0002981	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2	T265_14186
OG0002983	h1SMcT0017079.1	T265_02113, T265_15879
OG0002984	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2	T265_14382
OG0002985	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3	T265_15506
OG0002986	h1SMcT0009242.1, h1SMcT0009242.2	T265_10270, T265_10269
OG0002988	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3	T265_08760
OG0002989	h1SMcT0011055.1	T265_09294
OG0002991	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1	T265_00107
OG0002992	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4	T265_12542
OG0002993	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3	T265_15836, T265_09955, T265_10213, T265_07127
OG0002995	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3	T265_10496
OG0002996	h1SMcT0005458.1	T265_09556
OG0002997	h1SMcT0018267.1	T265_11005
OG0002998	h1SMcT0006805.1	T265_01464
OG0002999	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2	T265_10797
OG0003001	h1SMcT0021432.1	T265_06939
OG0003002	h1SMcT0017011.1	T265_06956
OG0003003	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2	T265_10787
