Orthogroup	schmidtea_mediterranea	schistosoma_haematobium
OG0001912	h1SMcT0010295.1	SHAE2_84420.1, SHAE2_84420.12, SHAE2_84420.9, SHAE2_84420.10, SHAE2_84420.11, SHAE2_84420.13, SHAE2_84420.14, SHAE2_84420.2, SHAE2_84420.3, SHAE2_84420.4, SHAE2_84420.8, SHAE2_84420.5, SHAE2_84420.6, SHAE2_84420.7
OG0001913	h1SMcT0017208.1	SHAE2_77760.1, SHAE2_77760.2, SHAE2_77760.3, SHAE2_77760.5, SHAE2_77760.4, SHAE2_77760.6
OG0001914	h1SMcT0011941.1, h1SMcT0011881.1, h1SMcT0011881.2, h1SMcT0011881.3, h1SMcT0011881.4	SHAE2_64830.1
OG0001915	h1SMcT0011169.1	SHAE2_87500.2, SHAE2_87500.4, SHAE2_87500.5, SHAE2_87500.6, SHAE2_87500.10, SHAE2_87500.9, SHAE2_87500.3, SHAE2_87500.7, SHAE2_87500.1, SHAE2_87500.8
OG0001916	h1SMcT0010024.1	SHAE2_23690.1, SHAE2_23690.2, SHAE2_23690.3
OG0001917	h1SMcT0001874.1, h1SMcT0001870.1, h1SMcT0001870.2	SHAE2_10070.1
OG0001918	h1SMcT0001785.5, h1SMcT0001785.1, h1SMcT0001785.3, h1SMcT0001785.4, h1SMcT0001785.2	SHAE2_48790.1, SHAE2_48790.2, SHAE2_48790.3
OG0001919	h1SMcT0006757.1	SHAE2_72000.1
OG0001920	h1SMcT0003731.1	SHAE2_10190.5, SHAE2_10190.1, SHAE2_10190.3, SHAE2_10190.2, SHAE2_10190.4
OG0001921	h1SMcT0011809.1, h1SMcT0011809.2, h1SMcT0011809.3, h1SMcT0022731.1	SHAE2_42600.1, SHAE2_42600.2, SHAE2_42600.3, SHAE2_42600.4
OG0001922	h1SMcT0004051.1	SHAE2_62360.1
OG0001924	h1SMcT0017174.1, h1SMcT0017174.2	SHAE2_57920.1, SHAE2_57920.2, SHAE2_57920.3, SHAE2_57920.4
OG0001925	h1SMcT0001466.3, h1SMcT0001466.2, h1SMcT0001466.1, h1SMcT0001464.1, h1SMcT0001464.2	SHAE2_24180.1
OG0001927	h1SMcT0022233.1	SHAE2_660.1
OG0001929	h1SMcT0015623.1, h1SMcT0007255.1, h1SMcT0007255.2, h1SMcT0007255.3	SHAE2_76890.1, SHAE2_76890.2, SHAE2_76890.3, SHAE2_76890.4, SHAE2_76890.5
OG0001932	h1SMcT0007506.1, h1SMcT0011130.1, h1SMcT0011130.2, h1SMcT0003858.3, h1SMcT0006060.1	SHAE2_69160.1
OG0001934	h1SMcT0008665.1	SHAE2_45390.1, SHAE2_45390.4, SHAE2_45390.2, SHAE2_45390.3
OG0001941	h1SMcT0007878.1, h1SMcT0007878.2, h1SMcT0007878.3	SHAE2_93670.1
OG0001942	h1SMcT0008062.1	SHAE2_30260.1, SHAE2_30260.3, SHAE2_30260.2
OG0001943	h1SMcT0010455.1, h1SMcT0010455.2	SHAE2_21200.2, SHAE2_21200.1, SHAE2_21200.3
OG0001944	h1SMcT0010813.2, h1SMcT0010813.1, h1SMcT0010813.4, h1SMcT0010813.5, h1SMcT0010813.6, h1SMcT0010813.3	SHAE2_72740.1, SHAE2_72740.2
OG0001945	h1SMcT0020652.1, h1SMcT0020652.5, h1SMcT0020652.2, h1SMcT0020652.3, h1SMcT0020652.4, h1SMcT0020652.6	SHAE2_101410.1
OG0001946	h1SMcT0021096.5, h1SMcT0021096.4, h1SMcT0021096.6, h1SMcT0021096.3, h1SMcT0021096.2, h1SMcT0021096.1	SHAE2_32490.1
OG0001947	h1SMcT0011014.1	SHAE2_45040.2, SHAE2_45040.3, SHAE2_45040.1, SHAE2_45040.4, SHAE2_45040.5
OG0001948	h1SMcT0008416.1, h1SMcT0008416.2	SHAE2_93570.1, SHAE2_93570.2
OG0001949	h1SMcT0010843.1, h1SMcT0010843.3, h1SMcT0010843.4, h1SMcT0010843.2	SHAE2_99450.4, SHAE2_99450.3, SHAE2_99450.1, SHAE2_99450.2
OG0001950	h1SMcT0018799.1	SHAE2_89420.1
OG0001951	h1SMcT0019278.1	SHAE2_6820.1, SHAE2_6820.2
OG0001952	h1SMcT0007722.1, h1SMcT0007722.2, h1SMcT0007722.3	SHAE2_49220.1
OG0001953	h1SMcT0012123.1	SHAE2_34600.5, SHAE2_34600.1, SHAE2_34600.2, SHAE2_34600.4, SHAE2_34600.3, SHAE2_34600.6
OG0001954	h1SMcT0021952.1, h1SMcT0013746.1, h1SMcT0021292.1	SHAE2_17320.3, SHAE2_17320.2, SHAE2_17320.1
OG0001955	h1SMcT0006475.1, h1SMcT0006475.2	SHAE2_5820.1, SHAE2_5820.2, SHAE2_5820.3, SHAE2_5820.4
OG0001956	h1SMcT0001404.1, h1SMcT0009669.4, h1SMcT0009669.2, h1SMcT0009669.3	SHAE2_80450.6, SHAE2_80450.4, SHAE2_80450.2, SHAE2_80450.1, SHAE2_80450.3, SHAE2_80450.5
OG0001957	h1SMcT0013668.1	SHAE2_17150.2, SHAE2_17150.1
OG0001958	h1SMcT0003488.1, h1SMcT0003488.4, h1SMcT0003488.5, h1SMcT0003488.2, h1SMcT0003488.3, h1SMcT0003488.6	SHAE2_67040.1, SHAE2_67040.2, SHAE2_67040.3, SHAE2_67040.4
OG0001959	h1SMcT0018025.1, h1SMcT0021282.1, h1SMcT0018024.1, h1SMcT0018024.2	SHAE2_32770.1, SHAE2_32770.2, SHAE2_32770.3
OG0001960	h1SMcT0003235.1, h1SMcT0009022.2, h1SMcT0009022.3, h1SMcT0009022.1, h1SMcT0009022.4	SHAE2_31430.1
OG0001961	h1SMcT0010420.1, h1SMcT0010420.2, h1SMcT0001264.2, h1SMcT0001264.1, h1SMcT0001264.3, h1SMcT0012558.1	SHAE2_72890.1
OG0001962	h1SMcT0008254.1, h1SMcT0008254.2, h1SMcT0019824.1, h1SMcT0019824.2	SHAE2_22590.1, SHAE2_22590.2
OG0001963	h1SMcT0011203.1, h1SMcT0011203.2	SHAE2_28280.2, SHAE2_28280.1, SHAE2_28280.3, SHAE2_28280.4
OG0001965	h1SMcT0022045.3, h1SMcT0022045.1, h1SMcT0022045.2	SHAE2_89450.1
OG0001966	h1SMcT0001175.4, h1SMcT0001175.5, h1SMcT0001175.6, h1SMcT0001175.2, h1SMcT0001175.1, h1SMcT0001175.3, h1SMcT0001089.1, h1SMcT0013315.1, h1SMcT0011742.1, h1SMcT0019933.1	SHAE2_7800.1
OG0001967	h1SMcT0010002.1, h1SMcT0010002.2, h1SMcT0010002.3	SHAE2_101100.2, SHAE2_101100.5, SHAE2_101100.3, SHAE2_101100.4, SHAE2_101100.1
OG0001968	h1SMcT0015577.1, h1SMcT0015577.2, h1SMcT0015577.3	SHAE2_33760.1, SHAE2_33760.2
OG0001969	h1SMcT0011536.1	SHAE2_31680.7, SHAE2_31680.5, SHAE2_31680.4, SHAE2_31680.6, SHAE2_31680.1, SHAE2_31680.2, SHAE2_31680.3, SHAE2_31990.1
OG0001970	h1SMcT0021155.1	SHAE2_40370.1
OG0001972	h1SMcT0007262.1, h1SMcT0002549.1, h1SMcT0002406.1, h1SMcT0000771.1, h1SMcT0011669.2, h1SMcT0011669.4, h1SMcT0011669.3, h1SMcT0011669.5, h1SMcT0011669.1	SHAE2_70620.1
OG0001974	h1SMcT0005107.1, h1SMcT0005109.3	SHAE2_50510.3, SHAE2_50510.1, SHAE2_50510.2
OG0001975	h1SMcT0012165.1, h1SMcT0012165.2	SHAE2_53150.1
OG0001976	h1SMcT0007621.1, h1SMcT0007621.2	SHAE2_4570.5, SHAE2_4570.1, SHAE2_4570.3, SHAE2_4570.4, SHAE2_4570.2
OG0001977	h1SMcT0022179.1, h1SMcT0022179.2	SHAE2_96650.1
OG0001978	h1SMcT0009221.2, h1SMcT0009221.1, h1SMcT0009222.1	SHAE2_83760.1, SHAE2_83760.3, SHAE2_83760.4, SHAE2_83760.2, SHAE2_83760.5, SHAE2_83760.6
OG0001979	h1SMcT0017547.1, h1SMcT0017548.3, h1SMcT0017548.1, h1SMcT0017548.2	SHAE2_54500.3, SHAE2_54500.1, SHAE2_54500.6, SHAE2_54500.7, SHAE2_54500.5, SHAE2_54500.2, SHAE2_54500.4
OG0001980	h1SMcT0007933.1, h1SMcT0000803.1, h1SMcT0000803.3, h1SMcT0000803.2, h1SMcT0000803.4	SHAE2_66210.1
OG0001981	h1SMcT0015901.1	SHAE2_45030.4, SHAE2_45030.3, SHAE2_45030.2, SHAE2_45030.1
OG0001982	h1SMcT0008361.1	SHAE2_37530.1
OG0001983	h1SMcT0003213.1	SHAE2_89460.1, SHAE2_89460.2, SHAE2_89460.3
OG0001984	h1SMcT0021069.1	SHAE2_93950.1, SHAE2_93950.3, SHAE2_93950.4, SHAE2_93950.2
OG0001985	h1SMcT0015012.1, h1SMcT0015012.2, h1SMcT0015012.3	SHAE2_41770.1
OG0001986	h1SMcT0000675.1	SHAE2_56220.1, SHAE2_56220.4, SHAE2_56220.2, SHAE2_56220.3, SHAE2_56220.5
OG0001987	h1SMcT0004630.1	SHAE2_41720.1, SHAE2_41720.4, SHAE2_41720.2, SHAE2_41720.3
OG0001988	h1SMcT0001900.3, h1SMcT0001900.1, h1SMcT0001900.2	SHAE2_63340.1, SHAE2_63340.3, SHAE2_63340.2
OG0001989	h1SMcT0008359.1, h1SMcT0008359.2, h1SMcT0008359.3	SHAE2_12360.2, SHAE2_12360.1, SHAE2_12360.3, SHAE2_12360.4
OG0001990	h1SMcT0014617.1, h1SMcT0014617.2	SHAE2_52880.1, SHAE2_52880.2
OG0001991	h1SMcT0022486.2, h1SMcT0022486.1, h1SMcT0022486.3	SHAE2_17120.1, SHAE2_17120.2
OG0001992	h1SMcT0022089.1, h1SMcT0022090.1, h1SMcT0022090.3, h1SMcT0022090.2	SHAE2_51040.1
OG0001993	h1SMcT0010807.2, h1SMcT0010807.3, h1SMcT0010807.1, h1SMcT0010807.4	SHAE2_79630.1, SHAE2_79630.2
OG0001995	h1SMcT0012615.1, h1SMcT0012615.2	SHAE2_99420.1, SHAE2_99420.2, SHAE2_99420.3, SHAE2_99420.4
OG0001996	h1SMcT0020817.1	SHAE2_103360.1
OG0001996	h1SMcT0013111.1, h1SMcT0013111.2, h1SMcT0013111.3	SHAE2_103350.1
OG0001997	h1SMcT0005512.1, h1SMcT0005512.2, h1SMcT0005512.3, h1SMcT0005512.4, h1SMcT0005512.5	SHAE2_10620.2, SHAE2_10620.1, SHAE2_10620.3, SHAE2_10620.4, SHAE2_10620.5
OG0001998	h1SMcT0022133.1, h1SMcT0022133.2	SHAE2_96820.1
OG0001999	h1SMcT0023046.1, h1SMcT0007717.1, h1SMcT0007717.2	SHAE2_53010.1
OG0002000	h1SMcT0005493.1, h1SMcT0005493.2	SHAE2_10960.1
OG0002001	h1SMcT0021452.2, h1SMcT0022877.1, h1SMcT0021452.1	SHAE2_15680.3, SHAE2_15680.1, SHAE2_15680.2
OG0002002	h1SMcT0021171.1	SHAE2_38760.1, SHAE2_38760.5, SHAE2_38760.4, SHAE2_38760.2, SHAE2_38760.3
OG0002003	h1SMcT0018768.1, h1SMcT0018768.3, h1SMcT0018768.4, h1SMcT0018768.2	SHAE2_52970.3, SHAE2_52970.4, SHAE2_52970.1, SHAE2_52970.2
OG0002004	h1SMcT0002030.1	SHAE2_5090.2, SHAE2_5090.1
OG0002006	h1SMcT0022216.1	SHAE2_79490.1, SHAE2_79490.2
OG0002007	h1SMcT0017307.3, h1SMcT0014328.1, h1SMcT0014327.3, h1SMcT0014327.1, h1SMcT0014327.2	SHAE2_73570.1, SHAE2_73560.1
OG0002009	h1SMcT0015851.1	SHAE2_36640.1, SHAE2_36640.3, SHAE2_36640.2
OG0002011	h1SMcT0021884.9, h1SMcT0021884.1, h1SMcT0021884.3, h1SMcT0021884.5, h1SMcT0021884.6, h1SMcT0021884.8, h1SMcT0021884.2, h1SMcT0021884.7, h1SMcT0021884.4	SHAE2_80210.1, SHAE2_80210.2
OG0002012	h1SMcT0010185.1	SHAE2_11210.1, SHAE2_11120.1
OG0002013	h1SMcT0015358.1, h1SMcT0015358.2	SHAE2_54490.3, SHAE2_54490.2, SHAE2_54490.1
OG0002014	h1SMcT0018333.1	SHAE2_68270.1
OG0002015	h1SMcT0007283.1, h1SMcT0000174.1, h1SMcT0000174.2, h1SMcT0000174.3	SHAE2_92470.1, SHAE2_92470.2
OG0002017	h1SMcT0007338.1, h1SMcT0007338.2, h1SMcT0007338.3, h1SMcT0007342.1, h1SMcT0007342.2	SHAE2_69590.1
OG0002018	h1SMcT0007184.1, h1SMcT0007185.1	SHAE2_75620.1, SHAE2_75610.1
OG0002020	h1SMcT0019141.2, h1SMcT0019141.5, h1SMcT0019141.7, h1SMcT0019141.3, h1SMcT0019141.6, h1SMcT0019141.1, h1SMcT0019141.4, h1SMcT0019141.8	SHAE2_70020.5, SHAE2_70020.3, SHAE2_70020.4, SHAE2_70020.1, SHAE2_70020.2, SHAE2_70020.6, SHAE2_70020.8, SHAE2_70020.7
OG0002021	h1SMcT0000442.1, h1SMcT0000442.2	SHAE2_76300.1
OG0002023	h1SMcT0020049.1, h1SMcT0020049.2	SHAE2_71880.1
OG0002024	h1SMcT0011005.1	SHAE2_26530.2, SHAE2_26530.3, SHAE2_26530.1, SHAE2_26530.4
OG0002025	h1SMcT0011900.1, h1SMcT0014955.1	SHAE2_66770.1, SHAE2_66770.2, SHAE2_66770.3, SHAE2_66770.5, SHAE2_66770.4
OG0002026	h1SMcT0010559.1	SHAE2_5400.1
OG0002027	h1SMcT0006516.1, h1SMcT0006516.2, h1SMcT0006516.3	SHAE2_90970.1, SHAE2_90970.2
OG0002028	h1SMcT0000689.1, h1SMcT0000689.2	SHAE2_55950.1, SHAE2_55950.2, SHAE2_55950.3
OG0002029	h1SMcT0020434.1	SHAE2_34950.6, SHAE2_34950.4, SHAE2_34950.3, SHAE2_34950.7, SHAE2_34950.8, SHAE2_34950.2, SHAE2_34950.9, SHAE2_34950.5, SHAE2_34950.1
OG0002030	h1SMcT0018723.1	SHAE2_66290.5, SHAE2_66290.4, SHAE2_66290.2, SHAE2_66290.3, SHAE2_66290.1
OG0002032	h1SMcT0003381.1	SHAE2_98890.1
OG0002033	h1SMcT0002950.4, h1SMcT0002950.1, h1SMcT0002950.3, h1SMcT0002950.2	SHAE2_64250.2, SHAE2_64250.1
OG0002035	h1SMcT0005775.1	SHAE2_15800.1, SHAE2_15790.1
OG0002036	h1SMcT0010926.3, h1SMcT0010926.2, h1SMcT0010926.5, h1SMcT0010926.1, h1SMcT0010926.4	SHAE2_92600.1
OG0002037	h1SMcT0017037.1, h1SMcT0017038.1	SHAE2_57680.1
OG0002038	h1SMcT0021727.4, h1SMcT0021727.2, h1SMcT0021727.3	SHAE2_46630.2, SHAE2_46630.5, SHAE2_46630.3, SHAE2_46630.4, SHAE2_46630.1
OG0002039	h1SMcT0006687.1	SHAE2_53090.2, SHAE2_53090.1, SHAE2_53090.3, SHAE2_53090.4
OG0002040	h1SMcT0002776.6, h1SMcT0002776.7, h1SMcT0002776.2, h1SMcT0002776.3, h1SMcT0002776.4, h1SMcT0002776.5, h1SMcT0002776.1, h1SMcT0001507.2, h1SMcT0001507.1, h1SMcT0001507.3	SHAE2_3010.1
OG0002041	h1SMcT0015225.1, h1SMcT0015225.3, h1SMcT0015225.6, h1SMcT0015225.5, h1SMcT0015225.2, h1SMcT0015225.4, h1SMcT0015225.7, h1SMcT0015225.8, h1SMcT0011960.3, h1SMcT0011960.1, h1SMcT0011960.2, h1SMcT0009854.3, h1SMcT0009854.1, h1SMcT0009854.2	SHAE2_79110.1, SHAE2_79110.2
OG0002042	h1SMcT0001304.1	SHAE2_15660.4, SHAE2_15660.3, SHAE2_15660.2, SHAE2_15660.1
OG0002043	h1SMcT0005432.1	SHAE2_67260.1
OG0002044	h1SMcT0015827.1	SHAE2_8040.1
OG0002045	h1SMcT0000763.1, h1SMcT0021422.1	SHAE2_90730.1
OG0002046	h1SMcT0005074.1, h1SMcT0017666.1	SHAE2_79390.5, SHAE2_79390.1, SHAE2_79390.2, SHAE2_79390.3, SHAE2_79390.4
OG0002047	h1SMcT0018942.1	SHAE2_90510.1, SHAE2_90510.3, SHAE2_90510.2
OG0002048	h1SMcT0001025.1, h1SMcT0019919.1	SHAE2_18400.1, SHAE2_18400.2
OG0002049	h1SMcT0013881.1, h1SMcT0013881.2	SHAE2_96100.1, SHAE2_96100.2
OG0002050	h1SMcT0009234.1	SHAE2_57160.2, SHAE2_57160.3, SHAE2_57160.1
OG0002051	h1SMcT0013228.1	SHAE2_32640.1, SHAE2_32640.2
OG0002052	h1SMcT0016531.1	SHAE2_46130.1
OG0002053	h1SMcT0006987.1	SHAE2_81670.1, SHAE2_81670.5, SHAE2_81670.9, SHAE2_81670.8, SHAE2_81670.2, SHAE2_81670.4, SHAE2_81670.3, SHAE2_81670.7, SHAE2_81670.6
OG0002054	h1SMcT0011687.1, h1SMcT0011760.1	SHAE2_75180.1, SHAE2_75180.2
OG0002055	h1SMcT0001856.1	SHAE2_61990.1, SHAE2_61990.2, SHAE2_61990.3
OG0002056	h1SMcT0021801.1	SHAE2_95120.1, SHAE2_95130.1
OG0002057	h1SMcT0012583.1	SHAE2_53220.2, SHAE2_53220.1, SHAE2_53220.3
OG0002058	h1SMcT0021557.1, h1SMcT0018219.1, h1SMcT0000702.1, h1SMcT0000702.2	SHAE2_9990.1
OG0002059	h1SMcT0001337.1, h1SMcT0001337.2, h1SMcT0001337.5, h1SMcT0001337.3, h1SMcT0001337.4	SHAE2_47270.2, SHAE2_47270.1, SHAE2_47270.5, SHAE2_47270.3, SHAE2_47270.4
OG0002060	h1SMcT0008239.1	SHAE2_7910.1, SHAE2_7910.2, SHAE2_7910.3, SHAE2_7910.4
OG0002061	h1SMcT0001101.1	SHAE2_5230.2, SHAE2_5230.3, SHAE2_5230.5, SHAE2_5230.1, SHAE2_5230.4
OG0002064	h1SMcT0005644.1	SHAE2_11880.1, SHAE2_11880.2
OG0002066	h1SMcT0006944.1, h1SMcT0011680.1, h1SMcT0018740.1	SHAE2_79990.1, SHAE2_80080.1
OG0002073	h1SMcT0000231.1, h1SMcT0000231.2, h1SMcT0000231.3, h1SMcT0000231.4, h1SMcT0014508.1, h1SMcT0020918.2, h1SMcT0020918.3, h1SMcT0020918.1	SHAE2_100310.1
OG0002075	h1SMcT0013153.1, h1SMcT0013153.2	SHAE2_12420.1
OG0002076	h1SMcT0004007.1, h1SMcT0009726.1, h1SMcT0009726.2, h1SMcT0013397.1, h1SMcT0014280.1, h1SMcT0013133.1, h1SMcT0013134.1	SHAE2_44660.1
OG0002077	h1SMcT0004821.1, h1SMcT0004821.2, h1SMcT0004908.6, h1SMcT0004908.4, h1SMcT0004908.5, h1SMcT0004908.2, h1SMcT0004908.1, h1SMcT0004908.3	SHAE2_15500.1, SHAE2_15480.1, SHAE2_15480.2
OG0002078	h1SMcT0019763.1, h1SMcT0019763.2, h1SMcT0019763.4, h1SMcT0019763.3, h1SMcT0016245.1, h1SMcT0016245.2, h1SMcT0011973.1, h1SMcT0011973.2, h1SMcT0011973.3	SHAE2_40570.1
OG0002079	h1SMcT0022425.3, h1SMcT0022425.1, h1SMcT0022425.2, h1SMcT0022424.4, h1SMcT0022424.1, h1SMcT0022424.2, h1SMcT0022424.7, h1SMcT0022424.6, h1SMcT0022424.5, h1SMcT0022424.3, h1SMcT0022424.8	SHAE2_40770.1
OG0002080	h1SMcT0007090.3, h1SMcT0007090.2, h1SMcT0007090.5, h1SMcT0007090.1, h1SMcT0007090.4	SHAE2_54470.1, SHAE2_54470.2, SHAE2_54470.3
OG0002081	h1SMcT0012726.3	SHAE2_86970.1
OG0002083	h1SMcT0012319.1, h1SMcT0012319.2	SHAE2_47460.1, SHAE2_47460.2, SHAE2_47460.3, SHAE2_47460.4, SHAE2_47460.5, SHAE2_47460.6
OG0002084	h1SMcT0015883.1	SHAE2_20070.1
OG0002085	h1SMcT0016113.1	SHAE2_65210.1
OG0002086	h1SMcT0016811.1, h1SMcT0016811.2, h1SMcT0016811.3	SHAE2_44280.2, SHAE2_44280.1, SHAE2_44280.3
OG0002087	h1SMcT0019853.1, h1SMcT0019853.2	SHAE2_36350.1
OG0002088	h1SMcT0006136.3, h1SMcT0006136.2, h1SMcT0006136.1	SHAE2_29960.1, SHAE2_29960.4, SHAE2_29960.2, SHAE2_29960.3
OG0002089	h1SMcT0015614.1	SHAE2_48970.1, SHAE2_48970.2, SHAE2_48970.3
OG0002090	h1SMcT0004062.1, h1SMcT0001169.1, h1SMcT0001169.2	SHAE2_57670.2, SHAE2_57670.1
OG0002091	h1SMcT0000706.1	SHAE2_56080.4, SHAE2_56080.3, SHAE2_56080.5, SHAE2_56080.1, SHAE2_56080.2
OG0002093	h1SMcT0016741.6, h1SMcT0016741.4, h1SMcT0016741.7, h1SMcT0016741.1, h1SMcT0016741.3	SHAE2_27830.7, SHAE2_27830.5, SHAE2_27830.9, SHAE2_27830.6, SHAE2_27830.4, SHAE2_27830.1, SHAE2_27830.2, SHAE2_27830.3
OG0002094	h1SMcT0014214.1, h1SMcT0000979.1	SHAE2_5550.2, SHAE2_5550.3, SHAE2_5550.1
OG0002096	h1SMcT0013481.1	SHAE2_31030.3, SHAE2_31030.6, SHAE2_31030.4, SHAE2_31030.5, SHAE2_31030.1, SHAE2_31030.2
OG0002097	h1SMcT0004707.1, h1SMcT0011843.1	SHAE2_5920.1, SHAE2_5920.2
OG0002098	h1SMcT0012070.3, h1SMcT0012070.1, h1SMcT0012070.2, h1SMcT0012070.4	SHAE2_68840.1
OG0002099	h1SMcT0009059.1	SHAE2_41870.1
OG0002100	h1SMcT0019929.1	SHAE2_30570.1, SHAE2_30570.2
OG0002101	h1SMcT0022389.1, h1SMcT0022389.2	SHAE2_94560.2, SHAE2_94560.6, SHAE2_94560.5, SHAE2_94560.1, SHAE2_94560.4, SHAE2_94560.3
OG0002102	h1SMcT0000727.1, h1SMcT0020732.1	SHAE2_26700.1, SHAE2_27530.1
OG0002104	h1SMcT0013703.1, h1SMcT0013703.2	SHAE2_33200.2, SHAE2_33200.1, SHAE2_33200.3
OG0002105	h1SMcT0016084.1	SHAE2_28090.1, SHAE2_28090.4, SHAE2_28090.3, SHAE2_28090.2
OG0002106	h1SMcT0020742.1, h1SMcT0020742.2	SHAE2_93210.1, SHAE2_93210.2, SHAE2_93210.3, SHAE2_93210.4, SHAE2_93210.5, SHAE2_93210.6, SHAE2_93210.7, SHAE2_93210.8, SHAE2_93210.9
OG0002107	h1SMcT0006362.1, h1SMcT0014446.1	SHAE2_63980.1, SHAE2_63980.5, SHAE2_63980.2, SHAE2_63980.4, SHAE2_63980.6, SHAE2_63980.3
OG0002108	h1SMcT0021795.1	SHAE2_96110.1
OG0002108	h1SMcT0019556.1, h1SMcT0017243.1	SHAE2_85260.1, SHAE2_85260.2
OG0002111	h1SMcT0014179.1, h1SMcT0014179.2, h1SMcT0014179.3	SHAE2_45300.1, SHAE2_45300.2
OG0002112	h1SMcT0004987.1	SHAE2_62620.2, SHAE2_62620.1
OG0002113	h1SMcT0000361.3, h1SMcT0000361.4, h1SMcT0000361.1, h1SMcT0000361.2, h1SMcT0021128.1, h1SMcT0021128.2, h1SMcT0021128.3	SHAE2_95880.1
OG0002114	h1SMcT0002975.2, h1SMcT0002975.1, h1SMcT0002975.3	SHAE2_103270.1
OG0002115	h1SMcT0009892.1	SHAE2_58150.1
OG0002116	h1SMcT0022638.2	SHAE2_34840.1
OG0002117	h1SMcT0014620.1, h1SMcT0014620.2	SHAE2_5130.1, SHAE2_5130.2, SHAE2_5130.3
OG0002118	h1SMcT0007422.1, h1SMcT0007422.3, h1SMcT0007422.2	SHAE2_49070.1
OG0002118	h1SMcT0005103.4, h1SMcT0005103.1, h1SMcT0005103.3, h1SMcT0005103.2	SHAE2_49080.1
OG0002119	h1SMcT0021112.1	SHAE2_89580.1
OG0002120	h1SMcT0013827.1	SHAE2_6890.1, SHAE2_6890.3, SHAE2_6890.5, SHAE2_6890.2, SHAE2_6890.4
OG0002121	h1SMcT0012938.1, h1SMcT0012938.2	SHAE2_6900.1
OG0002122	h1SMcT0002868.1	SHAE2_33680.2, SHAE2_33680.3, SHAE2_33680.4, SHAE2_33680.5, SHAE2_33680.1
OG0002123	h1SMcT0004478.1	SHAE2_31600.2, SHAE2_31600.1
OG0002124	h1SMcT0015364.1, h1SMcT0022701.1	SHAE2_22350.7, SHAE2_22350.6, SHAE2_22350.4, SHAE2_22350.3, SHAE2_22350.1, SHAE2_22350.5, SHAE2_22350.2
OG0002125	h1SMcT0008391.1	SHAE2_101530.1, SHAE2_101530.2
OG0002126	h1SMcT0016141.1	SHAE2_3650.2, SHAE2_3650.3, SHAE2_3650.1
OG0002129	h1SMcT0022289.1, h1SMcT0022289.2, h1SMcT0002161.2, h1SMcT0002161.1, h1SMcT0002161.3	SHAE2_55210.1, SHAE2_55220.1
OG0002130	h1SMcT0020201.1, h1SMcT0012523.5, h1SMcT0012523.4, h1SMcT0012523.7, h1SMcT0012523.8, h1SMcT0012523.9, h1SMcT0012523.10, h1SMcT0012523.3, h1SMcT0012523.1, h1SMcT0012523.6, h1SMcT0012523.2	SHAE2_26850.1
OG0002132	h1SMcT0005674.1	SHAE2_58370.1, SHAE2_58370.2
OG0002133	h1SMcT0000690.1	SHAE2_50660.5, SHAE2_50660.1, SHAE2_50660.2, SHAE2_50660.3, SHAE2_50660.4
OG0002134	h1SMcT0010519.2, h1SMcT0010519.3, h1SMcT0010519.4, h1SMcT0010519.1	SHAE2_39880.2, SHAE2_39880.3, SHAE2_39880.1
OG0002135	h1SMcT0013438.1	SHAE2_28340.1, SHAE2_28340.2
OG0002136	h1SMcT0005809.2, h1SMcT0005809.1, h1SMcT0005809.3	SHAE2_98330.1, SHAE2_98330.2
OG0002137	h1SMcT0006762.1	SHAE2_83060.1
OG0002138	h1SMcT0018391.1	SHAE2_33380.2, SHAE2_33380.1, SHAE2_33370.1
OG0002140	h1SMcT0010961.1	SHAE2_7850.2, SHAE2_7850.4, SHAE2_7850.1, SHAE2_7850.3
OG0002141	h1SMcT0006373.1, h1SMcT0006373.2	SHAE2_62740.1
OG0002142	h1SMcT0012989.1, h1SMcT0012989.2, h1SMcT0012988.1, h1SMcT0012988.3, h1SMcT0012988.2	SHAE2_91260.4, SHAE2_91260.1, SHAE2_91260.2, SHAE2_91260.3
OG0002143	h1SMcT0006734.1	SHAE2_49200.1, SHAE2_49150.1
OG0002144	h1SMcT0021536.1, h1SMcT0021536.2	SHAE2_28630.1
OG0002145	h1SMcT0006197.6	SHAE2_32750.1, SHAE2_32750.2
OG0002146	h1SMcT0016225.4, h1SMcT0016225.5, h1SMcT0016225.2, h1SMcT0016225.1, h1SMcT0016225.3	SHAE2_18640.1, SHAE2_18640.2, SHAE2_18640.3
OG0002147	h1SMcT0012040.1, h1SMcT0012040.2	SHAE2_53070.2, SHAE2_53070.3, SHAE2_53070.1, SHAE2_53070.4
OG0002148	h1SMcT0013515.1, h1SMcT0013515.2, h1SMcT0013515.3	SHAE2_6670.1, SHAE2_6670.2, SHAE2_6670.3
OG0002149	h1SMcT0021366.1, h1SMcT0005530.1, h1SMcT0005530.2	SHAE2_56900.1
OG0002150	h1SMcT0008849.1, h1SMcT0008849.2, h1SMcT0008849.3	SHAE2_72520.1
OG0002151	h1SMcT0010869.1, h1SMcT0010172.1, h1SMcT0010173.1, h1SMcT0010174.1	SHAE2_52910.1, SHAE2_52920.1, SHAE2_86310.1
OG0002153	h1SMcT0003526.1	SHAE2_7700.3, SHAE2_7700.2, SHAE2_7700.4, SHAE2_7700.5, SHAE2_7700.1
