Orthogroup	schmidtea_mediterranea	fasciola_hepatica
OG0002683	h1SMcT0006071.1	FhHiC23_g9578.t1
OG0002685	h1SMcT0000568.1	FhHiC23_g11129.t1
OG0002686	h1SMcT0007823.1	FhHiC23_g718.t2, FhHiC23_g718.t1
OG0002687	h1SMcT0014747.2, h1SMcT0014747.3, h1SMcT0014747.1, h1SMcT0014747.4	FhHiC23_g5159.t1, FhHiC23_g5159.t2
OG0002688	h1SMcT0018029.4, h1SMcT0018029.5, h1SMcT0018029.7, h1SMcT0018029.6, h1SMcT0018029.1, h1SMcT0018029.2, h1SMcT0018029.3	FhHiC23_g4617.t1
OG0002689	h1SMcT0020029.1, h1SMcT0011360.1, h1SMcT0011373.1, h1SMcT0011373.2	FhHiC23_g5241.t1
OG0002690	h1SMcT0010698.1, h1SMcT0018654.1, h1SMcT0006959.3, h1SMcT0006959.1, h1SMcT0006959.2	FhHiC23_g13956.t1
OG0002691	h1SMcT0022592.1	FhHiC23_g3513.t1
OG0002692	h1SMcT0020628.1, h1SMcT0020628.2	FhHiC23_g10644.t1
OG0002693	h1SMcT0013748.1	FhHiC23_g315.t3, FhHiC23_g315.t1, FhHiC23_g315.t2
OG0002695	h1SMcT0008125.2, h1SMcT0008125.4, h1SMcT0008125.3, h1SMcT0008125.1	FhHiC23_g13818.t1, FhHiC23_g13819.t1
OG0002697	h1SMcT0016469.1, h1SMcT0016469.2	FhHiC23_g11524.t1
OG0002698	h1SMcT0018533.1, h1SMcT0018533.2, h1SMcT0018533.3	FhHiC23_g12386.t1
OG0002700	h1SMcT0012327.1, h1SMcT0012327.2	FhHiC23_g9012.t2, FhHiC23_g9012.t4, FhHiC23_g9012.t1, FhHiC23_g9012.t3
OG0002708	h1SMcT0010585.2	FhHiC23_g11736.t1
OG0002709	h1SMcT0014206.1, h1SMcT0014207.1	FhHiC23_g13598.t1
OG0002711	h1SMcT0022126.1	FhHiC23_g16295.t1
OG0002712	h1SMcT0001865.1, h1SMcT0016475.3, h1SMcT0016474.4, h1SMcT0016475.2	FhHiC23_g11761.t1
OG0002713	h1SMcT0012298.4, h1SMcT0012298.3, h1SMcT0012298.1, h1SMcT0012298.2	FhHiC23_g1161.t1
OG0002715	h1SMcT0018555.1	FhHiC23_g7836.t1
OG0002717	h1SMcT0001489.1, h1SMcT0001487.1, h1SMcT0001487.3, h1SMcT0001487.2	FhHiC23_g16701.t1
OG0002718	h1SMcT0016815.3, h1SMcT0016815.5, h1SMcT0016815.4, h1SMcT0016815.1, h1SMcT0016815.2	FhHiC23_g7558.t1, FhHiC23_g7558.t2
OG0002719	h1SMcT0007142.1, h1SMcT0003244.1, h1SMcT0017998.1	FhHiC23_g8644.t1
OG0002719	h1SMcT0003025.1, h1SMcT0010149.1, h1SMcT0019874.1	FhHiC23_g12882.t1
OG0002720	h1SMcT0002372.1	FhHiC23_g12405.t1, FhHiC23_g12405.t2, FhHiC23_g12407.t1
OG0002721	h1SMcT0022586.1, h1SMcT0022586.2	FhHiC23_g9960.t1
OG0002723	h1SMcT0018284.1, h1SMcT0001098.1, h1SMcT0020557.1, h1SMcT0020557.2	FhHiC23_g3835.t2, FhHiC23_g3835.t1, FhHiC23_g9399.t1, FhHiC23_g4025.t1
OG0002724	h1SMcT0014129.1	FhHiC23_g3709.t1, FhHiC23_g3709.t2
OG0002725	h1SMcT0006290.1, h1SMcT0006290.2	FhHiC23_g12720.t1
OG0002726	h1SMcT0013409.1	FhHiC23_g5549.t1
OG0002727	h1SMcT0017844.2, h1SMcT0017844.3, h1SMcT0017844.5, h1SMcT0017844.7, h1SMcT0017844.1, h1SMcT0017844.6, h1SMcT0017844.4	FhHiC23_g2848.t1
OG0002730	h1SMcT0018069.1, h1SMcT0018069.2, h1SMcT0018069.3	FhHiC23_g3873.t1
OG0002731	h1SMcT0021544.1, h1SMcT0022908.1	FhHiC23_g236.t1
OG0002732	h1SMcT0012543.1, h1SMcT0012543.4, h1SMcT0012543.2, h1SMcT0012543.3, h1SMcT0012543.5	FhHiC23_g6745.t1, FhHiC23_g6745.t2
OG0002734	h1SMcT0000891.1, h1SMcT0008266.2, h1SMcT0008266.4, h1SMcT0008266.3, h1SMcT0008266.1	FhHiC23_g14321.t1
OG0002735	h1SMcT0010016.1, h1SMcT0010016.2, h1SMcT0010016.3	FhHiC23_g4997.t1, FhHiC23_g4997.t2
OG0002736	h1SMcT0013012.1	FhHiC23_g9751.t1, FhHiC23_g9751.t2
OG0002739	h1SMcT0019941.1	FhHiC23_g11062.t1
OG0002740	h1SMcT0018883.1	FhHiC23_g5290.t1
OG0002741	h1SMcT0021447.1, h1SMcT0021447.2, h1SMcT0004667.2, h1SMcT0004667.1, h1SMcT0004667.3	FhHiC23_g11913.t1
OG0002742	h1SMcT0014277.1	FhHiC23_g861.t1
OG0002743	h1SMcT0007441.1, h1SMcT0021805.1, h1SMcT0021805.2, h1SMcT0021805.3, h1SMcT0008290.1, h1SMcT0006348.1, h1SMcT0005956.1, h1SMcT0005956.2	FhHiC23_g13954.t1
OG0002744	h1SMcT0014974.1, h1SMcT0014974.3, h1SMcT0014974.4, h1SMcT0014974.6, h1SMcT0014974.2, h1SMcT0014974.5	FhHiC23_g8099.t1, FhHiC23_g8099.t2
OG0002745	h1SMcT0021005.1, h1SMcT0021005.2	FhHiC23_g16099.t1
OG0002747	h1SMcT0022327.1	FhHiC23_g6601.t1
OG0002748	h1SMcT0016516.2, h1SMcT0016516.6, h1SMcT0016516.4, h1SMcT0016516.1, h1SMcT0016516.5, h1SMcT0016516.3, h1SMcT0003223.1, h1SMcT0003223.2	FhHiC23_g6050.t2, FhHiC23_g6050.t1
OG0002749	h1SMcT0018110.1, h1SMcT0018110.4, h1SMcT0018110.2, h1SMcT0018110.3	FhHiC23_g2126.t1
OG0002750	h1SMcT0022983.2, h1SMcT0022983.3, h1SMcT0022983.5, h1SMcT0001790.1, h1SMcT0001790.3, h1SMcT0022983.4, h1SMcT0001790.4, h1SMcT0001790.2, h1SMcT0022983.6, h1SMcT0022983.1	FhHiC23_g1806.t1, FhHiC23_g1806.t2
OG0002752	h1SMcT0015526.2, h1SMcT0015526.1, h1SMcT0015526.3	FhHiC23_g173.t1, FhHiC23_g173.t3, FhHiC23_g173.t2
OG0002753	h1SMcT0003328.1, h1SMcT0003328.2, h1SMcT0003328.3	FhHiC23_g2296.t1, FhHiC23_g3684.t1, FhHiC23_g3684.t2, FhHiC23_g3684.t3
OG0002754	h1SMcT0000748.1, h1SMcT0023038.1	FhHiC23_g15264.t1
OG0002755	h1SMcT0006094.1, h1SMcT0006100.1	FhHiC23_g13372.t1
OG0002756	h1SMcT0003135.1, h1SMcT0003135.2, h1SMcT0023066.1, h1SMcT0000588.6, h1SMcT0000588.2, h1SMcT0000588.4, h1SMcT0000588.5	FhHiC23_g8329.t1, FhHiC23_g8329.t2
OG0002758	h1SMcT0008309.1	FhHiC23_g12531.t1
OG0002759	h1SMcT0019699.1, h1SMcT0019699.2	FhHiC23_g10171.t1, FhHiC23_g10171.t2
OG0002761	h1SMcT0005922.1	FhHiC23_g12869.t1
OG0002762	h1SMcT0017886.1	FhHiC23_g14415.t1, FhHiC23_g9848.t1, FhHiC23_g14416.t1, FhHiC23_g9848.t2
OG0002763	h1SMcT0014019.1, h1SMcT0014019.2, h1SMcT0014019.3	FhHiC23_g2810.t1
OG0002765	h1SMcT0007684.1, h1SMcT0007684.2	FhHiC23_g6961.t1
OG0002766	h1SMcT0020057.1	FhHiC23_g3373.t2, FhHiC23_g3373.t1
OG0002767	h1SMcT0003718.1, h1SMcT0003718.7, h1SMcT0003718.4, h1SMcT0003718.3, h1SMcT0003718.6, h1SMcT0003718.2, h1SMcT0003718.5	FhHiC23_g1568.t1
OG0002768	h1SMcT0009763.1, h1SMcT0009763.2, h1SMcT0009763.3	FhHiC23_g12945.t1, FhHiC23_g12947.t1
OG0002770	h1SMcT0014243.1, h1SMcT0014243.2	FhHiC23_g10899.t1
OG0002773	h1SMcT0012073.1, h1SMcT0012073.2, h1SMcT0016018.1, h1SMcT0016018.4, h1SMcT0016018.2, h1SMcT0016018.3	FhHiC23_g12535.t1, FhHiC23_g96.t1
OG0002774	h1SMcT0018682.1	FhHiC23_g12296.t2, FhHiC23_g12296.t1, FhHiC23_g12297.t1
OG0002775	h1SMcT0010432.1, h1SMcT0010432.2	FhHiC23_g5967.t1
OG0002777	h1SMcT0014472.2, h1SMcT0014472.1, h1SMcT0014472.4, h1SMcT0014472.3	FhHiC23_g213.t2, FhHiC23_g213.t1, FhHiC23_g213.t3
OG0002778	h1SMcT0007488.1	FhHiC23_g9030.t1
OG0002779	h1SMcT0022636.1, h1SMcT0022636.2	FhHiC23_g6023.t1, FhHiC23_g6023.t2
OG0002780	h1SMcT0000474.2, h1SMcT0000474.4, h1SMcT0001764.1, h1SMcT0004130.1, h1SMcT0010964.1	FhHiC23_g1323.t2, FhHiC23_g1323.t1, FhHiC23_g1323.t3
OG0002782	h1SMcT0022604.1	FhHiC23_g2854.t1, FhHiC23_g2854.t2
OG0002783	h1SMcT0008003.1	FhHiC23_g988.t1
OG0002784	h1SMcT0008178.1, h1SMcT0008178.2	FhHiC23_g9254.t1, FhHiC23_g9254.t2
OG0002786	h1SMcT0010646.1, h1SMcT0010646.2	FhHiC23_g10908.t1, FhHiC23_g10908.t2
OG0002787	h1SMcT0001295.1, h1SMcT0014123.1	FhHiC23_g10875.t1
OG0002788	h1SMcT0014807.3, h1SMcT0014807.1, h1SMcT0014807.2	FhHiC23_g13338.t1
OG0002789	h1SMcT0013724.1	FhHiC23_g11643.t1, FhHiC23_g11643.t2
OG0002790	h1SMcT0010488.1, h1SMcT0010488.2	FhHiC23_g2674.t1, FhHiC23_g2674.t2
OG0002792	h1SMcT0001032.3, h1SMcT0001032.1, h1SMcT0001032.2, h1SMcT0001032.4, h1SMcT0001032.5	FhHiC23_g1003.t1, FhHiC23_g1003.t2
OG0002794	h1SMcT0019472.1, h1SMcT0019472.2	FhHiC23_g9353.t1
OG0002795	h1SMcT0021429.1, h1SMcT0021429.2	FhHiC23_g9270.t1
OG0002796	h1SMcT0009699.1	FhHiC23_g11419.t2, FhHiC23_g11419.t1
OG0002798	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3	FhHiC23_g10646.t1
OG0002800	h1SMcT0017204.1, h1SMcT0017204.2	FhHiC23_g3166.t1, FhHiC23_g3167.t1
OG0002801	h1SMcT0004739.1	FhHiC23_g12973.t1
OG0002802	h1SMcT0013333.1, h1SMcT0013333.2	FhHiC23_g16412.t1
OG0002803	h1SMcT0003358.1	FhHiC23_g6625.t1
OG0002804	h1SMcT0016072.1, h1SMcT0016072.2	FhHiC23_g6245.t1
OG0002805	h1SMcT0021082.1	FhHiC23_g1740.t1
OG0002806	h1SMcT0004369.1, h1SMcT0004369.2	FhHiC23_g289.t1
OG0002807	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2	FhHiC23_g15597.t1
OG0002808	h1SMcT0003897.1	FhHiC23_g6784.t1
OG0002809	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2	FhHiC23_g3944.t1
OG0002810	h1SMcT0007485.1, h1SMcT0007485.2	FhHiC23_g5357.t1, FhHiC23_g5357.t3, FhHiC23_g5357.t2
OG0002812	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3	FhHiC23_g7327.t1, FhHiC23_g7327.t2
OG0002813	h1SMcT0013510.1	FhHiC23_g892.t1
OG0002814	h1SMcT0020082.1	FhHiC23_g3679.t1, FhHiC23_g9054.t1
OG0002816	h1SMcT0003753.1, h1SMcT0003753.2, h1SMcT0003753.3, h1SMcT0017894.1, h1SMcT0017894.2, h1SMcT0017894.3	FhHiC23_g10623.t1
OG0002817	h1SMcT0022064.1	FhHiC23_g5456.t1, FhHiC23_g5456.t2
OG0002818	h1SMcT0021904.2, h1SMcT0021904.1, h1SMcT0021904.3	FhHiC23_g1648.t1
OG0002819	h1SMcT0000992.1, h1SMcT0000992.2	FhHiC23_g8083.t2, FhHiC23_g8083.t1
OG0002821	h1SMcT0006182.1	FhHiC23_g12502.t1
OG0002822	h1SMcT0005549.1	FhHiC23_g13149.t1, FhHiC23_g13149.t2
OG0002823	h1SMcT0008134.1	FhHiC23_g15482.t1, FhHiC23_g15481.t1
OG0002824	h1SMcT0019939.1, h1SMcT0019939.2	FhHiC23_g11589.t1, FhHiC23_g11589.t2
OG0002825	h1SMcT0008532.1, h1SMcT0012833.4, h1SMcT0012833.8, h1SMcT0012833.7, h1SMcT0012833.3, h1SMcT0012833.9, h1SMcT0012833.1, h1SMcT0012833.5, h1SMcT0012833.10, h1SMcT0012833.2, h1SMcT0012833.6	FhHiC23_g973.t1
OG0002826	h1SMcT0013331.1	FhHiC23_g13881.t1
OG0002827	h1SMcT0001920.1	FhHiC23_g9994.t1
OG0002828	h1SMcT0013393.1, h1SMcT0014439.1	FhHiC23_g9939.t1
OG0002829	h1SMcT0006187.1	FhHiC23_g4507.t1
OG0002830	h1SMcT0001922.1	FhHiC23_g5.t1, FhHiC23_g6.t1, FhHiC23_g11247.t1, FhHiC23_g10057.t1, FhHiC23_g10057.t2, FhHiC23_g11246.t1
OG0002831	h1SMcT0013023.1	FhHiC23_g15415.t1, FhHiC23_g15415.t3, FhHiC23_g15415.t2
OG0002832	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4	FhHiC23_g4230.t1
OG0002834	h1SMcT0011093.1, h1SMcT0019571.1	FhHiC23_g12327.t1, FhHiC23_g12327.t2
OG0002835	h1SMcT0001144.1, h1SMcT0001144.2	FhHiC23_g4340.t1
OG0002836	h1SMcT0019327.1	FhHiC23_g10331.t1
OG0002837	h1SMcT0014915.1	FhHiC23_g14951.t1
OG0002839	h1SMcT0006670.1, h1SMcT0006670.2	FhHiC23_g862.t2, FhHiC23_g862.t1, FhHiC23_g862.t3
OG0002841	h1SMcT0006700.1, h1SMcT0017675.1, h1SMcT0017675.2	FhHiC23_g1933.t3, FhHiC23_g1933.t1, FhHiC23_g1933.t2
OG0002842	h1SMcT0004397.1	FhHiC23_g3213.t1, FhHiC23_g3213.t2
OG0002845	h1SMcT0021588.1, h1SMcT0021588.2	FhHiC23_g11184.t1
OG0002846	h1SMcT0021442.1, h1SMcT0021442.2	FhHiC23_g15450.t1, FhHiC23_g15449.t1
OG0002847	h1SMcT0004395.1	FhHiC23_g8394.t2, FhHiC23_g8394.t1
OG0002848	h1SMcT0001453.1	FhHiC23_g8555.t1, FhHiC23_g8555.t2
OG0002848	h1SMcT0014726.1, h1SMcT0014726.2	FhHiC23_g8219.t1
OG0002849	h1SMcT0016208.1, h1SMcT0016208.2	FhHiC23_g15206.t2, FhHiC23_g15206.t1
OG0002850	h1SMcT0007062.3, h1SMcT0007062.1, h1SMcT0007062.2	FhHiC23_g7640.t3, FhHiC23_g7640.t4, FhHiC23_g7640.t2, FhHiC23_g10503.t1, FhHiC23_g7640.t1
OG0002851	h1SMcT0000841.1	FhHiC23_g16536.t1, FhHiC23_g16534.t1, FhHiC23_g16535.t1
OG0002852	h1SMcT0003565.1, h1SMcT0003565.2	FhHiC23_g15406.t1
OG0002853	h1SMcT0000924.1, h1SMcT0000924.2	FhHiC23_g609.t1
OG0002854	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5	FhHiC23_g4863.t1
OG0002855	h1SMcT0021886.1, h1SMcT0021886.2	FhHiC23_g11125.t1
OG0002856	h1SMcT0000988.1, h1SMcT0000988.2	FhHiC23_g934.t1
OG0002857	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14	FhHiC23_g8154.t1
OG0002858	h1SMcT0011425.1, h1SMcT0011425.2	FhHiC23_g10984.t1
OG0002859	h1SMcT0010965.1, h1SMcT0010965.2	FhHiC23_g7306.t1, FhHiC23_g7306.t2, FhHiC23_g7306.t3
OG0002860	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2	FhHiC23_g605.t1
OG0002861	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3	FhHiC23_g15918.t1, FhHiC23_g15919.t2, FhHiC23_g15919.t1
OG0002862	h1SMcT0014516.1	FhHiC23_g7122.t1, FhHiC23_g7123.t1
OG0002863	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2	FhHiC23_g11831.t1, FhHiC23_g11832.t1
OG0002864	h1SMcT0001560.1, h1SMcT0001560.2	FhHiC23_g721.t1
OG0002866	h1SMcT0009506.1	FhHiC23_g6481.t2, FhHiC23_g6481.t1
OG0002868	h1SMcT0018668.1	FhHiC23_g15922.t1
OG0002869	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4	FhHiC23_g12118.t1
OG0002870	h1SMcT0019214.1	FhHiC23_g726.t1, FhHiC23_g726.t2
OG0002871	h1SMcT0016468.1, h1SMcT0016468.2, h1SMcT0020026.1	FhHiC23_g14625.t1
OG0002872	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3	FhHiC23_g2022.t1
OG0002873	h1SMcT0009651.1	FhHiC23_g16851.t1
OG0002874	h1SMcT0020479.1, h1SMcT0020479.2	FhHiC23_g5390.t2, FhHiC23_g5390.t1
OG0002875	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4	FhHiC23_g2011.t3, FhHiC23_g2011.t1, FhHiC23_g2011.t2
OG0002876	h1SMcT0007716.1	FhHiC23_g188.t1, FhHiC23_g188.t2
OG0002877	h1SMcT0007009.1	FhHiC23_g8089.t1, FhHiC23_g8090.t1
OG0002879	h1SMcT0011833.1, h1SMcT0011833.2	FhHiC23_g11232.t1, FhHiC23_g11233.t1, FhHiC23_g11232.t2
OG0002880	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4	FhHiC23_g14996.t1
OG0002881	h1SMcT0004996.1	FhHiC23_g7583.t1
OG0002883	h1SMcT0022337.1	FhHiC23_g85.t1, FhHiC23_g85.t2
OG0002884	h1SMcT0003205.1, h1SMcT0003205.2	FhHiC23_g7133.t1
OG0002885	h1SMcT0020452.1	FhHiC23_g1946.t1, FhHiC23_g1946.t2
OG0002889	h1SMcT0005077.1, h1SMcT0005077.2	FhHiC23_g3622.t1
OG0002902	h1SMcT0009500.1, h1SMcT0013191.1	FhHiC23_g5846.t1
OG0002903	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3	FhHiC23_g2976.t1
OG0002904	h1SMcT0012884.1, h1SMcT0012884.2	FhHiC23_g15693.t2, FhHiC23_g15693.t1
OG0002905	h1SMcT0004020.1	FhHiC23_g7418.t1
OG0002907	h1SMcT0014558.1	FhHiC23_g12903.t1
OG0002908	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4	FhHiC23_g6811.t1
OG0002910	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6	FhHiC23_g15159.t1
OG0002911	h1SMcT0017495.1, h1SMcT0017622.1	FhHiC23_g15581.t1
OG0002912	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1	FhHiC23_g7643.t1, FhHiC23_g7643.t2
OG0002913	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4	FhHiC23_g13543.t1, FhHiC23_g13543.t2
OG0002914	h1SMcT0014698.1, h1SMcT0016522.1	FhHiC23_g11692.t1, FhHiC23_g11692.t2, FhHiC23_g11691.t1
OG0002915	h1SMcT0007240.1, h1SMcT0007240.2	FhHiC23_g2463.t1
OG0002916	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4	FhHiC23_g11297.t1
OG0002917	h1SMcT0021979.1, h1SMcT0006977.1, h1SMcT0018520.1	FhHiC23_g11318.t1
OG0002917	h1SMcT0020733.1, h1SMcT0002931.1	FhHiC23_g10294.t1
OG0002918	h1SMcT0022319.1	FhHiC23_g4251.t1, FhHiC23_g4251.t2
OG0002921	h1SMcT0009277.1	FhHiC23_g9310.t1, FhHiC23_g9310.t2
OG0002922	h1SMcT0003698.1	FhHiC23_g2670.t1
OG0002925	h1SMcT0015505.1	FhHiC23_g11417.t2, FhHiC23_g11417.t1
OG0002928	h1SMcT0017861.1, h1SMcT0017861.2	FhHiC23_g2285.t2, FhHiC23_g2285.t1
OG0002929	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3	FhHiC23_g15576.t1, FhHiC23_g15576.t2
OG0002930	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2	FhHiC23_g6393.t1
OG0002931	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2	FhHiC23_g11585.t1, FhHiC23_g11585.t2
OG0002932	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3	FhHiC23_g14086.t1
OG0002934	h1SMcT0015709.1, h1SMcT0015709.2	FhHiC23_g9846.t1, FhHiC23_g9846.t2
OG0002936	h1SMcT0008577.1, h1SMcT0008577.2	FhHiC23_g350.t1
OG0002938	h1SMcT0009268.1, h1SMcT0009268.2, h1SMcT0009268.3	FhHiC23_g105.t1
OG0002938	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3	FhHiC23_g3011.t1
OG0002939	h1SMcT0009984.1	FhHiC23_g11874.t1, FhHiC23_g11874.t2
OG0002942	h1SMcT0009114.1	FhHiC23_g3045.t1
OG0002943	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5	FhHiC23_g3043.t1
OG0002944	h1SMcT0022414.1	FhHiC23_g11914.t1
OG0002945	h1SMcT0021889.1	FhHiC23_g2876.t1
OG0002947	h1SMcT0015902.1, h1SMcT0015902.2	FhHiC23_g16445.t3, FhHiC23_g16445.t1, FhHiC23_g16445.t2
OG0002948	h1SMcT0021089.1, h1SMcT0021089.2	FhHiC23_g7907.t1, FhHiC23_g7907.t2
OG0002949	h1SMcT0009486.1	FhHiC23_g6272.t1, FhHiC23_g6272.t2
OG0002950	h1SMcT0007052.1	FhHiC23_g1361.t1
OG0002951	h1SMcT0010433.1, h1SMcT0010433.2	FhHiC23_g5346.t1
OG0002953	h1SMcT0002670.1, h1SMcT0015965.1	FhHiC23_g12035.t1
OG0002954	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3	FhHiC23_g7064.t1, FhHiC23_g7064.t2
OG0002955	h1SMcT0017042.1	FhHiC23_g2790.t1, FhHiC23_g2789.t1
OG0002956	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2	FhHiC23_g9232.t2, FhHiC23_g9232.t1
OG0002958	h1SMcT0021861.1, h1SMcT0021861.2	FhHiC23_g7660.t1
OG0002959	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3	FhHiC23_g16027.t1
OG0002960	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1	FhHiC23_g1007.t1, FhHiC23_g1007.t2
OG0002961	h1SMcT0011634.1, h1SMcT0011634.2	FhHiC23_g15700.t1, FhHiC23_g15700.t2
OG0002962	h1SMcT0003796.1	FhHiC23_g7360.t1
OG0002963	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2	FhHiC23_g13460.t1, FhHiC23_g13459.t1
OG0002964	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3	FhHiC23_g10160.t2, FhHiC23_g10160.t1
OG0002967	h1SMcT0003658.1	FhHiC23_g7903.t1
OG0002969	h1SMcT0004653.1, h1SMcT0003717.1	FhHiC23_g6287.t2
OG0002969	h1SMcT0017175.1	FhHiC23_g528.t1
OG0002971	h1SMcT0017152.1	FhHiC23_g6854.t1
OG0002972	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4	FhHiC23_g7678.t1
OG0002973	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2	FhHiC23_g1606.t1
OG0002974	h1SMcT0008277.1	FhHiC23_g5575.t1, FhHiC23_g5575.t2
OG0002975	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2	FhHiC23_g14863.t1
OG0002976	h1SMcT0004422.1	FhHiC23_g7635.t1, FhHiC23_g7636.t1
OG0002978	h1SMcT0014459.1, h1SMcT0014461.1, h1SMcT0014464.1, h1SMcT0009665.1, h1SMcT0009668.1, h1SMcT0009668.2, h1SMcT0014465.1, h1SMcT0009667.1, h1SMcT0014458.1, h1SMcT0014448.1, h1SMcT0014451.1, h1SMcT0014453.1, h1SMcT0014454.1, h1SMcT0014454.2, h1SMcT0014454.3, h1SMcT0014455.1	FhHiC23_g9329.t1, FhHiC23_g3983.t1, FhHiC23_g3979.t1, FhHiC23_g3981.t1
OG0002979	h1SMcT0019481.1	FhHiC23_g15224.t1
OG0002981	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2	FhHiC23_g2590.t1, FhHiC23_g2589.t1
OG0002983	h1SMcT0017079.1	FhHiC23_g9279.t1, FhHiC23_g9279.t2
OG0002984	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2	FhHiC23_g10978.t1
OG0002985	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3	FhHiC23_g12581.t1
OG0002986	h1SMcT0009242.1, h1SMcT0009242.2	FhHiC23_g11945.t1, FhHiC23_g11945.t2, FhHiC23_g11945.t3, FhHiC23_g11951.t1
OG0002988	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3	FhHiC23_g9926.t1
OG0002989	h1SMcT0011055.1	FhHiC23_g1397.t1
OG0002991	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1	FhHiC23_g15828.t1
OG0002992	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4	FhHiC23_g3366.t1
OG0002993	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3	FhHiC23_g3621.t1, FhHiC23_g3920.t1, FhHiC23_g3920.t2, FhHiC23_g3920.t3
OG0002995	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3	FhHiC23_g4350.t2, FhHiC23_g4350.t1
