Orthogroup	schistosoma_japonicum	schistosoma_haematobium
OG0001913	EWB00_004541.1, EWB00_004541.2, EWB00_004541.3, EWB00_004541.4, EWB00_004541.5	SHAE2_77760.1, SHAE2_77760.2, SHAE2_77760.3, SHAE2_77760.5, SHAE2_77760.4, SHAE2_77760.6
OG0001914	EWB00_011318.1, EWB00_011318.3, EWB00_011318.2	SHAE2_64830.1
OG0001915	EWB00_007038	SHAE2_87500.2, SHAE2_87500.4, SHAE2_87500.5, SHAE2_87500.6, SHAE2_87500.10, SHAE2_87500.9, SHAE2_87500.3, SHAE2_87500.7, SHAE2_87500.1, SHAE2_87500.8
OG0001916	EWB00_010789	SHAE2_23690.1, SHAE2_23690.2, SHAE2_23690.3
OG0001917	EWB00_008840.1, EWB00_008840.4, EWB00_008840.2, EWB00_008840.3	SHAE2_10070.1
OG0001918	EWB00_000187.2, EWB00_000187.1, EWB00_000187.3	SHAE2_48790.1, SHAE2_48790.2, SHAE2_48790.3
OG0001919	EWB00_006232.3, EWB00_006232.1, EWB00_006232.2	SHAE2_72000.1
OG0001920	EWB00_010851.1, EWB00_010851.3, EWB00_010851.2	SHAE2_10190.5, SHAE2_10190.1, SHAE2_10190.3, SHAE2_10190.2, SHAE2_10190.4
OG0001921	EWB00_004589, EWB00_006142	SHAE2_42600.1, SHAE2_42600.2, SHAE2_42600.3, SHAE2_42600.4
OG0001922	EWB00_005191.1, EWB00_005191.2	SHAE2_62360.1
OG0001923	EWB00_007771	SHAE2_7740.1, SHAE2_7740.2, SHAE2_7540.1, SHAE2_7540.2
OG0001924	EWB00_000744.1, EWB00_000744.2, EWB00_000744.3	SHAE2_57920.1, SHAE2_57920.2, SHAE2_57920.3, SHAE2_57920.4
OG0001925	EWB00_002393.1, EWB00_002393.2, EWB00_002393.3	SHAE2_24180.1
OG0001926	EWB00_002121.1, EWB00_002121.5, EWB00_002121.2, EWB00_002121.3, EWB00_002121.4	SHAE2_35130.1
OG0001927	EWB00_003588	SHAE2_660.1
OG0001928	EWB00_003675.4, EWB00_003675.1, EWB00_003675.3, EWB00_003675.2	SHAE2_54040.1
OG0001929	EWB00_008348	SHAE2_76890.1, SHAE2_76890.2, SHAE2_76890.3, SHAE2_76890.4, SHAE2_76890.5
OG0001931	EWB00_009147	SHAE2_31620.4, SHAE2_31620.5, SHAE2_31620.1, SHAE2_31620.2, SHAE2_31620.6, SHAE2_31620.7, SHAE2_31620.3
OG0001932	EWB00_003655.1, EWB00_003655.3	SHAE2_69160.1
OG0001933	EWB00_000297.4, EWB00_000297.5, EWB00_000297.1, EWB00_000297.3, EWB00_000297.2	SHAE2_27960.4, SHAE2_27960.5, SHAE2_27960.3, SHAE2_27960.2, SHAE2_27960.1
OG0001934	EWB00_002817.1, EWB00_002817.2, EWB00_002817.3	SHAE2_45390.1, SHAE2_45390.4, SHAE2_45390.2, SHAE2_45390.3
OG0001935	EWB00_008331	SHAE2_13910.4, SHAE2_13910.1, SHAE2_13910.2, SHAE2_13910.3
OG0001936	EWB00_008438.5, EWB00_008438.1, EWB00_008438.3, EWB00_008438.2, EWB00_008438.4	SHAE2_13560.3, SHAE2_13560.4, SHAE2_13560.5, SHAE2_13560.1, SHAE2_13560.2
OG0001937	EWB00_006558	SHAE2_19950.2, SHAE2_19950.1, SHAE2_19950.4, SHAE2_19950.5, SHAE2_19950.3
OG0001941	EWB00_003043	SHAE2_93670.1
OG0001942	EWB00_006953.3, EWB00_006953.7, EWB00_006953.1, EWB00_006953.5, EWB00_006953.6, EWB00_006953.4, EWB00_006953.2	SHAE2_30260.1, SHAE2_30260.3, SHAE2_30260.2
OG0001943	EWB00_001044.1, EWB00_001044.2, EWB00_001044.4, EWB00_001044.3	SHAE2_21200.2, SHAE2_21200.1, SHAE2_21200.3
OG0001944	EWB00_009759	SHAE2_72740.1, SHAE2_72740.2
OG0001945	EWB00_009970.1, EWB00_009970.2, EWB00_009970.3	SHAE2_101410.1
OG0001946	EWB00_005989	SHAE2_32490.1
OG0001947	EWB00_003234.3, EWB00_003234.2, EWB00_003234.1	SHAE2_45040.3, SHAE2_45040.1, SHAE2_45040.4, SHAE2_45040.5
OG0001948	EWB00_004875.1, EWB00_004875.2	SHAE2_93570.1, SHAE2_93570.2
OG0001949	EWB00_002055	SHAE2_99450.4, SHAE2_99450.3, SHAE2_99450.1, SHAE2_99450.2
OG0001950	EWB00_010181.1, EWB00_010181.2	SHAE2_89420.1
OG0001951	EWB00_010118.1, EWB00_010118.2, EWB00_010118.3	SHAE2_6820.1, SHAE2_6820.2
OG0001952	EWB00_003633	SHAE2_49220.1
OG0001953	EWB00_003411	SHAE2_34600.5, SHAE2_34600.1, SHAE2_34600.2, SHAE2_34600.4, SHAE2_34600.3, SHAE2_34600.6
OG0001954	EWB00_002373.1, EWB00_002373.2	SHAE2_17320.3, SHAE2_17320.2, SHAE2_17320.1
OG0001955	EWB00_006289.1, EWB00_006289.2	SHAE2_5820.1, SHAE2_5820.2, SHAE2_5820.3, SHAE2_5820.4
OG0001956	EWB00_011048	SHAE2_80450.6, SHAE2_80450.4, SHAE2_80450.2, SHAE2_80450.1, SHAE2_80450.3, SHAE2_80450.5
OG0001957	EWB00_002353.5, EWB00_002353.4, EWB00_002353.6, EWB00_002353.1, EWB00_002353.2, EWB00_002353.3	SHAE2_17150.2, SHAE2_17150.1
OG0001958	EWB00_000402.1, EWB00_000402.2	SHAE2_67040.1, SHAE2_67040.2, SHAE2_67040.3, SHAE2_67040.4
OG0001959	EWB00_002873.1, EWB00_002873.3, EWB00_002873.4, EWB00_002873.5, EWB00_002873.2, EWB00_007946	SHAE2_32770.1, SHAE2_32770.2, SHAE2_32770.3
OG0001960	EWB00_007931.5, EWB00_007931.6, EWB00_007931.1, EWB00_007931.4, EWB00_007931.2, EWB00_007931.3	SHAE2_31430.1
OG0001961	EWB00_008934	SHAE2_72890.1
OG0001962	EWB00_006447.1, EWB00_006447.2	SHAE2_22590.1, SHAE2_22590.2
OG0001963	EWB00_005116	SHAE2_28280.2, SHAE2_28280.1, SHAE2_28280.3, SHAE2_28280.4
OG0001964	EWB00_004882	SHAE2_93510.1
OG0001965	EWB00_010177	SHAE2_89450.1
OG0001966	EWB00_007793	SHAE2_7800.1
OG0001967	EWB00_006691.1, EWB00_006691.2	SHAE2_101100.2, SHAE2_101100.5, SHAE2_101100.3, SHAE2_101100.4, SHAE2_101100.1
OG0001968	EWB00_002588.1, EWB00_002588.2	SHAE2_33760.1, SHAE2_33760.2
OG0001969	EWB00_006040	SHAE2_31680.7, SHAE2_31680.5, SHAE2_31680.4, SHAE2_31680.6, SHAE2_31680.1, SHAE2_31680.2, SHAE2_31680.3, SHAE2_31990.1
OG0001970	EWB00_001304.1, EWB00_001304.2	SHAE2_40370.1
OG0001971	EWB00_011300	SHAE2_64530.1, SHAE2_64530.2, SHAE2_64530.3
OG0001972	EWB00_003996	SHAE2_70620.1
OG0001973	EWB00_006760.1, EWB00_006760.2	SHAE2_62160.1
OG0001974	EWB00_006902	SHAE2_50510.3, SHAE2_50510.1, SHAE2_50510.2
OG0001975	EWB00_006471.3, EWB00_006471.1, EWB00_006471.2	SHAE2_53150.1
OG0001976	EWB00_009025	SHAE2_4570.5, SHAE2_4570.1, SHAE2_4570.3, SHAE2_4570.4, SHAE2_4570.2
OG0001977	EWB00_009453.1, EWB00_009453.2, EWB00_009453.3	SHAE2_96650.1
OG0001978	EWB00_008191.1, EWB00_008191.2	SHAE2_83760.1, SHAE2_83760.3, SHAE2_83760.4, SHAE2_83760.2, SHAE2_83760.5, SHAE2_83760.6
OG0001979	EWB00_005320.1, EWB00_005320.2	SHAE2_54500.3, SHAE2_54500.1, SHAE2_54500.6, SHAE2_54500.7, SHAE2_54500.5, SHAE2_54500.2, SHAE2_54500.4
OG0001980	EWB00_000544.1, EWB00_000544.2	SHAE2_66210.1
OG0001981	EWB00_003238, EWB00_003235.1, EWB00_003235.2	SHAE2_45030.4, SHAE2_45030.3, SHAE2_45030.2, SHAE2_45030.1
OG0001982	EWB00_003374.1, EWB00_003374.2	SHAE2_37530.1
OG0001983	EWB00_010176	SHAE2_89460.1, SHAE2_89460.2, SHAE2_89460.3
OG0001984	EWB00_004454.3, EWB00_004454.2, EWB00_004454.1, EWB00_004454.4	SHAE2_93950.1, SHAE2_93950.3, SHAE2_93950.4, SHAE2_93950.2
OG0001985	EWB00_006219	SHAE2_41770.1
OG0001986	EWB00_010664.1, EWB00_010664.2, EWB00_010664.3	SHAE2_56220.1, SHAE2_56220.4, SHAE2_56220.2, SHAE2_56220.3, SHAE2_56220.5
OG0001987	EWB00_009533	SHAE2_41720.1, SHAE2_41720.4, SHAE2_41720.2, SHAE2_41720.3
OG0001988	EWB00_000510	SHAE2_63340.1, SHAE2_63340.3, SHAE2_63340.2
OG0001989	EWB00_009481	SHAE2_12360.2, SHAE2_12360.1, SHAE2_12360.3, SHAE2_12360.4
OG0001990	EWB00_007602	SHAE2_52880.1, SHAE2_52880.2
OG0001991	EWB00_002349	SHAE2_17120.1, SHAE2_17120.2
OG0001992	EWB00_010772.1, EWB00_010772.3, EWB00_010772.2	SHAE2_51040.1
OG0001993	EWB00_001364.1, EWB00_001364.2	SHAE2_79630.1, SHAE2_79630.2
OG0001994	EWB00_006425	SHAE2_22360.1, SHAE2_22360.2, SHAE2_22360.3
OG0001995	EWB00_008424.1, EWB00_008424.3, EWB00_008424.4, EWB00_008424.2, EWB00_008424.5	SHAE2_99420.1, SHAE2_99420.2, SHAE2_99420.3, SHAE2_99420.4
OG0001996	EWB00_001673	SHAE2_103350.1
OG0001997	EWB00_003079	SHAE2_10620.2, SHAE2_10620.1, SHAE2_10620.3, SHAE2_10620.4, SHAE2_10620.5
OG0001998	EWB00_006708	SHAE2_96820.1
OG0001999	EWB00_003613	SHAE2_53010.1
OG0002000	EWB00_003097	SHAE2_10960.1
OG0002001	EWB00_004162, EWB00_004161	SHAE2_15680.3, SHAE2_15680.1, SHAE2_15680.2
OG0002002	EWB00_004263.3, EWB00_004263.1, EWB00_004263.2	SHAE2_38760.1, SHAE2_38760.5, SHAE2_38760.4, SHAE2_38760.2, SHAE2_38760.3
OG0002003	EWB00_007594.1, EWB00_007594.2	SHAE2_52970.3, SHAE2_52970.4, SHAE2_52970.1, SHAE2_52970.2
OG0002004	EWB00_000115	SHAE2_5090.2, SHAE2_5090.1
OG0002005	EWB00_008380.1, EWB00_008380.3, EWB00_008380.2, EWB00_008382	SHAE2_59260.1
OG0002006	EWB00_001376.1, EWB00_001376.2	SHAE2_79490.1, SHAE2_79490.2
OG0002007	EWB00_010057, EWB00_010056	SHAE2_73570.1, SHAE2_73560.1
OG0002008	EWB00_004014.1, EWB00_004014.2, EWB00_004014.3	SHAE2_66110.2, SHAE2_66110.1, SHAE2_66110.3
OG0002009	EWB00_001730	SHAE2_36640.1, SHAE2_36640.3, SHAE2_36640.2
OG0002010	EWB00_009339	SHAE2_55150.1
OG0002011	EWB00_007159	SHAE2_80210.1, SHAE2_80210.2
OG0002012	EWB00_009465.2, EWB00_009465.1, EWB00_009465.3	SHAE2_11120.1
OG0002013	EWB00_005319.1, EWB00_005319.2	SHAE2_54490.3, SHAE2_54490.2, SHAE2_54490.1
OG0002014	EWB00_008895.1, EWB00_008895.3, EWB00_008895.2	SHAE2_68270.1
OG0002015	EWB00_006940	SHAE2_92470.1, SHAE2_92470.2
OG0002016	EWB00_005905	SHAE2_66790.1, SHAE2_66790.2, SHAE2_66790.4, SHAE2_66790.3
OG0002017	EWB00_010506.1, EWB00_010506.2	SHAE2_69590.1
OG0002018	EWB00_008680	SHAE2_75620.1, SHAE2_75610.1
OG0002019	EWB00_006612	SHAE2_77370.3, SHAE2_77370.1, SHAE2_77370.2, SHAE2_77370.4
OG0002020	EWB00_010448, EWB00_010449	SHAE2_70020.5, SHAE2_70020.3, SHAE2_70020.4, SHAE2_70020.1, SHAE2_70020.2, SHAE2_70020.6, SHAE2_70020.8, SHAE2_70020.7
OG0002021	EWB00_002771	SHAE2_76300.1
OG0002022	EWB00_001592.1, EWB00_001592.5, EWB00_001592.2, EWB00_001592.3, EWB00_001592.4	SHAE2_75840.9, SHAE2_75840.4, SHAE2_75840.5, SHAE2_75840.6, SHAE2_75840.7, SHAE2_75840.8, SHAE2_75840.1, SHAE2_75840.2, SHAE2_75840.3
OG0002023	EWB00_006224.4, EWB00_006224.1, EWB00_006224.2, EWB00_006224.3	SHAE2_71880.1
OG0002024	EWB00_001133.1, EWB00_001133.2, EWB00_001133.3	SHAE2_26530.2, SHAE2_26530.3, SHAE2_26530.1, SHAE2_26530.4
OG0002025	EWB00_005907.1, EWB00_005907.2	SHAE2_66770.1, SHAE2_66770.2, SHAE2_66770.3, SHAE2_66770.5, SHAE2_66770.4
OG0002027	EWB00_010185	SHAE2_90970.1, SHAE2_90970.2
OG0002028	EWB00_010621	SHAE2_55950.1, SHAE2_55950.2, SHAE2_55950.3
OG0002029	EWB00_005960	SHAE2_34950.6, SHAE2_34950.4, SHAE2_34950.3, SHAE2_34950.7, SHAE2_34950.8, SHAE2_34950.2, SHAE2_34950.9, SHAE2_34950.5, SHAE2_34950.1
OG0002030	EWB00_009169.3, EWB00_009169.4, EWB00_009169.1, EWB00_009169.2	SHAE2_66290.5, SHAE2_66290.4, SHAE2_66290.2, SHAE2_66290.3, SHAE2_66290.1
OG0002031	EWB00_003838.1, EWB00_003838.2	SHAE2_2080.2, SHAE2_2080.3, SHAE2_2080.5, SHAE2_2080.1, SHAE2_2080.4
OG0002032	EWB00_005869.2, EWB00_005869.1, EWB00_005869.3, EWB00_005869.4	SHAE2_98890.1
OG0002033	EWB00_011262.1, EWB00_011262.2	SHAE2_64250.2, SHAE2_64250.1
OG0002034	EWB00_006270.1, EWB00_006270.2, EWB00_006270.3	SHAE2_72540.1, SHAE2_72540.2
OG0002035	EWB00_003695.2	SHAE2_15800.1, SHAE2_15790.1
OG0002036	EWB00_007516.3, EWB00_007516.1, EWB00_007516.2	SHAE2_92600.1
OG0002037	EWB00_002151.2, EWB00_002151.1, EWB00_002151.3	SHAE2_57680.1
OG0002038	EWB00_001564.2, EWB00_001564.3, EWB00_001564.1, EWB00_001564.4	SHAE2_46630.2, SHAE2_46630.5, SHAE2_46630.3, SHAE2_46630.4, SHAE2_46630.1
OG0002039	EWB00_003603	SHAE2_53090.2, SHAE2_53090.1, SHAE2_53090.3, SHAE2_53090.4
OG0002040	EWB00_007877	SHAE2_3010.1
OG0002041	EWB00_007250.1, EWB00_007250.2	SHAE2_79110.1, SHAE2_79110.2
OG0002042	EWB00_004158	SHAE2_15660.4, SHAE2_15660.3, SHAE2_15660.2, SHAE2_15660.1
OG0002043	EWB00_007122.4, EWB00_007122.9, EWB00_007122.6, EWB00_007122.1, EWB00_007122.2, EWB00_007122.3, EWB00_007122.5, EWB00_007122.8, EWB00_007122.7	SHAE2_67260.1
OG0002044	EWB00_008600.1, EWB00_008600.2, EWB00_008600.4, EWB00_008600.5, EWB00_008600.3	SHAE2_8040.1
OG0002045	EWB00_009520.3, EWB00_009520.6, EWB00_009520.5, EWB00_009520.1, EWB00_009520.2, EWB00_009520.4	SHAE2_90730.1
OG0002046	EWB00_001389	SHAE2_79390.5, SHAE2_79390.1, SHAE2_79390.2, SHAE2_79390.3, SHAE2_79390.4
OG0002047	EWB00_001334.1, EWB00_001334.2	SHAE2_90510.1, SHAE2_90510.3, SHAE2_90510.2
OG0002048	EWB00_003123.1, EWB00_003123.2	SHAE2_18400.1, SHAE2_18400.2
OG0002049	EWB00_003250	SHAE2_96100.1, SHAE2_96100.2
OG0002050	EWB00_006497.1, EWB00_006497.2, EWB00_006497.3	SHAE2_57160.2, SHAE2_57160.3, SHAE2_57160.1
OG0002051	EWB00_002114.1, EWB00_002114.2	SHAE2_32640.1, SHAE2_32640.2
OG0002052	EWB00_001807.3, EWB00_001807.1, EWB00_001807.2, EWB00_001807.4	SHAE2_46130.1
OG0002053	EWB00_002011	SHAE2_81670.1, SHAE2_81670.5, SHAE2_81670.9, SHAE2_81670.8, SHAE2_81670.2, SHAE2_81670.4, SHAE2_81670.3, SHAE2_81670.7, SHAE2_81670.6
OG0002054	EWB00_000955.1, EWB00_000955.3, EWB00_000955.2	SHAE2_75180.1, SHAE2_75180.2
OG0002055	EWB00_003464, EWB00_003465	SHAE2_61990.1, SHAE2_61990.2, SHAE2_61990.3
OG0002056	EWB00_001929	SHAE2_95130.1
OG0002057	EWB00_005362	SHAE2_53220.2, SHAE2_53220.1, SHAE2_53220.3
OG0002059	EWB00_000979.1, EWB00_000979.2	SHAE2_47270.2, SHAE2_47270.1, SHAE2_47270.5, SHAE2_47270.3, SHAE2_47270.4
OG0002060	EWB00_002103.1, EWB00_002103.2, EWB00_002103.3	SHAE2_7910.1, SHAE2_7910.2, SHAE2_7910.3, SHAE2_7910.4
OG0002061	EWB00_000100.1, EWB00_000100.2	SHAE2_5230.2, SHAE2_5230.3, SHAE2_5230.5, SHAE2_5230.1, SHAE2_5230.4
OG0002062	EWB00_005788	SHAE2_71610.1
OG0002063	EWB00_000990	SHAE2_47360.1, SHAE2_47360.2, SHAE2_47360.3
OG0002064	EWB00_009624.3, EWB00_009624.1, EWB00_009624.2	SHAE2_11880.1, SHAE2_11880.2
OG0002066	EWB00_010559	SHAE2_79990.1
OG0002066	EWB00_007142, EWB00_010817	SHAE2_80080.1
OG0002067	EWB00_000481	SHAE2_63110.3, SHAE2_63110.1, SHAE2_63110.2
OG0002068	EWB00_008328, EWB00_008329.1, EWB00_008329.2, EWB00_008329.3, EWB00_008330.4, EWB00_008330.3, EWB00_008330.2, EWB00_008330.1	SHAE2_13920.1, SHAE2_13920.4, SHAE2_13920.5, SHAE2_13920.2, SHAE2_13920.3
OG0002069	EWB00_007405	SHAE2_90800.1
OG0002073	EWB00_001425.1, EWB00_001425.2	SHAE2_100310.1
OG0002074	EWB00_001041	SHAE2_21230.1, SHAE2_21230.3, SHAE2_21230.2
OG0002075	EWB00_009494.2, EWB00_009494.3, EWB00_009494.1	SHAE2_12420.1
OG0002076	EWB00_008759.2, EWB00_008759.1	SHAE2_44660.1
OG0002077	EWB00_002303	SHAE2_15500.1, SHAE2_15480.1, SHAE2_15480.2
OG0002079	EWB00_007700.1, EWB00_007700.2	SHAE2_40770.1
OG0002080	EWB00_005317.1, EWB00_005317.2	SHAE2_54470.1, SHAE2_54470.2, SHAE2_54470.3
OG0002081	EWB00_008299.1, EWB00_008299.2, EWB00_008299.3	SHAE2_86970.1
OG0002082	EWB00_003853	SHAE2_63480.1
OG0002082	EWB00_003854	SHAE2_63490.1
OG0002083	EWB00_001011.1	SHAE2_47460.1, SHAE2_47460.2, SHAE2_47460.3, SHAE2_47460.4, SHAE2_47460.5, SHAE2_47460.6
OG0002084	EWB00_000603	SHAE2_20070.1
OG0002085	EWB00_011092.1, EWB00_011092.2, EWB00_011092.3	SHAE2_65210.1
OG0002086	EWB00_007657.2, EWB00_007657.1, EWB00_007657.3, EWB00_007657.4	SHAE2_44280.2, SHAE2_44280.1, SHAE2_44280.3
OG0002087	EWB00_008150.1, EWB00_008150.2	SHAE2_36350.1
OG0002088	EWB00_001075	SHAE2_29960.1, SHAE2_29960.4, SHAE2_29960.2, SHAE2_29960.3
OG0002089	EWB00_000175.1, EWB00_000175.2	SHAE2_48970.1, SHAE2_48970.2, SHAE2_48970.3
OG0002090	EWB00_002150	SHAE2_57670.2, SHAE2_57670.1
OG0002091	EWB00_006791.2, EWB00_006791.3, EWB00_006791.4, EWB00_006791.1	SHAE2_56080.4, SHAE2_56080.3, SHAE2_56080.5, SHAE2_56080.1, SHAE2_56080.2
OG0002092	EWB00_006208	SHAE2_41990.5, SHAE2_41990.4, SHAE2_41990.3, SHAE2_41990.1, SHAE2_41990.2
OG0002093	EWB00_000274.1, EWB00_000274.2	SHAE2_27830.7, SHAE2_27830.5, SHAE2_27830.9, SHAE2_27830.6, SHAE2_27830.4, SHAE2_27830.1, SHAE2_27830.2, SHAE2_27830.3
OG0002094	EWB00_006338	SHAE2_5550.2, SHAE2_5550.3, SHAE2_5550.1
OG0002095	EWB00_003125	SHAE2_18340.5, SHAE2_18340.1, SHAE2_18340.3, SHAE2_18340.2, SHAE2_18340.4
OG0002096	EWB00_001324.1, EWB00_001324.2, EWB00_001324.3	SHAE2_31030.3, SHAE2_31030.6, SHAE2_31030.4, SHAE2_31030.5, SHAE2_31030.1, SHAE2_31030.2
OG0002097	EWB00_006301, EWB00_006300	SHAE2_5920.1, SHAE2_5920.2
OG0002098	EWB00_009882.1, EWB00_009882.2	SHAE2_68840.1
OG0002099	EWB00_009529	SHAE2_41870.1
OG0002100	EWB00_000095.5, EWB00_000095.1, EWB00_000095.2, EWB00_000095.3, EWB00_000095.4	SHAE2_30570.1, SHAE2_30570.2
OG0002101	EWB00_011387	SHAE2_94560.2, SHAE2_94560.6, SHAE2_94560.5, SHAE2_94560.1, SHAE2_94560.4, SHAE2_94560.3
OG0002102	EWB00_007000	SHAE2_26700.1
OG0002102	EWB00_004225	SHAE2_27530.1
OG0002103	EWB00_006367	SHAE2_45910.1, SHAE2_45910.2
OG0002104	EWB00_004136.1, EWB00_004136.2	SHAE2_33200.2, SHAE2_33200.1, SHAE2_33200.3
OG0002105	EWB00_003321.2, EWB00_003321.3, EWB00_003321.4, EWB00_003321.5, EWB00_003321.1	SHAE2_28090.1, SHAE2_28090.4, SHAE2_28090.3, SHAE2_28090.2
OG0002106	EWB00_000312.4, EWB00_000312.1, EWB00_000312.2, EWB00_000312.3	SHAE2_93210.1, SHAE2_93210.2, SHAE2_93210.3, SHAE2_93210.4, SHAE2_93210.5, SHAE2_93210.6, SHAE2_93210.7, SHAE2_93210.8, SHAE2_93210.9
OG0002107	EWB00_006567, EWB00_006568	SHAE2_63980.1, SHAE2_63980.5, SHAE2_63980.2, SHAE2_63980.4, SHAE2_63980.6, SHAE2_63980.3
OG0002108	EWB00_003251	SHAE2_96110.1
OG0002108	EWB00_006766.1, EWB00_006766.2	SHAE2_85260.1, SHAE2_85260.2
OG0002109	EWB00_004744	SHAE2_48430.2, SHAE2_48430.1, SHAE2_48430.5, SHAE2_48430.4, SHAE2_48430.3
OG0002110	EWB00_006092	SHAE2_89550.1, SHAE2_75430.1
OG0002111	EWB00_002808	SHAE2_45300.1, SHAE2_45300.2
OG0002112	EWB00_009581	SHAE2_62620.2, SHAE2_62620.1
OG0002113	EWB00_008310.1, EWB00_008310.2	SHAE2_95880.1
OG0002114	EWB00_001140.1, EWB00_001140.2	SHAE2_103270.1
OG0002115	EWB00_011171.1, EWB00_011171.2	SHAE2_58150.1
OG0002116	EWB00_005916.1, EWB00_005916.2	SHAE2_34840.1
OG0002117	EWB00_000110	SHAE2_5130.1, SHAE2_5130.2, SHAE2_5130.3
OG0002118	EWB00_003641	SHAE2_49070.1
OG0002119	EWB00_007309.2, EWB00_007309.1	SHAE2_89580.1
OG0002120	EWB00_009243.1, EWB00_009243.2	SHAE2_6890.1, SHAE2_6890.3, SHAE2_6890.5, SHAE2_6890.2, SHAE2_6890.4
OG0002121	EWB00_009242.1, EWB00_009242.2, EWB00_009242.4, EWB00_009242.3	SHAE2_6900.1
OG0002122	EWB00_004617	SHAE2_33680.2, SHAE2_33680.3, SHAE2_33680.4, SHAE2_33680.5, SHAE2_33680.1
OG0002123	EWB00_009150.9, EWB00_009150.1, EWB00_009150.5, EWB00_009150.4, EWB00_009150.3, EWB00_009150.10, EWB00_009150.7, EWB00_009150.2, EWB00_009150.6, EWB00_009150.8	SHAE2_31600.2, SHAE2_31600.1
OG0002124	EWB00_006423	SHAE2_22350.7, SHAE2_22350.6, SHAE2_22350.4, SHAE2_22350.3, SHAE2_22350.1, SHAE2_22350.5, SHAE2_22350.2
OG0002125	EWB00_006649	SHAE2_101530.1, SHAE2_101530.2
OG0002126	EWB00_007318, EWB00_007319	SHAE2_3650.2, SHAE2_3650.3, SHAE2_3650.1
OG0002127	EWB00_011167.1, EWB00_011167.2, EWB00_011167.3	SHAE2_63740.3, SHAE2_63740.4, SHAE2_63740.1, SHAE2_63740.2
OG0002128	EWB00_004870	SHAE2_7080.1, SHAE2_7080.2, SHAE2_7080.3, SHAE2_7080.4
OG0002129	EWB00_003558.2, EWB00_003558.1	SHAE2_55210.1, SHAE2_55220.1
OG0002130	EWB00_001104.2, EWB00_001104.1	SHAE2_26850.1
OG0002131	EWB00_002835.4, EWB00_002835.1, EWB00_002835.2, EWB00_002835.3	SHAE2_43480.1, SHAE2_43480.2, SHAE2_43480.3
OG0002132	EWB00_002216.1, EWB00_002216.2, EWB00_002216.3	SHAE2_58370.1, SHAE2_58370.2
OG0002133	EWB00_006881	SHAE2_50660.5, SHAE2_50660.1, SHAE2_50660.2, SHAE2_50660.3, SHAE2_50660.4
OG0002134	EWB00_005619.1, EWB00_005619.2	SHAE2_39880.2, SHAE2_39880.3, SHAE2_39880.1
OG0002135	EWB00_003469	SHAE2_28340.1, SHAE2_28340.2
OG0002136	EWB00_008767	SHAE2_98330.1, SHAE2_98330.2
OG0002137	EWB00_001244	SHAE2_83060.1
OG0002138	EWB00_007454.1, EWB00_007454.2	SHAE2_33380.2, SHAE2_33380.1, SHAE2_33370.1
OG0002139	EWB00_009794.1, EWB00_009794.2, EWB00_009794.3, EWB00_009794.4	SHAE2_67140.1, SHAE2_67140.3, SHAE2_67140.4, SHAE2_67140.2
OG0002140	EWB00_009570.2, EWB00_009570.1, EWB00_009570.3	SHAE2_7850.2, SHAE2_7850.4, SHAE2_7850.1, SHAE2_7850.3
OG0002141	EWB00_010525	SHAE2_62740.1
OG0002142	EWB00_011368.9, EWB00_011368.6, EWB00_011368.1, EWB00_011368.7, EWB00_011368.3, EWB00_011368.4, EWB00_011368.5, EWB00_011368.2, EWB00_011368.8	SHAE2_91260.4, SHAE2_91260.1, SHAE2_91260.2, SHAE2_91260.3
OG0002143	EWB00_003636, EWB00_003635.2, EWB00_003635.1, EWB00_003635.4, EWB00_003635.3	SHAE2_49200.1, SHAE2_49150.1
OG0002144	EWB00_008031	SHAE2_28630.1
OG0002145	EWB00_006068.5, EWB00_006068.1, EWB00_006068.2, EWB00_006068.3, EWB00_006068.4	SHAE2_32750.1, SHAE2_32750.2
OG0002146	EWB00_002446.1, EWB00_002446.3, EWB00_002446.2	SHAE2_18640.1, SHAE2_18640.2, SHAE2_18640.3
OG0002147	EWB00_003604.2, EWB00_003604.1, EWB00_003604.3	SHAE2_53070.2, SHAE2_53070.3, SHAE2_53070.1, SHAE2_53070.4
OG0002148	EWB00_008459	SHAE2_6670.1, SHAE2_6670.2, SHAE2_6670.3
OG0002149	EWB00_005372.3, EWB00_005372.1, EWB00_005372.2	SHAE2_56900.1
OG0002150	EWB00_006269.1, EWB00_006269.3, EWB00_006269.2	SHAE2_72520.1
OG0002151	EWB00_004407	SHAE2_52910.1, SHAE2_52920.1, SHAE2_86310.1
OG0002152	EWB00_009109.3, EWB00_009109.1, EWB00_009109.2	SHAE2_78590.1, SHAE2_78590.2
OG0002153	EWB00_007777	SHAE2_7700.3, SHAE2_7700.2, SHAE2_7700.4, SHAE2_7700.5, SHAE2_7700.1
OG0002154	EWB00_004316	SHAE2_39340.1
OG0002155	EWB00_007056.1, EWB00_007056.2	SHAE2_26270.1, SHAE2_26270.2
OG0002156	EWB00_004465	SHAE2_93830.1, SHAE2_93830.2
OG0002157	EWB00_007727.1, EWB00_007727.2	SHAE2_66590.1, SHAE2_66590.2, SHAE2_66590.3, SHAE2_66590.4, SHAE2_66590.5
OG0002158	EWB00_011014.1, EWB00_011014.2	SHAE2_81070.1
OG0002159	EWB00_007258, EWB00_007259	SHAE2_79170.1, SHAE2_79170.2, SHAE2_79170.3
