Orthogroup	schmidtea_mediterranea	schistosoma_curassoni
OG0002328	h1SMcT0015671.1, h1SMcT0022878.1, h1SMcT0022878.2	SCUR1_7410.1, SCUR1_7410.2, SCUR1_7410.3
OG0002329	h1SMcT0021527.1, h1SMcT0021527.2, h1SMcT0021527.3	SCUR1_1740.1
OG0002330	h1SMcT0014355.1	SCUR1_5920.1
OG0002333	h1SMcT0022241.1, h1SMcT0022241.4, h1SMcT0022241.6, h1SMcT0022241.2, h1SMcT0022241.3, h1SMcT0022241.5	SCUR1_53380.1, SCUR1_53380.2
OG0002335	h1SMcT0010346.1	SCUR1_16930.1, SCUR1_16930.3, SCUR1_16930.2
OG0002336	h1SMcT0000085.1	SCUR1_56720.3, SCUR1_56720.1, SCUR1_56720.2, SCUR1_56720.4, SCUR1_56720.5
OG0002337	h1SMcT0003187.1, h1SMcT0003187.2	SCUR1_94920.1, SCUR1_94920.3, SCUR1_94920.2, SCUR1_94920.4
OG0002338	h1SMcT0018331.1	SCUR1_9450.1
OG0002340	h1SMcT0009015.1	SCUR1_2640.1
OG0002341	h1SMcT0007725.2, h1SMcT0007725.3, h1SMcT0007725.4, h1SMcT0007725.1	SCUR1_87520.1, SCUR1_87530.1
OG0002342	h1SMcT0008402.1, h1SMcT0008402.2, h1SMcT0008402.3	SCUR1_3510.4, SCUR1_3510.1, SCUR1_3510.2, SCUR1_3510.8, SCUR1_3510.6, SCUR1_3510.7, SCUR1_3510.3, SCUR1_3510.5, SCUR1_3510.9
OG0002343	h1SMcT0020615.1	SCUR1_43980.3, SCUR1_43980.4, SCUR1_43980.5, SCUR1_43980.1, SCUR1_43980.2
OG0002344	h1SMcT0002905.1	SCUR1_60190.1, SCUR1_60190.3, SCUR1_60190.2
OG0002345	h1SMcT0021802.1, h1SMcT0021802.3, h1SMcT0021802.2	SCUR1_86250.1
OG0002346	h1SMcT0018474.1, h1SMcT0006167.3, h1SMcT0006167.1, h1SMcT0006167.2	SCUR1_25300.1, SCUR1_25300.2
OG0002347	h1SMcT0022251.1	SCUR1_20800.1
OG0002348	h1SMcT0019069.1, h1SMcT0019069.2, h1SMcT0004594.2, h1SMcT0004594.1, h1SMcT0004594.3	SCUR1_36290.1, SCUR1_36290.10, SCUR1_36290.2, SCUR1_36290.3, SCUR1_36290.4, SCUR1_36290.5, SCUR1_36290.6, SCUR1_36290.7, SCUR1_36290.8, SCUR1_36290.9, SCUR1_36290.11
OG0002349	h1SMcT0016121.1, h1SMcT0016121.2	SCUR1_87520.4, SCUR1_87520.5, SCUR1_87590.1, SCUR1_87520.6
OG0002350	h1SMcT0002351.1, h1SMcT0002351.2	SCUR1_36690.1, SCUR1_36690.3, SCUR1_36690.4, SCUR1_36690.2
OG0002351	h1SMcT0022360.1	SCUR1_50990.1, SCUR1_50990.3, SCUR1_50990.4, SCUR1_50990.2
OG0002352	h1SMcT0010689.1	SCUR1_87110.1, SCUR1_87110.2
OG0002354	h1SMcT0007336.1	SCUR1_8160.1
OG0002355	h1SMcT0010573.1, h1SMcT0010573.3, h1SMcT0010573.4	SCUR1_72700.1, SCUR1_72700.2, SCUR1_72700.3
OG0002356	h1SMcT0014302.1	SCUR1_65230.1, SCUR1_65230.2, SCUR1_65230.3, SCUR1_65230.4
OG0002358	h1SMcT0002809.1	SCUR1_17580.1
OG0002360	h1SMcT0012731.8, h1SMcT0012731.6, h1SMcT0012731.1, h1SMcT0012731.3, h1SMcT0012731.5, h1SMcT0012731.4, h1SMcT0012731.7, h1SMcT0012731.2	SCUR1_75690.3, SCUR1_75690.2, SCUR1_75690.1
OG0002362	h1SMcT0007798.1	SCUR1_64940.3, SCUR1_64940.4, SCUR1_64940.2, SCUR1_64940.1
OG0002370	h1SMcT0005980.1, h1SMcT0014080.1	SCUR1_48090.1, SCUR1_46560.1, SCUR1_46560.2
OG0002371	h1SMcT0006096.1, h1SMcT0006096.2, h1SMcT0006096.3	SCUR1_1630.5, SCUR1_1630.1, SCUR1_1630.2, SCUR1_1630.6, SCUR1_1630.3, SCUR1_1630.4, SCUR1_1630.7
OG0002372	h1SMcT0010421.1, h1SMcT0010421.2	SCUR1_63470.1
OG0002373	h1SMcT0007083.1, h1SMcT0007083.2	SCUR1_75740.1
OG0002375	h1SMcT0020792.1	SCUR1_94050.1, SCUR1_94050.2, SCUR1_94050.3
OG0002376	h1SMcT0000438.1, h1SMcT0005953.1	SCUR1_71650.1, SCUR1_71650.3, SCUR1_71650.2
OG0002378	h1SMcT0020122.1	SCUR1_40100.1, SCUR1_40100.2
OG0002379	h1SMcT0016323.3, h1SMcT0016323.2, h1SMcT0016323.4, h1SMcT0003027.1, h1SMcT0021495.1	SCUR1_42970.1
OG0002380	h1SMcT0020946.1, h1SMcT0020946.2, h1SMcT0020946.3, h1SMcT0020946.4, h1SMcT0013682.1, h1SMcT0013682.2	SCUR1_21480.1, SCUR1_120.1, SCUR1_120.2
OG0002381	h1SMcT0008243.1, h1SMcT0015625.1, h1SMcT0015625.2	SCUR1_53690.1, SCUR1_53650.1
OG0002382	h1SMcT0006607.1	SCUR1_9820.1
OG0002383	h1SMcT0021172.2, h1SMcT0021172.1, h1SMcT0021172.3	SCUR1_52250.1
OG0002384	h1SMcT0006645.1	SCUR1_80120.1, SCUR1_80120.2, SCUR1_80120.3
OG0002385	h1SMcT0013231.1, h1SMcT0013231.2, h1SMcT0013231.4, h1SMcT0013231.3	SCUR1_28900.1, SCUR1_28900.2, SCUR1_28900.3, SCUR1_28900.4
OG0002386	h1SMcT0009058.1	SCUR1_33220.1
OG0002387	h1SMcT0007324.1	SCUR1_76660.4, SCUR1_76660.5, SCUR1_76660.1, SCUR1_76660.6, SCUR1_76660.2, SCUR1_76660.3
OG0002388	h1SMcT0002715.1	SCUR1_10770.1
OG0002389	h1SMcT0002783.1	SCUR1_87250.1
OG0002391	h1SMcT0018030.1	SCUR1_18730.1
OG0002392	h1SMcT0022464.1, h1SMcT0022464.2	SCUR1_89590.1
OG0002393	h1SMcT0014306.3, h1SMcT0014306.1, h1SMcT0014306.2, h1SMcT0014306.4, h1SMcT0014306.5	SCUR1_59290.1, SCUR1_59290.3, SCUR1_59290.4, SCUR1_59290.2
OG0002394	h1SMcT0004112.2, h1SMcT0010042.3, h1SMcT0010042.1, h1SMcT0010042.2	SCUR1_31110.1, SCUR1_31110.3, SCUR1_31120.1, SCUR1_31110.2
OG0002395	h1SMcT0000684.1	SCUR1_82530.1, SCUR1_82530.2
OG0002396	h1SMcT0010226.2	SCUR1_32910.1
OG0002397	h1SMcT0012291.2, h1SMcT0012632.1	SCUR1_78260.1, SCUR1_78240.1, SCUR1_78240.2
OG0002398	h1SMcT0009658.1	SCUR1_5360.1
OG0002399	h1SMcT0013275.1, h1SMcT0013278.1, h1SMcT0013300.1, h1SMcT0013277.1, h1SMcT0013300.2, h1SMcT0013301.1, h1SMcT0013301.2	SCUR1_41010.1, SCUR1_41010.2
OG0002400	h1SMcT0021531.1, h1SMcT0021531.2, h1SMcT0000827.1, h1SMcT0000827.2	SCUR1_3010.3, SCUR1_3010.1, SCUR1_3010.2
OG0002401	h1SMcT0012898.2, h1SMcT0012898.4, h1SMcT0012898.5, h1SMcT0012898.1, h1SMcT0012898.3, h1SMcT0012898.6	SCUR1_94660.1, SCUR1_99260.1, SCUR1_99260.2
OG0002402	h1SMcT0015596.1	SCUR1_19690.1, SCUR1_19690.2, SCUR1_19690.3, SCUR1_19690.4, SCUR1_19680.1
OG0002404	h1SMcT0008018.1, h1SMcT0008018.2	SCUR1_61880.1
OG0002405	h1SMcT0013341.3, h1SMcT0013341.1, h1SMcT0013341.2, h1SMcT0007593.6, h1SMcT0007593.10, h1SMcT0007593.2, h1SMcT0007593.7, h1SMcT0007593.3, h1SMcT0007593.9	SCUR1_1710.2, SCUR1_1710.1
OG0002406	h1SMcT0020213.1, h1SMcT0015337.1, h1SMcT0015337.2	SCUR1_8470.1
OG0002407	h1SMcT0000616.1, h1SMcT0019314.1	SCUR1_8020.1, SCUR1_8010.1
OG0002409	h1SMcT0013947.7, h1SMcT0013947.9, h1SMcT0013947.6, h1SMcT0013947.5, h1SMcT0013947.2, h1SMcT0013947.3, h1SMcT0013947.8, h1SMcT0013947.1, h1SMcT0013947.4	SCUR1_83590.3, SCUR1_83590.4, SCUR1_83590.6, SCUR1_83590.1, SCUR1_83590.5, SCUR1_83590.2
OG0002410	h1SMcT0020197.1	SCUR1_35610.1
OG0002411	h1SMcT0021022.2, h1SMcT0021022.1, h1SMcT0021022.3	SCUR1_87440.1, SCUR1_87440.2, SCUR1_87440.4, SCUR1_87440.3
OG0002412	h1SMcT0012066.1, h1SMcT0012066.2	SCUR1_29660.1, SCUR1_29660.2
OG0002414	h1SMcT0009741.1, h1SMcT0009741.2	SCUR1_55380.1, SCUR1_55380.2, SCUR1_55380.6, SCUR1_55380.3, SCUR1_55380.4, SCUR1_55380.5
OG0002415	h1SMcT0007973.1, h1SMcT0007973.2	SCUR1_20600.1, SCUR1_20600.2
OG0002416	h1SMcT0021814.1	SCUR1_40960.1
OG0002417	h1SMcT0003511.1	SCUR1_16280.1
OG0002418	h1SMcT0013080.1	SCUR1_33050.2, SCUR1_33050.1, SCUR1_33050.3
OG0002419	h1SMcT0014598.1, h1SMcT0014598.2	SCUR1_28760.1
OG0002420	h1SMcT0003130.1	SCUR1_33260.1
OG0002421	h1SMcT0006250.5, h1SMcT0006250.1, h1SMcT0006250.4, h1SMcT0006250.3, h1SMcT0006250.6, h1SMcT0006250.2	SCUR1_71010.1
OG0002423	h1SMcT0009133.1, h1SMcT0009133.2	SCUR1_69860.1
OG0002424	h1SMcT0005846.1, h1SMcT0009911.1	SCUR1_56080.1
OG0002425	h1SMcT0003507.1, h1SMcT0003507.2	SCUR1_34720.1
OG0002426	h1SMcT0008083.1	SCUR1_37070.6, SCUR1_37070.5, SCUR1_37070.1, SCUR1_37070.2, SCUR1_37070.3, SCUR1_37070.4
OG0002427	h1SMcT0002573.1	SCUR1_8460.1, SCUR1_8460.2
OG0002428	h1SMcT0016881.1, h1SMcT0016881.2, h1SMcT0016881.5, h1SMcT0016881.3, h1SMcT0016881.4	SCUR1_12640.1, SCUR1_12640.2
OG0002429	h1SMcT0013868.3, h1SMcT0013868.4, h1SMcT0013868.5, h1SMcT0013868.2, h1SMcT0013868.1	SCUR1_40140.1
OG0002432	h1SMcT0000704.1, h1SMcT0015714.2	SCUR1_60590.1
OG0002433	h1SMcT0004877.1, h1SMcT0004877.2	SCUR1_19420.1, SCUR1_19420.2, SCUR1_19420.3
OG0002434	h1SMcT0006596.1, h1SMcT0006596.4, h1SMcT0006596.2, h1SMcT0006596.3	SCUR1_35040.1, SCUR1_35040.4, SCUR1_35040.2, SCUR1_35040.5, SCUR1_35040.3, SCUR1_35040.8, SCUR1_35040.6, SCUR1_35040.7
OG0002435	h1SMcT0000430.1, h1SMcT0000430.2, h1SMcT0000430.3	SCUR1_28820.1, SCUR1_28820.2, SCUR1_28820.4, SCUR1_28820.3, SCUR1_28820.5, SCUR1_28820.6, SCUR1_28820.7, SCUR1_28820.8
OG0002436	h1SMcT0007974.1, h1SMcT0007974.2	SCUR1_22120.1, SCUR1_22130.1
OG0002438	h1SMcT0016532.1, h1SMcT0016532.2	SCUR1_33530.1, SCUR1_33530.3, SCUR1_33530.2
OG0002439	h1SMcT0017065.1, h1SMcT0017065.2	SCUR1_52820.2, SCUR1_52820.3, SCUR1_52820.5, SCUR1_52820.1, SCUR1_52820.4
OG0002440	h1SMcT0011245.1, h1SMcT0011243.1, h1SMcT0011244.1, h1SMcT0011243.2	SCUR1_68330.1
OG0002441	h1SMcT0017607.1	SCUR1_49090.1
OG0002442	h1SMcT0021217.1	SCUR1_42740.1
OG0002444	h1SMcT0010533.1, h1SMcT0010533.2	SCUR1_97940.1, SCUR1_57460.3, SCUR1_57460.1, SCUR1_57460.2
OG0002445	h1SMcT0007682.1, h1SMcT0007682.2	SCUR1_68380.2, SCUR1_68380.1, SCUR1_68380.3, SCUR1_68380.4
OG0002446	h1SMcT0008119.1, h1SMcT0009060.1, h1SMcT0009060.2	SCUR1_62380.1
OG0002447	h1SMcT0002270.1, h1SMcT0019754.1, h1SMcT0018085.1, h1SMcT0018085.2, h1SMcT0007521.1	SCUR1_7360.1
OG0002448	h1SMcT0005221.1, h1SMcT0005221.2	SCUR1_32320.1
OG0002449	h1SMcT0009151.1, h1SMcT0009151.3, h1SMcT0009151.2	SCUR1_18270.1
OG0002451	h1SMcT0016732.1	SCUR1_76230.1, SCUR1_71030.1
OG0002452	h1SMcT0021288.1, h1SMcT0005988.1, h1SMcT0005988.2	SCUR1_7850.2, SCUR1_7850.1, SCUR1_7850.3
OG0002453	h1SMcT0011066.1, h1SMcT0015802.1, h1SMcT0015802.2	SCUR1_47230.1, SCUR1_47230.3, SCUR1_47230.2, SCUR1_47230.4
OG0002454	h1SMcT0019181.1	SCUR1_66700.1
OG0002455	h1SMcT0011349.1, h1SMcT0011349.2	SCUR1_65710.1, SCUR1_65710.2, SCUR1_65710.3
OG0002456	h1SMcT0017974.1	SCUR1_32890.1, SCUR1_32890.2
OG0002457	h1SMcT0000488.1, h1SMcT0002117.1, h1SMcT0002117.2	SCUR1_70110.2, SCUR1_70110.3, SCUR1_70110.5, SCUR1_70110.6, SCUR1_70110.1, SCUR1_70110.4
OG0002458	h1SMcT0018752.1, h1SMcT0018752.2	SCUR1_83610.1
OG0002459	h1SMcT0008191.1	SCUR1_38330.2, SCUR1_38330.1, SCUR1_38330.3
OG0002460	h1SMcT0015521.1, h1SMcT0015521.2	SCUR1_8200.1
OG0002462	h1SMcT0022526.1	SCUR1_64040.2, SCUR1_64040.4, SCUR1_64040.5, SCUR1_64040.1, SCUR1_64040.3, SCUR1_64040.6
OG0002464	h1SMcT0013539.1	SCUR1_28150.1, SCUR1_28150.3, SCUR1_28150.2
OG0002465	h1SMcT0006425.1, h1SMcT0006425.2	SCUR1_82080.3, SCUR1_82080.4, SCUR1_82080.1, SCUR1_82080.2
OG0002466	h1SMcT0017450.1	SCUR1_92660.3, SCUR1_92660.1, SCUR1_92660.2
OG0002468	h1SMcT0009201.3, h1SMcT0009201.4, h1SMcT0009201.1, h1SMcT0009201.2	SCUR1_75250.1
OG0002469	h1SMcT0000489.1	SCUR1_4440.1, SCUR1_4440.2, SCUR1_4440.3
OG0002470	h1SMcT0000929.1	SCUR1_78580.2, SCUR1_78580.3, SCUR1_78580.1, SCUR1_78580.4
OG0002472	h1SMcT0002159.2, h1SMcT0002159.4, h1SMcT0002159.3, h1SMcT0002159.1	SCUR1_36960.1
OG0002473	h1SMcT0012944.1, h1SMcT0012944.2	SCUR1_9660.1
OG0002474	h1SMcT0004703.2, h1SMcT0004703.1, h1SMcT0004703.3	SCUR1_86740.1
OG0002478	h1SMcT0010239.1	SCUR1_51210.1, SCUR1_51210.2, SCUR1_51210.3
OG0002479	h1SMcT0016172.1	SCUR1_63270.1
OG0002481	h1SMcT0012221.3, h1SMcT0012221.4, h1SMcT0012221.5, h1SMcT0012221.1, h1SMcT0012221.2	SCUR1_6030.1
OG0002482	h1SMcT0020689.2, h1SMcT0020689.1, h1SMcT0020689.3	SCUR1_61600.2, SCUR1_61600.1, SCUR1_61600.3
OG0002483	h1SMcT0001493.1	SCUR1_20920.4, SCUR1_20920.6, SCUR1_20920.3, SCUR1_20920.5, SCUR1_20920.1, SCUR1_20920.2
OG0002484	h1SMcT0012410.1, h1SMcT0003351.1, h1SMcT0003352.1	SCUR1_23670.1, SCUR1_23670.2, SCUR1_23670.3
OG0002485	h1SMcT0020045.1, h1SMcT0016103.1, h1SMcT0016103.2	SCUR1_34420.1, SCUR1_34420.2, SCUR1_34420.3, SCUR1_34400.1
OG0002486	h1SMcT0015099.1, h1SMcT0015099.2	SCUR1_23780.3, SCUR1_23780.1, SCUR1_23780.2
OG0002487	h1SMcT0000887.1	SCUR1_79360.2, SCUR1_79360.3, SCUR1_79360.6, SCUR1_79360.5, SCUR1_79360.4, SCUR1_79360.1, SCUR1_100090.1
OG0002488	h1SMcT0008356.1, h1SMcT0008356.2, h1SMcT0003941.2, h1SMcT0003941.4, h1SMcT0003941.1, h1SMcT0003941.5, h1SMcT0003941.3	SCUR1_54840.1, SCUR1_54840.2
OG0002489	h1SMcT0008476.1	SCUR1_27330.2, SCUR1_27330.1
OG0002490	h1SMcT0014777.1	SCUR1_73470.3, SCUR1_73470.1, SCUR1_73470.2, SCUR1_73470.4
OG0002491	h1SMcT0006511.1, h1SMcT0006511.2, h1SMcT0006511.3, h1SMcT0006511.4	SCUR1_91700.1, SCUR1_91700.2, SCUR1_91700.3
OG0002492	h1SMcT0003303.1, h1SMcT0003303.2	SCUR1_74190.1, SCUR1_74190.2
OG0002493	h1SMcT0007628.1, h1SMcT0007628.2	SCUR1_63580.1
OG0002494	h1SMcT0001331.1, h1SMcT0003288.1, h1SMcT0003288.2	SCUR1_1530.1
OG0002495	h1SMcT0016730.2, h1SMcT0016730.1, h1SMcT0016730.3	SCUR1_14580.1, SCUR1_14580.2
OG0002496	h1SMcT0004789.2, h1SMcT0004789.3, h1SMcT0004789.1, h1SMcT0004789.4	SCUR1_43000.1
OG0002497	h1SMcT0007248.1	SCUR1_45860.1, SCUR1_45860.2
OG0002498	h1SMcT0022995.2, h1SMcT0012646.1, h1SMcT0012646.2, h1SMcT0022995.1	SCUR1_800.1
OG0002499	h1SMcT0002983.1	SCUR1_49600.1
OG0002500	h1SMcT0021401.1	SCUR1_240.1
OG0002501	h1SMcT0010875.1	SCUR1_9620.1
OG0002502	h1SMcT0007067.1	SCUR1_55730.1, SCUR1_55770.1
OG0002503	h1SMcT0014834.1, h1SMcT0018901.1, h1SMcT0018901.2	SCUR1_82560.1
OG0002504	h1SMcT0014436.1, h1SMcT0014436.2	SCUR1_23730.4, SCUR1_23730.5, SCUR1_23730.1, SCUR1_23730.2, SCUR1_23730.3
OG0002505	h1SMcT0002120.1, h1SMcT0002120.2	SCUR1_51530.1
OG0002506	h1SMcT0017018.1, h1SMcT0017018.2	SCUR1_34490.1
OG0002507	h1SMcT0015792.1	SCUR1_81930.1, SCUR1_81930.2, SCUR1_81930.3
OG0002508	h1SMcT0004619.1	SCUR1_63930.1
OG0002510	h1SMcT0013582.1	SCUR1_57670.1, SCUR1_57670.4, SCUR1_57670.2, SCUR1_57670.3
OG0002512	h1SMcT0010283.1, h1SMcT0010283.2, h1SMcT0015007.1	SCUR1_62780.3, SCUR1_62780.4, SCUR1_62790.2, SCUR1_62790.4, SCUR1_62780.1, SCUR1_62780.2, SCUR1_62790.1, SCUR1_62790.3
OG0002513	h1SMcT0002753.3, h1SMcT0002753.1, h1SMcT0002753.2	SCUR1_50620.1, SCUR1_50620.2
OG0002514	h1SMcT0009501.1	SCUR1_15980.1
OG0002516	h1SMcT0021466.2, h1SMcT0021466.5, h1SMcT0021466.3, h1SMcT0022719.1, h1SMcT0021466.6, h1SMcT0021466.1, h1SMcT0021466.4	SCUR1_76050.2, SCUR1_76050.3, SCUR1_76050.1, SCUR1_76050.4, SCUR1_76050.5
OG0002518	h1SMcT0007707.1, h1SMcT0007707.2, h1SMcT0007707.3, h1SMcT0007707.4, h1SMcT0007707.5, h1SMcT0007707.6, h1SMcT0007707.7, h1SMcT0007707.8, h1SMcT0007707.9	SCUR1_42840.1
OG0002527	h1SMcT0001728.1	SCUR1_41720.1, SCUR1_97100.1
OG0002528	h1SMcT0022210.1, h1SMcT0022210.2, h1SMcT0017479.1	SCUR1_93150.4, SCUR1_93150.5, SCUR1_93150.1, SCUR1_93150.2, SCUR1_93150.3, SCUR1_93150.6
OG0002529	h1SMcT0015803.4, h1SMcT0015803.2, h1SMcT0015803.3, h1SMcT0015803.1	SCUR1_55320.1
OG0002530	h1SMcT0008535.1	SCUR1_74070.1
OG0002531	h1SMcT0004078.1, h1SMcT0004078.3, h1SMcT0004078.2, h1SMcT0004078.4	SCUR1_27470.1, SCUR1_27470.2
OG0002532	h1SMcT0006830.1, h1SMcT0018958.1, h1SMcT0018958.2	SCUR1_70810.3, SCUR1_70810.4, SCUR1_70810.1, SCUR1_70810.2
OG0002533	h1SMcT0009116.1, h1SMcT0012022.1, h1SMcT0012022.2, h1SMcT0012902.1, h1SMcT0017428.1, h1SMcT0006855.1	SCUR1_65200.1, SCUR1_65210.1
OG0002534	h1SMcT0020061.1, h1SMcT0020073.1	SCUR1_96770.1
OG0002535	h1SMcT0003493.1	SCUR1_35600.1
OG0002536	h1SMcT0008209.1, h1SMcT0008209.2	SCUR1_13610.1
OG0002537	h1SMcT0004586.1, h1SMcT0004586.2, h1SMcT0004586.3	SCUR1_81790.1, SCUR1_81790.2
OG0002539	h1SMcT0007617.1, h1SMcT0007617.2, h1SMcT0007617.3, h1SMcT0015478.3, h1SMcT0015478.2, h1SMcT0015478.1	SCUR1_26370.1
OG0002540	h1SMcT0012068.1	SCUR1_39190.1
OG0002541	h1SMcT0002313.1, h1SMcT0002313.2	SCUR1_55560.1
OG0002542	h1SMcT0003716.1	SCUR1_88150.1, SCUR1_88150.2, SCUR1_88150.3, SCUR1_88150.4
OG0002543	h1SMcT0018262.1	SCUR1_29030.1
OG0002545	h1SMcT0014502.1	SCUR1_23560.4, SCUR1_23560.2, SCUR1_23560.3, SCUR1_23560.1
OG0002546	h1SMcT0012387.1	SCUR1_18170.1
OG0002547	h1SMcT0003464.2, h1SMcT0003464.4, h1SMcT0003464.3, h1SMcT0003464.1	SCUR1_94500.1
OG0002548	h1SMcT0000863.1, h1SMcT0017163.1	SCUR1_92300.1, SCUR1_92300.2, SCUR1_99720.1
OG0002550	h1SMcT0008576.1, h1SMcT0008576.2	SCUR1_95870.1, SCUR1_46980.1, SCUR1_46980.3, SCUR1_46980.2
OG0002551	h1SMcT0011949.1, h1SMcT0011949.2	SCUR1_31070.1
OG0002553	h1SMcT0010309.1, h1SMcT0014836.1	SCUR1_64230.2, SCUR1_64230.3, SCUR1_64230.1
OG0002554	h1SMcT0020161.1	SCUR1_58800.3, SCUR1_58800.1, SCUR1_58800.2
OG0002555	h1SMcT0006274.1	SCUR1_36090.1
OG0002556	h1SMcT0013294.1	SCUR1_20860.1, SCUR1_20860.2
OG0002557	h1SMcT0020892.1	SCUR1_42590.1, SCUR1_42590.2
OG0002560	h1SMcT0008463.1	SCUR1_87520.12, SCUR1_87780.1, SCUR1_87520.13, SCUR1_87520.14
OG0002561	h1SMcT0011247.1, h1SMcT0016617.1	SCUR1_9370.1
OG0002562	h1SMcT0018348.1	SCUR1_8870.1, SCUR1_8870.2, SCUR1_8870.3
OG0002563	h1SMcT0002794.1	SCUR1_61400.1, SCUR1_61390.1
OG0002566	h1SMcT0012384.1, h1SMcT0012384.2	SCUR1_64830.1
OG0002567	h1SMcT0021436.1, h1SMcT0021436.3, h1SMcT0021436.4, h1SMcT0021436.2	SCUR1_35510.1
OG0002568	h1SMcT0012509.10, h1SMcT0012509.3, h1SMcT0012509.4, h1SMcT0012509.7, h1SMcT0012509.5, h1SMcT0012509.6, h1SMcT0012509.9	SCUR1_63490.1
OG0002569	h1SMcT0012827.1, h1SMcT0012827.2	SCUR1_65520.1
OG0002570	h1SMcT0013991.1, h1SMcT0014653.1	SCUR1_31710.1
OG0002571	h1SMcT0004290.1, h1SMcT0004290.2, h1SMcT0021935.1	SCUR1_40430.1
OG0002572	h1SMcT0014417.1	SCUR1_59090.1, SCUR1_59090.2
OG0002573	h1SMcT0006230.1, h1SMcT0008035.1	SCUR1_24990.1
OG0002575	h1SMcT0002913.1, h1SMcT0010223.1, h1SMcT0014814.1, h1SMcT0018895.1, h1SMcT0018895.2	SCUR1_24130.1, SCUR1_23390.1, SCUR1_23470.1
OG0002576	h1SMcT0003439.1, h1SMcT0003439.2, h1SMcT0003439.3	SCUR1_78100.1
OG0002578	h1SMcT0021496.1, h1SMcT0021496.2, h1SMcT0021496.3	SCUR1_49330.1, SCUR1_49330.2, SCUR1_49330.3
OG0002579	h1SMcT0010133.1	SCUR1_92530.1, SCUR1_92510.1
OG0002580	h1SMcT0019844.1	SCUR1_59230.1
OG0002581	h1SMcT0022257.3, h1SMcT0022257.1, h1SMcT0022257.2, h1SMcT0007918.4, h1SMcT0007918.3, h1SMcT0007918.5, h1SMcT0007918.1, h1SMcT0007918.2	SCUR1_60420.1
OG0002582	h1SMcT0011505.1, h1SMcT0011505.2	SCUR1_35180.1, SCUR1_35180.3, SCUR1_35180.2
OG0002583	h1SMcT0020908.1, h1SMcT0020908.2, h1SMcT0020908.3	SCUR1_86540.5, SCUR1_86540.1, SCUR1_86540.7, SCUR1_86540.4, SCUR1_86540.3, SCUR1_86540.2, SCUR1_86540.6
OG0002584	h1SMcT0000515.1, h1SMcT0000515.2, h1SMcT0000515.3	SCUR1_39260.1
OG0002586	h1SMcT0004116.1	SCUR1_19060.1, SCUR1_19060.2
OG0002587	h1SMcT0010795.1, h1SMcT0010795.2	SCUR1_82000.1
OG0002588	h1SMcT0018144.1, h1SMcT0018144.2, h1SMcT0018144.5	SCUR1_100710.3, SCUR1_61100.2, SCUR1_100710.2, SCUR1_100710.4, SCUR1_61100.3, SCUR1_100710.1, SCUR1_61100.1
OG0002589	h1SMcT0004347.1	SCUR1_60920.1
OG0002590	h1SMcT0006472.1	SCUR1_75820.1
OG0002591	h1SMcT0011750.1, h1SMcT0011750.2, h1SMcT0011750.3, h1SMcT0004986.1, h1SMcT0004986.2	SCUR1_77900.1
OG0002592	h1SMcT0020368.1	SCUR1_27520.4, SCUR1_27520.5, SCUR1_27520.6, SCUR1_27520.7, SCUR1_27520.1, SCUR1_27520.3, SCUR1_27520.2
OG0002593	h1SMcT0010211.1, h1SMcT0010211.2	SCUR1_79300.1, SCUR1_79330.1, SCUR1_79310.1, SCUR1_79320.1
OG0002595	h1SMcT0004812.1	SCUR1_48500.1, SCUR1_48500.2
OG0002596	h1SMcT0010450.1, h1SMcT0010450.2	SCUR1_75520.3, SCUR1_75520.1, SCUR1_75520.2, SCUR1_75520.4, SCUR1_75520.5, SCUR1_75520.6, SCUR1_75520.7
OG0002597	h1SMcT0004058.3, h1SMcT0004058.5, h1SMcT0004058.4, h1SMcT0004058.2, h1SMcT0004058.1	SCUR1_13060.1, SCUR1_13060.4, SCUR1_13060.2, SCUR1_13060.3
OG0002598	h1SMcT0008181.1	SCUR1_34460.3, SCUR1_34460.4, SCUR1_34460.5, SCUR1_34460.1, SCUR1_34460.2
OG0002599	h1SMcT0002663.2, h1SMcT0002663.1, h1SMcT0015973.1, h1SMcT0015973.2	SCUR1_66200.1, SCUR1_66200.2
OG0002600	h1SMcT0008122.1	SCUR1_47590.3, SCUR1_47590.1, SCUR1_47590.2
OG0002602	h1SMcT0017114.1, h1SMcT0017114.2, h1SMcT0017115.1, h1SMcT0017115.2	SCUR1_21740.1
OG0002603	h1SMcT0016607.1, h1SMcT0016607.2, h1SMcT0016607.3	SCUR1_63050.1
OG0002604	h1SMcT0001279.4, h1SMcT0001279.2, h1SMcT0001279.1, h1SMcT0001279.3	SCUR1_2260.3, SCUR1_2260.1, SCUR1_2260.2
OG0002605	h1SMcT0000766.3, h1SMcT0000766.1, h1SMcT0000766.2	SCUR1_49480.1
OG0002606	h1SMcT0017551.1	SCUR1_84080.1, SCUR1_84080.2, SCUR1_84080.3, SCUR1_84080.4
OG0002607	h1SMcT0004356.1, h1SMcT0016360.1	SCUR1_33520.1
OG0002609	h1SMcT0000491.1, h1SMcT0021455.1	SCUR1_3810.1, SCUR1_3810.2, SCUR1_3810.3, SCUR1_3810.4, SCUR1_3810.5
OG0002610	h1SMcT0002019.1	SCUR1_42670.1
