Orthogroup	schmidtea_mediterranea	schistosoma_turkestanicum
OG0002798	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3	STRK1_75600.3, STRK1_75600.1, STRK1_75600.2
OG0002800	h1SMcT0017204.1, h1SMcT0017204.2	STRK1_76990.1, STRK1_76980.1
OG0002801	h1SMcT0004739.1	STRK1_6630.1
OG0002802	h1SMcT0013333.1, h1SMcT0013333.2	STRK1_85190.1, STRK1_85200.1
OG0002803	h1SMcT0003358.1	STRK1_26000.1
OG0002804	h1SMcT0016072.1, h1SMcT0016072.2	STRK1_106900.1, STRK1_104040.1, STRK1_41170.1, STRK1_41180.1, STRK1_41190.1, STRK1_41200.1
OG0002805	h1SMcT0021082.1	STRK1_53940.1, STRK1_102220.1
OG0002806	h1SMcT0004369.1, h1SMcT0004369.2	STRK1_108220.1, STRK1_66860.1, STRK1_68770.1
OG0002807	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2	STRK1_18760.1, STRK1_18770.1
OG0002808	h1SMcT0003897.1	STRK1_65250.1
OG0002809	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2	STRK1_79660.1
OG0002810	h1SMcT0007485.1, h1SMcT0007485.2	STRK1_35740.1
OG0002812	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3	STRK1_79280.1, STRK1_79290.1
OG0002813	h1SMcT0013510.1	STRK1_106870.1, STRK1_74930.1
OG0002814	h1SMcT0020082.1	STRK1_22190.1, STRK1_22190.2
OG0002816	h1SMcT0003753.1, h1SMcT0003753.2, h1SMcT0003753.3, h1SMcT0017894.1, h1SMcT0017894.2, h1SMcT0017894.3	STRK1_17680.1
OG0002817	h1SMcT0022064.1	STRK1_33760.1
OG0002818	h1SMcT0021904.2, h1SMcT0021904.1, h1SMcT0021904.3	STRK1_72200.1
OG0002819	h1SMcT0000992.1, h1SMcT0000992.2	STRK1_66570.3, STRK1_66570.1, STRK1_66570.2
OG0002821	h1SMcT0006182.1	STRK1_15990.1
OG0002822	h1SMcT0005549.1	STRK1_9190.1
OG0002823	h1SMcT0008134.1	STRK1_4680.1
OG0002824	h1SMcT0019939.1, h1SMcT0019939.2	STRK1_1660.1, STRK1_1670.1
OG0002825	h1SMcT0008532.1, h1SMcT0012833.4, h1SMcT0012833.8, h1SMcT0012833.7, h1SMcT0012833.3, h1SMcT0012833.9, h1SMcT0012833.1, h1SMcT0012833.5, h1SMcT0012833.10, h1SMcT0012833.2, h1SMcT0012833.6	STRK1_50500.1, STRK1_50500.2
OG0002826	h1SMcT0013331.1	STRK1_38910.1
OG0002827	h1SMcT0001920.1	STRK1_25510.1, STRK1_25510.2, STRK1_25510.3, STRK1_25510.4, STRK1_25510.5, STRK1_25510.6
OG0002828	h1SMcT0013393.1, h1SMcT0014439.1	STRK1_24360.1
OG0002829	h1SMcT0006187.1	STRK1_59940.1
OG0002830	h1SMcT0001922.1	STRK1_22120.1
OG0002831	h1SMcT0013023.1	STRK1_2910.1, STRK1_96310.1
OG0002832	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4	STRK1_78690.1, STRK1_102340.1
OG0002834	h1SMcT0011093.1, h1SMcT0019571.1	STRK1_16580.1, STRK1_16580.3, STRK1_16580.5, STRK1_16580.6, STRK1_16580.7, STRK1_16580.2, STRK1_16580.4
OG0002835	h1SMcT0001144.1, h1SMcT0001144.2	STRK1_88790.1, STRK1_97640.1
OG0002836	h1SMcT0019327.1	STRK1_22570.1, STRK1_22570.2
OG0002837	h1SMcT0014915.1	STRK1_2920.1
OG0002839	h1SMcT0006670.1, h1SMcT0006670.2	STRK1_69350.1
OG0002841	h1SMcT0006700.1, h1SMcT0017675.1, h1SMcT0017675.2	STRK1_107070.1, STRK1_52090.1
OG0002842	h1SMcT0004397.1	STRK1_69560.1
OG0002845	h1SMcT0021588.1, h1SMcT0021588.2	STRK1_10190.1
OG0002846	h1SMcT0021442.1, h1SMcT0021442.2	STRK1_17980.1, STRK1_17980.2
OG0002847	h1SMcT0004395.1	STRK1_55940.1
OG0002848	h1SMcT0001453.1, h1SMcT0014726.1, h1SMcT0014726.2	STRK1_60470.1, STRK1_60470.2, STRK1_60470.3, STRK1_60480.1
OG0002849	h1SMcT0016208.1, h1SMcT0016208.2	STRK1_11590.1, STRK1_11590.2, STRK1_11590.4, STRK1_11590.3
OG0002850	h1SMcT0007062.3, h1SMcT0007062.1, h1SMcT0007062.2	STRK1_61920.1, STRK1_61920.2, STRK1_61920.3
OG0002851	h1SMcT0000841.1	STRK1_86590.1
OG0002852	h1SMcT0003565.1, h1SMcT0003565.2	STRK1_11510.1
OG0002853	h1SMcT0000924.1, h1SMcT0000924.2	STRK1_71680.1, STRK1_71680.2, STRK1_71680.3, STRK1_71680.4, STRK1_71680.5
OG0002854	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5	STRK1_35530.1, STRK1_35530.2
OG0002855	h1SMcT0021886.1, h1SMcT0021886.2	STRK1_14030.1, STRK1_14030.3, STRK1_14030.5, STRK1_14030.4, STRK1_14030.2
OG0002856	h1SMcT0000988.1, h1SMcT0000988.2	STRK1_94300.1, STRK1_94300.2, STRK1_47730.1, STRK1_47730.2, STRK1_47730.3
OG0002857	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14	STRK1_64350.1, STRK1_64350.2
OG0002858	h1SMcT0011425.1, h1SMcT0011425.2	STRK1_9400.1
OG0002859	h1SMcT0010965.1, h1SMcT0010965.2	STRK1_59310.1, STRK1_59310.2
OG0002860	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2	STRK1_74550.1
OG0002861	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3	STRK1_88110.1, STRK1_97210.1
OG0002862	h1SMcT0014516.1	STRK1_62350.1
OG0002863	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2	STRK1_13810.1, STRK1_13800.1
OG0002864	h1SMcT0001560.1, h1SMcT0001560.2	STRK1_98110.2, STRK1_98110.1, STRK1_98110.3, STRK1_51710.3, STRK1_51710.6, STRK1_51710.4, STRK1_51710.8, STRK1_51710.1, STRK1_51710.7, STRK1_51710.2, STRK1_51710.5
OG0002866	h1SMcT0009506.1	STRK1_30530.1, STRK1_30550.1, STRK1_30570.1, STRK1_30560.1, STRK1_30540.1
OG0002868	h1SMcT0018668.1	STRK1_98750.1, STRK1_98750.2, STRK1_98860.1, STRK1_98850.1, STRK1_98850.2
OG0002869	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4	STRK1_1560.1
OG0002870	h1SMcT0019214.1	STRK1_45480.1
OG0002871	h1SMcT0016468.1, h1SMcT0016468.2, h1SMcT0020026.1	STRK1_43170.1, STRK1_43170.2
OG0002872	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3	STRK1_49630.1
OG0002873	h1SMcT0009651.1	STRK1_89190.1
OG0002874	h1SMcT0020479.1, h1SMcT0020479.2	STRK1_37970.1
OG0002875	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4	STRK1_52490.1
OG0002876	h1SMcT0007716.1	STRK1_68830.1
OG0002877	h1SMcT0007009.1	STRK1_59890.1, STRK1_59890.2
OG0002879	h1SMcT0011833.1, h1SMcT0011833.2	STRK1_4190.1
OG0002880	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4	STRK1_20420.1, STRK1_20420.2
OG0002881	h1SMcT0004996.1	STRK1_57150.1, STRK1_57150.4, STRK1_57150.2, STRK1_57150.3
OG0002883	h1SMcT0022337.1	STRK1_52550.1, STRK1_52550.2
OG0002884	h1SMcT0003205.1, h1SMcT0003205.2	STRK1_62160.1
OG0002885	h1SMcT0020452.1	STRK1_44820.1, STRK1_44820.2
OG0002889	h1SMcT0005077.1, h1SMcT0005077.2	STRK1_79360.3, STRK1_79360.1, STRK1_79360.2
OG0002902	h1SMcT0009500.1, h1SMcT0013191.1	STRK1_37720.1
OG0002903	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3	STRK1_69620.1, STRK1_69620.2, STRK1_69620.3
OG0002904	h1SMcT0012884.1, h1SMcT0012884.2	STRK1_20440.1
OG0002905	h1SMcT0004020.1	STRK1_104060.1, STRK1_106570.1
OG0002907	h1SMcT0014558.1	STRK1_15240.1
OG0002908	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4	STRK1_66480.1, STRK1_103670.1, STRK1_103670.2
OG0002910	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6	STRK1_2260.1
OG0002911	h1SMcT0017495.1, h1SMcT0017622.1	STRK1_4740.1, STRK1_4740.2, STRK1_4740.4, STRK1_4740.3
OG0002912	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1	STRK1_61910.3, STRK1_61910.1, STRK1_61910.2
OG0002913	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4	STRK1_9510.1
OG0002914	h1SMcT0014698.1, h1SMcT0016522.1	STRK1_14620.1, STRK1_14620.2, STRK1_14620.3, STRK1_14620.4
OG0002915	h1SMcT0007240.1, h1SMcT0007240.2	STRK1_99900.1, STRK1_74580.1, STRK1_74580.2
OG0002916	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4	STRK1_13750.1
OG0002917	h1SMcT0020733.1, h1SMcT0002931.1	STRK1_21270.1, STRK1_21270.2, STRK1_21270.3
OG0002918	h1SMcT0022319.1	STRK1_78630.1, STRK1_97130.1
OG0002921	h1SMcT0009277.1	STRK1_93420.1, STRK1_93420.2
OG0002922	h1SMcT0003698.1	STRK1_72880.1
OG0002925	h1SMcT0015505.1	STRK1_7880.1, STRK1_7880.2
OG0002928	h1SMcT0017861.1, h1SMcT0017861.2	STRK1_70850.1
OG0002929	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3	STRK1_21070.1, STRK1_21070.2, STRK1_21060.1, STRK1_98440.1
OG0002930	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2	STRK1_38690.1
OG0002931	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2	STRK1_1650.1
OG0002932	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3	STRK1_42420.1, STRK1_42400.1, STRK1_88480.1
OG0002934	h1SMcT0015709.1, h1SMcT0015709.2	STRK1_94920.4, STRK1_94920.7, STRK1_94920.1, STRK1_94920.3, STRK1_94920.6, STRK1_94920.2, STRK1_94920.5
OG0002936	h1SMcT0008577.1, h1SMcT0008577.2	STRK1_44750.1
OG0002938	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3	STRK1_77370.1
OG0002939	h1SMcT0009984.1	STRK1_8450.1, STRK1_8450.2
OG0002942	h1SMcT0009114.1	STRK1_73250.1, STRK1_73260.1
OG0002943	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5	STRK1_73230.1
OG0002944	h1SMcT0022414.1	STRK1_13670.1
OG0002945	h1SMcT0021889.1	STRK1_74890.1
OG0002947	h1SMcT0015902.1, h1SMcT0015902.2	STRK1_88560.1, STRK1_108130.1
OG0002948	h1SMcT0021089.1, h1SMcT0021089.2	STRK1_61340.1
OG0002949	h1SMcT0009486.1	STRK1_27550.1
OG0002950	h1SMcT0007052.1	STRK1_67980.1
OG0002951	h1SMcT0010433.1, h1SMcT0010433.2	STRK1_33170.1, STRK1_33170.2, STRK1_33170.3, STRK1_33170.4, STRK1_33170.5, STRK1_33170.6, STRK1_33170.7, STRK1_33170.8
OG0002953	h1SMcT0002670.1, h1SMcT0015965.1	STRK1_16820.1
OG0002954	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3	STRK1_58090.1
OG0002955	h1SMcT0017042.1	STRK1_72720.2, STRK1_72720.1, STRK1_75050.1, STRK1_75050.2
OG0002956	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2	STRK1_90840.1
OG0002958	h1SMcT0021861.1, h1SMcT0021861.2	STRK1_64630.1, STRK1_64630.2
OG0002959	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3	STRK1_84900.1
OG0002960	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1	STRK1_50570.1, STRK1_97600.1
OG0002961	h1SMcT0011634.1, h1SMcT0011634.2	STRK1_3860.1
OG0002962	h1SMcT0003796.1	STRK1_62900.1
OG0002963	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2	STRK1_11330.1
OG0002964	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3	STRK1_23030.1
OG0002967	h1SMcT0003658.1	STRK1_60370.1
OG0002969	h1SMcT0017175.1	STRK1_47080.1, STRK1_97540.1
OG0002971	h1SMcT0017152.1	STRK1_64450.1
OG0002972	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4	STRK1_65580.1
OG0002973	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2	STRK1_50770.1
OG0002974	h1SMcT0008277.1	STRK1_27850.1, STRK1_27860.1
OG0002975	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2	STRK1_32790.1
OG0002976	h1SMcT0004422.1	STRK1_63970.1
OG0002977	h1SMcT0003763.1	STRK1_12960.1
OG0002978	h1SMcT0014459.1, h1SMcT0014461.1, h1SMcT0014464.1, h1SMcT0009665.1, h1SMcT0009668.1, h1SMcT0009668.2, h1SMcT0014465.1, h1SMcT0009667.1, h1SMcT0014458.1, h1SMcT0014448.1, h1SMcT0014451.1, h1SMcT0014453.1, h1SMcT0014454.1, h1SMcT0014454.2, h1SMcT0014454.3, h1SMcT0014455.1	STRK1_20720.1
OG0002979	h1SMcT0019481.1	STRK1_20060.1, STRK1_20060.2
OG0002981	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2	STRK1_72010.1
OG0002983	h1SMcT0017079.1	STRK1_23550.1
OG0002984	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2	STRK1_8100.1, STRK1_8100.2
OG0002985	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3	STRK1_1480.1
OG0002986	h1SMcT0009242.1, h1SMcT0009242.2	STRK1_9420.1
OG0002988	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3	STRK1_92260.1
OG0002989	h1SMcT0011055.1	STRK1_101630.1, STRK1_49780.1
OG0002991	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1	STRK1_31770.1
OG0002992	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4	STRK1_75860.1, STRK1_75870.1
OG0002993	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3	STRK1_41930.1, STRK1_41920.1, STRK1_81170.1, STRK1_81160.1
OG0002995	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3	STRK1_99310.1, STRK1_87490.1
OG0002996	h1SMcT0005458.1	STRK1_4780.1, STRK1_4780.2, STRK1_4780.3, STRK1_4780.4
OG0002997	h1SMcT0018267.1	STRK1_35350.1
OG0002998	h1SMcT0006805.1	STRK1_42810.1
OG0002999	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2	STRK1_61470.1
OG0003001	h1SMcT0021432.1	STRK1_25820.1, STRK1_25830.1
OG0003002	h1SMcT0017011.1	STRK1_5430.1, STRK1_5430.2, STRK1_5430.3, STRK1_5430.4
OG0003003	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2	STRK1_92120.1
OG0003004	h1SMcT0022793.1, h1SMcT0021479.3, h1SMcT0021479.4, h1SMcT0021479.1, h1SMcT0021479.2, h1SMcT0022793.2	STRK1_107670.1, STRK1_71930.1
OG0003005	h1SMcT0007903.1, h1SMcT0007903.2	STRK1_46090.1, STRK1_46090.2, STRK1_46090.3
OG0003006	h1SMcT0014506.1	STRK1_82100.1
OG0003007	h1SMcT0015078.1	STRK1_60400.1
OG0003009	h1SMcT0001412.1, h1SMcT0001412.2, h1SMcT0001412.3	STRK1_6130.1
OG0003010	h1SMcT0021914.1, h1SMcT0021914.2, h1SMcT0021327.3, h1SMcT0021327.5, h1SMcT0021327.4, h1SMcT0021327.6	STRK1_68700.1
OG0003011	h1SMcT0010357.1	STRK1_29670.1
OG0003012	h1SMcT0018119.1	STRK1_60770.1
OG0003014	h1SMcT0005268.1	STRK1_81370.1
OG0003015	h1SMcT0019089.2, h1SMcT0019089.1, h1SMcT0019089.3	STRK1_40560.1, STRK1_40560.2, STRK1_40560.3
OG0003016	h1SMcT0006828.1, h1SMcT0006828.2, h1SMcT0006828.3, h1SMcT0006828.4	STRK1_73360.1
OG0003017	h1SMcT0006801.1, h1SMcT0007267.1	STRK1_48570.1
OG0003018	h1SMcT0016671.1, h1SMcT0016671.2	STRK1_91050.1
OG0003019	h1SMcT0004932.4, h1SMcT0004932.3, h1SMcT0004932.2, h1SMcT0004932.1	STRK1_73750.2, STRK1_73750.1, STRK1_73750.3
OG0003021	h1SMcT0002696.1, h1SMcT0002696.2	STRK1_81350.1, STRK1_108350.1, STRK1_98370.1, STRK1_81120.1
OG0003023	h1SMcT0005078.1, h1SMcT0005078.2	STRK1_81450.1, STRK1_81450.2, STRK1_81460.1, STRK1_81480.1, STRK1_81480.2
OG0003024	h1SMcT0020338.1	STRK1_74940.1
OG0003028	h1SMcT0020044.1	STRK1_9460.1, STRK1_9460.2, STRK1_9460.3, STRK1_9460.4, STRK1_9460.5
OG0003029	h1SMcT0015062.1	STRK1_79460.1, STRK1_79460.2
OG0003030	h1SMcT0001941.1, h1SMcT0001941.2	STRK1_17670.1
OG0003031	h1SMcT0014296.1, h1SMcT0014296.2	STRK1_111380.1, STRK1_111380.2, STRK1_111380.3
OG0003032	h1SMcT0005960.1, h1SMcT0005892.1, h1SMcT0005892.2	STRK1_57380.1
OG0003033	h1SMcT0011480.1, h1SMcT0011480.3, h1SMcT0011480.2	STRK1_44900.1
OG0003034	h1SMcT0011192.1	STRK1_80200.1
OG0003036	h1SMcT0012716.1	STRK1_81520.1
OG0003037	h1SMcT0006277.1, h1SMcT0006277.2	STRK1_110350.1, STRK1_109190.1, STRK1_110360.1, STRK1_97560.2, STRK1_97560.3, STRK1_97560.1, STRK1_105730.1
OG0003038	h1SMcT0020116.1	STRK1_46550.1, STRK1_46550.2
OG0003039	h1SMcT0011776.1, h1SMcT0011776.2	STRK1_99980.1, STRK1_43770.1, STRK1_43770.2, STRK1_43730.1, STRK1_43760.1, STRK1_43760.2, STRK1_99970.1, STRK1_43750.1, STRK1_43980.3, STRK1_43980.1, STRK1_43980.2
OG0003041	h1SMcT0021330.1	STRK1_34170.1
OG0003042	h1SMcT0014097.2, h1SMcT0014097.3, h1SMcT0014097.1, h1SMcT0014097.4	STRK1_38960.1
OG0003043	h1SMcT0001787.1	STRK1_45940.1
OG0003044	h1SMcT0017159.2, h1SMcT0017159.4, h1SMcT0017159.1, h1SMcT0017159.3	STRK1_13160.1
OG0003045	h1SMcT0002072.1, h1SMcT0002072.2, h1SMcT0002072.3, h1SMcT0002072.4	STRK1_51930.1
OG0003046	h1SMcT0000855.1	STRK1_51920.1
OG0003047	h1SMcT0007558.1, h1SMcT0007558.2	STRK1_8260.1
OG0003048	h1SMcT0011197.1, h1SMcT0011197.2	STRK1_43490.1
OG0003049	h1SMcT0020453.1, h1SMcT0016153.1, h1SMcT0016153.2	STRK1_43500.1
OG0003050	h1SMcT0005152.5, h1SMcT0005152.3, h1SMcT0005152.1, h1SMcT0005152.4, h1SMcT0005152.2	STRK1_106350.1, STRK1_73110.1
OG0003051	h1SMcT0007990.2, h1SMcT0007990.5, h1SMcT0007990.3, h1SMcT0007990.1, h1SMcT0007990.4, h1SMcT0007990.7, h1SMcT0007990.6	STRK1_24060.1
OG0003052	h1SMcT0016002.1, h1SMcT0016002.2, h1SMcT0016002.3	STRK1_61980.1, STRK1_61980.2, STRK1_61980.3
OG0003053	h1SMcT0016931.1, h1SMcT0016931.2, h1SMcT0016931.3	STRK1_26230.1
OG0003054	h1SMcT0018675.1, h1SMcT0004016.1, h1SMcT0004016.2, h1SMcT0004016.4, h1SMcT0004016.3, h1SMcT0006537.1, h1SMcT0020138.1	STRK1_12140.1, STRK1_12140.2, STRK1_12140.3
OG0003055	h1SMcT0019134.1	STRK1_54260.1, STRK1_54240.1, STRK1_54240.4, STRK1_54240.2, STRK1_54240.3, STRK1_99700.1
OG0003056	h1SMcT0003979.1	STRK1_12260.1, STRK1_12260.2
OG0003058	h1SMcT0003333.1, h1SMcT0003333.2	STRK1_89300.2, STRK1_89300.1, STRK1_89300.3
OG0003059	h1SMcT0008347.1, h1SMcT0008347.4, h1SMcT0008347.3, h1SMcT0008347.2	STRK1_30790.1
OG0003060	h1SMcT0011744.1, h1SMcT0011744.2, h1SMcT0011744.5, h1SMcT0011744.6, h1SMcT0011744.3, h1SMcT0011744.4	STRK1_46370.1, STRK1_46360.1, STRK1_46380.1
OG0003062	h1SMcT0013915.1	STRK1_97770.1, STRK1_86720.1
OG0003063	h1SMcT0012821.1, h1SMcT0012821.2, h1SMcT0012805.1, h1SMcT0012806.1	STRK1_13420.1
OG0003064	h1SMcT0008163.1	STRK1_13140.1
OG0003065	h1SMcT0000333.1	STRK1_20620.1
OG0003066	h1SMcT0011449.1, h1SMcT0011449.2	STRK1_90430.1
OG0003067	h1SMcT0005008.1	STRK1_23400.1, STRK1_23400.2, STRK1_23400.3
OG0003068	h1SMcT0022311.1, h1SMcT0022311.3, h1SMcT0022311.2	STRK1_103500.1, STRK1_71050.1, STRK1_103490.1
OG0003070	h1SMcT0003629.1, h1SMcT0003629.2	STRK1_30480.1
OG0003072	h1SMcT0001100.1, h1SMcT0001100.2, h1SMcT0001100.4, h1SMcT0001100.3, h1SMcT0019338.1, h1SMcT0019338.2, h1SMcT0004692.1, h1SMcT0004692.4, h1SMcT0004692.2, h1SMcT0004692.3	STRK1_108070.1, STRK1_98550.1
OG0003073	h1SMcT0011150.1, h1SMcT0015836.1, h1SMcT0015836.2, h1SMcT0015836.4, h1SMcT0015836.3, h1SMcT0015837.1, h1SMcT0015837.3, h1SMcT0015837.2, h1SMcT0015841.2, h1SMcT0015841.1, h1SMcT0015841.3, h1SMcT0015841.4, h1SMcT0012715.3, h1SMcT0012715.2, h1SMcT0012715.1, h1SMcT0001252.1	STRK1_58860.1
OG0003074	h1SMcT0004065.1	STRK1_102980.1, STRK1_56320.1, STRK1_56320.2
OG0003076	h1SMcT0015937.1, h1SMcT0015937.7, h1SMcT0015937.6, h1SMcT0015937.2, h1SMcT0015937.3, h1SMcT0015937.4, h1SMcT0015937.5	STRK1_56470.1, STRK1_98720.1
OG0003080	h1SMcT0008762.1, h1SMcT0008762.2, h1SMcT0008762.5, h1SMcT0008762.3, h1SMcT0008762.4	STRK1_10280.1
OG0003081	h1SMcT0017491.1	STRK1_4960.1
OG0003083	h1SMcT0003189.1, h1SMcT0003189.2	STRK1_77180.1, STRK1_77180.2
OG0003086	h1SMcT0007745.1, h1SMcT0007745.2	STRK1_108760.1, STRK1_59010.1, STRK1_99570.1
OG0003087	h1SMcT0013897.1, h1SMcT0013897.2, h1SMcT0006048.1, h1SMcT0011537.3, h1SMcT0011537.2, h1SMcT0011537.1, h1SMcT0004969.1, h1SMcT0004969.2, h1SMcT0004969.3, h1SMcT0014223.1	STRK1_92500.1
OG0003089	h1SMcT0013279.2, h1SMcT0013279.1, h1SMcT0013268.1, h1SMcT0013268.2, h1SMcT0013281.1	STRK1_2170.1
OG0003099	h1SMcT0010063.1	STRK1_40830.1, STRK1_40830.2
OG0003107	h1SMcT0015377.1	STRK1_54050.1
OG0003108	h1SMcT0015502.1	STRK1_26420.1
OG0003109	h1SMcT0008651.1	STRK1_4490.1
OG0003110	h1SMcT0012449.1, h1SMcT0012449.2	STRK1_11110.1
OG0003111	h1SMcT0011575.1	STRK1_105540.1, STRK1_105540.2, STRK1_105540.3
OG0003114	h1SMcT0005694.2, h1SMcT0005694.4, h1SMcT0005694.3, h1SMcT0005694.1, h1SMcT0005694.5, h1SMcT0005694.6	STRK1_84910.1, STRK1_99750.1
OG0003115	h1SMcT0000128.5, h1SMcT0000128.2, h1SMcT0000128.3, h1SMcT0000128.1, h1SMcT0000128.4	STRK1_75100.1
OG0003116	h1SMcT0014809.1	STRK1_87870.1
OG0003118	h1SMcT0010890.1, h1SMcT0010890.2	STRK1_100140.1, STRK1_100150.1
OG0003121	h1SMcT0012547.1, h1SMcT0012547.2	STRK1_1010.1, STRK1_1020.1
OG0003124	h1SMcT0007756.1, h1SMcT0007756.2	STRK1_88360.1, STRK1_88360.2, STRK1_88360.3, STRK1_88360.4
OG0003125	h1SMcT0016907.1, h1SMcT0016907.2	STRK1_75740.1
OG0003127	h1SMcT0015110.1, h1SMcT0019913.1	STRK1_83470.1, STRK1_96020.1
OG0003128	h1SMcT0018724.1	STRK1_80120.1
OG0003129	h1SMcT0002450.1, h1SMcT0002450.2	STRK1_17210.1
OG0003131	h1SMcT0000664.1	STRK1_70160.1
OG0003133	h1SMcT0020070.1, h1SMcT0020070.2	STRK1_57070.1
OG0003135	h1SMcT0016694.1, h1SMcT0016694.2, h1SMcT0016694.3	STRK1_31160.1
OG0003136	h1SMcT0004061.1, h1SMcT0004061.2	STRK1_9550.1, STRK1_9550.2, STRK1_9550.3
OG0003137	h1SMcT0019913.6, h1SMcT0019913.5, h1SMcT0019913.2, h1SMcT0019913.3, h1SMcT0019913.4	STRK1_79990.1
OG0003138	h1SMcT0011089.1	STRK1_85960.1
OG0003140	h1SMcT0003323.2, h1SMcT0004572.1, h1SMcT0006058.1	STRK1_29020.2, STRK1_29020.1
OG0003141	h1SMcT0007365.1, h1SMcT0007366.1	STRK1_60790.1, STRK1_60790.2, STRK1_60790.3
OG0003142	h1SMcT0018040.1	STRK1_71250.1
OG0003145	h1SMcT0010125.1, h1SMcT0010125.2, h1SMcT0010125.3	STRK1_18100.1
