Orthogroup	schmidtea_mediterranea	schistosoma_bovis
OG0002828	h1SMcT0013393.1, h1SMcT0014439.1	SBOV2_39500.1, SBOV2_39490.1
OG0002829	h1SMcT0006187.1	SBOV2_60260.1
OG0002830	h1SMcT0001922.1	SBOV2_22970.1, SBOV2_22970.4, SBOV2_22970.2, SBOV2_22970.3
OG0002831	h1SMcT0013023.1	SBOV2_15240.1
OG0002832	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4	SBOV2_80540.2, SBOV2_80540.1
OG0002834	h1SMcT0011093.1, h1SMcT0019571.1	SBOV2_3620.1, SBOV2_3620.2
OG0002835	h1SMcT0001144.1, h1SMcT0001144.2	SBOV2_90580.1
OG0002836	h1SMcT0019327.1	SBOV2_25110.2, SBOV2_25110.3, SBOV2_25110.1, SBOV2_25110.4
OG0002837	h1SMcT0014915.1	SBOV2_15250.1
OG0002839	h1SMcT0006670.1, h1SMcT0006670.2	SBOV2_70800.3, SBOV2_70800.1, SBOV2_70800.2, SBOV2_70800.4
OG0002841	h1SMcT0006700.1, h1SMcT0017675.1, h1SMcT0017675.2	SBOV2_54780.1, SBOV2_54770.2, SBOV2_54770.3, SBOV2_54770.5, SBOV2_54770.4
OG0002842	h1SMcT0004397.1	SBOV2_71060.1
OG0002845	h1SMcT0021588.1, h1SMcT0021588.2	SBOV2_10660.1
OG0002846	h1SMcT0021442.1, h1SMcT0021442.2	SBOV2_19220.1, SBOV2_19220.2
OG0002847	h1SMcT0004395.1	SBOV2_57340.1, SBOV2_57340.2
OG0002848	h1SMcT0001453.1, h1SMcT0014726.1, h1SMcT0014726.2	SBOV2_60810.1
OG0002849	h1SMcT0016208.1, h1SMcT0016208.2	SBOV2_13340.3, SBOV2_13340.1, SBOV2_13340.5, SBOV2_13340.2, SBOV2_13340.4
OG0002850	h1SMcT0007062.3, h1SMcT0007062.1, h1SMcT0007062.2	SBOV2_64360.1
OG0002851	h1SMcT0000841.1	SBOV2_88490.1
OG0002852	h1SMcT0003565.1, h1SMcT0003565.2	SBOV2_13440.1, SBOV2_13440.6, SBOV2_13440.4, SBOV2_13440.5, SBOV2_13440.2, SBOV2_13440.3
OG0002853	h1SMcT0000924.1, h1SMcT0000924.2	SBOV2_72390.1, SBOV2_72390.2, SBOV2_72390.3
OG0002854	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5	SBOV2_33110.1
OG0002855	h1SMcT0021886.1, h1SMcT0021886.2	SBOV2_16630.1, SBOV2_16630.2
OG0002856	h1SMcT0000988.1, h1SMcT0000988.2	SBOV2_52210.1
OG0002857	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14	SBOV2_62690.1
OG0002858	h1SMcT0011425.1, h1SMcT0011425.2	SBOV2_9750.4, SBOV2_9750.1, SBOV2_9750.2, SBOV2_9750.3
OG0002859	h1SMcT0010965.1, h1SMcT0010965.2	SBOV2_62360.1, SBOV2_62360.2, SBOV2_62360.3, SBOV2_62360.4, SBOV2_62360.5
OG0002860	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2	SBOV2_76430.2, SBOV2_76430.1
OG0002861	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3	SBOV2_87170.1
OG0002862	h1SMcT0014516.1	SBOV2_64760.2, SBOV2_64760.1
OG0002863	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2	SBOV2_16850.1, SBOV2_16860.1
OG0002864	h1SMcT0001560.1, h1SMcT0001560.2	SBOV2_51780.1
OG0002866	h1SMcT0009506.1	SBOV2_31900.1, SBOV2_31900.2
OG0002868	h1SMcT0018668.1	SBOV2_86290.1, SBOV2_86290.2
OG0002869	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4	SBOV2_2090.1
OG0002870	h1SMcT0019214.1	SBOV2_46860.1, SBOV2_46860.2
OG0002871	h1SMcT0016468.1, h1SMcT0016468.2, h1SMcT0020026.1	SBOV2_44300.1
OG0002872	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3	SBOV2_48940.1, SBOV2_48940.3, SBOV2_48940.2
OG0002873	h1SMcT0009651.1	SBOV2_90870.1
OG0002874	h1SMcT0020479.1, h1SMcT0020479.2	SBOV2_28170.1, SBOV2_28170.2
OG0002875	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4	SBOV2_54400.1
OG0002876	h1SMcT0007716.1	SBOV2_70270.2, SBOV2_70270.1, SBOV2_70270.3
OG0002877	h1SMcT0007009.1	SBOV2_60210.1
OG0002880	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4	SBOV2_21190.1
OG0002881	h1SMcT0004996.1	SBOV2_58740.1
OG0002883	h1SMcT0022337.1	SBOV2_54300.1, SBOV2_54300.2, SBOV2_54300.3
OG0002884	h1SMcT0003205.1, h1SMcT0003205.2	SBOV2_64600.3, SBOV2_64600.4, SBOV2_64600.1, SBOV2_64600.2
OG0002885	h1SMcT0020452.1	SBOV2_46120.1, SBOV2_46120.2
OG0002889	h1SMcT0005077.1, h1SMcT0005077.2	SBOV2_81300.4, SBOV2_81300.3, SBOV2_81300.1, SBOV2_81310.1, SBOV2_81300.2, SBOV2_81300.5, SBOV2_81300.6
OG0002902	h1SMcT0009500.1, h1SMcT0013191.1	SBOV2_28480.3, SBOV2_28480.2, SBOV2_28480.1
OG0002903	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3	SBOV2_71110.1
OG0002904	h1SMcT0012884.1, h1SMcT0012884.2	SBOV2_21720.1
OG0002905	h1SMcT0004020.1	SBOV2_65980.3, SBOV2_65980.1, SBOV2_65980.4, SBOV2_65980.5, SBOV2_65980.2
OG0002907	h1SMcT0014558.1	SBOV2_5390.1, SBOV2_5390.2, SBOV2_5390.3
OG0002908	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4	SBOV2_68100.1, SBOV2_68100.2
OG0002910	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6	SBOV2_18000.1
OG0002912	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1	SBOV2_64340.3, SBOV2_64340.1, SBOV2_64340.2, SBOV2_64350.3, SBOV2_64350.1, SBOV2_64350.2
OG0002913	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4	SBOV2_9900.1, SBOV2_9900.2
OG0002914	h1SMcT0014698.1, h1SMcT0016522.1	SBOV2_15990.1
OG0002915	h1SMcT0007240.1, h1SMcT0007240.2	SBOV2_76480.1
OG0002916	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4	SBOV2_16910.1, SBOV2_16910.2
OG0002917	h1SMcT0020733.1, h1SMcT0002931.1	SBOV2_22490.1
OG0002918	h1SMcT0022319.1	SBOV2_80510.2, SBOV2_80510.3, SBOV2_80510.1
OG0002921	h1SMcT0009277.1	SBOV2_94060.1, SBOV2_94060.2
OG0002922	h1SMcT0003698.1	SBOV2_75520.3, SBOV2_75520.2, SBOV2_75520.1
OG0002925	h1SMcT0015505.1	SBOV2_12320.1, SBOV2_12320.3, SBOV2_12320.4, SBOV2_12320.5, SBOV2_12320.2
OG0002928	h1SMcT0017861.1, h1SMcT0017861.2	SBOV2_74070.1
OG0002929	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3	SBOV2_21990.1
OG0002930	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2	SBOV2_27290.1
OG0002931	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2	SBOV2_1970.1
OG0002932	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3	SBOV2_44180.1, SBOV2_44170.1
OG0002934	h1SMcT0015709.1, h1SMcT0015709.2	SBOV2_92190.1
OG0002936	h1SMcT0008577.1, h1SMcT0008577.2	SBOV2_46060.1
OG0002938	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3	SBOV2_78160.1
OG0002939	h1SMcT0009984.1	SBOV2_12850.1
OG0002942	h1SMcT0009114.1	SBOV2_77480.1, SBOV2_77460.1
OG0002943	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5	SBOV2_77510.1, SBOV2_77510.2, SBOV2_77510.4, SBOV2_77510.3
OG0002944	h1SMcT0022414.1	SBOV2_16960.1
OG0002945	h1SMcT0021889.1	SBOV2_76800.1, SBOV2_76800.2
OG0002947	h1SMcT0015902.1, h1SMcT0015902.2	SBOV2_88650.1, SBOV2_88660.1, SBOV2_88650.2, SBOV2_88650.3
OG0002948	h1SMcT0021089.1, h1SMcT0021089.2	SBOV2_60130.1
OG0002949	h1SMcT0009486.1	SBOV2_33560.2, SBOV2_33560.1, SBOV2_33560.3
OG0002950	h1SMcT0007052.1	SBOV2_69540.1
OG0002951	h1SMcT0010433.1, h1SMcT0010433.2	SBOV2_29860.1, SBOV2_29860.2
OG0002953	h1SMcT0002670.1, h1SMcT0015965.1	SBOV2_3330.1, SBOV2_3330.2, SBOV2_3330.3, SBOV2_3330.4
OG0002954	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3	SBOV2_59600.1
OG0002955	h1SMcT0017042.1	SBOV2_72900.2, SBOV2_72900.1
OG0002956	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2	SBOV2_93790.1
OG0002958	h1SMcT0021861.1, h1SMcT0021861.2	SBOV2_66430.1, SBOV2_66430.2
OG0002959	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3	SBOV2_86270.1, SBOV2_86270.2
OG0002960	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1	SBOV2_48070.3, SBOV2_48070.4, SBOV2_48070.1, SBOV2_48070.2
OG0002961	h1SMcT0011634.1, h1SMcT0011634.2	SBOV2_18590.1
OG0002962	h1SMcT0003796.1	SBOV2_66010.1
OG0002963	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2	SBOV2_13640.4, SBOV2_13640.1, SBOV2_13640.2, SBOV2_13640.3
OG0002964	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3	SBOV2_24690.1, SBOV2_24690.2
OG0002967	h1SMcT0003658.1	SBOV2_60690.1
OG0002969	h1SMcT0017175.1	SBOV2_52840.1
OG0002971	h1SMcT0017152.1	SBOV2_62590.4, SBOV2_62590.2, SBOV2_62590.5, SBOV2_62590.3, SBOV2_62590.1
OG0002972	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4	SBOV2_61310.1, SBOV2_61310.3, SBOV2_61310.4, SBOV2_61310.2
OG0002973	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2	SBOV2_47890.1
OG0002974	h1SMcT0008277.1	SBOV2_35130.3, SBOV2_35130.1, SBOV2_35130.2
OG0002975	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2	SBOV2_29440.1
OG0002976	h1SMcT0004422.1	SBOV2_63040.1, SBOV2_63040.2, SBOV2_63040.3, SBOV2_63040.4, SBOV2_63040.5, SBOV2_63040.6
OG0002977	h1SMcT0003763.1	SBOV2_7430.1, SBOV2_7430.2, SBOV2_7430.3, SBOV2_7430.4
OG0002979	h1SMcT0019481.1	SBOV2_21160.1, SBOV2_21160.2
OG0002981	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2	SBOV2_74280.1
OG0002983	h1SMcT0017079.1	SBOV2_24140.2, SBOV2_24140.1, SBOV2_24140.4, SBOV2_24140.3
OG0002984	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2	SBOV2_12550.2, SBOV2_12550.3, SBOV2_12550.1, SBOV2_12550.4, SBOV2_12550.5
OG0002985	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3	SBOV2_2180.1
OG0002986	h1SMcT0009242.1, h1SMcT0009242.2	SBOV2_9800.1
OG0002988	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3	SBOV2_91520.1
OG0002989	h1SMcT0011055.1	SBOV2_48770.1, SBOV2_48770.2
OG0002991	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1	SBOV2_35640.4, SBOV2_35640.3, SBOV2_35640.2, SBOV2_35640.1
OG0002992	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4	SBOV2_75000.6, SBOV2_75000.2, SBOV2_75000.5, SBOV2_75000.1, SBOV2_75000.3, SBOV2_75000.4
OG0002993	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3	SBOV2_83180.1
OG0002995	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3	SBOV2_89130.1
OG0002996	h1SMcT0005458.1	SBOV2_14590.1, SBOV2_14590.2
OG0002997	h1SMcT0018267.1	SBOV2_33290.1
OG0002998	h1SMcT0006805.1	SBOV2_43830.1
OG0002999	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2	SBOV2_60000.1, SBOV2_60000.2, SBOV2_60000.3
OG0003001	h1SMcT0021432.1	SBOV2_40590.1, SBOV2_40590.2
OG0003002	h1SMcT0017011.1	SBOV2_19050.2, SBOV2_19050.3, SBOV2_19050.4, SBOV2_19050.1, SBOV2_19050.5
OG0003003	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2	SBOV2_92700.1
OG0003004	h1SMcT0022793.1, h1SMcT0021479.3, h1SMcT0021479.4, h1SMcT0021479.1, h1SMcT0021479.2, h1SMcT0022793.2	SBOV2_74180.1, SBOV2_74180.2
OG0003005	h1SMcT0007903.1, h1SMcT0007903.2	SBOV2_51610.1, SBOV2_51610.2
OG0003006	h1SMcT0014506.1	SBOV2_84160.2, SBOV2_84160.1
OG0003007	h1SMcT0015078.1	SBOV2_60720.1, SBOV2_60720.2, SBOV2_60720.3
OG0003009	h1SMcT0001412.1, h1SMcT0001412.2, h1SMcT0001412.3	SBOV2_6460.3, SBOV2_6460.1, SBOV2_6460.2
OG0003010	h1SMcT0021914.1, h1SMcT0021914.2, h1SMcT0021327.3, h1SMcT0021327.5, h1SMcT0021327.4, h1SMcT0021327.6	SBOV2_70140.1
OG0003011	h1SMcT0010357.1	SBOV2_37250.2, SBOV2_37250.1
OG0003012	h1SMcT0018119.1	SBOV2_61150.4, SBOV2_61150.1, SBOV2_61150.2, SBOV2_61150.3
OG0003014	h1SMcT0005268.1	SBOV2_83420.1, SBOV2_83430.1, SBOV2_83430.4, SBOV2_83430.2, SBOV2_83430.3
OG0003015	h1SMcT0019089.2, h1SMcT0019089.1, h1SMcT0019089.3	SBOV2_42630.1, SBOV2_42620.1
OG0003016	h1SMcT0006828.1, h1SMcT0006828.2, h1SMcT0006828.3, h1SMcT0006828.4	SBOV2_74680.2, SBOV2_74680.1
OG0003017	h1SMcT0006801.1, h1SMcT0007267.1	SBOV2_49650.1
OG0003018	h1SMcT0016671.1, h1SMcT0016671.2	SBOV2_93570.1
OG0003019	h1SMcT0004932.4, h1SMcT0004932.3, h1SMcT0004932.2, h1SMcT0004932.1	SBOV2_73710.1, SBOV2_73710.2
OG0003021	h1SMcT0002696.1, h1SMcT0002696.2	SBOV2_83460.1
OG0003023	h1SMcT0005078.1, h1SMcT0005078.2	SBOV2_83370.2, SBOV2_83370.1
OG0003024	h1SMcT0020338.1	SBOV2_76860.1, SBOV2_76860.2, SBOV2_76860.3
OG0003028	h1SMcT0020044.1	SBOV2_9830.2, SBOV2_9830.1
OG0003029	h1SMcT0015062.1	SBOV2_81130.1
OG0003030	h1SMcT0001941.1, h1SMcT0001941.2	SBOV2_19000.1, SBOV2_19000.2
OG0003031	h1SMcT0014296.1, h1SMcT0014296.2	SBOV2_64060.1
OG0003032	h1SMcT0005960.1, h1SMcT0005892.1, h1SMcT0005892.2	SBOV2_58480.1
OG0003033	h1SMcT0011480.1, h1SMcT0011480.3, h1SMcT0011480.2	SBOV2_46210.5, SBOV2_46210.1, SBOV2_46210.2, SBOV2_46210.3, SBOV2_46210.4
OG0003034	h1SMcT0011192.1	SBOV2_81560.1, SBOV2_81560.2
OG0003036	h1SMcT0012716.1	SBOV2_83560.1, SBOV2_83580.1, SBOV2_83600.1, SBOV2_83610.1, SBOV2_83570.1, SBOV2_83610.2
OG0003037	h1SMcT0006277.1, h1SMcT0006277.2	SBOV2_78580.2, SBOV2_78580.1
OG0003038	h1SMcT0020116.1	SBOV2_53400.1, SBOV2_53400.2, SBOV2_53400.3
OG0003039	h1SMcT0011776.1, h1SMcT0011776.2	SBOV2_45370.1
OG0003041	h1SMcT0021330.1	SBOV2_34740.1
OG0003042	h1SMcT0014097.2, h1SMcT0014097.3, h1SMcT0014097.1, h1SMcT0014097.4	SBOV2_26990.1
OG0003043	h1SMcT0001787.1	SBOV2_47230.1
OG0003044	h1SMcT0017159.2, h1SMcT0017159.4, h1SMcT0017159.1, h1SMcT0017159.3	SBOV2_7660.1
OG0003045	h1SMcT0002072.1, h1SMcT0002072.2, h1SMcT0002072.3, h1SMcT0002072.4	SBOV2_53910.1
OG0003046	h1SMcT0000855.1	SBOV2_53900.1
OG0003047	h1SMcT0007558.1, h1SMcT0007558.2	SBOV2_12680.1
OG0003048	h1SMcT0011197.1, h1SMcT0011197.2	SBOV2_45020.1
OG0003049	h1SMcT0020453.1, h1SMcT0016153.1, h1SMcT0016153.2	SBOV2_45010.2, SBOV2_45010.1
OG0003050	h1SMcT0005152.5, h1SMcT0005152.3, h1SMcT0005152.1, h1SMcT0005152.4, h1SMcT0005152.2	SBOV2_77630.3, SBOV2_77630.1, SBOV2_77630.2
OG0003051	h1SMcT0007990.2, h1SMcT0007990.5, h1SMcT0007990.3, h1SMcT0007990.1, h1SMcT0007990.4, h1SMcT0007990.7, h1SMcT0007990.6	SBOV2_23890.1
OG0003052	h1SMcT0016002.1, h1SMcT0016002.2, h1SMcT0016002.3	SBOV2_64420.1, SBOV2_64420.2, SBOV2_64420.3, SBOV2_64420.4
OG0003053	h1SMcT0016931.1, h1SMcT0016931.2, h1SMcT0016931.3	SBOV2_41030.2, SBOV2_41030.1, SBOV2_41030.3
OG0003054	h1SMcT0018675.1, h1SMcT0004016.1, h1SMcT0004016.2, h1SMcT0004016.4, h1SMcT0004016.3, h1SMcT0006537.1, h1SMcT0020138.1	SBOV2_8670.1
OG0003055	h1SMcT0019134.1	SBOV2_55700.1, SBOV2_55700.2, SBOV2_55700.3, SBOV2_55700.4
OG0003056	h1SMcT0003979.1	SBOV2_8560.1, SBOV2_8560.2
OG0003058	h1SMcT0003333.1, h1SMcT0003333.2	SBOV2_91020.1, SBOV2_91020.2, SBOV2_91020.3
OG0003059	h1SMcT0008347.1, h1SMcT0008347.4, h1SMcT0008347.3, h1SMcT0008347.2	SBOV2_31680.1
OG0003060	h1SMcT0011744.1, h1SMcT0011744.2, h1SMcT0011744.5, h1SMcT0011744.6, h1SMcT0011744.3, h1SMcT0011744.4	SBOV2_53590.1, SBOV2_53580.1
OG0003062	h1SMcT0013915.1	SBOV2_88360.1, SBOV2_88360.2
OG0003063	h1SMcT0012821.1, h1SMcT0012821.2, h1SMcT0012805.1, h1SMcT0012806.1	SBOV2_17230.1, SBOV2_17230.3, SBOV2_17230.2
OG0003064	h1SMcT0008163.1	SBOV2_7640.1
OG0003065	h1SMcT0000333.1	SBOV2_21230.1
OG0003066	h1SMcT0011449.1, h1SMcT0011449.2	SBOV2_93050.2, SBOV2_93050.1
OG0003067	h1SMcT0005008.1	SBOV2_24340.3, SBOV2_24340.4, SBOV2_24340.1, SBOV2_24340.2
OG0003068	h1SMcT0022311.1, h1SMcT0022311.3, h1SMcT0022311.2	SBOV2_75830.1
OG0003070	h1SMcT0003629.1, h1SMcT0003629.2	SBOV2_32440.1
OG0003072	h1SMcT0001100.1, h1SMcT0001100.2, h1SMcT0001100.4, h1SMcT0001100.3, h1SMcT0019338.1, h1SMcT0019338.2, h1SMcT0004692.1, h1SMcT0004692.4, h1SMcT0004692.2, h1SMcT0004692.3	SBOV2_78560.1
OG0003073	h1SMcT0011150.1, h1SMcT0015836.1, h1SMcT0015836.2, h1SMcT0015836.4, h1SMcT0015836.3, h1SMcT0015837.1, h1SMcT0015837.3, h1SMcT0015837.2, h1SMcT0015841.2, h1SMcT0015841.1, h1SMcT0015841.3, h1SMcT0015841.4, h1SMcT0012715.3, h1SMcT0012715.2, h1SMcT0012715.1, h1SMcT0001252.1	SBOV2_63520.1
OG0003074	h1SMcT0004065.1	SBOV2_58310.1
OG0003076	h1SMcT0015937.1, h1SMcT0015937.7, h1SMcT0015937.6, h1SMcT0015937.2, h1SMcT0015937.3, h1SMcT0015937.4, h1SMcT0015937.5	SBOV2_56970.1
OG0003080	h1SMcT0008762.1, h1SMcT0008762.2, h1SMcT0008762.5, h1SMcT0008762.3, h1SMcT0008762.4	SBOV2_10760.1
OG0003081	h1SMcT0017491.1	SBOV2_14430.2, SBOV2_14430.5, SBOV2_14430.4, SBOV2_14430.1, SBOV2_14430.3
OG0003082	h1SMcT0016152.1	SBOV2_49430.1, SBOV2_49430.4, SBOV2_49430.3, SBOV2_49430.2
OG0003083	h1SMcT0003189.1, h1SMcT0003189.2	SBOV2_78320.1, SBOV2_78320.2
OG0003086	h1SMcT0007745.1, h1SMcT0007745.2	SBOV2_65510.1
OG0003087	h1SMcT0013897.1, h1SMcT0013897.2, h1SMcT0006048.1, h1SMcT0011537.3, h1SMcT0011537.2, h1SMcT0011537.1, h1SMcT0004969.1, h1SMcT0004969.2, h1SMcT0004969.3, h1SMcT0014223.1	SBOV2_94940.1
OG0003089	h1SMcT0013279.2, h1SMcT0013279.1, h1SMcT0013268.1, h1SMcT0013268.2, h1SMcT0013281.1	SBOV2_18090.2, SBOV2_18090.1
OG0003099	h1SMcT0010063.1	SBOV2_42290.1, SBOV2_42290.2, SBOV2_42290.4, SBOV2_42290.3
OG0003107	h1SMcT0015377.1	SBOV2_55510.1
OG0003108	h1SMcT0015502.1	SBOV2_41200.1, SBOV2_41200.2, SBOV2_41200.3, SBOV2_41200.4
OG0003109	h1SMcT0008651.1	SBOV2_14890.3, SBOV2_14890.1, SBOV2_14890.2
OG0003110	h1SMcT0012449.1, h1SMcT0012449.2	SBOV2_13880.1
OG0003111	h1SMcT0011575.1	SBOV2_71040.2, SBOV2_71040.1, SBOV2_71040.3
OG0003112	h1SMcT0009040.1, h1SMcT0018311.1, h1SMcT0018311.2, h1SMcT0018311.3	SBOV2_67360.1
OG0003114	h1SMcT0005694.2, h1SMcT0005694.4, h1SMcT0005694.3, h1SMcT0005694.1, h1SMcT0005694.5, h1SMcT0005694.6	SBOV2_86260.2, SBOV2_86260.3, SBOV2_86260.1
OG0003115	h1SMcT0000128.5, h1SMcT0000128.2, h1SMcT0000128.3, h1SMcT0000128.1, h1SMcT0000128.4	SBOV2_72960.1, SBOV2_72960.2
OG0003116	h1SMcT0014809.1	SBOV2_87410.1, SBOV2_87410.2, SBOV2_87410.3, SBOV2_87410.4, SBOV2_87410.5, SBOV2_87410.6
OG0003118	h1SMcT0010890.1, h1SMcT0010890.2	SBOV2_27140.1
OG0003121	h1SMcT0012547.1, h1SMcT0012547.2	SBOV2_1620.1
OG0003124	h1SMcT0007756.1, h1SMcT0007756.2	SBOV2_89760.1
OG0003125	h1SMcT0016907.1, h1SMcT0016907.2	SBOV2_73530.3, SBOV2_73530.4, SBOV2_73530.5, SBOV2_73530.1, SBOV2_73530.2
OG0003127	h1SMcT0015110.1, h1SMcT0019913.1	SBOV2_85480.1, SBOV2_85480.3, SBOV2_85480.2
OG0003128	h1SMcT0018724.1	SBOV2_81480.1, SBOV2_81480.2
OG0003129	h1SMcT0002450.1, h1SMcT0002450.2	SBOV2_2940.1
OG0003131	h1SMcT0000664.1	SBOV2_71650.1
OG0003133	h1SMcT0020070.1, h1SMcT0020070.2	SBOV2_58820.1, SBOV2_58820.2, SBOV2_58820.3
OG0003135	h1SMcT0016694.1, h1SMcT0016694.2, h1SMcT0016694.3	SBOV2_31350.1, SBOV2_31350.2, SBOV2_31350.3
OG0003136	h1SMcT0004061.1, h1SMcT0004061.2	SBOV2_9950.1, SBOV2_9950.2
OG0003137	h1SMcT0019913.6, h1SMcT0019913.5, h1SMcT0019913.2, h1SMcT0019913.3, h1SMcT0019913.4	SBOV2_80690.1, SBOV2_80690.2
OG0003138	h1SMcT0011089.1	SBOV2_87710.2, SBOV2_87710.1
OG0003140	h1SMcT0003323.2, h1SMcT0004572.1, h1SMcT0006058.1	SBOV2_36590.1
OG0003141	h1SMcT0007365.1, h1SMcT0007366.1	SBOV2_61180.1, SBOV2_61180.2, SBOV2_61180.3, SBOV2_61180.4, SBOV2_61180.5
OG0003142	h1SMcT0018040.1	SBOV2_75620.1
OG0003145	h1SMcT0010125.1, h1SMcT0010125.2, h1SMcT0010125.3	SBOV2_19340.1, SBOV2_19340.3, SBOV2_19340.2
OG0003146	h1SMcT0018833.1, h1SMcT0018833.2, h1SMcT0000047.1, h1SMcT0000047.2	SBOV2_64380.1
OG0003147	h1SMcT0013401.2, h1SMcT0013401.1, h1SMcT0013401.3, h1SMcT0005526.1, h1SMcT0005526.2, h1SMcT0005526.3	SBOV2_48610.1
OG0003148	h1SMcT0016375.1, h1SMcT0006773.1, h1SMcT0006773.2, h1SMcT0006774.1, h1SMcT0007556.1, h1SMcT0007556.2, h1SMcT0007556.3, h1SMcT0007556.4, h1SMcT0007556.5, h1SMcT0007556.6, h1SMcT0007556.7, h1SMcT0002187.1, h1SMcT0013644.1	SBOV2_91990.1
OG0003149	h1SMcT0022070.1	SBOV2_55460.1
OG0003150	h1SMcT0005154.1	SBOV2_77890.1, SBOV2_77890.2
OG0003151	h1SMcT0009477.1, h1SMcT0009477.2	SBOV2_49310.1
OG0003152	h1SMcT0002448.1	SBOV2_30470.1
OG0003155	h1SMcT0018245.1, h1SMcT0018245.2	SBOV2_70410.1
OG0003157	h1SMcT0015519.1	SBOV2_53150.1, SBOV2_53150.2, SBOV2_53150.3, SBOV2_53150.4
OG0003158	h1SMcT0022543.1	SBOV2_88960.1, SBOV2_88960.3, SBOV2_88960.2
OG0003159	h1SMcT0000896.1	SBOV2_55150.1
