Orthogroup	schistosoma_guineensis	trichobilharzia_regenti
OG0003394	SGUI1_42420.1, SGUI1_42420.3, SGUI1_42420.2	TREG1_55820.1, TREG1_123960.1, TREG1_55820.2
OG0003395	SGUI1_56010.1	TREG1_74250.1
OG0003396	SGUI1_43830.1	TREG1_34550.1
OG0003397	SGUI1_21590.1	TREG1_29450.1, TREG1_29450.2
OG0003399	SGUI1_35220.1, SGUI1_35220.3, SGUI1_35220.2	TREG1_50580.1
OG0003400	SGUI1_73340.1, SGUI1_73340.2	TREG1_104040.1, TREG1_104040.2
OG0003401	SGUI1_32680.1, SGUI1_32680.2	TREG1_51350.1
OG0003402	SGUI1_20050.1	TREG1_28340.1, TREG1_28360.1
OG0003403	SGUI1_50520.1, SGUI1_50520.2	TREG1_74540.1, TREG1_74540.2, TREG1_74550.1
OG0003404	SGUI1_75440.1	TREG1_103750.1
OG0003405	SGUI1_47600.2, SGUI1_47600.1	TREG1_66930.1, TREG1_66940.1
OG0003406	SGUI1_96960.1, SGUI1_6800.1	TREG1_25840.1
OG0003407	SGUI1_85310.1	TREG1_114330.1, TREG1_114330.2
OG0003408	SGUI1_25350.1, SGUI1_25350.2	TREG1_31550.1
OG0003410	SGUI1_69690.1, SGUI1_69690.2	TREG1_94450.1
OG0003411	SGUI1_39290.2, SGUI1_39290.1	TREG1_43850.1, TREG1_43850.2
OG0003412	SGUI1_4820.1	TREG1_2500.1, TREG1_2500.2
OG0003414	SGUI1_39470.3, SGUI1_39470.2, SGUI1_39470.1	TREG1_55290.1, TREG1_55290.2, TREG1_55290.3, TREG1_55290.4, TREG1_55290.5, TREG1_55290.6
OG0003415	SGUI1_80110.1	TREG1_107580.1
OG0003416	SGUI1_69490.1, SGUI1_69490.2	TREG1_94060.12, TREG1_94060.13, TREG1_94060.14, TREG1_94270.1
OG0003417	SGUI1_56520.1	TREG1_74040.1, TREG1_74040.2
OG0003418	SGUI1_47120.1	TREG1_72140.1
OG0003419	SGUI1_74220.1, SGUI1_74220.2, SGUI1_74220.3	TREG1_106840.1, TREG1_106840.2, TREG1_106850.1, TREG1_106840.3
OG0003420	SGUI1_36810.3, SGUI1_36810.1, SGUI1_36810.2	TREG1_143500.1, TREG1_52810.2, TREG1_52810.1, TREG1_52810.3
OG0003421	SGUI1_37670.2, SGUI1_37670.3, SGUI1_37670.1, SGUI1_37670.4	TREG1_40150.1
OG0003422	SGUI1_46890.1	TREG1_72400.1
OG0003423	SGUI1_12200.1, SGUI1_12200.2	TREG1_28020.1
OG0003424	SGUI1_87010.1	TREG1_119890.1
OG0003425	SGUI1_85440.1	TREG1_116400.1, TREG1_116400.2
OG0003426	SGUI1_64440.5, SGUI1_64440.3, SGUI1_64440.2, SGUI1_64440.1, SGUI1_64440.4	TREG1_82530.1, TREG1_82530.2
OG0003427	SGUI1_44580.3, SGUI1_44580.1, SGUI1_44580.2	TREG1_30720.1
OG0003428	SGUI1_83330.1, SGUI1_83330.2	TREG1_117820.1, TREG1_117820.2, TREG1_117820.3
OG0003429	SGUI1_78340.2, SGUI1_78340.1	TREG1_96060.5, TREG1_96200.1
OG0003430	SGUI1_77470.1, SGUI1_77470.2, SGUI1_77470.3	TREG1_100260.1, TREG1_100270.1
OG0003431	SGUI1_20430.1	TREG1_11770.2, TREG1_11770.4, TREG1_11770.3, TREG1_11770.1, TREG1_11770.5, TREG1_16060.1, TREG1_16060.2
OG0003432	SGUI1_70930.1, SGUI1_70930.2	TREG1_99560.1, TREG1_99560.2, TREG1_99560.3
OG0003433	SGUI1_4570.1	TREG1_7350.1
OG0003434	SGUI1_60180.1, SGUI1_60170.1	TREG1_83480.1, TREG1_83480.2
OG0003435	SGUI1_36840.1	TREG1_52790.1
OG0003436	SGUI1_50540.1, SGUI1_50540.2	TREG1_74570.2, TREG1_74570.1, TREG1_74570.3
OG0003437	SGUI1_73020.1	TREG1_105820.1, TREG1_105820.2
OG0003438	SGUI1_30760.1	TREG1_43710.1
OG0003439	SGUI1_21800.1, SGUI1_21800.3, SGUI1_21800.2	TREG1_23990.1, TREG1_23990.2
OG0003441	SGUI1_26670.1	TREG1_33600.1
OG0003442	SGUI1_72850.1, SGUI1_72850.2	TREG1_102650.1
OG0003443	SGUI1_59240.1, SGUI1_59230.1	TREG1_83500.1
OG0003445	SGUI1_44820.1	TREG1_31060.1, TREG1_31070.1, TREG1_31080.1
OG0003446	SGUI1_34870.1	TREG1_36850.1
OG0003447	SGUI1_5100.1, SGUI1_5100.2	TREG1_17220.1
OG0003448	SGUI1_70310.1, SGUI1_70310.2	TREG1_99430.2, TREG1_99430.1, TREG1_99430.3
OG0003449	SGUI1_70320.1	TREG1_99420.1
OG0003450	SGUI1_66310.1	TREG1_90340.1
OG0003451	SGUI1_85730.1	TREG1_117900.1
OG0003453	SGUI1_43400.3, SGUI1_43400.1, SGUI1_43400.2	TREG1_57700.1
OG0003454	SGUI1_34000.1	TREG1_53890.1
OG0003455	SGUI1_62190.1	TREG1_84370.1
OG0003456	SGUI1_7610.1, SGUI1_7610.3, SGUI1_7610.2, SGUI1_7610.4	TREG1_1180.1
OG0003457	SGUI1_37890.1	TREG1_34330.3, TREG1_34330.2, TREG1_34330.1, TREG1_34330.4
OG0003458	SGUI1_39030.1	TREG1_44990.1, TREG1_44990.2
OG0003459	SGUI1_74140.1, SGUI1_74140.2	TREG1_106760.1, TREG1_139570.1, TREG1_139690.3, TREG1_139700.1, TREG1_139690.1, TREG1_139690.2
OG0003460	SGUI1_44430.1	TREG1_31790.1
OG0003461	SGUI1_84730.1	TREG1_110390.1, TREG1_110400.1, TREG1_110410.1, TREG1_110420.1, TREG1_110430.1
OG0003462	SGUI1_39550.1, SGUI1_39550.2, SGUI1_39550.3, SGUI1_39550.4	TREG1_41500.1
OG0003463	SGUI1_85380.1, SGUI1_85380.2	TREG1_114260.1, TREG1_114270.1
OG0003464	SGUI1_81910.1, SGUI1_81910.2, SGUI1_81910.3	TREG1_111680.1
OG0003465	SGUI1_63330.1	TREG1_88540.1
OG0003466	SGUI1_9220.1	TREG1_2800.1
OG0003467	SGUI1_77580.1	TREG1_100380.1
OG0003468	SGUI1_68820.1	TREG1_136120.1, TREG1_136120.2
OG0003469	SGUI1_50700.1	TREG1_74650.1, TREG1_74650.2
OG0003470	SGUI1_52350.1	TREG1_70070.1
OG0003471	SGUI1_45880.1, SGUI1_45880.2, SGUI1_45880.3	TREG1_62830.1
OG0003472	SGUI1_8260.1	TREG1_11740.1, TREG1_11740.4, TREG1_11740.5, TREG1_11740.2, TREG1_11740.3
OG0003473	SGUI1_78290.1, SGUI1_78290.2	TREG1_108600.1, TREG1_108610.1
OG0003474	SGUI1_56960.1	TREG1_73680.1, TREG1_73680.2
OG0003475	SGUI1_24180.1, SGUI1_24180.2	TREG1_60360.2, TREG1_60360.1, TREG1_60360.3, TREG1_60360.4
OG0003476	SGUI1_42790.1, SGUI1_42790.2, SGUI1_86060.1, SGUI1_86040.1	TREG1_42350.4, TREG1_42350.3, TREG1_42350.1, TREG1_42350.2
OG0003477	SGUI1_89680.3, SGUI1_89680.2, SGUI1_89680.1	TREG1_126050.1
OG0003478	SGUI1_5990.1	TREG1_16810.1, TREG1_16810.2, TREG1_16810.3, TREG1_16810.4
OG0003479	SGUI1_27710.1, SGUI1_27710.2	TREG1_38230.1
OG0003480	SGUI1_68100.1, SGUI1_68100.2	TREG1_92080.1, TREG1_92140.1
OG0003481	SGUI1_62030.1, SGUI1_62030.2, SGUI1_62030.3	TREG1_87800.1
OG0003482	SGUI1_88020.1, SGUI1_88020.2	TREG1_120970.1, TREG1_120970.3, TREG1_120970.2
OG0003483	SGUI1_30160.1, SGUI1_30160.2, SGUI1_30160.3	TREG1_48140.1
OG0003484	SGUI1_4210.1	TREG1_10210.1, TREG1_10210.2, TREG1_10210.3, TREG1_10210.4
OG0003485	SGUI1_83920.1	TREG1_117750.1, TREG1_117760.1
OG0003486	SGUI1_41350.1	TREG1_57550.8, TREG1_57550.2, TREG1_57550.3, TREG1_57550.6, TREG1_57550.10, TREG1_57550.5, TREG1_57550.1, TREG1_57550.4, TREG1_57550.7, TREG1_57550.11, TREG1_57550.9
OG0003488	SGUI1_10660.3, SGUI1_10660.1, SGUI1_10660.2	TREG1_27060.2, TREG1_27060.1, TREG1_27060.3
OG0003489	SGUI1_77180.2, SGUI1_77180.3, SGUI1_77180.1	TREG1_97290.1
OG0003490	SGUI1_8170.1	TREG1_11200.1
OG0003492	SGUI1_61420.1	TREG1_83190.1
OG0003493	SGUI1_92100.1, SGUI1_92100.2	TREG1_128550.1, TREG1_128600.1
OG0003494	SGUI1_97210.1	TREG1_130710.1
OG0003495	SGUI1_4080.1	TREG1_5260.1
OG0003496	SGUI1_30110.1	TREG1_48110.1
OG0003497	SGUI1_55620.1	TREG1_65490.1, TREG1_65470.1, TREG1_65480.1, TREG1_79950.1
OG0003498	SGUI1_70550.1	TREG1_96700.2, TREG1_96700.4, TREG1_96700.1, TREG1_96700.3
OG0003499	SGUI1_62540.1	TREG1_81360.1, TREG1_81360.2
OG0003500	SGUI1_63760.1, SGUI1_63760.2	TREG1_87690.1
OG0003501	SGUI1_77870.2, SGUI1_77870.3, SGUI1_77870.1	TREG1_102510.1, TREG1_102510.2, TREG1_102510.3, TREG1_102510.5, TREG1_102510.4
OG0003502	SGUI1_88100.1	TREG1_119820.1, TREG1_119820.2
OG0003503	SGUI1_5420.1	TREG1_5330.1
OG0003504	SGUI1_38820.1	TREG1_41660.1
OG0003505	SGUI1_51300.1, SGUI1_51300.2	TREG1_70590.1
OG0003506	SGUI1_1080.1	TREG1_6430.1
OG0003507	SGUI1_4090.1, SGUI1_4090.2	TREG1_5230.1
OG0003508	SGUI1_65200.1	TREG1_89110.1, TREG1_89110.2
OG0003509	SGUI1_43960.1	TREG1_40690.1, TREG1_40690.2
OG0003510	SGUI1_1060.1	TREG1_18330.1, TREG1_18330.2, TREG1_18330.3, TREG1_18330.4
OG0003511	SGUI1_65110.1	TREG1_81420.1, TREG1_81420.2, TREG1_81420.3
OG0003512	SGUI1_83230.2, SGUI1_83230.1	TREG1_114900.1
OG0003513	SGUI1_76170.1	TREG1_100590.1
OG0003514	SGUI1_28600.1	TREG1_50230.1
OG0003515	SGUI1_94280.1, SGUI1_94280.2, SGUI1_94280.3	TREG1_133480.1, TREG1_133480.2, TREG1_133480.3
OG0003516	SGUI1_51050.1	TREG1_68720.1, TREG1_68720.2, TREG1_68720.3
OG0003517	SGUI1_95810.1, SGUI1_95810.2	TREG1_139760.1, TREG1_139770.1, TREG1_139780.3, TREG1_139780.2, TREG1_139780.1
OG0003518	SGUI1_87020.1, SGUI1_87020.2, SGUI1_87020.3	TREG1_119910.1
OG0003519	SGUI1_37590.1	TREG1_40070.1
OG0003520	SGUI1_58240.1	TREG1_79160.6, TREG1_79160.7, TREG1_79190.1, TREG1_79160.8
OG0003521	SGUI1_10880.1	TREG1_13930.1, TREG1_13930.2, TREG1_13930.3
OG0003522	SGUI1_80650.1, SGUI1_80650.2, SGUI1_80650.3, SGUI1_80650.4	TREG1_96160.2, TREG1_96160.1, TREG1_96160.3
OG0003523	SGUI1_54930.1	TREG1_75110.1
OG0003524	SGUI1_62470.1	TREG1_85150.1
OG0003525	SGUI1_3330.1	TREG1_6510.1
OG0003526	SGUI1_29820.1	TREG1_49360.1
OG0003527	SGUI1_80120.1	TREG1_107570.1
OG0003528	SGUI1_660.1, SGUI1_660.2	TREG1_7430.1
OG0003529	SGUI1_42190.4, SGUI1_42190.1, SGUI1_42190.3, SGUI1_42190.2	TREG1_56090.1
OG0003530	SGUI1_66690.1, SGUI1_66690.2, SGUI1_66690.3	TREG1_89450.1
OG0003531	SGUI1_9840.4, SGUI1_9840.1, SGUI1_9840.2, SGUI1_9840.3	TREG1_8830.1, TREG1_8840.1
OG0003532	SGUI1_7660.1, SGUI1_7660.2	TREG1_4340.1
OG0003533	SGUI1_48340.1	TREG1_68380.1, TREG1_68380.2
OG0003534	SGUI1_87780.1	TREG1_125270.1, TREG1_125270.3, TREG1_125270.2
OG0003535	SGUI1_96560.1	TREG1_133220.1
OG0003536	SGUI1_61470.1	TREG1_86610.1
OG0003537	SGUI1_59710.1	TREG1_81790.1, TREG1_81790.2
OG0003538	SGUI1_21830.4, SGUI1_21830.1	TREG1_24170.1
OG0003539	SGUI1_77490.5, SGUI1_77490.2, SGUI1_77490.3, SGUI1_77490.6, SGUI1_77490.1, SGUI1_77490.4	TREG1_100300.1, TREG1_100300.2
OG0003540	SGUI1_13880.1, SGUI1_4230.1	TREG1_9780.2, TREG1_9780.3, TREG1_9780.1, TREG1_9780.4
OG0003541	SGUI1_86510.1, SGUI1_86500.1	TREG1_122000.1
OG0003542	SGUI1_64530.1, SGUI1_64530.2, SGUI1_64530.3, SGUI1_64530.4	TREG1_89930.1
OG0003543	SGUI1_49650.7, SGUI1_49650.8, SGUI1_49650.4, SGUI1_49650.3, SGUI1_49650.5, SGUI1_49650.6, SGUI1_49650.1, SGUI1_49650.2	TREG1_66100.1
OG0003544	SGUI1_48600.1, SGUI1_48600.2	TREG1_69180.10, TREG1_69180.11, TREG1_69180.7, TREG1_69180.8, TREG1_69280.1, TREG1_69180.9
OG0003545	SGUI1_19130.1, SGUI1_19130.2	TREG1_14880.1, TREG1_14880.2
OG0003547	SGUI1_7120.1	TREG1_19590.1, TREG1_19590.2
OG0003548	SGUI1_22170.1	TREG1_29280.1, TREG1_29210.1, TREG1_29290.1
OG0003549	SGUI1_88450.1, SGUI1_88450.2	TREG1_124600.1
OG0003550	SGUI1_37390.1, SGUI1_37390.2	TREG1_39790.1
OG0003551	SGUI1_64810.3, SGUI1_64810.1, SGUI1_64810.2	TREG1_89320.1
OG0003552	SGUI1_58330.1, SGUI1_58330.2	TREG1_79050.1
OG0003553	SGUI1_9120.1, SGUI1_9130.1	TREG1_9750.1, TREG1_9750.2
OG0003554	SGUI1_69550.2, SGUI1_69550.3, SGUI1_69550.4, SGUI1_69550.5, SGUI1_69550.6, SGUI1_69550.1	TREG1_94630.1
OG0003555	SGUI1_76970.1	TREG1_104700.1
OG0003556	SGUI1_61400.1	TREG1_83260.4, TREG1_83260.5, TREG1_83260.1, TREG1_83260.6, TREG1_83260.2, TREG1_83260.3
OG0003557	SGUI1_46590.1, SGUI1_46590.2, SGUI1_46590.3, SGUI1_46590.4	TREG1_63890.1
OG0003558	SGUI1_58680.2, SGUI1_58680.1	TREG1_80060.1
OG0003559	SGUI1_81390.1, SGUI1_81390.2, SGUI1_81390.3, SGUI1_81390.4	TREG1_113140.1, TREG1_113140.2
OG0003562	SGUI1_64510.1, SGUI1_64500.1, SGUI1_64490.1	TREG1_88580.1, TREG1_88600.1, TREG1_88610.1
OG0003563	SGUI1_59000.1, SGUI1_86190.1, SGUI1_86200.1, SGUI1_86330.1	TREG1_78420.1
OG0003564	SGUI1_31320.1	TREG1_55150.1, TREG1_55150.2
OG0003565	SGUI1_26750.1, SGUI1_26750.2	TREG1_33520.1
OG0003566	SGUI1_4900.1, SGUI1_4900.4, SGUI1_4900.2, SGUI1_4900.3	TREG1_4980.3, TREG1_4980.4, TREG1_4980.1, TREG1_4980.5, TREG1_4980.2
OG0003567	SGUI1_11210.1	TREG1_23310.1, TREG1_23370.1
OG0003568	SGUI1_2690.1	TREG1_1230.1, TREG1_1230.2
OG0003569	SGUI1_6110.1	TREG1_8620.1, TREG1_8620.2
OG0003571	SGUI1_3470.1, SGUI1_3480.1	TREG1_19230.2, TREG1_19230.3, TREG1_19230.4, TREG1_19230.6, TREG1_19190.1, TREG1_19210.1, TREG1_19220.1, TREG1_19230.5, TREG1_19230.1
OG0003572	SGUI1_67820.4, SGUI1_67820.3, SGUI1_67820.1, SGUI1_67820.2, SGUI1_67810.1	TREG1_91410.1
OG0003577	SGUI1_44480.1	TREG1_129580.1, TREG1_30900.1
OG0003579	SGUI1_36510.1	TREG1_56860.1
OG0003580	SGUI1_15510.2, SGUI1_15510.3, SGUI1_15510.1	TREG1_16980.1, TREG1_16980.2, TREG1_16980.3, TREG1_16980.4, TREG1_16980.5
OG0003581	SGUI1_41230.1	TREG1_57440.1, TREG1_57440.2
OG0003582	SGUI1_57660.1	TREG1_79310.1, TREG1_79360.1
OG0003583	SGUI1_2830.1	TREG1_19130.1
OG0003584	SGUI1_62060.1, SGUI1_62060.2	TREG1_85940.1, TREG1_85940.2
OG0003585	SGUI1_84420.1	TREG1_112380.1, TREG1_112360.1
OG0003586	SGUI1_45010.1, SGUI1_45010.2	TREG1_35990.1
OG0003587	SGUI1_10120.1	TREG1_7880.1, TREG1_7880.2
OG0003588	SGUI1_15800.1	TREG1_22960.1, TREG1_22960.2, TREG1_22960.3, TREG1_22960.4, TREG1_22960.5
OG0003589	SGUI1_71510.1	TREG1_100010.1
OG0003590	SGUI1_5970.1	TREG1_16780.1
OG0003591	SGUI1_59610.1	TREG1_81670.1
OG0003592	SGUI1_73850.3, SGUI1_73860.1	TREG1_102520.1
OG0003593	SGUI1_33170.1	TREG1_44620.1, TREG1_44620.2, TREG1_44620.3, TREG1_44620.4
OG0003594	SGUI1_15190.1	TREG1_27800.3, TREG1_27800.1, TREG1_27800.4, TREG1_27800.2
OG0003595	SGUI1_85810.1	TREG1_118070.1
OG0003596	SGUI1_52960.6, SGUI1_52960.2, SGUI1_52960.4, SGUI1_52960.1, SGUI1_52960.5, SGUI1_52960.3	TREG1_66860.2, TREG1_66860.3, TREG1_66860.1, TREG1_66860.4
OG0003597	SGUI1_73410.3, SGUI1_73410.1, SGUI1_73410.2, SGUI1_73410.4	TREG1_98920.1
OG0003598	SGUI1_36150.1	TREG1_51910.1
OG0003599	SGUI1_12420.1	TREG1_16580.1, TREG1_16580.4, TREG1_16580.2, TREG1_16580.3
OG0003600	SGUI1_4890.1	TREG1_4010.1, TREG1_4010.2, TREG1_4010.3
OG0003601	SGUI1_27290.1	TREG1_60150.1, TREG1_60130.1, TREG1_60120.1, TREG1_60140.1
OG0003602	SGUI1_65130.1, SGUI1_65130.2, SGUI1_65130.4, SGUI1_65130.3	TREG1_85740.3, TREG1_85800.1, TREG1_85740.4
OG0003603	SGUI1_71430.1	TREG1_95720.1, TREG1_95720.2, TREG1_43440.1, TREG1_95720.3
OG0003604	SGUI1_990.1	TREG1_13260.1
OG0003605	SGUI1_16090.1, SGUI1_16090.2	TREG1_125180.1, TREG1_142720.1, TREG1_142720.2, TREG1_142720.3
OG0003606	SGUI1_34050.1	TREG1_43560.1
OG0003607	SGUI1_14780.1	TREG1_21000.1, TREG1_21000.2, TREG1_21000.5, TREG1_21000.3, TREG1_21000.4, TREG1_21000.6
OG0003608	SGUI1_36090.1, SGUI1_36090.2	TREG1_44490.1
OG0003609	SGUI1_24260.2, SGUI1_24260.1	TREG1_33380.1
OG0003610	SGUI1_88830.1	TREG1_124230.1, TREG1_49480.1
OG0003611	SGUI1_54330.1	TREG1_73500.1, TREG1_73520.1
OG0003612	SGUI1_59730.1	TREG1_84190.1, TREG1_84190.4, TREG1_84190.2, TREG1_84190.3
OG0003613	SGUI1_68620.1	TREG1_90740.1
OG0003614	SGUI1_59540.1	TREG1_81740.1
OG0003615	SGUI1_38780.1, SGUI1_38780.2	TREG1_41690.1, TREG1_41690.2
OG0003616	SGUI1_17240.3, SGUI1_17240.2, SGUI1_17240.1	TREG1_13760.1
OG0003617	SGUI1_61000.1	TREG1_81300.1
OG0003618	SGUI1_24090.1, SGUI1_24090.2, SGUI1_24090.3, SGUI1_24090.4, SGUI1_24090.5	TREG1_58980.1
OG0003620	SGUI1_49000.1	TREG1_71900.1
OG0003622	SGUI1_70890.1	TREG1_99570.1
OG0003623	SGUI1_50010.1, SGUI1_50020.1	TREG1_61930.1
OG0003624	SGUI1_10990.1	TREG1_15210.4, TREG1_15210.5
OG0003625	SGUI1_86440.1	TREG1_122120.1, TREG1_122120.2
OG0003626	SGUI1_85870.1	TREG1_117980.1
OG0003627	SGUI1_85650.1, SGUI1_85650.2	TREG1_116750.2, TREG1_116750.3, TREG1_116750.4, TREG1_116750.1
OG0003630	SGUI1_35690.1, SGUI1_35690.2	TREG1_45480.3, TREG1_45480.2, TREG1_45480.1
OG0003631	SGUI1_79090.1	TREG1_108280.1, TREG1_108290.1
OG0003632	SGUI1_64850.1, SGUI1_64850.2	TREG1_89280.1, TREG1_89280.2
OG0003633	SGUI1_53410.1	TREG1_75690.1, TREG1_75710.1, TREG1_75710.2
OG0003634	SGUI1_78420.1	TREG1_102600.1
OG0003635	SGUI1_76910.1	TREG1_106550.1
OG0003636	SGUI1_74170.1, SGUI1_74170.2, SGUI1_74170.3	TREG1_106800.1, TREG1_106800.2
OG0003637	SGUI1_67870.1	TREG1_91330.1
OG0003638	SGUI1_54200.1	TREG1_69680.1
OG0003639	SGUI1_54230.1, SGUI1_54220.1	TREG1_69670.1, TREG1_69670.2
OG0003640	SGUI1_4540.1	TREG1_7380.1
OG0003641	SGUI1_76120.1	TREG1_100570.1, TREG1_100570.2
OG0003642	SGUI1_56780.1	TREG1_75940.1
OG0003643	SGUI1_72700.1	TREG1_104850.1
OG0003644	SGUI1_14760.1	TREG1_20950.1, TREG1_20950.2, TREG1_20950.3, TREG1_20950.4, TREG1_20950.5, TREG1_20950.6, TREG1_20950.7, TREG1_20950.8, TREG1_20950.9
OG0003645	SGUI1_47040.1	TREG1_72240.1
OG0003646	SGUI1_53670.1	TREG1_67610.1
OG0003647	SGUI1_15070.1	TREG1_23250.1
OG0003648	SGUI1_9270.4, SGUI1_9270.2, SGUI1_9270.1, SGUI1_9270.5, SGUI1_9270.3	TREG1_2690.1, TREG1_2730.1
OG0003649	SGUI1_38390.1	TREG1_44770.1
OG0003650	SGUI1_15120.1, SGUI1_15120.2	TREG1_24790.1
OG0003651	SGUI1_50680.1	TREG1_74590.1, TREG1_74590.2
OG0003652	SGUI1_54360.1, SGUI1_54340.1	TREG1_70790.1
OG0003653	SGUI1_39730.1	TREG1_41300.1
OG0003654	SGUI1_66960.1	TREG1_89670.1, TREG1_89650.1, TREG1_89660.1
OG0003655	SGUI1_29860.2, SGUI1_29860.1	TREG1_49300.1, TREG1_49300.2, TREG1_49300.3
OG0003656	SGUI1_71080.1	TREG1_95260.1
OG0003657	SGUI1_3560.1, SGUI1_3550.1, SGUI1_3550.2	TREG1_240.1
OG0003658	SGUI1_72730.2, SGUI1_72730.1	TREG1_94960.1
OG0003659	SGUI1_78960.1	TREG1_104360.1
OG0003660	SGUI1_72350.1	TREG1_100620.1, TREG1_100620.2, TREG1_100620.3, TREG1_100620.4
OG0003661	SGUI1_52160.1	TREG1_66680.2, TREG1_66680.1, TREG1_66680.3
OG0003662	SGUI1_43920.1	TREG1_34690.1, TREG1_34690.2, TREG1_34690.3, TREG1_34690.4, TREG1_34690.5
OG0003663	SGUI1_70380.1	TREG1_99290.1
OG0003664	SGUI1_55640.1, SGUI1_55650.1	TREG1_72970.1, TREG1_72980.1
OG0003665	SGUI1_72830.1, SGUI1_72830.2, SGUI1_72830.3, SGUI1_72830.4	TREG1_95040.1
OG0003666	SGUI1_58200.1, SGUI1_58200.2	TREG1_79260.1
OG0003667	SGUI1_16150.1	TREG1_17310.1, TREG1_17310.2, TREG1_17310.3, TREG1_17310.4
OG0003668	SGUI1_54100.1	TREG1_64230.1
OG0003669	SGUI1_55250.1, SGUI1_55250.2	TREG1_77200.1, TREG1_77210.1
OG0003670	SGUI1_62840.1, SGUI1_62840.2	TREG1_82910.2, TREG1_82910.3, TREG1_82950.1
OG0003671	SGUI1_76100.1, SGUI1_76100.2	TREG1_98520.1
OG0003672	SGUI1_94380.2, SGUI1_94380.1, SGUI1_94380.3, SGUI1_94380.4	TREG1_133920.1
OG0003673	SGUI1_88350.1, SGUI1_88350.2, SGUI1_88350.3, SGUI1_88350.4	TREG1_123880.1
OG0003674	SGUI1_33910.1	TREG1_53750.1, TREG1_53740.1
OG0003675	SGUI1_64480.1	TREG1_88650.1
OG0003676	SGUI1_94450.1, SGUI1_94450.2	TREG1_132200.1
OG0003677	SGUI1_80060.1	TREG1_107670.1
OG0003678	SGUI1_31030.1	TREG1_50020.2, TREG1_50020.1, TREG1_50020.3
OG0003679	SGUI1_44880.2, SGUI1_44880.1	TREG1_31180.1, TREG1_31180.2
OG0003680	SGUI1_37260.1	TREG1_47500.1, TREG1_47500.2
OG0003681	SGUI1_87560.3, SGUI1_87560.2, SGUI1_87560.1, SGUI1_87560.4	TREG1_120530.1
OG0003682	SGUI1_75910.1, SGUI1_75910.2, SGUI1_75910.3	TREG1_98850.1
OG0003683	SGUI1_8570.1	TREG1_20420.1, TREG1_20420.2, TREG1_20420.3, TREG1_20420.4
OG0003684	SGUI1_29500.1	TREG1_47060.1
OG0003685	SGUI1_38060.1, SGUI1_38060.2, SGUI1_38060.3, SGUI1_38060.4	TREG1_54240.1, TREG1_54240.2
OG0003686	SGUI1_91410.1, SGUI1_91410.2	TREG1_129270.1
OG0003687	SGUI1_87730.1	TREG1_142730.1, TREG1_125190.1, TREG1_125190.3, TREG1_142730.2, TREG1_142730.3, TREG1_142730.5, TREG1_125190.2, TREG1_142730.4
OG0003688	SGUI1_82610.1, SGUI1_82610.2, SGUI1_82610.3, SGUI1_82610.4	TREG1_114100.1
OG0003689	SGUI1_62950.1, SGUI1_62950.2, SGUI1_62950.3	TREG1_85540.1
OG0003690	SGUI1_55310.3, SGUI1_55310.1, SGUI1_55310.2	TREG1_77290.1, TREG1_77290.2
OG0003692	SGUI1_38150.1	TREG1_52280.1, TREG1_52280.3, TREG1_52280.2
OG0003693	SGUI1_53340.1	TREG1_75530.1, TREG1_75530.2
OG0003694	SGUI1_23590.1, SGUI1_23590.2, SGUI1_23590.3	TREG1_31670.1, TREG1_31670.2, TREG1_31670.3
OG0003695	SGUI1_65190.1, SGUI1_65190.2	TREG1_89100.1
OG0003696	SGUI1_70150.1	TREG1_99530.1
OG0003697	SGUI1_1490.1	TREG1_12540.1, TREG1_12530.1
OG0003698	SGUI1_32640.1	TREG1_55460.1
OG0003699	SGUI1_32170.1, SGUI1_32170.2	TREG1_53930.1
OG0003700	SGUI1_46220.2, SGUI1_46220.3, SGUI1_46220.1	TREG1_62150.1
OG0003701	SGUI1_82180.1	TREG1_111180.4, TREG1_111180.3, TREG1_111180.1, TREG1_111180.2
OG0003702	SGUI1_19380.1	TREG1_27740.1, TREG1_26400.1, TREG1_26400.2, TREG1_75980.1, TREG1_57730.1, TREG1_57730.2, TREG1_26370.1, TREG1_26370.2, TREG1_26390.1, TREG1_26390.2
OG0003703	SGUI1_11260.1, SGUI1_11260.2	TREG1_18030.1
OG0003704	SGUI1_33230.1, SGUI1_33230.2	TREG1_54000.1, TREG1_98930.1
OG0003705	SGUI1_34230.1	TREG1_50720.1
OG0003706	SGUI1_91640.1	TREG1_129570.1, TREG1_129570.2
OG0003707	SGUI1_4610.1	TREG1_7590.1
OG0003708	SGUI1_61820.1	TREG1_88210.6, TREG1_88210.1, TREG1_88210.2, TREG1_88210.4, TREG1_88210.8, TREG1_88210.3, TREG1_88210.7, TREG1_88210.5
OG0003709	SGUI1_2210.1, SGUI1_2210.2	TREG1_11490.1
OG0003710	SGUI1_33290.1	TREG1_44580.1
OG0003711	SGUI1_67520.1	TREG1_88430.1
OG0003712	SGUI1_17360.1	TREG1_16750.1
OG0003713	SGUI1_87670.1, SGUI1_87670.2	TREG1_120300.1
OG0003714	SGUI1_89370.1, SGUI1_89380.1	TREG1_119350.1
OG0003715	SGUI1_25390.1	TREG1_31580.1, TREG1_31580.2
OG0003716	SGUI1_93500.1	TREG1_133570.1
OG0003717	SGUI1_73180.1	TREG1_105640.1
OG0003718	SGUI1_78070.1	TREG1_106180.1
