Orthogroup	schistosoma_haematobium	schistosoma_rodhaini
OG0002643	SHAE2_4760.1, SHAE2_4760.2, SHAE2_4760.5, SHAE2_4760.3, SHAE2_4760.4	SRDH2_4290.4, SRDH2_4290.5, SRDH2_4290.3, SRDH2_4290.2, SRDH2_4290.1
OG0002644	SHAE2_66020.1, SHAE2_66020.2	SRDH2_63500.1
OG0002645	SHAE2_11800.1, SHAE2_11800.2, SHAE2_11800.4, SHAE2_11800.3	SRDH2_10270.1
OG0002646	SHAE2_29290.1, SHAE2_29290.2	SRDH2_27450.1
OG0002647	SHAE2_93540.1	SRDH2_91050.4, SRDH2_91050.1, SRDH2_91050.2, SRDH2_91050.3
OG0002648	SHAE2_7120.1, SHAE2_7120.2, SHAE2_7120.3	SRDH2_6660.5, SRDH2_6660.6, SRDH2_6660.7, SRDH2_6660.1, SRDH2_6660.2, SRDH2_6660.3, SRDH2_6660.4, SRDH2_102130.1
OG0002649	SHAE2_43270.5, SHAE2_43270.1, SHAE2_43270.3, SHAE2_43270.4, SHAE2_43270.6, SHAE2_43270.7, SHAE2_43270.8, SHAE2_43270.2, SHAE2_43270.9	SRDH2_95810.1, SRDH2_95850.1, SRDH2_40540.1
OG0002650	SHAE2_10240.3, SHAE2_10240.1, SHAE2_10240.2, SHAE2_10240.6, SHAE2_10240.4, SHAE2_10240.5	SRDH2_8640.1
OG0002651	SHAE2_12440.1	SRDH2_10970.1, SRDH2_10970.2
OG0002652	SHAE2_47980.1, SHAE2_47980.2	SRDH2_45440.1
OG0002653	SHAE2_94600.1	SRDH2_93540.2, SRDH2_93540.1
OG0002654	SHAE2_85450.1, SHAE2_85450.2	SRDH2_83320.2, SRDH2_83320.3, SRDH2_83320.1
OG0002655	SHAE2_60430.1	SRDH2_56930.1, SRDH2_56930.2, SRDH2_56930.3, SRDH2_56930.4, SRDH2_56930.5
OG0002656	SHAE2_22610.1, SHAE2_22610.2	SRDH2_21110.1, SRDH2_21110.2
OG0002657	SHAE2_18080.1, SHAE2_18080.2	SRDH2_16540.1, SRDH2_16540.2
OG0002658	SHAE2_31910.2, SHAE2_31910.1, SHAE2_31910.3	SRDH2_29870.1, SRDH2_29870.3, SRDH2_29870.4, SRDH2_29870.5, SRDH2_29870.6, SRDH2_29870.2
OG0002659	SHAE2_64020.1	SRDH2_61610.4, SRDH2_61610.2, SRDH2_61610.3, SRDH2_61610.1
OG0002660	SHAE2_2880.3, SHAE2_2880.2, SHAE2_2880.1, SHAE2_2880.4, SHAE2_2880.5, SHAE2_2880.6	SRDH2_2670.1, SRDH2_2680.1
OG0002661	SHAE2_67920.1, SHAE2_67920.2, SHAE2_67920.3, SHAE2_67920.4	SRDH2_65380.1
OG0002662	SHAE2_89020.1, SHAE2_89020.2	SRDH2_85900.1
OG0002663	SHAE2_89520.1, SHAE2_89520.2, SHAE2_89520.3	SRDH2_86700.1
OG0002664	SHAE2_101600.1	SRDH2_99550.1
OG0002665	SHAE2_53560.1	SRDH2_51020.1
OG0002666	SHAE2_34790.1, SHAE2_34790.2	SRDH2_38110.3, SRDH2_38110.2, SRDH2_38110.1
OG0002667	SHAE2_29870.1, SHAE2_29870.2, SHAE2_29870.3	SRDH2_28010.1, SRDH2_28010.2, SRDH2_28010.3, SRDH2_28010.4, SRDH2_28010.5
OG0002668	SHAE2_73750.1	SRDH2_70760.1
OG0002669	SHAE2_94300.1, SHAE2_94310.1	SRDH2_91780.1
OG0002670	SHAE2_30980.1, SHAE2_30980.2	SRDH2_29090.1, SRDH2_29090.2
OG0002671	SHAE2_98990.1	SRDH2_96990.1, SRDH2_96990.2
OG0002672	SHAE2_78360.6, SHAE2_78360.5, SHAE2_78360.4, SHAE2_78360.3, SHAE2_78360.1, SHAE2_78360.2	SRDH2_75750.1, SRDH2_75750.2
OG0002673	SHAE2_78470.1, SHAE2_78470.2, SHAE2_78470.3	SRDH2_75840.1
OG0002674	SHAE2_30030.3, SHAE2_30030.2, SHAE2_30030.1, SHAE2_30030.4	SRDH2_28180.1, SRDH2_28180.2
OG0002675	SHAE2_11680.1	SRDH2_10160.1
OG0002676	SHAE2_73010.1, SHAE2_73010.2	SRDH2_70550.1
OG0002677	SHAE2_66640.1, SHAE2_66640.2	SRDH2_64060.1, SRDH2_64060.2
OG0002678	SHAE2_8100.1	SRDH2_7720.1
OG0002679	SHAE2_84670.1	SRDH2_82650.1, SRDH2_82650.2
OG0002680	SHAE2_71580.1	SRDH2_68860.1, SRDH2_68860.2
OG0002681	SHAE2_29630.1, SHAE2_29630.2, SHAE2_29630.3	SRDH2_27780.1, SRDH2_27780.2, SRDH2_27780.3, SRDH2_27780.4
OG0002682	SHAE2_21920.1	SRDH2_22810.1
OG0002683	SHAE2_99790.1, SHAE2_99790.2	SRDH2_97770.1, SRDH2_101340.1
OG0002684	SHAE2_90850.1, SHAE2_90880.1, SHAE2_90910.1, SHAE2_90920.1, SHAE2_90930.1	SRDH2_21850.1
OG0002685	SHAE2_17940.1, SHAE2_17920.1	SRDH2_16420.1
OG0002685	SHAE2_17950.1	SRDH2_16430.1
OG0002686	SHAE2_57100.3, SHAE2_57100.4, SHAE2_57100.2, SHAE2_57100.1, SHAE2_57100.5	SRDH2_54800.1
OG0002687	SHAE2_31530.1	SRDH2_29640.1, SRDH2_29640.2
OG0002688	SHAE2_28120.1, SHAE2_28120.2, SHAE2_28130.1	SRDH2_26250.1, SRDH2_26260.1
OG0002689	SHAE2_28160.1, SHAE2_28160.3, SHAE2_28160.4	SRDH2_26300.2
OG0002689	SHAE2_28160.2	SRDH2_26300.1
OG0002690	SHAE2_43770.1, SHAE2_43770.5, SHAE2_43770.2, SHAE2_43770.4, SHAE2_43770.3	SRDH2_41110.1, SRDH2_41110.4, SRDH2_41110.5, SRDH2_41110.8, SRDH2_41110.6, SRDH2_41110.2, SRDH2_41110.3, SRDH2_41110.7
OG0002691	SHAE2_88960.2, SHAE2_88960.1, SHAE2_88960.3	SRDH2_85850.1, SRDH2_85850.3, SRDH2_85850.4, SRDH2_85850.2
OG0002692	SHAE2_15090.2, SHAE2_15090.1	SRDH2_15250.1, SRDH2_15250.3, SRDH2_15250.4, SRDH2_15250.2
OG0002693	SHAE2_51470.1, SHAE2_51470.2	SRDH2_48980.1
OG0002694	SHAE2_98720.1	SRDH2_96700.1
OG0002695	SHAE2_3480.1	SRDH2_3080.1, SRDH2_3070.1
OG0002696	SHAE2_36760.1, SHAE2_36760.2	SRDH2_35890.1, SRDH2_35890.2, SRDH2_35890.3
OG0002697	SHAE2_12650.1	SRDH2_11190.1, SRDH2_11190.3, SRDH2_11190.4, SRDH2_11190.2
OG0002698	SHAE2_2770.3, SHAE2_2770.5, SHAE2_2770.6, SHAE2_2770.4, SHAE2_2770.2	SRDH2_2510.1
OG0002699	SHAE2_5870.1	SRDH2_5410.1, SRDH2_5410.2, SRDH2_5410.3, SRDH2_5410.5, SRDH2_5410.4
OG0002700	SHAE2_101930.1, SHAE2_101930.2	SRDH2_99840.1, SRDH2_99840.2, SRDH2_99840.3
OG0002701	SHAE2_58240.1	SRDH2_56050.1
OG0002702	SHAE2_14480.1	SRDH2_14650.1
OG0002702	SHAE2_14470.1	SRDH2_14640.1
OG0002703	SHAE2_58110.1	SRDH2_55930.2, SRDH2_55930.4, SRDH2_55930.3, SRDH2_55930.1
OG0002704	SHAE2_97800.1, SHAE2_97800.2	SRDH2_95370.1
OG0002704	SHAE2_59970.1	SRDH2_57910.1
OG0002705	SHAE2_60330.1	SRDH2_58280.1
OG0002705	SHAE2_60360.1	SRDH2_58300.1, SRDH2_58300.2
OG0002708	SHAE2_33610.1, SHAE2_33610.2, SHAE2_33610.3, SHAE2_33610.4	SRDH2_31640.1, SRDH2_31640.2
OG0002709	SHAE2_9930.5, SHAE2_9930.3, SHAE2_9930.6, SHAE2_9930.2, SHAE2_9930.4, SHAE2_9930.7, SHAE2_9930.8, SHAE2_9930.1	SRDH2_8260.2, SRDH2_8260.1
OG0002710	SHAE2_1500.1, SHAE2_1500.2, SHAE2_1500.6, SHAE2_1500.5, SHAE2_1500.3, SHAE2_1500.7, SHAE2_1500.4	SRDH2_1220.1
OG0002711	SHAE2_96020.1	SRDH2_92170.3, SRDH2_92170.2, SRDH2_92170.1, SRDH2_92170.4
OG0002712	SHAE2_17900.1, SHAE2_17900.2	SRDH2_16390.1, SRDH2_16390.2
OG0002713	SHAE2_51030.1, SHAE2_51030.2, SHAE2_51030.4, SHAE2_51030.3	SRDH2_48540.1
OG0002714	SHAE2_81940.1	SRDH2_79400.1, SRDH2_79400.2, SRDH2_79400.3, SRDH2_79400.4, SRDH2_79400.5
OG0002715	SHAE2_64680.1	SRDH2_62180.1
OG0002716	SHAE2_71860.1	SRDH2_68520.6, SRDH2_68520.4, SRDH2_68520.5, SRDH2_68520.2, SRDH2_68520.3, SRDH2_68520.1
OG0002717	SHAE2_94740.1	SRDH2_93410.2, SRDH2_93410.5, SRDH2_93410.3, SRDH2_93410.4, SRDH2_93410.1
OG0002718	SHAE2_70860.1, SHAE2_70860.2, SHAE2_70860.3	SRDH2_69580.3, SRDH2_69580.1, SRDH2_69580.2, SRDH2_69580.4
OG0002719	SHAE2_6220.1, SHAE2_6220.2	SRDH2_5780.1
OG0002720	SHAE2_5700.1	SRDH2_5250.1, SRDH2_5250.2, SRDH2_5250.3, SRDH2_5250.4
OG0002721	SHAE2_100520.1	SRDH2_98430.1, SRDH2_98430.2, SRDH2_98430.3
OG0002722	SHAE2_24350.1	SRDH2_22460.1
OG0002723	SHAE2_85380.1	SRDH2_83260.1
OG0002724	SHAE2_86290.1, SHAE2_86290.2, SHAE2_86290.3	SRDH2_84130.1
OG0002725	SHAE2_4910.1, SHAE2_4910.2	SRDH2_4430.1, SRDH2_4430.4, SRDH2_4430.5, SRDH2_4430.6, SRDH2_4430.3, SRDH2_4430.2
OG0002726	SHAE2_33190.7, SHAE2_33190.2, SHAE2_33190.5, SHAE2_33190.3, SHAE2_33190.4, SHAE2_33190.6, SHAE2_33190.1	SRDH2_31250.1, SRDH2_31250.2, SRDH2_31250.4, SRDH2_31250.5, SRDH2_31250.6, SRDH2_31250.7, SRDH2_31250.8, SRDH2_31250.3
OG0002727	SHAE2_78210.1, SHAE2_78210.2	SRDH2_75600.1, SRDH2_75600.2
OG0002728	SHAE2_10340.2, SHAE2_10340.3, SHAE2_10340.4, SHAE2_10340.1	SRDH2_8760.1
OG0002729	SHAE2_18240.1	SRDH2_16670.1
OG0002730	SHAE2_85200.1	SRDH2_83100.1, SRDH2_83100.2
OG0002731	SHAE2_49540.2, SHAE2_49540.1	SRDH2_47110.1
OG0002732	SHAE2_71500.1, SHAE2_71500.2	SRDH2_68930.2, SRDH2_68930.3, SRDH2_68930.1, SRDH2_68930.5, SRDH2_68930.6, SRDH2_68930.4
OG0002733	SHAE2_26710.1, SHAE2_26710.2	SRDH2_24800.1
OG0002734	SHAE2_45160.1	SRDH2_42610.1
OG0002735	SHAE2_33290.1	SRDH2_31360.11, SRDH2_31360.2, SRDH2_31360.10, SRDH2_31360.9, SRDH2_31360.6, SRDH2_31360.4, SRDH2_31360.1, SRDH2_31360.3, SRDH2_31360.5, SRDH2_31360.7, SRDH2_31360.8
OG0002736	SHAE2_26670.1, SHAE2_26670.3, SHAE2_26670.4, SHAE2_26670.5, SHAE2_26670.2	SRDH2_24770.1
OG0002737	SHAE2_39550.1, SHAE2_39570.1, SHAE2_39560.1, SHAE2_39580.1	SRDH2_34240.1
OG0002738	SHAE2_41190.1	SRDH2_95510.1
OG0002739	SHAE2_14570.1, SHAE2_14570.2	SRDH2_14730.1
OG0002740	SHAE2_42520.3, SHAE2_42520.1, SHAE2_42520.4, SHAE2_42520.2	SRDH2_39750.1, SRDH2_39750.2
OG0002741	SHAE2_19660.1	SRDH2_17950.1, SRDH2_17950.2, SRDH2_17950.3, SRDH2_17950.4, SRDH2_17950.5
OG0002742	SHAE2_75820.1	SRDH2_74240.2, SRDH2_74240.1, SRDH2_74240.6, SRDH2_74240.3, SRDH2_74240.4, SRDH2_74240.5
OG0002743	SHAE2_44760.1	SRDH2_42200.4, SRDH2_42200.5, SRDH2_42200.3, SRDH2_42200.1, SRDH2_42200.2
OG0002744	SHAE2_61680.1	SRDH2_59180.3, SRDH2_59180.1, SRDH2_59180.2
OG0002745	SHAE2_97830.1, SHAE2_97830.2	SRDH2_95330.1
OG0002746	SHAE2_57490.1	SRDH2_55190.1, SRDH2_55190.2, SRDH2_55190.3
OG0002747	SHAE2_28030.1	SRDH2_26160.1
OG0002748	SHAE2_38010.1, SHAE2_38010.2	SRDH2_32820.1
OG0002749	SHAE2_50960.2	SRDH2_48480.2, SRDH2_48480.1
OG0002750	SHAE2_50340.1	SRDH2_47870.1, SRDH2_47870.2, SRDH2_47870.3
OG0002751	SHAE2_42820.1	SRDH2_40050.1, SRDH2_40050.2, SRDH2_40050.3
OG0002751	SHAE2_42820.2	SRDH2_40050.4
OG0002752	SHAE2_74630.1, SHAE2_74630.2	SRDH2_72170.1
OG0002753	SHAE2_90680.1, SHAE2_90680.2, SHAE2_90680.3, SHAE2_90680.4	SRDH2_88320.1
OG0002754	SHAE2_17720.1	SRDH2_16210.1
OG0002755	SHAE2_4400.1	SRDH2_3940.1, SRDH2_3940.2
OG0002756	SHAE2_61970.1, SHAE2_61970.3, SHAE2_61970.2	SRDH2_59730.1, SRDH2_59730.2, SRDH2_59730.3, SRDH2_59730.4
OG0002757	SHAE2_34100.5, SHAE2_34100.6, SHAE2_34100.7, SHAE2_34100.4, SHAE2_34100.1, SHAE2_34100.2, SHAE2_34100.3	SRDH2_36700.1
OG0002758	SHAE2_5930.4, SHAE2_5930.2, SHAE2_5930.1, SHAE2_5930.3, SHAE2_5930.5	SRDH2_5470.5, SRDH2_5470.1, SRDH2_5470.2, SRDH2_5470.3, SRDH2_5470.4
OG0002759	SHAE2_30450.1	SRDH2_28570.2, SRDH2_28570.1, SRDH2_28570.3, SRDH2_28570.4
OG0002760	SHAE2_4070.1	SRDH2_3640.1, SRDH2_3630.1, SRDH2_3630.2
OG0002761	SHAE2_6860.3, SHAE2_6860.6, SHAE2_6860.7, SHAE2_6860.1, SHAE2_6860.2, SHAE2_6860.5, SHAE2_6860.4	SRDH2_6710.1
OG0002762	SHAE2_101180.1, SHAE2_101180.2	SRDH2_99090.1
OG0002763	SHAE2_83040.2, SHAE2_83040.3, SHAE2_83040.1	SRDH2_80510.1
OG0002764	SHAE2_33870.1	SRDH2_36910.1
OG0002765	SHAE2_73500.4, SHAE2_73500.1, SHAE2_73500.2, SHAE2_73500.6, SHAE2_73500.3, SHAE2_73500.5	SRDH2_71050.1
OG0002766	SHAE2_77450.1, SHAE2_77450.2	SRDH2_72640.1
OG0002767	SHAE2_52660.1, SHAE2_52660.2, SHAE2_52660.3, SHAE2_52660.5, SHAE2_52660.4	SRDH2_50210.1
OG0002768	SHAE2_2530.1	SRDH2_2280.1
OG0002769	SHAE2_28460.1, SHAE2_28460.2, SHAE2_28460.3	SRDH2_26610.1
OG0002770	SHAE2_20180.1, SHAE2_20180.2	SRDH2_18490.1, SRDH2_18490.2, SRDH2_18490.3, SRDH2_18490.4, SRDH2_18490.5
OG0002771	SHAE2_36550.1	SRDH2_35670.1
OG0002772	SHAE2_85160.1, SHAE2_85160.2, SHAE2_85160.3, SHAE2_85160.4	SRDH2_82900.3, SRDH2_82900.1, SRDH2_82900.4, SRDH2_82900.2
OG0002773	SHAE2_18100.1	SRDH2_16560.1, SRDH2_16560.2, SRDH2_65370.1
OG0002774	SHAE2_3060.1, SHAE2_3070.1, SHAE2_3070.3, SHAE2_3070.2	SRDH2_2800.1, SRDH2_2800.2
OG0002775	SHAE2_36890.1	SRDH2_36020.1, SRDH2_36020.2, SRDH2_36020.3
OG0002776	SHAE2_79190.1	SRDH2_76480.1
OG0002777	SHAE2_80580.1	SRDH2_77950.2, SRDH2_77950.1, SRDH2_77950.3, SRDH2_77950.4
OG0002778	SHAE2_101050.1	SRDH2_98960.7, SRDH2_98960.8, SRDH2_98960.9
OG0002779	SHAE2_36240.1	SRDH2_35280.1
OG0002780	SHAE2_50450.2, SHAE2_50450.1	SRDH2_47980.2, SRDH2_47980.4, SRDH2_47980.1, SRDH2_47980.3
OG0002781	SHAE2_28830.1	SRDH2_26990.1, SRDH2_26990.3, SRDH2_26990.2
OG0002782	SHAE2_83380.1, SHAE2_83390.1	SRDH2_80860.1
OG0002783	SHAE2_57440.4, SHAE2_57440.2, SHAE2_57440.1, SHAE2_57440.3	SRDH2_55130.4, SRDH2_55130.3, SRDH2_55130.2, SRDH2_55130.1, SRDH2_55130.5
OG0002784	SHAE2_28480.1, SHAE2_28480.2, SHAE2_28480.3, SHAE2_28480.4	SRDH2_26620.1
OG0002785	SHAE2_75670.1	SRDH2_74430.1
OG0002786	SHAE2_15050.4, SHAE2_15050.2, SHAE2_15050.3, SHAE2_15050.1	SRDH2_15220.1
OG0002787	SHAE2_7570.1, SHAE2_7570.3, SHAE2_7570.2	SRDH2_7290.1, SRDH2_7300.3, SRDH2_7300.2, SRDH2_7300.1
OG0002788	SHAE2_12570.1	SRDH2_11020.1
OG0002789	SHAE2_21020.1	SRDH2_19260.1
OG0002790	SHAE2_80920.1	SRDH2_78350.1, SRDH2_78360.1
OG0002791	SHAE2_2940.1, SHAE2_2940.2, SHAE2_2940.3, SHAE2_2950.1	SRDH2_2740.1
OG0002792	SHAE2_59280.1	SRDH2_57450.1, SRDH2_57450.3, SRDH2_57450.2
OG0002794	SHAE2_99070.1, SHAE2_99070.3, SHAE2_99070.2	SRDH2_97070.1
OG0002795	SHAE2_28750.1	SRDH2_26910.3
OG0002796	SHAE2_14310.1	SRDH2_14460.1, SRDH2_14460.4, SRDH2_14460.2, SRDH2_14460.3, SRDH2_14460.5, SRDH2_14460.6
OG0002797	SHAE2_39310.1, SHAE2_39310.2, SHAE2_39310.3	SRDH2_34010.1
OG0002798	SHAE2_78730.1, SHAE2_78730.2	SRDH2_76100.1
OG0002799	SHAE2_89480.2, SHAE2_89480.1, SHAE2_89480.3	SRDH2_86660.1
OG0002800	SHAE2_84040.1	SRDH2_81570.1, SRDH2_81570.6, SRDH2_81570.3, SRDH2_81570.5, SRDH2_81570.2, SRDH2_81570.4
OG0002801	SHAE2_5470.1	SRDH2_4980.1, SRDH2_4980.2, SRDH2_4980.3
OG0002802	SHAE2_96310.1	SRDH2_91910.2, SRDH2_91910.3, SRDH2_91910.1
OG0002803	SHAE2_29050.1	SRDH2_27160.1
OG0002804	SHAE2_42210.1	SRDH2_39420.4, SRDH2_39420.1, SRDH2_39420.3, SRDH2_39420.2, SRDH2_39420.5
OG0002805	SHAE2_59580.1	SRDH2_57130.7, SRDH2_57130.1, SRDH2_57130.2, SRDH2_57130.4, SRDH2_57130.5, SRDH2_57130.6, SRDH2_57130.8, SRDH2_57130.3
OG0002806	SHAE2_75290.1	SRDH2_74830.1
OG0002807	SHAE2_22770.2, SHAE2_22770.1	SRDH2_20940.1
OG0002808	SHAE2_66170.1, SHAE2_66180.1, SHAE2_66180.2	SRDH2_63650.3, SRDH2_63650.1, SRDH2_63650.2
OG0002809	SHAE2_86090.1, SHAE2_86090.2	SRDH2_83920.1
OG0002810	SHAE2_37590.1	SRDH2_32380.1, SRDH2_32380.2, SRDH2_32380.3
OG0002811	SHAE2_23920.1	SRDH2_22220.1
OG0002812	SHAE2_91150.1	SRDH2_88740.1, SRDH2_88740.2
OG0002813	SHAE2_82250.1	SRDH2_79750.1, SRDH2_79750.2, SRDH2_79750.5, SRDH2_79750.6, SRDH2_79750.8, SRDH2_79750.10, SRDH2_79750.11, SRDH2_79750.3, SRDH2_79750.4, SRDH2_79750.7, SRDH2_79750.9
OG0002814	SHAE2_26090.1	SRDH2_24080.1, SRDH2_24080.2, SRDH2_24080.3, SRDH2_24080.4, SRDH2_24080.5, SRDH2_24080.6, SRDH2_24080.7, SRDH2_24080.9, SRDH2_24080.8
OG0002815	SHAE2_67610.1, SHAE2_67610.2, SHAE2_67610.3	SRDH2_65070.1, SRDH2_65090.1, SRDH2_65030.1
OG0002816	SHAE2_21710.2	SRDH2_19980.1
OG0002817	SHAE2_40190.1, SHAE2_40190.2	SRDH2_37670.1
OG0002818	SHAE2_79860.1, SHAE2_79860.2, SHAE2_79860.3	SRDH2_77240.1
OG0002819	SHAE2_73130.1	SRDH2_70530.1, SRDH2_70530.2
OG0002820	SHAE2_79250.1, SHAE2_79250.2	SRDH2_76550.1
OG0002821	SHAE2_4820.1, SHAE2_4820.2	SRDH2_4340.1
OG0002822	SHAE2_11660.2, SHAE2_103480.1, SHAE2_11660.1	SRDH2_10100.1, SRDH2_10100.2
OG0002823	SHAE2_16870.3, SHAE2_16870.1, SHAE2_16870.2	SRDH2_15610.3, SRDH2_15610.1, SRDH2_15610.2
OG0002824	SHAE2_2230.1	SRDH2_1960.2, SRDH2_1960.3, SRDH2_1960.1, SRDH2_1960.4, SRDH2_1960.5
OG0002825	SHAE2_51960.1	SRDH2_49450.1, SRDH2_49450.2
OG0002826	SHAE2_43700.1	SRDH2_41020.1
OG0002827	SHAE2_29510.1	SRDH2_27670.5, SRDH2_27670.1, SRDH2_27670.2, SRDH2_27670.3, SRDH2_27670.4
OG0002828	SHAE2_30350.1, SHAE2_30360.1	SRDH2_28490.1
OG0002829	SHAE2_64770.1, SHAE2_64770.2	SRDH2_62270.4, SRDH2_62270.5, SRDH2_62270.1, SRDH2_62270.3, SRDH2_62270.2
OG0002830	SHAE2_25800.3, SHAE2_25800.1, SHAE2_25800.2	SRDH2_24040.1
OG0002831	SHAE2_17640.1, SHAE2_17640.2, SHAE2_17640.3	SRDH2_16130.3, SRDH2_16130.4, SRDH2_16130.2, SRDH2_16130.1
OG0002832	SHAE2_85730.3, SHAE2_85730.4, SHAE2_85730.2, SHAE2_85730.1	SRDH2_83510.1, SRDH2_83510.2
OG0002833	SHAE2_60310.1, SHAE2_60310.2, SHAE2_60310.3	SRDH2_58260.1
OG0002834	SHAE2_4110.1, SHAE2_4110.2	SRDH2_3660.1
OG0002835	SHAE2_96970.1	SRDH2_94370.1, SRDH2_94370.3, SRDH2_94370.2
OG0002836	SHAE2_27860.1	SRDH2_25990.1, SRDH2_25990.2
OG0002837	SHAE2_17650.1, SHAE2_17650.2, SHAE2_17650.3	SRDH2_16140.1, SRDH2_16140.3, SRDH2_16140.4, SRDH2_16140.2, SRDH2_16140.5
OG0002838	SHAE2_15670.1, SHAE2_15670.2, SHAE2_15670.3, SHAE2_15670.4, SHAE2_15670.5	SRDH2_13020.1
OG0002839	SHAE2_75830.4, SHAE2_75830.3, SHAE2_75830.1, SHAE2_75830.2	SRDH2_74230.1
OG0002840	SHAE2_96750.1	SRDH2_94140.4, SRDH2_94140.5, SRDH2_94140.1, SRDH2_94140.2, SRDH2_94140.3
OG0002841	SHAE2_54030.1, SHAE2_54030.2	SRDH2_51760.1
OG0002842	SHAE2_76080.1	SRDH2_73940.1
OG0002843	SHAE2_28390.1, SHAE2_28390.2, SHAE2_28390.3	SRDH2_26540.1
OG0002844	SHAE2_71840.1, SHAE2_71840.2	SRDH2_68540.1
OG0002845	SHAE2_12710.3, SHAE2_12710.2, SHAE2_12710.1, SHAE2_12710.5, SHAE2_12710.6, SHAE2_12710.4	SRDH2_11260.1
OG0002846	SHAE2_23510.2, SHAE2_23510.1	SRDH2_20200.2, SRDH2_20200.1, SRDH2_20200.3
OG0002847	SHAE2_61690.1	SRDH2_59190.3, SRDH2_59190.2, SRDH2_59190.1, SRDH2_59190.4, SRDH2_59190.5, SRDH2_59190.6, SRDH2_59190.7
OG0002848	SHAE2_65340.1	SRDH2_62780.1
OG0002849	SHAE2_15410.1	SRDH2_12940.1
OG0002850	SHAE2_69080.1	SRDH2_67140.1
OG0002851	SHAE2_95090.1, SHAE2_95080.1	SRDH2_93050.1
OG0002852	SHAE2_15530.5, SHAE2_15530.2, SHAE2_15530.3, SHAE2_15530.1, SHAE2_15530.4	SRDH2_12810.1
OG0002853	SHAE2_77600.1	SRDH2_75040.1
OG0002854	SHAE2_37370.1, SHAE2_37370.2, SHAE2_37370.3	SRDH2_32180.1
OG0002855	SHAE2_19290.1, SHAE2_19290.2, SHAE2_19290.3, SHAE2_19290.4	SRDH2_17570.1
OG0002856	SHAE2_56670.4, SHAE2_56670.3, SHAE2_56670.1, SHAE2_56670.2	SRDH2_52670.1, SRDH2_52670.4, SRDH2_52670.2, SRDH2_52670.3, SRDH2_52670.5, SRDH2_52670.6
OG0002857	SHAE2_67430.1	SRDH2_64660.1, SRDH2_64650.1
OG0002858	SHAE2_11820.1, SHAE2_11820.3	SRDH2_10350.1, SRDH2_10350.2, SRDH2_10350.3
OG0002859	SHAE2_66890.1	SRDH2_64300.1
OG0002860	SHAE2_81860.1	SRDH2_79330.1
OG0002861	SHAE2_93360.1	SRDH2_90840.2, SRDH2_90840.1, SRDH2_90840.3
OG0002862	SHAE2_69490.1	SRDH2_67590.1
OG0002863	SHAE2_19530.1	SRDH2_17830.1
OG0002863	SHAE2_19540.1	SRDH2_17840.1
OG0002864	SHAE2_57060.1, SHAE2_57060.2, SHAE2_57060.3	SRDH2_54760.2, SRDH2_54760.1
OG0002865	SHAE2_12530.1, SHAE2_12530.2, SHAE2_12530.4, SHAE2_12530.7, SHAE2_12530.3, SHAE2_12530.5, SHAE2_12530.8, SHAE2_12530.6	SRDH2_11080.1, SRDH2_11070.1
OG0002866	SHAE2_38600.1	SRDH2_33350.1
OG0002867	SHAE2_4320.1, SHAE2_4320.2	SRDH2_3870.1
OG0002868	SHAE2_92400.1	SRDH2_90280.1, SRDH2_90280.2
OG0002869	SHAE2_2360.1	SRDH2_2100.1
OG0002870	SHAE2_50760.1, SHAE2_50760.2	SRDH2_48290.1
OG0002871	SHAE2_47920.2, SHAE2_47920.1	SRDH2_45410.1
OG0002872	SHAE2_52800.4, SHAE2_52800.3, SHAE2_52800.2, SHAE2_52800.1	SRDH2_50360.1
OG0002873	SHAE2_97270.4, SHAE2_97270.6, SHAE2_97270.1, SHAE2_97270.2, SHAE2_97270.3, SHAE2_97270.5	SRDH2_94840.1
OG0002874	SHAE2_42550.1, SHAE2_42550.7, SHAE2_42550.3, SHAE2_42550.5, SHAE2_42550.6, SHAE2_42550.2, SHAE2_42550.4	SRDH2_39790.3, SRDH2_39790.1, SRDH2_39790.2
OG0002875	SHAE2_54370.2, SHAE2_54370.1	SRDH2_52100.1
OG0002876	SHAE2_75340.1, SHAE2_75340.4, SHAE2_75340.2, SHAE2_75340.3	SRDH2_74780.1
OG0002877	SHAE2_64720.1, SHAE2_64720.2	SRDH2_62220.2, SRDH2_62220.3, SRDH2_62220.1, SRDH2_62220.4, SRDH2_62220.5
OG0002878	SHAE2_68000.1, SHAE2_68000.2, SHAE2_68000.3	SRDH2_65450.1
OG0002879	SHAE2_20100.1	SRDH2_18410.1
OG0002880	SHAE2_23870.2, SHAE2_23870.1, SHAE2_23870.3, SHAE2_23870.4, SHAE2_23870.5	SRDH2_22160.1
OG0002881	SHAE2_63170.2, SHAE2_63170.1, SHAE2_63170.3	SRDH2_60800.1
OG0002882	SHAE2_20490.1	SRDH2_18780.1
OG0002882	SHAE2_20500.1	SRDH2_18790.1, SRDH2_18790.2
OG0002883	SHAE2_54480.1, SHAE2_54480.2	SRDH2_52210.1
OG0002884	SHAE2_69330.2, SHAE2_69330.3, SHAE2_69330.1	SRDH2_67410.1
OG0002885	SHAE2_50020.5, SHAE2_50020.1, SHAE2_50020.2, SHAE2_50020.3, SHAE2_50020.4	SRDH2_47530.3, SRDH2_47530.1, SRDH2_47530.2
OG0002886	SHAE2_78920.1, SHAE2_78920.2	SRDH2_76240.1, SRDH2_76240.2
