Orthogroup	schistosoma_bovis	schmidtea_mediterranea
OG0002700	SBOV2_95800.1, SBOV2_95800.2	h1SMcT0012327.1, h1SMcT0012327.2
OG0002708	SBOV2_36310.4, SBOV2_36310.6, SBOV2_36310.7, SBOV2_36310.1, SBOV2_36310.3, SBOV2_36310.5, SBOV2_36310.2	h1SMcT0010585.2
OG0002709	SBOV2_7340.1	h1SMcT0014206.1, h1SMcT0014207.1
OG0002711	SBOV2_87580.3, SBOV2_87580.4, SBOV2_87580.1, SBOV2_87580.2, SBOV2_87580.5	h1SMcT0022126.1
OG0002712	SBOV2_15510.1, SBOV2_15510.2	h1SMcT0001865.1, h1SMcT0016475.3, h1SMcT0016474.4, h1SMcT0016475.2
OG0002713	SBOV2_47120.1, SBOV2_47120.2, SBOV2_47120.3	h1SMcT0012298.4, h1SMcT0012298.3, h1SMcT0012298.1, h1SMcT0012298.2
OG0002715	SBOV2_60160.1, SBOV2_60160.2, SBOV2_60160.3, SBOV2_60160.4	h1SMcT0018555.1
OG0002717	SBOV2_88810.1	h1SMcT0001489.1, h1SMcT0001487.1, h1SMcT0001487.3, h1SMcT0001487.2
OG0002718	SBOV2_66230.1	h1SMcT0016815.3, h1SMcT0016815.5, h1SMcT0016815.4, h1SMcT0016815.1, h1SMcT0016815.2
OG0002719	SBOV2_5710.1, SBOV2_5710.2	h1SMcT0003025.1, h1SMcT0010149.1, h1SMcT0019874.1
OG0002720	SBOV2_5160.2, SBOV2_5160.1	h1SMcT0002372.1
OG0002721	SBOV2_94080.1, SBOV2_94080.3, SBOV2_94080.2	h1SMcT0022586.1, h1SMcT0022586.2
OG0002723	SBOV2_80220.1, SBOV2_80230.1	h1SMcT0018284.1, h1SMcT0001098.1, h1SMcT0020557.1, h1SMcT0020557.2
OG0002724	SBOV2_81100.2, SBOV2_81100.1, SBOV2_81100.3	h1SMcT0014129.1
OG0002725	SBOV2_4400.1, SBOV2_4400.2	h1SMcT0006290.1, h1SMcT0006290.2
OG0002726	SBOV2_36690.1	h1SMcT0013409.1
OG0002727	SBOV2_72930.1, SBOV2_72930.2, SBOV2_72930.3	h1SMcT0017844.2, h1SMcT0017844.3, h1SMcT0017844.5, h1SMcT0017844.7, h1SMcT0017844.1, h1SMcT0017844.6, h1SMcT0017844.4
OG0002730	SBOV2_80020.1, SBOV2_80020.2, SBOV2_80020.3, SBOV2_80020.4	h1SMcT0018069.1, h1SMcT0018069.2, h1SMcT0018069.3
OG0002731	SBOV2_45610.3, SBOV2_45610.2, SBOV2_45610.1	h1SMcT0021544.1, h1SMcT0022908.1
OG0002732	SBOV2_66770.1, SBOV2_66770.2	h1SMcT0012543.1, h1SMcT0012543.4, h1SMcT0012543.2, h1SMcT0012543.3, h1SMcT0012543.5
OG0002734	SBOV2_41480.1	h1SMcT0000891.1, h1SMcT0008266.2, h1SMcT0008266.4, h1SMcT0008266.3, h1SMcT0008266.1
OG0002735	SBOV2_36600.1	h1SMcT0010016.1, h1SMcT0010016.2, h1SMcT0010016.3
OG0002736	SBOV2_23780.4, SBOV2_23780.5, SBOV2_23780.6, SBOV2_23780.7, SBOV2_23780.8	h1SMcT0013012.1
OG0002739	SBOV2_12540.1, SBOV2_12540.2	h1SMcT0019941.1
OG0002740	SBOV2_28200.2, SBOV2_28200.3, SBOV2_28200.1	h1SMcT0018883.1
OG0002741	SBOV2_16970.1	h1SMcT0021447.1, h1SMcT0021447.2, h1SMcT0004667.2, h1SMcT0004667.1, h1SMcT0004667.3
OG0002742	SBOV2_70780.4, SBOV2_70780.1, SBOV2_70780.2, SBOV2_70780.3	h1SMcT0014277.1
OG0002743	SBOV2_25980.1	h1SMcT0007441.1, h1SMcT0021805.1, h1SMcT0021805.2, h1SMcT0021805.3, h1SMcT0008290.1, h1SMcT0006348.1, h1SMcT0005956.1, h1SMcT0005956.2
OG0002744	SBOV2_57330.1	h1SMcT0014974.1, h1SMcT0014974.3, h1SMcT0014974.4, h1SMcT0014974.6, h1SMcT0014974.2, h1SMcT0014974.5
OG0002745	SBOV2_91270.1	h1SMcT0021005.1, h1SMcT0021005.2
OG0002747	SBOV2_25270.1	h1SMcT0022327.1
OG0002748	SBOV2_32430.1	h1SMcT0016516.2, h1SMcT0016516.6, h1SMcT0016516.4, h1SMcT0016516.1, h1SMcT0016516.5, h1SMcT0016516.3, h1SMcT0003223.1, h1SMcT0003223.2
OG0002749	SBOV2_47040.4, SBOV2_47040.6, SBOV2_47040.2, SBOV2_47040.5, SBOV2_47040.3, SBOV2_47040.1	h1SMcT0018110.1, h1SMcT0018110.4, h1SMcT0018110.2, h1SMcT0018110.3
OG0002750	SBOV2_46440.1, SBOV2_46440.2	h1SMcT0022983.2, h1SMcT0022983.3, h1SMcT0022983.5, h1SMcT0001790.1, h1SMcT0001790.3, h1SMcT0022983.4, h1SMcT0001790.4, h1SMcT0001790.2, h1SMcT0022983.6, h1SMcT0022983.1
OG0002752	SBOV2_69660.1	h1SMcT0015526.2, h1SMcT0015526.1, h1SMcT0015526.3
OG0002753	SBOV2_84680.1	h1SMcT0003328.1, h1SMcT0003328.2, h1SMcT0003328.3
OG0002754	SBOV2_15320.2, SBOV2_15320.1, SBOV2_15320.3	h1SMcT0000748.1, h1SMcT0023038.1
OG0002755	SBOV2_3900.1, SBOV2_3900.2, SBOV2_3900.3	h1SMcT0006094.1, h1SMcT0006100.1
OG0002756	SBOV2_57560.1	h1SMcT0003135.1, h1SMcT0003135.2, h1SMcT0023066.1, h1SMcT0000588.6, h1SMcT0000588.2, h1SMcT0000588.4, h1SMcT0000588.5
OG0002758	SBOV2_5370.1	h1SMcT0008309.1
OG0002759	SBOV2_39380.4, SBOV2_39380.1, SBOV2_39380.3, SBOV2_39380.2	h1SMcT0019699.1, h1SMcT0019699.2
OG0002761	SBOV2_6260.1	h1SMcT0005922.1
OG0002762	SBOV2_94710.1, SBOV2_94720.1, SBOV2_94720.2, SBOV2_94700.1	h1SMcT0017886.1
OG0002763	SBOV2_77650.1, SBOV2_77650.2	h1SMcT0014019.1, h1SMcT0014019.2, h1SMcT0014019.3
OG0002765	SBOV2_68460.1	h1SMcT0007684.1, h1SMcT0007684.2
OG0002766	SBOV2_72230.1	h1SMcT0020057.1
OG0002767	SBOV2_48800.1, SBOV2_48800.2	h1SMcT0003718.1, h1SMcT0003718.7, h1SMcT0003718.4, h1SMcT0003718.3, h1SMcT0003718.6, h1SMcT0003718.2, h1SMcT0003718.5
OG0002768	SBOV2_2250.1	h1SMcT0009763.1, h1SMcT0009763.2, h1SMcT0009763.3
OG0002770	SBOV2_17480.2, SBOV2_17480.1, SBOV2_17480.3, SBOV2_17480.4, SBOV2_17480.5	h1SMcT0014243.1, h1SMcT0014243.2
OG0002773	SBOV2_15670.1	h1SMcT0012073.1, h1SMcT0012073.2, h1SMcT0016018.1, h1SMcT0016018.4, h1SMcT0016018.2, h1SMcT0016018.3
OG0002774	SBOV2_2770.1, SBOV2_2780.1	h1SMcT0018682.1
OG0002775	SBOV2_33590.1, SBOV2_33580.1	h1SMcT0010432.1, h1SMcT0010432.2
OG0002777	SBOV2_75190.2, SBOV2_75190.1	h1SMcT0014472.2, h1SMcT0014472.1, h1SMcT0014472.4, h1SMcT0014472.3
OG0002778	SBOV2_94550.1	h1SMcT0007488.1
OG0002779	SBOV2_34320.1	h1SMcT0022636.1, h1SMcT0022636.2
OG0002780	SBOV2_46540.1	h1SMcT0000474.2, h1SMcT0000474.4, h1SMcT0001764.1, h1SMcT0004130.1, h1SMcT0010964.1
OG0002782	SBOV2_77980.1, SBOV2_77980.2, SBOV2_77980.3	h1SMcT0022604.1
OG0002783	SBOV2_51410.1, SBOV2_51410.2, SBOV2_51410.3	h1SMcT0008003.1
OG0002784	SBOV2_41330.1, SBOV2_41330.2, SBOV2_41330.3	h1SMcT0008178.1, h1SMcT0008178.2
OG0002786	SBOV2_12970.1, SBOV2_96250.1	h1SMcT0010646.1, h1SMcT0010646.2
OG0002787	SBOV2_6920.1	h1SMcT0001295.1, h1SMcT0014123.1
OG0002788	SBOV2_10540.1, SBOV2_10540.2, SBOV2_10540.3	h1SMcT0014807.3, h1SMcT0014807.1, h1SMcT0014807.2
OG0002789	SBOV2_18250.1	h1SMcT0013724.1
OG0002790	SBOV2_75510.1, SBOV2_75510.2	h1SMcT0010488.1, h1SMcT0010488.2
OG0002792	SBOV2_55090.1	h1SMcT0001032.3, h1SMcT0001032.1, h1SMcT0001032.2, h1SMcT0001032.4, h1SMcT0001032.5
OG0002794	SBOV2_92690.1	h1SMcT0019472.1, h1SMcT0019472.2
OG0002795	SBOV2_41070.3, SBOV2_41070.1, SBOV2_41070.2	h1SMcT0021429.1, h1SMcT0021429.2
OG0002796	SBOV2_12290.1	h1SMcT0009699.1
OG0002798	SBOV2_73400.1	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3
OG0002800	SBOV2_78690.1, SBOV2_78690.2	h1SMcT0017204.1, h1SMcT0017204.2
OG0002801	SBOV2_4940.1, SBOV2_4940.2, SBOV2_4940.3	h1SMcT0004739.1
OG0002802	SBOV2_89920.6, SBOV2_89920.7, SBOV2_89920.2, SBOV2_89920.3, SBOV2_89920.4, SBOV2_89920.5, SBOV2_89920.1	h1SMcT0013333.1, h1SMcT0013333.2
OG0002803	SBOV2_40790.2, SBOV2_40790.3, SBOV2_40790.1	h1SMcT0003358.1
OG0002804	SBOV2_28510.3, SBOV2_28510.1, SBOV2_28510.2	h1SMcT0016072.1, h1SMcT0016072.2
OG0002805	SBOV2_55390.1	h1SMcT0021082.1
OG0002806	SBOV2_70220.1, SBOV2_70220.2, SBOV2_70220.3	h1SMcT0004369.1, h1SMcT0004369.2
OG0002807	SBOV2_19950.1, SBOV2_19950.2	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2
OG0002808	SBOV2_61610.1, SBOV2_61610.2	h1SMcT0003897.1
OG0002809	SBOV2_80870.1, SBOV2_80870.2	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2
OG0002810	SBOV2_32880.1	h1SMcT0007485.1, h1SMcT0007485.2
OG0002812	SBOV2_85060.1	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3
OG0002813	SBOV2_76850.1, SBOV2_76850.2, SBOV2_76850.3	h1SMcT0013510.1
OG0002814	SBOV2_23190.1	h1SMcT0020082.1
OG0002816	SBOV2_18990.2, SBOV2_18990.1, SBOV2_18990.3, SBOV2_18990.4, SBOV2_18990.5	h1SMcT0003753.1, h1SMcT0003753.2, h1SMcT0003753.3, h1SMcT0017894.1, h1SMcT0017894.2, h1SMcT0017894.3
OG0002817	SBOV2_30380.1	h1SMcT0022064.1
OG0002818	SBOV2_74470.1, SBOV2_74470.2, SBOV2_74470.3	h1SMcT0021904.2, h1SMcT0021904.1, h1SMcT0021904.3
OG0002819	SBOV2_68130.2, SBOV2_68130.1	h1SMcT0000992.1, h1SMcT0000992.2
OG0002821	SBOV2_4320.1, SBOV2_4320.2	h1SMcT0006182.1
OG0002822	SBOV2_9600.3, SBOV2_9600.4, SBOV2_9600.1, SBOV2_9600.2	h1SMcT0005549.1
OG0002823	SBOV2_14650.1, SBOV2_14650.3, SBOV2_14650.2	h1SMcT0008134.1
OG0002824	SBOV2_1960.1	h1SMcT0019939.1, h1SMcT0019939.2
OG0002825	SBOV2_48110.2, SBOV2_48110.1	h1SMcT0008532.1, h1SMcT0012833.4, h1SMcT0012833.8, h1SMcT0012833.7, h1SMcT0012833.3, h1SMcT0012833.9, h1SMcT0012833.1, h1SMcT0012833.5, h1SMcT0012833.10, h1SMcT0012833.2, h1SMcT0012833.6
OG0002826	SBOV2_27040.8, SBOV2_27040.4, SBOV2_27040.6, SBOV2_27040.10, SBOV2_27040.5, SBOV2_27040.3, SBOV2_27040.2, SBOV2_27040.1, SBOV2_27040.9, SBOV2_27040.11, SBOV2_27040.7	h1SMcT0013331.1
OG0002827	SBOV2_40320.1	h1SMcT0001920.1
OG0002828	SBOV2_39500.1, SBOV2_39490.1	h1SMcT0013393.1, h1SMcT0014439.1
OG0002829	SBOV2_60260.1	h1SMcT0006187.1
OG0002830	SBOV2_22970.1, SBOV2_22970.4, SBOV2_22970.2, SBOV2_22970.3	h1SMcT0001922.1
OG0002831	SBOV2_15240.1	h1SMcT0013023.1
OG0002832	SBOV2_80540.2, SBOV2_80540.1	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4
OG0002834	SBOV2_3620.1, SBOV2_3620.2	h1SMcT0011093.1, h1SMcT0019571.1
OG0002835	SBOV2_90580.1	h1SMcT0001144.1, h1SMcT0001144.2
OG0002836	SBOV2_25110.2, SBOV2_25110.3, SBOV2_25110.1, SBOV2_25110.4	h1SMcT0019327.1
OG0002837	SBOV2_15250.1	h1SMcT0014915.1
OG0002839	SBOV2_70800.3, SBOV2_70800.1, SBOV2_70800.2, SBOV2_70800.4	h1SMcT0006670.1, h1SMcT0006670.2
OG0002841	SBOV2_54780.1, SBOV2_54770.2, SBOV2_54770.3, SBOV2_54770.5, SBOV2_54770.4	h1SMcT0006700.1, h1SMcT0017675.1, h1SMcT0017675.2
OG0002842	SBOV2_71060.1	h1SMcT0004397.1
OG0002845	SBOV2_10660.1	h1SMcT0021588.1, h1SMcT0021588.2
OG0002846	SBOV2_19220.1, SBOV2_19220.2	h1SMcT0021442.1, h1SMcT0021442.2
OG0002847	SBOV2_57340.1, SBOV2_57340.2	h1SMcT0004395.1
OG0002848	SBOV2_60810.1	h1SMcT0001453.1, h1SMcT0014726.1, h1SMcT0014726.2
OG0002849	SBOV2_13340.3, SBOV2_13340.1, SBOV2_13340.5, SBOV2_13340.2, SBOV2_13340.4	h1SMcT0016208.1, h1SMcT0016208.2
OG0002850	SBOV2_64360.1	h1SMcT0007062.3, h1SMcT0007062.1, h1SMcT0007062.2
OG0002851	SBOV2_88490.1	h1SMcT0000841.1
OG0002852	SBOV2_13440.1, SBOV2_13440.6, SBOV2_13440.4, SBOV2_13440.5, SBOV2_13440.2, SBOV2_13440.3	h1SMcT0003565.1, h1SMcT0003565.2
OG0002853	SBOV2_72390.1, SBOV2_72390.2, SBOV2_72390.3	h1SMcT0000924.1, h1SMcT0000924.2
OG0002854	SBOV2_33110.1	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5
OG0002855	SBOV2_16630.1, SBOV2_16630.2	h1SMcT0021886.1, h1SMcT0021886.2
OG0002856	SBOV2_52210.1	h1SMcT0000988.1, h1SMcT0000988.2
OG0002857	SBOV2_62690.1	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14
OG0002858	SBOV2_9750.4, SBOV2_9750.1, SBOV2_9750.2, SBOV2_9750.3	h1SMcT0011425.1, h1SMcT0011425.2
OG0002859	SBOV2_62360.1, SBOV2_62360.2, SBOV2_62360.3, SBOV2_62360.4, SBOV2_62360.5	h1SMcT0010965.1, h1SMcT0010965.2
OG0002860	SBOV2_76430.2, SBOV2_76430.1	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2
OG0002861	SBOV2_87170.1	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3
OG0002862	SBOV2_64760.2, SBOV2_64760.1	h1SMcT0014516.1
OG0002863	SBOV2_16850.1, SBOV2_16860.1	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2
OG0002864	SBOV2_51780.1	h1SMcT0001560.1, h1SMcT0001560.2
OG0002866	SBOV2_31900.1, SBOV2_31900.2	h1SMcT0009506.1
OG0002868	SBOV2_86290.1, SBOV2_86290.2	h1SMcT0018668.1
OG0002869	SBOV2_2090.1	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4
OG0002870	SBOV2_46860.1, SBOV2_46860.2	h1SMcT0019214.1
OG0002871	SBOV2_44300.1	h1SMcT0016468.1, h1SMcT0016468.2, h1SMcT0020026.1
OG0002872	SBOV2_48940.1, SBOV2_48940.3, SBOV2_48940.2	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3
OG0002873	SBOV2_90870.1	h1SMcT0009651.1
OG0002874	SBOV2_28170.1, SBOV2_28170.2	h1SMcT0020479.1, h1SMcT0020479.2
OG0002875	SBOV2_54400.1	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4
OG0002876	SBOV2_70270.2, SBOV2_70270.1, SBOV2_70270.3	h1SMcT0007716.1
OG0002877	SBOV2_60210.1	h1SMcT0007009.1
OG0002880	SBOV2_21190.1	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4
OG0002881	SBOV2_58740.1	h1SMcT0004996.1
OG0002883	SBOV2_54300.1, SBOV2_54300.2, SBOV2_54300.3	h1SMcT0022337.1
OG0002884	SBOV2_64600.3, SBOV2_64600.4, SBOV2_64600.1, SBOV2_64600.2	h1SMcT0003205.1, h1SMcT0003205.2
OG0002885	SBOV2_46120.1, SBOV2_46120.2	h1SMcT0020452.1
OG0002889	SBOV2_81300.4, SBOV2_81300.3, SBOV2_81300.1, SBOV2_81310.1, SBOV2_81300.2, SBOV2_81300.5, SBOV2_81300.6	h1SMcT0005077.1, h1SMcT0005077.2
OG0002902	SBOV2_28480.3, SBOV2_28480.2, SBOV2_28480.1	h1SMcT0009500.1, h1SMcT0013191.1
OG0002903	SBOV2_71110.1	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3
OG0002904	SBOV2_21720.1	h1SMcT0012884.1, h1SMcT0012884.2
OG0002905	SBOV2_65980.3, SBOV2_65980.1, SBOV2_65980.4, SBOV2_65980.5, SBOV2_65980.2	h1SMcT0004020.1
OG0002907	SBOV2_5390.1, SBOV2_5390.2, SBOV2_5390.3	h1SMcT0014558.1
OG0002908	SBOV2_68100.1, SBOV2_68100.2	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4
OG0002910	SBOV2_18000.1	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6
OG0002912	SBOV2_64340.3, SBOV2_64340.1, SBOV2_64340.2, SBOV2_64350.3, SBOV2_64350.1, SBOV2_64350.2	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1
OG0002913	SBOV2_9900.1, SBOV2_9900.2	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4
OG0002914	SBOV2_15990.1	h1SMcT0014698.1, h1SMcT0016522.1
OG0002915	SBOV2_76480.1	h1SMcT0007240.1, h1SMcT0007240.2
OG0002916	SBOV2_16910.1, SBOV2_16910.2	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4
OG0002917	SBOV2_22490.1	h1SMcT0020733.1, h1SMcT0002931.1
OG0002918	SBOV2_80510.2, SBOV2_80510.3, SBOV2_80510.1	h1SMcT0022319.1
OG0002921	SBOV2_94060.1, SBOV2_94060.2	h1SMcT0009277.1
OG0002922	SBOV2_75520.3, SBOV2_75520.2, SBOV2_75520.1	h1SMcT0003698.1
OG0002925	SBOV2_12320.1, SBOV2_12320.3, SBOV2_12320.4, SBOV2_12320.5, SBOV2_12320.2	h1SMcT0015505.1
OG0002928	SBOV2_74070.1	h1SMcT0017861.1, h1SMcT0017861.2
OG0002929	SBOV2_21990.1	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3
OG0002930	SBOV2_27290.1	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2
OG0002931	SBOV2_1970.1	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2
OG0002932	SBOV2_44180.1, SBOV2_44170.1	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3
OG0002934	SBOV2_92190.1	h1SMcT0015709.1, h1SMcT0015709.2
OG0002936	SBOV2_46060.1	h1SMcT0008577.1, h1SMcT0008577.2
OG0002938	SBOV2_78160.1	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3
OG0002939	SBOV2_12850.1	h1SMcT0009984.1
OG0002942	SBOV2_77480.1, SBOV2_77460.1	h1SMcT0009114.1
OG0002943	SBOV2_77510.1, SBOV2_77510.2, SBOV2_77510.4, SBOV2_77510.3	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5
OG0002944	SBOV2_16960.1	h1SMcT0022414.1
OG0002945	SBOV2_76800.1, SBOV2_76800.2	h1SMcT0021889.1
OG0002947	SBOV2_88650.1, SBOV2_88660.1, SBOV2_88650.2, SBOV2_88650.3	h1SMcT0015902.1, h1SMcT0015902.2
OG0002948	SBOV2_60130.1	h1SMcT0021089.1, h1SMcT0021089.2
OG0002949	SBOV2_33560.2, SBOV2_33560.1, SBOV2_33560.3	h1SMcT0009486.1
OG0002950	SBOV2_69540.1	h1SMcT0007052.1
OG0002951	SBOV2_29860.1, SBOV2_29860.2	h1SMcT0010433.1, h1SMcT0010433.2
OG0002953	SBOV2_3330.1, SBOV2_3330.2, SBOV2_3330.3, SBOV2_3330.4	h1SMcT0002670.1, h1SMcT0015965.1
OG0002954	SBOV2_59600.1	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3
OG0002955	SBOV2_72900.2, SBOV2_72900.1	h1SMcT0017042.1
OG0002956	SBOV2_93790.1	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2
OG0002958	SBOV2_66430.1, SBOV2_66430.2	h1SMcT0021861.1, h1SMcT0021861.2
OG0002959	SBOV2_86270.1, SBOV2_86270.2	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3
OG0002960	SBOV2_48070.3, SBOV2_48070.4, SBOV2_48070.1, SBOV2_48070.2	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1
OG0002961	SBOV2_18590.1	h1SMcT0011634.1, h1SMcT0011634.2
OG0002962	SBOV2_66010.1	h1SMcT0003796.1
OG0002963	SBOV2_13640.4, SBOV2_13640.1, SBOV2_13640.2, SBOV2_13640.3	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2
OG0002964	SBOV2_24690.1, SBOV2_24690.2	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3
OG0002967	SBOV2_60690.1	h1SMcT0003658.1
OG0002969	SBOV2_52840.1	h1SMcT0017175.1
OG0002971	SBOV2_62590.4, SBOV2_62590.2, SBOV2_62590.5, SBOV2_62590.3, SBOV2_62590.1	h1SMcT0017152.1
OG0002972	SBOV2_61310.1, SBOV2_61310.3, SBOV2_61310.4, SBOV2_61310.2	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4
OG0002973	SBOV2_47890.1	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2
OG0002974	SBOV2_35130.3, SBOV2_35130.1, SBOV2_35130.2	h1SMcT0008277.1
OG0002975	SBOV2_29440.1	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2
OG0002976	SBOV2_63040.1, SBOV2_63040.2, SBOV2_63040.3, SBOV2_63040.4, SBOV2_63040.5, SBOV2_63040.6	h1SMcT0004422.1
OG0002977	SBOV2_7430.1, SBOV2_7430.2, SBOV2_7430.3, SBOV2_7430.4	h1SMcT0003763.1
OG0002979	SBOV2_21160.1, SBOV2_21160.2	h1SMcT0019481.1
OG0002981	SBOV2_74280.1	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2
OG0002983	SBOV2_24140.2, SBOV2_24140.1, SBOV2_24140.4, SBOV2_24140.3	h1SMcT0017079.1
OG0002984	SBOV2_12550.2, SBOV2_12550.3, SBOV2_12550.1, SBOV2_12550.4, SBOV2_12550.5	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2
OG0002985	SBOV2_2180.1	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3
OG0002986	SBOV2_9800.1	h1SMcT0009242.1, h1SMcT0009242.2
OG0002988	SBOV2_91520.1	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3
OG0002989	SBOV2_48770.1, SBOV2_48770.2	h1SMcT0011055.1
OG0002991	SBOV2_35640.4, SBOV2_35640.3, SBOV2_35640.2, SBOV2_35640.1	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1
OG0002992	SBOV2_75000.6, SBOV2_75000.2, SBOV2_75000.5, SBOV2_75000.1, SBOV2_75000.3, SBOV2_75000.4	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4
OG0002993	SBOV2_83180.1	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3
OG0002995	SBOV2_89130.1	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3
OG0002996	SBOV2_14590.1, SBOV2_14590.2	h1SMcT0005458.1
OG0002997	SBOV2_33290.1	h1SMcT0018267.1
OG0002998	SBOV2_43830.1	h1SMcT0006805.1
OG0002999	SBOV2_60000.1, SBOV2_60000.2, SBOV2_60000.3	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2
OG0003001	SBOV2_40590.1, SBOV2_40590.2	h1SMcT0021432.1
OG0003002	SBOV2_19050.2, SBOV2_19050.3, SBOV2_19050.4, SBOV2_19050.1, SBOV2_19050.5	h1SMcT0017011.1
OG0003003	SBOV2_92700.1	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2
OG0003004	SBOV2_74180.1, SBOV2_74180.2	h1SMcT0022793.1, h1SMcT0021479.3, h1SMcT0021479.4, h1SMcT0021479.1, h1SMcT0021479.2, h1SMcT0022793.2
OG0003005	SBOV2_51610.1, SBOV2_51610.2	h1SMcT0007903.1, h1SMcT0007903.2
OG0003006	SBOV2_84160.2, SBOV2_84160.1	h1SMcT0014506.1
OG0003007	SBOV2_60720.1, SBOV2_60720.2, SBOV2_60720.3	h1SMcT0015078.1
OG0003009	SBOV2_6460.3, SBOV2_6460.1, SBOV2_6460.2	h1SMcT0001412.1, h1SMcT0001412.2, h1SMcT0001412.3
OG0003010	SBOV2_70140.1	h1SMcT0021914.1, h1SMcT0021914.2, h1SMcT0021327.3, h1SMcT0021327.5, h1SMcT0021327.4, h1SMcT0021327.6
