Orthogroup	fasciola_gigantica	schmidtea_mediterranea
OG0003413	FGIG_04605	h1SMcT0005699.1, h1SMcT0005699.2
OG0003414	FGIG_04641	h1SMcT0012676.1, h1SMcT0012676.2
OG0003415	FGIG_05494, FGIG_04667	h1SMcT0010319.1, h1SMcT0010717.1, h1SMcT0016840.1
OG0003416	FGIG_04682	h1SMcT0013340.1, h1SMcT0022050.1
OG0003417	FGIG_04700	h1SMcT0022225.1
OG0003418	FGIG_04781	h1SMcT0003458.1
OG0003419	FGIG_04950	h1SMcT0010543.1, h1SMcT0010543.2, h1SMcT0000936.1, h1SMcT0011301.1
OG0003420	FGIG_04953	h1SMcT0011580.1
OG0003421	FGIG_05044	h1SMcT0009233.2, h1SMcT0012005.1, h1SMcT0012005.2
OG0003422	FGIG_05101, FGIG_11462	h1SMcT0016757.2
OG0003423	FGIG_05139, FGIG_05140	h1SMcT0005067.1, h1SMcT0005067.2
OG0003425	FGIG_05221	h1SMcT0004711.1
OG0003426	FGIG_05233	h1SMcT0019561.1, h1SMcT0019561.2
OG0003427	FGIG_05263	h1SMcT0000143.1, h1SMcT0000143.2
OG0003428	FGIG_05322	h1SMcT0002326.1, h1SMcT0013759.1
OG0003429	FGIG_05378	h1SMcT0002222.1, h1SMcT0002222.2
OG0003430	FGIG_05381	h1SMcT0020885.1
OG0003432	FGIG_05497	h1SMcT0007866.1
OG0003433	FGIG_05557	h1SMcT0022375.2, h1SMcT0022375.1, h1SMcT0022375.3
OG0003434	FGIG_05574, FGIG_05575, FGIG_05573	h1SMcT0016003.3, h1SMcT0016003.1, h1SMcT0016003.2
OG0003435	FGIG_05623	h1SMcT0010886.1, h1SMcT0016836.2, h1SMcT0016836.1, h1SMcT0016836.3, h1SMcT0016836.4
OG0003438	FGIG_05722	h1SMcT0013807.1, h1SMcT0017019.1, h1SMcT0017019.2
OG0003439	FGIG_05729	h1SMcT0002835.1, h1SMcT0002835.2
OG0003440	FGIG_05741	h1SMcT0019154.1, h1SMcT0019154.2
OG0003442	FGIG_05841	h1SMcT0006636.1
OG0003443	FGIG_05859	h1SMcT0011199.1, h1SMcT0015552.1
OG0003446	FGIG_05978	h1SMcT0008382.3, h1SMcT0008382.4, h1SMcT0008382.1, h1SMcT0008382.2, h1SMcT0008382.5, h1SMcT0012673.1, h1SMcT0012673.2
OG0003447	FGIG_06010	h1SMcT0022011.1, h1SMcT0022011.2
OG0003448	FGIG_06070	h1SMcT0018150.1
OG0003450	FGIG_06121	h1SMcT0019969.1, h1SMcT0019969.2, h1SMcT0019969.7, h1SMcT0019969.3, h1SMcT0019969.6, h1SMcT0019969.5, h1SMcT0019969.4, h1SMcT0019969.8
OG0003452	FGIG_06174	h1SMcT0006193.1, h1SMcT0016158.1
OG0003454	FGIG_07233, FGIG_06256	h1SMcT0004175.2, h1SMcT0004175.3, h1SMcT0004175.1, h1SMcT0004175.4
OG0003455	FGIG_06283	h1SMcT0002387.1, h1SMcT0018977.1, h1SMcT0002360.1
OG0003456	FGIG_06307	h1SMcT0015030.1, h1SMcT0015030.2
OG0003457	FGIG_06344	h1SMcT0005979.1, h1SMcT0005979.2
OG0003459	FGIG_12029, FGIG_06414	h1SMcT0019798.1, h1SMcT0019799.1
OG0003460	FGIG_06432	h1SMcT0011001.1
OG0003461	FGIG_06491	h1SMcT0013030.1, h1SMcT0013033.1
OG0003462	FGIG_06516	h1SMcT0006561.1
OG0003463	FGIG_06582	h1SMcT0022837.3, h1SMcT0022837.2, h1SMcT0022837.1
OG0003464	FGIG_06669, FGIG_10395	h1SMcT0007079.1, h1SMcT0007079.3, h1SMcT0007079.2
OG0003465	FGIG_06693	h1SMcT0016577.1
OG0003466	FGIG_06768	h1SMcT0005608.1, h1SMcT0005608.2
OG0003467	FGIG_06773	h1SMcT0013403.1, h1SMcT0001028.1
OG0003469	FGIG_06789, FGIG_12033	h1SMcT0004807.1, h1SMcT0004807.2
OG0003470	FGIG_06855, FGIG_07604	h1SMcT0017458.1
OG0003471	FGIG_06877	h1SMcT0014488.1
OG0003472	FGIG_06945	h1SMcT0004760.1
OG0003473	FGIG_07054, FGIG_07055, FGIG_07056	h1SMcT0008129.1
OG0003474	FGIG_07164	h1SMcT0013253.2, h1SMcT0013253.5, h1SMcT0013253.3, h1SMcT0013253.4, h1SMcT0013253.1
OG0003475	FGIG_08007, FGIG_07166	h1SMcT0004329.1
OG0003476	FGIG_07337, FGIG_07336, FGIG_07338	h1SMcT0016404.1
OG0003477	FGIG_07412	h1SMcT0003797.1
OG0003478	FGIG_07434	h1SMcT0000552.1, h1SMcT0008399.1
OG0003480	FGIG_12064, FGIG_07490	h1SMcT0002798.1
OG0003482	FGIG_07511	h1SMcT0022439.1
OG0003483	FGIG_07526	h1SMcT0003316.1
OG0003484	FGIG_12673, FGIG_07557	h1SMcT0001955.1, h1SMcT0001955.2, h1SMcT0001955.7, h1SMcT0001955.3, h1SMcT0001955.4, h1SMcT0001955.5, h1SMcT0001955.6, h1SMcT0001955.8
OG0003485	FGIG_07575	h1SMcT0003207.4, h1SMcT0018921.1
OG0003487	FGIG_07648	h1SMcT0002201.1, h1SMcT0022499.1
OG0003488	FGIG_07953	h1SMcT0008641.1
OG0003489	FGIG_08029, FGIG_08030	h1SMcT0000882.2
OG0003491	FGIG_08112, FGIG_12117	h1SMcT0001740.1
OG0003492	FGIG_08145	h1SMcT0004107.1
OG0003493	FGIG_08216	h1SMcT0021896.1
OG0003494	FGIG_08362	h1SMcT0009876.3, h1SMcT0009876.1, h1SMcT0009876.2, h1SMcT0009876.4
OG0003495	FGIG_10021, FGIG_10022, FGIG_08396	h1SMcT0012596.3, h1SMcT0012596.1, h1SMcT0012596.2
OG0003496	FGIG_08431	h1SMcT0018753.1
OG0003497	FGIG_08580	h1SMcT0007152.1, h1SMcT0007152.2
OG0003498	FGIG_08643	h1SMcT0003413.3, h1SMcT0003413.1, h1SMcT0003413.2
OG0003499	FGIG_08680, FGIG_09723	h1SMcT0009897.1, h1SMcT0014689.1
OG0003501	FGIG_09062	h1SMcT0007701.2
OG0003502	FGIG_09063	h1SMcT0009049.2, h1SMcT0009049.8, h1SMcT0009049.6, h1SMcT0009049.7, h1SMcT0009049.14, h1SMcT0009049.9, h1SMcT0009049.1
OG0003503	FGIG_09082	h1SMcT0020550.3, h1SMcT0020550.4, h1SMcT0020550.1, h1SMcT0020550.2
OG0003504	FGIG_09166	h1SMcT0018008.1, h1SMcT0018008.2
OG0003506	FGIG_09306	h1SMcT0005755.1
OG0003507	FGIG_09412	h1SMcT0003971.1
OG0003508	FGIG_09438	h1SMcT0014210.2, h1SMcT0014210.3
OG0003509	FGIG_09546, FGIG_09545	h1SMcT0002499.1, h1SMcT0015936.1
OG0003510	FGIG_09594	h1SMcT0009819.1
OG0003512	FGIG_09721	h1SMcT0009933.1, h1SMcT0009933.2, h1SMcT0000108.1, h1SMcT0000108.2
OG0003513	FGIG_09801	h1SMcT0009164.1, h1SMcT0009168.1
OG0003515	FGIG_09892	h1SMcT0017228.4, h1SMcT0017228.1, h1SMcT0017228.3, h1SMcT0017228.2
OG0003516	FGIG_09916	h1SMcT0012047.1, h1SMcT0012047.2
OG0003517	FGIG_10167	h1SMcT0005472.1
OG0003518	FGIG_10174	h1SMcT0015060.1
OG0003519	FGIG_10419	h1SMcT0007321.1
OG0003520	FGIG_10467	h1SMcT0018529.1, h1SMcT0018529.2
OG0003521	FGIG_12051, FGIG_10478	h1SMcT0005850.1
OG0003522	FGIG_10541	h1SMcT0016889.1, h1SMcT0016889.2
OG0003523	FGIG_10550	h1SMcT0004516.1, h1SMcT0004516.2, h1SMcT0004516.3
OG0003524	FGIG_10704	h1SMcT0020473.4, h1SMcT0020473.2, h1SMcT0020473.3, h1SMcT0020473.5, h1SMcT0020473.6, h1SMcT0020473.7, h1SMcT0020473.8
OG0003525	FGIG_11007, FGIG_10781	h1SMcT0004359.1
OG0003526	FGIG_10791	h1SMcT0017834.3, h1SMcT0017834.1, h1SMcT0017834.2, h1SMcT0017834.4
OG0003527	FGIG_10811	h1SMcT0019801.1, h1SMcT0019801.2, h1SMcT0019164.3, h1SMcT0019164.2, h1SMcT0019164.4, h1SMcT0019164.1
OG0003529	FGIG_10912	h1SMcT0015325.1
OG0003530	FGIG_10914	h1SMcT0015828.1, h1SMcT0017649.1, h1SMcT0021859.1
OG0003531	FGIG_10989	h1SMcT0020310.1
OG0003532	FGIG_11060	h1SMcT0010852.1
OG0003534	FGIG_11538, FGIG_11202, FGIG_12694	h1SMcT0020995.4, h1SMcT0020995.1, h1SMcT0020995.2, h1SMcT0020995.3
OG0003535	FGIG_11666	h1SMcT0021186.1
OG0003536	FGIG_11774	h1SMcT0016974.1
OG0003537	FGIG_11863	h1SMcT0011547.4, h1SMcT0011547.1, h1SMcT0011547.3, h1SMcT0011547.2
OG0003540	FGIG_12074	h1SMcT0012338.1, h1SMcT0012340.1, h1SMcT0013337.1, h1SMcT0013337.2
OG0003541	FGIG_12159	h1SMcT0015623.2
OG0003542	FGIG_12196	h1SMcT0001198.1, h1SMcT0001198.2, h1SMcT0001198.3
OG0003543	FGIG_12417	h1SMcT0014924.1
OG0003545	FGIG_12639	h1SMcT0022394.1
OG0003577	FGIG_05691, FGIG_05690, FGIG_00043	h1SMcT0008901.1
OG0003578	FGIG_00080	h1SMcT0012594.1
OG0003579	FGIG_00148	h1SMcT0017241.1, h1SMcT0017241.2
OG0003580	FGIG_00273	h1SMcT0021008.1, h1SMcT0022882.1, h1SMcT0021008.2, h1SMcT0022882.2
OG0003581	FGIG_00360	h1SMcT0004358.1, h1SMcT0004358.2
OG0003582	FGIG_00366	h1SMcT0006831.1
OG0003583	FGIG_00376	h1SMcT0003589.1
OG0003584	FGIG_00469	h1SMcT0009740.1
OG0003585	FGIG_00518	h1SMcT0015659.1, h1SMcT0015659.2
OG0003586	FGIG_00534	h1SMcT0009848.4, h1SMcT0009848.2, h1SMcT0009848.5, h1SMcT0009848.3, h1SMcT0009848.7, h1SMcT0009848.1, h1SMcT0009848.6
OG0003588	FGIG_00743	h1SMcT0018563.1
OG0003589	FGIG_00813	h1SMcT0013706.1
OG0003590	FGIG_12402, FGIG_00895	h1SMcT0022259.1, h1SMcT0022259.2
OG0003591	FGIG_00905	h1SMcT0018432.1
OG0003592	FGIG_00927	h1SMcT0010469.1
OG0003593	FGIG_00974	h1SMcT0016363.1, h1SMcT0016363.2
OG0003595	FGIG_01053	h1SMcT0010668.1, h1SMcT0018748.1, h1SMcT0018748.3, h1SMcT0018748.2
OG0003596	FGIG_01069	h1SMcT0014091.1
OG0003598	FGIG_01092	h1SMcT0015580.1, h1SMcT0015582.1
OG0003599	FGIG_01106	h1SMcT0010186.1
OG0003600	FGIG_01135	h1SMcT0009017.4
OG0003601	FGIG_01211	h1SMcT0000971.1
OG0003603	FGIG_01389	h1SMcT0007463.1, h1SMcT0007463.2
OG0003604	FGIG_01421	h1SMcT0008060.1, h1SMcT0016540.2, h1SMcT0016540.1, h1SMcT0016540.3
OG0003605	FGIG_01482	h1SMcT0001544.1, h1SMcT0001547.1, h1SMcT0001547.2
OG0003606	FGIG_01532	h1SMcT0008610.1, h1SMcT0008610.2
OG0003608	FGIG_01683	h1SMcT0000105.1, h1SMcT0000105.2
OG0003609	FGIG_01810	h1SMcT0011897.1, h1SMcT0011897.2
OG0003610	FGIG_01872	h1SMcT0021256.3
OG0003611	FGIG_01911	h1SMcT0020153.1
OG0003614	FGIG_01971, FGIG_01972	h1SMcT0021029.1
OG0003615	FGIG_01976	h1SMcT0009552.1, h1SMcT0016899.1
OG0003616	FGIG_02007, FGIG_02006	h1SMcT0013986.1, h1SMcT0013986.2
OG0003617	FGIG_02047	h1SMcT0021970.1
OG0003619	FGIG_02061	h1SMcT0012852.1
OG0003620	FGIG_02101	h1SMcT0011206.1, h1SMcT0018617.1, h1SMcT0018625.1
OG0003620	FGIG_08873	h1SMcT0016395.1, h1SMcT0021539.1, h1SMcT0022931.1, h1SMcT0014896.1, h1SMcT0003898.1, h1SMcT0012424.1
OG0003621	FGIG_02103	h1SMcT0019421.1, h1SMcT0019421.2
OG0003622	FGIG_02151, FGIG_02150, FGIG_07012	h1SMcT0003180.1
OG0003623	FGIG_02257	h1SMcT0022341.1
OG0003624	FGIG_02258	h1SMcT0012575.1, h1SMcT0012575.2
OG0003625	FGIG_12606, FGIG_02275	h1SMcT0000253.4, h1SMcT0000253.1, h1SMcT0000253.3, h1SMcT0000253.2
OG0003626	FGIG_02277	h1SMcT0017906.2, h1SMcT0017906.3, h1SMcT0017906.4, h1SMcT0017906.1, h1SMcT0017906.5
OG0003627	FGIG_02279, FGIG_02278	h1SMcT0010053.1, h1SMcT0015893.1
OG0003630	FGIG_02400	h1SMcT0016319.1
OG0003631	FGIG_02436	h1SMcT0018149.1, h1SMcT0018247.1, h1SMcT0018247.2, h1SMcT0008497.1, h1SMcT0008497.2, h1SMcT0008497.3
OG0003632	FGIG_02505	h1SMcT0000049.2
OG0003634	FGIG_02606, FGIG_02607	h1SMcT0021142.2, h1SMcT0021142.3, h1SMcT0021142.1, h1SMcT0021142.4
OG0003635	FGIG_02628	h1SMcT0001888.1, h1SMcT0001889.1
OG0003637	FGIG_02762	h1SMcT0002430.2, h1SMcT0002430.7, h1SMcT0002430.6, h1SMcT0002430.9, h1SMcT0002430.5, h1SMcT0002430.10, h1SMcT0002430.3, h1SMcT0002430.4, h1SMcT0002430.8
OG0003638	FGIG_02770, FGIG_02771	h1SMcT0014143.1, h1SMcT0016340.1, h1SMcT0016340.2
OG0003640	FGIG_02786	h1SMcT0014562.1
OG0003642	FGIG_02922	h1SMcT0009300.1, h1SMcT0009300.2, h1SMcT0009300.3, h1SMcT0009300.5, h1SMcT0009300.4
OG0003643	FGIG_02927	h1SMcT0014430.1
OG0003647	FGIG_03168	h1SMcT0007938.1, h1SMcT0007938.2
OG0003648	FGIG_03188	h1SMcT0013250.1
OG0003649	FGIG_03219	h1SMcT0003422.2, h1SMcT0003422.3, h1SMcT0003177.1, h1SMcT0003177.2, h1SMcT0003177.3, h1SMcT0003177.4
OG0003650	FGIG_03263	h1SMcT0007425.1, h1SMcT0007427.1, h1SMcT0007777.1, h1SMcT0007775.1, h1SMcT0007776.1
OG0003651	FGIG_03287	h1SMcT0010028.1
OG0003652	FGIG_03323, FGIG_10472	h1SMcT0018660.1, h1SMcT0018660.2
OG0003653	FGIG_03385	h1SMcT0006239.1, h1SMcT0006239.2
OG0003654	FGIG_03411	h1SMcT0009018.1, h1SMcT0009018.2
OG0003655	FGIG_03536	h1SMcT0000078.1
OG0003656	FGIG_03555	h1SMcT0011749.1, h1SMcT0011749.2
OG0003657	FGIG_03629	h1SMcT0004100.1, h1SMcT0005639.1
OG0003658	FGIG_03659	h1SMcT0018792.1, h1SMcT0018792.3, h1SMcT0018792.2, h1SMcT0018792.4, h1SMcT0018792.6, h1SMcT0018792.5
OG0003659	FGIG_03808, FGIG_03705, FGIG_10990	h1SMcT0022461.1, h1SMcT0022483.2, h1SMcT0022483.3, h1SMcT0022481.2, h1SMcT0022482.2, h1SMcT0022482.1, h1SMcT0022482.3
OG0003660	FGIG_03712	h1SMcT0019237.1, h1SMcT0019237.2
OG0003661	FGIG_03773	h1SMcT0020113.1, h1SMcT0020113.2
OG0003662	FGIG_03809	h1SMcT0012678.1
OG0003663	FGIG_03827	h1SMcT0020390.1, h1SMcT0021425.1, h1SMcT0021425.2
OG0003665	FGIG_04110	h1SMcT0022301.1
OG0003666	FGIG_04175	h1SMcT0018659.1, h1SMcT0018659.2, h1SMcT0018659.3
OG0003667	FGIG_04235	h1SMcT0017842.1
OG0003670	FGIG_04318	h1SMcT0021848.1, h1SMcT0005300.1, h1SMcT0005300.2
OG0003671	FGIG_04333	h1SMcT0018539.1
OG0003672	FGIG_04413	h1SMcT0021887.1, h1SMcT0021887.2
OG0003673	FGIG_04449	h1SMcT0001725.1
OG0003674	FGIG_04589, FGIG_04590	h1SMcT0006658.1, h1SMcT0006658.2, h1SMcT0006658.3
OG0003675	FGIG_04600	h1SMcT0023107.1
OG0003676	FGIG_04653, FGIG_04652	h1SMcT0001797.1, h1SMcT0001797.2
OG0003679	FGIG_04803	h1SMcT0021675.1, h1SMcT0021675.2
OG0003681	FGIG_04982	h1SMcT0020747.1
OG0003684	FGIG_05125	h1SMcT0014766.1
OG0003685	FGIG_05168	h1SMcT0002971.1
OG0003686	FGIG_05189, FGIG_05190, FGIG_05191	h1SMcT0015551.1
OG0003687	FGIG_05219	h1SMcT0020278.1, h1SMcT0020278.2, h1SMcT0020278.3
OG0003688	FGIG_05228	h1SMcT0002631.1, h1SMcT0002631.2
OG0003689	FGIG_05234	h1SMcT0000918.1, h1SMcT0000921.1
OG0003691	FGIG_05257	h1SMcT0009999.1
OG0003693	FGIG_05359	h1SMcT0014050.2, h1SMcT0022706.1, h1SMcT0022706.4, h1SMcT0014050.1, h1SMcT0022706.2, h1SMcT0022706.3
OG0003694	FGIG_05400	h1SMcT0006802.1, h1SMcT0009283.1
OG0003695	FGIG_05402	h1SMcT0004950.1, h1SMcT0004950.2, h1SMcT0004950.3
OG0003696	FGIG_05430	h1SMcT0003888.1, h1SMcT0008649.1, h1SMcT0009111.4, h1SMcT0009111.1, h1SMcT0009111.2, h1SMcT0009111.3
OG0003697	FGIG_05465	h1SMcT0002976.1, h1SMcT0002976.2
OG0003698	FGIG_05470, FGIG_05471	h1SMcT0000673.1, h1SMcT0013203.1, h1SMcT0013203.2
OG0003699	FGIG_05504, FGIG_12553	h1SMcT0012950.1
OG0003700	FGIG_05526	h1SMcT0004608.1, h1SMcT0015764.2, h1SMcT0015764.1, h1SMcT0015764.4, h1SMcT0015764.3
OG0003701	FGIG_05891	h1SMcT0013014.1, h1SMcT0013014.2
OG0003703	FGIG_05933	h1SMcT0005125.1, h1SMcT0006405.1, h1SMcT0006405.2, h1SMcT0006405.3
OG0003704	FGIG_13994, FGIG_05964	h1SMcT0004294.1
OG0003705	FGIG_06163	h1SMcT0017746.1
OG0003706	FGIG_06271, FGIG_06272	h1SMcT0022328.1
OG0003707	FGIG_06450	h1SMcT0009228.1
OG0003708	FGIG_06479	h1SMcT0016122.1
OG0003709	FGIG_06505	h1SMcT0015138.1, h1SMcT0022015.1
OG0003710	FGIG_06612	h1SMcT0000643.1, h1SMcT0000643.10, h1SMcT0000643.11, h1SMcT0000643.12, h1SMcT0000643.13, h1SMcT0000643.2, h1SMcT0000643.3, h1SMcT0000643.4, h1SMcT0000643.5, h1SMcT0000643.6, h1SMcT0000643.7, h1SMcT0000643.8, h1SMcT0000643.9, h1SMcT0000643.14
OG0003711	FGIG_06613	h1SMcT0006890.1
OG0003712	FGIG_06656	h1SMcT0004663.3, h1SMcT0004663.1, h1SMcT0004663.2, h1SMcT0004663.4
OG0003713	FGIG_06713	h1SMcT0017621.1
OG0003715	FGIG_06756, FGIG_10384	h1SMcT0017508.2, h1SMcT0017508.7, h1SMcT0017508.1, h1SMcT0017508.5, h1SMcT0017508.6, h1SMcT0017508.3, h1SMcT0017508.4
OG0003716	FGIG_11776, FGIG_06886	h1SMcT0010531.1, h1SMcT0010531.2
OG0003717	FGIG_06980	h1SMcT0019043.2, h1SMcT0019043.1, h1SMcT0019043.3, h1SMcT0019043.4
OG0003718	FGIG_07002	h1SMcT0018924.1, h1SMcT0018924.2, h1SMcT0018924.3, h1SMcT0009811.1, h1SMcT0009808.1, h1SMcT0009807.1, h1SMcT0009809.1
OG0003720	FGIG_07079	h1SMcT0004241.1, h1SMcT0004241.2, h1SMcT0003657.1, h1SMcT0003657.2
OG0003722	FGIG_07109	h1SMcT0021168.1, h1SMcT0021168.2
OG0003723	FGIG_07238	h1SMcT0003549.1, h1SMcT0003549.2, h1SMcT0003549.3
OG0003725	FGIG_07513	h1SMcT0003823.1, h1SMcT0003823.2, h1SMcT0003823.3
OG0003726	FGIG_07524	h1SMcT0006311.1
OG0003727	FGIG_07563	h1SMcT0007982.1
OG0003728	FGIG_07579	h1SMcT0021525.1
OG0003730	FGIG_07635	h1SMcT0009136.1
OG0003732	FGIG_07745	h1SMcT0004489.1, h1SMcT0004489.2
OG0003733	FGIG_07762	h1SMcT0010758.1, h1SMcT0010758.2
OG0003735	FGIG_07925	h1SMcT0010498.1, h1SMcT0010498.2
OG0003736	FGIG_07989	h1SMcT0004616.1, h1SMcT0004616.2
OG0003737	FGIG_08005	h1SMcT0016541.1
OG0003739	FGIG_08064	h1SMcT0004135.1, h1SMcT0004135.2, h1SMcT0004135.4, h1SMcT0004135.5, h1SMcT0004135.6, h1SMcT0004135.7, h1SMcT0004135.8, h1SMcT0004135.3
OG0003740	FGIG_08197	h1SMcT0003530.1
OG0003741	FGIG_08295	h1SMcT0013195.4, h1SMcT0013195.3, h1SMcT0013195.1, h1SMcT0013195.2, h1SMcT0013195.5
OG0003743	FGIG_08425	h1SMcT0003420.1
OG0003744	FGIG_08433	h1SMcT0007904.1, h1SMcT0020477.4, h1SMcT0020477.1, h1SMcT0020477.2, h1SMcT0020477.3
OG0003745	FGIG_08508	h1SMcT0018725.1, h1SMcT0018725.2
OG0003747	FGIG_08676	h1SMcT0004266.1
OG0003748	FGIG_08786	h1SMcT0018220.1, h1SMcT0000703.1, h1SMcT0000703.2
OG0003749	FGIG_08829	h1SMcT0010525.1
OG0003752	FGIG_08988	h1SMcT0003605.1
OG0003754	FGIG_09038	h1SMcT0000938.1
OG0003755	FGIG_09116	h1SMcT0000211.1
OG0003756	FGIG_09217	h1SMcT0022596.1, h1SMcT0022596.2, h1SMcT0022596.3
OG0003758	FGIG_09269	h1SMcT0021054.1
OG0003759	FGIG_09414	h1SMcT0008011.1, h1SMcT0008011.2, h1SMcT0008011.3
OG0003760	FGIG_09472	h1SMcT0003701.1
OG0003761	FGIG_09526	h1SMcT0018498.1
OG0003762	FGIG_09568	h1SMcT0018964.1, h1SMcT0018964.2, h1SMcT0018964.3
OG0003763	FGIG_09747, FGIG_09748	h1SMcT0020988.1, h1SMcT0020988.2, h1SMcT0020988.5, h1SMcT0020988.6, h1SMcT0020988.7, h1SMcT0020988.3, h1SMcT0020988.4
OG0003764	FGIG_09791	h1SMcT0007433.3, h1SMcT0007433.1, h1SMcT0007433.2
OG0003765	FGIG_09850	h1SMcT0016751.1, h1SMcT0016751.3, h1SMcT0016751.2, h1SMcT0016751.4
OG0003766	FGIG_09880	h1SMcT0018347.2, h1SMcT0018347.3, h1SMcT0018347.1, h1SMcT0017605.1, h1SMcT0020318.1, h1SMcT0020318.2
OG0003767	FGIG_09908	h1SMcT0001887.1, h1SMcT0001887.2
OG0003768	FGIG_10005	h1SMcT0010098.1, h1SMcT0010098.2
OG0003769	FGIG_10096	h1SMcT0015412.1, h1SMcT0018203.1, h1SMcT0018203.3, h1SMcT0018203.2, h1SMcT0018203.4, h1SMcT0015485.1
OG0003770	FGIG_10119	h1SMcT0012287.1
OG0003772	FGIG_10200	h1SMcT0010220.1, h1SMcT0010220.2
OG0003773	FGIG_10332	h1SMcT0002262.1, h1SMcT0021924.1, h1SMcT0022195.1, h1SMcT0022195.3, h1SMcT0022195.2
OG0003774	FGIG_10366	h1SMcT0019188.2
OG0003775	FGIG_10369	h1SMcT0014121.1
OG0003776	FGIG_10526	h1SMcT0009491.1
OG0003777	FGIG_10553	h1SMcT0013416.1, h1SMcT0013416.2
OG0003778	FGIG_12691, FGIG_10658	h1SMcT0003233.1, h1SMcT0003233.2, h1SMcT0003233.3
OG0003780	FGIG_10805	h1SMcT0015198.1
OG0003782	FGIG_10921	h1SMcT0001170.1, h1SMcT0018093.1
OG0003784	FGIG_10994	h1SMcT0002864.1, h1SMcT0009748.1
OG0003785	FGIG_11010	h1SMcT0010219.1, h1SMcT0010219.2
OG0003786	FGIG_11016	h1SMcT0018459.1, h1SMcT0018459.2
OG0003787	FGIG_11020	h1SMcT0018860.1
OG0003788	FGIG_11181	h1SMcT0016939.1
OG0003790	FGIG_11213	h1SMcT0009815.1
OG0003792	FGIG_11350	h1SMcT0002743.1, h1SMcT0002746.1, h1SMcT0002744.1, h1SMcT0002745.1, h1SMcT0002780.1
OG0003793	FGIG_11585, FGIG_11402	h1SMcT0017221.1
OG0003794	FGIG_11510	h1SMcT0005061.1, h1SMcT0005062.1
OG0003795	FGIG_11651	h1SMcT0007307.1, h1SMcT0021866.1
OG0003798	FGIG_11711	h1SMcT0010010.1
OG0003800	FGIG_11956	h1SMcT0019309.1
OG0003801	FGIG_12180	h1SMcT0022379.2
OG0003827	FGIG_00616, FGIG_00003	h1SMcT0014037.1, h1SMcT0020987.1, h1SMcT0020987.2
OG0003828	FGIG_00011	h1SMcT0022351.1
OG0003829	FGIG_00056	h1SMcT0018251.1, h1SMcT0018251.2
OG0003830	FGIG_00070, FGIG_00074	h1SMcT0014685.1
OG0003832	FGIG_00158, FGIG_07024, FGIG_07023	h1SMcT0010783.1
OG0003833	FGIG_00179	h1SMcT0000802.3, h1SMcT0000802.1, h1SMcT0000802.2, h1SMcT0001709.4, h1SMcT0001709.1, h1SMcT0022921.2, h1SMcT0001709.2, h1SMcT0022921.3, h1SMcT0001709.3, h1SMcT0022921.1, h1SMcT0000957.1, h1SMcT0019147.1
OG0003834	FGIG_00232	h1SMcT0022168.1, h1SMcT0022168.2
OG0003835	FGIG_00269	h1SMcT0012403.1
OG0003838	FGIG_00326	h1SMcT0002495.1, h1SMcT0019970.2, h1SMcT0019970.3, h1SMcT0019970.1
OG0003839	FGIG_00336	h1SMcT0012870.1, h1SMcT0012870.2
OG0003841	FGIG_00378	h1SMcT0007169.1
OG0003843	FGIG_00393, FGIG_08414	h1SMcT0003794.1, h1SMcT0021046.1
OG0003845	FGIG_11306, FGIG_00428	h1SMcT0006624.1, h1SMcT0006624.2
OG0003846	FGIG_00437, FGIG_01677	h1SMcT0000622.1, h1SMcT0022186.1, h1SMcT0018696.1
OG0003847	FGIG_00468	h1SMcT0014186.1
OG0003848	FGIG_00519	h1SMcT0001867.1
OG0003850	FGIG_00595	h1SMcT0005292.1, h1SMcT0006886.1, h1SMcT0003132.1, h1SMcT0003132.2
OG0003851	FGIG_00629	h1SMcT0011549.5, h1SMcT0011549.2, h1SMcT0011549.4, h1SMcT0011549.1, h1SMcT0011549.3
OG0003852	FGIG_00732	h1SMcT0005037.1, h1SMcT0007970.1, h1SMcT0019831.1
OG0003854	FGIG_00780	h1SMcT0010560.1
OG0003855	FGIG_00798	h1SMcT0021073.5, h1SMcT0021073.1, h1SMcT0021073.2, h1SMcT0021073.3, h1SMcT0021073.6, h1SMcT0021073.4, h1SMcT0021073.7
OG0003856	FGIG_00888, FGIG_06116, FGIG_08750, FGIG_08749	h1SMcT0006374.4
OG0003858	FGIG_00980	h1SMcT0011376.1, h1SMcT0011376.4, h1SMcT0011376.3, h1SMcT0011376.2, h1SMcT0011376.5
OG0003859	FGIG_00987	h1SMcT0007589.3, h1SMcT0007589.2, h1SMcT0007589.1
OG0003860	FGIG_01015	h1SMcT0016827.1
OG0003861	FGIG_01052	h1SMcT0007994.1, h1SMcT0007994.3
OG0003862	FGIG_01086	h1SMcT0003243.1, h1SMcT0003243.2
OG0003863	FGIG_01209	h1SMcT0000269.1, h1SMcT0003646.1
OG0003864	FGIG_01322	h1SMcT0018195.1, h1SMcT0018195.2
OG0003865	FGIG_01481	h1SMcT0003532.1, h1SMcT0003533.1, h1SMcT0003533.2
OG0003866	FGIG_01504	h1SMcT0016013.1, h1SMcT0016165.1
OG0003867	FGIG_01563	h1SMcT0004926.2, h1SMcT0004926.3, h1SMcT0010279.1, h1SMcT0010279.2
OG0003868	FGIG_01607	h1SMcT0006851.1
OG0003869	FGIG_01647	h1SMcT0005486.1
