Orthogroup	schistosoma_bovis	trichobilharzia_regenti
OG0002924	SBOV2_11650.1	TREG1_15350.1, TREG1_15360.1
OG0002925	SBOV2_12320.1, SBOV2_12320.3, SBOV2_12320.4, SBOV2_12320.5, SBOV2_12320.2	TREG1_25680.1
OG0002926	SBOV2_96370.1	TREG1_47530.2, TREG1_47530.4, TREG1_47530.5, TREG1_47530.6, TREG1_47530.1, TREG1_47530.3, TREG1_47530.7
OG0002927	SBOV2_9450.1, SBOV2_9450.2, SBOV2_9450.3, SBOV2_9450.4, SBOV2_9450.5, SBOV2_9450.6, SBOV2_9450.7	TREG1_2100.1
OG0002928	SBOV2_74070.1	TREG1_107960.2, TREG1_107960.4, TREG1_107960.3, TREG1_107960.5, TREG1_107970.1
OG0002929	SBOV2_21990.1	TREG1_29370.3, TREG1_29370.2, TREG1_29360.1, TREG1_29370.1
OG0002930	SBOV2_27290.1	TREG1_45880.1
OG0002931	SBOV2_1970.1	TREG1_9920.6, TREG1_9920.3, TREG1_9920.4, TREG1_9920.7, TREG1_9920.5, TREG1_9920.2, TREG1_9920.1
OG0002932	SBOV2_44180.1, SBOV2_44170.1	TREG1_31900.1
OG0002933	SBOV2_27550.1	TREG1_34790.1, TREG1_34800.1, TREG1_34790.2
OG0002934	SBOV2_92190.1	TREG1_130510.1, TREG1_130510.2, TREG1_130510.3
OG0002935	SBOV2_65380.1	TREG1_82860.1, TREG1_82850.1
OG0002936	SBOV2_46060.1	TREG1_63540.1
OG0002937	SBOV2_28870.1	TREG1_41750.4, TREG1_41750.1, TREG1_41750.3, TREG1_41750.2
OG0002939	SBOV2_12850.1	TREG1_29540.1
OG0002940	SBOV2_47400.4, SBOV2_47400.3, SBOV2_47400.1, SBOV2_47400.2	TREG1_64810.1
OG0002941	SBOV2_50520.1, SBOV2_50510.1	TREG1_77240.1, TREG1_77250.1
OG0002942	SBOV2_77480.1	TREG1_104240.1
OG0002942	SBOV2_77460.1	TREG1_104220.1, TREG1_104230.1
OG0002943	SBOV2_77510.1, SBOV2_77510.2, SBOV2_77510.4, SBOV2_77510.3	TREG1_104260.1
OG0002944	SBOV2_16960.1	TREG1_13630.4, TREG1_13630.1, TREG1_13630.2, TREG1_13630.3
OG0002945	SBOV2_76800.1, SBOV2_76800.2	TREG1_105990.1, TREG1_105990.4, TREG1_105990.3, TREG1_105990.2
OG0002947	SBOV2_88650.1, SBOV2_88660.1, SBOV2_88650.2, SBOV2_88650.3	TREG1_127350.1
OG0002948	SBOV2_60130.1	TREG1_81390.1
OG0002949	SBOV2_33560.2, SBOV2_33560.1, SBOV2_33560.3	TREG1_32930.1, TREG1_53760.1
OG0002950	SBOV2_69540.1	TREG1_97980.1, TREG1_97980.2, TREG1_97980.3
OG0002951	SBOV2_29860.1, SBOV2_29860.2	TREG1_33030.1
OG0002952	SBOV2_49770.1	TREG1_75000.1, TREG1_75010.1, TREG1_75010.2, TREG1_75010.3, TREG1_75010.4
OG0002953	SBOV2_3330.1, SBOV2_3330.2, SBOV2_3330.3, SBOV2_3330.4	TREG1_3010.1
OG0002954	SBOV2_59600.1	TREG1_79650.4, TREG1_79650.1, TREG1_79650.2, TREG1_79650.3, TREG1_79650.5, TREG1_79650.6, TREG1_79650.7, TREG1_79650.8, TREG1_79650.9
OG0002955	SBOV2_72900.2, SBOV2_72900.1	TREG1_106670.1
OG0002956	SBOV2_93790.1	TREG1_134370.1, TREG1_134370.2, TREG1_134370.3
OG0002957	SBOV2_69640.1, SBOV2_69640.4, SBOV2_69640.3, SBOV2_69640.2	TREG1_96720.1
OG0002958	SBOV2_66430.1, SBOV2_66430.2	TREG1_90850.1, TREG1_90850.2, TREG1_90850.3
OG0002959	SBOV2_86270.1, SBOV2_86270.2	TREG1_119830.1, TREG1_119830.2
OG0002960	SBOV2_48070.3, SBOV2_48070.4, SBOV2_48070.1, SBOV2_48070.2	TREG1_70930.1, TREG1_70930.2
OG0002961	SBOV2_18590.1	TREG1_21530.1, TREG1_21530.2, TREG1_21530.3, TREG1_21530.4
OG0002962	SBOV2_66010.1	TREG1_89380.2, TREG1_89380.4, TREG1_89380.1, TREG1_89380.3
OG0002963	SBOV2_13640.4, SBOV2_13640.1, SBOV2_13640.2, SBOV2_13640.3	TREG1_15620.1
OG0002964	SBOV2_24690.1, SBOV2_24690.2	TREG1_31510.1, TREG1_31510.4, TREG1_31510.2, TREG1_31510.3
OG0002965	SBOV2_91460.1, SBOV2_91460.3, SBOV2_91460.2	TREG1_74260.1
OG0002966	SBOV2_43270.1	TREG1_34630.2, TREG1_34630.3, TREG1_34630.1, TREG1_34630.4
OG0002967	SBOV2_60690.1	TREG1_86580.1
OG0002968	SBOV2_18800.1, SBOV2_18800.2	TREG1_21240.1, TREG1_21240.3, TREG1_21240.4, TREG1_21240.2, TREG1_21240.5
OG0002969	SBOV2_52840.1	TREG1_70240.1, TREG1_70230.1
OG0002970	SBOV2_9720.1	TREG1_18710.1, TREG1_18710.2
OG0002971	SBOV2_62590.4, SBOV2_62590.2, SBOV2_62590.5, SBOV2_62590.3, SBOV2_62590.1	TREG1_89130.1
OG0002972	SBOV2_61310.1, SBOV2_61310.3, SBOV2_61310.4, SBOV2_61310.2	TREG1_84410.1
OG0002973	SBOV2_47890.1	TREG1_66240.1
OG0002974	SBOV2_35130.3, SBOV2_35130.1, SBOV2_35130.2	TREG1_47570.1, TREG1_47570.2
OG0002975	SBOV2_29440.1	TREG1_55510.1, TREG1_55510.2
OG0002976	SBOV2_63040.1, SBOV2_63040.2, SBOV2_63040.3, SBOV2_63040.4, SBOV2_63040.5, SBOV2_63040.6	TREG1_87550.3, TREG1_87550.1, TREG1_87550.2, TREG1_87550.4, TREG1_87550.5
OG0002977	SBOV2_7430.1, SBOV2_7430.2, SBOV2_7430.3, SBOV2_7430.4	TREG1_7100.1
OG0002979	SBOV2_21160.1, SBOV2_21160.2	TREG1_24230.1, TREG1_24220.1
OG0002980	SBOV2_38260.1	TREG1_46340.1, TREG1_46350.1
OG0002981	SBOV2_74280.1	TREG1_105250.1
OG0002982	SBOV2_51910.2, SBOV2_51910.3, SBOV2_51910.1	TREG1_61920.1
OG0002983	SBOV2_24140.2, SBOV2_24140.1, SBOV2_24140.4, SBOV2_24140.3	TREG1_58620.1, TREG1_58620.3, TREG1_58620.5, TREG1_58620.2, TREG1_58620.4
OG0002984	SBOV2_12550.2, SBOV2_12550.3, SBOV2_12550.1, SBOV2_12550.4, SBOV2_12550.5	TREG1_6620.1
OG0002985	SBOV2_2180.1	TREG1_1430.1
OG0002986	SBOV2_9800.1	TREG1_29920.4, TREG1_29920.2, TREG1_29920.1, TREG1_29920.3
OG0002988	SBOV2_91520.1	TREG1_130770.1, TREG1_130770.2, TREG1_130770.3, TREG1_130770.4, TREG1_130770.5
OG0002989	SBOV2_48770.1, SBOV2_48770.2	TREG1_71650.1, TREG1_71660.3, TREG1_71660.1, TREG1_71660.2, TREG1_71640.1
OG0002990	SBOV2_80100.1	TREG1_139220.1, TREG1_7010.1, TREG1_111050.1, TREG1_139210.1
OG0002991	SBOV2_35640.2, SBOV2_35640.1	TREG1_41800.1
OG0002992	SBOV2_75000.6, SBOV2_75000.2, SBOV2_75000.5, SBOV2_75000.1, SBOV2_75000.3, SBOV2_75000.4	TREG1_98490.1, TREG1_98490.2
OG0002993	SBOV2_83180.1	TREG1_112320.1, TREG1_112330.1
OG0002994	SBOV2_18780.1	TREG1_22680.1, TREG1_22690.1
OG0002995	SBOV2_89130.1	TREG1_129150.1, TREG1_129150.2, TREG1_129150.3
OG0002996	SBOV2_14590.1, SBOV2_14590.2	TREG1_24460.1, TREG1_24460.2
OG0002997	SBOV2_33290.1	TREG1_50700.2, TREG1_50700.3, TREG1_50700.1, TREG1_50700.4
OG0002998	SBOV2_43830.1	TREG1_30690.1
OG0002999	SBOV2_60000.1, SBOV2_60000.2, SBOV2_60000.3	TREG1_31850.1, TREG1_85310.1
OG0003000	SBOV2_40510.4, SBOV2_40510.1, SBOV2_40510.5, SBOV2_40510.2, SBOV2_40510.3	TREG1_33470.1, TREG1_33470.2
OG0003001	SBOV2_40590.1, SBOV2_40590.2	TREG1_33540.3, TREG1_33540.1, TREG1_33540.2, TREG1_33430.1, TREG1_33540.4
OG0003002	SBOV2_19050.2, SBOV2_19050.3, SBOV2_19050.4, SBOV2_19050.1, SBOV2_19050.5	TREG1_15010.1
OG0003003	SBOV2_92700.1	TREG1_132550.1
OG0003004	SBOV2_74180.1, SBOV2_74180.2	TREG1_103810.1
OG0003005	SBOV2_51610.1, SBOV2_51610.2	TREG1_68940.2, TREG1_68940.4, TREG1_68940.1, TREG1_68940.3
OG0003006	SBOV2_84160.2, SBOV2_84160.1	TREG1_114320.1
OG0003007	SBOV2_60720.1, SBOV2_60720.2, SBOV2_60720.3	TREG1_91730.1
OG0003008	SBOV2_35590.1	TREG1_57830.2, TREG1_57830.1, TREG1_57830.3, TREG1_57830.4, TREG1_57830.5
OG0003009	SBOV2_6460.3, SBOV2_6460.1, SBOV2_6460.2	TREG1_6050.1, TREG1_6050.2
OG0003010	SBOV2_70140.1	TREG1_95200.1
OG0003011	SBOV2_37250.2, SBOV2_37250.1	TREG1_49010.1
OG0003012	SBOV2_61150.4, SBOV2_61150.1, SBOV2_61150.2, SBOV2_61150.3	TREG1_87760.5, TREG1_87760.6, TREG1_87760.3, TREG1_87760.4, TREG1_87760.1, TREG1_87760.2
OG0003013	SBOV2_77310.1	TREG1_101500.1, TREG1_101500.2, TREG1_101500.3
OG0003014	SBOV2_83420.1, SBOV2_83430.1, SBOV2_83430.4, SBOV2_83430.2, SBOV2_83430.3	TREG1_63780.1, TREG1_63790.1
OG0003015	SBOV2_42630.1, SBOV2_42620.1	TREG1_57710.1
OG0003016	SBOV2_74680.2, SBOV2_74680.1	TREG1_98760.1
OG0003017	SBOV2_49650.1	TREG1_76370.1
OG0003018	SBOV2_93570.1	TREG1_132930.1, TREG1_132930.2
OG0003019	SBOV2_73710.1, SBOV2_73710.2	TREG1_99090.1, TREG1_99090.3, TREG1_99090.4, TREG1_99090.5, TREG1_99090.2
OG0003020	SBOV2_38820.1, SBOV2_38820.2	TREG1_45430.1, TREG1_45430.2
OG0003021	SBOV2_83460.1	TREG1_110640.1, TREG1_110620.1, TREG1_110650.1
OG0003022	SBOV2_24420.1, SBOV2_24420.2	TREG1_54680.1
OG0003023	SBOV2_83370.2, SBOV2_83370.1	TREG1_110770.1, TREG1_110770.2, TREG1_110780.1
OG0003024	SBOV2_76860.1, SBOV2_76860.2, SBOV2_76860.3	TREG1_108660.1
OG0003025	SBOV2_30670.1	TREG1_52890.1, TREG1_52890.2
OG0003026	SBOV2_34440.1	TREG1_53110.1, TREG1_53110.2, TREG1_53110.3
OG0003027	SBOV2_16230.1, SBOV2_16220.1	TREG1_55360.5, TREG1_55360.1, TREG1_55360.3, TREG1_55360.4, TREG1_55360.2
OG0003028	SBOV2_9830.2, SBOV2_9830.1	TREG1_1720.1
OG0003029	SBOV2_81130.1	TREG1_112920.1, TREG1_112920.2
OG0003030	SBOV2_19000.1, SBOV2_19000.2	TREG1_15070.1, TREG1_15080.1
OG0003031	SBOV2_64060.1	TREG1_81820.2, TREG1_81820.1, TREG1_81820.3, TREG1_81820.4
OG0003032	SBOV2_58480.1	TREG1_81500.1
OG0003033	SBOV2_46210.5, SBOV2_46210.1, SBOV2_46210.2, SBOV2_46210.3, SBOV2_46210.4	TREG1_71850.1, TREG1_71840.1
OG0003034	SBOV2_81560.1, SBOV2_81560.2	TREG1_117800.1
OG0003036	SBOV2_83560.1, SBOV2_83580.1, SBOV2_83600.1, SBOV2_83610.1, SBOV2_83570.1, SBOV2_83610.2	TREG1_110270.1
OG0003037	SBOV2_78580.2, SBOV2_78580.1	TREG1_101240.1
OG0003038	SBOV2_53400.1, SBOV2_53400.2, SBOV2_53400.3	TREG1_70110.1, TREG1_70220.1, TREG1_70220.2
OG0003039	SBOV2_45370.1	TREG1_62870.1
OG0003040	SBOV2_37580.1	TREG1_47660.1, TREG1_47660.2, TREG1_47660.3, TREG1_47650.1
OG0003041	SBOV2_34740.1	TREG1_51360.1
OG0003042	SBOV2_26990.1	TREG1_56800.1
OG0003043	SBOV2_47230.1	TREG1_64010.1, TREG1_63990.1
OG0003044	SBOV2_7660.1	TREG1_34530.1, TREG1_7400.1
OG0003045	SBOV2_53910.1	TREG1_69760.1, TREG1_69760.2, TREG1_69760.11, TREG1_69760.13, TREG1_69760.6, TREG1_69760.10, TREG1_69760.12, TREG1_69760.14, TREG1_69760.4, TREG1_69760.5, TREG1_69760.7, TREG1_69760.8, TREG1_69760.9, TREG1_69760.3
OG0003046	SBOV2_53900.1	TREG1_69750.1, TREG1_69750.2
OG0003047	SBOV2_12680.1	TREG1_20260.3, TREG1_20260.1, TREG1_20260.2
OG0003048	SBOV2_45020.1	TREG1_61360.1, TREG1_61360.2
OG0003049	SBOV2_45010.2, SBOV2_45010.1	TREG1_61370.1, TREG1_61370.2
OG0003050	SBOV2_77630.3, SBOV2_77630.1, SBOV2_77630.2	TREG1_104400.1, TREG1_104400.2
OG0003051	SBOV2_23890.1	TREG1_60340.1
OG0003052	SBOV2_64420.1, SBOV2_64420.2, SBOV2_64420.3, SBOV2_64420.4	TREG1_89000.1
OG0003053	SBOV2_41030.2, SBOV2_41030.1, SBOV2_41030.3	TREG1_38440.1
OG0003054	SBOV2_8670.1	TREG1_11220.3, TREG1_11220.1, TREG1_11220.2
OG0003055	SBOV2_55700.1, SBOV2_55700.2, SBOV2_55700.3, SBOV2_55700.4	TREG1_75810.1
OG0003056	SBOV2_8560.1, SBOV2_8560.2	TREG1_11030.1
OG0003057	SBOV2_62890.1	TREG1_87700.1, TREG1_87700.2
OG0003058	SBOV2_91020.1, SBOV2_91020.2, SBOV2_91020.3	TREG1_128100.1, TREG1_128100.2, TREG1_128100.3, TREG1_128100.4, TREG1_128100.5
OG0003059	SBOV2_31680.1	TREG1_44240.1
OG0003060	SBOV2_53590.1, SBOV2_53580.1	TREG1_66600.1
OG0003061	SBOV2_81160.1, SBOV2_81160.2, SBOV2_81160.3	TREG1_114010.1
OG0003062	SBOV2_88360.1, SBOV2_88360.2	TREG1_127720.1, TREG1_127780.1
OG0003063	SBOV2_17230.1, SBOV2_17230.3, SBOV2_17230.2	TREG1_16730.1
OG0003064	SBOV2_7640.1	TREG1_3970.1, TREG1_3970.3, TREG1_3970.2, TREG1_3970.4
OG0003065	SBOV2_21230.1	TREG1_142140.1, TREG1_27410.2, TREG1_27410.1, TREG1_27410.3
OG0003066	SBOV2_93050.2, SBOV2_93050.1	TREG1_131470.1, TREG1_131470.2, TREG1_131470.4, TREG1_131470.6, TREG1_131470.3, TREG1_131470.5
OG0003067	SBOV2_24340.3, SBOV2_24340.4, SBOV2_24340.1, SBOV2_24340.2	TREG1_54630.1, TREG1_54630.5, TREG1_54630.7, TREG1_54630.3, TREG1_54630.4, TREG1_54630.2, TREG1_54630.6
OG0003068	SBOV2_75830.1	TREG1_105230.1, TREG1_105230.2
OG0003069	SBOV2_69810.5, SBOV2_69810.3, SBOV2_69810.4, SBOV2_69810.2, SBOV2_69810.1	TREG1_95960.1
OG0003070	SBOV2_32440.1	TREG1_36640.1, TREG1_36640.2
OG0003071	SBOV2_60310.5, SBOV2_60310.2, SBOV2_60310.3, SBOV2_60310.1, SBOV2_60310.4	TREG1_83980.1
OG0003072	SBOV2_78560.1	TREG1_101260.1
OG0003073	SBOV2_63520.1	TREG1_88680.1
OG0003074	SBOV2_58310.1	TREG1_78350.1, TREG1_78350.2, TREG1_78350.3, TREG1_78350.4, TREG1_78350.5
OG0003075	SBOV2_57020.1	TREG1_77770.1
OG0003076	SBOV2_56970.1	TREG1_77840.1
OG0003077	SBOV2_73740.1, SBOV2_73740.2	TREG1_99050.1, TREG1_99050.2
OG0003078	SBOV2_60780.1	TREG1_86530.1
OG0003079	SBOV2_55680.1, SBOV2_55680.2, SBOV2_55680.3	TREG1_73860.1, TREG1_73860.2, TREG1_73860.3
OG0003080	SBOV2_10760.1	TREG1_25540.1
OG0003081	SBOV2_14430.2, SBOV2_14430.5, SBOV2_14430.4, SBOV2_14430.1, SBOV2_14430.3	TREG1_25770.1, TREG1_33630.1, TREG1_33620.1
OG0003082	SBOV2_49430.1, SBOV2_49430.4, SBOV2_49430.3, SBOV2_49430.2	TREG1_76720.1
OG0003083	SBOV2_78320.1, SBOV2_78320.2	TREG1_109630.1
OG0003084	SBOV2_72040.1, SBOV2_72040.2, SBOV2_72040.6, SBOV2_72040.3, SBOV2_72040.4, SBOV2_72040.5	TREG1_105720.1, TREG1_105720.2, TREG1_105720.3, TREG1_105720.4
OG0003085	SBOV2_29040.1, SBOV2_29040.2	TREG1_37160.1
OG0003086	SBOV2_65510.1	TREG1_82070.1, TREG1_82070.2, TREG1_82070.3
OG0003087	SBOV2_94940.1	TREG1_134640.1
OG0003088	SBOV2_20030.4, SBOV2_20030.1, SBOV2_20030.3, SBOV2_20030.2	TREG1_21680.1, TREG1_21680.2, TREG1_21680.3
OG0003089	SBOV2_18090.2, SBOV2_18090.1	TREG1_16190.1, TREG1_16190.3, TREG1_16190.2
OG0003090	SBOV2_35730.1, SBOV2_35730.2	TREG1_41880.1, TREG1_41880.2
OG0003091	SBOV2_91560.1	TREG1_131260.1
OG0003094	SBOV2_89500.1, SBOV2_87820.1	TREG1_130650.1, TREG1_130590.1, TREG1_130570.1, TREG1_130570.2, TREG1_130630.1, TREG1_130630.2, TREG1_130630.4, TREG1_130630.3, TREG1_130640.1, TREG1_130660.1, TREG1_118930.1
OG0003095	SBOV2_47500.1	TREG1_64720.1
OG0003096	SBOV2_74750.1, SBOV2_74750.6, SBOV2_74750.3, SBOV2_74750.8, SBOV2_74750.2, SBOV2_74750.4, SBOV2_74750.5, SBOV2_74750.7	TREG1_100560.1
OG0003097	SBOV2_65700.1, SBOV2_65700.2, SBOV2_65700.3	TREG1_81240.1
OG0003098	SBOV2_15390.1	TREG1_15650.1, TREG1_15660.1
OG0003098	SBOV2_15400.1, SBOV2_15400.2	TREG1_27230.1
OG0003099	SBOV2_42290.1, SBOV2_42290.2, SBOV2_42290.4, SBOV2_42290.3	TREG1_42640.1, TREG1_42650.1
OG0003107	SBOV2_55510.1	TREG1_75300.1, TREG1_75300.2, TREG1_75300.3
OG0003108	SBOV2_41200.1, SBOV2_41200.2, SBOV2_41200.3, SBOV2_41200.4	TREG1_38810.1, TREG1_38800.1
OG0003109	SBOV2_14890.3, SBOV2_14890.1, SBOV2_14890.2	TREG1_20030.1
OG0003110	SBOV2_13880.1	TREG1_14030.2, TREG1_14030.1, TREG1_13980.1, TREG1_13980.2, TREG1_13980.3, TREG1_14010.1, TREG1_14010.3, TREG1_14010.4, TREG1_14010.2, TREG1_14010.5, TREG1_14010.6
OG0003111	SBOV2_71040.2, SBOV2_71040.1, SBOV2_71040.3	TREG1_103310.1, TREG1_103320.1
OG0003112	SBOV2_67360.1	TREG1_91820.1
OG0003114	SBOV2_86260.2, SBOV2_86260.3, SBOV2_86260.1	TREG1_119860.1
OG0003115	SBOV2_72960.1, SBOV2_72960.2	TREG1_106720.3, TREG1_106720.2, TREG1_106720.1
OG0003116	SBOV2_87410.1, SBOV2_87410.2, SBOV2_87410.3, SBOV2_87410.4, SBOV2_87410.5, SBOV2_87410.6	TREG1_124110.1, TREG1_124120.1
OG0003117	SBOV2_17960.1, SBOV2_17960.2, SBOV2_17960.3, SBOV2_17960.4	TREG1_21230.1, TREG1_21230.2, TREG1_21230.3
OG0003118	SBOV2_27140.1	TREG1_57070.1, TREG1_57080.1
OG0003119	SBOV2_34580.1, SBOV2_34580.2, SBOV2_34580.3	TREG1_53210.1
OG0003120	SBOV2_70040.1	TREG1_103190.1
OG0003121	SBOV2_1620.1	TREG1_4740.1, TREG1_4740.2, TREG1_4740.3, TREG1_4740.4, TREG1_4740.5, TREG1_4740.6
OG0003122	SBOV2_480.1, SBOV2_480.3, SBOV2_480.2	TREG1_600.1
OG0003123	SBOV2_82670.1	TREG1_113620.1
OG0003123	SBOV2_82760.1	TREG1_113580.1
OG0003124	SBOV2_89760.1	TREG1_124860.1
OG0003125	SBOV2_73530.3, SBOV2_73530.4, SBOV2_73530.5, SBOV2_73530.1, SBOV2_73530.2	TREG1_102920.1, TREG1_102920.2
OG0003126	SBOV2_18620.1	TREG1_21510.4, TREG1_21510.5, TREG1_21510.1, TREG1_21510.2, TREG1_21510.3
OG0003127	SBOV2_85480.1, SBOV2_85480.3, SBOV2_85480.2	TREG1_121820.1
OG0003128	SBOV2_81480.1, SBOV2_81480.2	TREG1_110930.1, TREG1_110930.2
OG0003130	SBOV2_39650.1	TREG1_37620.1, TREG1_37620.4, TREG1_37620.2, TREG1_37620.3
OG0003131	SBOV2_71650.1	TREG1_139830.1, TREG1_104870.1, TREG1_139820.1, TREG1_139820.2
OG0003132	SBOV2_23460.1	TREG1_37570.1, TREG1_37570.2, TREG1_37570.3
OG0003133	SBOV2_58820.1, SBOV2_58820.2, SBOV2_58820.3	TREG1_81610.1
OG0003134	SBOV2_96780.1	TREG1_113920.6
OG0003134	SBOV2_82820.1	TREG1_113920.5, TREG1_113920.1, TREG1_113920.2, TREG1_113920.3, TREG1_113920.4
OG0003136	SBOV2_9950.1, SBOV2_9950.2	TREG1_2010.1
OG0003137	SBOV2_80690.1, SBOV2_80690.2	TREG1_111930.1, TREG1_111940.1, TREG1_111920.1, TREG1_111910.1, TREG1_111920.2, TREG1_111920.3
OG0003138	SBOV2_87710.2, SBOV2_87710.1	TREG1_120710.1, TREG1_120710.2, TREG1_120710.3, TREG1_120710.4
OG0003139	SBOV2_48760.1, SBOV2_48760.2	TREG1_71670.1, TREG1_71670.2
OG0003141	SBOV2_61180.1, SBOV2_61180.2, SBOV2_61180.3, SBOV2_61180.4, SBOV2_61180.5	TREG1_87780.1
OG0003142	SBOV2_75620.1	TREG1_104730.1
OG0003143	SBOV2_74830.1, SBOV2_74830.2	TREG1_101980.1, TREG1_101980.2
OG0003144	SBOV2_28500.3, SBOV2_28500.1, SBOV2_28500.2	TREG1_43740.1
OG0003145	SBOV2_19340.1, SBOV2_19340.3, SBOV2_19340.2	TREG1_22470.3, TREG1_22470.1, TREG1_22470.2
OG0003146	SBOV2_64380.1	TREG1_89040.1
OG0003147	SBOV2_48610.1	TREG1_72540.1, TREG1_72540.2
OG0003148	SBOV2_91990.1	TREG1_131210.2, TREG1_131210.1, TREG1_131210.3, TREG1_131210.4
OG0003149	SBOV2_55460.1	TREG1_76400.1
OG0003150	SBOV2_77890.1, SBOV2_77890.2	TREG1_108390.1
OG0003151	SBOV2_49310.1	TREG1_61970.1
OG0003152	SBOV2_30470.1	TREG1_47330.1, TREG1_47330.2, TREG1_47330.3, TREG1_47330.4, TREG1_47330.5
OG0003154	SBOV2_31980.3, SBOV2_31980.2, SBOV2_31980.1	TREG1_52550.1, TREG1_52550.2
OG0003155	SBOV2_70410.1	TREG1_92730.1, TREG1_95670.1
OG0003156	SBOV2_29530.1	TREG1_45900.2, TREG1_45900.3, TREG1_45900.4, TREG1_45900.5, TREG1_45900.6, TREG1_45900.1, TREG1_45900.7
OG0003157	SBOV2_53150.1, SBOV2_53150.2, SBOV2_53150.3, SBOV2_53150.4	TREG1_37930.1, TREG1_73050.1, TREG1_73050.2, TREG1_73050.3
OG0003158	SBOV2_88960.1, SBOV2_88960.3, SBOV2_88960.2	TREG1_126130.1
OG0003159	SBOV2_55150.1	TREG1_74410.1, TREG1_74410.2, TREG1_74410.3
OG0003160	SBOV2_20110.1	TREG1_23470.4, TREG1_23470.2, TREG1_23470.1, TREG1_23470.5, TREG1_23470.3
OG0003161	SBOV2_46470.1	TREG1_72200.1, TREG1_72210.1, TREG1_43750.1
OG0003163	SBOV2_1600.1, SBOV2_1600.2	TREG1_118800.1, TREG1_96400.1, TREG1_4750.1, TREG1_4750.2
OG0003164	SBOV2_34310.1	TREG1_44650.1, TREG1_44650.2
OG0003165	SBOV2_76660.1	TREG1_141720.1, TREG1_104890.4, TREG1_104890.7, TREG1_104890.1, TREG1_104890.6, TREG1_104890.12, TREG1_104890.2, TREG1_104890.9, TREG1_104890.11, TREG1_104890.8, TREG1_104890.3, TREG1_104890.5, TREG1_104890.10
OG0003166	SBOV2_50860.1	TREG1_76280.8, TREG1_76280.7, TREG1_76280.9, TREG1_76280.12, TREG1_76280.11, TREG1_76280.10, TREG1_76280.1, TREG1_76280.2, TREG1_76280.3, TREG1_76280.4, TREG1_76280.5, TREG1_76280.6
OG0003167	SBOV2_92630.1	TREG1_132390.1
OG0003168	SBOV2_63160.1	TREG1_81980.1
OG0003169	SBOV2_15460.2, SBOV2_15460.4, SBOV2_15460.1, SBOV2_15460.3, SBOV2_15460.5	TREG1_27220.1
OG0003170	SBOV2_17560.1, SBOV2_17560.2	TREG1_19340.1, TREG1_19340.2, TREG1_18590.1
OG0003171	SBOV2_72360.1, SBOV2_72360.2	TREG1_100860.1, TREG1_100860.2, TREG1_100860.3
OG0003172	SBOV2_21580.1, SBOV2_21580.2	TREG1_23950.1, TREG1_23950.2
OG0003173	SBOV2_35930.2, SBOV2_35930.1, SBOV2_35930.3	TREG1_55230.1
OG0003174	SBOV2_74300.1	TREG1_100030.1
OG0003175	SBOV2_92820.1, SBOV2_92820.2, SBOV2_92820.3	TREG1_133360.1
OG0003176	SBOV2_69490.1, SBOV2_69490.2, SBOV2_69490.3	TREG1_99280.1
OG0003177	SBOV2_25280.1, SBOV2_25280.2	TREG1_38290.1, TREG1_38290.2, TREG1_38290.4, TREG1_38290.5, TREG1_38290.6, TREG1_38290.3
OG0003178	SBOV2_34230.1	TREG1_44600.1
OG0003179	SBOV2_74420.1	TREG1_106440.1
OG0003180	SBOV2_4330.1	TREG1_190.1
OG0003181	SBOV2_31000.1	TREG1_45740.1
OG0003182	SBOV2_36390.1, SBOV2_36390.2	TREG1_50010.3, TREG1_50010.1, TREG1_50010.2, TREG1_50010.4
OG0003183	SBOV2_12950.2, SBOV2_12950.1, SBOV2_12950.3, SBOV2_12950.4, SBOV2_12950.5	TREG1_32060.1, TREG1_34650.1, TREG1_34670.1, TREG1_16540.3, TREG1_16540.4, TREG1_16540.5, TREG1_16540.6, TREG1_16540.2, TREG1_16540.1
OG0003184	SBOV2_39180.1	TREG1_48370.1, TREG1_48370.2
OG0003185	SBOV2_71150.4, SBOV2_71150.5, SBOV2_71150.6, SBOV2_71150.3, SBOV2_71150.1, SBOV2_71150.2	TREG1_98060.1, TREG1_98060.2
OG0003186	SBOV2_37830.1, SBOV2_37870.1	TREG1_50460.1
OG0003187	SBOV2_73050.1	TREG1_106860.1
OG0003188	SBOV2_81180.4, SBOV2_81180.5, SBOV2_81180.1, SBOV2_81180.6, SBOV2_81180.7, SBOV2_81180.8, SBOV2_81180.2, SBOV2_81180.3	TREG1_113310.1
OG0003189	SBOV2_56420.1	TREG1_76240.1, TREG1_76240.2
OG0003190	SBOV2_60060.1, SBOV2_60060.2	TREG1_85380.6, TREG1_85380.5, TREG1_85380.1, TREG1_85380.3, TREG1_85380.2, TREG1_85380.4
OG0003191	SBOV2_46720.2, SBOV2_46720.1	TREG1_67150.2, TREG1_67150.1, TREG1_67150.4, TREG1_67150.3, TREG1_67150.5
OG0003192	SBOV2_65970.1, SBOV2_65970.2	TREG1_89430.1
OG0003193	SBOV2_30420.2, SBOV2_30420.1	TREG1_47370.1
OG0003194	SBOV2_69110.1	TREG1_95900.1, TREG1_95900.2, TREG1_95900.3, TREG1_95900.4, TREG1_62430.1, TREG1_95900.5, TREG1_95900.6
OG0003195	SBOV2_17590.1	TREG1_19670.1, TREG1_19670.2
