Orthogroup	schistosoma_turkestanicum	opisthorchis_viverrini
OG0003407	STRK1_82070.1	T265_06019
OG0003408	STRK1_22560.1	T265_13309
OG0003409	STRK1_13650.1	T265_10546
OG0003410	STRK1_99080.1, STRK1_67200.1	T265_15775, T265_00661, T265_16112, T265_12598, T265_12599
OG0003411	STRK1_37760.1, STRK1_37770.1	T265_13041
OG0003412	STRK1_6850.1, STRK1_6850.2	T265_01015
OG0003414	STRK1_37900.1	T265_09732
OG0003415	STRK1_106600.1, STRK1_76930.1, STRK1_76940.1, STRK1_76950.1	T265_09033
OG0003416	STRK1_67390.1	T265_12733
OG0003417	STRK1_54080.1	T265_06775
OG0003418	STRK1_45170.1	T265_03567
OG0003419	STRK1_75210.1	T265_12633
OG0003420	STRK1_28150.1	T265_08302
OG0003421	STRK1_33210.1	T265_09192
OG0003422	STRK1_44980.1, STRK1_44980.2	T265_03968
OG0003423	STRK1_8420.1, STRK1_8410.1	T265_03199, T265_13186
OG0003424	STRK1_83940.1, STRK1_95090.1	T265_11767
OG0003425	STRK1_82360.1	T265_10927
OG0003426	STRK1_58880.1	T265_05174
OG0003427	STRK1_42820.1, STRK1_42840.1	T265_09674
OG0003428	STRK1_80590.1	T265_04653
OG0003429	STRK1_75010.1	T265_05909
OG0003430	STRK1_74040.1, STRK1_74040.2	T265_07448
OG0003431	STRK1_18530.3, STRK1_18530.1, STRK1_18530.2	T265_14276
OG0003432	STRK1_68540.1	T265_02200
OG0003433	STRK1_6520.1, STRK1_6520.2, STRK1_6520.3	T265_14247
OG0003434	STRK1_57730.1, STRK1_57750.1, STRK1_57760.1	T265_13606
OG0003435	STRK1_28120.1, STRK1_28120.2	T265_13575
OG0003436	STRK1_48530.1	T265_14841
OG0003437	STRK1_70570.3, STRK1_70570.4, STRK1_70570.1, STRK1_70570.2	T265_11777
OG0003438	STRK1_29070.1	T265_13978
OG0003439	STRK1_20800.1	T265_03706
OG0003440	STRK1_19730.1	T265_12653
OG0003441	STRK1_25860.1, STRK1_25840.1, STRK1_25850.1	T265_16158, T265_13329, T265_03782, T265_12661, T265_00897, T265_12660
OG0003442	STRK1_70290.1	T265_10526, T265_07654
OG0003443	STRK1_57410.1	T265_13942
OG0003444	STRK1_10080.1, STRK1_10080.2	T265_14726
OG0003445	STRK1_42340.1, STRK1_42340.2	T265_07143
OG0003446	STRK1_35980.1	T265_04504
OG0003447	STRK1_15210.1	T265_14249
OG0003448	STRK1_67830.1, STRK1_67830.2, STRK1_67830.3	T265_10023
OG0003449	STRK1_67840.1	T265_09851
OG0003450	STRK1_58980.1	T265_12574
OG0003451	STRK1_82660.1	T265_04969
OG0003452	STRK1_12350.1	T265_08005
OG0003453	STRK1_40570.1, STRK1_42060.1, STRK1_40540.1, STRK1_40550.1, STRK1_40550.2	T265_04993
OG0003454	STRK1_27470.1	T265_14193
OG0003456	STRK1_12760.1	T265_05545
OG0003457	STRK1_33010.1	T265_09480, T265_16051
OG0003458	STRK1_41330.1	T265_00691
OG0003459	STRK1_75140.1	T265_07450
OG0003460	STRK1_42680.1	T265_04726
OG0003462	STRK1_37950.1, STRK1_37950.2	T265_02574
OG0003463	STRK1_82230.1	T265_10283, T265_10285
OG0003464	STRK1_79890.1	T265_07922
OG0003465	STRK1_59190.1	T265_02038
OG0003467	STRK1_73990.1, STRK1_73980.1	T265_14975, T265_09848
OG0003468	STRK1_66450.1	T265_12594
OG0003470	STRK1_46590.1	T265_11547, T265_11549
OG0003471	STRK1_43870.1	T265_11489
OG0003472	STRK1_12030.1	T265_15369
OG0003473	STRK1_74970.1	T265_12937
OG0003474	STRK1_97590.1	T265_02823
OG0003475	STRK1_103980.1, STRK1_106020.1, STRK1_23990.1	T265_09374
OG0003476	STRK1_41070.1	T265_09472, T265_12155
OG0003477	STRK1_65850.1	T265_01902
OG0003478	STRK1_5800.1	T265_08469
OG0003479	STRK1_23650.1	T265_13318
OG0003480	STRK1_66120.1	T265_09876, T265_14913
OG0003482	STRK1_84470.1	T265_05343
OG0003483	STRK1_29630.1	T265_13053
OG0003484	STRK1_15970.1	T265_06650
OG0003485	STRK1_91690.1, STRK1_107210.1	T265_13645, T265_13644
OG0003486	STRK1_39470.1	T265_13646
OG0003487	STRK1_51950.1, STRK1_51950.2, STRK1_51950.3	T265_08087, T265_10196
OG0003488	STRK1_10880.1	T265_09073
OG0003489	STRK1_71060.1	T265_00323
OG0003490	STRK1_12120.1	T265_03113
OG0003491	STRK1_35300.1	T265_04324
OG0003492	STRK1_60260.1	T265_02536
OG0003493	STRK1_89040.1	T265_11233
OG0003494	STRK1_89900.1	T265_08759
OG0003495	STRK1_16110.1	T265_04558
OG0003496	STRK1_29650.1	T265_02588
OG0003497	STRK1_54900.1, STRK1_105960.1, STRK1_110190.1	T265_00036
OG0003498	STRK1_68140.1, STRK1_68140.2	T265_02133
OG0003499	STRK1_61280.1	T265_13442
OG0003500	STRK1_64130.1, STRK1_64130.2, STRK1_64130.3	T265_07015
OG0003501	STRK1_74570.1	T265_10024
OG0003502	STRK1_84580.1	T265_13592
OG0003503	STRK1_3400.1	T265_13487
OG0003505	STRK1_52440.1	T265_12248, T265_00127, T265_16214
OG0003507	STRK1_16100.1	T265_04937
OG0003508	STRK1_61890.1, STRK1_61890.2	T265_02519
OG0003509	STRK1_39990.1, STRK1_39980.1	T265_15081
OG0003510	STRK1_95950.1, STRK1_95960.2, STRK1_95960.1, STRK1_95950.2	T265_09042
OG0003511	STRK1_61820.1	T265_13027
OG0003512	STRK1_80500.1	T265_11112, T265_11328
OG0003513	STRK1_73480.1	T265_09089
OG0003515	STRK1_94750.1, STRK1_94750.2	T265_06621
OG0003516	STRK1_52260.1	T265_10171
OG0003517	STRK1_92630.1	T265_06615
OG0003518	STRK1_83930.1	T265_08612
OG0003519	STRK1_33490.1, STRK1_33490.2	T265_05628
OG0003520	STRK1_55990.1	T265_01815
OG0003521	STRK1_11060.1	T265_04411
OG0003522	STRK1_107800.1, STRK1_107800.2, STRK1_78140.1	T265_13909
OG0003523	STRK1_48820.1	T265_01345
OG0003524	STRK1_65270.1, STRK1_65300.1	T265_00504
OG0003525	STRK1_16940.1	T265_01893, T265_08418
OG0003526	STRK1_29950.1, STRK1_29950.2, STRK1_29950.3	T265_08334
OG0003527	STRK1_76920.1, STRK1_100180.1	T265_11499, T265_16069
OG0003528	STRK1_80910.1	T265_11428
OG0003529	STRK1_37250.1	T265_15692, T265_15691
OG0003530	STRK1_62850.1	T265_01532
OG0003531	STRK1_9950.3, STRK1_9950.1, STRK1_9950.2	T265_04537
OG0003532	STRK1_12740.1	T265_15073, T265_10184
OG0003533	STRK1_50920.1	T265_08083
OG0003534	STRK1_85040.1	T265_14367
OG0003535	STRK1_101010.1, STRK1_103140.1	T265_13748, T265_13749
OG0003536	STRK1_60310.1, STRK1_60310.2, STRK1_60310.3	T265_03943
OG0003537	STRK1_57050.1, STRK1_57040.1	T265_08781, T265_14670
OG0003540	STRK1_15950.1	T265_06653
OG0003541	STRK1_83630.1	T265_08893
OG0003542	STRK1_58810.1	T265_00656, T265_13990
OG0003543	STRK1_49620.1, STRK1_49620.2, STRK1_49620.3, STRK1_49620.4, STRK1_49620.5	T265_08692
OG0003544	STRK1_50660.1	T265_11978
OG0003545	STRK1_17690.1, STRK1_17690.2	T265_05565
OG0003547	STRK1_7360.1	T265_13128
OG0003548	STRK1_20990.1	T265_15344
OG0003549	STRK1_88090.1	T265_08011
OG0003553	STRK1_9280.1, STRK1_9280.2	T265_10953
OG0003554	STRK1_100000.1, STRK1_104660.1	T265_05158
OG0003555	STRK1_71260.1	T265_00079
OG0003556	STRK1_60240.1	T265_02539
OG0003557	STRK1_44680.1	T265_02901
OG0003558	STRK1_55650.1	T265_03991
OG0003559	STRK1_103580.1, STRK1_106910.1	T265_13234
OG0003560	STRK1_59280.1	T265_14817
OG0003577	STRK1_42730.1	T265_04132
OG0003580	STRK1_15160.1	T265_10604
OG0003581	STRK1_39340.1	T265_10913, T265_14331
OG0003582	STRK1_56610.1	T265_06314, T265_12092, T265_15431
OG0003583	STRK1_17170.1, STRK1_17170.2	T265_14147
OG0003584	STRK1_60840.1, STRK1_60840.2	T265_10564
OG0003585	STRK1_81060.1, STRK1_81080.1, STRK1_81100.1, STRK1_81110.1, STRK1_81090.1	T265_07130
OG0003586	STRK1_42180.1	T265_05888
OG0003587	STRK1_10250.1	T265_00983, T265_06561
OG0003588	STRK1_14910.1	T265_14600
OG0003590	STRK1_5780.1	T265_02486
OG0003591	STRK1_57130.1	T265_01108
OG0003593	STRK1_34620.1	T265_14611
OG0003594	STRK1_2810.2, STRK1_2810.3	T265_15427
OG0003595	STRK1_82820.1, STRK1_82800.1, STRK1_82800.2	T265_07915
OG0003596	STRK1_47120.1, STRK1_47120.2	T265_00838
OG0003597	STRK1_71720.1	T265_14097
OG0003598	STRK1_31070.1	T265_14336
OG0003599	STRK1_11880.3, STRK1_11880.4, STRK1_11880.5, STRK1_11880.2, STRK1_11880.1	T265_14959
OG0003600	STRK1_23640.1, STRK1_6940.1, STRK1_6940.2	T265_05129
OG0003601	STRK1_25140.1	T265_07052
OG0003602	STRK1_61840.1	T265_02041
OG0003603	STRK1_68990.1, STRK1_69000.1, STRK1_68990.2	T265_05734
OG0003605	STRK1_97820.1	T265_11576
OG0003606	STRK1_27730.1, STRK1_27730.2, STRK1_27710.1, STRK1_27720.1	T265_10609
OG0003607	STRK1_4660.1, STRK1_4670.1	T265_13798
OG0003608	STRK1_31010.1	T265_00734
OG0003609	STRK1_24170.1, STRK1_24170.2	T265_07040
OG0003610	STRK1_87660.1, STRK1_87660.2	T265_05958
OG0003612	STRK1_57020.1	T265_13022, T265_02498
OG0003613	STRK1_66290.1	T265_04789
OG0003615	STRK1_28530.1	T265_04147
OG0003616	STRK1_13520.1	T265_03030
OG0003617	STRK1_61320.3, STRK1_61320.1, STRK1_61320.2, STRK1_61320.4, STRK1_61320.5	T265_03178
OG0003618	STRK1_25060.1	T265_03758
OG0003619	STRK1_9730.1, STRK1_9730.2	T265_01591, T265_07717
OG0003620	STRK1_50260.1, STRK1_50260.2	T265_13102
OG0003621	STRK1_51440.1, STRK1_51450.1	T265_01334
OG0003622	STRK1_68340.1	T265_02194
OG0003623	STRK1_100650.1	T265_13109
OG0003624	STRK1_5620.2, STRK1_5620.1, STRK1_5620.4, STRK1_5620.3	T265_09870
OG0003625	STRK1_68480.1, STRK1_83680.1	T265_09174
OG0003626	STRK1_82740.1	T265_14517
OG0003627	STRK1_111290.1, STRK1_82600.1, STRK1_67220.1	T265_08254
OG0003629	STRK1_7120.1	T265_01597
OG0003630	STRK1_30610.1, STRK1_30620.1	T265_00552
OG0003631	STRK1_76270.1	T265_05474
OG0003632	STRK1_58500.1, STRK1_58500.2	T265_01555
OG0003633	STRK1_47570.1	T265_00479
OG0003634	STRK1_72680.1, STRK1_72680.2, STRK1_72680.3	T265_13087
OG0003635	STRK1_72850.1, STRK1_72850.2	T265_15443, T265_02172, T265_03007, T265_06156
OG0003636	STRK1_75170.1	T265_14928
OG0003637	STRK1_61230.1	T265_15655
OG0003638	STRK1_51850.1	T265_05106
OG0003639	STRK1_51860.1	T265_05104, T265_16000
OG0003640	STRK1_6480.1, STRK1_6480.2	T265_01012
OG0003641	STRK1_73430.1	T265_02862
OG0003642	STRK1_54350.1	T265_12743, T265_01199
OG0003643	STRK1_70170.1, STRK1_70170.2	T265_00281
OG0003645	STRK1_45110.1	T265_00160, T265_00162
OG0003646	STRK1_47830.1	T265_03853
OG0003647	STRK1_4380.1	T265_11848, T265_15568
OG0003648	STRK1_9370.1	T265_10268
OG0003649	STRK1_28870.1	T265_00575
OG0003650	STRK1_2750.1	T265_15117
OG0003651	STRK1_54560.1, STRK1_54560.2	T265_13683
OG0003652	STRK1_47870.1, STRK1_47870.2	T265_00794, T265_12637
OG0003653	STRK1_38140.1	T265_13145
OG0003653	STRK1_38130.1	T265_02615
OG0003654	STRK1_63090.1	T265_08494
OG0003655	STRK1_29890.1	T265_05208
OG0003656	STRK1_68670.1	T265_03290
OG0003657	STRK1_16600.1	T265_11037
OG0003658	STRK1_70190.1, STRK1_109170.1	T265_07445
OG0003659	STRK1_73150.1, STRK1_73150.2	T265_02794
OG0003660	STRK1_69870.1	T265_00788, T265_02325
OG0003661	STRK1_46450.1	T265_00438
OG0003662	STRK1_100080.1, STRK1_101820.1	T265_11677
OG0003663	STRK1_67930.1	T265_15278
OG0003665	STRK1_70280.1	T265_12643, T265_12644
OG0003666	STRK1_55960.1	T265_08460, T265_13632
OG0003668	STRK1_51770.1, STRK1_51770.2	T265_03603
OG0003669	STRK1_48420.1	T265_00288
OG0003670	STRK1_59560.1, STRK1_59560.2	T265_08934
OG0003671	STRK1_73410.1	T265_01972
OG0003672	STRK1_94610.4, STRK1_94610.5, STRK1_94600.1, STRK1_94610.3, STRK1_94610.2, STRK1_94610.1, STRK1_108080.1, STRK1_108080.2, STRK1_108080.3	T265_14717
OG0003674	STRK1_27560.2, STRK1_27560.1	T265_13658, T265_04998
OG0003676	STRK1_102870.1, STRK1_90310.1, STRK1_90320.1, STRK1_101240.1	T265_16358, T265_11520, T265_16124
OG0003677	STRK1_77020.1, STRK1_77010.1, STRK1_101910.1	T265_09034
OG0003678	STRK1_32440.1	T265_10342
OG0003680	STRK1_33680.1	T265_02876
OG0003681	STRK1_84880.1	T265_09754
OG0003683	STRK1_8680.1	T265_06872
OG0003684	STRK1_30250.1	T265_15486
OG0003685	STRK1_32860.1	T265_04088
OG0003686	STRK1_87250.1	T265_04768
OG0003687	STRK1_63850.1	T265_08327
OG0003688	STRK1_79340.1, STRK1_79340.3, STRK1_79340.4, STRK1_79340.2	T265_01680
OG0003689	STRK1_57790.1, STRK1_110980.1, STRK1_110980.2, STRK1_110980.3, STRK1_110980.4, STRK1_110980.5	T265_15525, T265_11754
OG0003690	STRK1_54610.1	T265_11143, T265_15936
OG0003691	STRK1_90610.1	T265_05651
OG0003692	STRK1_32750.1, STRK1_32750.2	T265_08242
OG0003693	STRK1_47510.1	T265_08095
OG0003694	STRK1_22430.1	T265_07501
OG0003695	STRK1_61900.1, STRK1_61900.2	T265_09288
OG0003696	STRK1_67680.1	T265_00034
OG0003697	STRK1_920.1	T265_06827, T265_14149
OG0003698	STRK1_34120.1	T265_15116
OG0003699	STRK1_37100.1	T265_07037
OG0003700	STRK1_44310.1	T265_10146
OG0003701	STRK1_78410.1, STRK1_78410.2	T265_01634
OG0003703	STRK1_7650.1	T265_07221, T265_16143
OG0003704	STRK1_34710.1, STRK1_34710.2	T265_06510
OG0003705	STRK1_35370.1, STRK1_35370.2	T265_07049
OG0003706	STRK1_87070.1	T265_04171
OG0003707	STRK1_6560.1, STRK1_6550.1, STRK1_6550.5, STRK1_6550.2, STRK1_6550.3, STRK1_6550.4, STRK1_6550.6	T265_15364
OG0003708	STRK1_60640.1	T265_07688
OG0003709	STRK1_1470.1	T265_04308, T265_04657, T265_14395
OG0003710	STRK1_34760.1	T265_13051
OG0003711	STRK1_64940.1	T265_05157
OG0003712	STRK1_13400.1, STRK1_13400.2	T265_13695
OG0003713	STRK1_85100.1, STRK1_85100.2, STRK1_85100.3, STRK1_85100.4	T265_07311
OG0003715	STRK1_22520.1	T265_13324
OG0003717	STRK1_70720.1	T265_14734
OG0003718	STRK1_74760.1	T265_13675
OG0003719	STRK1_49190.1	T265_09180
OG0003720	STRK1_57880.1, STRK1_57880.2	T265_06792
OG0003721	STRK1_109420.1, STRK1_105140.1, STRK1_89280.1	T265_02624
OG0003723	STRK1_93640.1	T265_07088
OG0003724	STRK1_17660.1	T265_09063
OG0003725	STRK1_3280.1	T265_09685
OG0003726	STRK1_48050.1	T265_03314
OG0003727	STRK1_36890.1	T265_10556
OG0003728	STRK1_18380.4, STRK1_18380.3, STRK1_18410.1	T265_02271
OG0003729	STRK1_11940.1, STRK1_8550.1, STRK1_8550.2	T265_10965
OG0003730	STRK1_49450.1	T265_14130
OG0003731	STRK1_80580.1	T265_13642
OG0003732	STRK1_79830.1	T265_13560
OG0003733	STRK1_7030.1	T265_01595
OG0003734	STRK1_16520.1	T265_09564
OG0003735	STRK1_6780.1, STRK1_6780.2, STRK1_6790.1	T265_06408
OG0003736	STRK1_67420.1	T265_12784
OG0003737	STRK1_800.1	T265_14236, T265_15927
OG0003738	STRK1_40130.1	T265_05054
OG0003739	STRK1_49490.1, STRK1_49490.2, STRK1_49490.3, STRK1_49490.4	T265_15441
OG0003740	STRK1_25800.1, STRK1_10200.1, STRK1_10200.2, STRK1_103620.1, STRK1_103620.2	T265_12173, T265_02122, T265_16241
OG0003742	STRK1_96270.1, STRK1_56940.1	T265_00182
OG0003743	STRK1_63540.1	T265_01139
OG0003744	STRK1_32300.1	T265_08995
OG0003745	STRK1_29210.1	T265_08231
OG0003747	STRK1_23410.1	T265_02110
OG0003748	STRK1_16690.1	T265_06307
OG0003749	STRK1_20090.1	T265_02264
OG0003750	STRK1_77040.1, STRK1_77040.2, STRK1_77040.3	T265_03282
OG0003751	STRK1_96500.1, STRK1_97900.1, STRK1_82670.1	T265_03402
OG0003752	STRK1_35380.1, STRK1_35380.2	T265_08865
OG0003754	STRK1_79050.1	T265_07808
OG0003756	STRK1_88300.1, STRK1_88300.2	T265_08406
OG0003757	STRK1_39570.1, STRK1_39580.1	T265_03497
OG0003759	STRK1_66310.1	T265_05181
OG0003760	STRK1_104700.1, STRK1_105680.1, STRK1_41690.1	T265_10848, T265_05509, T265_09336
OG0003761	STRK1_49410.1	T265_08834
OG0003762	STRK1_87640.1	T265_11768
OG0003763	STRK1_104480.1	T265_02568
OG0003764	STRK1_107520.1, STRK1_41260.1	T265_02610
OG0003766	STRK1_44660.1	T265_09173
OG0003767	STRK1_58180.1	T265_00597
OG0003768	STRK1_1230.1	T265_15091
OG0003769	STRK1_102330.1, STRK1_104420.1	T265_05416
OG0003770	STRK1_68360.1, STRK1_68360.2	T265_03594
OG0003771	STRK1_5960.1	T265_15770, T265_15771
OG0003772	STRK1_51120.1	T265_00071
OG0003773	STRK1_87830.1, STRK1_87830.2, STRK1_87830.3	T265_07529, T265_07530
OG0003774	STRK1_70060.1	T265_01329
OG0003775	STRK1_68780.1	T265_09155, T265_08355
OG0003776	STRK1_7460.1	T265_14561
OG0003777	STRK1_52820.1, STRK1_52830.1, STRK1_55750.1, STRK1_55750.2	T265_01583
OG0003778	STRK1_93630.1	T265_07089
OG0003779	STRK1_11580.1	T265_05531
OG0003780	STRK1_63120.1, STRK1_63120.2, STRK1_63120.3	T265_13360
OG0003781	STRK1_106370.1, STRK1_106380.1	T265_04246
OG0003782	STRK1_48580.1	T265_06846
OG0003783	STRK1_43780.3, STRK1_43780.2, STRK1_43780.1, STRK1_43780.4	T265_12559
OG0003784	STRK1_44340.1	T265_00146, T265_12352, T265_15752
OG0003785	STRK1_109090.1, STRK1_109100.1, STRK1_42370.1	T265_04718
OG0003786	STRK1_63820.1	T265_01448
OG0003787	STRK1_19480.1	T265_10458, T265_11182
OG0003788	STRK1_69310.1	T265_11551
OG0003789	STRK1_12940.1, STRK1_12940.2	T265_11782
OG0003790	STRK1_30190.1, STRK1_30190.3, STRK1_30190.4, STRK1_30190.2	T265_07338
OG0003791	STRK1_105820.1, STRK1_95820.1, STRK1_95820.2	T265_13215
OG0003792	STRK1_110880.1, STRK1_54980.1	T265_07300
OG0003794	STRK1_107970.1	T265_07116
OG0003795	STRK1_91300.1, STRK1_91300.2	T265_08168
OG0003796	STRK1_63260.1, STRK1_63260.2, STRK1_63260.3	T265_11530, T265_11441, T265_11529
OG0003797	STRK1_73560.1, STRK1_73560.3, STRK1_73560.2	T265_13903
OG0003799	STRK1_79650.1, STRK1_79650.2	T265_02377
OG0003800	STRK1_22010.1, STRK1_22010.2	T265_05983
OG0003801	STRK1_47480.1	T265_08096
OG0003802	STRK1_73280.1	T265_03294
OG0003803	STRK1_9450.1, STRK1_9450.2	T265_09049
OG0003804	STRK1_4340.1, STRK1_4340.2, STRK1_4340.3	T265_12924
OG0003805	STRK1_500.1, STRK1_500.2	T265_00258
OG0003806	STRK1_13050.1, STRK1_13080.1	T265_00275
OG0003807	STRK1_104450.1, STRK1_104450.2, STRK1_104450.3, STRK1_104450.4, STRK1_28070.1, STRK1_28070.2	T265_15782
OG0003809	STRK1_68720.1	T265_02345
OG0003814	STRK1_80030.1	T265_06383
OG0003827	STRK1_30050.1	T265_13331
OG0003828	STRK1_33340.1	T265_02993, T265_03636, T265_02995, T265_03637
OG0003829	STRK1_6970.1, STRK1_6970.2	T265_10436
OG0003830	STRK1_10650.1	T265_09055
OG0003831	STRK1_92750.1	T265_11014, T265_11015
OG0003832	STRK1_37320.1, STRK1_92710.1	T265_10860
OG0003834	STRK1_17090.1	T265_05544
OG0003835	STRK1_3090.1, STRK1_3090.2	T265_11735
OG0003836	STRK1_30070.1	T265_08888
OG0003837	STRK1_35190.1	T265_06035, T265_09723
OG0003838	STRK1_11210.1	T265_07776
OG0003839	STRK1_5600.1	T265_05240
OG0003840	STRK1_39400.1, STRK1_39410.1	T265_14592
OG0003842	STRK1_29750.1	T265_15056, T265_08637, T265_08638
OG0003843	STRK1_12690.1	T265_14168
OG0003844	STRK1_34220.1	T265_00713
OG0003845	STRK1_89290.1	T265_02625
OG0003846	STRK1_15640.1	T265_06818
OG0003847	STRK1_60830.1	T265_10563
OG0003848	STRK1_82720.1	T265_07131
OG0003849	STRK1_17990.1, STRK1_95150.1	T265_15329
OG0003850	STRK1_105930.1, STRK1_105930.2	T265_00751
OG0003851	STRK1_59220.1	T265_05837, T265_13888
OG0003852	STRK1_91820.1	T265_14491
OG0003853	STRK1_90510.1, STRK1_100990.1	T265_08362
OG0003854	STRK1_63070.1	T265_03170, T265_03168, T265_03171, T265_03169
OG0003855	STRK1_38950.1, STRK1_38950.2	T265_12068
OG0003856	STRK1_82550.1	T265_10681
OG0003857	STRK1_28790.1	T265_05336
OG0003858	STRK1_27780.1	T265_07459
OG0003859	STRK1_64220.1	T265_03929
OG0003860	STRK1_41370.1, STRK1_41370.2	T265_02613
OG0003861	STRK1_33420.1	T265_01889
OG0003863	STRK1_21510.2, STRK1_21510.1	T265_05699
OG0003864	STRK1_75900.1	T265_00327
OG0003865	STRK1_91970.1, STRK1_91970.2	T265_16087
OG0003866	STRK1_38560.1	T265_03366
OG0003867	STRK1_45380.1	T265_00021
OG0003868	STRK1_60320.1	T265_03172
OG0003869	STRK1_111410.1, STRK1_111410.2	T265_12812
OG0003872	STRK1_97010.1, STRK1_99260.1	T265_01200
OG0003873	STRK1_92760.1, STRK1_92760.2, STRK1_75720.1, STRK1_109060.1, STRK1_79900.2, STRK1_79900.1, STRK1_79900.3	T265_14902
OG0003874	STRK1_40430.1, STRK1_40430.2	T265_09712
OG0003875	STRK1_22020.1	T265_05982
OG0003876	STRK1_37920.1	T265_06523
OG0003877	STRK1_59710.1, STRK1_59710.2, STRK1_59710.3	T265_01126
OG0003878	STRK1_59700.1	T265_12724
OG0003879	STRK1_77700.1, STRK1_103320.1	T265_09833
OG0003881	STRK1_60110.1	T265_02017
OG0003882	STRK1_91960.1	T265_03801
OG0003883	STRK1_60030.1	T265_04185
OG0003884	STRK1_24950.3, STRK1_24950.1, STRK1_24950.2	T265_05578
OG0003885	STRK1_84220.1	T265_07522
OG0003886	STRK1_32770.1, STRK1_32760.1	T265_14515, T265_16100, T265_16102
OG0003887	STRK1_95280.1, STRK1_95300.1, STRK1_87770.1, STRK1_95290.1, STRK1_101660.1	T265_02629, T265_13056
OG0003888	STRK1_85910.1	T265_02628
OG0003889	STRK1_73380.1	T265_02775
OG0003890	STRK1_19010.1	T265_13252
OG0003891	STRK1_11180.1, STRK1_11180.2	T265_09065
OG0003892	STRK1_87860.1	T265_05178
OG0003894	STRK1_11020.1	T265_12868
OG0003895	STRK1_46760.1	T265_03559
OG0003896	STRK1_102320.1, STRK1_102320.2	T265_01211
OG0003897	STRK1_100210.1, STRK1_100210.3, STRK1_100210.5, STRK1_100210.2, STRK1_100210.4	T265_10035, T265_04263
OG0003899	STRK1_46780.1	T265_07211
OG0003900	STRK1_96470.1, STRK1_111240.1, STRK1_66690.1, STRK1_66670.1, STRK1_111250.1, STRK1_66610.1	T265_10723
OG0003902	STRK1_88270.1	T265_13594, T265_16150
OG0003903	STRK1_66500.1	T265_09767
OG0003904	STRK1_66000.2, STRK1_66000.4, STRK1_66000.1, STRK1_66000.3	T265_12792
OG0003905	STRK1_91140.1	T265_02716
OG0003906	STRK1_12800.1, STRK1_12800.2, STRK1_12800.4, STRK1_12800.3	T265_15259
OG0003907	STRK1_91210.1	T265_08382
OG0003908	STRK1_20820.1, STRK1_20830.1	T265_13254
OG0003909	STRK1_30910.1	T265_14652
OG0003910	STRK1_54030.1	T265_14467
OG0003911	STRK1_39120.1, STRK1_39120.2, STRK1_39120.3	T265_07148
OG0003912	STRK1_61030.1	T265_01757
OG0003913	STRK1_29240.1	T265_15870, T265_13380, T265_13379
OG0003914	STRK1_67520.1	T265_02342
OG0003915	STRK1_67530.1	T265_02343
OG0003916	STRK1_94110.1	T265_04956
OG0003917	STRK1_5230.1	T265_00965
OG0003918	STRK1_49420.1	T265_11784
OG0003919	STRK1_27530.1, STRK1_27530.2	T265_08326
OG0003920	STRK1_14440.1	T265_06647
OG0003921	STRK1_67870.1, STRK1_67910.1	T265_10885
OG0003922	STRK1_66010.1, STRK1_66010.2	T265_01385
OG0003923	STRK1_23530.1, STRK1_23530.2	T265_05966
OG0003924	STRK1_53970.1, STRK1_53980.1	T265_01221
OG0003925	STRK1_46990.1	T265_13740, T265_13742
OG0003927	STRK1_66790.1	T265_02043
OG0003928	STRK1_39080.1	T265_09914
OG0003929	STRK1_43630.1	T265_05791
OG0003931	STRK1_47070.1	T265_00356
OG0003932	STRK1_4990.1, STRK1_4990.2	T265_06772, T265_09511
OG0003933	STRK1_42480.1	T265_07605
OG0003934	STRK1_93440.1, STRK1_93440.2	T265_00259
OG0003936	STRK1_6040.1	T265_13452
OG0003937	STRK1_100380.1, STRK1_45690.1	T265_13217, T265_13216
OG0003938	STRK1_71840.1	T265_06118
OG0003939	STRK1_81810.1, STRK1_81820.1, STRK1_81820.2	T265_16172
OG0003940	STRK1_8240.1	T265_03321
OG0003941	STRK1_16010.1	T265_06268
OG0003943	STRK1_44200.1	T265_10688
OG0003945	STRK1_84430.1, STRK1_84440.1	T265_13755, T265_13756
OG0003946	STRK1_23420.1	T265_02108
OG0003947	STRK1_38760.1	T265_05884
OG0003948	STRK1_53080.1	T265_14150, T265_16082, T265_16108
OG0003949	STRK1_51400.1	T265_05466, T265_16243
OG0003950	STRK1_6150.1	T265_06273
OG0003951	STRK1_50620.1, STRK1_50630.1	T265_11981
OG0003952	STRK1_86270.1	T265_04156
OG0003953	STRK1_79100.1	T265_11268
OG0003955	STRK1_49520.1	T265_15588
OG0003956	STRK1_59250.1	T265_00672
OG0003957	STRK1_35790.1	T265_07581
OG0003958	STRK1_26780.1	T265_04262
OG0003959	STRK1_21180.1, STRK1_21190.1, STRK1_97710.1	T265_14829
OG0003960	STRK1_52000.1	T265_13631
OG0003961	STRK1_101970.1, STRK1_79210.1	T265_14901, T265_16141
OG0003964	STRK1_13570.1	T265_08186
OG0003965	STRK1_25290.1	T265_05582
OG0003967	STRK1_101370.1	T265_01515, T265_08210
OG0003968	STRK1_16880.1, STRK1_16880.2	T265_08006
OG0003969	STRK1_81130.1	T265_03015
OG0003970	STRK1_89750.1	T265_14765
OG0003971	STRK1_59210.1, STRK1_59210.2	T265_12912
OG0003972	STRK1_32470.1	T265_10338
