Orthogroup	schistosoma_turkestanicum	schistosoma_curassoni
OG0002329	STRK1_1700.1	SCUR1_1740.1
OG0002330	STRK1_3520.1, STRK1_3520.2	SCUR1_5920.1
OG0002331	STRK1_3190.1	SCUR1_5590.1
OG0002332	STRK1_8010.1	SCUR1_12760.1
OG0002333	STRK1_47720.1, STRK1_47720.2, STRK1_47720.3	SCUR1_53380.1, SCUR1_53380.2
OG0002334	STRK1_12070.1	SCUR1_8800.1, SCUR1_8800.2
OG0002335	STRK1_14220.1, STRK1_14220.2	SCUR1_16930.1, SCUR1_16930.3, SCUR1_16930.2
OG0002336	STRK1_53210.1, STRK1_53210.2, STRK1_53210.4, STRK1_53210.5, STRK1_53210.3	SCUR1_56720.3, SCUR1_56720.1, SCUR1_56720.2, SCUR1_56720.4, SCUR1_56720.5
OG0002337	STRK1_90720.1	SCUR1_94920.1, SCUR1_94920.3, SCUR1_94920.2, SCUR1_94920.4
OG0002338	STRK1_8980.1	SCUR1_9450.1
OG0002339	STRK1_86430.1	SCUR1_97440.1, SCUR1_88830.1
OG0002340	STRK1_17310.1	SCUR1_2640.1
OG0002341	STRK1_85420.1, STRK1_85420.2, STRK1_85420.3, STRK1_85420.4, STRK1_85420.5, STRK1_85420.6, STRK1_85420.7	SCUR1_87520.1, SCUR1_87530.1
OG0002342	STRK1_16590.1, STRK1_16590.2	SCUR1_3510.4, SCUR1_3510.1, SCUR1_3510.2, SCUR1_3510.8, SCUR1_3510.6, SCUR1_3510.7, SCUR1_3510.3, SCUR1_3510.5, SCUR1_3510.9
OG0002343	STRK1_40100.1, STRK1_40100.2	SCUR1_43980.3, SCUR1_43980.4, SCUR1_43980.5, SCUR1_43980.1, SCUR1_43980.2
OG0002344	STRK1_61650.4, STRK1_61650.2, STRK1_61650.1, STRK1_61650.3	SCUR1_60190.1, SCUR1_60190.3, SCUR1_60190.2
OG0002345	STRK1_88290.1	SCUR1_86250.1
OG0002346	STRK1_22810.1	SCUR1_25300.1, SCUR1_25300.2
OG0002347	STRK1_18690.1, STRK1_18680.1, STRK1_18680.2	SCUR1_20800.1
OG0002348	STRK1_30940.1	SCUR1_36290.1, SCUR1_36290.10, SCUR1_36290.2, SCUR1_36290.3, SCUR1_36290.4, SCUR1_36290.5, SCUR1_36290.6, SCUR1_36290.7, SCUR1_36290.8, SCUR1_36290.9
OG0002349	STRK1_85330.1	SCUR1_87520.4, SCUR1_87520.5, SCUR1_87590.1, SCUR1_87520.6
OG0002350	STRK1_104490.1, STRK1_31320.1	SCUR1_36690.1, SCUR1_36690.3, SCUR1_36690.4, SCUR1_36690.2
OG0002351	STRK1_52330.1, STRK1_52330.2, STRK1_52330.3	SCUR1_50990.1, SCUR1_50990.3, SCUR1_50990.4, SCUR1_50990.2
OG0002352	STRK1_87740.1, STRK1_87740.2	SCUR1_87110.1, SCUR1_87110.2
OG0002353	STRK1_71980.1	SCUR1_74480.1, SCUR1_74480.4, SCUR1_74480.8, SCUR1_74480.10, SCUR1_74480.3, SCUR1_74480.6, SCUR1_74480.2, SCUR1_74480.5, SCUR1_74480.7, SCUR1_74480.9
OG0002354	STRK1_12700.1	SCUR1_8160.1
OG0002355	STRK1_71360.1	SCUR1_72700.1, SCUR1_72700.2, SCUR1_72700.3
OG0002356	STRK1_62670.1, STRK1_62670.2	SCUR1_65230.1, SCUR1_65230.2, SCUR1_65230.3, SCUR1_65230.4
OG0002357	STRK1_104320.1	SCUR1_27870.1
OG0002357	STRK1_98060.1	SCUR1_27860.1
OG0002358	STRK1_13550.1, STRK1_13550.2	SCUR1_17580.1
OG0002359	STRK1_5410.1	SCUR1_14300.1, SCUR1_14300.2, SCUR1_14300.4, SCUR1_14300.3, SCUR1_14300.5
OG0002360	STRK1_73060.1, STRK1_73060.2, STRK1_73060.3	SCUR1_75690.3, SCUR1_75690.2, SCUR1_75690.1
OG0002361	STRK1_81970.1	SCUR1_83810.2, SCUR1_83810.1, SCUR1_83810.3, SCUR1_83810.4
OG0002362	STRK1_62340.1, STRK1_62340.2	SCUR1_64940.3, SCUR1_64940.4, SCUR1_64940.2, SCUR1_64940.1
OG0002363	STRK1_106220.1, STRK1_66640.1	SCUR1_68100.1
OG0002364	STRK1_40820.1	SCUR1_43260.1, SCUR1_43260.2, SCUR1_43260.3, SCUR1_43260.4, SCUR1_43260.5
OG0002365	STRK1_15620.1	SCUR1_4590.2, SCUR1_4590.1
OG0002370	STRK1_51270.1	SCUR1_48090.1
OG0002371	STRK1_1150.1, STRK1_1150.2, STRK1_1150.3, STRK1_1150.4	SCUR1_1630.5, SCUR1_1630.1, SCUR1_1630.2, SCUR1_1630.6, SCUR1_1630.3, SCUR1_1630.4, SCUR1_1630.7
OG0002372	STRK1_63890.1, STRK1_109690.1	SCUR1_63470.1
OG0002374	STRK1_3220.1, STRK1_3220.2, STRK1_3220.3	SCUR1_5620.1
OG0002375	STRK1_93050.1, STRK1_93080.1	SCUR1_94050.1, SCUR1_94050.2, SCUR1_94050.3
OG0002376	STRK1_70180.1, STRK1_70180.2	SCUR1_71650.1, SCUR1_71650.3, SCUR1_71650.2
OG0002377	STRK1_110210.1, STRK1_111040.1, STRK1_30230.1, STRK1_30240.1	SCUR1_98070.2, SCUR1_98070.1, SCUR1_99460.1, SCUR1_99430.1
OG0002378	STRK1_38260.1	SCUR1_40100.1, SCUR1_40100.2
OG0002379	STRK1_41040.1	SCUR1_42970.1
OG0002380	STRK1_20040.1	SCUR1_21480.1, SCUR1_120.1, SCUR1_120.2
OG0002381	STRK1_51550.1	SCUR1_53650.1
OG0002382	STRK1_9300.1, STRK1_9300.2, STRK1_9300.3	SCUR1_9820.1
OG0002383	STRK1_46660.1, STRK1_46660.2, STRK1_46660.3	SCUR1_52250.1
OG0002384	STRK1_79320.1	SCUR1_80120.1, SCUR1_80120.2, SCUR1_80120.3
OG0002385	STRK1_37060.2, STRK1_37060.5, STRK1_37060.8, STRK1_37060.7, STRK1_37060.6, STRK1_37060.3, STRK1_37060.1, STRK1_37060.4	SCUR1_28900.1, SCUR1_28900.2, SCUR1_28900.3, SCUR1_28900.4
OG0002386	STRK1_34370.1, STRK1_34380.1	SCUR1_33220.1
OG0002387	STRK1_73880.1	SCUR1_76660.4, SCUR1_76660.5, SCUR1_76660.1, SCUR1_76660.6, SCUR1_76660.2, SCUR1_76660.3
OG0002388	STRK1_67100.1, STRK1_67110.1, STRK1_67120.1, STRK1_10090.1, STRK1_10090.2	SCUR1_10770.1
OG0002389	STRK1_87730.1	SCUR1_87250.1
OG0002390	STRK1_14600.1	SCUR1_16470.3, SCUR1_16470.4, SCUR1_16470.2, SCUR1_16470.1
OG0002391	STRK1_2060.1	SCUR1_18730.1
OG0002392	STRK1_85170.1	SCUR1_89590.1
OG0002393	STRK1_56920.1, STRK1_56920.2	SCUR1_59290.1, SCUR1_59290.3, SCUR1_59290.4, SCUR1_59290.2
OG0002394	STRK1_32570.1	SCUR1_31110.1, SCUR1_31110.3, SCUR1_31120.1, SCUR1_31110.2
OG0002395	STRK1_91730.1, STRK1_91680.1, STRK1_107650.1	SCUR1_82530.1, SCUR1_82530.2
OG0002396	STRK1_34100.1	SCUR1_32910.1
OG0002397	STRK1_76450.3, STRK1_76450.1, STRK1_76450.2, STRK1_76450.4	SCUR1_78260.1, SCUR1_78240.1, SCUR1_78240.2
OG0002398	STRK1_15330.1	SCUR1_5360.1
OG0002399	STRK1_39000.1, STRK1_39000.2	SCUR1_41010.1, SCUR1_41010.2
OG0002400	STRK1_17050.1	SCUR1_3010.3, SCUR1_3010.1, SCUR1_3010.2
OG0002401	STRK1_105390.1	SCUR1_94660.1, SCUR1_99260.1, SCUR1_99260.2
OG0002402	STRK1_19820.1, STRK1_102610.1, STRK1_19800.1, STRK1_102750.1, STRK1_19810.1	SCUR1_19690.1, SCUR1_19690.2, SCUR1_19690.3, SCUR1_19690.4, SCUR1_19680.1
OG0002403	STRK1_24840.1, STRK1_24840.2	SCUR1_24110.1, SCUR1_24110.2, SCUR1_24110.3, SCUR1_24110.4
OG0002404	STRK1_65340.1	SCUR1_61880.1
OG0002405	STRK1_1300.1	SCUR1_1710.2, SCUR1_1710.1
OG0002406	STRK1_12400.1	SCUR1_8470.1
OG0002407	STRK1_12820.1	SCUR1_8020.1
OG0002407	STRK1_12830.1	SCUR1_8010.1
OG0002408	STRK1_75070.1	SCUR1_72990.1, SCUR1_72990.3, SCUR1_72990.2
OG0002409	STRK1_81700.1, STRK1_103120.1	SCUR1_83590.3, SCUR1_83590.4, SCUR1_83590.6, SCUR1_83590.1, SCUR1_83590.5, SCUR1_83590.2
OG0002410	STRK1_36320.1	SCUR1_35610.1
OG0002411	STRK1_85480.1	SCUR1_87440.1, SCUR1_87440.2, SCUR1_87440.4, SCUR1_87440.3
OG0002412	STRK1_30300.1, STRK1_30300.2	SCUR1_29660.1, SCUR1_29660.2
OG0002413	STRK1_85120.1, STRK1_85120.2	SCUR1_85940.1
OG0002414	STRK1_54910.1	SCUR1_55380.1, SCUR1_55380.2, SCUR1_55380.6, SCUR1_55380.3, SCUR1_55380.4, SCUR1_55380.5
OG0002415	STRK1_104080.1, STRK1_104080.2, STRK1_104080.3, STRK1_19090.1	SCUR1_20600.1, SCUR1_20600.2
OG0002416	STRK1_38990.1, STRK1_38990.2	SCUR1_40960.1
OG0002417	STRK1_14790.1	SCUR1_16280.1
OG0002418	STRK1_34240.2, STRK1_34240.1	SCUR1_33050.2, SCUR1_33050.1, SCUR1_33050.3
OG0002419	STRK1_27340.1	SCUR1_28760.1
OG0002420	STRK1_34410.1, STRK1_34410.2	SCUR1_33260.1
OG0002421	STRK1_69580.1	SCUR1_71010.1
OG0002422	STRK1_35760.1	SCUR1_34970.1, SCUR1_34970.2, SCUR1_34970.3
OG0002423	STRK1_68520.1	SCUR1_69860.1
OG0002424	STRK1_53480.1, STRK1_53490.1, STRK1_53490.2	SCUR1_56080.1
OG0002425	STRK1_35520.1	SCUR1_34720.1
OG0002426	STRK1_109530.1, STRK1_28160.1, STRK1_28160.2	SCUR1_37070.6, SCUR1_37070.5, SCUR1_37070.1, SCUR1_37070.2, SCUR1_37070.3, SCUR1_37070.4
OG0002427	STRK1_100320.1, STRK1_12410.1	SCUR1_8460.1, SCUR1_8460.2
OG0002428	STRK1_7900.1, STRK1_7900.2, STRK1_7900.3, STRK1_7900.4	SCUR1_12640.1, SCUR1_12640.2
OG0002429	STRK1_38310.1	SCUR1_40140.1
OG0002430	STRK1_73640.1	SCUR1_73750.1, SCUR1_73750.2, SCUR1_73750.3
OG0002431	STRK1_28430.1	SCUR1_36790.3, SCUR1_36790.1, SCUR1_36790.4, SCUR1_36790.2
OG0002432	STRK1_59990.1	SCUR1_60590.1
OG0002433	STRK1_1830.1	SCUR1_19420.1, SCUR1_19420.2, SCUR1_19420.3
OG0002434	STRK1_35850.1, STRK1_35830.1	SCUR1_35040.1, SCUR1_35040.4, SCUR1_35040.2, SCUR1_35040.5, SCUR1_35040.3, SCUR1_35040.8, SCUR1_35040.6, SCUR1_35040.7
OG0002435	STRK1_27400.1	SCUR1_28820.1, SCUR1_28820.2, SCUR1_28820.4, SCUR1_28820.3, SCUR1_28820.5, SCUR1_28820.6, SCUR1_28820.7, SCUR1_28820.8
OG0002436	STRK1_20780.1, STRK1_20770.1	SCUR1_22120.1, SCUR1_22130.1
OG0002437	STRK1_102030.1, STRK1_47030.1	SCUR1_52670.1
OG0002438	STRK1_34690.1	SCUR1_33530.1, SCUR1_33530.3, SCUR1_33530.2
OG0002439	STRK1_47140.1	SCUR1_52820.2, SCUR1_52820.3, SCUR1_52820.5, SCUR1_52820.1, SCUR1_52820.4
OG0002440	STRK1_67000.1	SCUR1_68330.1
OG0002441	STRK1_50150.1, STRK1_50150.2	SCUR1_49090.1
OG0002442	STRK1_37620.1	SCUR1_42740.1
OG0002443	STRK1_43270.1	SCUR1_45610.1, SCUR1_45610.2
OG0002444	STRK1_56710.1, STRK1_95420.1	SCUR1_97940.1, SCUR1_57460.3, SCUR1_57460.1, SCUR1_57460.2
OG0002445	STRK1_67020.1	SCUR1_68380.2, SCUR1_68380.1, SCUR1_68380.3, SCUR1_68380.4
OG0002446	STRK1_59580.1	SCUR1_62380.1
OG0002447	STRK1_7240.1	SCUR1_7360.1
OG0002448	STRK1_105600.1, STRK1_31540.1	SCUR1_32320.1
OG0002449	STRK1_2550.1, STRK1_2550.2	SCUR1_18270.1
OG0002450	STRK1_62320.1, STRK1_62320.2	SCUR1_64920.1, SCUR1_64920.2
OG0002451	STRK1_69610.1	SCUR1_76230.1, SCUR1_71030.1
OG0002452	STRK1_12980.1, STRK1_12980.2	SCUR1_7850.2, SCUR1_7850.1, SCUR1_7850.3
OG0002453	STRK1_45150.1	SCUR1_47230.1, SCUR1_47230.3, SCUR1_47230.2, SCUR1_47230.4
OG0002454	STRK1_64930.1	SCUR1_66700.1
OG0002455	STRK1_59040.1	SCUR1_65710.1, SCUR1_65710.2, SCUR1_65710.3
OG0002456	STRK1_34080.1	SCUR1_32890.1, SCUR1_32890.2
OG0002457	STRK1_68750.1	SCUR1_70110.2, SCUR1_70110.3, SCUR1_70110.5, SCUR1_70110.6, SCUR1_70110.1, SCUR1_70110.4
OG0002458	STRK1_81720.1	SCUR1_83610.1
OG0002459	STRK1_32900.1, STRK1_32900.2, STRK1_32900.3, STRK1_43320.1, STRK1_43330.1	SCUR1_38330.2, SCUR1_38330.1, SCUR1_38330.3
OG0002460	STRK1_12670.1	SCUR1_8200.1
OG0002461	STRK1_8810.1, STRK1_8810.2	SCUR1_9290.1
OG0002462	STRK1_106030.1, STRK1_58700.1	SCUR1_64040.2, SCUR1_64040.4, SCUR1_64040.5, SCUR1_64040.1, SCUR1_64040.3, SCUR1_64040.6
OG0002463	STRK1_91770.1, STRK1_91780.1	SCUR1_82570.1
OG0002464	STRK1_24340.1, STRK1_24350.1, STRK1_24350.2	SCUR1_28150.1, SCUR1_28150.3, SCUR1_28150.2
OG0002465	STRK1_80690.1	SCUR1_82080.3, SCUR1_82080.4, SCUR1_82080.1, SCUR1_82080.2
OG0002466	STRK1_94680.1	SCUR1_92660.3, SCUR1_92660.1, SCUR1_92660.2
OG0002467	STRK1_100620.1	SCUR1_50560.1, SCUR1_50560.2, SCUR1_50560.3
OG0002468	STRK1_75790.1	SCUR1_75250.1
OG0002469	STRK1_15810.1, STRK1_15810.2	SCUR1_4440.1, SCUR1_4440.2, SCUR1_4440.3
OG0002470	STRK1_96760.1, STRK1_77310.1, STRK1_77310.2, STRK1_77320.1	SCUR1_78580.2, SCUR1_78580.3, SCUR1_78580.1, SCUR1_78580.4
OG0002471	STRK1_74220.1, STRK1_74220.2	SCUR1_74200.2, SCUR1_74200.1, SCUR1_74200.3, SCUR1_74200.4
OG0002472	STRK1_28260.1, STRK1_28260.2	SCUR1_36960.1
OG0002473	STRK1_9180.1	SCUR1_9660.1
OG0002474	STRK1_88140.1	SCUR1_86740.1
OG0002475	STRK1_98600.1	SCUR1_18770.1
OG0002476	STRK1_29100.1	SCUR1_30890.1
OG0002477	STRK1_110460.1	SCUR1_75870.1, SCUR1_75870.2
OG0002478	STRK1_52580.1, STRK1_52580.3, STRK1_52580.2, STRK1_52580.4	SCUR1_51210.1, SCUR1_51210.2, SCUR1_51210.3
OG0002479	STRK1_64090.1, STRK1_64090.2, STRK1_64090.3	SCUR1_63270.1
OG0002480	STRK1_23750.1	SCUR1_27920.1
OG0002481	STRK1_3620.1, STRK1_3620.2	SCUR1_6030.1
OG0002482	STRK1_60890.1	SCUR1_61600.2, SCUR1_61600.1, SCUR1_61600.3
OG0002483	STRK1_18520.1	SCUR1_20920.4, SCUR1_20920.6, SCUR1_20920.3, SCUR1_20920.5, SCUR1_20920.1, SCUR1_20920.2
OG0002484	STRK1_22260.1	SCUR1_23670.1, SCUR1_23670.2, SCUR1_23670.3
OG0002485	STRK1_27700.1	SCUR1_34420.1, SCUR1_34420.2, SCUR1_34420.3, SCUR1_34400.1
OG0002486	STRK1_22380.1	SCUR1_23780.3, SCUR1_23780.1, SCUR1_23780.2
OG0002487	STRK1_76520.1	SCUR1_79360.2, SCUR1_79360.3, SCUR1_79360.6, SCUR1_79360.5, SCUR1_79360.4, SCUR1_79360.1, SCUR1_100090.1
OG0002488	STRK1_48710.1	SCUR1_54840.1, SCUR1_54840.2
OG0002489	STRK1_25420.1	SCUR1_27330.2, SCUR1_27330.1
OG0002490	STRK1_75550.1, STRK1_75550.2	SCUR1_73470.3, SCUR1_73470.1, SCUR1_73470.2, SCUR1_73470.4
OG0002491	STRK1_93470.1	SCUR1_91700.1, SCUR1_91700.2, SCUR1_91700.3
OG0002492	STRK1_104010.1, STRK1_74230.1	SCUR1_74190.1, SCUR1_74190.2
OG0002493	STRK1_63770.1	SCUR1_63580.1
OG0002494	STRK1_1060.1, STRK1_1060.2	SCUR1_1530.1
OG0002495	STRK1_5170.1	SCUR1_14580.1, SCUR1_14580.2
OG0002496	STRK1_96130.1, STRK1_103240.1, STRK1_103240.2, STRK1_99170.1	SCUR1_43000.1
OG0002497	STRK1_43370.1, STRK1_43380.1	SCUR1_45860.1, SCUR1_45860.2
OG0002498	STRK1_380.1	SCUR1_800.1
OG0002499	STRK1_49640.1, STRK1_49640.2, STRK1_49640.3	SCUR1_49600.1
OG0002500	STRK1_91350.5, STRK1_91350.4, STRK1_91350.1, STRK1_91350.2, STRK1_91350.3	SCUR1_240.1
OG0002501	STRK1_9120.1, STRK1_9120.2	SCUR1_9620.1
OG0002502	STRK1_53950.1	SCUR1_55730.1, SCUR1_55770.1
OG0002503	STRK1_91750.4, STRK1_91750.1, STRK1_91750.5, STRK1_91750.2, STRK1_91750.6, STRK1_91750.8, STRK1_91750.3, STRK1_91750.7	SCUR1_82560.1
OG0002504	STRK1_98480.1	SCUR1_23730.4, SCUR1_23730.5, SCUR1_23730.1, SCUR1_23730.2, SCUR1_23730.3
OG0002505	STRK1_51980.1, STRK1_51980.2	SCUR1_51530.1
OG0002506	STRK1_27640.1	SCUR1_34490.1
OG0002507	STRK1_80550.1, STRK1_80550.2	SCUR1_81930.1, SCUR1_81930.2, SCUR1_81930.3
OG0002508	STRK1_58800.1	SCUR1_63930.1
OG0002509	STRK1_8750.1, STRK1_8750.2	SCUR1_9160.1
OG0002510	STRK1_56140.1	SCUR1_57670.1, SCUR1_57670.4, SCUR1_57670.2, SCUR1_57670.3
OG0002511	STRK1_70150.1, STRK1_70150.6, STRK1_70150.7, STRK1_70150.2, STRK1_70150.3, STRK1_70150.4, STRK1_70150.5, STRK1_70150.8	SCUR1_71570.1
OG0002512	STRK1_63190.1	SCUR1_62780.3, SCUR1_62780.4, SCUR1_62790.2, SCUR1_62790.4, SCUR1_62780.1, SCUR1_62780.2, SCUR1_62790.1, SCUR1_62790.3
OG0002514	STRK1_15060.1	SCUR1_15980.1
OG0002515	STRK1_41770.2, STRK1_41770.1, STRK1_41780.1, STRK1_41760.1, STRK1_41760.2	SCUR1_42010.2, SCUR1_42010.3, SCUR1_42010.1, SCUR1_42010.4
OG0002516	STRK1_71140.1	SCUR1_76050.2, SCUR1_76050.3, SCUR1_76050.1, SCUR1_76050.4, SCUR1_76050.5
OG0002517	STRK1_73620.1, STRK1_73620.2, STRK1_73620.3, STRK1_73620.5, STRK1_73620.4	SCUR1_73720.4, SCUR1_73720.1, SCUR1_73720.2, SCUR1_73720.3, SCUR1_73720.5, SCUR1_73720.6
OG0002519	STRK1_55850.1, STRK1_56110.1, STRK1_56180.1, STRK1_56190.1, STRK1_23510.1	SCUR1_57720.3, SCUR1_57730.1, SCUR1_57720.2, SCUR1_57720.1, SCUR1_57740.1
OG0002520	STRK1_103590.1, STRK1_97830.1, STRK1_97830.2	SCUR1_73990.1
OG0002521	STRK1_61080.1, STRK1_61090.1	SCUR1_67120.1
OG0002521	STRK1_61110.1, STRK1_61100.1, STRK1_61120.1	SCUR1_67130.1
OG0002522	STRK1_22680.1	SCUR1_25410.1, SCUR1_25410.3, SCUR1_25410.4, SCUR1_25410.5, SCUR1_25410.6, SCUR1_25410.2
OG0002526	STRK1_11700.1, STRK1_11700.2, STRK1_11700.3	SCUR1_13560.1
OG0002527	STRK1_39680.1	SCUR1_41720.1, SCUR1_97100.1
OG0002528	STRK1_91150.1	SCUR1_93150.4, SCUR1_93150.5, SCUR1_93150.1, SCUR1_93150.2, SCUR1_93150.3, SCUR1_93150.6
OG0002529	STRK1_99180.1	SCUR1_55320.1
OG0002530	STRK1_74420.1	SCUR1_74070.1
OG0002531	STRK1_25300.1	SCUR1_27470.1, SCUR1_27470.2
OG0002532	STRK1_69420.1	SCUR1_70810.3, SCUR1_70810.4, SCUR1_70810.1, SCUR1_70810.2
OG0002533	STRK1_62620.1	SCUR1_65200.1, SCUR1_65210.1
OG0002534	STRK1_86660.1	SCUR1_96770.1
OG0002535	STRK1_36330.1	SCUR1_35600.1
OG0002536	STRK1_11660.1	SCUR1_13610.1
OG0002537	STRK1_80410.1, STRK1_80410.2, STRK1_80410.3	SCUR1_81790.1, SCUR1_81790.2
OG0002538	STRK1_60050.1	SCUR1_60670.1
OG0002539	STRK1_26370.1	SCUR1_26370.1
OG0002540	STRK1_37180.1, STRK1_101080.1	SCUR1_39190.1
OG0002541	STRK1_55180.2, STRK1_55180.1, STRK1_55180.3	SCUR1_55560.1
OG0002542	STRK1_85790.1	SCUR1_88150.1, SCUR1_88150.2, SCUR1_88150.3, SCUR1_88150.4
OG0002543	STRK1_36930.1	SCUR1_29030.1
OG0002544	STRK1_45730.1, STRK1_45730.2	SCUR1_47770.1, SCUR1_47770.2, SCUR1_47770.3
OG0002545	STRK1_22210.1	SCUR1_23560.4, SCUR1_23560.2, SCUR1_23560.3, SCUR1_23560.1
OG0002546	STRK1_2630.1, STRK1_2630.2	SCUR1_18170.1
OG0002547	STRK1_105720.1, STRK1_92550.1	SCUR1_94500.1
OG0002548	STRK1_92070.1, STRK1_92070.3, STRK1_92070.2	SCUR1_92300.1, SCUR1_92300.2, SCUR1_99720.1
OG0002549	STRK1_23810.1, STRK1_23810.2, STRK1_23810.3, STRK1_23810.4	SCUR1_27850.1, SCUR1_27850.2
OG0002550	STRK1_44920.1, STRK1_44930.1	SCUR1_95870.1, SCUR1_46980.1, SCUR1_46980.3, SCUR1_46980.2
OG0002551	STRK1_32600.1	SCUR1_31070.1
OG0002552	STRK1_16000.1, STRK1_16000.2	SCUR1_4260.2, SCUR1_4260.1, SCUR1_4260.3
OG0002553	STRK1_58530.1	SCUR1_64230.2, SCUR1_64230.3, SCUR1_64230.1
OG0002554	STRK1_57460.1	SCUR1_58800.3, SCUR1_58800.1, SCUR1_58800.2
OG0002555	STRK1_30740.1	SCUR1_36090.1
OG0002556	STRK1_18640.1	SCUR1_20860.1, SCUR1_20860.2
OG0002557	STRK1_37500.1	SCUR1_42590.1, SCUR1_42590.2
OG0002558	STRK1_16250.1	SCUR1_3940.1, SCUR1_3940.2
OG0002559	STRK1_90960.1	SCUR1_24520.1
OG0002560	STRK1_84740.1	SCUR1_87520.12, SCUR1_87780.1, SCUR1_87520.13, SCUR1_87520.14
OG0002561	STRK1_8910.1	SCUR1_9370.1
OG0002562	STRK1_12020.1, STRK1_12020.2	SCUR1_8870.1, SCUR1_8870.2, SCUR1_8870.3
OG0002563	STRK1_60700.1, STRK1_60700.2, STRK1_60700.3	SCUR1_61400.1, SCUR1_61390.1
OG0002564	STRK1_74650.1, STRK1_107450.1	SCUR1_76920.1
OG0002565	STRK1_17730.1	SCUR1_2240.1
OG0002565	STRK1_17720.1	SCUR1_2230.1
OG0002566	STRK1_62210.1, STRK1_62180.1	SCUR1_64830.1
OG0002567	STRK1_36380.1, STRK1_36380.2	SCUR1_35510.1
OG0002568	STRK1_63860.1	SCUR1_63490.1
OG0002569	STRK1_63490.2, STRK1_63490.3, STRK1_63490.1, STRK1_63490.4	SCUR1_65520.1
OG0002570	STRK1_32020.2, STRK1_32020.3, STRK1_32020.1	SCUR1_31710.1
OG0002571	STRK1_38490.1, STRK1_38490.3, STRK1_38490.4, STRK1_38490.2	SCUR1_40430.1
OG0002572	STRK1_57140.1, STRK1_57140.2	SCUR1_59090.1, SCUR1_59090.2
OG0002573	STRK1_23190.1, STRK1_23220.1, STRK1_23060.1, STRK1_101850.1, STRK1_106100.1, STRK1_22900.1, STRK1_22900.2	SCUR1_24990.1
OG0002574	STRK1_72110.1	SCUR1_74630.1
OG0002576	STRK1_76280.1, STRK1_102620.1, STRK1_109740.1	SCUR1_78100.1
OG0002578	STRK1_50000.1	SCUR1_49330.1, SCUR1_49330.2, SCUR1_49330.3
OG0002579	STRK1_94440.1	SCUR1_92530.1, SCUR1_92510.1
OG0002580	STRK1_56970.1	SCUR1_59230.1
OG0002581	STRK1_61330.1	SCUR1_60420.1
OG0002582	STRK1_35950.1, STRK1_35950.2, STRK1_35950.3, STRK1_35950.4	SCUR1_35180.1, SCUR1_35180.3, SCUR1_35180.2
OG0002583	STRK1_84630.1	SCUR1_86540.5, SCUR1_86540.1, SCUR1_86540.7, SCUR1_86540.4, SCUR1_86540.3, SCUR1_86540.2, SCUR1_86540.6
OG0002584	STRK1_41380.1	SCUR1_39260.1
OG0002585	STRK1_19510.1	SCUR1_20230.1, SCUR1_20230.2, SCUR1_20230.3, SCUR1_20230.4, SCUR1_20220.2, SCUR1_20220.3, SCUR1_20220.1
OG0002586	STRK1_3760.1, STRK1_3760.2	SCUR1_19060.1, SCUR1_19060.2
OG0002587	STRK1_80610.1	SCUR1_82000.1
OG0002588	STRK1_60450.1	SCUR1_100710.3, SCUR1_61100.2, SCUR1_100710.2, SCUR1_100710.4, SCUR1_61100.3, SCUR1_100710.1, SCUR1_61100.1
OG0002589	STRK1_60270.1, STRK1_60270.2, STRK1_60270.3, STRK1_60270.4, STRK1_60270.5	SCUR1_60920.1
OG0002590	STRK1_72910.1, STRK1_72910.3, STRK1_72910.2	SCUR1_75820.1
OG0002591	STRK1_73200.1, STRK1_73200.2	SCUR1_77900.1
OG0002592	STRK1_97110.1, STRK1_97110.2, STRK1_106060.1, STRK1_106060.2	SCUR1_27520.4, SCUR1_27520.5, SCUR1_27520.6, SCUR1_27520.7, SCUR1_27520.1, SCUR1_27520.3, SCUR1_27520.2
OG0002593	STRK1_76570.1, STRK1_76570.2	SCUR1_79300.1, SCUR1_79330.1, SCUR1_79310.1, SCUR1_79320.1
OG0002595	STRK1_50840.1	SCUR1_48500.1, SCUR1_48500.2
OG0002596	STRK1_76040.1, STRK1_76040.2	SCUR1_75520.3, SCUR1_75520.1, SCUR1_75520.2, SCUR1_75520.4, SCUR1_75520.5, SCUR1_75520.6, SCUR1_75520.7
OG0002597	STRK1_8310.1	SCUR1_13060.1, SCUR1_13060.4, SCUR1_13060.2, SCUR1_13060.3
OG0002598	STRK1_27670.1	SCUR1_34460.3, SCUR1_34460.4, SCUR1_34460.5, SCUR1_34460.1, SCUR1_34460.2
OG0002599	STRK1_63010.3, STRK1_63010.2, STRK1_63010.1	SCUR1_66200.1, SCUR1_66200.2
OG0002600	STRK1_102580.1	SCUR1_47590.3, SCUR1_47590.1, SCUR1_47590.2
OG0002601	STRK1_5670.1	SCUR1_12090.1
OG0002602	STRK1_19910.1, STRK1_19910.2, STRK1_104850.1	SCUR1_21740.1
OG0002603	STRK1_64280.1, STRK1_64280.2	SCUR1_63050.1
OG0002604	STRK1_17740.1	SCUR1_2260.3, SCUR1_2260.1, SCUR1_2260.2
OG0002605	STRK1_49800.1	SCUR1_49480.1
OG0002606	STRK1_82400.1, STRK1_82410.1, STRK1_82410.2, STRK1_82410.3, STRK1_82410.4, STRK1_82410.5	SCUR1_84080.1, SCUR1_84080.2, SCUR1_84080.3, SCUR1_84080.4
