Orthogroup	s.mekongi	schistosoma_guineensis
OG0003227	KAK4471990.1	SGUI1_62020.1
OG0003228	KAK4468741.1	SGUI1_88030.1
OG0003229	KAK4470686.1	SGUI1_76650.1
OG0003230	KAK4469076.1	SGUI1_46930.1
OG0003231	KAK4474953.1	SGUI1_17420.1
OG0003232	KAK4474274.1	SGUI1_10060.1
OG0003233	KAK4475433.1	SGUI1_21640.1
OG0003234	KAK4471760.1	SGUI1_60940.1
OG0003235	KAK4468186.1	SGUI1_84760.1
OG0003236	KAK4471122.1	SGUI1_57720.1
OG0003237	KAK4473234.1	SGUI1_25010.1, SGUI1_25010.4, SGUI1_25010.5, SGUI1_25010.6, SGUI1_25010.2, SGUI1_25010.3
OG0003238	KAK4471261.1	SGUI1_65940.1, SGUI1_65940.2
OG0003239	KAK4467990.1	SGUI1_82540.1
OG0003240	KAK4476138.1	SGUI1_7560.1, SGUI1_7560.2
OG0003241	KAK4473883.1	SGUI1_37440.1
OG0003242	KAK4469521.1	SGUI1_53170.2, SGUI1_53170.3, SGUI1_53170.1, SGUI1_53170.4
OG0003244	KAK4469346.1	SGUI1_53600.3, SGUI1_53600.1, SGUI1_53600.2
OG0003245	KAK4469172.1	SGUI1_54190.1
OG0003247	KAK4474985.1	SGUI1_20190.1
OG0003248	KAK4468201.1	SGUI1_83720.1
OG0003249	KAK4471287.1	SGUI1_64420.2, SGUI1_64420.1
OG0003250	KAK4470916.1	SGUI1_70740.1
OG0003251	KAK4468853.1	SGUI1_86940.1
OG0003252	KAK4473464.1	SGUI1_42320.1
OG0003253	KAK4468807.1	SGUI1_87440.1, SGUI1_87440.4, SGUI1_87440.2, SGUI1_87440.3
OG0003254	KAK4471484.1	SGUI1_64720.2, SGUI1_64720.3, SGUI1_64720.1
OG0003255	KAK4467801.1	SGUI1_93920.1
OG0003255	KAK4467929.1	SGUI1_93020.1
OG0003256	KAK4468025.1	SGUI1_84280.1
OG0003257	KAK4474666.1	SGUI1_11860.1
OG0003258	KAK4473563.1	SGUI1_43380.1
OG0003259	KAK4473296.1	SGUI1_23240.1, SGUI1_23240.2, SGUI1_23240.3, SGUI1_23240.4
OG0003260	KAK4468167.1	SGUI1_84530.6, SGUI1_84530.5, SGUI1_84530.1, SGUI1_84530.2, SGUI1_84530.4, SGUI1_84530.3
OG0003261	KAK4474180.1	SGUI1_34440.1, SGUI1_34440.2, SGUI1_34440.4, SGUI1_34440.3
OG0003262	KAK4471184.1, KAK4471188.1	SGUI1_58370.1
OG0003263	KAK4475776.1, KAK4475784.1	SGUI1_4740.1, SGUI1_4740.2
OG0003264	KAK4475229.1	SGUI1_15140.1, SGUI1_15140.2, SGUI1_15140.3, SGUI1_15140.4
OG0003265	KAK4473435.1	SGUI1_41990.2, SGUI1_41990.1, SGUI1_41990.3
OG0003266	KAK4470094.1	SGUI1_71570.1
OG0003267	KAK4475018.1	SGUI1_20490.1, SGUI1_20490.2
OG0003268	KAK4473571.1	SGUI1_43470.1, SGUI1_43470.2, SGUI1_43470.3, SGUI1_43470.4
OG0003269	KAK4470709.1	SGUI1_76840.1
OG0003270	KAK4471698.1	SGUI1_63050.1, SGUI1_63050.2
OG0003271	KAK4474279.1	SGUI1_10590.1, SGUI1_10590.2, SGUI1_10590.3
OG0003272	KAK4474002.1	SGUI1_36380.1, SGUI1_36390.1
OG0003273	KAK4472295.1	SGUI1_33570.2, SGUI1_33570.3, SGUI1_33570.1
OG0003274	KAK4475136.1	SGUI1_18540.1
OG0003275	KAK4473165.1	SGUI1_24340.1, SGUI1_24340.2, SGUI1_24340.5
OG0003276	KAK4471817.1	SGUI1_62080.1
OG0003277	KAK4472323.1	SGUI1_33300.1, SGUI1_33300.2
OG0003278	KAK4469763.1	SGUI1_55910.5, SGUI1_55910.3, SGUI1_55910.1, SGUI1_55910.2, SGUI1_55910.4
OG0003279	KAK4475009.1	SGUI1_1800.1, SGUI1_1800.2
OG0003280	KAK4470799.1	SGUI1_78430.1
OG0003281	KAK4467686.1	SGUI1_94800.1
OG0003282	KAK4469505.1	SGUI1_53000.1
OG0003283	KAK4467757.1	SGUI1_95010.1
OG0003284	KAK4471882.1	SGUI1_60880.1, SGUI1_60880.2
OG0003285	KAK4473363.1	SGUI1_22600.1, SGUI1_22600.2
OG0003286	KAK4471627.1	SGUI1_67340.3, SGUI1_67340.2, SGUI1_67340.4, SGUI1_67340.1
OG0003287	KAK4476157.1	SGUI1_8730.2, SGUI1_8730.6, SGUI1_8730.1, SGUI1_8730.3, SGUI1_8730.4, SGUI1_8730.5
OG0003288	KAK4471508.1	SGUI1_68710.1
OG0003289	KAK4474715.1	SGUI1_12330.1
OG0003290	KAK4476282.1	SGUI1_9590.1
OG0003291	KAK4474901.1	SGUI1_16880.1
OG0003292	KAK4468075.1	SGUI1_85560.2, SGUI1_85560.7, SGUI1_85560.1, SGUI1_85560.3, SGUI1_85560.4, SGUI1_85560.5, SGUI1_85560.6
OG0003293	KAK4473039.1	SGUI1_26940.1, SGUI1_26940.2
OG0003294	KAK4472321.1	SGUI1_33330.1
OG0003295	KAK4472848.1	SGUI1_25670.1
OG0003296	KAK4469906.1	SGUI1_54480.2, SGUI1_54480.4, SGUI1_54480.3, SGUI1_54480.1
OG0003297	KAK4474930.1	SGUI1_17290.2, SGUI1_17290.1
OG0003298	KAK4469322.1	SGUI1_46170.1
OG0003299	KAK4470415.1	SGUI1_77570.1
OG0003300	KAK4474742.1	SGUI1_12800.1, SGUI1_42900.1
OG0003301	KAK4472558.1	SGUI1_44060.1, SGUI1_44060.2, SGUI1_44060.3
OG0003302	KAK4476124.1	SGUI1_7630.1
OG0003303	KAK4469920.1	SGUI1_54570.1, SGUI1_54570.2
OG0003304	KAK4476026.1	SGUI1_6740.1
OG0003305	KAK4470635.1	SGUI1_74260.1, SGUI1_74260.2
OG0003306	KAK4469971.1	SGUI1_56550.1
OG0003307	KAK4472899.1	SGUI1_25860.1
OG0003309	KAK4474415.1	SGUI1_910.1
OG0003310	KAK4469566.1	SGUI1_48290.1
OG0003311	KAK4468557.1	SGUI1_90210.1
OG0003314	KAK4473083.1	SGUI1_27120.1
OG0003319	KAK4473648.1	SGUI1_40340.1
OG0003320	KAK4469731.1, KAK4469730.1	SGUI1_56700.1
OG0003321	KAK4472455.1	SGUI1_29640.1
OG0003322	KAK4474853.1, KAK4474854.1	SGUI1_16420.4, SGUI1_16420.2, SGUI1_16420.1, SGUI1_16420.3
OG0003326	KAK4471641.1	SGUI1_67150.1, SGUI1_67150.2, SGUI1_67150.3
OG0003327	KAK4470434.1	SGUI1_77340.1, SGUI1_77340.2, SGUI1_77340.3, SGUI1_77340.4, SGUI1_77340.5
OG0003328	KAK4470480.1	SGUI1_74720.1, SGUI1_74720.2
OG0003329	KAK4467772.1	SGUI1_94900.1
OG0003330	KAK4469167.1, KAK4469165.1	SGUI1_51810.1, SGUI1_51810.2
OG0003331	KAK4474359.1	SGUI1_8990.1
OG0003332	KAK4472584.1, KAK4472187.1	SGUI1_31830.1
OG0003334	KAK4472912.1	SGUI1_28090.1
OG0003335	KAK4471465.1	SGUI1_64570.1
OG0003336	KAK4471802.1	SGUI1_62220.1
OG0003337	KAK4470702.1	SGUI1_76780.1
OG0003338	KAK4474851.1	SGUI1_16380.2, SGUI1_16380.1
OG0003339	KAK4475801.1	SGUI1_740.4, SGUI1_740.3, SGUI1_740.1, SGUI1_740.2
OG0003340	KAK4473706.1	SGUI1_39650.1
OG0003341	KAK4471574.1	SGUI1_67970.1
OG0003342	KAK4475262.1	SGUI1_13080.1
OG0003344	KAK4473338.1	SGUI1_22830.1
OG0003345	KAK4468751.1	SGUI1_88110.1
OG0003346	KAK4467748.1	SGUI1_94480.1
OG0003347	KAK4473853.1	SGUI1_44400.1
OG0003348	KAK4469355.1	SGUI1_53720.1, SGUI1_53720.2, SGUI1_53720.3, SGUI1_53720.4
OG0003349	KAK4472670.1	SGUI1_40150.1, SGUI1_40150.2, SGUI1_40150.3, SGUI1_40150.4
OG0003351	KAK4470585.1	SGUI1_73700.1
OG0003352	KAK4468001.1	SGUI1_82560.1
OG0003353	KAK4473091.1	SGUI1_27190.1
OG0003354	KAK4473041.1	SGUI1_27260.1, SGUI1_27260.2, SGUI1_27260.3, SGUI1_27260.4
OG0003355	KAK4471397.1	SGUI1_69330.1
OG0003356	KAK4474680.1	SGUI1_12230.1
OG0003357	KAK4473542.1	SGUI1_43150.1, SGUI1_43150.3, SGUI1_43150.2
OG0003360	KAK4472374.1	SGUI1_32860.1, SGUI1_32860.2, SGUI1_32860.3
OG0003361	KAK4475075.1	SGUI1_19100.3, SGUI1_19100.4, SGUI1_19100.5, SGUI1_19100.1, SGUI1_19100.2
OG0003362	KAK4470541.1, KAK4470542.1	SGUI1_75880.1, SGUI1_75880.2
OG0003363	KAK4472454.1	SGUI1_96800.1, SGUI1_96800.2, SGUI1_96800.3, SGUI1_96800.4
OG0003364	KAK4468078.1	SGUI1_85520.1
OG0003365	KAK4475132.1	SGUI1_18590.1
OG0003366	KAK4471992.1	SGUI1_62040.1, SGUI1_62040.2
OG0003367	KAK4469630.1	SGUI1_47640.1, SGUI1_47570.17
OG0003368	KAK4473902.1	SGUI1_37760.1
OG0003369	KAK4471215.1	SGUI1_65500.3, SGUI1_65500.1, SGUI1_65500.2
OG0003370	KAK4472867.1	SGUI1_25520.1
OG0003371	KAK4469637.1	SGUI1_47580.1
OG0003372	KAK4467714.1	SGUI1_94560.2, SGUI1_94560.3, SGUI1_94560.1
OG0003373	KAK4475230.1	SGUI1_15150.1, SGUI1_15150.3, SGUI1_15150.2
OG0003374	KAK4467641.1	SGUI1_95270.1, SGUI1_95270.2
OG0003375	KAK4470085.1	SGUI1_69960.1
OG0003376	KAK4469604.1	SGUI1_47900.1, SGUI1_47900.2, SGUI1_47900.3
OG0003377	KAK4468003.1	SGUI1_81650.1
OG0003378	KAK4468207.1, KAK4468208.1	SGUI1_83670.1
OG0003379	KAK4471270.1	SGUI1_66050.1
OG0003380	KAK4469642.1	SGUI1_51430.1
OG0003381	KAK4469845.1	SGUI1_55200.1
OG0003382	KAK4470289.1	SGUI1_70440.1
OG0003383	KAK4476102.1	SGUI1_5930.1
OG0003384	KAK4473567.1	SGUI1_43420.2, SGUI1_43420.1, SGUI1_43420.3
OG0003385	KAK4468440.1	SGUI1_91750.1
OG0003386	KAK4475415.1	SGUI1_21320.1, SGUI1_21320.2, SGUI1_21320.3
OG0003387	KAK4475308.1	SGUI1_14990.1, SGUI1_14990.2, SGUI1_14990.3
OG0003388	KAK4467617.1	SGUI1_94230.1
OG0003389	KAK4469143.1	SGUI1_46390.1
OG0003390	KAK4474177.1	SGUI1_34480.1
OG0003391	KAK4470923.1	SGUI1_79660.1, SGUI1_79660.2, SGUI1_79660.3
OG0003392	KAK4469762.1	SGUI1_55900.1
OG0003393	KAK4472526.1	SGUI1_32320.1
OG0003394	KAK4473474.1	SGUI1_42420.1, SGUI1_42420.3, SGUI1_42420.2
OG0003395	KAK4469025.1	SGUI1_56010.1
OG0003396	KAK4472772.1	SGUI1_43830.1
OG0003397	KAK4475464.1	SGUI1_21590.1
OG0003399	KAK4474118.1	SGUI1_35220.1, SGUI1_35220.3, SGUI1_35220.2
OG0003400	KAK4470317.1	SGUI1_73340.1, SGUI1_73340.2
OG0003401	KAK4472390.1	SGUI1_32680.1, SGUI1_32680.2
OG0003402	KAK4475331.1	SGUI1_20050.1
OG0003403	KAK4469413.1	SGUI1_50520.1, SGUI1_50520.2
OG0003404	KAK4470352.1	SGUI1_75440.1
OG0003405	KAK4469634.1	SGUI1_47600.2, SGUI1_47600.1
OG0003406	KAK4476035.1	SGUI1_96960.1, SGUI1_6800.1
OG0003407	KAK4468100.1	SGUI1_85310.1
OG0003408	KAK4473269.1	SGUI1_25350.1, SGUI1_25350.2
OG0003409	KAK4474296.1	SGUI1_17100.1, SGUI1_97060.1
OG0003410	KAK4471281.1	SGUI1_69690.1, SGUI1_69690.2
OG0003411	KAK4473740.1	SGUI1_39290.2, SGUI1_39290.1
OG0003412	KAK4475872.1	SGUI1_4820.1
OG0003415	KAK4470968.1	SGUI1_80110.1
OG0003416	KAK4471260.1	SGUI1_69490.1, SGUI1_69490.2
OG0003417	KAK4469966.1	SGUI1_56520.1
OG0003418	KAK4469091.1	SGUI1_47120.1
OG0003419	KAK4470630.1, KAK4470629.1	SGUI1_74220.1, SGUI1_74220.2, SGUI1_74220.3
OG0003420	KAK4473964.1	SGUI1_36810.3, SGUI1_36810.1, SGUI1_36810.2
OG0003421	KAK4473893.1	SGUI1_37670.2, SGUI1_37670.3, SGUI1_37670.1, SGUI1_37670.4
OG0003422	KAK4469073.1	SGUI1_46890.1
OG0003423	KAK4467576.1, KAK4467577.1, KAK4474677.1	SGUI1_12200.1, SGUI1_12200.2
OG0003424	KAK4468849.1	SGUI1_87010.1
OG0003425	KAK4468085.1, KAK4468086.1	SGUI1_85440.1
OG0003426	KAK4471450.1	SGUI1_64440.5, SGUI1_64440.3, SGUI1_64440.2, SGUI1_64440.1, SGUI1_64440.4
OG0003427	KAK4474015.1	SGUI1_44580.3, SGUI1_44580.1, SGUI1_44580.2
OG0003428	KAK4468238.1, KAK4468237.1	SGUI1_83330.1, SGUI1_83330.2
OG0003429	KAK4470791.1	SGUI1_78340.2, SGUI1_78340.1
OG0003430	KAK4470424.1	SGUI1_77470.1, SGUI1_77470.2, SGUI1_77470.3
OG0003431	KAK4475012.1	SGUI1_20430.1
OG0003432	KAK4470852.1	SGUI1_70930.1, SGUI1_70930.2
OG0003433	KAK4474351.1	SGUI1_4570.1
OG0003434	KAK4471998.1	SGUI1_60180.1, SGUI1_60170.1
OG0003435	KAK4473820.1	SGUI1_36840.1
OG0003436	KAK4469415.1	SGUI1_50540.1, SGUI1_50540.2
OG0003437	KAK4470283.1	SGUI1_73020.1
OG0003438	KAK4472694.1	SGUI1_30760.1
OG0003439	KAK4475442.1	SGUI1_21800.1, SGUI1_21800.3, SGUI1_21800.2
OG0003440	KAK4475396.1	SGUI1_19350.1
OG0003441	KAK4472935.1, KAK4467225.1	SGUI1_26670.1
OG0003442	KAK4470265.1	SGUI1_72850.1, SGUI1_72850.2
OG0003443	KAK4472080.1	SGUI1_59240.1, SGUI1_59230.1
OG0003445	KAK4474179.1	SGUI1_44820.1
OG0003446	KAK4467276.1	SGUI1_34870.1
OG0003447	KAK4475836.1	SGUI1_5100.1, SGUI1_5100.2
OG0003448	KAK4470129.1	SGUI1_70310.1, SGUI1_70310.2
OG0003449	KAK4470128.1	SGUI1_70320.1
OG0003450	KAK4471441.1	SGUI1_66310.1
OG0003451	KAK4468061.1	SGUI1_85730.1
OG0003452	KAK4475988.1	SGUI1_8000.1
OG0003453	KAK4467251.1, KAK4473565.1	SGUI1_43400.3, SGUI1_43400.1, SGUI1_43400.2
OG0003454	KAK4472250.1	SGUI1_34000.1
OG0003455	KAK4471806.1	SGUI1_62190.1
OG0003456	KAK4476121.1	SGUI1_7610.1, SGUI1_7610.3, SGUI1_7610.2, SGUI1_7610.4
OG0003457	KAK4473914.1	SGUI1_37890.1
OG0003458	KAK4473754.1	SGUI1_39030.1
OG0003459	KAK4470622.1	SGUI1_74140.1, SGUI1_74140.2
OG0003460	KAK4473874.1	SGUI1_44430.1
OG0003462	KAK4473716.1	SGUI1_39550.1, SGUI1_39550.2, SGUI1_39550.3, SGUI1_39550.4
OG0003463	KAK4468148.1	SGUI1_85380.1, SGUI1_85380.2
OG0003464	KAK4468339.1	SGUI1_81910.1, SGUI1_81910.2, SGUI1_81910.3
OG0003465	KAK4471665.1	SGUI1_63330.1
OG0003466	KAK4474381.1	SGUI1_9220.1
OG0003467	KAK4470416.1	SGUI1_77580.1
OG0003468	KAK4471499.1	SGUI1_68820.1
OG0003469	KAK4469435.1	SGUI1_50700.1
OG0003470	KAK4469702.1	SGUI1_52350.1
OG0003471	KAK4469558.1	SGUI1_45880.1, SGUI1_45880.2, SGUI1_45880.3
OG0003472	KAK4476240.1	SGUI1_8260.1
OG0003473	KAK4470786.1	SGUI1_78290.1, SGUI1_78290.2
OG0003474	KAK4469757.1	SGUI1_56960.1
OG0003475	KAK4473147.1	SGUI1_24180.1, SGUI1_24180.2
OG0003476	KAK4473510.1	SGUI1_42790.1, SGUI1_42790.2, SGUI1_86060.1, SGUI1_86040.1
OG0003477	KAK4468923.1	SGUI1_89680.3, SGUI1_89680.2, SGUI1_89680.1
OG0003478	KAK4476098.1	SGUI1_5990.1
OG0003479	KAK4473118.1	SGUI1_27710.1, SGUI1_27710.2
OG0003480	KAK4471563.1	SGUI1_68100.1, SGUI1_68100.2
OG0003481	KAK4471991.1	SGUI1_62030.1, SGUI1_62030.2, SGUI1_62030.3
OG0003482	KAK4468740.1	SGUI1_88020.1, SGUI1_88020.2
OG0003483	KAK4472499.1	SGUI1_30160.1, SGUI1_30160.2, SGUI1_30160.3
OG0003484	KAK4475714.1	SGUI1_4210.1
OG0003485	KAK4468096.1	SGUI1_83920.1
OG0003486	KAK4473201.1	SGUI1_41350.1
OG0003487	KAK4469159.1	SGUI1_51760.1
OG0003488	KAK4474526.1	SGUI1_10660.3, SGUI1_10660.1, SGUI1_10660.2
OG0003489	KAK4470449.1	SGUI1_77180.2, SGUI1_77180.3, SGUI1_77180.1
OG0003490	KAK4476248.1	SGUI1_8170.1
OG0003491	KAK4472273.1	SGUI1_33840.1, SGUI1_33840.2
OG0003492	KAK4471927.1	SGUI1_61420.1
OG0003493	KAK4468477.1	SGUI1_92100.1, SGUI1_92100.2
OG0003494	KAK4467906.1	SGUI1_97210.1
OG0003495	KAK4467559.1, KAK4475695.1	SGUI1_4080.1
OG0003496	KAK4472498.1	SGUI1_30110.1
OG0003497	KAK4469814.1	SGUI1_55620.1
OG0003498	KAK4470172.1	SGUI1_70550.1
OG0003499	KAK4471773.1, KAK4471774.1	SGUI1_62540.1
OG0003500	KAK4471419.1	SGUI1_63760.1, SGUI1_63760.2
OG0003501	KAK4470745.1	SGUI1_77870.2, SGUI1_77870.3, SGUI1_77870.1
OG0003503	KAK4475886.1	SGUI1_5420.1
OG0003504	KAK4473775.1	SGUI1_38820.1
OG0003505	KAK4469653.1	SGUI1_51300.1, SGUI1_51300.2
OG0003506	KAK4476177.1	SGUI1_1080.1
OG0003507	KAK4475696.1	SGUI1_4090.1, SGUI1_4090.2
OG0003508	KAK4471156.1	SGUI1_65200.1
OG0003509	KAK4472664.1	SGUI1_43960.1
OG0003510	KAK4476199.1	SGUI1_1060.1
OG0003511	KAK4472079.1	SGUI1_65110.1
OG0003512	KAK4468250.1	SGUI1_83230.2, SGUI1_83230.1
OG0003513	KAK4470523.1	SGUI1_76170.1
OG0003514	KAK4472796.1	SGUI1_28600.1
OG0003515	KAK4467615.1	SGUI1_94280.1, SGUI1_94280.2, SGUI1_94280.3
OG0003516	KAK4469464.1	SGUI1_51050.1
OG0003517	KAK4467787.1	SGUI1_95810.1, SGUI1_95810.2
OG0003518	KAK4468848.1	SGUI1_87020.1, SGUI1_87020.2, SGUI1_87020.3
OG0003519	KAK4473885.1	SGUI1_37590.1
OG0003520	KAK4471147.1	SGUI1_58240.1
OG0003521	KAK4474494.1	SGUI1_10880.1
OG0003522	KAK4471013.1, KAK4471014.1	SGUI1_80650.1, SGUI1_80650.2, SGUI1_80650.3, SGUI1_80650.4
OG0003523	KAK4469869.1	SGUI1_54930.1
OG0003524	KAK4471778.1	SGUI1_62470.1
OG0003525	KAK4475611.1	SGUI1_3330.1
OG0003526	KAK4472469.1	SGUI1_29820.1
OG0003527	KAK4470971.1	SGUI1_80120.1
OG0003528	KAK4475853.1	SGUI1_660.1, SGUI1_660.2
OG0003529	KAK4473452.1	SGUI1_42190.4, SGUI1_42190.1, SGUI1_42190.3, SGUI1_42190.2
OG0003530	KAK4471355.1	SGUI1_66690.1, SGUI1_66690.2, SGUI1_66690.3
OG0003531	KAK4476277.1	SGUI1_9840.4, SGUI1_9840.1, SGUI1_9840.2, SGUI1_9840.3
OG0003532	KAK4476131.1	SGUI1_7660.1, SGUI1_7660.2
OG0003533	KAK4469562.1	SGUI1_48340.1
OG0003534	KAK4468777.1	SGUI1_87780.1
OG0003535	KAK4467826.1	SGUI1_96560.1
OG0003536	KAK4471933.1	SGUI1_61470.1
OG0003537	KAK4472049.1	SGUI1_59710.1
OG0003539	KAK4470019.1	SGUI1_77490.5, SGUI1_77490.2, SGUI1_77490.3, SGUI1_77490.6, SGUI1_77490.1, SGUI1_77490.4
OG0003540	KAK4475716.1, KAK4467466.1	SGUI1_13880.1, SGUI1_4230.1
OG0003541	KAK4468883.1	SGUI1_86510.1, SGUI1_86500.1
OG0003542	KAK4471461.1, KAK4471462.1	SGUI1_64530.1, SGUI1_64530.2, SGUI1_64530.3, SGUI1_64530.4
OG0003543	KAK4469226.1	SGUI1_49650.7, SGUI1_49650.8, SGUI1_49650.4, SGUI1_49650.3, SGUI1_49650.5, SGUI1_49650.6, SGUI1_49650.1, SGUI1_49650.2
OG0003544	KAK4469321.1	SGUI1_48600.1, SGUI1_48600.2
OG0003545	KAK4475073.1	SGUI1_19130.1, SGUI1_19130.2
OG0003547	KAK4475960.1	SGUI1_7120.1
OG0003548	KAK4475515.1	SGUI1_22170.1
OG0003549	KAK4468710.1	SGUI1_88450.1, SGUI1_88450.2
OG0003550	KAK4473867.1	SGUI1_37390.1, SGUI1_37390.2
OG0003551	KAK4471826.1	SGUI1_64810.3, SGUI1_64810.1, SGUI1_64810.2
OG0003552	KAK4471182.1	SGUI1_58330.1, SGUI1_58330.2
OG0003553	KAK4474372.1	SGUI1_9120.1, SGUI1_9130.1
OG0003554	KAK4471207.1	SGUI1_69550.2, SGUI1_69550.3, SGUI1_69550.4, SGUI1_69550.5, SGUI1_69550.6, SGUI1_69550.1
OG0003555	KAK4470723.1	SGUI1_76970.1
OG0003556	KAK4471925.1	SGUI1_61400.1
OG0003557	KAK4469940.1	SGUI1_46590.1, SGUI1_46590.2, SGUI1_46590.3, SGUI1_46590.4
OG0003558	KAK4471110.1	SGUI1_58680.2, SGUI1_58680.1
OG0003559	KAK4468363.1	SGUI1_81390.1, SGUI1_81390.2, SGUI1_81390.3, SGUI1_81390.4
OG0003562	KAK4471459.1, KAK4471458.1	SGUI1_64500.1, SGUI1_64490.1
OG0003563	KAK4472107.1	SGUI1_59000.1, SGUI1_86190.1, SGUI1_86200.1, SGUI1_86330.1
OG0003564	KAK4472635.1	SGUI1_31320.1
OG0003565	KAK4472779.1, KAK4472931.1	SGUI1_26750.1, SGUI1_26750.2
OG0003566	KAK4474213.1	SGUI1_4900.1, SGUI1_4900.4, SGUI1_4900.2, SGUI1_4900.3
OG0003567	KAK4474450.1	SGUI1_11210.1
OG0003568	KAK4475556.1	SGUI1_2690.1
OG0003569	KAK4475925.1	SGUI1_6110.1
OG0003577	KAK4473917.1, KAK4475250.1	SGUI1_44480.1
OG0003580	KAK4474767.1	SGUI1_15510.2, SGUI1_15510.3, SGUI1_15510.1
OG0003581	KAK4473096.1	SGUI1_41230.1
OG0003583	KAK4475571.1	SGUI1_2830.1
OG0003584	KAK4471994.1	SGUI1_62060.1, SGUI1_62060.2
OG0003585	KAK4468018.1	SGUI1_84420.1
OG0003586	KAK4473691.1	SGUI1_45010.1, SGUI1_45010.2
OG0003587	KAK4474390.1	SGUI1_10120.1
OG0003588	KAK4474798.1	SGUI1_15800.1
OG0003589	KAK4470101.1	SGUI1_71510.1
OG0003590	KAK4476105.1	SGUI1_5970.1
OG0003591	KAK4472040.1	SGUI1_59610.1
OG0003592	KAK4470602.1	SGUI1_73850.3, SGUI1_73860.1
OG0003593	KAK4472337.1	SGUI1_33170.1
OG0003594	KAK4475234.1	SGUI1_15190.1
OG0003595	KAK4468152.1	SGUI1_85810.1
OG0003596	KAK4469676.1	SGUI1_52960.6, SGUI1_52960.2, SGUI1_52960.4, SGUI1_52960.1, SGUI1_52960.5, SGUI1_52960.3
OG0003597	KAK4470556.1	SGUI1_73410.3, SGUI1_73410.1, SGUI1_73410.2, SGUI1_73410.4
OG0003598	KAK4474030.1	SGUI1_36150.1
OG0003599	KAK4474727.1	SGUI1_12420.1
OG0003600	KAK4475863.1, KAK4475865.1, KAK4475864.1	SGUI1_4890.1
OG0003601	KAK4473045.1	SGUI1_27290.1
OG0003602	KAK4472101.1	SGUI1_65130.1, SGUI1_65130.2, SGUI1_65130.4, SGUI1_65130.3
OG0003603	KAK4470116.1	SGUI1_71430.1
OG0003604	KAK4476286.1	SGUI1_990.1
OG0003605	KAK4474826.1	SGUI1_16090.1, SGUI1_16090.2
OG0003606	KAK4472540.1	SGUI1_34050.1
OG0003607	KAK4475286.1	SGUI1_14780.1
OG0003608	KAK4474036.1	SGUI1_36090.1, SGUI1_36090.2
OG0003609	KAK4473159.1	SGUI1_24260.2, SGUI1_24260.1
OG0003610	KAK4468676.1	SGUI1_88830.1
OG0003611	KAK4469941.1	SGUI1_54330.1
OG0003612	KAK4472051.1	SGUI1_59730.1
OG0003613	KAK4471517.1	SGUI1_68620.1
OG0003614	KAK4472034.1	SGUI1_59540.1
OG0003615	KAK4473788.1	SGUI1_38780.1, SGUI1_38780.2
OG0003616	KAK4474935.1	SGUI1_17240.3, SGUI1_17240.2, SGUI1_17240.1
OG0003617	KAK4471768.1	SGUI1_61000.1
OG0003618	KAK4473051.1	SGUI1_24090.1, SGUI1_24090.2, SGUI1_24090.3, SGUI1_24090.4, SGUI1_24090.5
OG0003620	KAK4469288.1	SGUI1_49000.1
OG0003622	KAK4470787.1	SGUI1_70890.1
OG0003623	KAK4469370.1	SGUI1_50010.1, SGUI1_50020.1
OG0003624	KAK4474427.1	SGUI1_10990.1
OG0003625	KAK4468892.1	SGUI1_86440.1
OG0003626	KAK4468054.1	SGUI1_85870.1
OG0003627	KAK4468066.1	SGUI1_85650.1, SGUI1_85650.2
OG0003628	KAK4472310.1	SGUI1_33420.2, SGUI1_33420.3, SGUI1_33420.1, SGUI1_33420.4, SGUI1_33420.7, SGUI1_33420.5, SGUI1_33420.6
OG0003630	KAK4474073.1	SGUI1_35690.1, SGUI1_35690.2
OG0003631	KAK4470868.1	SGUI1_79090.1
OG0003632	KAK4471856.1	SGUI1_64850.1, SGUI1_64850.2
OG0003633	KAK4469548.1	SGUI1_53410.1
OG0003634	KAK4470797.1	SGUI1_78420.1
OG0003635	KAK4470719.1	SGUI1_76910.1
OG0003636	KAK4470625.1	SGUI1_74170.1, SGUI1_74170.2, SGUI1_74170.3
OG0003637	KAK4471579.1	SGUI1_67870.1
OG0003638	KAK4469171.1	SGUI1_54200.1
OG0003639	KAK4469170.1	SGUI1_54230.1, SGUI1_54220.1
OG0003640	KAK4467375.1, KAK4475763.1	SGUI1_4540.1
OG0003641	KAK4470529.1	SGUI1_76120.1
OG0003642	KAK4469740.1	SGUI1_56780.1
OG0003643	KAK4470256.1	SGUI1_72700.1
OG0003644	KAK4475284.1	SGUI1_14760.1
OG0003645	KAK4469087.1	SGUI1_47040.1
OG0003646	KAK4469350.1	SGUI1_53670.1
OG0003647	KAK4475316.1	SGUI1_15070.1
OG0003648	KAK4474379.1	SGUI1_9270.4, SGUI1_9270.2, SGUI1_9270.1, SGUI1_9270.5, SGUI1_9270.3
OG0003649	KAK4472160.1	SGUI1_38390.1
OG0003650	KAK4475226.1	SGUI1_15120.1, SGUI1_15120.2
OG0003651	KAK4469433.1	SGUI1_50680.1
OG0003652	KAK4469903.1	SGUI1_54360.1, SGUI1_54340.1
OG0003653	KAK4473694.1	SGUI1_39730.1
OG0003654	KAK4471652.1	SGUI1_66960.1
OG0003655	KAK4472474.1	SGUI1_29860.2, SGUI1_29860.1
OG0003656	KAK4470577.1	SGUI1_71080.1
