Orthogroup	s.mekongi	schmidtea_mediterranea
OG0002568	KAK4471310.1	h1SMcT0012509.10, h1SMcT0012509.3, h1SMcT0012509.4, h1SMcT0012509.7, h1SMcT0012509.5, h1SMcT0012509.6, h1SMcT0012509.9
OG0002569	KAK4471279.1	h1SMcT0012827.1, h1SMcT0012827.2
OG0002570	KAK4472620.1	h1SMcT0013991.1, h1SMcT0014653.1
OG0002571	KAK4473656.1	h1SMcT0004290.1, h1SMcT0004290.2, h1SMcT0021935.1
OG0002572	KAK4472039.1	h1SMcT0014417.1
OG0002573	KAK4474889.1	h1SMcT0006230.1, h1SMcT0008035.1
OG0002575	KAK4473068.1	h1SMcT0002913.1, h1SMcT0010223.1, h1SMcT0014814.1, h1SMcT0018895.1, h1SMcT0018895.2
OG0002576	KAK4470870.1	h1SMcT0003439.1, h1SMcT0003439.2, h1SMcT0003439.3
OG0002578	KAK4469253.1	h1SMcT0021496.1, h1SMcT0021496.2, h1SMcT0021496.3
OG0002579	KAK4467904.1	h1SMcT0010133.1
OG0002580	KAK4472055.1	h1SMcT0019844.1
OG0002581	KAK4471767.1	h1SMcT0022257.3, h1SMcT0022257.1, h1SMcT0022257.2, h1SMcT0007918.4, h1SMcT0007918.3, h1SMcT0007918.5, h1SMcT0007918.1, h1SMcT0007918.2
OG0002582	KAK4474148.1	h1SMcT0011505.1, h1SMcT0011505.2
OG0002583	KAK4468752.1	h1SMcT0020908.1, h1SMcT0020908.2, h1SMcT0020908.3
OG0002584	KAK4473762.1	h1SMcT0000515.1, h1SMcT0000515.2, h1SMcT0000515.3
OG0002586	KAK4475123.1	h1SMcT0004116.1
OG0002587	KAK4468233.1	h1SMcT0010795.1, h1SMcT0010795.2
OG0002588	KAK4471951.1	h1SMcT0018144.1, h1SMcT0018144.2, h1SMcT0018144.5
OG0002589	KAK4471928.1	h1SMcT0004347.1
OG0002590	KAK4470710.1	h1SMcT0006472.1
OG0002591	KAK4470847.1	h1SMcT0011750.1, h1SMcT0011750.2, h1SMcT0011750.3, h1SMcT0004986.1, h1SMcT0004986.2
OG0002592	KAK4473094.1	h1SMcT0020368.1
OG0002593	KAK4470993.1	h1SMcT0010211.1, h1SMcT0010211.2
OG0002594	KAK4470992.1	h1SMcT0014132.1
OG0002595	KAK4469555.1	h1SMcT0004812.1
OG0002596	KAK4470677.1	h1SMcT0010450.1, h1SMcT0010450.2
OG0002597	KAK4474701.1	h1SMcT0004058.3, h1SMcT0004058.5, h1SMcT0004058.4, h1SMcT0004058.2, h1SMcT0004058.1
OG0002598	KAK4472544.1	h1SMcT0008181.1
OG0002599	KAK4471646.1, KAK4471071.1	h1SMcT0002663.2, h1SMcT0002663.1, h1SMcT0015973.1, h1SMcT0015973.2
OG0002600	KAK4469126.1	h1SMcT0008122.1
OG0002602	KAK4475406.1	h1SMcT0017114.1, h1SMcT0017114.2, h1SMcT0017115.1, h1SMcT0017115.2
OG0002603	KAK4471396.1	h1SMcT0016607.1, h1SMcT0016607.2, h1SMcT0016607.3
OG0002604	KAK4475522.1	h1SMcT0001279.4, h1SMcT0001279.2, h1SMcT0001279.1, h1SMcT0001279.3
OG0002605	KAK4469244.1	h1SMcT0000766.3, h1SMcT0000766.1, h1SMcT0000766.2
OG0002606	KAK4468082.1	h1SMcT0017551.1
OG0002607	KAK4472334.1	h1SMcT0004356.1, h1SMcT0016360.1
OG0002609	KAK4475663.1, KAK4475665.1	h1SMcT0000491.1, h1SMcT0021455.1
OG0002610	KAK4473486.1	h1SMcT0002019.1
OG0002613	KAK4473505.1, KAK4470130.1	h1SMcT0013712.1, h1SMcT0013713.1
OG0002614	KAK4475608.1	h1SMcT0020539.1, h1SMcT0013264.1, h1SMcT0012651.1, h1SMcT0012648.1, h1SMcT0023037.1, h1SMcT0019624.1, h1SMcT0019624.2
OG0002615	KAK4468140.1	h1SMcT0022056.1
OG0002616	KAK4473848.1	h1SMcT0004893.1
OG0002617	KAK4473594.1	h1SMcT0016816.1
OG0002619	KAK4471838.1	h1SMcT0006042.1
OG0002620	KAK4472489.1	h1SMcT0003803.1, h1SMcT0003803.2
OG0002621	KAK4475984.1	h1SMcT0016234.3, h1SMcT0016234.4, h1SMcT0016234.2, h1SMcT0016234.1
OG0002622	KAK4469743.1	h1SMcT0000023.2, h1SMcT0000023.1, h1SMcT0000023.3
OG0002623	KAK4474559.1	h1SMcT0007802.1, h1SMcT0018722.1
OG0002624	KAK4474836.1	h1SMcT0009000.1, h1SMcT0009000.2, h1SMcT0013344.1, h1SMcT0013344.2, h1SMcT0013344.3
OG0002626	KAK4467566.1	h1SMcT0005057.1, h1SMcT0006803.2, h1SMcT0006803.1, h1SMcT0007268.1
OG0002627	KAK4474676.1	h1SMcT0011652.1, h1SMcT0011652.2
OG0002628	KAK4473414.1, KAK4473411.1	h1SMcT0021179.1, h1SMcT0021179.2, h1SMcT0021178.1, h1SMcT0021178.2, h1SMcT0021178.3, h1SMcT0021178.4
OG0002629	KAK4468445.1	h1SMcT0004856.3
OG0002630	KAK4476252.1	h1SMcT0019755.1
OG0002632	KAK4468113.1	h1SMcT0004705.1
OG0002635	KAK4473343.1	h1SMcT0005019.3, h1SMcT0005019.1, h1SMcT0005019.2, h1SMcT0005019.7, h1SMcT0005019.4, h1SMcT0005019.6, h1SMcT0005019.5, h1SMcT0005019.8
OG0002636	KAK4471015.1	h1SMcT0022205.1, h1SMcT0022205.2
OG0002638	KAK4469897.1	h1SMcT0018293.2, h1SMcT0018293.3, h1SMcT0018293.1, h1SMcT0018293.4, h1SMcT0018293.5, h1SMcT0018293.6
OG0002639	KAK4471615.1	h1SMcT0013571.1
OG0002640	KAK4476273.1	h1SMcT0004237.1, h1SMcT0004237.2
OG0002642	KAK4474619.1	h1SMcT0011811.1, h1SMcT0011811.2, h1SMcT0001191.3, h1SMcT0001191.2, h1SMcT0001191.1, h1SMcT0001191.4
OG0002643	KAK4467574.1, KAK4467575.1, KAK4475706.1	h1SMcT0012850.1, h1SMcT0012850.2
OG0002644	KAK4471790.1	h1SMcT0018551.1, h1SMcT0018551.2
OG0002645	KAK4474376.1	h1SMcT0009982.1, h1SMcT0009982.2
OG0002646	KAK4472920.1	h1SMcT0007453.3, h1SMcT0007453.1, h1SMcT0007453.2
OG0002648	KAK4476061.1	h1SMcT0006943.1
OG0002649	KAK4473646.1	h1SMcT0004889.2, h1SMcT0004889.3, h1SMcT0004889.1, h1SMcT0004889.4
OG0002650	KAK4475983.1	h1SMcT0011970.1, h1SMcT0011970.2, h1SMcT0011970.4, h1SMcT0011970.3, h1SMcT0009318.2, h1SMcT0009318.3, h1SMcT0009318.4
OG0002651	KAK4476278.1	h1SMcT0021526.1
OG0002652	KAK4473894.1, KAK4467542.1	h1SMcT0002647.2, h1SMcT0015990.1
OG0002653	KAK4468927.1	h1SMcT0022125.1
OG0002654	KAK4468318.1	h1SMcT0007436.1
OG0002655	KAK4469771.1	h1SMcT0022119.1
OG0002656	KAK4475330.1	h1SMcT0013642.1
OG0002657	KAK4474784.1	h1SMcT0009274.1, h1SMcT0009274.2
OG0002658	KAK4472414.1	h1SMcT0022164.1, h1SMcT0022164.2
OG0002660	KAK4475534.1	h1SMcT0002936.1, h1SMcT0009331.5
OG0002661	KAK4471307.1	h1SMcT0015257.1
OG0002662	KAK4468048.1	h1SMcT0018230.1, h1SMcT0018230.2
OG0002663	KAK4468176.1	h1SMcT0000647.1
OG0002664	KAK4467844.1	h1SMcT0012383.1, h1SMcT0012383.2
OG0002665	KAK4469407.1	h1SMcT0005136.1
OG0002667	KAK4473048.1	h1SMcT0015595.1, h1SMcT0015595.2, h1SMcT0015595.3
OG0002668	KAK4471186.1	h1SMcT0017181.1, h1SMcT0019582.1, h1SMcT0013940.1, h1SMcT0019422.1
OG0002669	KAK4468604.1	h1SMcT0022286.1, h1SMcT0012082.1, h1SMcT0012082.2
OG0002670	KAK4472817.1	h1SMcT0016669.1, h1SMcT0016669.2, h1SMcT0016669.3
OG0002671	KAK4467886.1	h1SMcT0022139.1
OG0002672	KAK4470631.1	h1SMcT0017205.1
OG0002673	KAK4470642.1	h1SMcT0006278.1, h1SMcT0006279.1
OG0002675	KAK4474368.1	h1SMcT0020577.1, h1SMcT0020577.2
OG0002677	KAK4471715.1	h1SMcT0012775.1
OG0002678	KAK4475957.1	h1SMcT0023121.1, h1SMcT0023114.3, h1SMcT0023114.1, h1SMcT0023114.2
OG0002679	KAK4470081.1	h1SMcT0007046.1
OG0002680	KAK4471593.1	h1SMcT0019160.3
OG0002681	KAK4473081.1	h1SMcT0000524.1, h1SMcT0000524.2
OG0002682	KAK4475394.1	h1SMcT0003192.1, h1SMcT0003191.1, h1SMcT0001398.1, h1SMcT0001885.1, h1SMcT0021316.1
OG0002683	KAK4467688.1	h1SMcT0006071.1
OG0002685	KAK4474773.1, KAK4474772.1	h1SMcT0000568.1
OG0002687	KAK4472774.1	h1SMcT0014747.2, h1SMcT0014747.3, h1SMcT0014747.1, h1SMcT0014747.4
OG0002688	KAK4472913.1	h1SMcT0018029.4, h1SMcT0018029.5, h1SMcT0018029.7, h1SMcT0018029.6, h1SMcT0018029.1, h1SMcT0018029.2, h1SMcT0018029.3
OG0002689	KAK4472868.1	h1SMcT0020029.1, h1SMcT0011360.1, h1SMcT0011373.1, h1SMcT0011373.2
OG0002690	KAK4473607.1	h1SMcT0010698.1, h1SMcT0018654.1, h1SMcT0006959.3, h1SMcT0006959.1, h1SMcT0006959.2
OG0002691	KAK4468051.1	h1SMcT0022592.1
OG0002692	KAK4474728.1	h1SMcT0020628.1, h1SMcT0020628.2
OG0002693	KAK4469575.1, KAK4469576.1	h1SMcT0013748.1
OG0002695	KAK4475579.1	h1SMcT0008125.2, h1SMcT0008125.4, h1SMcT0008125.3, h1SMcT0008125.1
OG0002697	KAK4475946.1	h1SMcT0016469.1, h1SMcT0016469.2
OG0002698	KAK4475527.1	h1SMcT0018533.1, h1SMcT0018533.2, h1SMcT0018533.3
OG0002700	KAK4467881.1	h1SMcT0012327.1, h1SMcT0012327.2
OG0002708	KAK4472655.1	h1SMcT0010585.2
OG0002709	KAK4476139.1	h1SMcT0014206.1, h1SMcT0014207.1
OG0002711	KAK4468624.1	h1SMcT0022126.1
OG0002712	KAK4474770.1, KAK4474771.1	h1SMcT0001865.1, h1SMcT0016475.3, h1SMcT0016474.4, h1SMcT0016475.2
OG0002713	KAK4469619.1	h1SMcT0012298.4, h1SMcT0012298.3, h1SMcT0012298.1, h1SMcT0012298.2
OG0002715	KAK4471754.1	h1SMcT0018555.1
OG0002717	KAK4468554.1	h1SMcT0001489.1, h1SMcT0001487.1, h1SMcT0001487.3, h1SMcT0001487.2
OG0002718	KAK4471654.1	h1SMcT0016815.3, h1SMcT0016815.5, h1SMcT0016815.4, h1SMcT0016815.1, h1SMcT0016815.2
OG0002720	KAK4475867.1	h1SMcT0002372.1
OG0002721	KAK4467655.1	h1SMcT0022586.1, h1SMcT0022586.2
OG0002723	KAK4468312.1	h1SMcT0018284.1, h1SMcT0001098.1, h1SMcT0020557.1, h1SMcT0020557.2
OG0002724	KAK4468303.1	h1SMcT0014129.1
OG0002725	KAK4475720.1, KAK4475723.1	h1SMcT0006290.1, h1SMcT0006290.2
OG0002726	KAK4472701.1	h1SMcT0013409.1
OG0002727	KAK4470614.1	h1SMcT0017844.2, h1SMcT0017844.3, h1SMcT0017844.5, h1SMcT0017844.7, h1SMcT0017844.1, h1SMcT0017844.6, h1SMcT0017844.4
OG0002730	KAK4468174.1	h1SMcT0018069.1, h1SMcT0018069.2, h1SMcT0018069.3
OG0002731	KAK4469270.1	h1SMcT0021544.1, h1SMcT0022908.1
OG0002732	KAK4471597.1	h1SMcT0012543.1, h1SMcT0012543.4, h1SMcT0012543.2, h1SMcT0012543.3, h1SMcT0012543.5
OG0002734	KAK4473463.1	h1SMcT0000891.1, h1SMcT0008266.2, h1SMcT0008266.4, h1SMcT0008266.3, h1SMcT0008266.1
OG0002735	KAK4472689.1	h1SMcT0010016.1, h1SMcT0010016.2, h1SMcT0010016.3
OG0002736	KAK4473052.1	h1SMcT0013012.1
OG0002738	KAK4472078.1, KAK4472891.1	h1SMcT0016321.1, h1SMcT0016321.2, h1SMcT0016120.1, h1SMcT0016288.1, h1SMcT0016287.1, h1SMcT0016295.1, h1SMcT0001969.1, h1SMcT0011328.1
OG0002739	KAK4474669.1	h1SMcT0019941.1
OG0002740	KAK4473717.1	h1SMcT0018883.1
OG0002741	KAK4474921.1	h1SMcT0021447.1, h1SMcT0021447.2, h1SMcT0004667.2, h1SMcT0004667.1, h1SMcT0004667.3
OG0002742	KAK4470147.1	h1SMcT0014277.1
OG0002743	KAK4473428.1	h1SMcT0007441.1, h1SMcT0021805.1, h1SMcT0021805.2, h1SMcT0021805.3, h1SMcT0008290.1, h1SMcT0006348.1, h1SMcT0005956.1, h1SMcT0005956.2
OG0002744	KAK4471140.1	h1SMcT0014974.1, h1SMcT0014974.3, h1SMcT0014974.4, h1SMcT0014974.6, h1SMcT0014974.2, h1SMcT0014974.5
OG0002745	KAK4468844.1	h1SMcT0021005.1, h1SMcT0021005.2
OG0002747	KAK4473006.1	h1SMcT0022327.1
OG0002748	KAK4474127.1	h1SMcT0016516.2, h1SMcT0016516.6, h1SMcT0016516.4, h1SMcT0016516.1, h1SMcT0016516.5, h1SMcT0016516.3, h1SMcT0003223.1, h1SMcT0003223.2
OG0002749	KAK4469628.1	h1SMcT0018110.1, h1SMcT0018110.4, h1SMcT0018110.2, h1SMcT0018110.3
OG0002750	KAK4469085.1	h1SMcT0022983.2, h1SMcT0022983.3, h1SMcT0022983.5, h1SMcT0001790.1, h1SMcT0001790.3, h1SMcT0022983.4, h1SMcT0001790.4, h1SMcT0001790.2, h1SMcT0022983.6, h1SMcT0022983.1
OG0002752	KAK4470141.1	h1SMcT0015526.2, h1SMcT0015526.1, h1SMcT0015526.3
OG0002753	KAK4468156.1	h1SMcT0003328.1, h1SMcT0003328.2, h1SMcT0003328.3
OG0002754	KAK4475253.1	h1SMcT0000748.1, h1SMcT0023038.1
OG0002755	KAK4475664.1, KAK4475666.1	h1SMcT0006094.1, h1SMcT0006100.1
OG0002756	KAK4471179.1	h1SMcT0003135.1, h1SMcT0003135.2, h1SMcT0023066.1, h1SMcT0000588.6, h1SMcT0000588.2, h1SMcT0000588.4, h1SMcT0000588.5
OG0002758	KAK4475841.1	h1SMcT0008309.1
OG0002759	KAK4472998.1	h1SMcT0019699.1, h1SMcT0019699.2
OG0002761	KAK4476099.1	h1SMcT0005922.1
OG0002762	KAK4467811.1, KAK4467813.1	h1SMcT0017886.1
OG0002763	KAK4470861.1	h1SMcT0014019.1, h1SMcT0014019.2, h1SMcT0014019.3
OG0002765	KAK4471457.1	h1SMcT0007684.1, h1SMcT0007684.2
OG0002766	KAK4470313.1	h1SMcT0020057.1
OG0002767	KAK4469243.1	h1SMcT0003718.1, h1SMcT0003718.7, h1SMcT0003718.4, h1SMcT0003718.3, h1SMcT0003718.6, h1SMcT0003718.2, h1SMcT0003718.5
OG0002768	KAK4475376.1	h1SMcT0009763.1, h1SMcT0009763.2, h1SMcT0009763.3
OG0002770	KAK4475325.1	h1SMcT0014243.1, h1SMcT0014243.2
OG0002773	KAK4474786.1	h1SMcT0012073.1, h1SMcT0012073.2, h1SMcT0016018.1, h1SMcT0016018.4, h1SMcT0016018.2, h1SMcT0016018.3
OG0002774	KAK4475555.1	h1SMcT0018682.1
OG0002775	KAK4472265.1, KAK4472266.1	h1SMcT0010432.1, h1SMcT0010432.2
OG0002777	KAK4470678.1	h1SMcT0014472.2, h1SMcT0014472.1, h1SMcT0014472.4, h1SMcT0014472.3
OG0002778	KAK4467794.1	h1SMcT0007488.1
OG0002779	KAK4472348.1	h1SMcT0022636.1, h1SMcT0022636.2
OG0002780	KAK4469094.1	h1SMcT0000474.2, h1SMcT0000474.4, h1SMcT0001764.1, h1SMcT0004130.1, h1SMcT0010964.1
OG0002782	KAK4470897.1	h1SMcT0022604.1
OG0002783	KAK4469893.1	h1SMcT0008003.1
OG0002784	KAK4472892.1	h1SMcT0008178.1, h1SMcT0008178.2
OG0002786	KAK4474724.1	h1SMcT0010646.1, h1SMcT0010646.2
OG0002788	KAK4475935.1	h1SMcT0014807.3, h1SMcT0014807.1, h1SMcT0014807.2
OG0002789	KAK4475144.1	h1SMcT0013724.1
OG0002790	KAK4470712.1, KAK4470711.1	h1SMcT0010488.1, h1SMcT0010488.2
OG0002792	KAK4469027.1	h1SMcT0001032.3, h1SMcT0001032.1, h1SMcT0001032.2, h1SMcT0001032.4, h1SMcT0001032.5
OG0002794	KAK4467895.1	h1SMcT0019472.1, h1SMcT0019472.2
OG0002796	KAK4467330.1, KAK4474641.1	h1SMcT0009699.1
OG0002798	KAK4470665.1	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3
OG0002800	KAK4470965.1	h1SMcT0017204.1, h1SMcT0017204.2
OG0002801	KAK4475790.1	h1SMcT0004739.1
OG0002802	KAK4468614.1	h1SMcT0013333.1, h1SMcT0013333.2
OG0002803	KAK4472944.1	h1SMcT0003358.1
OG0002804	KAK4473749.1, KAK4473751.1	h1SMcT0016072.1, h1SMcT0016072.2
OG0002805	KAK4469980.1	h1SMcT0021082.1
OG0002806	KAK4470451.1	h1SMcT0004369.1, h1SMcT0004369.2
OG0002807	KAK4474987.1	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2
OG0002808	KAK4471766.1	h1SMcT0003897.1
OG0002809	KAK4467274.1, KAK4467991.1	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2
OG0002810	KAK4474165.1	h1SMcT0007485.1, h1SMcT0007485.2
OG0002812	KAK4475762.1	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3
OG0002813	KAK4470782.1	h1SMcT0013510.1
OG0002814	KAK4473308.1	h1SMcT0020082.1
OG0002816	KAK4475072.1	h1SMcT0003753.1, h1SMcT0003753.2, h1SMcT0003753.3, h1SMcT0017894.1, h1SMcT0017894.2, h1SMcT0017894.3
OG0002817	KAK4473849.1	h1SMcT0022064.1
OG0002818	KAK4470552.1	h1SMcT0021904.2, h1SMcT0021904.1, h1SMcT0021904.3
OG0002819	KAK4471487.1	h1SMcT0000992.1, h1SMcT0000992.2
OG0002821	KAK4467386.1, KAK4475711.1, KAK4467376.1	h1SMcT0006182.1
OG0002823	KAK4475285.1	h1SMcT0008134.1
OG0002824	KAK4475091.1	h1SMcT0019939.1, h1SMcT0019939.2
OG0002825	KAK4468972.1	h1SMcT0008532.1, h1SMcT0012833.4, h1SMcT0012833.8, h1SMcT0012833.7, h1SMcT0012833.3, h1SMcT0012833.9, h1SMcT0012833.1, h1SMcT0012833.5, h1SMcT0012833.10, h1SMcT0012833.2, h1SMcT0012833.6
OG0002826	KAK4473615.1	h1SMcT0013331.1
OG0002827	KAK4473031.1	h1SMcT0001920.1
OG0002828	KAK4473105.1	h1SMcT0013393.1, h1SMcT0014439.1
OG0002829	KAK4471892.1	h1SMcT0006187.1
OG0002830	KAK4473315.1	h1SMcT0001922.1
OG0002831	KAK4475243.1	h1SMcT0013023.1
OG0002832	KAK4468334.1	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4
OG0002834	KAK4475637.1	h1SMcT0011093.1, h1SMcT0019571.1
OG0002835	KAK4468458.1	h1SMcT0001144.1, h1SMcT0001144.2
OG0002836	KAK4473265.1	h1SMcT0019327.1
OG0002837	KAK4475244.1	h1SMcT0014915.1
OG0002839	KAK4470148.1	h1SMcT0006670.1, h1SMcT0006670.2
OG0002842	KAK4470171.1	h1SMcT0004397.1
OG0002845	KAK4474387.1	h1SMcT0021588.1, h1SMcT0021588.2
OG0002846	KAK4475053.1	h1SMcT0021442.1, h1SMcT0021442.2
OG0002847	KAK4471142.1	h1SMcT0004395.1
OG0002848	KAK4471949.1, KAK4471948.1	h1SMcT0001453.1, h1SMcT0014726.1, h1SMcT0014726.2
OG0002849	KAK4475254.1	h1SMcT0016208.1, h1SMcT0016208.2
OG0002850	KAK4471187.1	h1SMcT0007062.3, h1SMcT0007062.1, h1SMcT0007062.2
OG0002851	KAK4468572.1, KAK4468571.1	h1SMcT0000841.1
OG0002852	KAK4475266.1	h1SMcT0003565.1, h1SMcT0003565.2
OG0002853	KAK4470560.1	h1SMcT0000924.1, h1SMcT0000924.2
OG0002854	KAK4474186.1	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5
OG0002855	KAK4474887.1	h1SMcT0021886.1, h1SMcT0021886.2
OG0002856	KAK4469341.1	h1SMcT0000988.1, h1SMcT0000988.2
OG0002857	KAK4471388.1	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14
OG0002858	KAK4476181.1	h1SMcT0011425.1, h1SMcT0011425.2
OG0002859	KAK4471686.1	h1SMcT0010965.1, h1SMcT0010965.2
OG0002860	KAK4470387.1	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2
OG0002861	KAK4468713.1	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3
OG0002862	KAK4471227.1	h1SMcT0014516.1
OG0002863	KAK4474910.1, KAK4474909.1	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2
OG0002864	KAK4469182.1	h1SMcT0001560.1, h1SMcT0001560.2
OG0002866	KAK4472169.1, KAK4474078.1, KAK4474077.1	h1SMcT0009506.1
OG0002868	KAK4468799.1	h1SMcT0018668.1
OG0002869	KAK4475208.1	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4
OG0002870	KAK4469128.1	h1SMcT0019214.1
OG0002871	KAK4473794.1	h1SMcT0016468.1, h1SMcT0016468.2, h1SMcT0020026.1
OG0002872	KAK4469227.1	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3
OG0002873	KAK4468488.1	h1SMcT0009651.1
OG0002874	KAK4473714.1	h1SMcT0020479.1, h1SMcT0020479.2
OG0002875	KAK4469658.1	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4
OG0002876	KAK4470402.1	h1SMcT0007716.1
OG0002877	KAK4471758.1	h1SMcT0007009.1
OG0002879	KAK4474965.1	h1SMcT0011833.1, h1SMcT0011833.2
OG0002880	KAK4475485.1	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4
OG0002881	KAK4472037.1	h1SMcT0004996.1
OG0002883	KAK4469649.1	h1SMcT0022337.1
OG0002884	KAK4471211.1	h1SMcT0003205.1, h1SMcT0003205.2
OG0002885	KAK4469050.1	h1SMcT0020452.1
OG0002889	KAK4468305.1	h1SMcT0005077.1, h1SMcT0005077.2
OG0002903	KAK4470177.1	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3
OG0002904	KAK4475461.1	h1SMcT0012884.1, h1SMcT0012884.2
OG0002905	KAK4471053.1, KAK4471359.1	h1SMcT0004020.1
OG0002907	KAK4467487.1, KAK4475839.1	h1SMcT0014558.1
OG0002908	KAK4471493.1	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4
OG0002910	KAK4475171.1	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6
OG0002911	KAK4475277.1	h1SMcT0017495.1, h1SMcT0017622.1
OG0002912	KAK4471176.1	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1
OG0002913	KAK4476306.1	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4
OG0002914	KAK4474821.1	h1SMcT0014698.1, h1SMcT0016522.1
OG0002915	KAK4470746.1	h1SMcT0007240.1, h1SMcT0007240.2
OG0002916	KAK4474914.1	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4
OG0002917	KAK4473361.1	h1SMcT0020733.1, h1SMcT0002931.1
OG0002918	KAK4468330.1	h1SMcT0022319.1
OG0002921	KAK4467652.1	h1SMcT0009277.1
OG0002922	KAK4470713.1	h1SMcT0003698.1
OG0002925	KAK4474644.1	h1SMcT0015505.1
OG0002928	KAK4470358.1	h1SMcT0017861.1, h1SMcT0017861.2
OG0002929	KAK4475521.1	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3
OG0002930	KAK4473638.1	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2
OG0002931	KAK4475101.1	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2
OG0002932	KAK4472268.1	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3
OG0002934	KAK4467734.1	h1SMcT0015709.1, h1SMcT0015709.2
OG0002936	KAK4469030.1	h1SMcT0008577.1, h1SMcT0008577.2
OG0002938	KAK4470913.1	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3
OG0002939	KAK4474681.1	h1SMcT0009984.1
OG0002942	KAK4470842.1, KAK4470841.1	h1SMcT0009114.1
OG0002943	KAK4470844.1	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5
OG0002944	KAK4474920.1	h1SMcT0022414.1
OG0002945	KAK4470779.1	h1SMcT0021889.1
OG0002947	KAK4468646.1	h1SMcT0015902.1, h1SMcT0015902.2
OG0002948	KAK4471765.1	h1SMcT0021089.1, h1SMcT0021089.2
OG0002949	KAK4472261.1	h1SMcT0009486.1
OG0002950	KAK4470279.1	h1SMcT0007052.1
OG0002951	KAK4473899.1	h1SMcT0010433.1, h1SMcT0010433.2
OG0002953	KAK4475620.1	h1SMcT0002670.1, h1SMcT0015965.1
OG0002954	KAK4471841.1	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3
OG0002955	KAK4470610.1	h1SMcT0017042.1
OG0002956	KAK4467628.1	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2
OG0002958	KAK4471636.1	h1SMcT0021861.1, h1SMcT0021861.2
OG0002959	KAK4468801.1	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3
OG0002960	KAK4469309.1	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1
OG0002961	KAK4475113.1	h1SMcT0011634.1, h1SMcT0011634.2
OG0002962	KAK4471361.1	h1SMcT0003796.1
OG0002963	KAK4474519.1	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2
OG0002964	KAK4473222.1	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3
OG0002967	KAK4471940.1	h1SMcT0003658.1
OG0002969	KAK4469469.1	h1SMcT0017175.1
