Orthogroup	s.mekongi	schistosoma_curassoni
OG0003589	KAK4470101.1	SCUR1_70440.2, SCUR1_70440.3, SCUR1_70440.1
OG0003590	KAK4476105.1	SCUR1_6230.1
OG0003591	KAK4472040.1	SCUR1_59100.1, SCUR1_59100.3, SCUR1_59100.2
OG0003592	KAK4470602.1	SCUR1_72740.1, SCUR1_72740.2, SCUR1_72740.3, SCUR1_72740.4
OG0003593	KAK4472337.1	SCUR1_33490.1
OG0003594	KAK4475234.1	SCUR1_15560.1
OG0003595	KAK4468152.1	SCUR1_84400.1
OG0003596	KAK4469676.1	SCUR1_52800.1
OG0003597	KAK4470556.1	SCUR1_72340.3, SCUR1_72340.1, SCUR1_72340.2
OG0003598	KAK4474030.1	SCUR1_36410.1, SCUR1_36410.2, SCUR1_36410.3
OG0003599	KAK4474727.1	SCUR1_13360.1
OG0003600	KAK4475863.1, KAK4475865.1, KAK4475864.1	SCUR1_5220.2, SCUR1_5220.1
OG0003601	KAK4473045.1	SCUR1_27590.1
OG0003602	KAK4472101.1	SCUR1_64530.1, SCUR1_64530.2
OG0003603	KAK4470116.1	SCUR1_70340.1
OG0003604	KAK4476286.1	SCUR1_900.1, SCUR1_900.4, SCUR1_900.5, SCUR1_900.2, SCUR1_900.3
OG0003605	KAK4474826.1	SCUR1_16500.2, SCUR1_16500.1
OG0003606	KAK4472540.1	SCUR1_34410.1, SCUR1_34410.2, SCUR1_34410.3
OG0003607	KAK4475286.1	SCUR1_15110.1
OG0003608	KAK4474036.1	SCUR1_36350.1, SCUR1_36350.2
OG0003609	KAK4473159.1	SCUR1_24540.1, SCUR1_24540.2
OG0003610	KAK4468676.1	SCUR1_87180.1
OG0003611	KAK4469941.1	SCUR1_54140.1
OG0003612	KAK4472051.1	SCUR1_59200.1
OG0003613	KAK4471517.1	SCUR1_67730.1
OG0003614	KAK4472034.1	SCUR1_59040.1
OG0003615	KAK4473788.1	SCUR1_39070.2, SCUR1_39070.1
OG0003616	KAK4474935.1	SCUR1_17610.4, SCUR1_17610.2, SCUR1_17610.1, SCUR1_17610.3
OG0003617	KAK4471768.1	SCUR1_60430.1, SCUR1_60430.2, SCUR1_60430.3
OG0003619	KAK4476255.1	SCUR1_10370.1, SCUR1_10370.2, SCUR1_10370.3
OG0003620	KAK4469288.1	SCUR1_48930.1
OG0003621	KAK4469901.1	SCUR1_54180.1
OG0003622	KAK4470787.1	SCUR1_69830.1
OG0003623	KAK4469370.1	SCUR1_49920.1, SCUR1_49920.2, SCUR1_49920.3, SCUR1_49920.4, SCUR1_49920.5
OG0003624	KAK4474427.1	SCUR1_12020.1, SCUR1_12020.2, SCUR1_12020.4, SCUR1_12020.3
OG0003625	KAK4468892.1	SCUR1_96030.1, SCUR1_96030.3, SCUR1_96030.2
OG0003626	KAK4468054.1	SCUR1_84460.4, SCUR1_84460.3, SCUR1_84460.1, SCUR1_84460.2
OG0003627	KAK4468066.1	SCUR1_84240.1, SCUR1_84240.2
OG0003628	KAK4472310.1	SCUR1_33720.1, SCUR1_33720.2
OG0003629	KAK4476014.1, KAK4476015.1	SCUR1_7240.2, SCUR1_7240.3, SCUR1_7240.5, SCUR1_7240.1, SCUR1_7240.4
OG0003630	KAK4474073.1	SCUR1_35920.1, SCUR1_35920.3, SCUR1_35920.2
OG0003631	KAK4470868.1	SCUR1_78090.1, SCUR1_78090.2
OG0003632	KAK4471856.1	SCUR1_64250.1
OG0003633	KAK4469548.1	SCUR1_53240.1, SCUR1_53240.2
OG0003634	KAK4470797.1	SCUR1_77360.1, SCUR1_77370.1
OG0003635	KAK4470719.1	SCUR1_75900.1
OG0003636	KAK4470625.1	SCUR1_73110.1, SCUR1_73110.2
OG0003637	KAK4471579.1	SCUR1_67020.2, SCUR1_67020.1
OG0003638	KAK4469171.1	SCUR1_54010.1, SCUR1_54010.2, SCUR1_54010.3
OG0003639	KAK4469170.1	SCUR1_54020.1
OG0003640	KAK4467375.1, KAK4475763.1	SCUR1_4760.1
OG0003641	KAK4470529.1	SCUR1_75030.3, SCUR1_75030.1, SCUR1_75030.4, SCUR1_75030.2
OG0003642	KAK4469740.1	SCUR1_56560.1, SCUR1_56560.2
OG0003643	KAK4470256.1	SCUR1_71640.1
OG0003644	KAK4475284.1	SCUR1_15080.1
OG0003645	KAK4469087.1	SCUR1_47160.1
OG0003646	KAK4469350.1	SCUR1_53490.2, SCUR1_53490.1, SCUR1_53490.4, SCUR1_53490.5, SCUR1_53490.3
OG0003647	KAK4475316.1	SCUR1_15430.1
OG0003648	KAK4474379.1	SCUR1_9910.1
OG0003649	KAK4472160.1	SCUR1_38710.1
OG0003650	KAK4475226.1	SCUR1_15490.1, SCUR1_15490.2
OG0003651	KAK4469433.1	SCUR1_50580.1, SCUR1_50580.2
OG0003652	KAK4469903.1	SCUR1_54160.1, SCUR1_54150.1
OG0003653	KAK4473694.1	SCUR1_39990.1
OG0003654	KAK4471652.1	SCUR1_66280.1
OG0003655	KAK4472474.1	SCUR1_30080.1
OG0003656	KAK4470577.1	SCUR1_70000.1, SCUR1_70000.2, SCUR1_70000.3
OG0003657	KAK4475633.1, KAK4476069.1	SCUR1_3520.1
OG0003658	KAK4470258.1	SCUR1_71660.1
OG0003659	KAK4470853.1	SCUR1_77950.1
OG0003660	KAK4470203.1	SCUR1_97910.1, SCUR1_71270.1
OG0003661	KAK4469716.1	SCUR1_51990.1
OG0003662	KAK4472707.1	SCUR1_44070.1
OG0003663	KAK4470359.1	SCUR1_69330.1, SCUR1_69330.2, SCUR1_69330.3
OG0003664	KAK4469810.1	SCUR1_55390.1, SCUR1_55400.1
OG0003665	KAK4470264.1	SCUR1_71780.4, SCUR1_71780.1, SCUR1_71780.2, SCUR1_71780.5, SCUR1_71780.3
OG0003666	KAK4471143.1	SCUR1_57860.1, SCUR1_57860.2
OG0003667	KAK4474830.1	SCUR1_16540.1
OG0003668	KAK4467223.1	SCUR1_53920.1
OG0003669	KAK4469841.1	SCUR1_55000.1, SCUR1_55000.5, SCUR1_55000.6, SCUR1_55000.2, SCUR1_55000.3, SCUR1_55000.4
OG0003670	KAK4471724.1	SCUR1_62300.1
OG0003671	KAK4470531.1	SCUR1_75010.1, SCUR1_75010.2
OG0003672	KAK4467943.1	SCUR1_92720.1
OG0003673	KAK4468770.1	SCUR1_86690.1, SCUR1_86690.2, SCUR1_86690.3, SCUR1_86690.4
OG0003674	KAK4472263.1, KAK4472262.1	SCUR1_34240.1
OG0003675	KAK4471455.1	SCUR1_63890.2, SCUR1_63890.1
OG0003676	KAK4467752.1	SCUR1_92770.1
OG0003677	KAK4470963.1	SCUR1_99620.1, SCUR1_79010.1, SCUR1_79010.2, SCUR1_79010.3
OG0003678	KAK4472663.1	SCUR1_31230.1
OG0003679	KAK4472257.1	SCUR1_45070.1
OG0003680	KAK4473856.1	SCUR1_37520.1
OG0003681	KAK4468795.1	SCUR1_85870.1, SCUR1_85870.2, SCUR1_85870.3
OG0003682	KAK4470538.1	SCUR1_74830.1
OG0003683	KAK4475926.1	SCUR1_9210.1
OG0003684	KAK4472440.1	SCUR1_99450.1
OG0003685	KAK4473933.1	SCUR1_38370.1, SCUR1_38370.2, SCUR1_38370.3, SCUR1_38370.4, SCUR1_38370.5
OG0003686	KAK4468413.1	SCUR1_89760.1
OG0003687	KAK4468719.1	SCUR1_86050.1
OG0003688	KAK4476166.1	SCUR1_81270.1, SCUR1_81270.2, SCUR1_81270.3
OG0003689	KAK4471711.1	SCUR1_62400.1, SCUR1_62400.2
OG0003690	KAK4469837.1	SCUR1_55080.1, SCUR1_55080.2
OG0003691	KAK4467831.1	SCUR1_94600.1
OG0003692	KAK4473945.1	SCUR1_38510.1, SCUR1_97500.1
OG0003693	KAK4469541.1	SCUR1_53170.1
OG0003694	KAK4473280.1	SCUR1_23830.1, SCUR1_23830.2
OG0003695	KAK4471165.1	SCUR1_64580.1
OG0003696	KAK4470140.1	SCUR1_69090.1
OG0003697	KAK4474685.1	SCUR1_1430.1, SCUR1_1430.2, SCUR1_1430.3
OG0003698	KAK4472394.1	SCUR1_32930.1
OG0003699	KAK4472244.1	SCUR1_32490.1, SCUR1_32490.2, SCUR1_32490.3
OG0003700	KAK4469301.1	SCUR1_46360.1
OG0003701	KAK4468317.1	SCUR1_80890.1
OG0003702	KAK4475393.1	SCUR1_19780.1, SCUR1_19780.2, SCUR1_19780.3, SCUR1_19780.4
OG0003703	KAK4474457.1	SCUR1_12280.1
OG0003704	KAK4472329.1	SCUR1_33560.1
OG0003705	KAK4472556.1	SCUR1_34570.1, SCUR1_34570.2
OG0003706	KAK4468429.1	SCUR1_89970.1
OG0003707	KAK4475798.1	SCUR1_4830.1
OG0003708	KAK4471974.1	SCUR1_61330.1
OG0003709	KAK4475321.1	SCUR1_2020.2, SCUR1_2020.3, SCUR1_2020.1
OG0003710	KAK4472324.1	SCUR1_33600.1
OG0003711	KAK4471608.1	SCUR1_66710.1
OG0003712	KAK4474947.1	SCUR1_17720.2, SCUR1_17720.1
OG0003713	KAK4468784.1	SCUR1_85970.1
OG0003714	KAK4468605.1	SCUR1_87670.1, SCUR1_87660.1
OG0003715	KAK4473272.1	SCUR1_25570.1, SCUR1_25570.2, SCUR1_25570.3
OG0003716	KAK4467727.1	SCUR1_91840.1, SCUR1_91840.2
OG0003717	KAK4470302.1	SCUR1_72120.1
OG0003718	KAK4470765.1	SCUR1_77020.1, SCUR1_77020.2
OG0003719	KAK4469381.1	SCUR1_50020.3, SCUR1_50020.2, SCUR1_50020.1, SCUR1_50020.4
OG0003720	KAK4471852.1	SCUR1_59750.1, SCUR1_59750.2, SCUR1_59750.3
OG0003721	KAK4475976.1	SCUR1_95490.2, SCUR1_95490.3, SCUR1_95490.1, SCUR1_95490.4
OG0003722	KAK4468494.1	SCUR1_90580.1, SCUR1_98570.1, SCUR1_90590.1, SCUR1_98580.1
OG0003723	KAK4467926.1	SCUR1_91570.1, SCUR1_91570.2, SCUR1_91570.3
OG0003724	KAK4475070.1	SCUR1_19570.1
OG0003725	KAK4475815.1	SCUR1_5660.1, SCUR1_5660.2
OG0003726	KAK4469890.1	SCUR1_54430.1, SCUR1_54430.2, SCUR1_54430.3
OG0003727	KAK4472787.1	SCUR1_29070.2, SCUR1_29070.1
OG0003728	KAK4475023.1	SCUR1_21050.1
OG0003729	KAK4476203.1	SCUR1_9000.1
OG0003730	KAK4469206.1	SCUR1_49780.1, SCUR1_49780.2
OG0003731	KAK4468242.1	SCUR1_81950.1
OG0003732	KAK4467955.1, KAK4468009.1	SCUR1_80560.3, SCUR1_80560.1, SCUR1_80560.2
OG0003733	KAK4476009.1	SCUR1_7160.5, SCUR1_7160.1, SCUR1_7160.2, SCUR1_7160.3, SCUR1_7160.4
OG0003734	KAK4475646.1, KAK4467512.1	SCUR1_3660.1
OG0003735	KAK4475807.1	SCUR1_100600.1, SCUR1_5080.1, SCUR1_100590.1, SCUR1_5080.2
OG0003736	KAK4471228.1	SCUR1_68590.1
OG0003737	KAK4475953.1	SCUR1_1240.1
OG0003738	KAK4472846.1	SCUR1_43930.2, SCUR1_43930.3, SCUR1_43930.1, SCUR1_43930.4
OG0003739	KAK4469211.1	SCUR1_49740.1
OG0003740	KAK4472934.1	SCUR1_26950.1, SCUR1_26950.2, SCUR1_26950.3
OG0003741	KAK4469347.1	SCUR1_53430.1
OG0003742	KAK4472058.1	SCUR1_59260.2, SCUR1_59260.1, SCUR1_59260.3, SCUR1_59260.4, SCUR1_59260.5
OG0003743	KAK4471289.1	SCUR1_63800.1, SCUR1_63800.5, SCUR1_63800.2, SCUR1_63800.3, SCUR1_63800.4
OG0003744	KAK4472659.1	SCUR1_31330.1
OG0003745	KAK4472710.1	SCUR1_30770.1
OG0003746	KAK4475636.1	SCUR1_3540.3, SCUR1_3540.1, SCUR1_3540.2
OG0003747	KAK4473181.1	SCUR1_24740.1, SCUR1_24740.2
OG0003748	KAK4475606.1	SCUR1_3400.1
OG0003749	KAK4475424.1	SCUR1_21540.2, SCUR1_21540.1
OG0003750	KAK4470958.1	SCUR1_78970.1
OG0003751	KAK4468057.1	SCUR1_84520.1, SCUR1_84520.2
OG0003752	KAK4472559.1	SCUR1_34560.1
OG0003753	KAK4475413.1	SCUR1_21710.1
OG0003754	KAK4468010.1	SCUR1_95810.1, SCUR1_95810.2, SCUR1_95810.3, SCUR1_95810.4
OG0003755	KAK4475473.1	SCUR1_2190.1, SCUR1_2180.1
OG0003756	KAK4468609.1	SCUR1_89630.1
OG0003757	KAK4473294.1	SCUR1_41600.1
OG0003758	KAK4472396.1	SCUR1_32920.1, SCUR1_32920.2, SCUR1_32920.3, SCUR1_32920.4
OG0003760	KAK4473407.1	SCUR1_41830.2, SCUR1_41830.3, SCUR1_41830.1
OG0003761	KAK4469202.1	SCUR1_49830.1
OG0003762	KAK4468680.1	SCUR1_87140.1, SCUR1_87140.4, SCUR1_87140.2, SCUR1_87140.3, SCUR1_87140.5
OG0003763	KAK4473190.1	SCUR1_41490.1, SCUR1_41490.2
OG0003764	KAK4473758.1	SCUR1_39300.1
OG0003765	KAK4474431.1, KAK4475501.1	SCUR1_12080.1, SCUR1_12080.2
OG0003766	KAK4469910.1	SCUR1_46740.3, SCUR1_46740.1, SCUR1_46740.2
OG0003767	KAK4471832.1	SCUR1_59980.4, SCUR1_59980.1, SCUR1_59980.2, SCUR1_59980.3
OG0003768	KAK4475020.1	SCUR1_1680.1, SCUR1_1680.3, SCUR1_1680.2
OG0003769	KAK4473211.1	SCUR1_25050.1
OG0003770	KAK4470714.1	SCUR1_69810.2, SCUR1_69810.3, SCUR1_69810.1
OG0003771	KAK4476054.1	SCUR1_6630.1, SCUR1_6630.2, SCUR1_6630.3
OG0003772	KAK4469583.1	SCUR1_48250.1
OG0003773	KAK4468694.1	SCUR1_87030.1
OG0003774	KAK4470246.1	SCUR1_71500.1, SCUR1_71500.2
OG0003775	KAK4470430.1	SCUR1_70150.1
OG0003776	KAK4476078.1	SCUR1_7590.1
OG0003777	KAK4471171.1	SCUR1_58220.1
OG0003778	KAK4467927.1	SCUR1_91560.1
OG0003779	KAK4475255.1	SCUR1_13710.1, SCUR1_13710.2
OG0003780	KAK4471656.1, KAK4471657.1	SCUR1_66310.1
OG0003781	KAK4472882.1	SCUR1_26250.1, SCUR1_26250.2
OG0003782	KAK4469405.1	SCUR1_50310.1
OG0003783	KAK4469448.1	SCUR1_46160.3, SCUR1_46160.1, SCUR1_46160.2
OG0003784	KAK4469333.1	SCUR1_46290.1, SCUR1_46290.2
OG0003785	KAK4472235.1, KAK4474201.1	SCUR1_45030.1
OG0003786	KAK4471313.1	SCUR1_63520.1
OG0003787	KAK4475361.1	SCUR1_20190.1, SCUR1_20190.2, SCUR1_20190.3, SCUR1_20190.4
OG0003788	KAK4470220.1	SCUR1_70660.1, SCUR1_70660.2
OG0003789	KAK4476144.1	SCUR1_7880.3, SCUR1_7880.1, SCUR1_7880.2
OG0003790	KAK4472442.1	SCUR1_29760.1
OG0003791	KAK4469217.1	SCUR1_46470.1, SCUR1_46470.2, SCUR1_46470.3, SCUR1_46470.4, SCUR1_46470.5
OG0003792	KAK4469793.1, KAK4469794.1	SCUR1_55600.1
OG0003793	KAK4469847.1	SCUR1_46660.1, SCUR1_46660.2
OG0003794	KAK4468158.1	SCUR1_100260.1, SCUR1_84550.1, SCUR1_84550.2, SCUR1_84550.3
OG0003795	KAK4475564.1, KAK4475553.1	SCUR1_300.1
OG0003796	KAK4471258.1	SCUR1_65280.1, SCUR1_65280.2
OG0003797	KAK4470514.1	SCUR1_75170.3, SCUR1_75170.1, SCUR1_75170.4, SCUR1_75170.2
OG0003798	KAK4475288.1	SCUR1_15130.1
OG0003799	KAK4467992.1	SCUR1_80410.1, SCUR1_80410.2, SCUR1_80410.3
OG0003800	KAK4473328.1	SCUR1_23260.1, SCUR1_23260.2, SCUR1_23260.3, SCUR1_23260.4, SCUR1_23260.5
OG0003801	KAK4469539.1	SCUR1_100870.1, SCUR1_53150.1
OG0003802	KAK4470839.1	SCUR1_77810.1
OG0003803	KAK4476176.1	SCUR1_9960.1
OG0003804	KAK4475320.1	SCUR1_15470.1, SCUR1_15470.2
OG0003805	KAK4476268.1, KAK4476276.1	SCUR1_910.1, SCUR1_910.2, SCUR1_910.3
OG0003806	KAK4476090.1	SCUR1_7730.1
OG0003807	KAK4473825.1	SCUR1_37190.1
OG0003808	KAK4470952.1	SCUR1_78900.1
OG0003809	KAK4470515.1	SCUR1_70050.1, SCUR1_70060.1
OG0003811	KAK4472937.1	SCUR1_26910.1
OG0003812	KAK4473200.1	SCUR1_24950.1
OG0003814	KAK4468295.1	SCUR1_81370.1
OG0003815	KAK4468935.1	SCUR1_87890.1, SCUR1_87890.3, SCUR1_87890.2, SCUR1_87890.4, SCUR1_87890.5
OG0003816	KAK4471117.1	SCUR1_59490.1, SCUR1_59490.2, SCUR1_59490.3
OG0003817	KAK4471854.1	SCUR1_60050.1
OG0003818	KAK4472400.1	SCUR1_30380.1
OG0003819	KAK4473124.1, KAK4473126.1	SCUR1_27980.1
OG0003820	KAK4473146.1	SCUR1_41420.1, SCUR1_41440.1
OG0003821	KAK4474437.1	SCUR1_12130.1, SCUR1_12130.2, SCUR1_12130.3, SCUR1_12130.4
OG0003827	KAK4472458.1	SCUR1_29900.1, SCUR1_29900.2
OG0003828	KAK4473877.1	SCUR1_37800.1
OG0003830	KAK4474601.1	SCUR1_11320.1
OG0003831	KAK4467800.1, KAK4467802.1	SCUR1_94210.1
OG0003832	KAK4467795.1, KAK4467796.1	SCUR1_98230.1, SCUR1_94180.1, SCUR1_94180.3, SCUR1_94180.2
OG0003833	KAK4472320.1	SCUR1_45140.1
OG0003834	KAK4467275.1, KAK4475584.1	SCUR1_2980.1
OG0003835	KAK4474763.1	SCUR1_15870.1
OG0003836	KAK4472456.1	SCUR1_29870.1, SCUR1_29870.2
OG0003837	KAK4473661.1	SCUR1_40380.1, SCUR1_40380.2, SCUR1_40380.3, SCUR1_40380.4
OG0003838	KAK4474508.1	SCUR1_14100.1
OG0003839	KAK4474424.1	SCUR1_11990.1
OG0003840	KAK4473157.1	SCUR1_41430.1, SCUR1_41450.1
OG0003841	KAK4473943.1	SCUR1_38480.1, SCUR1_38480.2
OG0003842	KAK4472487.1	SCUR1_30220.1
OG0003843	KAK4476120.1	SCUR1_8170.2, SCUR1_8170.1, SCUR1_8170.3, SCUR1_8170.4
OG0003844	KAK4472385.1	SCUR1_33030.1, SCUR1_33030.2, SCUR1_33030.3, SCUR1_33030.4
OG0003845	KAK4475977.1	SCUR1_90610.1
OG0003846	KAK4467437.1, KAK4467436.1, KAK4475754.1	SCUR1_4610.1, SCUR1_4610.2
OG0003847	KAK4471993.1	SCUR1_61530.5, SCUR1_61530.4, SCUR1_61530.2, SCUR1_61530.3, SCUR1_61530.1
OG0003848	KAK4468052.1	SCUR1_84500.1, SCUR1_84500.2, SCUR1_84500.3, SCUR1_84500.4, SCUR1_84500.5
OG0003849	KAK4475052.1	SCUR1_21340.1
OG0003850	KAK4472741.1	SCUR1_29480.1
OG0003851	KAK4471681.1	SCUR1_62720.1
OG0003852	KAK4467722.1	SCUR1_92130.1
OG0003853	KAK4467824.1	SCUR1_94840.1, SCUR1_94840.2, SCUR1_94840.3
OG0003854	KAK4471651.1	SCUR1_66260.1
OG0003855	KAK4473610.1	SCUR1_40970.1
OG0003856	KAK4468070.1	SCUR1_84210.1, SCUR1_84210.2, SCUR1_84210.3
OG0003857	KAK4473810.1	SCUR1_38790.1
OG0003858	KAK4472534.1	SCUR1_32510.1
OG0003859	KAK4471409.1	SCUR1_63130.1
OG0003860	KAK4473760.1	SCUR1_39270.1
OG0003863	KAK4473383.1	SCUR1_22740.4
OG0003864	KAK4470496.1	SCUR1_75370.2, SCUR1_75370.1, SCUR1_75370.3
OG0003865	KAK4467834.1	SCUR1_92260.1, SCUR1_92260.2
OG0003866	KAK4473649.1	SCUR1_40530.1
OG0003867	KAK4469109.1	SCUR1_47390.1
OG0003868	KAK4471934.1	SCUR1_60980.1
OG0003869	KAK4473406.1	SCUR1_41820.1
OG0003871	KAK4472736.1	SCUR1_30510.1
OG0003872	KAK4468987.1	SCUR1_56570.1
OG0003873	KAK4468080.1	SCUR1_81240.1
OG0003874	KAK4473576.1	SCUR1_43690.4, SCUR1_43690.3, SCUR1_43690.5, SCUR1_43690.2, SCUR1_43690.1
OG0003875	KAK4473327.1	SCUR1_23270.1
OG0003876	KAK4473721.1	SCUR1_39750.1
OG0003877	KAK4471744.1	SCUR1_62090.1
OG0003878	KAK4471742.1	SCUR1_62080.1, SCUR1_62080.2
OG0003879	KAK4470075.1	SCUR1_79850.1
OG0003880	KAK4467540.1	SCUR1_89470.6, SCUR1_89470.4, SCUR1_89470.3, SCUR1_89470.5, SCUR1_89470.1, SCUR1_89470.2
OG0003881	KAK4471912.1	SCUR1_60730.1, SCUR1_60730.2, SCUR1_60730.3, SCUR1_60730.4, SCUR1_60730.5
OG0003882	KAK4467823.1	SCUR1_92250.2, SCUR1_92250.1, SCUR1_92250.3, SCUR1_92250.4
OG0003883	KAK4471902.1	SCUR1_60640.1
OG0003884	KAK4473061.1	SCUR1_24230.1
OG0003885	KAK4468810.1	SCUR1_85540.1
OG0003886	KAK4473944.1	SCUR1_38490.1, SCUR1_38490.2, SCUR1_38490.3, SCUR1_38490.4, SCUR1_38490.5
OG0003887	KAK4468687.1, KAK4468686.1	SCUR1_87090.1
OG0003888	KAK4468941.1	SCUR1_89200.1, SCUR1_89200.2
OG0003889	KAK4470533.1	SCUR1_74980.1
OG0003890	KAK4475346.1	SCUR1_20360.1, SCUR1_20360.2
OG0003891	KAK4474505.1	SCUR1_14140.1, SCUR1_14130.1
OG0003894	KAK4467245.1	SCUR1_11770.1, SCUR1_11830.1
OG0003895	KAK4469680.1	SCUR1_52360.5, SCUR1_52360.4, SCUR1_52360.2, SCUR1_52360.6, SCUR1_52360.1, SCUR1_52360.3
OG0003896	KAK4469507.1	SCUR1_52870.2, SCUR1_52870.1
OG0003897	KAK4472775.1	SCUR1_29250.1, SCUR1_29250.2
OG0003898	KAK4476198.1	SCUR1_9040.1
OG0003899	KAK4469679.1	SCUR1_52380.3, SCUR1_52380.1, SCUR1_52380.2
OG0003900	KAK4471688.1	SCUR1_68120.3, SCUR1_68120.1, SCUR1_68120.2
OG0003901	KAK4471700.1	SCUR1_98120.1, SCUR1_98120.2, SCUR1_98120.3
OG0003902	KAK4468768.1	SCUR1_86660.3, SCUR1_86660.1, SCUR1_86660.2
OG0003903	KAK4471061.1	SCUR1_67980.1, SCUR1_67980.2
OG0003904	KAK4471544.1	SCUR1_67410.1, SCUR1_67410.2
OG0003905	KAK4467776.1	SCUR1_93130.3, SCUR1_93130.2, SCUR1_93130.1
OG0003906	KAK4476127.1	SCUR1_8050.1
OG0003907	KAK4475512.1	SCUR1_400.1
OG0003908	KAK4475487.1	SCUR1_22330.1
OG0003909	KAK4474044.1	SCUR1_36250.1
OG0003910	KAK4469942.1	SCUR1_56230.1
OG0003911	KAK4473595.1	SCUR1_41120.1
OG0003912	KAK4470946.1	SCUR1_100070.2, SCUR1_100070.4, SCUR1_100070.5, SCUR1_100070.1, SCUR1_100070.3
OG0003913	KAK4472713.1	SCUR1_30730.1
OG0003914	KAK4472122.1	SCUR1_68810.1, SCUR1_68810.2, SCUR1_68810.6, SCUR1_68810.3, SCUR1_68810.4, SCUR1_68810.5
OG0003915	KAK4469056.1, KAK4469057.1, KAK4470599.1, KAK4470493.1	SCUR1_68820.2, SCUR1_68820.1, SCUR1_68820.3
OG0003916	KAK4468036.1	SCUR1_82780.1, SCUR1_82780.2, SCUR1_82780.3, SCUR1_82780.4
OG0003917	KAK4474585.1, KAK4467384.1, KAK4467385.1	SCUR1_14490.1
OG0003918	KAK4469204.1	SCUR1_49810.1
OG0003919	KAK4472259.1	SCUR1_34270.2, SCUR1_34270.1
OG0003920	KAK4474850.1, KAK4474849.1	SCUR1_16730.1, SCUR1_16730.2
OG0003921	KAK4470392.1	SCUR1_69300.2, SCUR1_69300.1, SCUR1_69300.3, SCUR1_69300.4
OG0003922	KAK4471552.1	SCUR1_67330.1, SCUR1_67330.2
OG0003923	KAK4473174.1	SCUR1_24680.1, SCUR1_24680.2, SCUR1_24680.3
OG0003924	KAK4469947.1	SCUR1_56180.1
OG0003925	KAK4469481.1	SCUR1_52630.1
OG0003926	KAK4473245.1	SCUR1_25370.1
OG0003927	KAK4471613.1, KAK4471602.1	SCUR1_68180.1
OG0003928	KAK4473599.1, KAK4473598.1	SCUR1_41090.1
OG0003929	KAK4469152.1	SCUR1_45670.1
OG0003930	KAK4470058.1	SCUR1_79680.1
OG0003931	KAK4469472.1	SCUR1_52720.1
OG0003933	KAK4472343.1	SCUR1_45160.4, SCUR1_45160.1, SCUR1_45160.2, SCUR1_45160.3
OG0003934	KAK4474458.1	SCUR1_420.1
OG0003935	KAK4474586.1	SCUR1_14420.1
OG0003936	KAK4474234.1, KAK4474233.1	SCUR1_6560.1, SCUR1_6560.2
OG0003937	KAK4469622.1	SCUR1_47830.1
OG0003938	KAK4470310.1	SCUR1_72200.1
OG0003940	KAK4474709.1	SCUR1_12990.1, SCUR1_12990.2
OG0003941	KAK4467507.1, KAK4475709.1	SCUR1_4230.1
OG0003942	KAK4469602.1	SCUR1_45970.1
OG0003943	KAK4469164.1	SCUR1_46530.2, SCUR1_46530.1, SCUR1_46530.6, SCUR1_46530.4, SCUR1_46530.7, SCUR1_46530.11, SCUR1_46530.8, SCUR1_46530.12, SCUR1_46530.9, SCUR1_46530.5, SCUR1_46530.10, SCUR1_46530.3
OG0003944	KAK4469175.1	SCUR1_46520.2, SCUR1_46520.1, SCUR1_46520.3
OG0003945	KAK4468739.1	SCUR1_86180.2, SCUR1_86180.1, SCUR1_86180.3
OG0003946	KAK4473182.1	SCUR1_24750.1
OG0003947	KAK4473629.1	SCUR1_40770.1, SCUR1_40770.2
OG0003948	KAK4469790.1	SCUR1_56900.1, SCUR1_56920.1
OG0003949	KAK4469896.1	SCUR1_54230.1
OG0003950	KAK4475967.1	SCUR1_6430.1
OG0003951	KAK4469318.1	SCUR1_48660.1, SCUR1_48670.1
OG0003952	KAK4468515.1	SCUR1_88950.1, SCUR1_88950.2, SCUR1_88950.3
OG0003953	KAK4467979.1	SCUR1_81220.1
OG0003954	KAK4471945.1	SCUR1_61040.1
OG0003955	KAK4469215.1	SCUR1_49690.1, SCUR1_49690.2
OG0003956	KAK4471678.1	SCUR1_62680.1
OG0003957	KAK4474161.1	SCUR1_35010.1, SCUR1_35010.2, SCUR1_35010.4, SCUR1_35010.5, SCUR1_35010.3
OG0003958	KAK4472852.1	SCUR1_25850.1
OG0003959	KAK4474422.1	SCUR1_11940.3, SCUR1_11940.1, SCUR1_11940.2
OG0003960	KAK4469154.1	SCUR1_51500.1
OG0003961	KAK4468327.1	SCUR1_70780.2, SCUR1_70780.1, SCUR1_70780.3
OG0003962	KAK4472497.1	SCUR1_30310.4, SCUR1_30310.3, SCUR1_30310.2, SCUR1_30310.1
OG0003963	KAK4475106.1	SCUR1_19230.1
OG0003965	KAK4473090.1	SCUR1_27480.1, SCUR1_27480.2
OG0003967	KAK4473470.1	SCUR1_42510.1, SCUR1_42510.2, SCUR1_42510.3
OG0003968	KAK4475622.1	SCUR1_3300.1
OG0003969	KAK4468012.1, KAK4468013.1	SCUR1_83070.1, SCUR1_83070.2
OG0003970	KAK4468794.1	SCUR1_90980.1, SCUR1_90980.2
OG0003971	KAK4471664.1	SCUR1_62830.1
OG0003972	KAK4472667.1	SCUR1_31190.1, SCUR1_31190.2
OG0003973	KAK4467846.1	SCUR1_94740.1, SCUR1_94750.1
