Orthogroup	s.mekongi	schistosoma_haematobium
OG0002137	KAK4470864.1	SHAE2_83060.1
OG0002138	KAK4472681.1	SHAE2_33380.2, SHAE2_33380.1, SHAE2_33370.1
OG0002139	KAK4471662.1	SHAE2_67140.1, SHAE2_67140.3, SHAE2_67140.4, SHAE2_67140.2
OG0002141	KAK4472097.1, KAK4472096.1	SHAE2_62740.1
OG0002142	KAK4468905.1	SHAE2_91260.4, SHAE2_91260.1, SHAE2_91260.2, SHAE2_91260.3
OG0002143	KAK4469632.1	SHAE2_49200.1, SHAE2_49150.1
OG0002144	KAK4472990.1	SHAE2_28630.1
OG0002145	KAK4467424.1, KAK4472412.1	SHAE2_32750.1, SHAE2_32750.2
OG0002146	KAK4474835.1	SHAE2_18640.1, SHAE2_18640.2, SHAE2_18640.3
OG0002147	KAK4469203.1	SHAE2_53070.2, SHAE2_53070.3, SHAE2_53070.1, SHAE2_53070.4
OG0002148	KAK4475971.1, KAK4475972.1	SHAE2_6670.1, SHAE2_6670.2, SHAE2_6670.3
OG0002149	KAK4468975.1	SHAE2_56900.1
OG0002150	KAK4471531.1	SHAE2_72520.1
OG0002151	KAK4468367.1	SHAE2_52910.1, SHAE2_52920.1, SHAE2_86310.1
OG0002152	KAK4470651.1	SHAE2_78590.1, SHAE2_78590.2
OG0002153	KAK4476032.1	SHAE2_7700.3, SHAE2_7700.2, SHAE2_7700.4, SHAE2_7700.5, SHAE2_7700.1
OG0002154	KAK4474009.1	SHAE2_39340.1
OG0002155	KAK4473288.1	SHAE2_26270.1, SHAE2_26270.2
OG0002156	KAK4468672.1	SHAE2_93830.1, SHAE2_93830.2
OG0002157	KAK4471720.1	SHAE2_66590.1, SHAE2_66590.2, SHAE2_66590.3, SHAE2_66590.4, SHAE2_66590.5
OG0002158	KAK4470730.1	SHAE2_81070.1
OG0002159	KAK4470454.1	SHAE2_79170.1, SHAE2_79170.2, SHAE2_79170.3
OG0002160	KAK4471931.1	SHAE2_65140.1, SHAE2_65140.5, SHAE2_65140.2, SHAE2_65140.3, SHAE2_65140.4
OG0002161	KAK4473484.1	SHAE2_48260.1, SHAE2_48250.4, SHAE2_48250.5, SHAE2_48390.1, SHAE2_48250.1, SHAE2_48250.2, SHAE2_48250.3, SHAE2_47950.1, SHAE2_47950.2
OG0002162	KAK4467278.1	SHAE2_28430.1
OG0002162	KAK4467278.1	SHAE2_28520.1
OG0002162	KAK4472885.1	SHAE2_28430.1
OG0002162	KAK4472885.1	SHAE2_28520.1
OG0002162	KAK4472886.1	SHAE2_28430.1
OG0002162	KAK4472886.1	SHAE2_28520.1
OG0002162	KAK4472888.1	SHAE2_28430.1
OG0002162	KAK4472888.1	SHAE2_28520.1
OG0002162	KAK4472890.1	SHAE2_28430.1
OG0002162	KAK4472890.1	SHAE2_28520.1
OG0002162	KAK4472896.1	SHAE2_28430.1
OG0002162	KAK4472896.1	SHAE2_28520.1
OG0002163	KAK4473812.1	SHAE2_41530.1, SHAE2_41530.2, SHAE2_41530.3
OG0002164	KAK4471093.1	SHAE2_62430.1
OG0002165	KAK4473110.1	SHAE2_30310.1, SHAE2_30310.3, SHAE2_30310.4, SHAE2_30310.5, SHAE2_30310.2
OG0002166	KAK4469987.1	SHAE2_59100.3, SHAE2_59100.4, SHAE2_59100.2, SHAE2_59100.1, SHAE2_59100.6, SHAE2_59100.5, SHAE2_59100.7
OG0002167	KAK4469005.1	SHAE2_55070.1
OG0002168	KAK4469578.1	SHAE2_51420.1
OG0002169	KAK4475426.1	SHAE2_23650.1
OG0002170	KAK4470209.1	SHAE2_76440.1, SHAE2_76440.2, SHAE2_76440.3
OG0002171	KAK4475546.1	SHAE2_2960.1, SHAE2_2990.1
OG0002172	KAK4472401.1	SHAE2_32670.1
OG0002173	KAK4472007.1	SHAE2_68790.1
OG0002174	KAK4470652.1	SHAE2_78600.2, SHAE2_78600.3, SHAE2_78600.4, SHAE2_78600.5, SHAE2_78600.1, SHAE2_78600.6
OG0002175	KAK4470327.1	SHAE2_79800.1, SHAE2_79800.2, SHAE2_79800.3, SHAE2_79800.4, SHAE2_79800.5, SHAE2_79800.6, SHAE2_79800.9, SHAE2_79800.8, SHAE2_79800.7
OG0002176	KAK4470944.1	SHAE2_103450.1
OG0002177	KAK4474210.1	SHAE2_6070.1, SHAE2_6070.6, SHAE2_6070.2, SHAE2_6070.3, SHAE2_6070.5, SHAE2_6070.4
OG0002178	KAK4470441.1	SHAE2_81250.1, SHAE2_81250.5, SHAE2_81250.2, SHAE2_81250.3, SHAE2_81250.4
OG0002179	KAK4476303.1	SHAE2_11990.2, SHAE2_11990.3, SHAE2_11990.5, SHAE2_11990.1, SHAE2_11990.6, SHAE2_11990.4
OG0002180	KAK4470443.1, KAK4470442.1	SHAE2_81240.2, SHAE2_81240.1, SHAE2_81240.3, SHAE2_81240.4, SHAE2_81240.5
OG0002181	KAK4468988.1	SHAE2_60040.1
OG0002182	KAK4470376.1	SHAE2_79310.4, SHAE2_79310.3, SHAE2_79310.2, SHAE2_79310.1
OG0002183	KAK4474532.1	SHAE2_13390.1
OG0002184	KAK4468465.1	SHAE2_97040.2, SHAE2_97040.1, SHAE2_97040.3
OG0002185	KAK4467484.1, KAK4467485.1, KAK4475796.1	SHAE2_5420.2, SHAE2_5420.1
OG0002186	KAK4475062.1	SHAE2_23600.1
OG0002187	KAK4475283.1, KAK4475282.1	SHAE2_16840.1
OG0002188	KAK4471595.1	SHAE2_71550.4, SHAE2_71550.1, SHAE2_71550.2, SHAE2_71550.3
OG0002189	KAK4474102.1	SHAE2_38360.1, SHAE2_38360.3, SHAE2_38360.2, SHAE2_38360.4, SHAE2_38360.5
OG0002190	KAK4472958.1	SHAE2_29020.1
OG0002191	KAK4474481.1	SHAE2_13510.4, SHAE2_13510.3, SHAE2_13490.1, SHAE2_13510.5, SHAE2_13510.1, SHAE2_13510.2
OG0002192	KAK4472557.1	SHAE2_48100.1
OG0002193	KAK4470427.1	SHAE2_81440.1, SHAE2_81440.2
OG0002194	KAK4467423.1	SHAE2_32760.1, SHAE2_32760.5, SHAE2_32760.2, SHAE2_32760.3, SHAE2_32760.4
OG0002195	KAK4469543.1	SHAE2_56460.1, SHAE2_56460.2, SHAE2_56460.3
OG0002196	KAK4471567.1	SHAE2_71950.3, SHAE2_71950.1, SHAE2_71950.2, SHAE2_71950.4
OG0002197	KAK4472106.1	SHAE2_62660.2, SHAE2_62660.1
OG0002198	KAK4472911.1	SHAE2_30670.1
OG0002199	KAK4470621.1	SHAE2_75120.1, SHAE2_75100.1
OG0002201	KAK4469418.1	SHAE2_53690.1
OG0002202	KAK4473459.1	SHAE2_45130.1
OG0002203	KAK4470762.1, KAK4470761.1	SHAE2_82060.1, SHAE2_82050.1, SHAE2_82050.2, SHAE2_82050.3
OG0002204	KAK4472224.1	SHAE2_27680.1
OG0002205	KAK4467464.1, KAK4475718.1	SHAE2_4890.2, SHAE2_4890.3, SHAE2_4890.1
OG0002206	KAK4468925.1	SHAE2_94620.1
OG0002207	KAK4474561.1	SHAE2_16500.1, SHAE2_16490.1
OG0002208	KAK4475217.1	SHAE2_20340.2, SHAE2_20340.1, SHAE2_20340.3
OG0002209	KAK4467621.1	SHAE2_100190.1
OG0002210	KAK4475392.1, KAK4475391.1	SHAE2_21930.1
OG0002212	KAK4467664.1	SHAE2_100650.3, SHAE2_100650.1, SHAE2_100650.2
OG0002214	KAK4473783.1	SHAE2_47170.1, SHAE2_47170.2
OG0002215	KAK4476191.1	SHAE2_7920.1, SHAE2_7920.3, SHAE2_7920.2, SHAE2_7930.1
OG0002216	KAK4472672.1	SHAE2_33470.1
OG0002217	KAK4475607.1	SHAE2_3940.1
OG0002218	KAK4475825.1, KAK4475822.1	SHAE2_6090.1, SHAE2_6090.2, SHAE2_6090.3
OG0002219	KAK4474924.1	SHAE2_19710.1, SHAE2_19710.2, SHAE2_19710.3, SHAE2_19710.4, SHAE2_19710.5
OG0002220	KAK4476207.1	SHAE2_1370.1, SHAE2_1370.2
OG0002221	KAK4476169.1	SHAE2_11510.1
OG0002222	KAK4474160.1	SHAE2_37650.2, SHAE2_37650.3, SHAE2_37650.1
OG0002223	KAK4475100.1	SHAE2_21490.1
OG0002224	KAK4474464.1	SHAE2_14110.1, SHAE2_14110.2
OG0002225	KAK4468547.1	SHAE2_95310.1
OG0002226	KAK4472989.1	SHAE2_28640.1, SHAE2_28640.2
OG0002227	KAK4473543.1	SHAE2_46020.2, SHAE2_46020.3, SHAE2_46020.1, SHAE2_46020.4, SHAE2_46020.5, SHAE2_46020.6, SHAE2_46020.7
OG0002228	KAK4473500.1	SHAE2_45450.1
OG0002229	KAK4474569.1	SHAE2_16410.1
OG0002230	KAK4471246.1	SHAE2_69660.6, SHAE2_69660.1, SHAE2_69660.2, SHAE2_69660.5, SHAE2_69660.3, SHAE2_69660.4, SHAE2_69660.7
OG0002231	KAK4471672.1	SHAE2_67050.4, SHAE2_67050.1, SHAE2_67050.2, SHAE2_67050.3
OG0002232	KAK4470671.1	SHAE2_80520.1, SHAE2_80520.2
OG0002233	KAK4471876.1	SHAE2_64460.2, SHAE2_64460.3, SHAE2_64460.5, SHAE2_64460.4, SHAE2_64460.1
OG0002234	KAK4469357.1	SHAE2_56800.1
OG0002234	KAK4469358.1	SHAE2_56810.1, SHAE2_56810.2, SHAE2_56810.4, SHAE2_56810.5, SHAE2_56810.3
OG0002235	KAK4475181.1	SHAE2_20650.5, SHAE2_20650.1, SHAE2_20650.2, SHAE2_20650.3, SHAE2_20650.4
OG0002236	KAK4471525.1	SHAE2_72590.1
OG0002237	KAK4467236.1	SHAE2_46390.1
OG0002239	KAK4467805.1	SHAE2_101120.4, SHAE2_101120.2, SHAE2_101120.1, SHAE2_101120.3
OG0002240	KAK4467503.1	SHAE2_44790.9, SHAE2_44790.10, SHAE2_44790.3, SHAE2_44790.2, SHAE2_44790.6, SHAE2_44790.1, SHAE2_44790.11, SHAE2_44790.12, SHAE2_44790.8, SHAE2_44790.4, SHAE2_44790.5, SHAE2_44790.7, SHAE2_44790.13
OG0002241	KAK4471543.1	SHAE2_72390.1
OG0002242	KAK4473454.1	SHAE2_45080.3, SHAE2_45080.2, SHAE2_45080.1
OG0002243	KAK4472415.1	SHAE2_31890.2
OG0002244	KAK4473155.1, KAK4473154.1	SHAE2_26790.1, SHAE2_26790.2, SHAE2_26790.3
OG0002245	KAK4471858.1	SHAE2_64260.1
OG0002246	KAK4475414.1	SHAE2_23820.1
OG0002247	KAK4472854.1	SHAE2_28320.1, SHAE2_28320.2, SHAE2_28320.3, SHAE2_28320.5, SHAE2_28320.4
OG0002248	KAK4469512.1	SHAE2_56180.5, SHAE2_56180.6, SHAE2_56180.7, SHAE2_56180.8, SHAE2_56180.1, SHAE2_56180.2, SHAE2_56180.3, SHAE2_56180.4
OG0002249	KAK4469863.1	SHAE2_57950.6, SHAE2_57950.5, SHAE2_57950.3, SHAE2_57950.1, SHAE2_57950.4, SHAE2_57950.2, SHAE2_57950.7
OG0002250	KAK4473655.1	SHAE2_43210.1, SHAE2_43210.4, SHAE2_43210.3, SHAE2_43210.2
OG0002251	KAK4473038.1	SHAE2_29480.3, SHAE2_29480.5, SHAE2_29480.4, SHAE2_29480.1, SHAE2_29480.2
OG0002252	KAK4475873.1	SHAE2_5650.1
OG0002253	KAK4476184.1	SHAE2_7990.3
OG0002254	KAK4469155.1	SHAE2_54830.1
OG0002256	KAK4469585.1	SHAE2_51370.1, SHAE2_51370.3, SHAE2_51370.2
OG0002257	KAK4469500.1	SHAE2_55710.1
OG0002258	KAK4469494.1	SHAE2_55780.1, SHAE2_55780.3, SHAE2_55780.2, SHAE2_55780.4
OG0002259	KAK4473000.1	SHAE2_30480.1, SHAE2_30480.2
OG0002260	KAK4476307.1	SHAE2_1290.1
OG0002261	KAK4469639.1	SHAE2_54560.1
OG0002262	KAK4474948.1	SHAE2_19940.2, SHAE2_19940.1
OG0002263	KAK4471619.1	SHAE2_71300.1, SHAE2_71300.2, SHAE2_71300.3
OG0002264	KAK4473530.1	SHAE2_45840.2, SHAE2_45840.3, SHAE2_45840.1
OG0002265	KAK4473640.1	SHAE2_43420.1, SHAE2_43420.2
OG0002266	KAK4467765.1	SHAE2_100070.2, SHAE2_100070.1
OG0002267	KAK4474732.1	SHAE2_15220.1, SHAE2_15220.3, SHAE2_15220.2
OG0002268	KAK4467958.1	SHAE2_103200.1, SHAE2_103200.2, SHAE2_103200.3
OG0002269	KAK4471798.1	SHAE2_65940.1
OG0002270	KAK4468653.1	SHAE2_94050.1
OG0002271	KAK4468322.1	SHAE2_85490.1, SHAE2_85490.2, SHAE2_85490.3, SHAE2_85490.4
OG0002272	KAK4473205.1	SHAE2_27360.1
OG0002273	KAK4470801.1	SHAE2_82430.1
OG0002274	KAK4469856.1	SHAE2_49840.1, SHAE2_49840.4, SHAE2_49840.2, SHAE2_49840.3
OG0002275	KAK4468197.1	SHAE2_89780.1, SHAE2_89780.3, SHAE2_89780.2
OG0002276	KAK4468979.1	SHAE2_55750.1, SHAE2_55750.2, SHAE2_55750.3
OG0002277	KAK4469138.1	SHAE2_54640.1, SHAE2_54640.2, SHAE2_54640.3
OG0002278	KAK4468691.1	SHAE2_97390.1
OG0002279	KAK4467998.1	SHAE2_86030.1
OG0002279	KAK4468820.1	SHAE2_92070.1
OG0002280	KAK4471092.1	SHAE2_62440.1
OG0002281	KAK4473431.1	SHAE2_44800.3, SHAE2_44800.1, SHAE2_44800.2
OG0002282	KAK4476158.1	SHAE2_11310.1, SHAE2_11300.1
OG0002283	KAK4469147.1	SHAE2_54780.2, SHAE2_54780.3, SHAE2_54780.1, SHAE2_54780.4
OG0002284	KAK4470505.1	SHAE2_75250.1
OG0002285	KAK4476005.1	SHAE2_10280.1
OG0002286	KAK4471599.1	SHAE2_71480.2, SHAE2_71480.1
OG0002287	KAK4471717.1	SHAE2_66620.1, SHAE2_66620.2
OG0002288	KAK4470658.1	SHAE2_78660.1, SHAE2_78660.2
OG0002289	KAK4472368.1	SHAE2_36020.1
OG0002290	KAK4468157.1	SHAE2_90670.1, SHAE2_90670.2, SHAE2_90670.3
OG0002291	KAK4471354.1	SHAE2_70560.3, SHAE2_70560.2, SHAE2_70560.4, SHAE2_70560.1
OG0002292	KAK4470743.1	SHAE2_79210.1, SHAE2_79210.2
OG0002293	KAK4471834.1	SHAE2_64110.1
OG0002294	KAK4475276.1	SHAE2_16790.4, SHAE2_16790.1, SHAE2_16790.2, SHAE2_16790.3
OG0002295	KAK4469337.1	SHAE2_56610.3, SHAE2_56610.1, SHAE2_56610.2
OG0002296	KAK4474492.1, KAK4467418.1	SHAE2_16000.1, SHAE2_16010.5, SHAE2_16010.1, SHAE2_16010.3, SHAE2_16010.4, SHAE2_16010.2
OG0002297	KAK4472747.1	SHAE2_31370.1, SHAE2_31370.2, SHAE2_31380.1
OG0002298	KAK4475551.1	SHAE2_3040.1
OG0002298	KAK4475552.1	SHAE2_3050.1
OG0002299	KAK4472924.1	SHAE2_29400.1
OG0002300	KAK4470804.1	SHAE2_82470.1, SHAE2_82470.2
OG0002301	KAK4468535.1	SHAE2_95450.1, SHAE2_95440.1
OG0002302	KAK4474781.1	SHAE2_18040.2, SHAE2_18040.1
OG0002303	KAK4470385.1, KAK4470386.1	SHAE2_79240.1, SHAE2_79240.2, SHAE2_79240.3
OG0002304	KAK4471512.1	SHAE2_72800.1, SHAE2_72800.2
OG0002305	KAK4472248.1	SHAE2_37010.1
OG0002306	KAK4471272.1	SHAE2_69910.1, SHAE2_69910.2
OG0002307	KAK4470659.1	SHAE2_78670.1
OG0002308	KAK4469660.1	SHAE2_54360.1, SHAE2_54360.2, SHAE2_54360.3, SHAE2_54360.4
OG0002309	KAK4473490.1	SHAE2_45420.2, SHAE2_45420.4, SHAE2_45420.5, SHAE2_45420.3, SHAE2_45420.1
OG0002310	KAK4475477.1	SHAE2_23950.1
OG0002311	KAK4467381.1, KAK4467391.1, KAK4475787.1	SHAE2_5500.2, SHAE2_5500.1
OG0002312	KAK4467256.1	SHAE2_25430.1, SHAE2_25430.2, SHAE2_25430.3, SHAE2_25430.4
OG0002314	KAK4475701.1	SHAE2_4710.1, SHAE2_4710.2
OG0002315	KAK4476003.1	SHAE2_10290.2, SHAE2_10290.1
OG0002316	KAK4470108.1	SHAE2_75440.1
OG0002317	KAK4468748.1	SHAE2_50390.1
OG0002318	KAK4473366.1	SHAE2_25270.1, SHAE2_25270.2
OG0002319	KAK4475207.1	SHAE2_20440.1
OG0002320	KAK4470626.1	SHAE2_78320.1, SHAE2_78320.3, SHAE2_78320.2
OG0002321	KAK4474856.1	SHAE2_18980.1
OG0002322	KAK4475349.1	SHAE2_22420.1
OG0002323	KAK4471398.1	SHAE2_67320.1, SHAE2_67320.2
OG0002325	KAK4474627.1, KAK4467450.1, KAK4474283.1	SHAE2_15650.1
OG0002326	KAK4468543.1	SHAE2_94750.1, SHAE2_94750.2, SHAE2_94750.3, SHAE2_94750.4
OG0002327	KAK4470807.1	SHAE2_82500.1
OG0002328	KAK4475950.1	SHAE2_8070.1, SHAE2_8070.2, SHAE2_8070.4, SHAE2_8070.6, SHAE2_8070.8, SHAE2_8070.3, SHAE2_8070.5, SHAE2_8070.7
OG0002329	KAK4474319.1	SHAE2_2200.1
OG0002330	KAK4475901.1	SHAE2_6430.3, SHAE2_6430.1, SHAE2_6430.2
OG0002331	KAK4475826.1	SHAE2_6080.3, SHAE2_6080.1, SHAE2_6080.2
OG0002332	KAK4474659.1	SHAE2_14460.1
OG0002333	KAK4469339.1, KAK4469340.1	SHAE2_56660.1
OG0002334	KAK4476244.1	SHAE2_10740.1, SHAE2_10740.3, SHAE2_10740.2, SHAE2_10740.4
OG0002335	KAK4474865.1	SHAE2_19090.1, SHAE2_19090.2
OG0002336	KAK4469752.1	SHAE2_60180.1
OG0002337	KAK4467876.1	SHAE2_101980.1
OG0002338	KAK4476164.1	SHAE2_11530.1, SHAE2_11530.4, SHAE2_11530.5, SHAE2_11530.2, SHAE2_11530.3
OG0002339	KAK4468528.1	SHAE2_95510.1, SHAE2_95510.2, SHAE2_95510.3, SHAE2_95510.4
OG0002340	KAK4475558.1	SHAE2_3100.4, SHAE2_3100.1, SHAE2_3100.3, SHAE2_3100.5, SHAE2_3100.2
OG0002341	KAK4468589.1	SHAE2_94130.1, SHAE2_94130.2
OG0002342	KAK4475632.1	SHAE2_4050.1
OG0002343	KAK4472783.1	SHAE2_46650.1
OG0002344	KAK4471870.1	SHAE2_64360.3, SHAE2_64360.1, SHAE2_64360.2
OG0002345	KAK4468737.1	SHAE2_92750.1, SHAE2_92750.2
OG0002346	KAK4473237.1	SHAE2_27650.1
OG0002347	KAK4474998.1, KAK4474997.1	SHAE2_22880.1, SHAE2_22870.1
OG0002349	KAK4468594.1	SHAE2_94220.2, SHAE2_94220.3, SHAE2_94220.1, SHAE2_94220.4
OG0002350	KAK4474000.1	SHAE2_39430.3, SHAE2_39430.4, SHAE2_39430.1, SHAE2_39430.2
OG0002351	KAK4469666.1	SHAE2_54300.1, SHAE2_54300.2
OG0002352	KAK4468684.1	SHAE2_93720.1, SHAE2_93720.2, SHAE2_93720.3, SHAE2_93720.4
OG0002353	KAK4470343.1	SHAE2_79650.1
OG0002355	KAK4470597.1	SHAE2_77950.1
OG0002356	KAK4471254.1	SHAE2_69730.6, SHAE2_69730.7, SHAE2_69730.8, SHAE2_69730.2, SHAE2_69730.3, SHAE2_69730.4, SHAE2_69730.5, SHAE2_69730.1, SHAE2_69730.10, SHAE2_69730.11, SHAE2_69730.9
OG0002357	KAK4473135.1	SHAE2_30070.1
OG0002357	KAK4473137.1	SHAE2_30060.1
OG0002358	KAK4474939.1	SHAE2_19790.3, SHAE2_19790.1, SHAE2_19790.2
OG0002359	KAK4474550.1	SHAE2_16080.1, SHAE2_16080.2, SHAE2_16080.3, SHAE2_16080.4
OG0002360	KAK4470696.1	SHAE2_80740.1
OG0002361	KAK4468109.1	SHAE2_90090.1, SHAE2_90090.2
OG0002362	KAK4471226.1	SHAE2_69470.1, SHAE2_69470.2, SHAE2_69470.3
OG0002363	KAK4471743.1	SHAE2_73180.2, SHAE2_73180.1, SHAE2_73180.4, SHAE2_73180.3
OG0002364	KAK4473538.1	SHAE2_45940.1, SHAE2_45940.2, SHAE2_45940.3
OG0002365	KAK4475751.1	SHAE2_5160.2, SHAE2_5160.6, SHAE2_5160.3, SHAE2_5160.5, SHAE2_5160.4, SHAE2_5160.1, SHAE2_5160.7
OG0002370	KAK4469597.1	SHAE2_51260.1
OG0002370	KAK4469133.1	SHAE2_49720.1
OG0002371	KAK4474916.1	SHAE2_2020.1, SHAE2_2020.2
OG0002372	KAK4467224.1, KAK4471312.1	SHAE2_67750.1
OG0002373	KAK4470701.1	SHAE2_80790.1, SHAE2_80790.3, SHAE2_80790.4
OG0002374	KAK4475820.1	SHAE2_6110.1
OG0002375	KAK4467780.1	SHAE2_100900.2, SHAE2_100900.3, SHAE2_100900.5, SHAE2_100900.6, SHAE2_100900.4, SHAE2_100900.1
OG0002376	KAK4470257.1	SHAE2_76710.1, SHAE2_76710.2, SHAE2_76710.3
OG0002377	KAK4472439.1	SHAE2_32050.1, SHAE2_32020.1
OG0002378	KAK4473698.1	SHAE2_42830.1, SHAE2_42840.1
OG0002379	KAK4473511.1	SHAE2_45650.1
OG0002380	KAK4475429.1, KAK4470544.1	SHAE2_23620.1
OG0002381	KAK4469366.1	SHAE2_56880.1, SHAE2_56880.2
OG0002382	KAK4474375.1	SHAE2_11770.1
OG0002383	KAK4469692.1	SHAE2_55540.1, SHAE2_55540.2, SHAE2_55540.3
OG0002384	KAK4467987.1	SHAE2_86380.2, SHAE2_86380.1, SHAE2_86380.3
OG0002385	KAK4472809.1	SHAE2_31080.1
OG0002386	KAK4472367.1, KAK4472366.1	SHAE2_36050.1, SHAE2_36030.4, SHAE2_36030.3, SHAE2_36030.1, SHAE2_36030.2
OG0002387	KAK4470018.1	SHAE2_81710.1, SHAE2_81710.2
OG0002388	KAK4475940.1	SHAE2_12600.4, SHAE2_12600.2, SHAE2_12600.5, SHAE2_12600.6, SHAE2_12600.1, SHAE2_12600.3
OG0002389	KAK4468669.1	SHAE2_93870.5, SHAE2_93870.10, SHAE2_93870.6, SHAE2_93870.8, SHAE2_93870.2, SHAE2_93870.1, SHAE2_93870.9, SHAE2_93870.7, SHAE2_93870.3, SHAE2_93870.4
OG0002390	KAK4474823.1	SHAE2_18510.2, SHAE2_18510.1, SHAE2_18510.3
OG0002391	KAK4475150.1	SHAE2_20940.1
OG0002392	KAK4468612.1	SHAE2_96340.1
OG0002393	KAK4472029.1	SHAE2_63390.2, SHAE2_63390.3, SHAE2_63390.1
OG0002394	KAK4472676.1	SHAE2_33440.1, SHAE2_33440.2, SHAE2_33440.4, SHAE2_33440.5, SHAE2_33440.3, SHAE2_33440.7, SHAE2_33440.6
OG0002395	KAK4468093.1, KAK4468094.1	SHAE2_88770.1, SHAE2_88770.2
OG0002396	KAK4472397.1	SHAE2_35100.1
OG0002397	KAK4470885.1	SHAE2_83260.1, SHAE2_83260.2, SHAE2_83260.3, SHAE2_83260.4
OG0002398	KAK4475858.1	SHAE2_5850.3, SHAE2_5850.4, SHAE2_5850.5, SHAE2_5850.6, SHAE2_5850.2, SHAE2_5850.1
OG0002399	KAK4473606.1	SHAE2_43780.2, SHAE2_43780.1
OG0002400	KAK4475588.1	SHAE2_3560.2, SHAE2_3560.1, SHAE2_3560.3
OG0002401	KAK4467838.1	SHAE2_101570.1
OG0002402	KAK4475402.1	SHAE2_21840.3, SHAE2_21840.1, SHAE2_21840.2, SHAE2_21830.1, SHAE2_21830.2
OG0002403	KAK4473070.1	SHAE2_103280.1, SHAE2_103280.2, SHAE2_103280.3, SHAE2_103280.4
OG0002404	KAK4471785.1	SHAE2_66090.1
OG0002405	KAK4475049.1	SHAE2_2140.2, SHAE2_2140.1
OG0002406	KAK4475993.1	SHAE2_10390.3, SHAE2_10390.5, SHAE2_10390.2, SHAE2_10390.4, SHAE2_10390.1
OG0002407	KAK4476136.1	SHAE2_9960.1
OG0002408	KAK4470613.1	SHAE2_78200.3, SHAE2_78200.4, SHAE2_78200.2, SHAE2_78200.1
OG0002409	KAK4468127.1	SHAE2_89830.3, SHAE2_89830.1, SHAE2_89830.2
OG0002410	KAK4474104.1	SHAE2_38330.3, SHAE2_38330.1, SHAE2_38330.4, SHAE2_38330.2
OG0002411	KAK4468652.1	SHAE2_94060.1
OG0002412	KAK4472430.1	SHAE2_31760.1
OG0002413	KAK4468788.1	SHAE2_92500.1
OG0002415	KAK4474976.1	SHAE2_22670.1, SHAE2_22670.2, SHAE2_22670.3, SHAE2_22670.4
OG0002416	KAK4473611.1	SHAE2_43730.4, SHAE2_43730.3, SHAE2_43730.1, SHAE2_43730.2, SHAE2_43730.5
OG0002417	KAK4474808.1	SHAE2_18300.5, SHAE2_18300.6, SHAE2_18300.1, SHAE2_18300.2, SHAE2_18300.3, SHAE2_18300.4
OG0002418	KAK4472382.1	SHAE2_35870.1
OG0002419	KAK4472820.1	SHAE2_30950.2, SHAE2_30950.1, SHAE2_30950.3, SHAE2_30950.4, SHAE2_30950.5
OG0002420	KAK4472363.1	SHAE2_36080.1
OG0002421	KAK4470174.1	SHAE2_76100.1, SHAE2_76100.2, SHAE2_76100.5, SHAE2_76100.4, SHAE2_76100.3
OG0002422	KAK4474164.1	SHAE2_37600.1, SHAE2_37600.2
OG0002423	KAK4470832.1	SHAE2_75000.2, SHAE2_75000.3, SHAE2_75000.1
OG0002425	KAK4474187.1	SHAE2_37360.1, SHAE2_37360.2
OG0002426	KAK4473965.1	SHAE2_39850.1, SHAE2_39850.2
OG0002427	KAK4475994.1	SHAE2_10380.1
OG0002428	KAK4474646.1	SHAE2_14350.1
OG0002429	KAK4473683.1	SHAE2_42890.1, SHAE2_42890.2
OG0002430	KAK4470471.1	SHAE2_78980.1
OG0002431	KAK4473988.1	SHAE2_39590.3, SHAE2_39590.1, SHAE2_39590.2
OG0002432	KAK4471897.1	SHAE2_64810.1
OG0002433	KAK4475085.1	SHAE2_21580.1
OG0002434	KAK4474158.1	SHAE2_37680.1
OG0002435	KAK4472802.1	SHAE2_31010.1, SHAE2_31010.2
OG0002436	KAK4475444.1	SHAE2_24290.3, SHAE2_24290.4, SHAE2_24290.2, SHAE2_24290.1
OG0002437	KAK4469477.1	SHAE2_55940.1, SHAE2_55940.4, SHAE2_55940.3, SHAE2_55940.5, SHAE2_55940.2
OG0002438	KAK4472333.1	SHAE2_36320.4, SHAE2_36320.5, SHAE2_36320.1, SHAE2_36320.2, SHAE2_36320.3
OG0002439	KAK4469502.1	SHAE2_56090.1
OG0002440	KAK4471468.1	SHAE2_73490.6, SHAE2_73490.1, SHAE2_73490.3, SHAE2_73490.4, SHAE2_73490.5, SHAE2_73490.2
OG0002441	KAK4469282.1	SHAE2_52310.1, SHAE2_52310.2
OG0002442	KAK4473493.1	SHAE2_45430.1, SHAE2_45430.2, SHAE2_45430.3
OG0002443	KAK4473569.1	SHAE2_48510.1
OG0002444	KAK4471163.1	SHAE2_61230.1
OG0002445	KAK4471033.1, KAK4471034.1	SHAE2_73510.1, SHAE2_73510.3, SHAE2_73510.4, SHAE2_73510.2
OG0002446	KAK4471713.1	SHAE2_66660.1, SHAE2_66660.3, SHAE2_66660.2
OG0002447	KAK4475948.1	SHAE2_8020.1
OG0002448	KAK4474203.1	SHAE2_34550.1, SHAE2_34550.4, SHAE2_34550.2, SHAE2_34550.3
OG0002449	KAK4475205.1	SHAE2_20460.1
OG0002450	KAK4471224.1	SHAE2_69450.3, SHAE2_69450.2, SHAE2_69450.1, SHAE2_69450.4
