Orthogroup	fasciola_hepatica	trichobilharzia_regenti
OG0002874	FhHiC23_g5390.t2, FhHiC23_g5390.t1	TREG1_41480.1
OG0002875	FhHiC23_g2011.t3, FhHiC23_g2011.t1, FhHiC23_g2011.t2	TREG1_71400.1
OG0002876	FhHiC23_g188.t1, FhHiC23_g188.t2	TREG1_95470.1, TREG1_95480.1
OG0002877	FhHiC23_g8089.t1, FhHiC23_g8090.t1	TREG1_86940.1, TREG1_86940.2, TREG1_86940.3, TREG1_86940.4, TREG1_86940.5, TREG1_86940.6
OG0002878	FhHiC23_g7204.t1	TREG1_79750.1
OG0002879	FhHiC23_g11232.t1, FhHiC23_g11233.t1, FhHiC23_g11232.t2	TREG1_15810.21, TREG1_15810.22, TREG1_15810.24, TREG1_15810.25, TREG1_15870.1, TREG1_15810.23, TREG1_15810.26
OG0002880	FhHiC23_g14996.t1	TREG1_85180.1, TREG1_24810.1, TREG1_24810.2
OG0002881	FhHiC23_g7583.t1	TREG1_81690.2, TREG1_81690.3, TREG1_81690.4, TREG1_81690.5, TREG1_81690.6, TREG1_81690.7, TREG1_81690.1
OG0002882	FhHiC23_g11897.t1, FhHiC23_g11898.t1	TREG1_22770.1, TREG1_22790.1
OG0002883	FhHiC23_g85.t1, FhHiC23_g85.t2	TREG1_19630.1, TREG1_19630.2, TREG1_19630.3, TREG1_19630.4, TREG1_70630.1, TREG1_83000.1
OG0002884	FhHiC23_g7133.t1	TREG1_88830.1
OG0002885	FhHiC23_g1946.t1, FhHiC23_g1946.t2	TREG1_63900.1
OG0002886	FhHiC23_g768.t1, FhHiC23_g768.t2	TREG1_102880.1
OG0002889	FhHiC23_g3622.t1	TREG1_114190.1
OG0002890	FhHiC23_g5088.t2	TREG1_38000.1, TREG1_38000.2
OG0002902	FhHiC23_g5846.t1	TREG1_43820.1
OG0002903	FhHiC23_g2976.t1	TREG1_96970.1, TREG1_96970.2, TREG1_96970.3
OG0002904	FhHiC23_g15693.t2, FhHiC23_g15693.t1	TREG1_26410.3, TREG1_26410.1, TREG1_26410.2, TREG1_26410.5, TREG1_26410.6, TREG1_26410.7, TREG1_26410.8, TREG1_26410.9, TREG1_26410.4
OG0002905	FhHiC23_g7418.t1	TREG1_89410.1
OG0002906	FhHiC23_g5701.t1	TREG1_47090.1, TREG1_47090.2
OG0002907	FhHiC23_g12903.t1	TREG1_19040.1, TREG1_19040.2, TREG1_19040.3, TREG1_19040.4, TREG1_19040.5
OG0002908	FhHiC23_g6811.t1	TREG1_82890.3, TREG1_82890.1, TREG1_82890.2
OG0002909	FhHiC23_g4201.t2, FhHiC23_g4201.t1	TREG1_111310.1
OG0002910	FhHiC23_g15159.t1	TREG1_27380.1
OG0002911	FhHiC23_g15581.t1	TREG1_20900.1
OG0002912	FhHiC23_g7643.t1, FhHiC23_g7643.t2	TREG1_89090.1
OG0002913	FhHiC23_g13543.t1, FhHiC23_g13543.t2	TREG1_12470.1
OG0002914	FhHiC23_g11692.t1, FhHiC23_g11692.t2, FhHiC23_g11691.t1	TREG1_9380.1
OG0002915	FhHiC23_g2463.t1	TREG1_104630.1, TREG1_104630.2
OG0002916	FhHiC23_g11297.t1	TREG1_10510.1, TREG1_10510.2, TREG1_10510.4, TREG1_10510.3
OG0002917	FhHiC23_g11318.t1	TREG1_24500.1
OG0002917	FhHiC23_g10294.t1	TREG1_32230.1
OG0002918	FhHiC23_g4251.t1, FhHiC23_g4251.t2	TREG1_111300.1, TREG1_111300.2
OG0002919	FhHiC23_g16321.t1, FhHiC23_g16322.t1, FhHiC23_g16322.t2, FhHiC23_g16322.t3, FhHiC23_g16322.t4	TREG1_122150.1, TREG1_122160.1
OG0002920	FhHiC23_g14659.t1	TREG1_42530.1, TREG1_42530.2, TREG1_42530.3
OG0002921	FhHiC23_g9310.t1, FhHiC23_g9310.t2	TREG1_132840.3, TREG1_132840.4, TREG1_132840.1, TREG1_132840.2
OG0002922	FhHiC23_g2670.t1	TREG1_106970.1
OG0002923	FhHiC23_g7030.t1	TREG1_83890.1
OG0002924	FhHiC23_g12432.t1, FhHiC23_g12432.t2	TREG1_15350.1, TREG1_15360.1
OG0002925	FhHiC23_g11417.t2, FhHiC23_g11417.t1	TREG1_25680.1
OG0002926	FhHiC23_g5229.t1, FhHiC23_g5230.t1, FhHiC23_g5229.t2	TREG1_47530.2, TREG1_47530.4, TREG1_47530.5, TREG1_47530.6, TREG1_47530.1, TREG1_47530.3, TREG1_47530.7
OG0002927	FhHiC23_g13552.t1, FhHiC23_g13556.t1	TREG1_2100.1
OG0002928	FhHiC23_g2285.t2, FhHiC23_g2285.t1	TREG1_107960.2, TREG1_107960.4, TREG1_107960.3, TREG1_107960.5, TREG1_107970.1
OG0002929	FhHiC23_g15576.t1, FhHiC23_g15576.t2	TREG1_29370.3, TREG1_29370.2, TREG1_29360.1, TREG1_29370.1
OG0002930	FhHiC23_g6393.t1	TREG1_45880.1
OG0002931	FhHiC23_g11585.t1, FhHiC23_g11585.t2	TREG1_9920.6, TREG1_9920.3, TREG1_9920.4, TREG1_9920.7, TREG1_9920.5, TREG1_9920.2, TREG1_9920.1
OG0002932	FhHiC23_g14086.t1	TREG1_31900.1
OG0002933	FhHiC23_g5904.t1, FhHiC23_g5904.t2	TREG1_34790.1, TREG1_34800.1, TREG1_34790.2
OG0002934	FhHiC23_g9846.t1, FhHiC23_g9846.t2	TREG1_130510.1, TREG1_130510.2, TREG1_130510.3
OG0002935	FhHiC23_g7662.t2, FhHiC23_g7662.t1	TREG1_82860.1, TREG1_82850.1
OG0002936	FhHiC23_g350.t1	TREG1_63540.1
OG0002937	FhHiC23_g4800.t1	TREG1_41750.4, TREG1_41750.1, TREG1_41750.3, TREG1_41750.2
OG0002938	FhHiC23_g105.t1	TREG1_68170.1
OG0002939	FhHiC23_g11874.t1, FhHiC23_g11874.t2	TREG1_29540.1
OG0002940	FhHiC23_g1955.t1, FhHiC23_g1955.t4, FhHiC23_g1955.t3	TREG1_64810.1
OG0002941	FhHiC23_g1969.t1	TREG1_77240.1, TREG1_77250.1
OG0002942	FhHiC23_g3045.t1	TREG1_104240.1, TREG1_104220.1, TREG1_104230.1
OG0002943	FhHiC23_g3043.t1	TREG1_104260.1
OG0002944	FhHiC23_g11914.t1	TREG1_13630.4, TREG1_13630.1, TREG1_13630.2, TREG1_13630.3
OG0002945	FhHiC23_g2876.t1	TREG1_105990.1, TREG1_105990.4, TREG1_105990.3, TREG1_105990.2
OG0002947	FhHiC23_g16445.t3, FhHiC23_g16445.t1, FhHiC23_g16445.t2	TREG1_127350.1
OG0002948	FhHiC23_g7907.t1, FhHiC23_g7907.t2	TREG1_81390.1
OG0002949	FhHiC23_g6272.t1, FhHiC23_g6272.t2	TREG1_32930.1, TREG1_53760.1
OG0002950	FhHiC23_g1361.t1	TREG1_97980.1, TREG1_97980.2, TREG1_97980.3
OG0002951	FhHiC23_g5346.t1	TREG1_33030.1
OG0002952	FhHiC23_g752.t1, FhHiC23_g752.t2	TREG1_75000.1, TREG1_75010.1, TREG1_75010.2, TREG1_75010.3, TREG1_75010.4
OG0002953	FhHiC23_g12035.t1	TREG1_3010.1
OG0002954	FhHiC23_g7064.t1, FhHiC23_g7064.t2	TREG1_79650.4, TREG1_79650.1, TREG1_79650.2, TREG1_79650.3, TREG1_79650.5, TREG1_79650.6, TREG1_79650.7, TREG1_79650.8, TREG1_79650.9
OG0002955	FhHiC23_g2790.t1, FhHiC23_g2789.t1	TREG1_106670.1
OG0002956	FhHiC23_g9232.t2, FhHiC23_g9232.t1	TREG1_134370.1, TREG1_134370.2, TREG1_134370.3
OG0002957	FhHiC23_g167.t1	TREG1_96720.1
OG0002958	FhHiC23_g7660.t1	TREG1_90850.1, TREG1_90850.2, TREG1_90850.3
OG0002959	FhHiC23_g16027.t1	TREG1_119830.1, TREG1_119830.2
OG0002960	FhHiC23_g1007.t1, FhHiC23_g1007.t2	TREG1_70930.1, TREG1_70930.2
OG0002961	FhHiC23_g15700.t1, FhHiC23_g15700.t2	TREG1_21530.1, TREG1_21530.2, TREG1_21530.3, TREG1_21530.4
OG0002962	FhHiC23_g7360.t1	TREG1_89380.2, TREG1_89380.4, TREG1_89380.1, TREG1_89380.3
OG0002963	FhHiC23_g13460.t1, FhHiC23_g13459.t1	TREG1_15620.1
OG0002964	FhHiC23_g10160.t2, FhHiC23_g10160.t1	TREG1_31510.1, TREG1_31510.4, TREG1_31510.2, TREG1_31510.3
OG0002965	FhHiC23_g1611.t1	TREG1_74260.1
OG0002966	FhHiC23_g14418.t1, FhHiC23_g14418.t2	TREG1_34630.2, TREG1_34630.3, TREG1_34630.1, TREG1_34630.4
OG0002967	FhHiC23_g7903.t1	TREG1_86580.1
OG0002968	FhHiC23_g11770.t2, FhHiC23_g11770.t1	TREG1_21240.1, TREG1_21240.3, TREG1_21240.4, TREG1_21240.2, TREG1_21240.5
OG0002969	FhHiC23_g528.t1	TREG1_70240.1, TREG1_70230.1
OG0002970	FhHiC23_g10995.t1	TREG1_18710.1, TREG1_18710.2
OG0002971	FhHiC23_g6854.t1	TREG1_89130.1
OG0002972	FhHiC23_g7678.t1	TREG1_84410.1
OG0002973	FhHiC23_g1606.t1	TREG1_66240.1
OG0002974	FhHiC23_g5575.t1, FhHiC23_g5575.t2	TREG1_47570.1, TREG1_47570.2
OG0002975	FhHiC23_g14863.t1	TREG1_55510.1, TREG1_55510.2
OG0002976	FhHiC23_g7635.t1, FhHiC23_g7636.t1	TREG1_87550.3, TREG1_87550.1, TREG1_87550.2, TREG1_87550.4, TREG1_87550.5
OG0002978	FhHiC23_g9329.t1	TREG1_24140.1, TREG1_24140.2, TREG1_24140.3
OG0002979	FhHiC23_g15224.t1	TREG1_24230.1, TREG1_24220.1
OG0002980	FhHiC23_g6345.t1	TREG1_46340.1, TREG1_46350.1
OG0002981	FhHiC23_g2590.t1, FhHiC23_g2589.t1	TREG1_105250.1
OG0002982	FhHiC23_g385.t1, FhHiC23_g385.t2	TREG1_61920.1
OG0002983	FhHiC23_g9279.t1, FhHiC23_g9279.t2	TREG1_58620.1, TREG1_58620.3, TREG1_58620.5, TREG1_58620.2, TREG1_58620.4
OG0002984	FhHiC23_g10978.t1	TREG1_6620.1
OG0002985	FhHiC23_g12581.t1	TREG1_1430.1
OG0002986	FhHiC23_g11945.t1, FhHiC23_g11945.t2, FhHiC23_g11945.t3, FhHiC23_g11951.t1	TREG1_29920.4, TREG1_29920.2, TREG1_29920.1, TREG1_29920.3
OG0002988	FhHiC23_g9926.t1	TREG1_130770.1, TREG1_130770.2, TREG1_130770.3, TREG1_130770.4, TREG1_130770.5
OG0002989	FhHiC23_g1397.t1	TREG1_71650.1, TREG1_71660.3, TREG1_71660.1, TREG1_71660.2, TREG1_71640.1
OG0002990	FhHiC23_g3880.t1	TREG1_139220.1, TREG1_7010.1, TREG1_111050.1, TREG1_139210.1
OG0002991	FhHiC23_g15828.t1	TREG1_41800.1
OG0002992	FhHiC23_g3366.t1	TREG1_98490.1, TREG1_98490.2
OG0002993	FhHiC23_g3621.t1, FhHiC23_g3920.t1, FhHiC23_g3920.t2, FhHiC23_g3920.t3	TREG1_112320.1, TREG1_112330.1
OG0002994	FhHiC23_g15593.t1, FhHiC23_g15593.t2	TREG1_22680.1, TREG1_22690.1
OG0002995	FhHiC23_g4350.t2, FhHiC23_g4350.t1	TREG1_129150.1, TREG1_129150.2, TREG1_129150.3
OG0002996	FhHiC23_g12190.t1	TREG1_24460.1, TREG1_24460.2
OG0002997	FhHiC23_g5621.t1, FhHiC23_g5621.t2	TREG1_50700.2, TREG1_50700.3, TREG1_50700.1, TREG1_50700.4
OG0002998	FhHiC23_g14661.t1, FhHiC23_g14661.t2, FhHiC23_g14661.t3	TREG1_30690.1
OG0002999	FhHiC23_g8023.t1	TREG1_31850.1, TREG1_85310.1
OG0003000	FhHiC23_g10461.t1	TREG1_33470.1, TREG1_33470.2
OG0003001	FhHiC23_g9472.t1	TREG1_33540.3, TREG1_33540.1, TREG1_33540.2, TREG1_33430.1, TREG1_33540.4
OG0003002	FhHiC23_g11344.t1	TREG1_15010.1
OG0003003	FhHiC23_g9354.t1	TREG1_132550.1
OG0003004	FhHiC23_g3128.t1	TREG1_103810.1
OG0003005	FhHiC23_g63.t2, FhHiC23_g63.t1, FhHiC23_g63.t4, FhHiC23_g63.t3	TREG1_68940.2, TREG1_68940.4, TREG1_68940.1, TREG1_68940.3
OG0003006	FhHiC23_g3666.t1	TREG1_114320.1
OG0003007	FhHiC23_g8319.t1	TREG1_91730.1
OG0003008	FhHiC23_g5423.t1	TREG1_57830.2, TREG1_57830.1, TREG1_57830.3, TREG1_57830.4, TREG1_57830.5
OG0003009	FhHiC23_g11072.t1	TREG1_6050.1, TREG1_6050.2
OG0003010	FhHiC23_g3074.t1, FhHiC23_g3077.t1, FhHiC23_g3078.t1	TREG1_95200.1
OG0003011	FhHiC23_g5361.t1, FhHiC23_g5362.t1	TREG1_49010.1
OG0003012	FhHiC23_g7680.t2, FhHiC23_g7680.t1, FhHiC23_g7680.t3	TREG1_87760.5, TREG1_87760.6, TREG1_87760.3, TREG1_87760.4, TREG1_87760.1, TREG1_87760.2
OG0003013	FhHiC23_g2949.t3, FhHiC23_g2949.t1, FhHiC23_g2949.t2	TREG1_101500.1, TREG1_101500.2, TREG1_101500.3
OG0003014	FhHiC23_g4276.t1	TREG1_63780.1, TREG1_63790.1
OG0003015	FhHiC23_g6210.t1, FhHiC23_g6210.t2	TREG1_57710.1
OG0003016	FhHiC23_g336.t1	TREG1_98760.1
OG0003017	FhHiC23_g3198.t1	TREG1_76370.1
OG0003018	FhHiC23_g9189.t2, FhHiC23_g9189.t1	TREG1_132930.1, TREG1_132930.2
OG0003019	FhHiC23_g465.t1	TREG1_99090.1, TREG1_99090.3, TREG1_99090.4, TREG1_99090.5, TREG1_99090.2
OG0003020	FhHiC23_g4979.t1, FhHiC23_g4979.t2	TREG1_45430.1, TREG1_45430.2
OG0003021	FhHiC23_g3494.t1, FhHiC23_g3494.t2, FhHiC23_g3494.t3	TREG1_110640.1, TREG1_110620.1, TREG1_110650.1
OG0003022	FhHiC23_g10203.t1	TREG1_54680.1
OG0003023	FhHiC23_g3863.t2, FhHiC23_g3863.t1	TREG1_110770.1, TREG1_110770.2, TREG1_110780.1
OG0003024	FhHiC23_g895.t2, FhHiC23_g895.t1	TREG1_108660.1
OG0003025	FhHiC23_g14779.t1	TREG1_52890.1, TREG1_52890.2
OG0003026	FhHiC23_g6591.t1	TREG1_53110.1, TREG1_53110.2, TREG1_53110.3
OG0003027	FhHiC23_g11790.t1	TREG1_55360.5, TREG1_55360.1, TREG1_55360.3, TREG1_55360.4, TREG1_55360.2
OG0003028	FhHiC23_g11659.t1, FhHiC23_g11659.t2	TREG1_1720.1
OG0003029	FhHiC23_g3552.t1	TREG1_112920.1, TREG1_112920.2
OG0003030	FhHiC23_g10622.t1, FhHiC23_g10622.t2	TREG1_15070.1, TREG1_15080.1
OG0003031	FhHiC23_g2342.t1, FhHiC23_g6847.t1	TREG1_81820.2, TREG1_81820.1, TREG1_81820.3, TREG1_81820.4
OG0003032	FhHiC23_g7528.t1	TREG1_81500.1
OG0003033	FhHiC23_g1856.t1	TREG1_71850.1, TREG1_71840.1
OG0003034	FhHiC23_g3628.t1	TREG1_117800.1
OG0003036	FhHiC23_g4272.t1	TREG1_110270.1
OG0003037	FhHiC23_g2547.t1	TREG1_101240.1
OG0003038	FhHiC23_g12488.t1, FhHiC23_g2051.t3, FhHiC23_g2051.t4, FhHiC23_g2052.t1, FhHiC23_g2051.t1, FhHiC23_g2051.t2	TREG1_70110.1, TREG1_70220.1, TREG1_70220.2
OG0003039	FhHiC23_g2084.t1	TREG1_62870.1
OG0003040	FhHiC23_g6356.t1	TREG1_47660.1, TREG1_47660.2, TREG1_47660.3, TREG1_47650.1
OG0003041	FhHiC23_g5007.t1, FhHiC23_g5007.t2	TREG1_51360.1
OG0003042	FhHiC23_g3426.t1, FhHiC23_g14349.t2, FhHiC23_g14349.t1	TREG1_56800.1
OG0003043	FhHiC23_g196.t1	TREG1_64010.1, TREG1_63990.1
OG0003044	FhHiC23_g12704.t1	TREG1_34530.1, TREG1_7400.1
OG0003045	FhHiC23_g2190.t1	TREG1_69760.1, TREG1_69760.2, TREG1_69760.11, TREG1_69760.13, TREG1_69760.6, TREG1_69760.10, TREG1_69760.12, TREG1_69760.14, TREG1_69760.4, TREG1_69760.5, TREG1_69760.7, TREG1_69760.8, TREG1_69760.9, TREG1_69760.3
OG0003046	FhHiC23_g2191.t1	TREG1_69750.1, TREG1_69750.2
OG0003047	FhHiC23_g11034.t1	TREG1_20260.3, TREG1_20260.1, TREG1_20260.2
OG0003048	FhHiC23_g3062.t1	TREG1_61360.1, TREG1_61360.2
OG0003049	FhHiC23_g3061.t1, FhHiC23_g3061.t2	TREG1_61370.1, TREG1_61370.2
OG0003050	FhHiC23_g2797.t1	TREG1_104400.1, TREG1_104400.2
OG0003051	FhHiC23_g5058.t1	TREG1_60340.1
OG0003052	FhHiC23_g8350.t1	TREG1_89000.1
OG0003053	FhHiC23_g9803.t1, FhHiC23_g9803.t2	TREG1_38440.1
OG0003054	FhHiC23_g13290.t1	TREG1_11220.3, TREG1_11220.1, TREG1_11220.2
OG0003056	FhHiC23_g12585.t1	TREG1_11030.1
OG0003057	FhHiC23_g7397.t1	TREG1_87700.1, TREG1_87700.2
OG0003058	FhHiC23_g16089.t1	TREG1_128100.1, TREG1_128100.2, TREG1_128100.3, TREG1_128100.4, TREG1_128100.5
OG0003059	FhHiC23_g14069.t1	TREG1_44240.1
OG0003060	FhHiC23_g1376.t1	TREG1_66600.1
OG0003061	FhHiC23_g3502.t1	TREG1_114010.1
OG0003062	FhHiC23_g15991.t1	TREG1_127720.1, TREG1_127780.1
OG0003063	FhHiC23_g11667.t1	TREG1_16730.1
OG0003064	FhHiC23_g13269.t1, FhHiC23_g13269.t2	TREG1_3970.1, TREG1_3970.3, TREG1_3970.2, TREG1_3970.4
OG0003065	FhHiC23_g14953.t1	TREG1_142140.1, TREG1_27410.2, TREG1_27410.1, TREG1_27410.3
OG0003066	FhHiC23_g9211.t1, FhHiC23_g9211.t2	TREG1_131470.1, TREG1_131470.2, TREG1_131470.4, TREG1_131470.6, TREG1_131470.3, TREG1_131470.5
OG0003067	FhHiC23_g9045.t2, FhHiC23_g9045.t1	TREG1_54630.1, TREG1_54630.5, TREG1_54630.7, TREG1_54630.3, TREG1_54630.4, TREG1_54630.2, TREG1_54630.6
OG0003068	FhHiC23_g2504.t1	TREG1_105230.1, TREG1_105230.2
OG0003069	FhHiC23_g1548.t1	TREG1_95960.1
OG0003070	FhHiC23_g6423.t1	TREG1_36640.1, TREG1_36640.2
OG0003071	FhHiC23_g6782.t1	TREG1_83980.1
OG0003072	FhHiC23_g2526.t1	TREG1_101260.1
OG0003073	FhHiC23_g8254.t1	TREG1_88680.1
OG0003074	FhHiC23_g7265.t1, FhHiC23_g7265.t2	TREG1_78350.1, TREG1_78350.2, TREG1_78350.3, TREG1_78350.4, TREG1_78350.5
OG0003075	FhHiC23_g7706.t1, FhHiC23_g7706.t2	TREG1_77770.1
OG0003076	FhHiC23_g7108.t1, FhHiC23_g7108.t2	TREG1_77840.1
OG0003077	FhHiC23_g2415.t1	TREG1_99050.1, TREG1_99050.2
OG0003079	FhHiC23_g1993.t1	TREG1_73860.1, TREG1_73860.2, TREG1_73860.3
OG0003080	FhHiC23_g10859.t1	TREG1_25540.1
OG0003081	FhHiC23_g11699.t1	TREG1_25770.1, TREG1_33630.1, TREG1_33620.1
OG0003082	FhHiC23_g1200.t1	TREG1_76720.1
OG0003083	FhHiC23_g2579.t1, FhHiC23_g2579.t2	TREG1_109630.1
OG0003084	FhHiC23_g588.t1	TREG1_105720.1, TREG1_105720.2, TREG1_105720.3, TREG1_105720.4
OG0003085	FhHiC23_g6315.t1	TREG1_37160.1
OG0003086	FhHiC23_g7793.t1, FhHiC23_g7793.t2	TREG1_82070.1, TREG1_82070.2, TREG1_82070.3
OG0003087	FhHiC23_g9838.t1, FhHiC23_g9838.t2	TREG1_134640.1
OG0003107	FhHiC23_g2181.t1, FhHiC23_g2181.t2	TREG1_75300.1, TREG1_75300.2, TREG1_75300.3
OG0003108	FhHiC23_g9694.t3, FhHiC23_g9694.t1, FhHiC23_g9694.t2	TREG1_38810.1, TREG1_38800.1
OG0003109	FhHiC23_g15431.t1, FhHiC23_g15431.t2	TREG1_20030.1
OG0003110	FhHiC23_g12147.t1	TREG1_14030.2, TREG1_14030.1, TREG1_13980.1, TREG1_13980.2, TREG1_13980.3, TREG1_14010.1, TREG1_14010.3, TREG1_14010.4, TREG1_14010.2, TREG1_14010.5, TREG1_14010.6
OG0003111	FhHiC23_g2993.t1	TREG1_103310.1, TREG1_103320.1
OG0003112	FhHiC23_g7744.t1	TREG1_91820.1
OG0003114	FhHiC23_g16550.t1	TREG1_119860.1
OG0003115	FhHiC23_g2850.t1	TREG1_106720.3, TREG1_106720.2, TREG1_106720.1
OG0003116	FhHiC23_g6893.t1, FhHiC23_g6894.t1	TREG1_124110.1, TREG1_124120.1
OG0003117	FhHiC23_g15162.t1, FhHiC23_g15162.t2	TREG1_21230.1, TREG1_21230.2, TREG1_21230.3
OG0003118	FhHiC23_g14709.t1, FhHiC23_g14709.t2	TREG1_57070.1, TREG1_57080.1
OG0003119	FhHiC23_g5747.t1, FhHiC23_g5747.t2	TREG1_53210.1
OG0003120	FhHiC23_g1334.t1	TREG1_103190.1
OG0003121	FhHiC23_g13535.t1, FhHiC23_g13535.t2	TREG1_4740.1, TREG1_4740.2, TREG1_4740.3, TREG1_4740.4, TREG1_4740.5, TREG1_4740.6
OG0003122	FhHiC23_g13541.t1, FhHiC23_g13541.t2	TREG1_600.1
OG0003123	FhHiC23_g8009.t1	TREG1_113620.1, TREG1_113580.1
OG0003124	FhHiC23_g16671.t1	TREG1_124860.1
OG0003125	FhHiC23_g1543.t1	TREG1_102920.1, TREG1_102920.2
OG0003126	FhHiC23_g15380.t1, FhHiC23_g15380.t2	TREG1_21510.4, TREG1_21510.5, TREG1_21510.1, TREG1_21510.2, TREG1_21510.3
OG0003127	FhHiC23_g16147.t1, FhHiC23_g16147.t2	TREG1_121820.1
OG0003128	FhHiC23_g4221.t1	TREG1_110930.1, TREG1_110930.2
OG0003130	FhHiC23_g10474.t1, FhHiC23_g9568.t2, FhHiC23_g9568.t1	TREG1_37620.1, TREG1_37620.4, TREG1_37620.2, TREG1_37620.3
OG0003131	FhHiC23_g2845.t1	TREG1_139830.1, TREG1_104870.1, TREG1_139820.1, TREG1_139820.2
OG0003132	FhHiC23_g10395.t2, FhHiC23_g10395.t1	TREG1_37570.1, TREG1_37570.2, TREG1_37570.3
OG0003133	FhHiC23_g6837.t1	TREG1_81610.1
OG0003134	FhHiC23_g3798.t1, FhHiC23_g3798.t2	TREG1_113920.6, TREG1_113920.5, TREG1_113920.1, TREG1_113920.2, TREG1_113920.3, TREG1_113920.4
OG0003136	FhHiC23_g13636.t1	TREG1_2010.1
OG0003137	FhHiC23_g10806.t1, FhHiC23_g4159.t1	TREG1_111930.1, TREG1_111940.1, TREG1_111920.1, TREG1_111910.1, TREG1_111920.2, TREG1_111920.3
OG0003138	FhHiC23_g16561.t1	TREG1_120710.1, TREG1_120710.2, TREG1_120710.3, TREG1_120710.4
OG0003139	FhHiC23_g1398.t1, FhHiC23_g1398.t3, FhHiC23_g1398.t2	TREG1_71670.1, TREG1_71670.2
OG0003141	FhHiC23_g7858.t2, FhHiC23_g7858.t1	TREG1_87780.1
OG0003142	FhHiC23_g2954.t1, FhHiC23_g2442.t1	TREG1_104730.1
OG0003143	FhHiC23_g3107.t1, FhHiC23_g3107.t2	TREG1_101980.1, TREG1_101980.2
OG0003144	FhHiC23_g5308.t1, FhHiC23_g5308.t2	TREG1_43740.1
OG0003145	FhHiC23_g15587.t1	TREG1_22470.3, TREG1_22470.1, TREG1_22470.2
OG0003146	FhHiC23_g15582.t1	TREG1_89040.1
OG0003147	FhHiC23_g14888.t1, FhHiC23_g14888.t2, FhHiC23_g122.t1	TREG1_72540.1, TREG1_72540.2
OG0003148	FhHiC23_g9444.t1	TREG1_131210.2, TREG1_131210.1, TREG1_131210.3, TREG1_131210.4
OG0003149	FhHiC23_g1417.t1	TREG1_76400.1
OG0003150	FhHiC23_g1170.t1	TREG1_108390.1
OG0003151	FhHiC23_g965.t2, FhHiC23_g965.t1	TREG1_61970.1
OG0003152	FhHiC23_g6043.t1	TREG1_47330.1, TREG1_47330.2, TREG1_47330.3, TREG1_47330.4, TREG1_47330.5
OG0003153	FhHiC23_g2885.t1, FhHiC23_g2885.t2	TREG1_106820.1, TREG1_106820.2, TREG1_106820.3
OG0003154	FhHiC23_g14849.t1, FhHiC23_g14850.t1	TREG1_52560.1, TREG1_52550.1, TREG1_52550.2
OG0003155	FhHiC23_g2750.t1	TREG1_92730.1, TREG1_95670.1
OG0003156	FhHiC23_g14816.t1, FhHiC23_g14816.t2	TREG1_45900.2, TREG1_45900.3, TREG1_45900.4, TREG1_45900.5, TREG1_45900.6, TREG1_45900.1, TREG1_45900.7
OG0003157	FhHiC23_g1714.t2, FhHiC23_g1714.t1	TREG1_37930.1, TREG1_73050.1, TREG1_73050.2, TREG1_73050.3
OG0003158	FhHiC23_g16029.t1	TREG1_126130.1
OG0003159	FhHiC23_g11497.t1, FhHiC23_g16508.t1, FhHiC23_g1308.t1	TREG1_74410.1, TREG1_74410.2, TREG1_74410.3
OG0003161	FhHiC23_g1803.t1	TREG1_72200.1, TREG1_72210.1, TREG1_43750.1
OG0003162	FhHiC23_g13473.t1	TREG1_17120.1, TREG1_17130.1
OG0003163	FhHiC23_g12522.t1, FhHiC23_g12522.t2	TREG1_118800.1, TREG1_96400.1, TREG1_4750.1, TREG1_4750.2
OG0003164	FhHiC23_g5564.t1	TREG1_44650.1, TREG1_44650.2
OG0003165	FhHiC23_g1513.t1	TREG1_141720.1, TREG1_104890.4, TREG1_104890.7, TREG1_104890.1, TREG1_104890.6, TREG1_104890.12, TREG1_104890.2, TREG1_104890.9, TREG1_104890.11, TREG1_104890.8, TREG1_104890.3, TREG1_104890.5, TREG1_104890.10
OG0003166	FhHiC23_g1754.t1	TREG1_76280.8, TREG1_76280.7, TREG1_76280.9, TREG1_76280.12, TREG1_76280.11, TREG1_76280.10, TREG1_76280.1, TREG1_76280.2, TREG1_76280.3, TREG1_76280.4, TREG1_76280.5, TREG1_76280.6
OG0003167	FhHiC23_g9337.t1	TREG1_132390.1
OG0003168	FhHiC23_g8029.t1, FhHiC23_g6975.t1	TREG1_81980.1
OG0003170	FhHiC23_g11476.t1	TREG1_19340.1, TREG1_19340.2, TREG1_18590.1
OG0003171	FhHiC23_g612.t2, FhHiC23_g612.t1	TREG1_100860.1, TREG1_100860.2, TREG1_100860.3
OG0003172	FhHiC23_g15613.t1	TREG1_23950.1, TREG1_23950.2
OG0003173	FhHiC23_g5045.t1, FhHiC23_g5045.t2, FhHiC23_g5045.t3	TREG1_55230.1
OG0003174	FhHiC23_g10671.t2, FhHiC23_g10671.t1	TREG1_100030.1
OG0003175	FhHiC23_g9981.t1	TREG1_133360.1
OG0003176	FhHiC23_g1350.t3, FhHiC23_g1350.t1, FhHiC23_g1350.t4, FhHiC23_g1350.t2	TREG1_99280.1
OG0003177	FhHiC23_g8977.t3, FhHiC23_g8977.t1, FhHiC23_g8977.t2	TREG1_38290.1, TREG1_38290.2, TREG1_38290.4, TREG1_38290.5, TREG1_38290.6, TREG1_38290.3
OG0003178	FhHiC23_g6573.t1	TREG1_44600.1
