Orthogroup	opisthorchis_viverrini	trichobilharzia_regenti
OG0002764	T265_08194, T265_02184, T265_02185	TREG1_46880.1
OG0002765	T265_05839	TREG1_93870.1, TREG1_93860.1, TREG1_93800.1, TREG1_93790.1, TREG1_93890.1
OG0002766	T265_00330	TREG1_96310.1
OG0002767	T265_06760	TREG1_71590.1, TREG1_71590.2
OG0002768	T265_10258, T265_16169	TREG1_3650.1, TREG1_94780.1, TREG1_94780.2, TREG1_94780.3, TREG1_94780.4, TREG1_94780.6, TREG1_94780.7, TREG1_94780.5
OG0002769	T265_01046	TREG1_43430.1
OG0002771	T265_08021, T265_08022	TREG1_58080.1, TREG1_58070.1, TREG1_58070.2, TREG1_58060.1, TREG1_58060.2
OG0002773	T265_07914	TREG1_118110.1
OG0002774	T265_05258	TREG1_460.1
OG0002776	T265_11356	TREG1_99000.1
OG0002777	T265_05823	TREG1_105140.1, TREG1_105140.4, TREG1_105140.2, TREG1_105140.3
OG0002778	T265_09444	TREG1_135670.1
OG0002779	T265_14542	TREG1_34450.10, TREG1_34450.8, TREG1_34450.9, TREG1_34450.11, TREG1_34450.7, TREG1_34450.1, TREG1_34450.2, TREG1_34450.5, TREG1_34450.6, TREG1_34450.3, TREG1_34450.4
OG0002781	T265_07481	TREG1_59390.1, TREG1_59390.2
OG0002782	T265_12327, T265_10961, T265_01932	TREG1_109080.2, TREG1_109080.1, TREG1_109080.3, TREG1_109100.1, TREG1_109100.2
OG0002783	T265_00286	TREG1_73390.3, TREG1_73390.1, TREG1_73390.2
OG0002784	T265_01050	TREG1_43410.1, TREG1_43420.1
OG0002785	T265_13376	TREG1_99910.2, TREG1_99910.3, TREG1_99910.1, TREG1_99910.4
OG0002786	T265_13497	TREG1_16560.1, TREG1_16560.4, TREG1_16560.5, TREG1_16560.2, TREG1_16560.3
OG0002787	T265_03074	TREG1_26330.1
OG0002788	T265_01005	TREG1_9700.1, TREG1_9700.2
OG0002789	T265_08482	TREG1_21390.1, TREG1_21390.2, TREG1_21390.3
OG0002790	T265_02675	TREG1_106980.5, TREG1_106980.1, TREG1_106980.2, TREG1_106980.3, TREG1_106980.4
OG0002791	T265_06735	TREG1_12910.1
OG0002792	T265_06771	TREG1_74270.3, TREG1_74270.4, TREG1_74270.1, TREG1_74270.2
OG0002793	T265_04394	TREG1_20690.1
OG0002794	T265_15249, T265_15899	TREG1_132540.1
OG0002795	T265_07477	TREG1_38550.1, TREG1_38550.2
OG0002796	T265_13167	TREG1_24690.1, TREG1_24690.2, TREG1_24690.3, TREG1_24690.4, TREG1_24690.5
OG0002797	T265_04341	TREG1_58420.1
OG0002798	T265_13131	TREG1_101400.1
OG0002799	T265_07700, T265_14359, T265_14358	TREG1_110790.1, TREG1_110800.1
OG0002800	T265_14735	TREG1_107630.5, TREG1_107620.1, TREG1_107630.1, TREG1_107630.2
OG0002802	T265_07569	TREG1_119060.1
OG0002803	T265_03781	TREG1_60510.1
OG0002804	T265_13660	TREG1_45100.1
OG0002805	T265_12771	TREG1_138890.1, TREG1_75250.1
OG0002806	T265_15954, T265_07440, T265_16235	TREG1_95350.1, TREG1_95350.2, TREG1_95350.3
OG0002807	T265_06189	TREG1_24880.1
OG0002808	T265_04515	TREG1_91770.1
OG0002809	T265_12974	TREG1_113630.3, TREG1_113630.1, TREG1_113630.2
OG0002810	T265_06252	TREG1_57340.6, TREG1_57340.1, TREG1_57340.3, TREG1_57340.5, TREG1_57340.4, TREG1_57340.2
OG0002811	T265_10010	TREG1_27450.1
OG0002812	T265_04204, T265_13449	TREG1_143810.1, TREG1_1910.1
OG0002814	T265_05382	TREG1_60000.1, TREG1_89420.1
OG0002816	T265_08032	TREG1_15090.1, TREG1_15090.2
OG0002817	T265_04006	TREG1_47420.1, TREG1_47420.2, TREG1_47420.4, TREG1_47420.3
OG0002818	T265_08927, T265_01280	TREG1_103000.1
OG0002819	T265_09770	TREG1_98950.1, TREG1_92600.1, TREG1_92600.2, TREG1_92600.3, TREG1_92600.4, TREG1_92600.5
OG0002820	T265_02159	TREG1_107340.3, TREG1_107340.1, TREG1_107340.2
OG0002821	T265_03347	TREG1_180.1
OG0002822	T265_07965	TREG1_139510.1, TREG1_139520.1
OG0002823	T265_05525	TREG1_20990.1, TREG1_20960.3, TREG1_20960.5, TREG1_20960.2, TREG1_20960.1, TREG1_20960.4
OG0002824	T265_10376	TREG1_9930.1
OG0002825	T265_07639	TREG1_70970.1, TREG1_70970.2, TREG1_70970.3
OG0002826	T265_11221	TREG1_57180.1
OG0002827	T265_03736	TREG1_58800.1
OG0002828	T265_09896	TREG1_37300.1, TREG1_37290.1, TREG1_37280.1, TREG1_37280.2
OG0002829	T265_06804	TREG1_84020.1
OG0002830	T265_15416	TREG1_60040.1
OG0002831	T265_06375	TREG1_17650.1, TREG1_17650.2, TREG1_17650.3, TREG1_17650.4, TREG1_17650.5, TREG1_17650.6, TREG1_17650.7, TREG1_17650.8
OG0002832	T265_03399	TREG1_111280.1, TREG1_111280.2, TREG1_111280.3
OG0002834	T265_11271	TREG1_4350.1
OG0002835	T265_04910	TREG1_124750.1, TREG1_124750.6, TREG1_124750.3, TREG1_124750.2, TREG1_124750.4, TREG1_124750.5, TREG1_124750.7, TREG1_124750.8, TREG1_124750.9
OG0002836	T265_03775	TREG1_35230.1
OG0002837	T265_03657	TREG1_17660.1
OG0002838	T265_11730	TREG1_6580.1, TREG1_6580.2, TREG1_6580.3
OG0002839	T265_00320	TREG1_103630.1, TREG1_103630.2
OG0002840	T265_13355	TREG1_124880.1
OG0002841	T265_10889	TREG1_76610.1
OG0002842	T265_12366, T265_08849, T265_15989	TREG1_103290.1
OG0002844	T265_14223, T265_05563	TREG1_92300.1
OG0002845	T265_13463	TREG1_6760.1, TREG1_6760.2
OG0002846	T265_16173, T265_06179	TREG1_30160.1
OG0002847	T265_00612	TREG1_79270.1, TREG1_79270.2
OG0002848	T265_14189, T265_08788	TREG1_86560.1
OG0002849	T265_06370	TREG1_17970.1, TREG1_17970.2, TREG1_17970.3, TREG1_17970.4
OG0002851	T265_12159, T265_14456, T265_08013	TREG1_125820.1
OG0002852	T265_10322	TREG1_17850.1
OG0002853	T265_09115	TREG1_100900.1
OG0002854	T265_02955, T265_13136	TREG1_55530.6, TREG1_55530.1, TREG1_55530.2, TREG1_55530.3, TREG1_55530.4, TREG1_55530.5
OG0002855	T265_08034	TREG1_23240.1, TREG1_23240.4, TREG1_23240.2, TREG1_23240.3
OG0002856	T265_06755	TREG1_70890.1, TREG1_73450.1
OG0002857	T265_01821, T265_01444	TREG1_83540.1
OG0002858	T265_01858	TREG1_2790.3, TREG1_2790.4
OG0002859	T265_02034	TREG1_87060.1, TREG1_87060.2
OG0002860	T265_14764	TREG1_100850.1
OG0002861	T265_08733, T265_14653	TREG1_121420.6, TREG1_121420.3, TREG1_121420.1, TREG1_121420.2, TREG1_121420.5, TREG1_121420.4
OG0002863	T265_16256, T265_04944	TREG1_10560.1
OG0002864	T265_13279	TREG1_71510.1
OG0002866	T265_05742, T265_08029, T265_14459, T265_14460	TREG1_43970.1, TREG1_43980.1
OG0002867	T265_14794	TREG1_800.1, TREG1_840.1
OG0002868	T265_04776, T265_04777	TREG1_120610.1
OG0002869	T265_02470	TREG1_10150.2, TREG1_10150.3, TREG1_10150.4, TREG1_10150.5, TREG1_10150.1, TREG1_10150.6, TREG1_10150.7, TREG1_10150.8
OG0002870	T265_02369	TREG1_67380.1
OG0002871	T265_05892	TREG1_36030.1
OG0002872	T265_06839	TREG1_66160.1, TREG1_66160.2, TREG1_66160.6, TREG1_66160.7, TREG1_66160.4, TREG1_66160.5, TREG1_66160.3
OG0002873	T265_05961	TREG1_128400.1
OG0002874	T265_13044	TREG1_41480.1
OG0002875	T265_08601	TREG1_71400.1
OG0002876	T265_09158	TREG1_95470.1, TREG1_95480.1
OG0002877	T265_15585	TREG1_86940.1, TREG1_86940.2, TREG1_86940.3, TREG1_86940.4, TREG1_86940.5, TREG1_86940.6
OG0002878	T265_09786	TREG1_79750.1
OG0002879	T265_00994	TREG1_15810.21, TREG1_15810.22, TREG1_15810.24, TREG1_15810.25, TREG1_15870.1, TREG1_15810.23, TREG1_15810.26
OG0002880	T265_15974, T265_16333, T265_16372	TREG1_85180.1, TREG1_24810.1, TREG1_24810.2
OG0002881	T265_03918	TREG1_81690.2, TREG1_81690.3, TREG1_81690.4, TREG1_81690.5, TREG1_81690.6, TREG1_81690.7, TREG1_81690.1
OG0002882	T265_08367, T265_08365, T265_08366	TREG1_22770.1, TREG1_22790.1
OG0002883	T265_00123	TREG1_19630.1, TREG1_19630.2, TREG1_19630.3, TREG1_19630.4, TREG1_70630.1, TREG1_83000.1
OG0002884	T265_01404	TREG1_88830.1
OG0002885	T265_03301, T265_03258	TREG1_63900.1
OG0002886	T265_00431	TREG1_102880.1
OG0002889	T265_09957	TREG1_114190.1
OG0002890	T265_15384	TREG1_38000.1, TREG1_38000.2
OG0002892	T265_12956	TREG1_105580.1
OG0002893	T265_13538	TREG1_72420.1, TREG1_144340.1, TREG1_145370.4, TREG1_145370.2, TREG1_145370.1, TREG1_145370.3, TREG1_145370.5
OG0002902	T265_10089	TREG1_43820.1
OG0002903	T265_01720, T265_16142, T265_15992	TREG1_96970.1, TREG1_96970.2, TREG1_96970.3
OG0002904	T265_00938, T265_12671, T265_16281	TREG1_26410.3, TREG1_26410.1, TREG1_26410.2, TREG1_26410.5, TREG1_26410.6, TREG1_26410.7, TREG1_26410.8, TREG1_26410.9, TREG1_26410.4
OG0002905	T265_13028, T265_02524	TREG1_89410.1
OG0002906	T265_10987	TREG1_47090.1, TREG1_47090.2
OG0002907	T265_00957	TREG1_19040.1, TREG1_19040.2, TREG1_19040.3, TREG1_19040.4, TREG1_19040.5
OG0002908	T265_13687, T265_15239	TREG1_82890.3, TREG1_82890.1, TREG1_82890.2
OG0002910	T265_13256	TREG1_27380.1
OG0002911	T265_13253	TREG1_20900.1
OG0002912	T265_12025, T265_15674	TREG1_89090.1
OG0002913	T265_08468, T265_12220	TREG1_12470.1
OG0002914	T265_10038	TREG1_9380.1
OG0002915	T265_13119	TREG1_104630.1, TREG1_104630.2
OG0002916	T265_02505	TREG1_10510.1, TREG1_10510.2, TREG1_10510.4, TREG1_10510.3
OG0002917	T265_01608	TREG1_24500.1
OG0002917	T265_10733	TREG1_32230.1
OG0002918	T265_06975	TREG1_111300.1, TREG1_111300.2
OG0002919	T265_07324	TREG1_122150.1, TREG1_122160.1
OG0002921	T265_07949	TREG1_132840.3, TREG1_132840.4, TREG1_132840.1, TREG1_132840.2
OG0002922	T265_02668	TREG1_106970.1
OG0002923	T265_12590	TREG1_83890.1
OG0002924	T265_09413	TREG1_15350.1, TREG1_15360.1
OG0002925	T265_03081	TREG1_25680.1
OG0002926	T265_01295	TREG1_47530.2, TREG1_47530.4, TREG1_47530.5, TREG1_47530.6, TREG1_47530.1, TREG1_47530.3, TREG1_47530.7
OG0002927	T265_03127	TREG1_2100.1
OG0002928	T265_13841	TREG1_107960.2, TREG1_107960.4, TREG1_107960.3, TREG1_107960.5, TREG1_107970.1
OG0002929	T265_00854	TREG1_29370.3, TREG1_29370.2, TREG1_29360.1, TREG1_29370.1
OG0002930	T265_09338	TREG1_45880.1
OG0002931	T265_10381	TREG1_9920.6, TREG1_9920.3, TREG1_9920.4, TREG1_9920.7, TREG1_9920.5, TREG1_9920.2, TREG1_9920.1
OG0002932	T265_12802	TREG1_31900.1
OG0002933	T265_13654, T265_16004, T265_13655	TREG1_34790.1, TREG1_34800.1, TREG1_34790.2
OG0002934	T265_07078	TREG1_130510.1, TREG1_130510.2, TREG1_130510.3
OG0002935	T265_01577	TREG1_82860.1, TREG1_82850.1
OG0002936	T265_02894	TREG1_63540.1
OG0002938	T265_12858	TREG1_68170.1
OG0002939	T265_03203	TREG1_29540.1
OG0002940	T265_12767, T265_01318	TREG1_64810.1
OG0002941	T265_10241	TREG1_77240.1, TREG1_77250.1
OG0002942	T265_02787	TREG1_104240.1, TREG1_104220.1, TREG1_104230.1
OG0002943	T265_13089	TREG1_104260.1
OG0002944	T265_10544	TREG1_13630.4, TREG1_13630.1, TREG1_13630.2, TREG1_13630.3
OG0002945	T265_11225	TREG1_105990.1, TREG1_105990.4, TREG1_105990.3, TREG1_105990.2
OG0002947	T265_09749	TREG1_127350.1
OG0002948	T265_10715	TREG1_81390.1
OG0002949	T265_02799	TREG1_32930.1, TREG1_53760.1
OG0002950	T265_04871	TREG1_97980.1, TREG1_97980.2, TREG1_97980.3
OG0002951	T265_07586	TREG1_33030.1
OG0002952	T265_12773	TREG1_75000.1, TREG1_75010.1, TREG1_75010.2, TREG1_75010.3, TREG1_75010.4
OG0002953	T265_04423, T265_15987	TREG1_3010.1
OG0002954	T265_06597, T265_15941	TREG1_79650.4, TREG1_79650.1, TREG1_79650.2, TREG1_79650.3, TREG1_79650.5, TREG1_79650.6, TREG1_79650.7, TREG1_79650.8, TREG1_79650.9
OG0002955	T265_14732	TREG1_106670.1
OG0002956	T265_15076	TREG1_134370.1, TREG1_134370.2, TREG1_134370.3
OG0002957	T265_00422	TREG1_96720.1
OG0002958	T265_16166, T265_10751, T265_10762	TREG1_90850.1, TREG1_90850.2, TREG1_90850.3
OG0002959	T265_13472	TREG1_119830.1, TREG1_119830.2
OG0002960	T265_05712	TREG1_70930.1, TREG1_70930.2
OG0002961	T265_11252	TREG1_21530.1, TREG1_21530.2, TREG1_21530.3, TREG1_21530.4
OG0002962	T265_14105	TREG1_89380.2, TREG1_89380.4, TREG1_89380.1, TREG1_89380.3
OG0002964	T265_08700	TREG1_31510.1, TREG1_31510.4, TREG1_31510.2, TREG1_31510.3
OG0002965	T265_02144	TREG1_74260.1
OG0002966	T265_04442	TREG1_34630.2, TREG1_34630.3, TREG1_34630.1, TREG1_34630.4
OG0002967	T265_09516, T265_09515, T265_14873	TREG1_86580.1
OG0002968	T265_14182, T265_14181	TREG1_21240.1, TREG1_21240.3, TREG1_21240.4, TREG1_21240.2, TREG1_21240.5
OG0002969	T265_07415	TREG1_70240.1, TREG1_70230.1
OG0002970	T265_12882	TREG1_18710.1, TREG1_18710.2
OG0002971	T265_09283	TREG1_89130.1
OG0002972	T265_00627	TREG1_84410.1
OG0002973	T265_07435	TREG1_66240.1
OG0002974	T265_15126	TREG1_47570.1, TREG1_47570.2
OG0002975	T265_01518	TREG1_55510.1, TREG1_55510.2
OG0002976	T265_03160	TREG1_87550.3, TREG1_87550.1, TREG1_87550.2, TREG1_87550.4, TREG1_87550.5
OG0002977	T265_01592	TREG1_7100.1
OG0002978	T265_00903, T265_09105	TREG1_24140.1, TREG1_24140.2, TREG1_24140.3
OG0002979	T265_11670	TREG1_24230.1, TREG1_24220.1
OG0002980	T265_00740	TREG1_46340.1, TREG1_46350.1
OG0002981	T265_14186	TREG1_105250.1
OG0002982	T265_13871	TREG1_61920.1
OG0002983	T265_02113, T265_15879	TREG1_58620.1, TREG1_58620.3, TREG1_58620.5, TREG1_58620.2, TREG1_58620.4
OG0002984	T265_14382	TREG1_6620.1
OG0002985	T265_15506	TREG1_1430.1
OG0002986	T265_10270, T265_10269	TREG1_29920.4, TREG1_29920.2, TREG1_29920.1, TREG1_29920.3
OG0002988	T265_08760	TREG1_130770.1, TREG1_130770.2, TREG1_130770.3, TREG1_130770.4, TREG1_130770.5
OG0002989	T265_09294	TREG1_71650.1, TREG1_71660.3, TREG1_71660.1, TREG1_71660.2, TREG1_71640.1
OG0002990	T265_11604	TREG1_139220.1, TREG1_7010.1, TREG1_111050.1, TREG1_139210.1
OG0002991	T265_00107	TREG1_41800.1
OG0002992	T265_12542	TREG1_98490.1, TREG1_98490.2
OG0002993	T265_15836, T265_09955, T265_10213, T265_07127	TREG1_112320.1, TREG1_112330.1
OG0002994	T265_14978	TREG1_22680.1, TREG1_22690.1
OG0002995	T265_10496	TREG1_129150.1, TREG1_129150.2, TREG1_129150.3
OG0002996	T265_09556	TREG1_24460.1, TREG1_24460.2
OG0002997	T265_11005	TREG1_50700.2, TREG1_50700.3, TREG1_50700.1, TREG1_50700.4
OG0002998	T265_01464	TREG1_30690.1
OG0002999	T265_10797	TREG1_31850.1, TREG1_85310.1
OG0003000	T265_13667	TREG1_33470.1, TREG1_33470.2
OG0003001	T265_06939	TREG1_33540.3, TREG1_33540.1, TREG1_33540.2, TREG1_33430.1, TREG1_33540.4
OG0003002	T265_06956	TREG1_15010.1
OG0003003	T265_10787	TREG1_132550.1
OG0003004	T265_02782	TREG1_103810.1
OG0003006	T265_10485	TREG1_114320.1
OG0003007	T265_14668	TREG1_91730.1
OG0003008	T265_10063	TREG1_57830.2, TREG1_57830.1, TREG1_57830.3, TREG1_57830.4, TREG1_57830.5
OG0003009	T265_04390	TREG1_6050.1, TREG1_6050.2
OG0003010	T265_13842	TREG1_95200.1
OG0003011	T265_07456	TREG1_49010.1
OG0003012	T265_02531	TREG1_87760.5, TREG1_87760.6, TREG1_87760.3, TREG1_87760.4, TREG1_87760.1, TREG1_87760.2
OG0003013	T265_03958	TREG1_101500.1, TREG1_101500.2, TREG1_101500.3
OG0003014	T265_14360	TREG1_63780.1, TREG1_63790.1
OG0003015	T265_04992	TREG1_57710.1
OG0003016	T265_08197	TREG1_98760.1
OG0003017	T265_02207	TREG1_76370.1
OG0003018	T265_05229, T265_13729, T265_16104	TREG1_132930.1, TREG1_132930.2
OG0003019	T265_00834	TREG1_99090.1, TREG1_99090.3, TREG1_99090.4, TREG1_99090.5, TREG1_99090.2
OG0003020	T265_13359	TREG1_45430.1, TREG1_45430.2
OG0003021	T265_11800	TREG1_110640.1, TREG1_110620.1, TREG1_110650.1
OG0003023	T265_04962, T265_12395	TREG1_110770.1, TREG1_110770.2, TREG1_110780.1
OG0003024	T265_08219	TREG1_108660.1
OG0003025	T265_08285	TREG1_52890.1, TREG1_52890.2
OG0003026	T265_02585	TREG1_53110.1, TREG1_53110.2, TREG1_53110.3
OG0003027	T265_11623	TREG1_55360.5, TREG1_55360.1, TREG1_55360.3, TREG1_55360.4, TREG1_55360.2
OG0003028	T265_14740	TREG1_1720.1
OG0003029	T265_07912	TREG1_112920.1, TREG1_112920.2
OG0003030	T265_14667	TREG1_15070.1, TREG1_15080.1
OG0003031	T265_03339	TREG1_81820.2, TREG1_81820.1, TREG1_81820.3, TREG1_81820.4
OG0003032	T265_09883	TREG1_81500.1
OG0003033	T265_00067	TREG1_71850.1, TREG1_71840.1
OG0003034	T265_13931	TREG1_117800.1
OG0003036	T265_13241	TREG1_110270.1
OG0003037	T265_08191	TREG1_101240.1
OG0003038	T265_01298	TREG1_70110.1, TREG1_70220.1, TREG1_70220.2
OG0003039	T265_12554	TREG1_62870.1
OG0003040	T265_08335	TREG1_47660.1, TREG1_47660.2, TREG1_47660.3, TREG1_47650.1
OG0003041	T265_00719	TREG1_51360.1
OG0003043	T265_02896	TREG1_64010.1, TREG1_63990.1
OG0003044	T265_01567	TREG1_34530.1, TREG1_7400.1
OG0003045	T265_05095	TREG1_69760.1, TREG1_69760.2, TREG1_69760.11, TREG1_69760.13, TREG1_69760.6, TREG1_69760.10, TREG1_69760.12, TREG1_69760.14, TREG1_69760.4, TREG1_69760.5, TREG1_69760.7, TREG1_69760.8, TREG1_69760.9, TREG1_69760.3
OG0003046	T265_05093	TREG1_69750.1, TREG1_69750.2
OG0003047	T265_13450	TREG1_20260.3, TREG1_20260.1, TREG1_20260.2
OG0003048	T265_01218, T265_09411	TREG1_61360.1, TREG1_61360.2
OG0003049	T265_01217	TREG1_61370.1, TREG1_61370.2
OG0003050	T265_04271, T265_04273	TREG1_104400.1, TREG1_104400.2
OG0003051	T265_09098	TREG1_60340.1
OG0003052	T265_11750	TREG1_89000.1
OG0003053	T265_03747	TREG1_38440.1
OG0003054	T265_03119	TREG1_11220.3, TREG1_11220.1, TREG1_11220.2
OG0003055	T265_09217	TREG1_75810.1
OG0003056	T265_07027	TREG1_11030.1
OG0003057	T265_07016	TREG1_87700.1, TREG1_87700.2
OG0003058	T265_03889	TREG1_128100.1, TREG1_128100.2, TREG1_128100.3, TREG1_128100.4, TREG1_128100.5
OG0003059	T265_01103, T265_11098, T265_12033	TREG1_44240.1
OG0003060	T265_13466	TREG1_66600.1
OG0003061	T265_07124	TREG1_114010.1
OG0003062	T265_07364	TREG1_127720.1, TREG1_127780.1
OG0003063	T265_15517	TREG1_16730.1
OG0003064	T265_01571	TREG1_3970.1, TREG1_3970.3, TREG1_3970.2, TREG1_3970.4
OG0003065	T265_12659	TREG1_142140.1, TREG1_27410.2, TREG1_27410.1, TREG1_27410.3
OG0003066	T265_04405	TREG1_131470.1, TREG1_131470.2, TREG1_131470.4, TREG1_131470.6, TREG1_131470.3, TREG1_131470.5
OG0003067	T265_01085	TREG1_54630.1, TREG1_54630.5, TREG1_54630.7, TREG1_54630.3, TREG1_54630.4, TREG1_54630.2, TREG1_54630.6
OG0003068	T265_11773	TREG1_105230.1, TREG1_105230.2
OG0003069	T265_01995	TREG1_95960.1
OG0003071	T265_04804	TREG1_83980.1
OG0003072	T265_11500	TREG1_101260.1
OG0003073	T265_12790	TREG1_88680.1
OG0003074	T265_14915	TREG1_78350.1, TREG1_78350.2, TREG1_78350.3, TREG1_78350.4, TREG1_78350.5
OG0003075	T265_14577	TREG1_77770.1
OG0003076	T265_10794, T265_16094	TREG1_77840.1
OG0003077	T265_15604	TREG1_99050.1, TREG1_99050.2
OG0003078	T265_00099	TREG1_86530.1
OG0003079	T265_11875	TREG1_73860.1, TREG1_73860.2, TREG1_73860.3
OG0003080	T265_07755	TREG1_25540.1
OG0003081	T265_03078	TREG1_25770.1, TREG1_33630.1, TREG1_33620.1
OG0003082	T265_11379	TREG1_76720.1
OG0003083	T265_14683	TREG1_109630.1
OG0003085	T265_14689	TREG1_37160.1
OG0003087	T265_08143	TREG1_134640.1
OG0003088	T265_02291, T265_04908	TREG1_21680.1, TREG1_21680.2, TREG1_21680.3
OG0003089	T265_11951	TREG1_16190.1, TREG1_16190.3, TREG1_16190.2
OG0003090	T265_13275	TREG1_41880.1, TREG1_41880.2
OG0003107	T265_05277	TREG1_75300.1, TREG1_75300.2, TREG1_75300.3
OG0003108	T265_06555	TREG1_38810.1, TREG1_38800.1
OG0003109	T265_13791	TREG1_20030.1
OG0003110	T265_04583, T265_04581	TREG1_14030.2, TREG1_14030.1, TREG1_13980.1, TREG1_13980.2, TREG1_13980.3, TREG1_14010.1, TREG1_14010.3, TREG1_14010.4, TREG1_14010.2, TREG1_14010.5, TREG1_14010.6
OG0003111	T265_01222	TREG1_103310.1, TREG1_103320.1
OG0003112	T265_03161	TREG1_91820.1
OG0003114	T265_04310	TREG1_119860.1
OG0003115	T265_12647	TREG1_106720.3, TREG1_106720.2, TREG1_106720.1
OG0003116	T265_06786, T265_16161	TREG1_124110.1, TREG1_124120.1
OG0003117	T265_00936	TREG1_21230.1, TREG1_21230.2, TREG1_21230.3
OG0003120	T265_12987	TREG1_103190.1
OG0003121	T265_03332	TREG1_4740.1, TREG1_4740.2, TREG1_4740.3, TREG1_4740.4, TREG1_4740.5, TREG1_4740.6
OG0003122	T265_00248	TREG1_600.1
OG0003124	T265_09973	TREG1_124860.1
OG0003125	T265_01989	TREG1_102920.1, TREG1_102920.2
OG0003126	T265_02263	TREG1_21510.4, TREG1_21510.5, TREG1_21510.1, TREG1_21510.2, TREG1_21510.3
OG0003127	T265_00393	TREG1_121820.1
OG0003128	T265_12835	TREG1_110930.1, TREG1_110930.2
OG0003130	T265_03769, T265_03257, T265_03259, T265_03260	TREG1_37620.1, TREG1_37620.4, TREG1_37620.2, TREG1_37620.3
OG0003131	T265_16261, T265_12645	TREG1_139830.1, TREG1_104870.1, TREG1_139820.1, TREG1_139820.2
OG0003133	T265_15587	TREG1_81610.1
OG0003134	T265_06539	TREG1_113920.6, TREG1_113920.5, TREG1_113920.1, TREG1_113920.2, TREG1_113920.3, TREG1_113920.4
OG0003136	T265_01565	TREG1_2010.1
OG0003137	T265_13566	TREG1_111930.1, TREG1_111940.1, TREG1_111920.1, TREG1_111910.1, TREG1_111920.2, TREG1_111920.3
OG0003138	T265_01867, T265_12886	TREG1_120710.1, TREG1_120710.2, TREG1_120710.3, TREG1_120710.4
OG0003139	T265_09293	TREG1_71670.1, TREG1_71670.2
OG0003142	T265_13088, T265_12449	TREG1_104730.1
OG0003144	T265_07038	TREG1_43740.1
OG0003145	T265_10158, T265_10168, T265_16083	TREG1_22470.3, TREG1_22470.1, TREG1_22470.2
OG0003146	T265_00190	TREG1_89040.1
OG0003147	T265_04879	TREG1_72540.1, TREG1_72540.2
OG0003148	T265_05214	TREG1_131210.2, TREG1_131210.1, TREG1_131210.3, TREG1_131210.4
OG0003149	T265_14469	TREG1_76400.1
OG0003150	T265_03278	TREG1_108390.1
OG0003151	T265_13108	TREG1_61970.1
OG0003152	T265_13663, T265_16373, T265_07971, T265_16076	TREG1_47330.1, TREG1_47330.2, TREG1_47330.3, TREG1_47330.4, TREG1_47330.5
OG0003153	T265_11495	TREG1_106820.1, TREG1_106820.2, TREG1_106820.3
OG0003154	T265_08108	TREG1_52560.1, TREG1_52550.1, TREG1_52550.2
OG0003155	T265_07187	TREG1_92730.1, TREG1_95670.1
OG0003156	T265_05065	TREG1_45900.2, TREG1_45900.3, TREG1_45900.4, TREG1_45900.5, TREG1_45900.6, TREG1_45900.1, TREG1_45900.7
OG0003157	T265_07210	TREG1_37930.1, TREG1_73050.1, TREG1_73050.2, TREG1_73050.3
OG0003158	T265_03832	TREG1_126130.1
OG0003159	T265_10689	TREG1_74410.1, TREG1_74410.2, TREG1_74410.3
OG0003160	T265_03695	TREG1_23470.4, TREG1_23470.2, TREG1_23470.1, TREG1_23470.5, TREG1_23470.3
OG0003161	T265_00163	TREG1_72200.1, TREG1_72210.1, TREG1_43750.1
OG0003164	T265_07313	TREG1_44650.1, TREG1_44650.2
OG0003167	T265_04823, T265_15925	TREG1_132390.1
OG0003168	T265_00599	TREG1_81980.1
OG0003169	T265_10047	TREG1_27220.1
OG0003170	T265_09151	TREG1_19340.1, TREG1_19340.2, TREG1_18590.1
OG0003171	T265_14761, T265_14762	TREG1_100860.1, TREG1_100860.2, TREG1_100860.3
OG0003172	T265_12118, T265_11052	TREG1_23950.1, TREG1_23950.2
OG0003173	T265_02971	TREG1_55230.1
OG0003174	T265_08480	TREG1_100030.1
OG0003175	T265_16305, T265_12278, T265_09707, T265_16168	TREG1_133360.1
OG0003176	T265_13135	TREG1_99280.1
OG0003177	T265_11345	TREG1_38290.1, TREG1_38290.2, TREG1_38290.4, TREG1_38290.5, TREG1_38290.6, TREG1_38290.3
OG0003178	T265_10413, T265_10411, T265_15781, T265_15620, T265_16328	TREG1_44600.1
OG0003179	T265_01970	TREG1_106440.1
OG0003180	T265_15379	TREG1_190.1
OG0003181	T265_12891	TREG1_45740.1
OG0003182	T265_10341	TREG1_50010.3, TREG1_50010.1, TREG1_50010.2, TREG1_50010.4
OG0003183	T265_04369, T265_16026	TREG1_32060.1, TREG1_34650.1, TREG1_34670.1, TREG1_16540.3, TREG1_16540.4, TREG1_16540.5, TREG1_16540.6, TREG1_16540.2, TREG1_16540.1
OG0003184	T265_03526	TREG1_48370.1, TREG1_48370.2
OG0003185	T265_15307	TREG1_98060.1, TREG1_98060.2
OG0003186	T265_04885	TREG1_50460.1
OG0003187	T265_00780	TREG1_106860.1
OG0003188	T265_07818	TREG1_113310.1
OG0003189	T265_01242	TREG1_76240.1, TREG1_76240.2
OG0003190	T265_11076	TREG1_85380.6, TREG1_85380.5, TREG1_85380.1, TREG1_85380.3, TREG1_85380.2, TREG1_85380.4
