Orthogroup	schistosoma_intercalatum	opisthorchis_viverrini
OG0003146	SINT1_64350.1, SINT1_64350.2, SINT1_64350.3	T265_00190
OG0003147	SINT1_49170.1	T265_04879
OG0003148	SINT1_91030.1	T265_05214
OG0003149	SINT1_55940.1, SINT1_55940.2	T265_14469
OG0003150	SINT1_77660.1	T265_03278
OG0003151	SINT1_49890.1, SINT1_49890.2	T265_13108
OG0003152	SINT1_37170.1, SINT1_37170.2	T265_13663, T265_16373, T265_07971, T265_16076
OG0003153	SINT1_72900.4, SINT1_72900.2, SINT1_72900.3, SINT1_72900.1	T265_11495
OG0003154	SINT1_35690.3, SINT1_35690.1, SINT1_35690.2	T265_08108
OG0003155	SINT1_70290.1	T265_07187
OG0003156	SINT1_38210.1, SINT1_38210.2	T265_05065
OG0003157	SINT1_52400.1	T265_07210
OG0003158	SINT1_87710.1, SINT1_87710.2	T265_03832
OG0003159	SINT1_55640.1	T265_10689
OG0003160	SINT1_20780.1, SINT1_20780.2	T265_03695
OG0003161	SINT1_47090.1, SINT1_47090.2, SINT1_47080.1, SINT1_47080.2	T265_00163
OG0003164	SINT1_33370.1, SINT1_33370.2	T265_07313
OG0003167	SINT1_92050.1, SINT1_92050.2	T265_04823, T265_15925
OG0003168	SINT1_63230.1	T265_00599
OG0003169	SINT1_15950.1, SINT1_15950.2	T265_10047
OG0003170	SINT1_18210.1, SINT1_18210.3, SINT1_18210.2	T265_09151
OG0003171	SINT1_72230.1, SINT1_72230.2	T265_14761, T265_14762
OG0003172	SINT1_22190.8, SINT1_22190.9, SINT1_22310.1	T265_12118, T265_11052
OG0003173	SINT1_31770.1	T265_02971
OG0003174	SINT1_74130.1	T265_08480
OG0003175	SINT1_92240.1, SINT1_92240.2, SINT1_92240.4, SINT1_92240.3	T265_16305, T265_12278, T265_09707, T265_16168
OG0003176	SINT1_69300.1, SINT1_69300.2, SINT1_69300.4, SINT1_69300.3	T265_13135
OG0003177	SINT1_25820.1, SINT1_25820.2	T265_11345
OG0003178	SINT1_33450.2, SINT1_33450.1, SINT1_33450.3	T265_10413, T265_10411, T265_15781, T265_15620, T265_16328
OG0003179	SINT1_74250.1	T265_01970
OG0003180	SINT1_4240.2, SINT1_4240.1	T265_15379
OG0003181	SINT1_36660.1	T265_12891
OG0003182	SINT1_31330.1, SINT1_31330.2, SINT1_31330.3	T265_10341
OG0003183	SINT1_13380.1, SINT1_13380.2	T265_04369, T265_16026
OG0003184	SINT1_28510.1	T265_03526
OG0003185	SINT1_70980.1	T265_15307
OG0003186	SINT1_29830.1	T265_04885
OG0003187	SINT1_72910.1, SINT1_72910.2, SINT1_72910.3	T265_00780
OG0003188	SINT1_80670.1	T265_07818
OG0003189	SINT1_56680.2, SINT1_56680.3, SINT1_56680.1	T265_01242
OG0003190	SINT1_60190.1	T265_11076
OG0003191	SINT1_47380.1	T265_13899
OG0003192	SINT1_65790.1	T265_08136
OG0003193	SINT1_37200.1	T265_05017
OG0003194	SINT1_68940.1, SINT1_68940.2	T265_03962
OG0003195	SINT1_18260.1, SINT1_18260.2, SINT1_18260.3	T265_15661
OG0003196	SINT1_61820.1	T265_01121
OG0003197	SINT1_93380.1	T265_14545
OG0003198	SINT1_50580.1, SINT1_50580.2	T265_05273
OG0003199	SINT1_91900.1	T265_08967
OG0003200	SINT1_10620.7, SINT1_10620.1, SINT1_10620.5, SINT1_10620.2, SINT1_10620.4, SINT1_10620.3, SINT1_10620.6, SINT1_10620.8	T265_13485
OG0003201	SINT1_14590.1	T265_10050
OG0003203	SINT1_90150.1	T265_08385
OG0003204	SINT1_20400.1	T265_14093
OG0003205	SINT1_36600.1	T265_14205
OG0003206	SINT1_17660.1, SINT1_17650.1, SINT1_17650.2	T265_06903
OG0003207	SINT1_8410.1	T265_00236
OG0003208	SINT1_67430.1	T265_12719, T265_01116, T265_02116
OG0003209	SINT1_77790.2, SINT1_77790.1, SINT1_77790.3, SINT1_77790.4	T265_04035
OG0003210	SINT1_13000.1	T265_15007, T265_15334
OG0003211	SINT1_74020.1	T265_11261, T265_15387
OG0003212	SINT1_5890.1, SINT1_5890.2, SINT1_5890.3	T265_00230
OG0003213	SINT1_33290.1, SINT1_33290.2	T265_10936
OG0003214	SINT1_11900.1	T265_02512
OG0003215	SINT1_9050.1	T265_11178, T265_11179
OG0003216	SINT1_63810.1	T265_09762
OG0003217	SINT1_60570.1	T265_02011
OG0003218	SINT1_57740.1	T265_08129
OG0003220	SINT1_21920.1	T265_04665, T265_04127, T265_14421, T265_09523
OG0003222	SINT1_19780.2, SINT1_19780.1, SINT1_19780.3, SINT1_19780.4	T265_15508
OG0003223	SINT1_87230.1	T265_07346
OG0003224	SINT1_38310.1, SINT1_38310.2, SINT1_38310.3	T265_01519
OG0003226	SINT1_14230.1	T265_04588, T265_06369
OG0003227	SINT1_61300.1	T265_15188
OG0003228	SINT1_86130.1	T265_05344
OG0003229	SINT1_75040.1, SINT1_75040.2	T265_01945
OG0003230	SINT1_46940.1	T265_03970
OG0003232	SINT1_11050.1	T265_11465
OG0003233	SINT1_22150.1	T265_15043
OG0003234	SINT1_60230.1, SINT1_60230.2, SINT1_60230.7, SINT1_60230.8, SINT1_60230.3, SINT1_60230.4, SINT1_60230.9, SINT1_60230.5, SINT1_60230.6	T265_08452
OG0003235	SINT1_82910.1, SINT1_82910.2, SINT1_82910.4, SINT1_82910.3	T265_03407
OG0003237	SINT1_25360.1	T265_01039
OG0003238	SINT1_65070.2, SINT1_65070.1	T265_00665
OG0003239	SINT1_79450.2, SINT1_79450.1, SINT1_79450.3	T265_05841, T265_11592
OG0003240	SINT1_8140.1	T265_09874
OG0003241	SINT1_37540.1	T265_08313
OG0003242	SINT1_52960.1, SINT1_52960.2	T265_08090, T265_12218
OG0003243	SINT1_8780.1, SINT1_8780.2, SINT1_8780.3	T265_01389
OG0003244	SINT1_53360.1	T265_14655
OG0003245	SINT1_53780.5, SINT1_53780.6, SINT1_53780.4, SINT1_53780.1, SINT1_53780.2, SINT1_53780.3	T265_05102
OG0003246	SINT1_8850.1	T265_04347
OG0003247	SINT1_20650.1	T265_15668
OG0003249	SINT1_63560.1	T265_02516
OG0003250	SINT1_69620.1	T265_00815
OG0003251	SINT1_85080.1	T265_15132
OG0003252	SINT1_42280.1, SINT1_42290.1	T265_07596
OG0003253	SINT1_85600.1, SINT1_85600.2	T265_04761
OG0003254	SINT1_63820.1	T265_04181
OG0003255	SINT1_91920.1, SINT1_91070.1	T265_08975, T265_08976
OG0003256	SINT1_82450.1, SINT1_82450.2	T265_11920, T265_10484, T265_13236, T265_15390, T265_14837, T265_01620, T265_13563
OG0003257	SINT1_12840.2, SINT1_12840.1	T265_09512
OG0003258	SINT1_43370.1, SINT1_43370.2	T265_13426, T265_16113
OG0003259	SINT1_23860.1	T265_04248
OG0003260	SINT1_82710.1	T265_07096
OG0003261	SINT1_34690.1	T265_13387
OG0003263	SINT1_4970.1	T265_11723
OG0003264	SINT1_15530.1	T265_14781
OG0003265	SINT1_41980.1, SINT1_41980.2	T265_14465
OG0003266	SINT1_70450.1	T265_00355
OG0003267	SINT1_20350.1, SINT1_20350.2, SINT1_20350.3	T265_11130
OG0003268	SINT1_43470.1	T265_10845
OG0003269	SINT1_75260.2, SINT1_75260.3, SINT1_75260.1	T265_02226
OG0003270	SINT1_62320.3, SINT1_62320.1, SINT1_62320.2	T265_05629
OG0003271	SINT1_11600.1	T265_00964
OG0003273	SINT1_33840.2, SINT1_33840.1, SINT1_33840.3	T265_08347
OG0003275	SINT1_24710.1	T265_15417
OG0003276	SINT1_61360.1	T265_07677, T265_14350, T265_14351, T265_14349, T265_01626
OG0003277	SINT1_33580.1, SINT1_33580.2	T265_14638
OG0003278	SINT1_55210.1, SINT1_55210.2	T265_11305
OG0003279	SINT1_1710.2, SINT1_1710.1, SINT1_1710.3	T265_15092
OG0003280	SINT1_76800.3, SINT1_76800.1, SINT1_76800.2	T265_00283, T265_07565
OG0003281	SINT1_92820.1, SINT1_92820.2, SINT1_92820.3	T265_05670, T265_16020
OG0003282	SINT1_52810.1, SINT1_52810.2	T265_05807
OG0003283	SINT1_93050.1	T265_14849
OG0003284	SINT1_60160.1	T265_10799
OG0003285	SINT1_23070.2, SINT1_23070.3, SINT1_23070.1	T265_10409
OG0003286	SINT1_66370.1, SINT1_66370.5, SINT1_66370.2, SINT1_66370.3, SINT1_66370.4, SINT1_66370.6	T265_14579
OG0003287	SINT1_9530.1	T265_11152
OG0003289	SINT1_13350.1	T265_14827, T265_14826
OG0003290	SINT1_10490.1	T265_11160
OG0003291	SINT1_17390.1, SINT1_17390.2	T265_10834
OG0003292	SINT1_83810.1	T265_04681
OG0003293	SINT1_27270.1	T265_05415
OG0003294	SINT1_33600.1	T265_08998
OG0003295	SINT1_26010.1, SINT1_26010.2, SINT1_26010.3, SINT1_26030.1, SINT1_26030.2	T265_06245
OG0003297	SINT1_17820.1	T265_11733
OG0003298	SINT1_46230.1	T265_00463
OG0003299	SINT1_75970.1, SINT1_75970.2	T265_07321
OG0003300	SINT1_13640.1, SINT1_13640.2, SINT1_13640.3	T265_01803
OG0003301	SINT1_44110.1	T265_10537
OG0003302	SINT1_8260.1, SINT1_8260.2	T265_14440
OG0003303	SINT1_54270.1	T265_03311
OG0003304	SINT1_7130.2, SINT1_7130.1, SINT1_7130.3	T265_09145
OG0003305	SINT1_72970.1, SINT1_72970.2	T265_00774
OG0003306	SINT1_56070.1	T265_14129
OG0003307	SINT1_26230.1	T265_11890
OG0003310	SINT1_48250.1	T265_12760
OG0003313	SINT1_54550.4, SINT1_54550.3, SINT1_54550.1, SINT1_54550.2	T265_02811
OG0003315	SINT1_32230.1, SINT1_32230.2	T265_01927
OG0003318	SINT1_9540.1, SINT1_64360.1	T265_03220, T265_08727
OG0003319	SINT1_40390.1	T265_08722
OG0003320	SINT1_56210.1	T265_14787
OG0003326	SINT1_66230.1, SINT1_66230.2, SINT1_66230.3, SINT1_66230.4	T265_12115
OG0003327	SINT1_75730.4, SINT1_75730.3, SINT1_75730.1, SINT1_75730.2, SINT1_75730.5, SINT1_75730.6, SINT1_75730.7	T265_12021
OG0003328	SINT1_73370.1	T265_03597
OG0003329	SINT1_92920.1	T265_13725
OG0003330	SINT1_51600.1	T265_05098
OG0003331	SINT1_9840.1, SINT1_9840.2	T265_11448
OG0003332	SINT1_32070.1, SINT1_32060.1	T265_14609
OG0003334	SINT1_28500.2, SINT1_28500.3, SINT1_28500.5, SINT1_28500.4, SINT1_28500.6, SINT1_28500.1	T265_07042
OG0003335	SINT1_63690.3, SINT1_63690.1, SINT1_63690.2	T265_10561, T265_15187
OG0003336	SINT1_61500.1	T265_08134
OG0003338	SINT1_16840.1, SINT1_16840.2	T265_06648
OG0003339	SINT1_680.1, SINT1_670.1	T265_06302
OG0003340	SINT1_39710.1	T265_13297
OG0003341	SINT1_67020.1, SINT1_67020.2	T265_07155
OG0003342	SINT1_13820.1, SINT1_13820.2, SINT1_13820.3, SINT1_13820.4	T265_10319
OG0003343	SINT1_51390.1, SINT1_51390.3, SINT1_51390.2, SINT1_51390.4	T265_08839
OG0003344	SINT1_23370.1, SINT1_23370.2	T265_05994
OG0003346	SINT1_92520.1	T265_15250, T265_15251, T265_16311, T265_14424, T265_07896, T265_01009
OG0003347	SINT1_44470.1	T265_15325
OG0003348	SINT1_53450.1, SINT1_53450.2	T265_00384
OG0003349	SINT1_40210.1, SINT1_40210.3, SINT1_40210.4, SINT1_40210.2	T265_14676
OG0003350	SINT1_68700.1, SINT1_68700.2	T265_14476
OG0003351	SINT1_72450.1	T265_03852
OG0003352	SINT1_79440.3, SINT1_79440.2, SINT1_79440.1	T265_15477
OG0003354	SINT1_27630.1	T265_14200
OG0003355	SINT1_68380.1	T265_14583, T265_15801, T265_08484
OG0003356	SINT1_13260.1	T265_13187
OG0003357	SINT1_43130.1	T265_04123, T265_15449
OG0003358	SINT1_88420.1	T265_13333
OG0003360	SINT1_33100.1, SINT1_33100.2, SINT1_33100.3, SINT1_33100.4	T265_15037
OG0003361	SINT1_19660.1	T265_01606
OG0003362	SINT1_74360.1	T265_06343, T265_08886
OG0003363	SINT1_29970.1, SINT1_29970.2	T265_00732
OG0003364	SINT1_83780.1	T265_10488, T265_16148, T265_16320, T265_16298
OG0003365	SINT1_19100.2, SINT1_19100.5, SINT1_19100.1, SINT1_19100.4, SINT1_19100.3	T265_03679
OG0003366	SINT1_61320.1	T265_01582
OG0003368	SINT1_37890.1	T265_14328
OG0003369	SINT1_64640.1, SINT1_64630.1, SINT1_64630.2	T265_03934
OG0003370	SINT1_25860.1	T265_14039
OG0003371	SINT1_47580.1	T265_14624
OG0003372	SINT1_92590.1	T265_13073, T265_02731
OG0003373	SINT1_15540.1, SINT1_15540.2	T265_10074
OG0003374	SINT1_93310.1	T265_16374, T265_16007, T265_04840
OG0003375	SINT1_68900.1, SINT1_68900.2	T265_04061
OG0003376	SINT1_47880.1	T265_13274
OG0003378	SINT1_81810.1	T265_07106
OG0003379	SINT1_65150.1	T265_05624
OG0003381	SINT1_54840.1, SINT1_54840.2, SINT1_54840.3	T265_00289
OG0003382	SINT1_69340.3, SINT1_69340.2, SINT1_69340.1, SINT1_69340.5, SINT1_69340.4	T265_00092
OG0003383	SINT1_6220.1	T265_15451
OG0003384	SINT1_43430.3, SINT1_43430.2, SINT1_43430.1	T265_13386
OG0003385	SINT1_89840.1	T265_14270
OG0003386	SINT1_21830.1	T265_03433
OG0003389	SINT1_46420.1	T265_12547
OG0003390	SINT1_34710.1, SINT1_34710.2	T265_00408
OG0003391	SINT1_78050.1	T265_04030, T265_15014
OG0003392	SINT1_55220.1	T265_02148
OG0003393	SINT1_32590.1	T265_13519, T265_15813
OG0003394	SINT1_42370.1	T265_07062
OG0003395	SINT1_55550.1	T265_12933
OG0003396	SINT1_43850.1, SINT1_43850.2, SINT1_43850.3, SINT1_43850.4	T265_11318, T265_11884
OG0003397	SINT1_22100.1, SINT1_22100.3, SINT1_22100.2	T265_03419, T265_06176, T265_06175
OG0003398	SINT1_9720.1, SINT1_9720.3, SINT1_9720.2, SINT1_9720.4	T265_07278
OG0003399	SINT1_35380.1, SINT1_35380.3, SINT1_35380.2	T265_09816
OG0003400	SINT1_72140.1, SINT1_72140.2, SINT1_72140.3, SINT1_72140.4, SINT1_72140.5, SINT1_72140.6	T265_15283, T265_15284
OG0003401	SINT1_32930.1	T265_05806
OG0003402	SINT1_20800.1	T265_03694, T265_16284
OG0003403	SINT1_50270.1	T265_04283, T265_04284
OG0003404	SINT1_73990.1	T265_11259
OG0003405	SINT1_47610.1	T265_00061, T265_05780, T265_08607
OG0003406	SINT1_7040.1	T265_14439
OG0003407	SINT1_83500.1, SINT1_83500.2	T265_06019
OG0003408	SINT1_25700.1	T265_13309
OG0003409	SINT1_68800.1, SINT1_17630.1, SINT1_22810.1	T265_10546
OG0003410	SINT1_68720.1	T265_15775, T265_00661, T265_16112, T265_12598, T265_12599
OG0003411	SINT1_39350.1	T265_13041
OG0003412	SINT1_5120.1, SINT1_5120.2, SINT1_5120.3	T265_01015
OG0003413	SINT1_2230.1	T265_01539
OG0003414	SINT1_39520.1	T265_09732
OG0003415	SINT1_78500.1, SINT1_78500.2	T265_09033
OG0003416	SINT1_68540.1, SINT1_68540.2	T265_12733
OG0003417	SINT1_56020.1	T265_06775
OG0003418	SINT1_47140.1	T265_03567
OG0003419	SINT1_72920.1	T265_12633
OG0003420	SINT1_36900.1	T265_08302
OG0003421	SINT1_37780.1	T265_09192
OG0003422	SINT1_46900.1, SINT1_46900.2	T265_03968
OG0003423	SINT1_13230.1	T265_03199, T265_13186
OG0003424	SINT1_85160.1, SINT1_85160.2	T265_11767
OG0003425	SINT1_83670.1	T265_10927
OG0003426	SINT1_63590.1, SINT1_63590.2	T265_05174
OG0003427	SINT1_44630.1	T265_09674
OG0003428	SINT1_81460.4, SINT1_81460.3, SINT1_81460.1, SINT1_81460.2	T265_04653
OG0003429	SINT1_76730.2, SINT1_76730.3, SINT1_76730.1, SINT1_76730.4	T265_05909
OG0003430	SINT1_75850.1	T265_07448
OG0003431	SINT1_20420.1, SINT1_20420.2	T265_14276
OG0003432	SINT1_69860.1, SINT1_69860.2	T265_02200
OG0003433	SINT1_4780.1	T265_14247
OG0003434	SINT1_59460.1	T265_13606
OG0003435	SINT1_36930.1, SINT1_36930.2, SINT1_36930.3, SINT1_36930.4	T265_13575
OG0003436	SINT1_50290.1, SINT1_50290.2	T265_14841
OG0003437	SINT1_71810.1, SINT1_71810.2	T265_11777
OG0003438	SINT1_31020.2, SINT1_31020.1, SINT1_31020.3	T265_13978
OG0003439	SINT1_22340.1	T265_03706
OG0003440	SINT1_21510.1	T265_12653
OG0003441	SINT1_27000.1	T265_16158, T265_13329, T265_03782, T265_12661, T265_00897, T265_12660
OG0003442	SINT1_71610.1, SINT1_71610.2, SINT1_71610.3	T265_10526, T265_07654
OG0003443	SINT1_58610.1, SINT1_58590.1	T265_13942
OG0003444	SINT1_10920.1	T265_14726
OG0003445	SINT1_44830.1, SINT1_44830.3, SINT1_44830.2	T265_07143
OG0003446	SINT1_35080.1	T265_04504
OG0003447	SINT1_5430.1	T265_14249
OG0003448	SINT1_69210.1	T265_10023
OG0003449	SINT1_69220.1	T265_09851
OG0003450	SINT1_65380.1, SINT1_65380.2	T265_12574
OG0003451	SINT1_83970.3, SINT1_83970.1, SINT1_83970.2	T265_04969
OG0003452	SINT1_8690.1, SINT1_8690.3, SINT1_8690.4, SINT1_8690.5, SINT1_8690.6, SINT1_8690.2	T265_08005
OG0003453	SINT1_43390.1, SINT1_43390.2	T265_04993
OG0003454	SINT1_34250.1	T265_14193
OG0003456	SINT1_8240.2, SINT1_8240.1	T265_05545
OG0003457	SINT1_38070.1, SINT1_38070.2	T265_09480, T265_16051
OG0003458	SINT1_39210.2, SINT1_39210.4, SINT1_39210.1, SINT1_39210.3	T265_00691
OG0003459	SINT1_72850.1	T265_07450
OG0003460	SINT1_44490.1	T265_04726
OG0003461	SINT1_82880.1, SINT1_82880.2, SINT1_82880.3	T265_12975
OG0003462	SINT1_39590.1	T265_02574
OG0003463	SINT1_83580.1	T265_10283, T265_10285
OG0003464	SINT1_80120.1	T265_07922
OG0003465	SINT1_62610.1	T265_02038
OG0003467	SINT1_75990.1	T265_14975, T265_09848
OG0003468	SINT1_67840.1	T265_12594
OG0003469	SINT1_50470.3, SINT1_50470.1, SINT1_50470.2, SINT1_50470.5, SINT1_50470.4	T265_08823
OG0003470	SINT1_52140.1	T265_11547, T265_11549
OG0003471	SINT1_45950.1	T265_11489
OG0003472	SINT1_9060.1	T265_15369
OG0003473	SINT1_76690.1, SINT1_76690.2	T265_12937
OG0003474	SINT1_56480.1	T265_02823
OG0003475	SINT1_24550.1, SINT1_24550.2, SINT1_24550.3	T265_09374
OG0003476	SINT1_42770.1	T265_09472, T265_12155
OG0003477	SINT1_87770.1	T265_01902
OG0003478	SINT1_6270.1	T265_08469
OG0003479	SINT1_28080.1, SINT1_28080.2, SINT1_28080.3	T265_13318
OG0003480	SINT1_67150.1	T265_09876, T265_14913
OG0003482	SINT1_86120.1, SINT1_86120.2	T265_05343
OG0003483	SINT1_30460.1, SINT1_30460.2, SINT1_30460.3	T265_13053
OG0003484	SINT1_4250.1	T265_06650
OG0003485	SINT1_82090.1, SINT1_82100.1	T265_13645, T265_13644
OG0003486	SINT1_41360.1	T265_13646
OG0003487	SINT1_51550.1	T265_08087, T265_10196
OG0003488	SINT1_11720.2, SINT1_11720.1, SINT1_11720.3	T265_09073
OG0003489	SINT1_75570.3, SINT1_75570.5, SINT1_75570.4, SINT1_75570.2, SINT1_75570.1	T265_00323
OG0003490	SINT1_8950.2, SINT1_8950.3, SINT1_8950.4, SINT1_8950.1	T265_03113
OG0003491	SINT1_34070.2, SINT1_34070.1	T265_04324
OG0003492	SINT1_60690.3, SINT1_60690.1, SINT1_60690.2, SINT1_60690.4	T265_02536
OG0003493	SINT1_90200.1	T265_11233
OG0003494	SINT1_91470.1, SINT1_91470.2	T265_08759
OG0003495	SINT1_4050.2, SINT1_4050.1, SINT1_4050.3	T265_04558
OG0003496	SINT1_30420.1	T265_02588
OG0003497	SINT1_55440.1, SINT1_55440.2	T265_00036
OG0003498	SINT1_69440.1	T265_02133
OG0003499	SINT1_61810.1, SINT1_61810.2	T265_13442
OG0003500	SINT1_62990.1	T265_07015
OG0003501	SINT1_76290.1	T265_10024
OG0003502	SINT1_86200.1, SINT1_86200.2	T265_13592
OG0003503	SINT1_5760.1, SINT1_5760.2	T265_13487
OG0003505	SINT1_51100.1	T265_12248, T265_00127, T265_16214
OG0003507	SINT1_4060.1	T265_04937
OG0003508	SINT1_64310.1, SINT1_64310.2, SINT1_64310.3	T265_02519
OG0003509	SINT1_44000.1	T265_15081
OG0003510	SINT1_1010.1, SINT1_1010.2	T265_09042
OG0003511	SINT1_64220.1	T265_13027
OG0003513	SINT1_74610.1	T265_09089
OG0003515	SINT1_92320.1	T265_06621
OG0003516	SINT1_50880.2, SINT1_50880.1	T265_10171
OG0003517	SINT1_93860.1, SINT1_93860.2	T265_06615
OG0003518	SINT1_85170.1, SINT1_85170.3, SINT1_85170.2	T265_08612
OG0003519	SINT1_37700.1, SINT1_37700.2	T265_05628
OG0003520	SINT1_57630.1, SINT1_57630.2	T265_01815
OG0003521	SINT1_11910.2, SINT1_11910.3, SINT1_11910.4, SINT1_11910.1, SINT1_11910.5, SINT1_11910.6	T265_04411
OG0003523	SINT1_54590.1, SINT1_54590.2, SINT1_54590.3	T265_01345
OG0003524	SINT1_61730.1	T265_00504
OG0003525	SINT1_3310.1, SINT1_3310.2	T265_01893, T265_08418
OG0003526	SINT1_30150.1	T265_08334
OG0003527	SINT1_78510.1, SINT1_78510.2	T265_11499, T265_16069
OG0003528	SINT1_630.1	T265_11428
OG0003529	SINT1_42180.1	T265_15692, T265_15691
OG0003530	SINT1_65770.1, SINT1_65770.2, SINT1_65770.3	T265_01532
OG0003531	SINT1_10770.1	T265_04537
OG0003532	SINT1_8300.1	T265_15073, T265_10184
OG0003533	SINT1_48310.1, SINT1_48310.2	T265_08083
OG0003534	SINT1_85890.1, SINT1_85890.2	T265_14367
OG0003535	SINT1_94650.1	T265_13748, T265_13749
OG0003536	SINT1_60740.1	T265_03943
OG0003537	SINT1_59030.1	T265_08781, T265_14670
OG0003538	SINT1_22370.1	T265_14277
OG0003540	SINT1_4270.1	T265_06653
OG0003541	SINT1_84710.1	T265_08893
OG0003542	SINT1_63650.1, SINT1_63650.2	T265_00656, T265_13990
OG0003543	SINT1_49520.1	T265_08692
OG0003544	SINT1_48490.1	T265_11978
OG0003545	SINT1_19690.1, SINT1_19690.2, SINT1_19690.3	T265_05565
OG0003547	SINT1_7640.1, SINT1_7640.2	T265_13128
OG0003548	SINT1_96290.1	T265_15344
OG0003549	SINT1_86500.1	T265_08011
OG0003553	SINT1_10000.1, SINT1_9990.1	T265_10953
OG0003554	SINT1_68590.1, SINT1_68590.2, SINT1_68590.3	T265_05158
OG0003555	SINT1_75380.1, SINT1_75380.2	T265_00079
OG0003556	SINT1_60670.3, SINT1_60670.1, SINT1_60670.2	T265_02539
OG0003557	SINT1_46610.1	T265_02901
OG0003558	SINT1_57990.1	T265_03991
OG0003559	SINT1_80600.1	T265_13234
OG0003560	SINT1_62460.1, SINT1_62460.2	T265_14817
OG0003577	SINT1_44540.1	T265_04132
OG0003580	SINT1_15970.1	T265_10604
OG0003581	SINT1_41270.1	T265_10913, T265_14331
OG0003582	SINT1_57070.1	T265_06314, T265_12092, T265_15431
OG0003583	SINT1_2800.1	T265_14147
OG0003584	SINT1_61340.1	T265_10564
OG0003585	SINT1_82570.1	T265_07130
OG0003586	SINT1_45060.1	T265_05888
OG0003587	SINT1_11100.2, SINT1_11100.1, SINT1_11100.3	T265_00983, T265_06561
OG0003588	SINT1_16290.2, SINT1_16290.1	T265_14600
OG0003590	SINT1_6250.1	T265_02486
OG0003591	SINT1_58930.1	T265_01108
OG0003593	SINT1_33430.1	T265_14611
OG0003594	SINT1_15590.1, SINT1_15590.2	T265_15427
OG0003595	SINT1_84070.1	T265_07915
OG0003596	SINT1_52770.1	T265_00838
OG0003597	SINT1_72210.3, SINT1_72210.1, SINT1_72210.2	T265_14097
OG0003598	SINT1_36230.1	T265_14336
OG0003599	SINT1_13420.1	T265_14959
OG0003600	SINT1_5180.1	T265_05129
OG0003601	SINT1_27660.1	T265_07052
OG0003602	SINT1_64240.1, SINT1_64240.2	T265_02041
OG0003603	SINT1_70310.1	T265_05734
OG0003605	SINT1_16580.1	T265_11576
OG0003606	SINT1_34320.1, SINT1_34320.2, SINT1_34320.3, SINT1_34320.4, SINT1_34320.5, SINT1_34320.6	T265_10609
OG0003607	SINT1_15130.1, SINT1_15130.2	T265_13798
OG0003608	SINT1_36160.1	T265_00734
OG0003609	SINT1_24640.1, SINT1_24640.2	T265_07040
OG0003610	SINT1_86930.1	T265_05958
OG0003611	SINT1_53970.1, SINT1_53970.2	T265_08091
OG0003612	SINT1_59060.1	T265_13022, T265_02498
OG0003613	SINT1_67630.1	T265_04789
OG0003615	SINT1_38960.1	T265_04147
OG0003616	SINT1_17770.1	T265_03030
OG0003617	SINT1_60290.1	T265_03178
OG0003618	SINT1_24450.1	T265_03758
OG0003619	SINT1_10510.1, SINT1_10510.2	T265_01591, T265_07717
OG0003620	SINT1_48880.1	T265_13102
OG0003621	SINT1_54020.1, SINT1_54020.2, SINT1_54020.3, SINT1_54020.4	T265_01334
OG0003622	SINT1_69790.1	T265_02194
OG0003623	SINT1_49860.1, SINT1_49860.2, SINT1_49860.3	T265_13109
OG0003624	SINT1_12020.1	T265_09870
OG0003625	SINT1_84660.1	T265_09174
OG0003626	SINT1_84130.1	T265_14517
OG0003627	SINT1_83910.1	T265_08254
OG0003629	SINT1_7340.1	T265_01597
OG0003630	SINT1_35820.1	T265_00552
OG0003631	SINT1_77490.1, SINT1_77490.2, SINT1_77490.3, SINT1_77490.4	T265_05474
OG0003632	SINT1_63950.1, SINT1_63950.2	T265_01555
OG0003633	SINT1_53200.1	T265_00479
OG0003634	SINT1_76790.1	T265_13087
OG0003635	SINT1_75330.1	T265_15443, T265_02172, T265_03007, T265_06156
OG0003636	SINT1_72880.1, SINT1_72880.2	T265_14928
OG0003637	SINT1_66930.1	T265_15655
OG0003638	SINT1_53870.2, SINT1_53870.1, SINT1_53870.4, SINT1_53870.3, SINT1_53850.1	T265_05106
OG0003639	SINT1_53880.1, SINT1_53880.2	T265_05104, T265_16000
OG0003640	SINT1_4750.1, SINT1_4750.4, SINT1_4750.2, SINT1_4750.3	T265_01012
OG0003641	SINT1_74560.1	T265_02862
OG0003642	SINT1_56300.2, SINT1_56300.1	T265_12743, T265_01199
OG0003643	SINT1_71480.1	T265_00281
OG0003645	SINT1_47060.1	T265_00160, T265_00162
OG0003646	SINT1_53410.2, SINT1_53410.5, SINT1_53410.1, SINT1_53410.3, SINT1_53410.4	T265_03853
OG0003647	SINT1_15450.1	T265_11848, T265_15568
OG0003648	SINT1_10140.1	T265_10268
OG0003649	SINT1_38570.1, SINT1_38570.2	T265_00575
OG0003650	SINT1_15510.1	T265_15117
OG0003651	SINT1_50450.1, SINT1_50450.2	T265_13683
OG0003652	SINT1_54000.1	T265_00794, T265_12637
OG0003653	SINT1_39780.1	T265_02615
OG0003654	SINT1_66040.1	T265_08494
OG0003655	SINT1_30190.1	T265_05208
OG0003656	SINT1_69990.1, SINT1_69990.2, SINT1_69990.3, SINT1_69990.4	T265_03290
OG0003657	SINT1_3470.1, SINT1_3470.2, SINT1_3470.3	T265_11037
OG0003658	SINT1_71500.1	T265_07445
OG0003659	SINT1_77360.1	T265_02794
