Orthogroup	schistosoma_intercalatum	schistosoma_japonicum
OG0003684	SINT1_96660.1	EWB00_006035.1, EWB00_006035.2, EWB00_006035.3, EWB00_006035.4, EWB00_006035.5, EWB00_006035.6
OG0003685	SINT1_38230.1	EWB00_003138.1, EWB00_003138.2, EWB00_003138.3
OG0003686	SINT1_89510.1, SINT1_89510.2	EWB00_011413
OG0003687	SINT1_96200.1, SINT1_96230.1	EWB00_007519.1, EWB00_007519.2
OG0003688	SINT1_80810.1	EWB00_003772.1, EWB00_003772.2
OG0003689	SINT1_62220.1	EWB00_009575
OG0003690	SINT1_54960.1, SINT1_54960.2	EWB00_002226
OG0003692	SINT1_38360.1, SINT1_38360.2	EWB00_004391.1, EWB00_004391.2
OG0003693	SINT1_53130.1	EWB00_010686.1, EWB00_010686.2
OG0003694	SINT1_23970.1, SINT1_23970.2, SINT1_23970.3	EWB00_000304, EWB00_000307
OG0003695	SINT1_64300.1, SINT1_64300.2	EWB00_003647.1, EWB00_003647.2
OG0003696	SINT1_69050.1, SINT1_69050.2	EWB00_001602
OG0003697	SINT1_1450.1	EWB00_005635, EWB00_005637
OG0003698	SINT1_32890.1, SINT1_32890.2, SINT1_32890.4, SINT1_32890.6, SINT1_32890.3, SINT1_32890.5	EWB00_002117
OG0003699	SINT1_32450.1, SINT1_32450.2	EWB00_003423
OG0003700	SINT1_46260.1	EWB00_004032
OG0003701	SINT1_79850.2, SINT1_79850.1, SINT1_79850.3	EWB00_009667.3, EWB00_009667.1, EWB00_009667.2
OG0003703	SINT1_12250.1	EWB00_008321.1, EWB00_008321.2, EWB00_008321.3
OG0003704	SINT1_33510.1, SINT1_33510.2	EWB00_002913
OG0003705	SINT1_34470.1, SINT1_34470.2, SINT1_34470.3, SINT1_34470.4, SINT1_34470.5, SINT1_34470.6	EWB00_007861.1, EWB00_007861.2, EWB00_007861.3, EWB00_007861.4
OG0003706	SINT1_89730.3, SINT1_89730.2, SINT1_89730.1	EWB00_006725.2, EWB00_006725.3, EWB00_006725.1, EWB00_006725.4
OG0003707	SINT1_4820.1	EWB00_009563
OG0003708	SINT1_61150.1	EWB00_011137.1, EWB00_011137.2
OG0003709	SINT1_2070.1, SINT1_2070.2	EWB00_007188.1, EWB00_007188.2
OG0003710	SINT1_33570.1	EWB00_002909
OG0003711	SINT1_66560.1, SINT1_66560.2	EWB00_005806.3, EWB00_005806.4, EWB00_005806.1, EWB00_005806.2
OG0003712	SINT1_17880.1, SINT1_17880.2, SINT1_17880.4, SINT1_17880.3	EWB00_006554
OG0003713	SINT1_85790.1	EWB00_009273.1, EWB00_009273.2, EWB00_009273.3, EWB00_009273.4, EWB00_009273.5, EWB00_009273.6
OG0003714	SINT1_87450.1, SINT1_87460.1	EWB00_001967
OG0003715	SINT1_25720.1	EWB00_000284
OG0003716	SINT1_91520.2, SINT1_91520.1, SINT1_91520.3	EWB00_000586, EWB00_000585, EWB00_000587, EWB00_008976, EWB00_008977
OG0003717	SINT1_71970.1	EWB00_006610
OG0003718	SINT1_76490.1	EWB00_004550.1, EWB00_004550.2, EWB00_011024.1, EWB00_011024.2, EWB00_011024.3, EWB00_011025
OG0003719	SINT1_49940.1	EWB00_005358.3, EWB00_005358.1, EWB00_005358.2
OG0003720	SINT1_59600.1	EWB00_006573
OG0003721	SINT1_90410.1, SINT1_90410.2	EWB00_008312
OG0003722	SINT1_90380.1, SINT1_90390.1	EWB00_009647, EWB00_009956
OG0003723	SINT1_91240.1, SINT1_91240.2	EWB00_007414.1, EWB00_007414.2
OG0003724	SINT1_19740.1	EWB00_010352
OG0003725	SINT1_5630.1	EWB00_006327.2, EWB00_006327.1
OG0003726	SINT1_54300.1	EWB00_008109
OG0003727	SINT1_29080.1	EWB00_000633.1, EWB00_000633.2
OG0003728	SINT1_20290.1	EWB00_010342.2
OG0003730	SINT1_49720.2, SINT1_49720.3, SINT1_49720.1, SINT1_49720.4, SINT1_49720.5	EWB00_003610
OG0003731	SINT1_81440.1, SINT1_81440.2, SINT1_81440.3	EWB00_008961.1, EWB00_008961.3, EWB00_008961.2
OG0003732	SINT1_80270.1	EWB00_000133.1, EWB00_000133.2, EWB00_000133.3, EWB00_000133.4
OG0003733	SINT1_7260.1, SINT1_7260.2	EWB00_007797.1, EWB00_007797.2
OG0003734	SINT1_3620.1	EWB00_009076
OG0003735	SINT1_5050.1	EWB00_006333.1, EWB00_006333.4, EWB00_006333.5, EWB00_006333.2, EWB00_006333.3
OG0003736	SINT1_68570.1, SINT1_68570.6, SINT1_68570.5, SINT1_68570.2, SINT1_68570.4, SINT1_68570.3	EWB00_010074
OG0003737	SINT1_1270.4, SINT1_1270.1, SINT1_1270.3, SINT1_1270.2	EWB00_010248.1, EWB00_010248.2
OG0003738	SINT1_43800.1	EWB00_001567
OG0003739	SINT1_49680.1	EWB00_007591
OG0003740	SINT1_27040.1	EWB00_005007.3, EWB00_005007.2, EWB00_005007.1
OG0003741	SINT1_53370.1	EWB00_005392.1, EWB00_005392.2
OG0003742	SINT1_59120.1	EWB00_000513
OG0003743	SINT1_63530.1	EWB00_010440, EWB00_010441
OG0003744	SINT1_31460.1	EWB00_004619.3, EWB00_004619.1, EWB00_004619.2
OG0003745	SINT1_30880.1	EWB00_010112
OG0003746	SINT1_3500.6, SINT1_3500.1, SINT1_3500.3, SINT1_3500.4, SINT1_3500.2, SINT1_3500.5	EWB00_000871.1, EWB00_000871.2
OG0003747	SINT1_24860.1, SINT1_24860.2, SINT1_24860.4, SINT1_24860.3	EWB00_001123
OG0003748	SINT1_3360.1	EWB00_001647
OG0003749	SINT1_21680.3, SINT1_21680.4, SINT1_21680.1, SINT1_21680.2	EWB00_010787
OG0003750	SINT1_78420.1	EWB00_002265
OG0003751	SINT1_84230.1	EWB00_004931.1, EWB00_004931.2, EWB00_004931.3, EWB00_004931.4, EWB00_004931.5
OG0003752	SINT1_34460.1, SINT1_34460.2	EWB00_007860
OG0003753	SINT1_21850.1	EWB00_003508
OG0003754	SINT1_79460.1, SINT1_79460.2, SINT1_79460.3	EWB00_006735
OG0003755	SINT1_2200.1, SINT1_2200.2	EWB00_007204
OG0003756	SINT1_89390.1	EWB00_001962.4, EWB00_001962.2, EWB00_001962.1, EWB00_001962.3, EWB00_001962.5
OG0003757	SINT1_41450.1, SINT1_41450.2, SINT1_41450.3	EWB00_008546
OG0003758	SINT1_32880.1	EWB00_002116
OG0003759	SINT1_67720.1	EWB00_009771
OG0003760	SINT1_41690.1, SINT1_41690.3, SINT1_41690.2	EWB00_008394
OG0003762	SINT1_86870.1	EWB00_003051.2, EWB00_003051.4, EWB00_003051.3, EWB00_003051.1
OG0003763	SINT1_41350.1	EWB00_007661.1, EWB00_007661.2
OG0003764	SINT1_39160.1, SINT1_39160.2	EWB00_006199
OG0003765	SINT1_12060.1, SINT1_12060.2	EWB00_003452
OG0003766	SINT1_46580.1, SINT1_46580.2	EWB00_002536
OG0003767	SINT1_59820.1, SINT1_59820.2	EWB00_007964
OG0003768	SINT1_1720.1, SINT1_1720.2	EWB00_003836
OG0003769	SINT1_25140.1	EWB00_004212
OG0003770	SINT1_69770.1	EWB00_009719.1, EWB00_009719.2
OG0003771	SINT1_6670.1	EWB00_008526
OG0003772	SINT1_48080.1	EWB00_010730
OG0003773	SINT1_86740.1	EWB00_009865.3, EWB00_009865.1, EWB00_009865.2, EWB00_009865.4
OG0003774	SINT1_71370.1, SINT1_71370.2	EWB00_002713.1, EWB00_002713.2
OG0003776	SINT1_7760.3, SINT1_7760.1, SINT1_7760.2	EWB00_002092.1, EWB00_002092.2
OG0003778	SINT1_91230.1, SINT1_91230.2	EWB00_007416
OG0003779	SINT1_13760.2, SINT1_13760.1	EWB00_004116.1, EWB00_004116.2
OG0003780	SINT1_66070.1, SINT1_66070.2	EWB00_009799.1, EWB00_009799.3, EWB00_009799.2
OG0003781	SINT1_26380.1, SINT1_26380.2	EWB00_003736.1, EWB00_003736.2, EWB00_003736.4, EWB00_003736.3
OG0003782	SINT1_50220.1, SINT1_50220.2	EWB00_004431
OG0003783	SINT1_46060.1	EWB00_000185
OG0003784	SINT1_46220.1	EWB00_000199.2, EWB00_000199.1, EWB00_000199.3
OG0003785	SINT1_44850.1	EWB00_008287.1, EWB00_008287.2
OG0003786	SINT1_63250.1	EWB00_010409, EWB00_010408
OG0003787	SINT1_21100.1, SINT1_21100.2, SINT1_21100.3, SINT1_21100.4	EWB00_006417.1, EWB00_006417.2
OG0003788	SINT1_70620.1	EWB00_002741
OG0003789	SINT1_8050.1, SINT1_8050.2, SINT1_8050.3	EWB00_008710.2, EWB00_008710.1, EWB00_008710.3
OG0003790	SINT1_29860.1	EWB00_006033
OG0003791	SINT1_46340.1	EWB00_004056.1, EWB00_004056.3, EWB00_004056.2
OG0003792	SINT1_55230.1	EWB00_003807, EWB00_003805
OG0003793	SINT1_46500.1	EWB00_002530.1, EWB00_002530.2
OG0003794	SINT1_84350.1, SINT1_84350.2	EWB00_009010.1, EWB00_009010.2, EWB00_009010.3
OG0003795	SINT1_290.1	EWB00_010203
OG0003796	SINT1_65050.1, SINT1_65050.2, SINT1_65050.3	EWB00_010486
OG0003797	SINT1_74680.1, SINT1_74680.2	EWB00_007171
OG0003799	SINT1_80440.1, SINT1_80440.2, SINT1_80440.3	EWB00_000150.1, EWB00_000150.2, EWB00_000150.3
OG0003800	SINT1_23480.2, SINT1_23480.1	EWB00_007097
OG0003801	SINT1_53100.1, SINT1_53100.2	EWB00_010684.1, EWB00_010684.2, EWB00_010684.3
OG0003802	SINT1_77210.1	EWB00_001220
OG0003803	SINT1_10190.1, SINT1_10190.2, SINT1_10190.3, SINT1_10190.4, SINT1_10190.5	EWB00_009246.2, EWB00_009246.3, EWB00_009246.4, EWB00_009246.1, EWB00_009246.6, EWB00_009246.5
OG0003804	SINT1_15490.1, SINT1_15490.2, SINT1_15490.3, SINT1_15490.4	EWB00_006457.1, EWB00_006457.2
OG0003805	SINT1_950.1	EWB00_005679
OG0003806	SINT1_7910.1	EWB00_004442.1, EWB00_004442.2, EWB00_004443
OG0003807	SINT1_36990.1	EWB00_005612.1, EWB00_005612.2, EWB00_005612.3
OG0003808	SINT1_78360.1	EWB00_002275
OG0003809	SINT1_70040.1	EWB00_000951
OG0003811	SINT1_26990.1	EWB00_005012.1, EWB00_005012.2, EWB00_005012.3, EWB00_005012.4
OG0003812	SINT1_25060.1	EWB00_005241.1, EWB00_005241.2, EWB00_005241.3
OG0003814	SINT1_80900.1	EWB00_001506.2, EWB00_001506.1, EWB00_001506.3
OG0003815	SINT1_87660.1, SINT1_87660.2, SINT1_87660.3, SINT1_87660.4, SINT1_87660.6, SINT1_87660.5	EWB00_011390.1, EWB00_011390.2
OG0003816	SINT1_59310.1, SINT1_59310.2	EWB00_005172
OG0003817	SINT1_59890.1, SINT1_59890.2	EWB00_011260.3, EWB00_011260.2, EWB00_011260.1
OG0003818	SINT1_30500.3, SINT1_30500.4, SINT1_30500.1, SINT1_30500.2	EWB00_006079.2, EWB00_006079.1, EWB00_006079.3
OG0003819	SINT1_28000.5, SINT1_28000.3, SINT1_28000.1, SINT1_28000.4, SINT1_28000.2	EWB00_003354.1, EWB00_003354.2
OG0003820	SINT1_41310.1, SINT1_41320.1	EWB00_007665
OG0003821	SINT1_12110.1	EWB00_008953.1, EWB00_008953.2
OG0003822	SINT1_91790.1	EWB00_005887.1, EWB00_005887.3
OG0003827	SINT1_30020.1	EWB00_006016
OG0003828	SINT1_37610.1	EWB00_009130, EWB00_009129
OG0003829	SINT1_7200.1, SINT1_7200.2	EWB00_008674.1, EWB00_008674.2
OG0003830	SINT1_11490.2, SINT1_11490.1, SINT1_11490.4, SINT1_11490.3	EWB00_004192.1, EWB00_004192.2
OG0003831	SINT1_93980.1, SINT1_93980.2	EWB00_009510
OG0003832	SINT1_93940.2, SINT1_93940.1, SINT1_93940.3	EWB00_004787
OG0003833	SINT1_44990.1	EWB00_004886
OG0003834	SINT1_2980.1, SINT1_2980.2	EWB00_008633, EWB00_008632
OG0003835	SINT1_15940.1, SINT1_15940.2	EWB00_010282.1, EWB00_010282.3, EWB00_010282.2
OG0003836	SINT1_29990.1	EWB00_006020.1, EWB00_006020.2
OG0003837	SINT1_40220.1	EWB00_003928.1, EWB00_003928.2
OG0003838	SINT1_14150.1	EWB00_003701.1, EWB00_003701.2, EWB00_003701.3
OG0003839	SINT1_12000.1	EWB00_002192, EWB00_002193
OG0003841	SINT1_38330.1	EWB00_004393
OG0003842	SINT1_30350.1, SINT1_30350.2	EWB00_005988
OG0003843	SINT1_8320.1	EWB00_008834.1, EWB00_008834.2
OG0003844	SINT1_32990.1	EWB00_002130.1, EWB00_002130.2
OG0003845	SINT1_90420.1, SINT1_90420.2	EWB00_008313
OG0003846	SINT1_4590.1	EWB00_000107
OG0003847	SINT1_61330.3, SINT1_61330.1, SINT1_61330.2	EWB00_011158
OG0003848	SINT1_84190.1, SINT1_84190.3, SINT1_84190.2	EWB00_004934
OG0003849	SINT1_19920.1, SINT1_19920.2	EWB00_010310
OG0003850	SINT1_29550.1	EWB00_007943
OG0003851	SINT1_62530.1	EWB00_000395.1, EWB00_000395.2
OG0003852	SINT1_91830.1	EWB00_005883, EWB00_005884, EWB00_005882, EWB00_005881
OG0003853	SINT1_94660.1	EWB00_006670
OG0003854	SINT1_66020.1, SINT1_66020.2, SINT1_66020.3, SINT1_66020.4, SINT1_66020.5	EWB00_009805
OG0003855	SINT1_40850.1	EWB00_007977.2, EWB00_007977.1, EWB00_007977.3
OG0003856	SINT1_83860.1, SINT1_83860.2	EWB00_001328
OG0003857	SINT1_38640.1, SINT1_38640.2, SINT1_38640.3	EWB00_009551.1, EWB00_009551.2, EWB00_009551.3, EWB00_009551.4, EWB00_009551.5
OG0003858	SINT1_32480.1	EWB00_005924
OG0003859	SINT1_62910.1	EWB00_007124
OG0003860	SINT1_39140.1, SINT1_39140.4, SINT1_39140.2, SINT1_39140.3	EWB00_006202.1, EWB00_006202.2
OG0003861	SINT1_37690.1	EWB00_007710
OG0003863	SINT1_22870.1	EWB00_007564.2
OG0003865	SINT1_91950.1	EWB00_005866.1, EWB00_005866.3, EWB00_005866.2
OG0003866	SINT1_40410.1	EWB00_003913.1, EWB00_003913.4, EWB00_003913.2, EWB00_003913.3
OG0003867	SINT1_47320.1	EWB00_006888.1, EWB00_006888.4, EWB00_006888.2, EWB00_006888.3
OG0003868	SINT1_60750.1	EWB00_011354.1, EWB00_011354.2, EWB00_011354.3
OG0003869	SINT1_41680.1	EWB00_008395.3, EWB00_008395.2, EWB00_008395.1
OG0003870	SINT1_91710.1	EWB00_006041.1, EWB00_006041.2, EWB00_006041.3
OG0003871	SINT1_30620.1, SINT1_30620.2	EWB00_002874
OG0003872	SINT1_56310.1	EWB00_003568
OG0003873	SINT1_79410.1, SINT1_79410.2, SINT1_79410.3	EWB00_008775
OG0003875	SINT1_23490.1	EWB00_007096
OG0003876	SINT1_39550.1, SINT1_39550.2	EWB00_006152.1, EWB00_006152.2
OG0003877	SINT1_61940.1	EWB00_009177.1, EWB00_009177.2
OG0003878	SINT1_61950.1	EWB00_009178
OG0003879	SINT1_79290.1	EWB00_003492
OG0003880	SINT1_89230.1	EWB00_002066
OG0003881	SINT1_60560.1	EWB00_011332.1, EWB00_011332.3, EWB00_011332.2
OG0003882	SINT1_91940.1	EWB00_005868.1, EWB00_005868.2
OG0003883	SINT1_60480.1	EWB00_011321.2, EWB00_011321.1, EWB00_011321.3
OG0003884	SINT1_24370.1, SINT1_24370.2	EWB00_006990.1, EWB00_006990.2, EWB00_006990.3, EWB00_006990.4, EWB00_006990.5
OG0003885	SINT1_85250.1	EWB00_006914.3, EWB00_006914.1, EWB00_006914.2
OG0003886	SINT1_38350.1, SINT1_38350.2	EWB00_004392
OG0003887	SINT1_86820.1	EWB00_003045
OG0003888	SINT1_88990.1	EWB00_005898, EWB00_005075.1, EWB00_005075.2
OG0003889	SINT1_74510.1	EWB00_007147.1, EWB00_007147.2
OG0003890	SINT1_20950.1	EWB00_006435
OG0003891	SINT1_14180.1	EWB00_003704.1, EWB00_003704.2
OG0003892	SINT1_86720.2, SINT1_86720.1	EWB00_004872
OG0003894	SINT1_11860.1	EWB00_008446.1, EWB00_008446.3, EWB00_008446.2, EWB00_008446.4, EWB00_008446.5
OG0003895	SINT1_52350.1, SINT1_52350.4, SINT1_52350.2, SINT1_52350.3	EWB00_006795.1, EWB00_006795.2
OG0003896	SINT1_52830.1, SINT1_52830.2, SINT1_52830.3	EWB00_010655.1, EWB00_010655.2
OG0003897	SINT1_29390.1	EWB00_009154.3, EWB00_009154.1, EWB00_009154.2
OG0003898	SINT1_9220.1	EWB00_003094.1, EWB00_003094.2
OG0003899	SINT1_52390.2, SINT1_52380.1, SINT1_52390.1	EWB00_006793
OG0003900	SINT1_68070.1	EWB00_008548
OG0003902	SINT1_86380.1	EWB00_000314
OG0003903	SINT1_67900.3, SINT1_67900.4, SINT1_67900.5, SINT1_67900.6, SINT1_67900.1, SINT1_67900.2	EWB00_008924
OG0003904	SINT1_67340.1	EWB00_006255.1, EWB00_006255.2
OG0003905	SINT1_92870.2, SINT1_92870.3, SINT1_92870.5, SINT1_92870.1, SINT1_92870.4	EWB00_000552, EWB00_000553
OG0003907	SINT1_400.1	EWB00_003598.1, EWB00_003598.2, EWB00_003598.3
OG0003908	SINT1_22490.1	EWB00_008568
OG0003909	SINT1_36080.1	EWB00_004282.1
OG0003910	SINT1_55960.1	EWB00_001202.1, EWB00_001202.2, EWB00_001202.4, EWB00_001202.3
OG0003911	SINT1_40990.1	EWB00_007991.1, EWB00_007991.2, EWB00_007991.4, EWB00_007991.3
OG0003912	SINT1_78260.3, SINT1_78260.1, SINT1_78260.2	EWB00_002288.1, EWB00_002288.2
OG0003913	SINT1_30850.1	EWB00_002901.1, EWB00_002901.2
OG0003914	SINT1_68810.1	EWB00_009669, EWB00_002785
OG0003915	SINT1_68820.1	EWB00_000528
OG0003917	SINT1_14520.1, SINT1_14520.2	EWB00_004210.1, EWB00_004210.2, EWB00_010603
OG0003918	SINT1_49750.1	EWB00_003606.1, EWB00_003606.2
OG0003919	SINT1_34190.1	EWB00_001779.2, EWB00_001779.4, EWB00_001779.1, EWB00_001779.3
OG0003920	SINT1_16830.1	EWB00_007634, EWB00_007633
OG0003921	SINT1_69260.1	EWB00_003667.1, EWB00_003667.2, EWB00_003667.3
OG0003922	SINT1_67250.1	EWB00_006247
OG0003923	SINT1_24780.2, SINT1_24780.1	EWB00_001116.1, EWB00_001116.2
OG0003924	SINT1_55900.1	EWB00_001207.2, EWB00_001207.1, EWB00_001207.3
OG0003925	SINT1_52610.1	EWB00_010627.1, EWB00_010627.2
OG0003926	SINT1_25500.1	EWB00_000258
OG0003927	SINT1_68140.3, SINT1_68140.1, SINT1_68140.2	EWB00_008556
OG0003928	SINT1_40950.1, SINT1_40950.2	EWB00_007987
OG0003929	SINT1_45620.1	EWB00_009265.1, EWB00_009265.2
OG0003930	SINT1_79090.1, SINT1_79090.2	EWB00_003472.1, EWB00_003472.2
OG0003931	SINT1_52690.1, SINT1_52690.2, SINT1_52690.3, SINT1_52690.4	EWB00_010615.1, EWB00_010615.3, EWB00_010615.2
OG0003932	SINT1_14770.2, SINT1_14770.1	EWB00_004188.1, EWB00_004188.2
OG0003933	SINT1_45010.1	EWB00_000008, EWB00_009721
OG0003934	SINT1_410.1	EWB00_003596.2, EWB00_003596.1, EWB00_003596.3
OG0003935	SINT1_14450.1	EWB00_004206.3, EWB00_004206.1, EWB00_004206.2
OG0003936	SINT1_6590.1, SINT1_6590.2, SINT1_6590.3, SINT1_6590.4	EWB00_005910
OG0003937	SINT1_47710.1, SINT1_47710.2	EWB00_010776
OG0003938	SINT1_72080.1	EWB00_006624
OG0003939	SINT1_83200.1, SINT1_83200.2, SINT1_83200.3	EWB00_004488.1, EWB00_004488.3, EWB00_004488.2
OG0003940	SINT1_13040.1, SINT1_13040.2	EWB00_010014
OG0003941	SINT1_4180.1	EWB00_004841
OG0003941	SINT1_4190.1, SINT1_4190.2	EWB00_004842
OG0003942	SINT1_45880.1, SINT1_45880.2, SINT1_45880.3, SINT1_45880.4	EWB00_003638.1, EWB00_003638.2
OG0003943	SINT1_46390.1	EWB00_004051
OG0003944	SINT1_46380.1	EWB00_004052
OG0003945	SINT1_86100.4, SINT1_86100.2, SINT1_86100.1, SINT1_86100.5, SINT1_86100.3	EWB00_007531
OG0003946	SINT1_24870.1	EWB00_001125, EWB00_001124
OG0003947	SINT1_40630.1, SINT1_40630.4, SINT1_40630.2, SINT1_40630.3	EWB00_007816
OG0003948	SINT1_56580.1	EWB00_005142
OG0003949	SINT1_54060.1	EWB00_008117.1, EWB00_008117.2, EWB00_008117.3
OG0003950	SINT1_6460.1, SINT1_6460.2	EWB00_008455
OG0003951	SINT1_48530.1, SINT1_48520.1	EWB00_008072
OG0003952	SINT1_88680.1	EWB00_001856.1, EWB00_001856.2
OG0003953	SINT1_79430.1, SINT1_79430.2	EWB00_006729.1, EWB00_006729.4, EWB00_006729.2, EWB00_006729.3, EWB00_006729.5
OG0003954	SINT1_60850.1, SINT1_60890.1, SINT1_60840.1	EWB00_011100, EWB00_011099
OG0003955	SINT1_49630.1	EWB00_007597
OG0003956	SINT1_62490.1, SINT1_62490.2	EWB00_000398.2, EWB00_000398.1, EWB00_000398.3, EWB00_000398.4
OG0003957	SINT1_34900.3	EWB00_008169.2
OG0003957	SINT1_34900.1	EWB00_008169.1
OG0003958	SINT1_25970.1, SINT1_25970.2	EWB00_004101.2, EWB00_004101.5, EWB00_004101.6, EWB00_004101.1, EWB00_004101.3, EWB00_004101.4
OG0003959	SINT1_11950.1, SINT1_11950.2	EWB00_004638
OG0003960	SINT1_51470.1, SINT1_51470.2, SINT1_51470.3, SINT1_51480.1	EWB00_006515.1, EWB00_006515.2
OG0003961	SINT1_70750.1, SINT1_70750.2	EWB00_008772
OG0003962	SINT1_30430.1	EWB00_005979
OG0003963	SINT1_19380.1, SINT1_19380.2	EWB00_008819
OG0003965	SINT1_27550.1	EWB00_010883.1, EWB00_010883.2
OG0003966	SINT1_8250.1, SINT1_8250.2, SINT1_8250.3	EWB00_008837.1
OG0003967	SINT1_42340.1, SINT1_42340.2	EWB00_002798
OG0003968	SINT1_3260.1	EWB00_007339.1, EWB00_007339.2, EWB00_007339.3, EWB00_007339.4, EWB00_007339.5
OG0003969	SINT1_82620.1, SINT1_82630.1	EWB00_008405, EWB00_008406
OG0003970	SINT1_90790.3, SINT1_90790.2, SINT1_90790.1	EWB00_000376
OG0003971	SINT1_62630.1	EWB00_009792
OG0003972	SINT1_31310.1, SINT1_31310.2, SINT1_31310.3	EWB00_007469.1, EWB00_007469.5, EWB00_007469.4, EWB00_007469.2, EWB00_007469.3, EWB00_007469.6
OG0003973	SINT1_94560.1	EWB00_000005
OG0003974	SINT1_53590.1, SINT1_53590.2, SINT1_53590.3, SINT1_53590.4, SINT1_53590.5, SINT1_53590.6, SINT1_53590.7	EWB00_005369
OG0003975	SINT1_39040.1	EWB00_006211.1, EWB00_006211.2
OG0003976	SINT1_25320.1, SINT1_25320.2, SINT1_25320.5, SINT1_25320.6, SINT1_25320.3, SINT1_25320.4	EWB00_004231
OG0003977	SINT1_53430.1, SINT1_53430.2	EWB00_005387.1, EWB00_005387.2
OG0003978	SINT1_48340.1	EWB00_010706.1, EWB00_010706.3, EWB00_010706.2, EWB00_010706.4
OG0003979	SINT1_14210.1	EWB00_003707.1, EWB00_003707.2
OG0003980	SINT1_91150.1	EWB00_007431
OG0003981	SINT1_23540.1, SINT1_23540.2	EWB00_007090.2, EWB00_007090.4, EWB00_007090.3, EWB00_007090.5
OG0003981	SINT1_23540.3	EWB00_007090.1
OG0003982	SINT1_65300.1	EWB00_010445.1, EWB00_010445.2
OG0003983	SINT1_60580.1	EWB00_011334.1, EWB00_011334.2
OG0003985	SINT1_65030.1	EWB00_010488.3, EWB00_010488.4, EWB00_010488.1, EWB00_010488.2
OG0003986	SINT1_65440.1, SINT1_65440.2	EWB00_010398
OG0003987	SINT1_7940.1	EWB00_005816, EWB00_009505
OG0003988	SINT1_37790.1	EWB00_007702
OG0003989	SINT1_58260.1, SINT1_58260.2, SINT1_58260.3	EWB00_010031
OG0003990	SINT1_48970.1, SINT1_48970.2	EWB00_008743.1, EWB00_008743.2
OG0003991	SINT1_14920.1	EWB00_004166
OG0003992	SINT1_31440.1	EWB00_004622.4, EWB00_004622.1, EWB00_004622.3, EWB00_004622.2
OG0003993	SINT1_75070.1, SINT1_95790.1	EWB00_010970
OG0003994	SINT1_41050.1	EWB00_001578.1, EWB00_001578.2
OG0003995	SINT1_86510.1	EWB00_003271.1, EWB00_003271.2
OG0003996	SINT1_54030.1, SINT1_54030.3, SINT1_54030.2	EWB00_008121.3, EWB00_008121.1, EWB00_008121.2
OG0003998	SINT1_14640.1	EWB00_009366.1, EWB00_009366.2
OG0003999	SINT1_22540.1, SINT1_22540.2	EWB00_008563.1, EWB00_008563.2
OG0004000	SINT1_64210.1, SINT1_64210.2	EWB00_009870.1, EWB00_009870.3, EWB00_009870.2
OG0004001	SINT1_46680.1	EWB00_002548.3, EWB00_002548.1, EWB00_002548.2
OG0004002	SINT1_75030.1, SINT1_75030.2	EWB00_010964
OG0004003	SINT1_33020.1	EWB00_002134
OG0004004	SINT1_69360.1	EWB00_008657
OG0004005	SINT1_38170.1	EWB00_003143.2, EWB00_003143.3, EWB00_003143.5, EWB00_003143.4
OG0004006	SINT1_32840.1, SINT1_32840.2	EWB00_005972.1, EWB00_005972.2, EWB00_005972.3
OG0004007	SINT1_70570.1	EWB00_002738.1, EWB00_002738.2
OG0004008	SINT1_25670.2, SINT1_25670.1	EWB00_000280.1, EWB00_000280.2
OG0004010	SINT1_23020.1	EWB00_007550.1, EWB00_007550.2
OG0004011	SINT1_76190.1	EWB00_001416
OG0004012	SINT1_53510.1	EWB00_005377
OG0004012	SINT1_53500.1	EWB00_005376
OG0004013	SINT1_65160.1	EWB00_010472
OG0004014	SINT1_83570.1	EWB00_001659.1, EWB00_001659.2
OG0004015	SINT1_92740.1	EWB00_008942.1, EWB00_008942.2
OG0004016	SINT1_1380.1, SINT1_1380.2	EWB00_005644
OG0004018	SINT1_85240.4, SINT1_85240.1, SINT1_85240.2, SINT1_85240.3	EWB00_006915
OG0004019	SINT1_85820.1, SINT1_85820.2	EWB00_009268.1, EWB00_009268.2, EWB00_009268.3
OG0004021	SINT1_87650.1, SINT1_87650.2, SINT1_87650.3	EWB00_011391.1, EWB00_011391.2
OG0004022	SINT1_87160.1, SINT1_87160.2	EWB00_009287.1, EWB00_009287.2, EWB00_009287.3, EWB00_009287.4, EWB00_009287.5, EWB00_009287.6, EWB00_009287.7
OG0004023	SINT1_59900.1	EWB00_011261.1, EWB00_011261.2
OG0004024	SINT1_1150.1	EWB00_008002
OG0004025	SINT1_21860.1	EWB00_003510
OG0004026	SINT1_38790.1	EWB00_009538
OG0004027	SINT1_75530.1	EWB00_011023
OG0004028	SINT1_41020.1, SINT1_41020.2	EWB00_009204
OG0004029	SINT1_69170.1, SINT1_69170.2	EWB00_001618.1, EWB00_001618.2
OG0004030	SINT1_18760.1, SINT1_18760.2, SINT1_18760.3	EWB00_005474.1, EWB00_005474.3, EWB00_005474.4, EWB00_005474.2
OG0004031	SINT1_32510.1	EWB00_005920
OG0004032	SINT1_14380.1	EWB00_009395
OG0004033	SINT1_40330.1	EWB00_003914
OG0004034	SINT1_90260.1	EWB00_008582
OG0004035	SINT1_87410.1	EWB00_001972
OG0004036	SINT1_38220.1, SINT1_38220.2	EWB00_003139
OG0004037	SINT1_770.1	EWB00_003585
