Orthogroup	schistosoma_margrebowiei	schmidtea_mediterranea
OG0003193	SMRG1_37350.1	h1SMcT0008180.1, h1SMcT0008180.2, h1SMcT0008180.3, h1SMcT0021063.1, h1SMcT0021085.1, h1SMcT0021085.2, h1SMcT0021085.3, h1SMcT0021397.1, h1SMcT0021397.2, h1SMcT0006457.1, h1SMcT0006457.2
OG0003194	SMRG1_70360.1, SMRG1_70360.2, SMRG1_70360.3	h1SMcT0005218.1
OG0003195	SMRG1_16910.1	h1SMcT0008802.1, h1SMcT0008802.2
OG0003196	SMRG1_62700.1	h1SMcT0016546.1, h1SMcT0016546.2, h1SMcT0002390.1, h1SMcT0002390.2, h1SMcT0002390.3
OG0003197	SMRG1_96320.1	h1SMcT0008434.1, h1SMcT0008434.2
OG0003199	SMRG1_94850.1	h1SMcT0012625.2, h1SMcT0012625.1, h1SMcT0012625.3
OG0003201	SMRG1_13990.1, SMRG1_13990.2	h1SMcT0013974.1
OG0003202	SMRG1_16470.1	h1SMcT0016880.1
OG0003203	SMRG1_92820.1, SMRG1_92820.2	h1SMcT0000481.1
OG0003205	SMRG1_36720.1	h1SMcT0007886.1
OG0003206	SMRG1_17470.1, SMRG1_17480.1	h1SMcT0003099.1
OG0003207	SMRG1_7960.1, SMRG1_7960.2, SMRG1_7960.7, SMRG1_7960.3, SMRG1_7960.4, SMRG1_7960.5, SMRG1_7960.6	h1SMcT0003114.1, h1SMcT0003114.2
OG0003208	SMRG1_69990.1	h1SMcT0007447.1, h1SMcT0022769.1
OG0003209	SMRG1_79360.1	h1SMcT0015578.1, h1SMcT0015578.2
OG0003210	SMRG1_12420.3, SMRG1_12420.4, SMRG1_12420.1, SMRG1_12420.2	h1SMcT0010700.1, h1SMcT0010700.2
OG0003211	SMRG1_75690.1, SMRG1_75690.2, SMRG1_75690.3	h1SMcT0010088.1, h1SMcT0010088.2, h1SMcT0010092.4, h1SMcT0010092.1, h1SMcT0010092.3, h1SMcT0010091.1, h1SMcT0010091.3, h1SMcT0010091.2
OG0003212	SMRG1_5650.1	h1SMcT0008560.1, h1SMcT0008560.2, h1SMcT0008560.3
OG0003213	SMRG1_33310.1, SMRG1_33310.2, SMRG1_33310.3, SMRG1_33310.4	h1SMcT0018521.1, h1SMcT0018521.2, h1SMcT0018521.3
OG0003214	SMRG1_11320.1, SMRG1_11320.2	h1SMcT0016576.1, h1SMcT0016576.2
OG0003215	SMRG1_8580.1, SMRG1_8570.1	h1SMcT0017814.1, h1SMcT0017814.2
OG0003217	SMRG1_59910.1, SMRG1_59910.2, SMRG1_59910.3	h1SMcT0009783.1
OG0003218	SMRG1_58500.1	h1SMcT0018270.1
OG0003221	SMRG1_39670.1	h1SMcT0019212.1, h1SMcT0019212.2
OG0003222	SMRG1_19110.1, SMRG1_19110.2	h1SMcT0013691.1
OG0003223	SMRG1_89780.1, SMRG1_89780.2	h1SMcT0015106.1, h1SMcT0001134.1
OG0003224	SMRG1_38280.1, SMRG1_38280.2, SMRG1_38280.3	h1SMcT0015164.1, h1SMcT0001803.1, h1SMcT0001803.2
OG0003225	SMRG1_89390.1, SMRG1_89390.2	h1SMcT0011080.2, h1SMcT0011080.3, h1SMcT0011080.1, h1SMcT0011080.4
OG0003226	SMRG1_13600.1, SMRG1_13600.2, SMRG1_13600.3	h1SMcT0021847.1, h1SMcT0022103.1
OG0003227	SMRG1_62180.1, SMRG1_62180.2	h1SMcT0001291.1, h1SMcT0001291.2
OG0003229	SMRG1_76740.3, SMRG1_76740.1, SMRG1_76740.2, SMRG1_76740.4, SMRG1_76740.5	h1SMcT0002408.1
OG0003230	SMRG1_47650.2, SMRG1_47650.1, SMRG1_47650.3	h1SMcT0003929.1, h1SMcT0003929.2
OG0003231	SMRG1_17210.1	h1SMcT0002079.1
OG0003232	SMRG1_10570.1, SMRG1_10570.2, SMRG1_10570.3, SMRG1_10570.4	h1SMcT0008345.1, h1SMcT0008345.2, h1SMcT0008345.3, h1SMcT0008345.5, h1SMcT0008345.4
OG0003233	SMRG1_22190.1, SMRG1_22190.2	h1SMcT0020211.1, h1SMcT0020211.2
OG0003234	SMRG1_60250.2, SMRG1_60250.1, SMRG1_60250.3	h1SMcT0018532.1, h1SMcT0018532.2, h1SMcT0018532.3
OG0003235	SMRG1_84990.1	h1SMcT0008953.1
OG0003236	SMRG1_57840.1	h1SMcT0019053.1
OG0003238	SMRG1_66130.3, SMRG1_66130.1, SMRG1_66130.2	h1SMcT0005250.1, h1SMcT0005250.3, h1SMcT0005250.2, h1SMcT0016407.1
OG0003239	SMRG1_81330.1	h1SMcT0019186.1
OG0003240	SMRG1_7700.1, SMRG1_7700.2	h1SMcT0005478.1, h1SMcT0005478.2
OG0003241	SMRG1_37640.1, SMRG1_37640.2, SMRG1_37640.3	h1SMcT0015281.1, h1SMcT0015339.1
OG0003242	SMRG1_53610.1	h1SMcT0017993.1
OG0003243	SMRG1_8340.1	h1SMcT0010200.5, h1SMcT0010200.7
OG0003244	SMRG1_54010.1	h1SMcT0000145.1, h1SMcT0000145.2
OG0003245	SMRG1_54530.1	h1SMcT0001501.1
OG0003246	SMRG1_8390.1, SMRG1_8390.2, SMRG1_8390.3	h1SMcT0000782.1, h1SMcT0000782.2
OG0003247	SMRG1_19940.1	h1SMcT0013015.2
OG0003248	SMRG1_83950.1	h1SMcT0006664.1
OG0003249	SMRG1_64570.2, SMRG1_64570.1	h1SMcT0017197.1, h1SMcT0014117.2, h1SMcT0014117.1, h1SMcT0014117.3
OG0003250	SMRG1_71070.1, SMRG1_71070.2	h1SMcT0001584.1, h1SMcT0001584.2, h1SMcT0001584.3, h1SMcT0011848.1, h1SMcT0011848.2, h1SMcT0019750.1, h1SMcT0019750.2, h1SMcT0019750.3, h1SMcT0019750.4, h1SMcT0019750.5, h1SMcT0019750.7, h1SMcT0019750.6
OG0003251	SMRG1_87530.1, SMRG1_87530.2, SMRG1_87530.3, SMRG1_87530.4	h1SMcT0015003.1
OG0003252	SMRG1_42620.1	h1SMcT0010253.1, h1SMcT0010253.2
OG0003253	SMRG1_88090.1	h1SMcT0011852.1, h1SMcT0011852.3, h1SMcT0011852.2
OG0003254	SMRG1_64890.1	h1SMcT0013451.1
OG0003256	SMRG1_84490.1	h1SMcT0016315.1
OG0003257	SMRG1_12260.1, SMRG1_12260.2, SMRG1_12260.3, SMRG1_12260.4, SMRG1_12260.5	h1SMcT0022346.1
OG0003258	SMRG1_43670.1	h1SMcT0012177.1
OG0003259	SMRG1_23770.1, SMRG1_23770.2	h1SMcT0001977.1, h1SMcT0011181.1, h1SMcT0019326.1
OG0003260	SMRG1_84760.1	h1SMcT0003254.1
OG0003261	SMRG1_34680.2, SMRG1_34680.1, SMRG1_34680.3	h1SMcT0016359.1, h1SMcT0016359.3, h1SMcT0016359.2
OG0003262	SMRG1_58470.1, SMRG1_58470.2	h1SMcT0005125.2
OG0003263	SMRG1_4780.1	h1SMcT0018045.1, h1SMcT0018045.2, h1SMcT0011264.1, h1SMcT0014569.1
OG0003265	SMRG1_42230.3, SMRG1_42230.1, SMRG1_42230.2	h1SMcT0005806.1
OG0003266	SMRG1_71980.11, SMRG1_71980.10, SMRG1_71980.2, SMRG1_71980.5, SMRG1_71980.6, SMRG1_71980.7, SMRG1_71980.9, SMRG1_71980.1, SMRG1_71980.3, SMRG1_71980.4, SMRG1_71980.8	h1SMcT0014086.1, h1SMcT0014086.2, h1SMcT0014086.3
OG0003267	SMRG1_19640.1, SMRG1_19670.1, SMRG1_19670.2	h1SMcT0013687.3, h1SMcT0013687.1, h1SMcT0013687.2
OG0003268	SMRG1_43760.1, SMRG1_43760.3, SMRG1_43760.4, SMRG1_43760.2	h1SMcT0006917.1, h1SMcT0006934.1, h1SMcT0012630.1, h1SMcT0012630.2
OG0003269	SMRG1_77000.1, SMRG1_77000.2	h1SMcT0012108.1
OG0003270	SMRG1_63200.1, SMRG1_63200.2	h1SMcT0009342.1, h1SMcT0009342.2
OG0003271	SMRG1_11020.1	h1SMcT0006883.1
OG0003272	SMRG1_36590.1, SMRG1_36580.1, SMRG1_36600.1	h1SMcT0014492.1, h1SMcT0019169.1
OG0003273	SMRG1_33830.1, SMRG1_33830.2	h1SMcT0013812.1, h1SMcT0013812.2
OG0003274	SMRG1_18370.1	h1SMcT0016378.2, h1SMcT0016378.3
OG0003277	SMRG1_33580.4, SMRG1_33580.1, SMRG1_33580.2, SMRG1_33580.3	h1SMcT0011790.1, h1SMcT0011790.2
OG0003278	SMRG1_55910.6, SMRG1_55910.1, SMRG1_55910.3, SMRG1_55910.4, SMRG1_55910.5, SMRG1_55910.2	h1SMcT0019765.1, h1SMcT0019765.2
OG0003279	SMRG1_700.2, SMRG1_700.1	h1SMcT0012597.3, h1SMcT0012597.1, h1SMcT0012597.2, h1SMcT0012597.4
OG0003280	SMRG1_78500.1	h1SMcT0010480.1, h1SMcT0010480.3, h1SMcT0010480.2
OG0003281	SMRG1_95760.1, SMRG1_95760.2, SMRG1_95760.3	h1SMcT0010782.1, h1SMcT0010782.2
OG0003282	SMRG1_53440.1, SMRG1_53440.2	h1SMcT0017047.1, h1SMcT0017047.2
OG0003283	SMRG1_95980.1, SMRG1_95980.2	h1SMcT0010085.1
OG0003284	SMRG1_60320.1	h1SMcT0015365.1, h1SMcT0022704.1, h1SMcT0006889.1, h1SMcT0006889.2
OG0003287	SMRG1_9060.1, SMRG1_9060.2, SMRG1_9060.3	h1SMcT0011258.1, h1SMcT0011258.2
OG0003288	SMRG1_69600.1, SMRG1_69600.2	h1SMcT0022057.1, h1SMcT0022080.1
OG0003290	SMRG1_9990.1, SMRG1_9990.2	h1SMcT0010992.3
OG0003291	SMRG1_17700.1, SMRG1_17700.2, SMRG1_17700.3, SMRG1_17700.4	h1SMcT0010790.1, h1SMcT0006378.1, h1SMcT0006378.2
OG0003292	SMRG1_86060.1	h1SMcT0001663.1, h1SMcT0001663.2
OG0003293	SMRG1_27330.1, SMRG1_27330.2	h1SMcT0022017.1
OG0003294	SMRG1_33600.1, SMRG1_33600.2, SMRG1_33600.3	h1SMcT0011866.1, h1SMcT0011866.2
OG0003295	SMRG1_26000.1, SMRG1_26000.2	h1SMcT0020366.1, h1SMcT0022759.1, h1SMcT0020367.1
OG0003297	SMRG1_17320.1	h1SMcT0004473.1, h1SMcT0004473.2, h1SMcT0001356.4, h1SMcT0001356.5, h1SMcT0001356.2, h1SMcT0001356.3, h1SMcT0001356.1, h1SMcT0001643.2, h1SMcT0001643.4, h1SMcT0001643.3, h1SMcT0001643.1
OG0003298	SMRG1_46740.1, SMRG1_46840.1, SMRG1_46560.1, SMRG1_46820.1, SMRG1_47660.1	h1SMcT0004920.1
OG0003299	SMRG1_77660.1, SMRG1_77660.2, SMRG1_77660.3, SMRG1_77660.4	h1SMcT0017988.1, h1SMcT0017988.2, h1SMcT0006688.2, h1SMcT0006688.1, h1SMcT0006688.3
OG0003300	SMRG1_13040.1	h1SMcT0015751.1, h1SMcT0015751.2
OG0003301	SMRG1_44330.1, SMRG1_44330.2	h1SMcT0017505.1, h1SMcT0017505.2
OG0003302	SMRG1_7830.1	h1SMcT0009963.1, h1SMcT0008886.1, h1SMcT0018471.3, h1SMcT0018471.1, h1SMcT0018471.2
OG0003303	SMRG1_54890.1, SMRG1_54890.2, SMRG1_54890.3, SMRG1_54890.4, SMRG1_54890.5	h1SMcT0013979.1, h1SMcT0013979.2
OG0003304	SMRG1_6820.1	h1SMcT0005434.1, h1SMcT0005434.2
OG0003306	SMRG1_56830.1	h1SMcT0008355.1, h1SMcT0008355.2, h1SMcT0003942.1, h1SMcT0003942.2, h1SMcT0003942.3
OG0003309	SMRG1_1010.1	h1SMcT0005104.2, h1SMcT0005104.1, h1SMcT0005104.3
OG0003310	SMRG1_48940.1, SMRG1_48940.4, SMRG1_48940.2, SMRG1_48940.3	h1SMcT0004377.1, h1SMcT0004377.2, h1SMcT0004377.3, h1SMcT0004327.1, h1SMcT0004327.2
OG0003313	SMRG1_55190.1, SMRG1_55190.2, SMRG1_55190.3	h1SMcT0007064.1, h1SMcT0007064.2
OG0003314	SMRG1_27500.1	h1SMcT0017378.1
OG0003315	SMRG1_32250.1	h1SMcT0003904.1, h1SMcT0016888.1, h1SMcT0016888.2, h1SMcT0016888.3, h1SMcT0016888.4, h1SMcT0016888.5
OG0003317	SMRG1_64030.1, SMRG1_8370.1	h1SMcT0009578.1
OG0003326	SMRG1_67340.1	h1SMcT0012067.1
OG0003327	SMRG1_77450.1, SMRG1_77450.2	h1SMcT0011738.1, h1SMcT0011738.2
OG0003328	SMRG1_74990.1, SMRG1_74990.2	h1SMcT0006635.1
OG0003329	SMRG1_95860.1	h1SMcT0014676.1, h1SMcT0014676.2, h1SMcT0014676.3, h1SMcT0009071.1, h1SMcT0002916.1, h1SMcT0002916.2
OG0003330	SMRG1_52270.1, SMRG1_52270.2	h1SMcT0019914.3, h1SMcT0019914.4, h1SMcT0019914.1, h1SMcT0019914.2
OG0003331	SMRG1_9360.1	h1SMcT0018970.4
OG0003332	SMRG1_32090.1, SMRG1_32100.1	h1SMcT0001884.6
OG0003333	SMRG1_6250.1, SMRG1_6250.2, SMRG1_6250.3	h1SMcT0012669.2, h1SMcT0012669.1, h1SMcT0012669.3, h1SMcT0012669.4
OG0003335	SMRG1_64720.3, SMRG1_64720.2, SMRG1_64720.1	h1SMcT0013444.1
OG0003336	SMRG1_62380.1, SMRG1_62380.2, SMRG1_62380.4, SMRG1_62380.3	h1SMcT0020109.1
OG0003338	SMRG1_18190.1, SMRG1_18190.2, SMRG1_18190.3	h1SMcT0014309.1
OG0003339	SMRG1_1170.1	h1SMcT0021109.1, h1SMcT0021109.2
OG0003342	SMRG1_13220.1, SMRG1_13220.2	h1SMcT0014806.1, h1SMcT0006871.1, h1SMcT0007037.1
OG0003343	SMRG1_52080.1	h1SMcT0014310.1
OG0003344	SMRG1_23310.1, SMRG1_23320.1	h1SMcT0000586.2, h1SMcT0000586.1, h1SMcT0000586.3
OG0003345	SMRG1_97890.1, SMRG1_97890.2	h1SMcT0019598.3, h1SMcT0019598.2, h1SMcT0019598.1
OG0003346	SMRG1_95440.1	h1SMcT0002136.1
OG0003347	SMRG1_44640.1	h1SMcT0012122.1, h1SMcT0012122.2, h1SMcT0012122.3
OG0003350	SMRG1_68610.1, SMRG1_68610.3, SMRG1_68610.2	h1SMcT0007138.1, h1SMcT0007138.2
OG0003351	SMRG1_74020.1	h1SMcT0014012.1, h1SMcT0016603.1, h1SMcT0016603.2
OG0003352	SMRG1_81320.1	h1SMcT0000566.1
OG0003353	SMRG1_27570.1	h1SMcT0009683.1, h1SMcT0009683.2
OG0003354	SMRG1_27670.1	h1SMcT0005376.1, h1SMcT0005376.2
OG0003355	SMRG1_68980.1	h1SMcT0013037.1, h1SMcT0013037.2
OG0003356	SMRG1_12630.1	h1SMcT0005184.1, h1SMcT0005197.1, h1SMcT0005196.1, h1SMcT0005196.2, h1SMcT0005192.1, h1SMcT0005190.1, h1SMcT0005193.1, h1SMcT0005193.2, h1SMcT0005193.3, h1SMcT0005193.4, h1SMcT0005193.5
OG0003357	SMRG1_43430.1	h1SMcT0020833.1, h1SMcT0020833.2
OG0003358	SMRG1_91100.1, SMRG1_91100.2, SMRG1_91100.4, SMRG1_91100.3	h1SMcT0010075.1
OG0003359	SMRG1_58410.1	h1SMcT0012986.1, h1SMcT0001325.1, h1SMcT0001325.2, h1SMcT0021033.1, h1SMcT0001741.1, h1SMcT0003850.1, h1SMcT0014535.1
OG0003362	SMRG1_76050.1	h1SMcT0006359.1, h1SMcT0006359.2
OG0003363	SMRG1_29990.1, SMRG1_30000.1, SMRG1_30010.1	h1SMcT0005229.1
OG0003364	SMRG1_86030.2, SMRG1_86030.3, SMRG1_86030.1, SMRG1_86030.6, SMRG1_86030.4, SMRG1_86030.5	h1SMcT0003203.1
OG0003365	SMRG1_18410.1, SMRG1_18410.4, SMRG1_18410.2, SMRG1_18410.3	h1SMcT0012756.1
OG0003366	SMRG1_62200.3, SMRG1_62200.2, SMRG1_62200.1	h1SMcT0007117.1, h1SMcT0007117.2
OG0003367	SMRG1_48300.1	h1SMcT0014821.1
OG0003369	SMRG1_65680.1	h1SMcT0005360.1, h1SMcT0005360.3
OG0003370	SMRG1_25870.1	h1SMcT0006611.1
OG0003371	SMRG1_48240.1	h1SMcT0012774.1, h1SMcT0022925.1, h1SMcT0012774.2
OG0003373	SMRG1_14920.2, SMRG1_14920.1, SMRG1_14920.3	h1SMcT0015237.1, h1SMcT0015237.3, h1SMcT0015237.2
OG0003374	SMRG1_96250.1	h1SMcT0020942.1, h1SMcT0020942.2
OG0003375	SMRG1_70320.4, SMRG1_70320.1, SMRG1_70320.5, SMRG1_70320.2, SMRG1_70320.3, SMRG1_70320.6	h1SMcT0000378.1
OG0003376	SMRG1_48560.1	h1SMcT0005276.1
OG0003377	SMRG1_82400.1, SMRG1_82390.1	h1SMcT0021045.1, h1SMcT0018146.4, h1SMcT0018146.3, h1SMcT0018146.2, h1SMcT0018146.1, h1SMcT0018146.5
OG0003379	SMRG1_66230.2, SMRG1_66230.1	h1SMcT0021989.1, h1SMcT0021989.2
OG0003380	SMRG1_51900.2, SMRG1_51900.1	h1SMcT0004933.1
OG0003381	SMRG1_55490.1, SMRG1_55490.2, SMRG1_55490.3, SMRG1_55490.4	h1SMcT0010144.4, h1SMcT0010144.5, h1SMcT0010144.1, h1SMcT0010144.2, h1SMcT0010144.3
OG0003383	SMRG1_5950.1, SMRG1_5950.2	h1SMcT0000027.1, h1SMcT0000027.2
OG0003384	SMRG1_43700.1	h1SMcT0009197.1
OG0003385	SMRG1_92510.1, SMRG1_92510.2	h1SMcT0009645.1, h1SMcT0009645.2, h1SMcT0000617.1, h1SMcT0010238.4, h1SMcT0010238.1, h1SMcT0010238.3, h1SMcT0010238.2
OG0003386	SMRG1_20230.2, SMRG1_20230.3, SMRG1_20230.1	h1SMcT0020407.1
OG0003387	SMRG1_14750.1, SMRG1_14750.2	h1SMcT0017496.1
OG0003388	SMRG1_95210.1, SMRG1_95210.2, SMRG1_95210.3, SMRG1_95210.4	h1SMcT0015051.1, h1SMcT0015051.2
OG0003389	SMRG1_47050.1	h1SMcT0014700.1, h1SMcT0015084.1, h1SMcT0015084.2, h1SMcT0015084.3, h1SMcT0015084.4
OG0003391	SMRG1_79610.1	h1SMcT0014447.1
OG0003392	SMRG1_55920.1	h1SMcT0002858.1, h1SMcT0002858.2, h1SMcT0016202.1, h1SMcT0020575.1
OG0003393	SMRG1_32620.2, SMRG1_32620.6, SMRG1_32620.3, SMRG1_32620.1, SMRG1_32620.4, SMRG1_32620.5	h1SMcT0017391.1
OG0003394	SMRG1_42710.1	h1SMcT0015532.1, h1SMcT0015535.1
OG0003395	SMRG1_56300.1	h1SMcT0021314.1, h1SMcT0021314.2, h1SMcT0021314.3, h1SMcT0021314.4
OG0003396	SMRG1_44110.1	h1SMcT0008177.1
OG0003397	SMRG1_21860.1	h1SMcT0010339.1, h1SMcT0010339.2
OG0003398	SMRG1_9230.1	h1SMcT0014560.2, h1SMcT0014560.3
OG0003399	SMRG1_35480.1, SMRG1_35480.3, SMRG1_35480.2	h1SMcT0014926.1
OG0003400	SMRG1_73690.1, SMRG1_73690.2	h1SMcT0005370.1, h1SMcT0022990.1
OG0003401	SMRG1_32980.1	h1SMcT0006528.1, h1SMcT0015433.1, h1SMcT0015433.2
OG0003402	SMRG1_21250.1	h1SMcT0012961.3, h1SMcT0012961.1, h1SMcT0012961.2
OG0003404	SMRG1_75660.1	h1SMcT0012571.1
OG0003405	SMRG1_48260.1, SMRG1_48260.2	h1SMcT0010240.1
OG0003406	SMRG1_6720.1	h1SMcT0012481.1, h1SMcT0012481.3, h1SMcT0002362.1
OG0003408	SMRG1_25720.1, SMRG1_25720.2, SMRG1_25720.3	h1SMcT0004098.1
OG0003409	SMRG1_17500.1	h1SMcT0020721.1, h1SMcT0008813.1, h1SMcT0020428.1, h1SMcT0012422.1
OG0003411	SMRG1_39410.1	h1SMcT0004684.4, h1SMcT0004684.2, h1SMcT0004684.3, h1SMcT0004684.5, h1SMcT0004684.1
OG0003412	SMRG1_4920.1	h1SMcT0008025.1
OG0003413	SMRG1_2150.1, SMRG1_2150.2	h1SMcT0005699.1, h1SMcT0005699.2
OG0003414	SMRG1_39570.1	h1SMcT0012676.1, h1SMcT0012676.2
OG0003415	SMRG1_80060.4, SMRG1_80060.1, SMRG1_80060.2, SMRG1_80060.3	h1SMcT0010319.1, h1SMcT0010717.1, h1SMcT0016840.1
OG0003416	SMRG1_68780.1, SMRG1_68780.2	h1SMcT0013340.1, h1SMcT0022050.1
OG0003417	SMRG1_56800.1	h1SMcT0022225.1
OG0003418	SMRG1_47830.1	h1SMcT0003458.1
OG0003419	SMRG1_74520.1	h1SMcT0010543.1, h1SMcT0010543.2, h1SMcT0000936.1, h1SMcT0011301.1
OG0003420	SMRG1_37060.4, SMRG1_37060.5, SMRG1_37060.6, SMRG1_37060.2, SMRG1_37060.1, SMRG1_37060.3	h1SMcT0011580.1
OG0003421	SMRG1_37880.1	h1SMcT0009233.2, h1SMcT0012005.1, h1SMcT0012005.2
OG0003422	SMRG1_47620.1, SMRG1_47620.2	h1SMcT0016757.2
OG0003423	SMRG1_12600.1, SMRG1_12600.2, SMRG1_12600.3	h1SMcT0005067.1, h1SMcT0005067.2
OG0003425	SMRG1_85950.1, SMRG1_85950.5, SMRG1_85950.2, SMRG1_85950.3, SMRG1_85950.4	h1SMcT0004711.1
OG0003426	SMRG1_64590.1, SMRG1_64590.2	h1SMcT0019561.1, h1SMcT0019561.2
OG0003427	SMRG1_44810.3, SMRG1_44810.1, SMRG1_44810.2	h1SMcT0000143.1, h1SMcT0000143.2
OG0003428	SMRG1_83520.1	h1SMcT0002326.1, h1SMcT0013759.1
OG0003429	SMRG1_78410.1, SMRG1_78410.3, SMRG1_78410.2, SMRG1_78410.4, SMRG1_78410.6, SMRG1_78410.5	h1SMcT0002222.1, h1SMcT0002222.2
OG0003430	SMRG1_77560.1	h1SMcT0020885.1
OG0003432	SMRG1_72620.1	h1SMcT0007866.1
OG0003433	SMRG1_4590.2, SMRG1_4590.1, SMRG1_4590.3, SMRG1_4590.4	h1SMcT0022375.2, h1SMcT0022375.1, h1SMcT0022375.3
OG0003434	SMRG1_61050.1	h1SMcT0016003.3, h1SMcT0016003.1, h1SMcT0016003.2
OG0003435	SMRG1_37090.1, SMRG1_37090.2, SMRG1_37090.3	h1SMcT0010886.1, h1SMcT0016836.2, h1SMcT0016836.1, h1SMcT0016836.3, h1SMcT0016836.4
OG0003438	SMRG1_31030.1, SMRG1_31030.2	h1SMcT0013807.1, h1SMcT0017019.1, h1SMcT0017019.2
OG0003439	SMRG1_21990.1, SMRG1_21990.2, SMRG1_21990.3	h1SMcT0002835.1, h1SMcT0002835.2
OG0003440	SMRG1_20390.1	h1SMcT0019154.1, h1SMcT0019154.2
OG0003442	SMRG1_73190.1, SMRG1_73190.3, SMRG1_73190.2, SMRG1_73190.4	h1SMcT0006636.1
OG0003443	SMRG1_61970.1, SMRG1_61960.1, SMRG1_61980.2, SMRG1_61980.1	h1SMcT0011199.1, h1SMcT0015552.1
OG0003446	SMRG1_35150.1, SMRG1_35150.2	h1SMcT0008382.3, h1SMcT0008382.4, h1SMcT0008382.1, h1SMcT0008382.2, h1SMcT0008382.5, h1SMcT0012673.1, h1SMcT0012673.2
OG0003447	SMRG1_5200.1	h1SMcT0022011.1, h1SMcT0022011.2
OG0003448	SMRG1_70640.1, SMRG1_70640.2	h1SMcT0018150.1
OG0003450	SMRG1_66490.1	h1SMcT0019969.1, h1SMcT0019969.2, h1SMcT0019969.7, h1SMcT0019969.3, h1SMcT0019969.6, h1SMcT0019969.5, h1SMcT0019969.4, h1SMcT0019969.8
OG0003452	SMRG1_8200.1	h1SMcT0006193.1, h1SMcT0016158.1
OG0003454	SMRG1_34240.1	h1SMcT0004175.2, h1SMcT0004175.3, h1SMcT0004175.1, h1SMcT0004175.4
OG0003455	SMRG1_62360.1	h1SMcT0002387.1, h1SMcT0018977.1, h1SMcT0002360.1
OG0003456	SMRG1_7810.1, SMRG1_7790.3, SMRG1_7790.2, SMRG1_7790.1	h1SMcT0015030.1, h1SMcT0015030.2
OG0003457	SMRG1_38080.1, SMRG1_38080.2	h1SMcT0005979.1, h1SMcT0005979.2
OG0003459	SMRG1_74450.1	h1SMcT0019798.1, h1SMcT0019799.1
OG0003460	SMRG1_44660.1	h1SMcT0011001.1
OG0003461	SMRG1_84960.1	h1SMcT0013030.1, h1SMcT0013033.1
OG0003462	SMRG1_39640.1	h1SMcT0006561.1
OG0003463	SMRG1_85880.1, SMRG1_85880.2	h1SMcT0022837.3, h1SMcT0022837.2, h1SMcT0022837.1
OG0003464	SMRG1_82190.1	h1SMcT0007079.1, h1SMcT0007079.3, h1SMcT0007079.2
OG0003465	SMRG1_63520.1	h1SMcT0016577.1
OG0003466	SMRG1_9550.1	h1SMcT0005608.1, h1SMcT0005608.2
OG0003467	SMRG1_77680.1, SMRG1_77690.1	h1SMcT0013403.1, h1SMcT0001028.1
OG0003469	SMRG1_51240.1, SMRG1_51240.2	h1SMcT0004807.1, h1SMcT0004807.2
OG0003470	SMRG1_52790.2, SMRG1_52790.1, SMRG1_52790.4, SMRG1_52790.3, SMRG1_52790.5	h1SMcT0017458.1
OG0003471	SMRG1_46390.1, SMRG1_46390.2	h1SMcT0014488.1
OG0003472	SMRG1_8590.1	h1SMcT0004760.1
OG0003473	SMRG1_78370.1, SMRG1_78370.3, SMRG1_78370.2	h1SMcT0008129.1
OG0003474	SMRG1_57230.1, SMRG1_57230.2	h1SMcT0013253.2, h1SMcT0013253.5, h1SMcT0013253.3, h1SMcT0013253.4, h1SMcT0013253.1
OG0003475	SMRG1_24510.1	h1SMcT0004329.1
OG0003476	SMRG1_43090.1, SMRG1_43090.2, SMRG1_43090.3	h1SMcT0016404.1
OG0003477	SMRG1_90350.1	h1SMcT0003797.1
OG0003478	SMRG1_6000.1, SMRG1_6000.2, SMRG1_6010.1, SMRG1_6010.2	h1SMcT0000552.1, h1SMcT0008399.1
OG0003480	SMRG1_68270.1	h1SMcT0002798.1
OG0003482	SMRG1_88700.1, SMRG1_88700.2	h1SMcT0022439.1
OG0003483	SMRG1_30470.1	h1SMcT0003316.1
OG0003484	SMRG1_4120.1, SMRG1_4130.1	h1SMcT0001955.1, h1SMcT0001955.2, h1SMcT0001955.7, h1SMcT0001955.3, h1SMcT0001955.4, h1SMcT0001955.5, h1SMcT0001955.6, h1SMcT0001955.8
OG0003485	SMRG1_84170.1	h1SMcT0003207.4, h1SMcT0018921.1
OG0003487	SMRG1_52220.1, SMRG1_52220.2	h1SMcT0002201.1, h1SMcT0022499.1
OG0003489	SMRG1_77310.1	h1SMcT0000882.2
OG0003491	SMRG1_34070.2, SMRG1_34070.1, SMRG1_34070.3	h1SMcT0001740.1
OG0003492	SMRG1_59770.1	h1SMcT0004107.1
OG0003493	SMRG1_92890.1	h1SMcT0021896.1
OG0003494	SMRG1_94390.1	h1SMcT0009876.3, h1SMcT0009876.1, h1SMcT0009876.2, h1SMcT0009876.4
OG0003495	SMRG1_3970.1	h1SMcT0012596.3, h1SMcT0012596.1, h1SMcT0012596.2
OG0003496	SMRG1_30440.1, SMRG1_30440.2	h1SMcT0018753.1
OG0003497	SMRG1_56160.1	h1SMcT0007152.1, h1SMcT0007152.2
OG0003498	SMRG1_70870.1, SMRG1_70870.2	h1SMcT0003413.3, h1SMcT0003413.1, h1SMcT0003413.2
OG0003499	SMRG1_62690.1	h1SMcT0009897.1, h1SMcT0014689.1
