Orthogroup	schistosoma_margrebowiei	opisthorchis_viverrini
OG0002944	SMRG1_17520.1	T265_10544
OG0002945	SMRG1_78280.1, SMRG1_78280.2	T265_11225
OG0002946	SMRG1_16300.1, SMRG1_16300.2	T265_11123, T265_15274, T265_09246, T265_02088
OG0002947	SMRG1_90600.1, SMRG1_90600.2, SMRG1_90600.3	T265_09749
OG0002948	SMRG1_60210.4, SMRG1_60210.1, SMRG1_60210.2, SMRG1_60210.3	T265_10715
OG0002949	SMRG1_34150.1, SMRG1_34150.2	T265_02799
OG0002950	SMRG1_70770.1	T265_04871
OG0002951	SMRG1_37930.1	T265_07586
OG0002952	SMRG1_51110.1, SMRG1_51120.1	T265_12773
OG0002953	SMRG1_3190.3, SMRG1_3190.1, SMRG1_3190.2, SMRG1_3190.4	T265_04423, T265_15987
OG0002954	SMRG1_60770.1, SMRG1_60770.2, SMRG1_60770.3	T265_06597, T265_15941
OG0002955	SMRG1_74340.1, SMRG1_74340.3, SMRG1_74340.2	T265_14732
OG0002956	SMRG1_96100.3, SMRG1_96100.2, SMRG1_96100.1	T265_15076
OG0002957	SMRG1_70880.1, SMRG1_70880.2	T265_00422
OG0002958	SMRG1_67400.1	T265_16166, T265_10751, T265_10762
OG0002959	SMRG1_88140.1, SMRG1_88140.2, SMRG1_88140.3, SMRG1_88140.4	T265_13472
OG0002960	SMRG1_49340.1, SMRG1_49340.2	T265_05712
OG0002961	SMRG1_18640.4, SMRG1_18640.1, SMRG1_18640.3, SMRG1_18640.5, SMRG1_18640.2	T265_11252
OG0002962	SMRG1_66960.1, SMRG1_66960.2	T265_14105
OG0002964	SMRG1_25300.1, SMRG1_25300.2, SMRG1_25300.3	T265_08700
OG0002965	SMRG1_93840.1, SMRG1_93840.2	T265_02144
OG0002966	SMRG1_44170.2, SMRG1_44170.1, SMRG1_44170.4, SMRG1_44170.3	T265_04442
OG0002967	SMRG1_59640.1	T265_09516, T265_09515, T265_14873
OG0002968	SMRG1_18870.1	T265_14182, T265_14181
OG0002969	SMRG1_53330.1, SMRG1_53330.2, SMRG1_53330.3, SMRG1_53330.4, SMRG1_53330.5, SMRG1_53330.6, SMRG1_53330.7	T265_07415
OG0002970	SMRG1_9510.1	T265_12882
OG0002971	SMRG1_63590.1, SMRG1_63590.2, SMRG1_63590.4, SMRG1_63590.5, SMRG1_63590.3	T265_09283
OG0002972	SMRG1_62310.1	T265_00627
OG0002973	SMRG1_49150.1	T265_07435
OG0002974	SMRG1_32590.3, SMRG1_32590.4, SMRG1_32590.1, SMRG1_32590.2	T265_15126
OG0002975	SMRG1_38290.1	T265_01518
OG0002976	SMRG1_64100.2, SMRG1_64100.3, SMRG1_64100.4, SMRG1_64100.1	T265_03160
OG0002977	SMRG1_7600.3, SMRG1_7600.1, SMRG1_7600.2	T265_01592
OG0002979	SMRG1_20070.1	T265_11670
OG0002980	SMRG1_29430.2, SMRG1_29430.3, SMRG1_29430.1	T265_00740
OG0002981	SMRG1_75790.1, SMRG1_75790.2	T265_14186
OG0002982	SMRG1_54250.1, SMRG1_54250.2, SMRG1_54250.3, SMRG1_54250.4	T265_13871
OG0002983	SMRG1_24810.1	T265_02113, T265_15879
OG0002984	SMRG1_12300.1	T265_14382
OG0002985	SMRG1_1920.1, SMRG1_1920.5, SMRG1_1920.2, SMRG1_1920.4, SMRG1_1920.3	T265_15506
OG0002986	SMRG1_9620.1, SMRG1_9610.1	T265_10270, T265_10269
OG0002988	SMRG1_94350.1, SMRG1_94350.3, SMRG1_94350.2, SMRG1_94350.4	T265_08760
OG0002989	SMRG1_50110.2, SMRG1_50110.1, SMRG1_50110.3, SMRG1_50110.4	T265_09294
OG0002990	SMRG1_81570.1, SMRG1_81570.2	T265_11604
OG0002991	SMRG1_32030.1	T265_00107
OG0002992	SMRG1_76500.1	T265_12542
OG0002993	SMRG1_84650.1	T265_15836, T265_09955, T265_10213, T265_07127
OG0002994	SMRG1_18850.1	T265_14978
OG0002995	SMRG1_90090.1	T265_10496
OG0002996	SMRG1_14420.1	T265_09556
OG0002997	SMRG1_34420.1	T265_11005
OG0002998	SMRG1_44800.1, SMRG1_44800.2	T265_01464
OG0002999	SMRG1_60340.1	T265_10797
OG0003000	SMRG1_27180.1, SMRG1_27180.2	T265_13667
OG0003001	SMRG1_27120.1	T265_06939
OG0003002	SMRG1_19090.1	T265_06956
OG0003003	SMRG1_95080.3, SMRG1_95080.1, SMRG1_95080.2	T265_10787
OG0003004	SMRG1_75700.1	T265_02782
OG0003006	SMRG1_85810.2, SMRG1_85810.1	T265_10485
OG0003007	SMRG1_59610.1	T265_14668
OG0003008	SMRG1_32110.1	T265_10063
OG0003009	SMRG1_6260.1, SMRG1_6260.2, SMRG1_6260.3, SMRG1_6260.4	T265_04390
OG0003010	SMRG1_72450.3, SMRG1_72450.4, SMRG1_72450.1, SMRG1_72450.2	T265_13842
OG0003011	SMRG1_30420.1	T265_07456
OG0003012	SMRG1_62160.1, SMRG1_62160.2	T265_02531
OG0003013	SMRG1_78760.1, SMRG1_78760.2, SMRG1_78760.3	T265_03958
OG0003014	SMRG1_84900.1	T265_14360
OG0003015	SMRG1_43680.1, SMRG1_43680.2, SMRG1_43680.3, SMRG1_43680.4	T265_04992
OG0003016	SMRG1_76180.1	T265_08197
OG0003017	SMRG1_51020.1, SMRG1_51020.2	T265_02207
OG0003018	SMRG1_95910.1	T265_05229, T265_13729, T265_16104
OG0003019	SMRG1_75180.1, SMRG1_75180.2	T265_00834
OG0003020	SMRG1_28900.3, SMRG1_28900.1, SMRG1_28900.2	T265_13359
OG0003021	SMRG1_84920.1	T265_11800
OG0003023	SMRG1_84850.1, SMRG1_84850.2	T265_04962, T265_12395
OG0003024	SMRG1_78330.3, SMRG1_78330.2, SMRG1_78330.1	T265_08219
OG0003025	SMRG1_37130.1, SMRG1_37130.2, SMRG1_37130.3, SMRG1_37130.4, SMRG1_37130.5	T265_08285
OG0003026	SMRG1_33250.1, SMRG1_33250.3, SMRG1_33250.2	T265_02585
OG0003027	SMRG1_18230.1	T265_11623
OG0003028	SMRG1_9650.1	T265_14740
OG0003029	SMRG1_82720.1	T265_07912
OG0003030	SMRG1_19050.1, SMRG1_19050.2, SMRG1_19050.3	T265_14667
OG0003031	SMRG1_65130.1	T265_03339
OG0003032	SMRG1_61920.1, SMRG1_61920.2	T265_09883
OG0003033	SMRG1_47540.1	T265_00067
OG0003034	SMRG1_83130.3, SMRG1_83130.1, SMRG1_83130.2, SMRG1_83130.4, SMRG1_83130.5	T265_13931
OG0003036	SMRG1_85110.1	T265_13241
OG0003037	SMRG1_79920.1	T265_08191
OG0003038	SMRG1_52750.1	T265_01298
OG0003039	SMRG1_46590.3, SMRG1_46590.1, SMRG1_46590.2	T265_12554
OG0003040	SMRG1_30110.2, SMRG1_30110.4, SMRG1_30110.5, SMRG1_30110.1, SMRG1_30110.3	T265_08335
OG0003041	SMRG1_32990.3, SMRG1_32990.2, SMRG1_32990.4, SMRG1_32990.1	T265_00719
OG0003043	SMRG1_48510.1	T265_02896
OG0003044	SMRG1_7370.1, SMRG1_7370.2, SMRG1_7370.3, SMRG1_7370.4	T265_01567
OG0003045	SMRG1_52230.1	T265_05095
OG0003046	SMRG1_52240.1, SMRG1_52240.2, SMRG1_52240.3	T265_05093
OG0003047	SMRG1_12450.1	T265_13450
OG0003048	SMRG1_46140.1	T265_01218, T265_09411
OG0003049	SMRG1_46130.1	T265_01217
OG0003050	SMRG1_79020.1	T265_04271, T265_04273
OG0003051	SMRG1_24440.1	T265_09098
OG0003052	SMRG1_65490.1, SMRG1_65490.2, SMRG1_65490.3	T265_11750
OG0003053	SMRG1_26590.1, SMRG1_26590.2	T265_03747
OG0003054	SMRG1_8460.1	T265_03119
OG0003055	SMRG1_56960.1	T265_09217
OG0003056	SMRG1_8360.1, SMRG1_8360.2	T265_07027
OG0003057	SMRG1_63900.1	T265_07016
OG0003058	SMRG1_93140.1, SMRG1_93140.2, SMRG1_93140.3	T265_03889
OG0003059	SMRG1_36070.1	T265_01103, T265_11098, T265_12033
OG0003060	SMRG1_52550.1, SMRG1_52550.2	T265_13466
OG0003061	SMRG1_82750.1, SMRG1_82750.2, SMRG1_82750.3, SMRG1_82750.4, SMRG1_82750.5, SMRG1_82750.6	T265_07124
OG0003062	SMRG1_90910.1	T265_07364
OG0003063	SMRG1_17280.1, SMRG1_17280.2, SMRG1_17280.3, SMRG1_17280.4	T265_15517
OG0003064	SMRG1_7380.2, SMRG1_7380.1, SMRG1_7380.4, SMRG1_7400.1, SMRG1_7380.3	T265_01571
OG0003065	SMRG1_21690.1, SMRG1_21690.2	T265_12659
OG0003066	SMRG1_95400.1	T265_04405
OG0003067	SMRG1_25000.1	T265_01085
OG0003068	SMRG1_77320.1, SMRG1_77320.3, SMRG1_77320.2	T265_11773
OG0003069	SMRG1_71090.1, SMRG1_71090.2	T265_01995
OG0003071	SMRG1_60020.1	T265_04804
OG0003072	SMRG1_79900.1	T265_11500
OG0003073	SMRG1_64630.1	T265_12790
OG0003074	SMRG1_59240.1, SMRG1_59240.2	T265_14915
OG0003075	SMRG1_58110.1	T265_14577
OG0003076	SMRG1_58060.1	T265_10794, T265_16094
OG0003077	SMRG1_75210.1	T265_15604
OG0003078	SMRG1_59560.1	T265_14671
OG0003079	SMRG1_56940.1, SMRG1_56940.2, SMRG1_56940.3	T265_11875
OG0003080	SMRG1_10610.1	T265_07755
OG0003081	SMRG1_14240.1	T265_03078
OG0003082	SMRG1_50770.1, SMRG1_50770.2	T265_11379
OG0003083	SMRG1_79680.1, SMRG1_79680.3, SMRG1_79680.2, SMRG1_79680.4	T265_14683
OG0003085	SMRG1_38740.1, SMRG1_38740.2, SMRG1_38740.3, SMRG1_38740.4, SMRG1_38740.5	T265_14689
OG0003087	SMRG1_97210.1	T265_08143
OG0003088	SMRG1_20000.1	T265_02291, T265_04908
OG0003089	SMRG1_16370.1	T265_11951
OG0003090	SMRG1_31940.1, SMRG1_31940.2	T265_13275
OG0003107	SMRG1_56770.1	T265_05277
OG0003108	SMRG1_26400.1	T265_06555
OG0003109	SMRG1_14720.6, SMRG1_14720.1, SMRG1_14720.2, SMRG1_14720.3, SMRG1_14720.5, SMRG1_14720.4	T265_13791
OG0003110	SMRG1_13630.1, SMRG1_13630.2, SMRG1_13630.3	T265_04583, T265_04581
OG0003111	SMRG1_71520.3, SMRG1_71520.1, SMRG1_71520.2	T265_01222
OG0003112	SMRG1_68390.1	T265_03161
OG0003114	SMRG1_88130.1	T265_04310
OG0003115	SMRG1_74410.1, SMRG1_74410.2	T265_12647
OG0003116	SMRG1_89310.1	T265_06786, T265_16161
OG0003117	SMRG1_16490.1, SMRG1_16490.2	T265_00936
OG0003120	SMRG1_72540.1	T265_12987
OG0003121	SMRG1_510.1, SMRG1_510.2, SMRG1_510.3, SMRG1_510.4, SMRG1_510.5	T265_03332
OG0003122	SMRG1_1390.3, SMRG1_1390.1, SMRG1_1390.2	T265_00248
OG0003124	SMRG1_91840.1, SMRG1_91840.2, SMRG1_91840.3, SMRG1_91840.4	T265_09973
OG0003125	SMRG1_75000.3	T265_01989
OG0003126	SMRG1_18670.1	T265_02263
OG0003127	SMRG1_87300.1	T265_00393
OG0003128	SMRG1_83040.1, SMRG1_83040.2, SMRG1_83040.3, SMRG1_83040.5, SMRG1_83040.4	T265_12835
OG0003129	SMRG1_2720.4, SMRG1_2720.2, SMRG1_2720.1, SMRG1_2720.3	T265_00252
OG0003130	SMRG1_28070.1	T265_03769, T265_03257, T265_03259, T265_03260
OG0003131	SMRG1_73020.1	T265_16261
OG0003133	SMRG1_61560.1, SMRG1_61560.2, SMRG1_61560.3	T265_15587
OG0003134	SMRG1_84310.1, SMRG1_84310.2, SMRG1_84310.3	T265_06539
OG0003136	SMRG1_9810.1, SMRG1_9810.2, SMRG1_9810.3, SMRG1_9810.4	T265_01565
OG0003137	SMRG1_82290.1	T265_13566
OG0003138	SMRG1_91620.1	T265_01867, T265_12886
OG0003139	SMRG1_50100.1	T265_09293
OG0003140	SMRG1_31110.1, SMRG1_31110.3, SMRG1_31110.2	T265_10611
OG0003142	SMRG1_77130.1	T265_13088, T265_12449
OG0003144	SMRG1_39360.1	T265_07038
OG0003145	SMRG1_19340.1, SMRG1_19340.2	T265_10158, T265_10168, T265_16083
OG0003146	SMRG1_65450.1, SMRG1_65450.2, SMRG1_65450.3, SMRG1_65450.4, SMRG1_65450.5	T265_00190
OG0003147	SMRG1_49940.1	T265_04879
OG0003148	SMRG1_93880.1	T265_05214
OG0003149	SMRG1_56720.1	T265_14469
OG0003150	SMRG1_79270.1, SMRG1_79270.2, SMRG1_79270.3	T265_03278
OG0003151	SMRG1_50650.1	T265_13108
OG0003152	SMRG1_37310.1, SMRG1_37310.2	T265_13663, T265_16373, T265_07971, T265_16076
OG0003153	SMRG1_74500.3, SMRG1_74500.4, SMRG1_74500.1, SMRG1_74500.2	T265_11495
OG0003154	SMRG1_35810.1	T265_08108
OG0003155	SMRG1_72150.1, SMRG1_72150.2, SMRG1_72150.3	T265_07187
OG0003156	SMRG1_38210.1, SMRG1_38210.2	T265_05065
OG0003157	SMRG1_52990.1	T265_07210
OG0003158	SMRG1_90280.1	T265_03832
OG0003159	SMRG1_56390.3, SMRG1_56390.1, SMRG1_56390.2	T265_10689
OG0003160	SMRG1_21270.1, SMRG1_21270.2	T265_03695
OG0003161	SMRG1_47770.2, SMRG1_47770.3, SMRG1_47770.4, SMRG1_47770.1, SMRG1_47770.5, SMRG1_47770.6	T265_00163
OG0003164	SMRG1_33380.1	T265_07313
OG0003167	SMRG1_95010.1	T265_04823, T265_15925
OG0003168	SMRG1_64230.1	T265_00599
OG0003169	SMRG1_15430.1, SMRG1_15430.2, SMRG1_15430.3, SMRG1_15430.4, SMRG1_15240.1	T265_10047
OG0003170	SMRG1_16940.1	T265_09151
OG0003171	SMRG1_73790.1, SMRG1_73790.2	T265_14761, T265_14762
OG0003172	SMRG1_22030.1	T265_12118, T265_11052
OG0003173	SMRG1_31750.1, SMRG1_31750.2	T265_02971
OG0003174	SMRG1_75810.1, SMRG1_75810.2	T265_08480
OG0003175	SMRG1_95180.1	T265_16305, T265_12278, T265_09707, T265_16168
OG0003176	SMRG1_70720.1, SMRG1_70720.2, SMRG1_70720.3	T265_13135
OG0003177	SMRG1_25830.1	T265_11345
OG0003178	SMRG1_33460.1	T265_10413, T265_10411, T265_15781, T265_15620, T265_16328
OG0003179	SMRG1_75950.1	T265_01970
OG0003180	SMRG1_4110.1, SMRG1_4110.2	T265_15379
OG0003181	SMRG1_36790.1	T265_12891
OG0003182	SMRG1_31290.1	T265_10341
OG0003183	SMRG1_12740.1	T265_04369, T265_16026
OG0003184	SMRG1_28520.1	T265_03526
OG0003185	SMRG1_71410.1	T265_15307
OG0003186	SMRG1_29860.1, SMRG1_29860.2	T265_04885
OG0003187	SMRG1_74510.1	T265_00780
OG0003188	SMRG1_82760.3, SMRG1_82760.1, SMRG1_82760.2	T265_07818
OG0003189	SMRG1_57440.2, SMRG1_57440.1, SMRG1_57440.3	T265_01242
OG0003190	SMRG1_60290.1, SMRG1_60290.2	T265_11076
OG0003191	SMRG1_48050.3, SMRG1_48050.1, SMRG1_48050.2	T265_13899
OG0003192	SMRG1_66910.1	T265_08136
OG0003193	SMRG1_37350.1	T265_05017
OG0003194	SMRG1_70360.1, SMRG1_70360.2, SMRG1_70360.3	T265_03962
OG0003195	SMRG1_16910.1	T265_15661
OG0003196	SMRG1_62700.1	T265_01121
OG0003197	SMRG1_96320.1	T265_14545
OG0003198	SMRG1_51340.1	T265_05273
OG0003199	SMRG1_94850.1	T265_08967
OG0003200	SMRG1_10090.1, SMRG1_10090.3, SMRG1_10090.2, SMRG1_10090.4	T265_13485
OG0003201	SMRG1_13990.1, SMRG1_13990.2	T265_10050
OG0003203	SMRG1_92820.1, SMRG1_92820.2	T265_08385
OG0003204	SMRG1_19710.1, SMRG1_19710.2	T265_14093
OG0003205	SMRG1_36720.1	T265_14205
OG0003206	SMRG1_17470.1, SMRG1_17480.1	T265_06903
OG0003207	SMRG1_7960.1, SMRG1_7960.2, SMRG1_7960.7, SMRG1_7960.3, SMRG1_7960.4, SMRG1_7960.5, SMRG1_7960.6	T265_00236
OG0003208	SMRG1_69990.1	T265_12719, T265_01116, T265_02116
OG0003209	SMRG1_79360.1	T265_04035
OG0003210	SMRG1_12420.3, SMRG1_12420.4, SMRG1_12420.1, SMRG1_12420.2	T265_15007, T265_15334
OG0003211	SMRG1_75690.1, SMRG1_75690.2, SMRG1_75690.3	T265_11261, T265_15387
OG0003212	SMRG1_5650.1	T265_00230
OG0003213	SMRG1_33310.1, SMRG1_33310.2, SMRG1_33310.3, SMRG1_33310.4	T265_10936
OG0003214	SMRG1_11320.1, SMRG1_11320.2	T265_02512
OG0003215	SMRG1_8580.1, SMRG1_8570.1	T265_11178, T265_11179
OG0003216	SMRG1_64880.1, SMRG1_64880.4, SMRG1_64880.2, SMRG1_64880.3	T265_09762
OG0003217	SMRG1_59910.1, SMRG1_59910.2, SMRG1_59910.3	T265_02011
OG0003218	SMRG1_58500.1	T265_08129
OG0003222	SMRG1_19110.1, SMRG1_19110.2	T265_15508
OG0003223	SMRG1_89780.1, SMRG1_89780.2	T265_07346
OG0003224	SMRG1_38280.1, SMRG1_38280.2, SMRG1_38280.3	T265_01519
OG0003226	SMRG1_13600.1, SMRG1_13600.2, SMRG1_13600.3	T265_04588, T265_06369
OG0003227	SMRG1_62180.1, SMRG1_62180.2	T265_15188
OG0003228	SMRG1_88690.1, SMRG1_88690.2	T265_05344
OG0003229	SMRG1_76740.3, SMRG1_76740.1, SMRG1_76740.2, SMRG1_76740.4, SMRG1_76740.5	T265_01945
OG0003230	SMRG1_47650.2, SMRG1_47650.1, SMRG1_47650.3	T265_03970
OG0003232	SMRG1_10570.1, SMRG1_10570.2, SMRG1_10570.3, SMRG1_10570.4	T265_11465
OG0003233	SMRG1_22190.1, SMRG1_22190.2	T265_15043
OG0003234	SMRG1_60250.2, SMRG1_60250.1, SMRG1_60250.3	T265_08452
OG0003235	SMRG1_84990.1	T265_03407
OG0003237	SMRG1_25410.1, SMRG1_25410.2	T265_01039
OG0003238	SMRG1_66130.3, SMRG1_66130.1, SMRG1_66130.2	T265_00665
OG0003239	SMRG1_81330.1	T265_05841, T265_11592
OG0003240	SMRG1_7700.1, SMRG1_7700.2	T265_09874
OG0003241	SMRG1_37640.1, SMRG1_37640.2, SMRG1_37640.3	T265_08313
OG0003242	SMRG1_53610.1	T265_08090, T265_12218
OG0003243	SMRG1_8340.1	T265_01389
OG0003244	SMRG1_54010.1	T265_14655
OG0003245	SMRG1_54530.1	T265_05102
OG0003246	SMRG1_8390.1, SMRG1_8390.2, SMRG1_8390.3	T265_04347
OG0003247	SMRG1_19940.1	T265_15668
OG0003249	SMRG1_64570.2, SMRG1_64570.1	T265_02516
OG0003250	SMRG1_71070.1, SMRG1_71070.2	T265_00815
OG0003251	SMRG1_87530.1, SMRG1_87530.2, SMRG1_87530.3, SMRG1_87530.4	T265_15132
OG0003252	SMRG1_42620.1	T265_07596
OG0003253	SMRG1_88090.1	T265_04761
OG0003254	SMRG1_64890.1	T265_04181
OG0003255	SMRG1_94870.1, SMRG1_93930.1	T265_08975, T265_08976
OG0003256	SMRG1_84490.1	T265_11920, T265_10484, T265_13236, T265_15390, T265_14837, T265_01620, T265_13563
OG0003257	SMRG1_12260.1, SMRG1_12260.2, SMRG1_12260.3, SMRG1_12260.4, SMRG1_12260.5	T265_09512
OG0003258	SMRG1_43670.1	T265_13426, T265_16113
OG0003259	SMRG1_23770.1, SMRG1_23770.2	T265_04248
OG0003260	SMRG1_84760.1	T265_07096
OG0003261	SMRG1_34680.2, SMRG1_34680.1, SMRG1_34680.3	T265_13387
OG0003263	SMRG1_4780.1	T265_11723
OG0003264	SMRG1_14910.1, SMRG1_14910.2	T265_14781
OG0003265	SMRG1_42230.3, SMRG1_42230.1, SMRG1_42230.2	T265_14465
OG0003266	SMRG1_71980.11, SMRG1_71980.10, SMRG1_71980.2, SMRG1_71980.5, SMRG1_71980.6, SMRG1_71980.7, SMRG1_71980.9, SMRG1_71980.1, SMRG1_71980.3, SMRG1_71980.4, SMRG1_71980.8	T265_00355
OG0003267	SMRG1_19640.1, SMRG1_19670.1, SMRG1_19670.2	T265_11130
OG0003268	SMRG1_43760.1, SMRG1_43760.3, SMRG1_43760.4, SMRG1_43760.2	T265_10845
OG0003269	SMRG1_77000.1, SMRG1_77000.2	T265_02226
OG0003270	SMRG1_63200.1, SMRG1_63200.2	T265_05629
OG0003271	SMRG1_11020.1	T265_00964
OG0003273	SMRG1_33830.1, SMRG1_33830.2	T265_08347
OG0003275	SMRG1_24760.2, SMRG1_24760.1, SMRG1_24760.3, SMRG1_24760.4	T265_15417
OG0003276	SMRG1_62240.1	T265_07677, T265_14350, T265_14351, T265_14349, T265_01626
OG0003277	SMRG1_33580.4, SMRG1_33580.1, SMRG1_33580.2, SMRG1_33580.3	T265_14638
OG0003278	SMRG1_55910.6, SMRG1_55910.1, SMRG1_55910.3, SMRG1_55910.4, SMRG1_55910.5, SMRG1_55910.2	T265_11305
OG0003279	SMRG1_700.2, SMRG1_700.1	T265_15092
OG0003280	SMRG1_78500.1	T265_00283, T265_07565
OG0003281	SMRG1_95760.1, SMRG1_95760.2, SMRG1_95760.3	T265_05670, T265_16020
OG0003282	SMRG1_53440.1, SMRG1_53440.2	T265_05807
OG0003283	SMRG1_95980.1, SMRG1_95980.2	T265_14849
OG0003284	SMRG1_60320.1	T265_10799
OG0003285	SMRG1_23040.1, SMRG1_23040.2	T265_10409
OG0003286	SMRG1_67490.1, SMRG1_67490.2	T265_14579
OG0003287	SMRG1_9060.1, SMRG1_9060.2, SMRG1_9060.3	T265_11152
OG0003288	SMRG1_69600.1, SMRG1_69600.2	T265_03913, T265_15951
OG0003289	SMRG1_12720.1	T265_14827, T265_14826
OG0003290	SMRG1_9990.1, SMRG1_9990.2	T265_11160
OG0003291	SMRG1_17700.1, SMRG1_17700.2, SMRG1_17700.3, SMRG1_17700.4	T265_10834
OG0003292	SMRG1_86060.1	T265_04681
OG0003293	SMRG1_27330.1, SMRG1_27330.2	T265_05415
OG0003294	SMRG1_33600.1, SMRG1_33600.2, SMRG1_33600.3	T265_08998
OG0003295	SMRG1_26000.1, SMRG1_26000.2	T265_06245
OG0003297	SMRG1_17320.1	T265_11733
OG0003298	SMRG1_46740.1, SMRG1_46840.1, SMRG1_46560.1, SMRG1_46820.1, SMRG1_47660.1	T265_00463
OG0003299	SMRG1_77660.1, SMRG1_77660.2, SMRG1_77660.3, SMRG1_77660.4	T265_07321
OG0003300	SMRG1_13040.1	T265_01803
OG0003301	SMRG1_44330.1, SMRG1_44330.2	T265_10537
OG0003302	SMRG1_7830.1	T265_14440
OG0003303	SMRG1_54890.1, SMRG1_54890.2, SMRG1_54890.3, SMRG1_54890.4, SMRG1_54890.5	T265_03311
OG0003304	SMRG1_6820.1	T265_09145
OG0003305	SMRG1_74560.1, SMRG1_74560.2	T265_00774
OG0003306	SMRG1_56830.1	T265_14129
OG0003307	SMRG1_26190.1	T265_11890
OG0003310	SMRG1_48940.1, SMRG1_48940.4, SMRG1_48940.2, SMRG1_48940.3	T265_12760
OG0003312	SMRG1_46510.1	T265_07556, T265_15541, T265_08896, T265_15698, T265_15731, T265_15697, T265_15717, T265_12007, T265_08368, T265_09978, T265_08331, T265_11080, T265_09736, T265_09998, T265_03720, T265_07026, T265_14778, T265_02064
OG0003313	SMRG1_55190.1, SMRG1_55190.2, SMRG1_55190.3	T265_02811
OG0003315	SMRG1_32250.1	T265_01927
OG0003317	SMRG1_64030.1, SMRG1_8370.1	T265_16135, T265_02052, T265_09357, T265_12241, T265_00872, T265_16236, T265_15874, T265_06964, T265_11798, T265_14183, T265_16306, T265_16267, T265_12329, T265_09360, T265_09359, T265_09356, T265_16145, T265_12325, T265_12179, T265_16213, T265_16164, T265_15985, T265_16052, T265_16044, T265_16177
OG0003318	SMRG1_11210.1, SMRG1_57730.1	T265_03220, T265_08727
OG0003319	SMRG1_40550.1, SMRG1_40540.1, SMRG1_40540.2, SMRG1_40540.3	T265_08722
OG0003320	SMRG1_56970.1, SMRG1_56970.2, SMRG1_56970.3, SMRG1_56970.4	T265_14787
OG0003326	SMRG1_67340.1	T265_12115
OG0003327	SMRG1_77450.1, SMRG1_77450.2	T265_12021
OG0003328	SMRG1_74990.1, SMRG1_74990.2	T265_03597
OG0003329	SMRG1_95860.1	T265_13725
OG0003330	SMRG1_52270.1, SMRG1_52270.2	T265_05098
OG0003331	SMRG1_9360.1	T265_11448
OG0003332	SMRG1_32090.1, SMRG1_32100.1	T265_14609
OG0003334	SMRG1_28510.1, SMRG1_28510.2, SMRG1_28510.3	T265_07042
OG0003335	SMRG1_64720.3, SMRG1_64720.2, SMRG1_64720.1	T265_10561, T265_15187
OG0003336	SMRG1_62380.1, SMRG1_62380.2, SMRG1_62380.4, SMRG1_62380.3	T265_08134
OG0003338	SMRG1_18190.1, SMRG1_18190.2, SMRG1_18190.3	T265_06648
OG0003339	SMRG1_1170.1	T265_06302
OG0003340	SMRG1_39760.1	T265_13297
OG0003341	SMRG1_68160.1, SMRG1_68160.4, SMRG1_68160.3, SMRG1_68160.2	T265_07155
OG0003342	SMRG1_13220.1, SMRG1_13220.2	T265_10319
OG0003343	SMRG1_52080.1	T265_08839
OG0003344	SMRG1_23310.1, SMRG1_23320.1	T265_05994
OG0003345	SMRG1_97890.1, SMRG1_97890.2	T265_13591
OG0003346	SMRG1_95440.1	T265_15250, T265_15251, T265_16311, T265_14424, T265_07896, T265_01009
OG0003347	SMRG1_44640.1	T265_15325
OG0003348	SMRG1_54090.1	T265_00384
OG0003349	SMRG1_40350.1	T265_14676
OG0003350	SMRG1_68610.1, SMRG1_68610.3, SMRG1_68610.2	T265_14476
OG0003351	SMRG1_74020.1	T265_03852
OG0003352	SMRG1_81320.1	T265_15477
OG0003354	SMRG1_27670.1	T265_14200
OG0003355	SMRG1_68980.1	T265_14583, T265_15801, T265_08484
OG0003356	SMRG1_12630.1	T265_13187
OG0003357	SMRG1_43430.1	T265_04123, T265_15449
OG0003358	SMRG1_91100.1, SMRG1_91100.2, SMRG1_91100.4, SMRG1_91100.3	T265_13333
OG0003360	SMRG1_33140.1, SMRG1_33140.2, SMRG1_33140.3, SMRG1_33140.4	T265_15037
OG0003361	SMRG1_18990.3, SMRG1_18990.1, SMRG1_18990.2	T265_01606
OG0003362	SMRG1_76050.1	T265_06343, T265_08886
OG0003363	SMRG1_29990.1, SMRG1_30000.1, SMRG1_30010.1	T265_00732
OG0003364	SMRG1_86030.2, SMRG1_86030.3, SMRG1_86030.1, SMRG1_86030.6, SMRG1_86030.4, SMRG1_86030.5	T265_10488, T265_16148, T265_16320, T265_16298
OG0003365	SMRG1_18410.1, SMRG1_18410.4, SMRG1_18410.2, SMRG1_18410.3	T265_03679
OG0003366	SMRG1_62200.3, SMRG1_62200.2, SMRG1_62200.1	T265_01582
OG0003368	SMRG1_37960.1	T265_14328
OG0003369	SMRG1_65680.1	T265_03934
OG0003370	SMRG1_25870.1	T265_14039
OG0003371	SMRG1_48240.1	T265_14624
OG0003372	SMRG1_95510.4, SMRG1_95510.3, SMRG1_95510.1, SMRG1_95510.2	T265_13073, T265_02731
OG0003373	SMRG1_14920.2, SMRG1_14920.1, SMRG1_14920.3	T265_10074
OG0003374	SMRG1_96250.1	T265_16374, T265_16007, T265_04840
OG0003375	SMRG1_70320.4, SMRG1_70320.1, SMRG1_70320.5, SMRG1_70320.2, SMRG1_70320.3, SMRG1_70320.6	T265_04061
OG0003376	SMRG1_48560.1	T265_13274
