Orthogroup	schistosoma_margrebowiei	trichobilharzia_regenti
OG0001964	SMRG1_89210.1	TREG1_123950.1
OG0001965	SMRG1_84800.1	TREG1_115040.3, TREG1_115040.1, TREG1_115040.2
OG0001966	SMRG1_6950.1	TREG1_26240.1, TREG1_26240.2
OG0001967	SMRG1_96910.1	TREG1_135540.1, TREG1_135540.4, TREG1_135540.2, TREG1_135540.3
OG0001968	SMRG1_31550.1, SMRG1_31550.2, SMRG1_31550.3	TREG1_54200.1
OG0001969	SMRG1_29800.1	TREG1_47010.1, TREG1_47020.3, TREG1_47020.1, TREG1_47020.2, TREG1_47020.4
OG0001970	SMRG1_37530.1, SMRG1_37530.2	TREG1_43120.1, TREG1_43120.2, TREG1_43120.3, TREG1_43120.4, TREG1_43120.5, TREG1_43120.6
OG0001971	SMRG1_60310.1	TREG1_85360.1, TREG1_85360.2
OG0001972	SMRG1_66950.1	TREG1_89390.1
OG0001973	SMRG1_58660.1	TREG1_113400.1
OG0001974	SMRG1_47910.1, SMRG1_47910.2, SMRG1_47910.4, SMRG1_47910.5, SMRG1_47910.3, SMRG1_47910.6, SMRG1_47910.7	TREG1_67020.1, TREG1_67020.2
OG0001975	SMRG1_50610.5, SMRG1_50610.1, SMRG1_50610.2, SMRG1_50610.4, SMRG1_50610.3	TREG1_65600.1
OG0001976	SMRG1_3900.3, SMRG1_3900.4, SMRG1_3900.2, SMRG1_3900.1	TREG1_3780.1, TREG1_3780.2
OG0001977	SMRG1_92310.1, SMRG1_92310.2, SMRG1_92310.3, SMRG1_92310.4	TREG1_129460.1
OG0001978	SMRG1_79730.1, SMRG1_79730.3, SMRG1_79730.2, SMRG1_79730.4	TREG1_109580.1
OG0001979	SMRG1_51860.1	TREG1_70650.1
OG0001980	SMRG1_62670.1, SMRG1_62670.2	TREG1_91220.1
OG0001981	SMRG1_42440.1, SMRG1_42440.2	TREG1_56120.1, TREG1_56130.1
OG0001982	SMRG1_34800.11, SMRG1_34800.3, SMRG1_34800.10, SMRG1_34800.4, SMRG1_34800.1, SMRG1_34800.6, SMRG1_34800.9, SMRG1_34800.2, SMRG1_34800.5, SMRG1_34800.7, SMRG1_34800.8	TREG1_57220.1
OG0001983	SMRG1_84810.1	TREG1_110830.1, TREG1_110820.1
OG0001984	SMRG1_89640.1, SMRG1_89640.3, SMRG1_89640.2	TREG1_122520.1
OG0001985	SMRG1_38870.1, SMRG1_38870.2	TREG1_43210.1, TREG1_43210.2, TREG1_43210.6, TREG1_43210.3, TREG1_43210.4, TREG1_43210.5
OG0001987	SMRG1_38810.1, SMRG1_38810.2	TREG1_43230.1, TREG1_43230.2
OG0001988	SMRG1_61460.1	TREG1_84000.1, TREG1_84000.2, TREG1_84000.3, TREG1_84000.4
OG0001989	SMRG1_10140.1	TREG1_8690.1
OG0001990	SMRG1_50340.1	TREG1_65890.10, TREG1_65890.8, TREG1_65890.7, TREG1_65890.9, TREG1_65890.12, TREG1_65890.4, TREG1_65890.6, TREG1_65890.11, TREG1_65890.3, TREG1_65890.5, TREG1_65890.1, TREG1_65890.2
OG0001991	SMRG1_14590.1	TREG1_21040.2, TREG1_21040.4, TREG1_21040.1, TREG1_21040.3
OG0001992	SMRG1_48410.1	TREG1_69140.1
OG0001993	SMRG1_75740.1, SMRG1_75740.2, SMRG1_75740.3, SMRG1_75740.4	TREG1_103860.1
OG0001994	SMRG1_20960.5, SMRG1_20960.3, SMRG1_20960.6, SMRG1_20960.7, SMRG1_20960.4, SMRG1_20960.2, SMRG1_20960.1	TREG1_25370.1, TREG1_25370.2, TREG1_25370.5, TREG1_25370.3, TREG1_25370.4, TREG1_25370.6
OG0001995	SMRG1_95420.1	TREG1_132190.5, TREG1_132190.1, TREG1_132190.4, TREG1_132190.6, TREG1_132190.2, TREG1_132190.3
OG0001996	SMRG1_84010.1	TREG1_110370.1, TREG1_110380.1
OG0001996	SMRG1_84020.1	TREG1_110360.1, TREG1_137210.1
OG0001998	SMRG1_92530.1	TREG1_124990.1
OG0001999	SMRG1_50460.1	TREG1_66050.1
OG0002000	SMRG1_8770.5, SMRG1_8770.1, SMRG1_8770.3, SMRG1_8770.4, SMRG1_8770.6, SMRG1_8770.2	TREG1_11620.1, TREG1_11620.4, TREG1_11620.7, TREG1_11620.2, TREG1_11620.5, TREG1_11620.8, TREG1_11620.3, TREG1_11620.6
OG0002001	SMRG1_13330.1, SMRG1_13330.2, SMRG1_13330.3	TREG1_6550.1, TREG1_6560.1
OG0002002	SMRG1_36020.1	TREG1_44170.1
OG0002003	SMRG1_50420.1	TREG1_66010.1, TREG1_66010.2, TREG1_66010.3, TREG1_66010.4
OG0002004	SMRG1_4360.2, SMRG1_4360.1	TREG1_4620.1, TREG1_4620.2, TREG1_4620.4, TREG1_4620.3, TREG1_4620.5, TREG1_4610.1, TREG1_4610.2
OG0002005	SMRG1_56330.1, SMRG1_56330.2, SMRG1_56330.3, SMRG1_56330.4, SMRG1_56330.5	TREG1_64420.1, TREG1_74310.1, TREG1_74310.2
OG0002006	SMRG1_75600.1, SMRG1_75600.2	TREG1_107920.2, TREG1_107920.3, TREG1_107920.1, TREG1_107920.4
OG0002007	SMRG1_68950.1, SMRG1_68960.1	TREG1_140890.1, TREG1_93960.1, TREG1_93940.1, TREG1_140900.1, TREG1_140900.2
OG0002008	SMRG1_62590.1, SMRG1_62590.2, SMRG1_62590.3	TREG1_85200.1, TREG1_85200.3, TREG1_85200.5, TREG1_85200.6, TREG1_85200.2, TREG1_85200.4
OG0002009	SMRG1_33870.1, SMRG1_33870.2	TREG1_55310.1, TREG1_55310.2
OG0002010	SMRG1_52470.1, SMRG1_52470.2	TREG1_66490.1
OG0002011	SMRG1_76280.1, SMRG1_76280.2	TREG1_100580.1, TREG1_100580.2, TREG1_100580.3, TREG1_100580.4
OG0002012	SMRG1_8940.1	TREG1_1800.1
OG0002012	SMRG1_8900.1	TREG1_1810.1
OG0002013	SMRG1_51850.1	TREG1_70640.1, TREG1_70640.2
OG0002014	SMRG1_64700.1, SMRG1_64700.2, SMRG1_64700.4, SMRG1_64700.3	TREG1_89910.1
OG0002015	SMRG1_88260.1, SMRG1_88260.3, SMRG1_88260.2	TREG1_120450.3, TREG1_120450.2, TREG1_120450.1
OG0002016	SMRG1_63210.1, SMRG1_63210.2	TREG1_90160.1
OG0002017	SMRG1_65920.1, SMRG1_65920.2, SMRG1_65920.4, SMRG1_65920.5, SMRG1_65920.6, SMRG1_65920.3	TREG1_85980.1, TREG1_85980.2
OG0002018	SMRG1_72010.1, SMRG1_72010.2	TREG1_99970.1
OG0002018	SMRG1_72000.1	TREG1_99960.1
OG0002019	SMRG1_73550.2, SMRG1_73550.1, SMRG1_73550.3	TREG1_105620.1
OG0002020	SMRG1_66370.1	TREG1_82830.1
OG0002021	SMRG1_71290.3, SMRG1_71290.1, SMRG1_71290.4, SMRG1_71290.2, SMRG1_71290.5	TREG1_44370.1, TREG1_100710.1, TREG1_100710.2
OG0002022	SMRG1_71740.3, SMRG1_71740.4, SMRG1_71740.2, SMRG1_71740.1	TREG1_103610.3, TREG1_103610.2, TREG1_103610.6, TREG1_103610.5, TREG1_103610.1, TREG1_103610.4
OG0002023	SMRG1_68180.3, SMRG1_68180.1, SMRG1_68180.2	TREG1_79940.1, TREG1_92250.1
OG0002024	SMRG1_24260.1, SMRG1_24260.2	TREG1_59190.1, TREG1_59180.1
OG0002025	SMRG1_63190.1, SMRG1_63190.2	TREG1_90140.1
OG0002026	SMRG1_4650.1	TREG1_7600.5, TREG1_7600.2, TREG1_7600.1, TREG1_7600.3, TREG1_7600.4
OG0002027	SMRG1_86670.3, SMRG1_86670.1, SMRG1_86670.2	TREG1_118350.1
OG0002028	SMRG1_53280.1, SMRG1_53280.2	TREG1_70320.1
OG0002029	SMRG1_32740.2, SMRG1_32740.5, SMRG1_32740.4, SMRG1_32740.1, SMRG1_32740.3	TREG1_47800.1, TREG1_47800.2, TREG1_47800.3, TREG1_47800.4
OG0002030	SMRG1_62740.2, SMRG1_62740.3, SMRG1_62740.1	TREG1_86870.1, TREG1_86870.2
OG0002032	SMRG1_94880.1	TREG1_134540.1, TREG1_134540.2
OG0002033	SMRG1_60560.1, SMRG1_60560.2	TREG1_84280.1, TREG1_84280.2
OG0002034	SMRG1_69920.3, SMRG1_69920.1, SMRG1_69920.2	TREG1_93160.3, TREG1_93160.1, TREG1_93160.2, TREG1_93160.4
OG0002035	SMRG1_13410.1, SMRG1_13420.1	TREG1_26460.1, TREG1_26460.2, TREG1_26460.3, TREG1_26460.4, TREG1_26460.5
OG0002036	SMRG1_88410.1, SMRG1_88410.3, SMRG1_88410.2	TREG1_125230.1, TREG1_125240.1
OG0002037	SMRG1_55010.1	TREG1_71070.1
OG0002038	SMRG1_44080.1	TREG1_34510.1, TREG1_34510.2, TREG1_34510.3
OG0002039	SMRG1_50550.1, SMRG1_50550.5, SMRG1_50550.4, SMRG1_50550.6, SMRG1_50550.10, SMRG1_50550.2, SMRG1_50550.3, SMRG1_50550.7, SMRG1_50550.9, SMRG1_50550.8	TREG1_65790.1
OG0002040	SMRG1_2470.1	TREG1_420.1, TREG1_420.2
OG0002041	SMRG1_75170.1	TREG1_99100.1
OG0002042	SMRG1_13310.1, SMRG1_13310.2	TREG1_14740.4, TREG1_14740.1, TREG1_14740.2, TREG1_14740.3, TREG1_14740.5
OG0002043	SMRG1_63830.1, SMRG1_63830.2, SMRG1_63830.4, SMRG1_63830.5, SMRG1_63830.6, SMRG1_63830.8, SMRG1_63830.3, SMRG1_63830.7	TREG1_84480.1
OG0002044	SMRG1_7140.4, SMRG1_7140.3, SMRG1_7140.2, SMRG1_7140.1, SMRG1_7140.5	TREG1_10860.1
OG0002045	SMRG1_86320.2, SMRG1_86320.1, SMRG1_86320.3	TREG1_118040.1, TREG1_118050.1, TREG1_142380.1, TREG1_142340.1, TREG1_28520.1, TREG1_143410.1, TREG1_142370.1, TREG1_143410.2, TREG1_142360.1
OG0002046	SMRG1_75490.1, SMRG1_75490.2	TREG1_107510.1, TREG1_107510.2, TREG1_107510.3
OG0002047	SMRG1_86080.2, SMRG1_86080.1, SMRG1_86080.3	TREG1_116630.1
OG0002048	SMRG1_15880.1	TREG1_9250.1, TREG1_9250.7, TREG1_9250.2, TREG1_9250.3, TREG1_9250.4, TREG1_9250.5, TREG1_9250.6
OG0002049	SMRG1_91850.1, SMRG1_91850.2, SMRG1_91850.3	TREG1_126270.1, TREG1_126270.2, TREG1_126270.3, TREG1_126270.4, TREG1_126260.1
OG0002050	SMRG1_54500.2, SMRG1_54500.1	TREG1_69630.1
OG0002051	SMRG1_30480.1, SMRG1_30480.2	TREG1_52330.1, TREG1_52340.1, TREG1_52340.2, TREG1_52340.3, TREG1_52340.4, TREG1_52340.5, TREG1_52340.6, TREG1_52340.7
OG0002052	SMRG1_43570.1	TREG1_39380.3, TREG1_39380.4, TREG1_39380.5, TREG1_39380.1, TREG1_39380.2
OG0002053	SMRG1_77750.2, SMRG1_77750.4, SMRG1_77750.1, SMRG1_77750.3	TREG1_100420.1
OG0002054	SMRG1_72470.1, SMRG1_72470.2	TREG1_95270.1, TREG1_95270.2
OG0002055	SMRG1_58570.1	TREG1_78950.1, TREG1_78950.2, TREG1_78950.3, TREG1_78950.4
OG0002056	SMRG1_90830.1	TREG1_125790.1, TREG1_125780.1
OG0002057	SMRG1_50670.1, SMRG1_50670.3, SMRG1_50670.2, SMRG1_50670.4	TREG1_71060.1
OG0002058	SMRG1_7770.1, SMRG1_7770.2, SMRG1_7770.3	TREG1_10270.1, TREG1_10270.2, TREG1_10270.3, TREG1_10270.4
OG0002059	SMRG1_44650.1	TREG1_31300.1, TREG1_31300.2
OG0002060	SMRG1_7040.1, SMRG1_7040.2, SMRG1_7040.3	TREG1_10890.1, TREG1_10890.2
OG0002061	SMRG1_4480.1, SMRG1_4480.2	TREG1_1890.1
OG0002062	SMRG1_67890.1	TREG1_91530.1, TREG1_91540.1
OG0002063	SMRG1_44720.1, SMRG1_44740.4, SMRG1_44740.1, SMRG1_44740.3, SMRG1_44740.2	TREG1_30840.1, TREG1_30780.1, TREG1_30850.1, TREG1_30870.1
OG0002064	SMRG1_9630.4, SMRG1_9630.1, SMRG1_9630.2, SMRG1_9630.3	TREG1_2140.1, TREG1_2140.2, TREG1_2140.3, TREG1_2150.1, TREG1_2150.2, TREG1_2150.3
OG0002066	SMRG1_76110.1	TREG1_98820.1
OG0002066	SMRG1_76160.1	TREG1_98800.1, TREG1_136980.1, TREG1_144430.1
OG0002067	SMRG1_61700.1, SMRG1_61700.2, SMRG1_61700.3, SMRG1_61700.4	TREG1_81750.1
OG0002068	SMRG1_11620.1	TREG1_23340.1, TREG1_140350.1, TREG1_140360.1, TREG1_23330.1, TREG1_23320.1, TREG1_23360.1
OG0002069	SMRG1_7390.1, SMRG1_37890.1	TREG1_113890.1, TREG1_270.1
OG0002073	SMRG1_96170.1	TREG1_131700.6, TREG1_131700.2, TREG1_131700.4, TREG1_131700.5, TREG1_131700.1, TREG1_131700.3
OG0002074	SMRG1_18490.1, SMRG1_18490.2	TREG1_17790.1, TREG1_17790.2, TREG1_17790.3
OG0002075	SMRG1_10200.3, SMRG1_10200.1, SMRG1_10200.2	TREG1_9310.1, TREG1_9310.2, TREG1_9310.3, TREG1_9310.4, TREG1_9310.5, TREG1_9310.6, TREG1_9310.7
OG0002076	SMRG1_42030.2, SMRG1_42030.1	TREG1_43260.1, TREG1_43260.2
OG0002077	SMRG1_13210.4, SMRG1_13210.1, SMRG1_13210.2, SMRG1_13210.3, SMRG1_13210.5	TREG1_17870.1
OG0002079	SMRG1_37940.1	TREG1_16410.1, TREG1_33020.1
OG0002080	SMRG1_51830.1	TREG1_70620.1, TREG1_70620.2
OG0002081	SMRG1_83320.1	TREG1_117300.1, TREG1_117300.4, TREG1_117300.3, TREG1_117300.5, TREG1_117300.2
OG0002082	SMRG1_61330.1	TREG1_84680.1
OG0002082	SMRG1_61320.1	TREG1_80910.1
OG0002083	SMRG1_44840.1	TREG1_30750.1
OG0002084	SMRG1_17120.1, SMRG1_17130.1, SMRG1_17130.2	TREG1_15810.12, TREG1_15810.15, TREG1_15840.1, TREG1_15810.14, TREG1_15810.17, TREG1_15810.18, TREG1_15810.19, TREG1_15810.13, TREG1_15810.16
OG0002085	SMRG1_59650.1, SMRG1_59650.2, SMRG1_59650.3, SMRG1_59650.4, SMRG1_59650.5	TREG1_86570.1
OG0002086	SMRG1_41640.1, SMRG1_41640.2	TREG1_31240.1, TREG1_31240.2, TREG1_31240.3
OG0002087	SMRG1_33590.2, SMRG1_33590.1, SMRG1_33590.3	TREG1_54080.1, TREG1_54080.2
OG0002088	SMRG1_27830.1	TREG1_37990.1
OG0002089	SMRG1_46420.2, SMRG1_46420.1, SMRG1_46420.3	TREG1_62810.1
OG0002090	SMRG1_55000.1	TREG1_71090.4, TREG1_71090.3, TREG1_71090.1, TREG1_71090.5, TREG1_71090.2, TREG1_71090.7, TREG1_71090.8, TREG1_71090.6, TREG1_71090.9, TREG1_71110.1, TREG1_71090.12, TREG1_71090.13, TREG1_71100.2, TREG1_71100.3, TREG1_71100.4, TREG1_1660.1, TREG1_71090.11, TREG1_71100.1
OG0002091	SMRG1_53410.3, SMRG1_53410.1, SMRG1_53410.2	TREG1_66870.1
OG0002092	SMRG1_39100.1, SMRG1_39100.3, SMRG1_39100.2	TREG1_57930.1, TREG1_57940.1
OG0002093	SMRG1_25650.1, SMRG1_25650.2, SMRG1_25650.3	TREG1_35280.1
OG0002094	SMRG1_4800.5, SMRG1_4800.4, SMRG1_4800.1, SMRG1_4800.2, SMRG1_4800.3	TREG1_3110.1
OG0002095	SMRG1_15840.2, SMRG1_15840.5, SMRG1_15840.1, SMRG1_15840.3, SMRG1_15840.7, SMRG1_15840.9, SMRG1_15840.4, SMRG1_15840.6, SMRG1_15840.8	TREG1_27170.4, TREG1_27170.1, TREG1_27170.2, TREG1_27170.3
OG0002096	SMRG1_28870.1, SMRG1_28870.2, SMRG1_28870.6, SMRG1_28870.4, SMRG1_28870.5, SMRG1_28870.3	TREG1_49500.1
OG0002097	SMRG1_5130.1, SMRG1_5130.2, SMRG1_5130.3	TREG1_18860.1, TREG1_18860.2, TREG1_18860.3, TREG1_18860.4, TREG1_18860.5, TREG1_18860.6
OG0002098	SMRG1_65200.1, SMRG1_65200.2, SMRG1_65200.3, SMRG1_65200.4	TREG1_81900.1, TREG1_81900.2, TREG1_81900.3
OG0002099	SMRG1_38980.1	TREG1_41680.1, TREG1_41680.5, TREG1_41680.3, TREG1_41680.2, TREG1_41680.4
OG0002100	SMRG1_28400.1, SMRG1_28400.2, SMRG1_28400.3, SMRG1_28400.4	TREG1_48750.1, TREG1_48750.2, TREG1_48750.3
OG0002101	SMRG1_90260.1	TREG1_124340.1, TREG1_124330.1
OG0002102	SMRG1_24420.1	TREG1_58990.1, TREG1_58990.2
OG0002102	SMRG1_25320.1	TREG1_35880.1
OG0002103	SMRG1_43360.1	TREG1_42670.1, TREG1_42670.2, TREG1_42670.3, TREG1_42670.4, TREG1_42670.5, TREG1_42670.6, TREG1_42670.7
OG0002104	SMRG1_30990.3, SMRG1_30990.1, SMRG1_30990.2	TREG1_45180.1, TREG1_45180.2, TREG1_45180.3
OG0002105	SMRG1_25880.1, SMRG1_25880.2, SMRG1_25880.3, SMRG1_25880.4	TREG1_48490.1
OG0002106	SMRG1_88950.1, SMRG1_88950.2	TREG1_121220.1, TREG1_121220.3, TREG1_121220.2
OG0002107	SMRG1_60840.1	TREG1_79720.1
OG0002108	SMRG1_91860.1	TREG1_126250.1
OG0002108	SMRG1_81560.1	TREG1_113350.1
OG0002109	SMRG1_45820.2, SMRG1_45820.1, SMRG1_45820.3	TREG1_31400.1
OG0002110	SMRG1_72210.1	TREG1_95570.3, TREG1_95570.1, TREG1_95570.2
OG0002111	SMRG1_42750.1, SMRG1_42750.2	TREG1_41990.1, TREG1_41990.2
OG0002112	SMRG1_59080.1, SMRG1_59080.2	TREG1_78440.1, TREG1_78440.2, TREG1_78440.3
OG0002113	SMRG1_91600.1, SMRG1_91600.2	TREG1_120750.1
OG0002114	SMRG1_24190.1, SMRG1_24190.2	TREG1_59270.1, TREG1_59270.2, TREG1_59280.1
OG0002115	SMRG1_55480.2, SMRG1_55480.3, SMRG1_55480.1	TREG1_77130.1
OG0002116	SMRG1_32610.4, SMRG1_32610.2, SMRG1_32610.7, SMRG1_32610.1, SMRG1_32610.3, SMRG1_32610.5, SMRG1_32610.6	TREG1_47600.1, TREG1_47600.2, TREG1_47600.3
OG0002117	SMRG1_4410.1	TREG1_2160.2, TREG1_2160.1, TREG1_2160.3
OG0002118	SMRG1_46330.1	TREG1_62350.1
OG0002118	SMRG1_46340.1	TREG1_62340.1
OG0002119	SMRG1_84930.2, SMRG1_84930.1, SMRG1_84930.3	TREG1_110670.1
OG0002120	SMRG1_6100.1	TREG1_25060.1, TREG1_25060.2
OG0002121	SMRG1_6110.1, SMRG1_6110.2, SMRG1_6110.3	TREG1_107940.1, TREG1_107940.2
OG0002122	SMRG1_31470.1	TREG1_51210.1
OG0002123	SMRG1_29420.1	TREG1_46320.1
OG0002124	SMRG1_20950.3, SMRG1_20950.1, SMRG1_20950.2	TREG1_58590.1
OG0002125	SMRG1_97320.1, SMRG1_97320.2	TREG1_135230.3, TREG1_135230.1, TREG1_135230.2
OG0002126	SMRG1_3010.1	TREG1_18430.1
OG0002127	SMRG1_61060.1	TREG1_86180.1, TREG1_86180.2, TREG1_86180.4, TREG1_86180.3, TREG1_86180.5
OG0002128	SMRG1_6280.1	TREG1_6010.1, TREG1_6010.2, TREG1_6010.3, TREG1_6010.4, TREG1_143120.2, TREG1_143120.3, TREG1_143120.5, TREG1_143120.4, TREG1_143120.1, TREG1_6030.1, TREG1_143110.1
OG0002129	SMRG1_52530.1	TREG1_66580.1, TREG1_66560.1
OG0002130	SMRG1_24720.1	TREG1_58720.1, TREG1_6980.1
OG0002131	SMRG1_40760.1, SMRG1_40760.2, SMRG1_40760.3	TREG1_45840.1, TREG1_45840.2
OG0002132	SMRG1_55700.1	TREG1_70390.1
OG0002133	SMRG1_48060.1, SMRG1_48060.2	TREG1_67160.1
OG0002134	SMRG1_37080.2, SMRG1_37080.3, SMRG1_37080.1, SMRG1_37080.4	TREG1_52800.3, TREG1_52800.1, TREG1_52800.2
OG0002135	SMRG1_26120.1, SMRG1_26120.2, SMRG1_26120.3	TREG1_51630.1
OG0002136	SMRG1_94290.1	TREG1_130550.1, TREG1_130550.2, TREG1_130550.3, TREG1_130550.4, TREG1_130550.5, TREG1_130550.6, TREG1_130550.7, TREG1_130550.8
OG0002137	SMRG1_79060.2, SMRG1_79060.3, SMRG1_79060.1	TREG1_104450.1, TREG1_104450.2, TREG1_104450.3
OG0002138	SMRG1_31160.1	TREG1_49820.1, TREG1_49830.1, TREG1_49820.3, TREG1_49820.2, TREG1_49820.4
OG0002139	SMRG1_63560.1	TREG1_93600.1, TREG1_93600.2
OG0002140	SMRG1_6980.1	TREG1_26290.1, TREG1_26290.2
OG0002141	SMRG1_59210.1, SMRG1_59210.2, SMRG1_59210.3	TREG1_136860.1, TREG1_78310.1
OG0002142	SMRG1_86990.1	TREG1_123260.1
OG0002143	SMRG1_46300.1	TREG1_63130.1
OG0002144	SMRG1_26420.2, SMRG1_26420.1, SMRG1_26420.3, SMRG1_26420.4, SMRG1_26420.5, SMRG1_26420.6	TREG1_38780.1, TREG1_141260.1
OG0002145	SMRG1_30600.3, SMRG1_30600.2, SMRG1_30600.1, SMRG1_30600.5, SMRG1_30600.6, SMRG1_30600.4	TREG1_52500.1, TREG1_52500.2, TREG1_52500.3
OG0002146	SMRG1_18350.2, SMRG1_18350.3, SMRG1_18350.1	TREG1_17430.2, TREG1_17430.1, TREG1_17430.3
OG0002147	SMRG1_50530.1, SMRG1_50530.2	TREG1_65820.1
OG0002148	SMRG1_5910.5, SMRG1_5910.6, SMRG1_5910.2, SMRG1_5910.1, SMRG1_5910.3, SMRG1_5910.4	TREG1_134550.1
OG0002149	SMRG1_54220.1	TREG1_61860.6, TREG1_61860.5, TREG1_61860.8, TREG1_61860.9, TREG1_61860.2, TREG1_61860.4, TREG1_61860.7, TREG1_61860.1, TREG1_61860.3
OG0002150	SMRG1_69940.1, SMRG1_69930.1, SMRG1_69930.2	TREG1_93170.2, TREG1_93170.3, TREG1_93170.1, TREG1_93170.4
OG0002151	SMRG1_50360.1, SMRG1_82710.1	TREG1_112910.1
OG0002152	SMRG1_74740.2, SMRG1_74740.1, SMRG1_74740.4, SMRG1_74740.3	TREG1_95060.1
OG0002153	SMRG1_6750.1	TREG1_25030.1, TREG1_25030.4, TREG1_25030.2, TREG1_25030.3
OG0002154	SMRG1_36530.5, SMRG1_36530.6	TREG1_54280.1
OG0002155	SMRG1_23830.1, SMRG1_23830.2, SMRG1_23830.3	TREG1_60810.1
OG0002156	SMRG1_89540.3, SMRG1_89540.4, SMRG1_89540.1, SMRG1_89540.2	TREG1_119990.1
OG0002157	SMRG1_63020.1, SMRG1_63020.2, SMRG1_63020.3	TREG1_83690.1
OG0002158	SMRG1_77190.1	TREG1_104780.1, TREG1_61350.1, TREG1_104780.12, TREG1_104780.3, TREG1_104780.5, TREG1_104780.6, TREG1_104780.7, TREG1_104780.8, TREG1_104780.9, TREG1_104780.10, TREG1_104780.11, TREG1_104780.2, TREG1_104780.4
OG0002159	SMRG1_75230.1	TREG1_99030.1, TREG1_99030.2, TREG1_99030.3, TREG1_99030.4, TREG1_99030.5, TREG1_99030.6
OG0002160	SMRG1_59730.5, SMRG1_59730.1, SMRG1_59730.3, SMRG1_59730.2, SMRG1_59730.4	TREG1_86620.1, TREG1_86630.1
OG0002162	SMRG1_26220.1	TREG1_43370.1
OG0002162	SMRG1_26310.1	TREG1_43370.1
OG0002163	SMRG1_38630.1, SMRG1_38630.2, SMRG1_38630.3, SMRG1_38630.4, SMRG1_38630.5	TREG1_44690.1
OG0002164	SMRG1_58880.1, SMRG1_58880.2, SMRG1_58880.4, SMRG1_58880.5, SMRG1_58880.6, SMRG1_58880.3	TREG1_80280.1
OG0002165	SMRG1_28170.1, SMRG1_28170.2	TREG1_37220.1, TREG1_37220.2
OG0002166	SMRG1_56210.1, SMRG1_56210.2	TREG1_74130.4, TREG1_74130.2, TREG1_74130.1, TREG1_74130.3, TREG1_74130.5, TREG1_74130.6, TREG1_74130.7
OG0002168	SMRG1_48810.2, SMRG1_48810.1, SMRG1_48810.3, SMRG1_48810.4	TREG1_140400.1
OG0002169	SMRG1_20080.1, SMRG1_20080.2	TREG1_24240.1, TREG1_24240.2
OG0002170	SMRG1_72740.3, SMRG1_72740.1, SMRG1_72740.2, SMRG1_72740.4	TREG1_102130.4, TREG1_102130.3, TREG1_102130.1, TREG1_102130.2
OG0002171	SMRG1_2450.1	TREG1_10220.1
OG0002172	SMRG1_30510.1	TREG1_52380.1, TREG1_52380.5, TREG1_52380.2, TREG1_52380.3, TREG1_52380.4
OG0002173	SMRG1_65150.5, SMRG1_65150.1, SMRG1_65150.4, SMRG1_65150.2, SMRG1_65150.3	TREG1_81840.1, TREG1_81840.2
OG0002174	SMRG1_74750.3, SMRG1_74750.1, SMRG1_74750.2, SMRG1_74750.4, SMRG1_74750.5	TREG1_95090.1
OG0002175	SMRG1_75930.1	TREG1_106400.1, TREG1_106400.2
OG0002176	SMRG1_79830.1	TREG1_109480.1
OG0002177	SMRG1_5320.2, SMRG1_5320.1, SMRG1_5320.5, SMRG1_5320.4, SMRG1_5320.3	TREG1_3220.1
OG0002178	SMRG1_77380.1	TREG1_104000.1
OG0002179	SMRG1_9790.1	TREG1_18670.1, TREG1_18670.2
OG0002180	SMRG1_77370.1	TREG1_104010.1
OG0002181	SMRG1_57080.1, SMRG1_57080.2	TREG1_75970.1, TREG1_75970.2, TREG1_75970.3
OG0002182	SMRG1_75420.1, SMRG1_75420.2	TREG1_107420.1, TREG1_107430.1
OG0002183	SMRG1_11090.2, SMRG1_11090.1, SMRG1_11090.3	TREG1_27120.1, TREG1_27120.2, TREG1_27120.3
OG0002184	SMRG1_92770.4, SMRG1_92770.5, SMRG1_92770.2, SMRG1_92770.1, SMRG1_92770.3	TREG1_129920.1
OG0002185	SMRG1_4670.2, SMRG1_4670.1	TREG1_7620.2, TREG1_7620.1, TREG1_7620.3
OG0002186	SMRG1_19140.1, SMRG1_19140.2	TREG1_14970.1, TREG1_14970.2, TREG1_14970.4, TREG1_14970.3
OG0002187	SMRG1_14530.1	TREG1_20940.1, TREG1_20940.2, TREG1_20930.1
OG0002188	SMRG1_67850.1	TREG1_91570.1
OG0002189	SMRG1_35640.1, SMRG1_35640.3, SMRG1_35640.2	TREG1_52720.5, TREG1_52720.1, TREG1_52720.2, TREG1_52720.3, TREG1_52720.4
OG0002190	SMRG1_26910.1, SMRG1_26910.2	TREG1_59610.1
OG0002191	SMRG1_11160.1	TREG1_26960.1, TREG1_27000.1, TREG1_26970.1
OG0002192	SMRG1_45470.3, SMRG1_45470.1, SMRG1_45470.2	TREG1_36150.1
OG0002193	SMRG1_77530.1	TREG1_100230.1
OG0002194	SMRG1_30610.1, SMRG1_30610.2	TREG1_25410.1, TREG1_25410.2, TREG1_25410.3, TREG1_25410.4
OG0002195	SMRG1_53790.1	TREG1_73830.1, TREG1_73830.2, TREG1_73830.3, TREG1_73830.4, TREG1_73830.5
OG0002196	SMRG1_68240.1, SMRG1_68240.2, SMRG1_68240.3	TREG1_92190.1
OG0002197	SMRG1_59110.2, SMRG1_59110.3	TREG1_78380.1
OG0002198	SMRG1_28500.2, SMRG1_28500.1, SMRG1_28500.3, SMRG1_28500.4	TREG1_48530.1
