Orthogroup	schistosoma_rodhaini	schistosoma_haematobium
OG0002309	SRDH2_42870.6, SRDH2_42870.5, SRDH2_42870.1, SRDH2_42870.4, SRDH2_42870.2, SRDH2_42870.3	SHAE2_45420.2, SHAE2_45420.4, SHAE2_45420.5, SHAE2_45420.3, SHAE2_45420.1
OG0002310	SRDH2_22240.1	SHAE2_23950.1
OG0002311	SRDH2_4990.1, SRDH2_4990.2	SHAE2_5500.2, SHAE2_5500.1
OG0002312	SRDH2_23730.1	SHAE2_25430.1, SHAE2_25430.2, SHAE2_25430.3, SHAE2_25430.4
OG0002314	SRDH2_4240.1	SHAE2_4710.1, SHAE2_4710.2
OG0002315	SRDH2_8700.3, SRDH2_8700.1, SRDH2_8700.2, SRDH2_8700.4	SHAE2_10290.2
OG0002316	SRDH2_74680.1	SHAE2_75440.1
OG0002317	SRDH2_47910.1	SHAE2_50390.1
OG0002318	SRDH2_23330.1, SRDH2_23330.2	SHAE2_25270.1, SHAE2_25270.2
OG0002319	SRDH2_18730.1	SHAE2_20440.1
OG0002320	SRDH2_75700.1	SHAE2_78320.1, SHAE2_78320.3, SHAE2_78320.2
OG0002321	SRDH2_17310.1, SRDH2_17310.2	SHAE2_18980.1
OG0002322	SRDH2_21280.1	SHAE2_22420.1
OG0002323	SRDH2_64770.1	SHAE2_67320.1, SHAE2_67320.2
OG0002324	SRDH2_14380.8, SRDH2_14380.2, SRDH2_14380.7, SRDH2_14380.9, SRDH2_14380.3, SRDH2_14380.5, SRDH2_14380.1, SRDH2_14380.10, SRDH2_14380.4, SRDH2_14380.6	SHAE2_14210.1
OG0002325	SRDH2_13000.1	SHAE2_15650.1
OG0002326	SRDH2_93400.1	SHAE2_94750.1, SHAE2_94750.2, SHAE2_94750.3, SHAE2_94750.4
OG0002327	SRDH2_80030.1	SHAE2_82500.1
OG0002328	SRDH2_7680.1	SHAE2_8070.1, SHAE2_8070.2, SHAE2_8070.4, SHAE2_8070.6, SHAE2_8070.8, SHAE2_8070.3, SHAE2_8070.5, SHAE2_8070.7
OG0002329	SRDH2_1930.1, SRDH2_1930.4, SRDH2_1930.7, SRDH2_1930.2, SRDH2_1930.6, SRDH2_1930.8, SRDH2_1930.9, SRDH2_1930.12, SRDH2_1930.11, SRDH2_1930.3, SRDH2_1930.10, SRDH2_1930.5	SHAE2_2200.1
OG0002330	SRDH2_5970.1, SRDH2_5970.2, SRDH2_5970.3	SHAE2_6430.3
OG0002331	SRDH2_5640.1, SRDH2_5640.2	SHAE2_6080.3, SHAE2_6080.1, SHAE2_6080.2
OG0002332	SRDH2_14630.1	SHAE2_14460.1
OG0002333	SRDH2_52680.1, SRDH2_52680.5, SRDH2_52680.6, SRDH2_52680.2, SRDH2_52680.7, SRDH2_52680.3, SRDH2_52680.4, SRDH2_52680.8	SHAE2_56660.1
OG0002334	SRDH2_9180.3, SRDH2_9180.2, SRDH2_9180.1	SHAE2_10740.1, SHAE2_10740.3, SHAE2_10740.2, SHAE2_10740.4
OG0002335	SRDH2_17400.1, SRDH2_17400.2, SRDH2_17400.3, SRDH2_17400.4, SRDH2_17400.5, SRDH2_17400.6	SHAE2_19090.1, SHAE2_19090.2
OG0002336	SRDH2_58130.1	SHAE2_60180.1
OG0002337	SRDH2_99790.2, SRDH2_99790.1, SRDH2_99790.3	SHAE2_101980.1
OG0002338	SRDH2_9860.1	SHAE2_11530.1, SHAE2_11530.4, SHAE2_11530.5, SHAE2_11530.2, SHAE2_11530.3
OG0002339	SRDH2_92610.1, SRDH2_92620.3, SRDH2_92620.4, SRDH2_92620.2, SRDH2_101820.1, SRDH2_57600.1, SRDH2_57610.1, SRDH2_92620.1, SRDH2_92610.2	SHAE2_95510.1, SHAE2_95510.2, SHAE2_95510.3, SHAE2_95510.4
OG0002340	SRDH2_45990.1, SRDH2_45990.3, SRDH2_45990.4, SRDH2_45990.2, SRDH2_2820.1, SRDH2_2820.2, SRDH2_2820.3, SRDH2_2820.4, SRDH2_2820.5, SRDH2_2820.6	SHAE2_3100.4, SHAE2_3100.1, SHAE2_3100.3, SHAE2_3100.5, SHAE2_3100.2
OG0002341	SRDH2_91640.2, SRDH2_91640.3, SRDH2_91640.1	SHAE2_94130.1, SHAE2_94130.2
OG0002342	SRDH2_3610.1, SRDH2_3610.2, SRDH2_3610.3	SHAE2_4050.1
OG0002343	SRDH2_44090.1	SHAE2_46650.1
OG0002344	SRDH2_61900.1	SHAE2_64360.3, SHAE2_64360.1, SHAE2_64360.2
OG0002345	SRDH2_89710.1	SHAE2_92750.1, SHAE2_92750.2
OG0002346	SRDH2_25740.1, SRDH2_25740.2, SRDH2_25740.3	SHAE2_27650.1
OG0002347	SRDH2_20860.1	SHAE2_22880.1, SHAE2_22870.1
OG0002348	SRDH2_33700.1	SHAE2_39000.1, SHAE2_39000.2, SHAE2_39000.3
OG0002349	SRDH2_91690.2, SRDH2_91690.1, SRDH2_91690.3, SRDH2_91700.1	SHAE2_94220.2, SHAE2_94220.3, SHAE2_94220.1, SHAE2_94220.4
OG0002350	SRDH2_34110.1	SHAE2_39430.3, SHAE2_39430.4, SHAE2_39430.1, SHAE2_39430.2
OG0002351	SRDH2_52040.1	SHAE2_54300.1, SHAE2_54300.2
OG0002352	SRDH2_91210.2, SRDH2_91210.3, SRDH2_91210.4, SRDH2_91210.1	SHAE2_93720.1, SHAE2_93720.2, SHAE2_93720.3, SHAE2_93720.4
OG0002353	SRDH2_77020.1	SHAE2_79650.1
OG0002354	SRDH2_8480.1	SHAE2_10090.8, SHAE2_10090.1, SHAE2_10090.2, SHAE2_10090.7, SHAE2_10090.9, SHAE2_10090.4, SHAE2_10090.5, SHAE2_10090.6, SHAE2_10090.3
OG0002355	SRDH2_75350.1, SRDH2_75350.2	SHAE2_77950.1
OG0002356	SRDH2_65990.1	SHAE2_69730.6, SHAE2_69730.7, SHAE2_69730.8, SHAE2_69730.2, SHAE2_69730.3, SHAE2_69730.4, SHAE2_69730.5, SHAE2_69730.1, SHAE2_69730.10, SHAE2_69730.11, SHAE2_69730.9
OG0002357	SRDH2_28210.1	SHAE2_30060.1
OG0002358	SRDH2_18050.1	SHAE2_19790.3
OG0002358	SRDH2_18050.2, SRDH2_18050.4, SRDH2_18050.3, SRDH2_18050.5	SHAE2_19790.1, SHAE2_19790.2
OG0002359	SRDH2_13640.2	SHAE2_16080.1, SHAE2_16080.2, SHAE2_16080.3, SHAE2_16080.4
OG0002360	SRDH2_78150.2, SRDH2_78150.1, SRDH2_78150.3	SHAE2_80740.1
OG0002361	SRDH2_87490.1, SRDH2_87490.2, SRDH2_87490.3	SHAE2_90090.1, SHAE2_90090.2
OG0002362	SRDH2_67570.1	SHAE2_69470.1, SHAE2_69470.2, SHAE2_69470.3
OG0002363	SRDH2_70450.5, SRDH2_70450.2, SRDH2_70450.4, SRDH2_70450.6, SRDH2_70450.7, SRDH2_70450.3, SRDH2_70450.1	SHAE2_73180.2, SHAE2_73180.1, SHAE2_73180.4, SHAE2_73180.3
OG0002364	SRDH2_43420.1, SRDH2_43420.2, SRDH2_43420.3, SRDH2_43420.4	SHAE2_45940.1, SHAE2_45940.2, SHAE2_45940.3
OG0002365	SRDH2_4650.1, SRDH2_4650.6	SHAE2_5160.2, SHAE2_5160.6, SHAE2_5160.3, SHAE2_5160.5, SHAE2_5160.4, SHAE2_5160.1, SHAE2_5160.7
OG0002370	SRDH2_48770.1	SHAE2_51260.1
OG0002370	SRDH2_47250.1	SHAE2_49720.1
OG0002371	SRDH2_1770.1	SHAE2_2020.1, SHAE2_2020.2
OG0002372	SRDH2_65200.3, SRDH2_65200.2, SRDH2_65200.1, SRDH2_65200.4, SRDH2_65200.6, SRDH2_65200.7, SRDH2_65200.8, SRDH2_65200.9, SRDH2_65200.5	SHAE2_67750.1
OG0002373	SRDH2_78200.1	SHAE2_80790.1, SHAE2_80790.3, SHAE2_80790.4
OG0002374	SRDH2_5670.1	SHAE2_6110.1
OG0002375	SRDH2_98810.1	SHAE2_100900.2, SHAE2_100900.3, SHAE2_100900.5, SHAE2_100900.6, SHAE2_100900.4, SHAE2_100900.1
OG0002377	SRDH2_30120.1, SRDH2_30150.1	SHAE2_32050.1, SHAE2_32020.1
OG0002378	SRDH2_40060.1	SHAE2_42830.1, SHAE2_42840.1
OG0002379	SRDH2_43110.1	SHAE2_45650.1
OG0002380	SRDH2_23220.1	SHAE2_23620.1
OG0002381	SRDH2_54590.1, SRDH2_54590.2	SHAE2_56880.1, SHAE2_56880.2
OG0002382	SRDH2_10230.2, SRDH2_10230.4, SRDH2_10230.6, SRDH2_10230.1, SRDH2_10230.3, SRDH2_10230.5	SHAE2_11770.1
OG0002383	SRDH2_53740.1	SHAE2_55540.1, SHAE2_55540.2, SHAE2_55540.3
OG0002384	SRDH2_84250.1	SHAE2_86380.2, SHAE2_86380.1, SHAE2_86380.3
OG0002385	SRDH2_29180.1	SHAE2_31080.1
OG0002386	SRDH2_35060.2, SRDH2_35060.3, SRDH2_35060.1, SRDH2_35060.4	SHAE2_36050.1, SHAE2_36030.4, SHAE2_36030.3, SHAE2_36030.1, SHAE2_36030.2
OG0002387	SRDH2_79190.1, SRDH2_79190.2, SRDH2_79200.1	SHAE2_81710.1, SHAE2_81710.2
OG0002388	SRDH2_10990.1	SHAE2_12600.4, SHAE2_12600.2, SHAE2_12600.5, SHAE2_12600.6, SHAE2_12600.1, SHAE2_12600.3
OG0002389	SRDH2_91340.1	SHAE2_93870.5, SHAE2_93870.10, SHAE2_93870.6, SHAE2_93870.8, SHAE2_93870.2, SHAE2_93870.1, SHAE2_93870.9, SHAE2_93870.7, SHAE2_93870.3, SHAE2_93870.4
OG0002390	SRDH2_16940.2, SRDH2_16940.1, SRDH2_16940.4, SRDH2_16940.3	SHAE2_18510.2, SHAE2_18510.1, SHAE2_18510.3
OG0002391	SRDH2_19190.2, SRDH2_19190.1, SRDH2_19190.3, SRDH2_19190.4	SHAE2_20940.1
OG0002392	SRDH2_91880.8, SRDH2_91880.9, SRDH2_91880.1, SRDH2_91880.2, SRDH2_91880.3, SRDH2_91880.4, SRDH2_91880.5, SRDH2_91880.6, SRDH2_91880.7	SHAE2_96340.1
OG0002393	SRDH2_61020.1, SRDH2_61020.2, SRDH2_61020.3, SRDH2_61020.4	SHAE2_63390.2, SHAE2_63390.3, SHAE2_63390.1
OG0002394	SRDH2_31470.1	SHAE2_33440.1, SHAE2_33440.2, SHAE2_33440.4, SHAE2_33440.5, SHAE2_33440.3, SHAE2_33440.7, SHAE2_33440.6
OG0002395	SRDH2_85740.1	SHAE2_88770.1, SHAE2_88770.2
OG0002396	SRDH2_34780.1, SRDH2_34780.2, SRDH2_34780.4, SRDH2_34780.3, SRDH2_34780.5	SHAE2_35100.1
OG0002397	SRDH2_80740.1, SRDH2_80740.2	SHAE2_83260.1, SHAE2_83260.2, SHAE2_83260.3, SHAE2_83260.4
OG0002398	SRDH2_5390.8, SRDH2_5390.7, SRDH2_5390.3, SRDH2_5390.4, SRDH2_5390.1, SRDH2_5390.2, SRDH2_5390.5, SRDH2_5390.6	SHAE2_5850.3, SHAE2_5850.4, SHAE2_5850.5, SHAE2_5850.6, SHAE2_5850.2, SHAE2_5850.1
OG0002399	SRDH2_41120.2, SRDH2_41120.1	SHAE2_43780.2, SHAE2_43780.1
OG0002400	SRDH2_3160.1	SHAE2_3560.2, SHAE2_3560.1, SHAE2_3560.3
OG0002401	SRDH2_99570.1, SRDH2_99570.3, SRDH2_99570.2, SRDH2_99570.4	SHAE2_101570.1
OG0002402	SRDH2_22890.1, SRDH2_22890.2	SHAE2_21840.3, SHAE2_21840.1, SHAE2_21840.2, SHAE2_21830.1, SHAE2_21830.2
OG0002403	SRDH2_24570.1, SRDH2_24570.2	SHAE2_103280.1, SHAE2_103280.2, SHAE2_103280.3, SHAE2_103280.4
OG0002404	SRDH2_63560.2, SRDH2_63560.1, SRDH2_63560.3, SRDH2_63560.4	SHAE2_66090.1
OG0002405	SRDH2_1900.5, SRDH2_1900.2, SRDH2_1900.3, SRDH2_1900.1, SRDH2_1900.4	SHAE2_2140.2, SHAE2_2140.1
OG0002406	SRDH2_8810.4, SRDH2_8810.1, SRDH2_8810.2, SRDH2_8810.3	SHAE2_10390.3, SHAE2_10390.5, SHAE2_10390.2, SHAE2_10390.4, SHAE2_10390.1
OG0002407	SRDH2_8300.1	SHAE2_9960.1
OG0002408	SRDH2_75590.1, SRDH2_75590.2, SRDH2_75590.3, SRDH2_75590.4	SHAE2_78200.3, SHAE2_78200.4, SHAE2_78200.2, SHAE2_78200.1
OG0002409	SRDH2_86980.1	SHAE2_89830.3, SHAE2_89830.1, SHAE2_89830.2
OG0002410	SRDH2_33070.1	SHAE2_38330.1, SHAE2_38330.4
OG0002411	SRDH2_91580.2, SRDH2_91580.3, SRDH2_91580.1	SHAE2_94060.1
OG0002412	SRDH2_30020.1	SHAE2_31760.1
OG0002413	SRDH2_90170.1, SRDH2_90170.2, SRDH2_90170.3, SRDH2_90170.4, SRDH2_90170.5, SRDH2_90170.6, SRDH2_90170.7, SRDH2_90170.8	SHAE2_92500.1
OG0002415	SRDH2_21040.1, SRDH2_21040.2, SRDH2_21040.3, SRDH2_21040.4	SHAE2_22670.1, SHAE2_22670.2, SHAE2_22670.3, SHAE2_22670.4
OG0002416	SRDH2_41070.5, SRDH2_41070.1, SRDH2_41070.2, SRDH2_41070.3, SRDH2_41070.4	SHAE2_43730.4, SHAE2_43730.3, SHAE2_43730.1, SHAE2_43730.2, SHAE2_43730.5
OG0002417	SRDH2_16740.1, SRDH2_16740.2, SRDH2_16740.3, SRDH2_16740.4	SHAE2_18300.5, SHAE2_18300.6, SHAE2_18300.1, SHAE2_18300.2, SHAE2_18300.3, SHAE2_18300.4
OG0002418	SRDH2_34930.5, SRDH2_34930.2, SRDH2_34930.4, SRDH2_34930.1, SRDH2_34930.3	SHAE2_35870.1
OG0002419	SRDH2_29060.1	SHAE2_30950.2, SHAE2_30950.1, SHAE2_30950.3, SHAE2_30950.4, SHAE2_30950.5
OG0002420	SRDH2_35100.1	SHAE2_36080.1
OG0002420	SRDH2_35100.2	SHAE2_36080.1
OG0002420	SRDH2_35100.3	SHAE2_36080.1
OG0002420	SRDH2_35100.4	SHAE2_36080.1
OG0002420	SRDH2_35100.5	SHAE2_36080.1
OG0002420	SRDH2_35100.6	SHAE2_36080.1
OG0002420	SRDH2_35100.7	SHAE2_36080.1
OG0002420	SRDH2_35100.9	SHAE2_36080.1
OG0002421	SRDH2_73910.1	SHAE2_76100.1, SHAE2_76100.2, SHAE2_76100.5, SHAE2_76100.4, SHAE2_76100.3
OG0002422	SRDH2_32400.1	SHAE2_37600.1, SHAE2_37600.2
OG0002423	SRDH2_72450.1, SRDH2_72450.3, SRDH2_72450.2, SRDH2_72450.4	SHAE2_75000.2, SHAE2_75000.3, SHAE2_75000.1
OG0002424	SRDH2_57230.1	SHAE2_59480.3, SHAE2_59480.4, SHAE2_59480.1, SHAE2_59480.2
OG0002425	SRDH2_32170.5, SRDH2_32170.6, SRDH2_32170.7, SRDH2_32170.3, SRDH2_32170.8, SRDH2_32170.1, SRDH2_32170.2, SRDH2_32170.4	SHAE2_37360.1, SHAE2_37360.2
OG0002426	SRDH2_38030.1	SHAE2_39850.1, SHAE2_39850.2
OG0002427	SRDH2_8800.1, SRDH2_8790.1	SHAE2_10380.1
OG0002428	SRDH2_14520.4, SRDH2_14520.2, SRDH2_14520.3, SRDH2_14520.1	SHAE2_14350.1
OG0002429	SRDH2_40120.1	SHAE2_42890.1, SHAE2_42890.2
OG0002430	SRDH2_76290.1, SRDH2_76290.5, SRDH2_76290.3, SRDH2_76290.4, SRDH2_76290.6, SRDH2_76290.2	SHAE2_78980.1
OG0002431	SRDH2_34250.1, SRDH2_34250.2, SRDH2_34250.3, SRDH2_34250.9, SRDH2_34250.10, SRDH2_34250.11, SRDH2_34250.4, SRDH2_34250.5, SRDH2_34250.6, SRDH2_34250.7, SRDH2_34250.8	SHAE2_39590.3, SHAE2_39590.1, SHAE2_39590.2
OG0002432	SRDH2_62320.1	SHAE2_64810.1
OG0002433	SRDH2_19840.1	SHAE2_21580.1
OG0002434	SRDH2_32460.1	SHAE2_37680.1
OG0002435	SRDH2_29120.1, SRDH2_29120.4, SRDH2_29120.5, SRDH2_29120.2, SRDH2_29120.3	SHAE2_31010.1, SHAE2_31010.2
OG0002436	SRDH2_22530.1	SHAE2_24290.3, SHAE2_24290.4, SHAE2_24290.2, SHAE2_24290.1
OG0002437	SRDH2_53360.1, SRDH2_53360.4, SRDH2_53360.3, SRDH2_53360.2, SRDH2_53360.5	SHAE2_55940.1, SHAE2_55940.4, SHAE2_55940.3, SHAE2_55940.5, SHAE2_55940.2
OG0002438	SRDH2_35370.1	SHAE2_36320.4, SHAE2_36320.5, SHAE2_36320.1, SHAE2_36320.2, SHAE2_36320.3
OG0002439	SRDH2_53230.1, SRDH2_53230.4, SRDH2_53230.2, SRDH2_53230.3	SHAE2_56090.1
OG0002440	SRDH2_71060.5, SRDH2_71060.1, SRDH2_71060.2, SRDH2_71060.3, SRDH2_71060.6, SRDH2_71060.7, SRDH2_71060.8, SRDH2_71060.4	SHAE2_73490.6, SHAE2_73490.1, SHAE2_73490.3, SHAE2_73490.4, SHAE2_73490.5, SHAE2_73490.2
OG0002441	SRDH2_49840.1, SRDH2_49840.3	SHAE2_52310.1, SHAE2_52310.2
OG0002442	SRDH2_42880.1	SHAE2_45430.1, SHAE2_45430.2, SHAE2_45430.3
OG0002443	SRDH2_45800.1	SHAE2_48510.1
OG0002444	SRDH2_58740.1	SHAE2_61230.1
OG0002445	SRDH2_71040.2, SRDH2_71040.4, SRDH2_71040.3, SRDH2_71040.1	SHAE2_73510.1, SHAE2_73510.3, SHAE2_73510.4, SHAE2_73510.2
OG0002446	SRDH2_64080.1	SHAE2_66660.1, SHAE2_66660.3, SHAE2_66660.2
OG0002447	SRDH2_7600.3, SRDH2_7600.1, SRDH2_7600.2, SRDH2_7600.4, SRDH2_7600.5, SRDH2_7600.6	SHAE2_8020.1
OG0002448	SRDH2_36330.5, SRDH2_36330.7, SRDH2_36330.2, SRDH2_36330.3, SRDH2_36330.4, SRDH2_36330.6, SRDH2_36330.1	SHAE2_34550.1, SHAE2_34550.4, SHAE2_34550.2, SHAE2_34550.3
OG0002449	SRDH2_18750.1	SHAE2_20460.1
OG0002450	SRDH2_67540.1, SRDH2_67540.2	SHAE2_69450.3, SHAE2_69450.2, SHAE2_69450.1, SHAE2_69450.4
OG0002451	SRDH2_73890.5, SRDH2_73890.4, SRDH2_73890.3, SRDH2_73890.1, SRDH2_73890.2	SHAE2_76130.1, SHAE2_76130.4, SHAE2_76130.5, SHAE2_76130.2, SHAE2_76130.3
OG0002452	SRDH2_8170.1, SRDH2_8170.2	SHAE2_8500.1, SHAE2_8500.2, SHAE2_8500.3
OG0002453	SRDH2_47930.1	SHAE2_79220.1, SHAE2_50410.2, SHAE2_50410.5, SHAE2_50410.4, SHAE2_50410.1, SHAE2_50410.3
OG0002454	SRDH2_69050.6, SRDH2_69050.1, SRDH2_69050.2, SRDH2_69050.3, SRDH2_69050.4, SRDH2_69050.5, SRDH2_69050.7	SHAE2_71390.1
OG0002455	SRDH2_66460.6, SRDH2_66460.7, SRDH2_66460.1, SRDH2_66460.3, SRDH2_66460.4, SRDH2_66460.2, SRDH2_66460.5	SHAE2_70200.4, SHAE2_70200.2, SHAE2_70200.3, SHAE2_70200.5, SHAE2_70200.1, SHAE2_70200.6
OG0002456	SRDH2_34760.1	SHAE2_35080.1
OG0002457	SRDH2_74860.1	SHAE2_75270.1
OG0002458	SRDH2_87220.1, SRDH2_87120.1, SRDH2_87300.1, SRDH2_87310.1, SRDH2_87070.1, SRDH2_87280.1, SRDH2_87050.1, SRDH2_87230.1, SRDH2_87260.1, SRDH2_87160.1, SRDH2_87060.1, SRDH2_87180.1, SRDH2_87360.1	SHAE2_89850.1, SHAE2_89850.2
OG0002459	SRDH2_32670.1, SRDH2_31990.1, SRDH2_31990.2	SHAE2_41060.1, SHAE2_41060.2, SHAE2_41060.3, SHAE2_41060.4
OG0002460	SRDH2_8520.1	SHAE2_10130.1, SHAE2_10130.2, SHAE2_10130.7, SHAE2_10130.5, SHAE2_10130.4, SHAE2_10130.3, SHAE2_10130.6
OG0002461	SRDH2_9720.1, SRDH2_9690.1	SHAE2_11270.1
OG0002462	SRDH2_67870.4, SRDH2_67870.1, SRDH2_67870.2, SRDH2_67870.3	SHAE2_68450.2, SHAE2_68450.3, SHAE2_68450.1
OG0002463	SRDH2_85790.1, SRDH2_85790.2	SHAE2_88930.1, SHAE2_88930.2
OG0002464	SRDH2_28470.1	SHAE2_30340.1, SHAE2_30340.2
OG0002465	SRDH2_85170.1	SHAE2_87340.1, SHAE2_87340.2, SHAE2_87340.3
OG0002466	SRDH2_97270.1	SHAE2_99290.6, SHAE2_99290.7, SHAE2_99290.3, SHAE2_99290.4, SHAE2_99290.5, SHAE2_99290.1, SHAE2_99290.2
OG0002467	SRDH2_51520.1, SRDH2_51520.2	SHAE2_53780.1, SHAE2_53780.2
OG0002468	SRDH2_77690.1, SRDH2_77690.2, SRDH2_77690.3, SRDH2_77690.4, SRDH2_77690.5	SHAE2_80360.1
OG0002469	SRDH2_4510.1, SRDH2_4510.3, SRDH2_4510.4, SRDH2_4510.2	SHAE2_4980.1, SHAE2_4980.2
OG0002470	SRDH2_81110.1, SRDH2_81110.3, SRDH2_81110.2	SHAE2_83590.2, SHAE2_83590.3, SHAE2_83590.1
OG0002471	SRDH2_76720.1	SHAE2_79410.1, SHAE2_79410.2, SHAE2_79410.3
OG0002472	SRDH2_34410.1, SRDH2_34410.2, SRDH2_34410.3, SRDH2_34410.4	SHAE2_39730.1, SHAE2_39730.3, SHAE2_39730.2
OG0002473	SRDH2_10080.4, SRDH2_10080.5, SRDH2_10080.6, SRDH2_10080.1, SRDH2_10080.2, SRDH2_10080.3, SRDH2_10080.7	SHAE2_11640.3, SHAE2_11640.4, SHAE2_11640.5, SHAE2_11640.1, SHAE2_11640.2
OG0002475	SRDH2_19220.1	SHAE2_20980.1
OG0002476	SRDH2_31270.1, SRDH2_31270.2, SRDH2_31270.3, SRDH2_31270.4, SRDH2_31270.5, SRDH2_31270.6, SRDH2_31270.7	SHAE2_33210.5, SHAE2_33210.6, SHAE2_33210.7, SHAE2_33210.4, SHAE2_33210.1, SHAE2_33210.3, SHAE2_33210.2
OG0002477	SRDH2_78380.6, SRDH2_78380.2, SRDH2_78380.5, SRDH2_78380.3, SRDH2_78380.4, SRDH2_78380.7, SRDH2_78380.8, SRDH2_78380.1	SHAE2_80940.1, SHAE2_80940.4, SHAE2_80940.3, SHAE2_80940.2
OG0002478	SRDH2_52240.1	SHAE2_54510.1, SHAE2_54510.2
OG0002479	SRDH2_64970.1	SHAE2_67550.1
OG0002480	SRDH2_28300.3, SRDH2_28300.10, SRDH2_28300.2, SRDH2_28300.4, SRDH2_28300.5, SRDH2_28300.6, SRDH2_28300.7, SRDH2_28300.8, SRDH2_28300.9, SRDH2_28300.1	SHAE2_30140.1
OG0002481	SRDH2_6130.1, SRDH2_6130.3, SRDH2_6130.2	SHAE2_6570.1
OG0002482	SRDH2_63290.1	SHAE2_65820.1
OG0002483	SRDH2_20700.1, SRDH2_20700.6, SRDH2_20700.7, SRDH2_20700.2, SRDH2_20700.3, SRDH2_20700.4, SRDH2_20700.5	SHAE2_23020.1
OG0002484	SRDH2_24150.1, SRDH2_24150.2	SHAE2_26170.1
OG0002485	SRDH2_38240.1	SHAE2_37050.1
OG0002486	SRDH2_24240.1	SHAE2_26290.2
OG0002487	SRDH2_82040.1	SHAE2_84370.1, SHAE2_84370.3, SHAE2_84370.2, SHAE2_84370.4, SHAE2_84370.5, SHAE2_84370.6, SHAE2_84370.8, SHAE2_84370.7
OG0002488	SRDH2_55830.1	SHAE2_58020.1, SHAE2_58020.2
OG0002489	SRDH2_27720.1, SRDH2_27720.2	SHAE2_29590.1
OG0002490	SRDH2_76060.1	SHAE2_78690.1, SHAE2_78690.2, SHAE2_78690.3, SHAE2_78690.4, SHAE2_78690.5, SHAE2_78690.6
OG0002491	SRDH2_96300.4, SRDH2_96300.1, SRDH2_96300.3, SRDH2_96300.5, SRDH2_96300.2	SHAE2_98320.2, SHAE2_98320.1
OG0002492	SRDH2_76710.1	SHAE2_79400.3, SHAE2_79400.4, SHAE2_79400.1, SHAE2_79400.2
OG0002493	SRDH2_65310.2, SRDH2_65310.6, SRDH2_65310.1, SRDH2_65310.3, SRDH2_65310.4, SRDH2_65310.8, SRDH2_65310.7, SRDH2_65310.9, SRDH2_65310.5	SHAE2_67880.2, SHAE2_67880.5, SHAE2_67880.3, SHAE2_67880.1, SHAE2_67880.4
OG0002494	SRDH2_1680.1	SHAE2_1930.4, SHAE2_1930.1, SHAE2_1930.3, SHAE2_1930.2
OG0002496	SRDH2_43150.1	SHAE2_45680.1
OG0002497	SRDH2_46470.3, SRDH2_46470.2, SRDH2_46470.5, SRDH2_46470.4, SRDH2_46470.1, SRDH2_46470.6	SHAE2_49260.1
OG0002498	SRDH2_880.1	SHAE2_1210.1, SHAE2_1210.3, SHAE2_1210.2
OG0002499	SRDH2_50350.1	SHAE2_52790.1
OG0002500	SRDH2_230.1, SRDH2_230.2, SRDH2_230.3, SRDH2_230.4	SHAE2_190.1, SHAE2_190.2, SHAE2_190.3
OG0002501	SRDH2_10000.1	SHAE2_11590.3, SHAE2_11590.4, SHAE2_11590.5, SHAE2_11590.6, SHAE2_11590.7, SHAE2_11590.9, SHAE2_11590.1, SHAE2_11590.8, SHAE2_11590.2
OG0002502	SRDH2_57120.1	SHAE2_59590.3, SHAE2_59590.1, SHAE2_59590.2, SHAE2_59590.4, SHAE2_59590.5
OG0002503	SRDH2_85780.1, SRDH2_85780.2	SHAE2_88920.1
OG0002505	SRDH2_52550.1, SRDH2_52550.2	SHAE2_54850.1
OG0002506	SRDH2_38290.1, SRDH2_38290.2	SHAE2_37130.3, SHAE2_37130.5, SHAE2_37130.1, SHAE2_37130.4, SHAE2_37130.6, SHAE2_37130.7, SHAE2_37130.8, SHAE2_37130.2
OG0002507	SRDH2_85000.1	SHAE2_87180.1, SHAE2_87180.2
OG0002508	SRDH2_65700.1, SRDH2_65700.2, SRDH2_65700.3, SRDH2_65700.4	SHAE2_68260.4, SHAE2_68260.1, SHAE2_68260.2, SHAE2_68260.3
OG0002509	SRDH2_9500.1, SRDH2_9500.2	SHAE2_11110.1, SHAE2_11110.2
OG0002510	SRDH2_59090.1, SRDH2_59020.1, SRDH2_59030.1	SHAE2_61510.1
OG0002511	SRDH2_73330.1, SRDH2_73330.2, SRDH2_73330.3, SRDH2_73330.4	SHAE2_76670.4, SHAE2_76670.5, SHAE2_76670.1, SHAE2_76670.2, SHAE2_76670.3
OG0002512	SRDH2_64460.1	SHAE2_67060.1
OG0002513	SRDH2_51580.2, SRDH2_51580.3, SRDH2_51580.1	SHAE2_53830.2, SHAE2_53830.1
OG0002514	SRDH2_16460.1	SHAE2_17970.2, SHAE2_17970.4, SHAE2_17970.3, SHAE2_17970.1
OG0002515	SRDH2_42160.3, SRDH2_42160.4, SRDH2_42160.2, SRDH2_42160.1	SHAE2_44720.3, SHAE2_44720.1, SHAE2_44720.2
OG0002516	SRDH2_78590.1	SHAE2_81110.1
OG0002517	SRDH2_76270.1, SRDH2_76270.5, SRDH2_76270.2, SRDH2_76270.3, SRDH2_76270.4	SHAE2_78960.1
OG0002518	SRDH2_42970.1	SHAE2_45530.2, SHAE2_45530.3, SHAE2_45530.1, SHAE2_45530.4
