Orthogroup	schistosoma_intercalatum	schmidtea_mediterranea
OG0002681	SINT1_27440.1, SINT1_27440.2	h1SMcT0000524.1, h1SMcT0000524.2
OG0002682	SINT1_21490.1	h1SMcT0003192.1, h1SMcT0003191.1, h1SMcT0001398.1, h1SMcT0001885.1, h1SMcT0021316.1
OG0002683	SINT1_92830.1	h1SMcT0006071.1
OG0002685	SINT1_16020.1, SINT1_16030.1	h1SMcT0000568.1
OG0002686	SINT1_53750.1, SINT1_53750.3, SINT1_53750.4, SINT1_53750.2, SINT1_53750.5	h1SMcT0007823.1
OG0002687	SINT1_29310.1, SINT1_29310.2	h1SMcT0014747.2, h1SMcT0014747.3, h1SMcT0014747.1, h1SMcT0014747.4
OG0002688	SINT1_25900.1, SINT1_25900.2	h1SMcT0018029.4, h1SMcT0018029.5, h1SMcT0018029.7, h1SMcT0018029.6, h1SMcT0018029.1, h1SMcT0018029.2, h1SMcT0018029.3
OG0002689	SINT1_25950.1	h1SMcT0020029.1, h1SMcT0011360.1, h1SMcT0011373.1, h1SMcT0011373.2
OG0002690	SINT1_40880.3, SINT1_40880.1, SINT1_40880.2	h1SMcT0010698.1, h1SMcT0018654.1, h1SMcT0006959.3, h1SMcT0006959.1, h1SMcT0006959.2
OG0002691	SINT1_82160.1	h1SMcT0022592.1
OG0002692	SINT1_13430.1	h1SMcT0020628.1, h1SMcT0020628.2
OG0002693	SINT1_48150.1, SINT1_48130.1	h1SMcT0013748.1
OG0002695	SINT1_2930.1	h1SMcT0008125.2, h1SMcT0008125.4, h1SMcT0008125.3, h1SMcT0008125.1
OG0002695	SINT1_2920.1	h1SMcT0022574.1, h1SMcT0022574.2
OG0002697	SINT1_10990.1	h1SMcT0016469.1, h1SMcT0016469.2
OG0002698	SINT1_2300.1, SINT1_2300.2, SINT1_2300.3	h1SMcT0018533.1, h1SMcT0018533.2, h1SMcT0018533.3
OG0002700	SINT1_94820.1, SINT1_94820.2	h1SMcT0012327.1, h1SMcT0012327.2
OG0002708	SINT1_31410.1, SINT1_31410.2	h1SMcT0010585.2
OG0002709	SINT1_8130.1	h1SMcT0014206.1, h1SMcT0014207.1
OG0002711	SINT1_89060.3, SINT1_89060.6, SINT1_89060.1, SINT1_89060.2, SINT1_89060.4, SINT1_89060.5	h1SMcT0022126.1
OG0002712	SINT1_16000.1, SINT1_16000.2, SINT1_16000.3	h1SMcT0001865.1, h1SMcT0016475.3, h1SMcT0016474.4, h1SMcT0016475.2
OG0002713	SINT1_47740.1	h1SMcT0012298.4, h1SMcT0012298.3, h1SMcT0012298.1, h1SMcT0012298.2
OG0002715	SINT1_60300.5, SINT1_60300.6, SINT1_60300.3, SINT1_60300.4, SINT1_60300.1, SINT1_60300.2	h1SMcT0018555.1
OG0002717	SINT1_87850.3, SINT1_87850.1, SINT1_87850.2	h1SMcT0001489.1, h1SMcT0001487.1, h1SMcT0001487.3, h1SMcT0001487.2
OG0002718	SINT1_66060.1, SINT1_66060.2	h1SMcT0016815.3, h1SMcT0016815.5, h1SMcT0016815.4, h1SMcT0016815.1, h1SMcT0016815.2
OG0002719	SINT1_5720.1	h1SMcT0003025.1, h1SMcT0010149.1, h1SMcT0019874.1
OG0002720	SINT1_5160.3, SINT1_5160.2, SINT1_5160.1	h1SMcT0002372.1
OG0002721	SINT1_93430.1	h1SMcT0022586.1, h1SMcT0022586.2
OG0002723	SINT1_79810.1	h1SMcT0018284.1, h1SMcT0001098.1, h1SMcT0020557.1, h1SMcT0020557.2
OG0002724	SINT1_80620.1	h1SMcT0014129.1
OG0002725	SINT1_4320.1	h1SMcT0006290.1, h1SMcT0006290.2
OG0002726	SINT1_30970.1, SINT1_30970.2, SINT1_30970.3	h1SMcT0013409.1
OG0002727	SINT1_72790.1, SINT1_72790.2	h1SMcT0017844.2, h1SMcT0017844.3, h1SMcT0017844.5, h1SMcT0017844.7, h1SMcT0017844.1, h1SMcT0017844.6, h1SMcT0017844.4
OG0002730	SINT1_79600.1, SINT1_79600.2	h1SMcT0018069.1, h1SMcT0018069.2, h1SMcT0018069.3
OG0002731	SINT1_46300.1	h1SMcT0021544.1, h1SMcT0022908.1
OG0002732	SINT1_66690.1	h1SMcT0012543.1, h1SMcT0012543.4, h1SMcT0012543.2, h1SMcT0012543.3, h1SMcT0012543.5
OG0002734	SINT1_42270.1	h1SMcT0000891.1, h1SMcT0008266.2, h1SMcT0008266.4, h1SMcT0008266.3, h1SMcT0008266.1
OG0002735	SINT1_31070.1	h1SMcT0010016.1, h1SMcT0010016.2, h1SMcT0010016.3
OG0002736	SINT1_24440.1, SINT1_24440.2	h1SMcT0013012.1
OG0002738	SINT1_38340.1	h1SMcT0016321.1, h1SMcT0016321.2, h1SMcT0016120.1, h1SMcT0016288.1, h1SMcT0016287.1, h1SMcT0016295.1, h1SMcT0001969.1, h1SMcT0011328.1
OG0002739	SINT1_12880.1	h1SMcT0019941.1
OG0002740	SINT1_39580.1	h1SMcT0018883.1
OG0002741	SINT1_17620.1	h1SMcT0021447.1, h1SMcT0021447.2, h1SMcT0004667.2, h1SMcT0004667.1, h1SMcT0004667.3
OG0002742	SINT1_70650.1, SINT1_70650.3, SINT1_70650.2, SINT1_70650.4	h1SMcT0014277.1
OG0002743	SINT1_41890.1	h1SMcT0007441.1, h1SMcT0021805.1, h1SMcT0021805.2, h1SMcT0021805.3, h1SMcT0008290.1, h1SMcT0006348.1, h1SMcT0005956.1, h1SMcT0005956.2
OG0002744	SINT1_57540.1, SINT1_57540.3, SINT1_57540.2	h1SMcT0014974.1, h1SMcT0014974.3, h1SMcT0014974.4, h1SMcT0014974.6, h1SMcT0014974.2, h1SMcT0014974.5
OG0002745	SINT1_90720.1, SINT1_90720.2, SINT1_90720.3	h1SMcT0021005.1, h1SMcT0021005.2
OG0002747	SINT1_25810.1	h1SMcT0022327.1
OG0002748	SINT1_35260.1	h1SMcT0016516.2, h1SMcT0016516.6, h1SMcT0016516.4, h1SMcT0016516.1, h1SMcT0016516.5, h1SMcT0016516.3, h1SMcT0003223.1, h1SMcT0003223.2
OG0002749	SINT1_47680.1	h1SMcT0018110.1, h1SMcT0018110.4, h1SMcT0018110.2, h1SMcT0018110.3
OG0002750	SINT1_47030.1	h1SMcT0022983.2, h1SMcT0022983.3, h1SMcT0022983.5, h1SMcT0001790.1, h1SMcT0001790.3, h1SMcT0022983.4, h1SMcT0001790.4, h1SMcT0001790.2, h1SMcT0022983.6, h1SMcT0022983.1
OG0002752	SINT1_69470.1	h1SMcT0015526.2, h1SMcT0015526.1, h1SMcT0015526.3
OG0002753	SINT1_84040.1, SINT1_84040.2	h1SMcT0003328.1, h1SMcT0003328.2, h1SMcT0003328.3
OG0002754	SINT1_15820.1, SINT1_15820.2	h1SMcT0000748.1, h1SMcT0023038.1
OG0002755	SINT1_3760.2, SINT1_3760.3, SINT1_3760.1	h1SMcT0006094.1, h1SMcT0006100.1
OG0002756	SINT1_57790.1	h1SMcT0003135.1, h1SMcT0003135.2, h1SMcT0023066.1, h1SMcT0000588.6, h1SMcT0000588.2, h1SMcT0000588.4, h1SMcT0000588.5
OG0002758	SINT1_5380.1	h1SMcT0008309.1
OG0002759	SINT1_28290.1	h1SMcT0019699.1, h1SMcT0019699.2
OG0002761	SINT1_6300.1	h1SMcT0005922.1
OG0002762	SINT1_94070.1	h1SMcT0017886.1
OG0002763	SINT1_77430.1	h1SMcT0014019.1, h1SMcT0014019.2, h1SMcT0014019.3
OG0002765	SINT1_68320.1, SINT1_68310.1	h1SMcT0007684.1, h1SMcT0007684.2
OG0002766	SINT1_72100.1, SINT1_72100.2	h1SMcT0020057.1
OG0002767	SINT1_49370.1	h1SMcT0003718.1, h1SMcT0003718.7, h1SMcT0003718.4, h1SMcT0003718.3, h1SMcT0003718.6, h1SMcT0003718.2, h1SMcT0003718.5
OG0002768	SINT1_2110.1, SINT1_2110.2	h1SMcT0009763.1, h1SMcT0009763.2, h1SMcT0009763.3
OG0002770	SINT1_18120.1	h1SMcT0014243.1, h1SMcT0014243.2
OG0002773	SINT1_16160.1	h1SMcT0012073.1, h1SMcT0012073.2, h1SMcT0016018.1, h1SMcT0016018.4, h1SMcT0016018.2, h1SMcT0016018.3
OG0002774	SINT1_2650.1	h1SMcT0018682.1
OG0002775	SINT1_34130.1, SINT1_34130.2, SINT1_34150.1, SINT1_34150.2	h1SMcT0010432.1, h1SMcT0010432.2
OG0002777	SINT1_74970.1	h1SMcT0014472.2, h1SMcT0014472.1, h1SMcT0014472.4, h1SMcT0014472.3
OG0002778	SINT1_93930.2, SINT1_93930.1	h1SMcT0007488.1
OG0002779	SINT1_33360.1	h1SMcT0022636.1, h1SMcT0022636.2
OG0002780	SINT1_47160.1	h1SMcT0000474.2, h1SMcT0000474.4, h1SMcT0001764.1, h1SMcT0004130.1, h1SMcT0010964.1
OG0002782	SINT1_77800.1	h1SMcT0022604.1
OG0002783	SINT1_54110.1	h1SMcT0008003.1
OG0002784	SINT1_26320.1, SINT1_26320.2	h1SMcT0008178.1, h1SMcT0008178.2
OG0002786	SINT1_13400.1	h1SMcT0010646.1, h1SMcT0010646.2
OG0002787	SINT1_7220.1, SINT1_7220.2, SINT1_7220.3	h1SMcT0001295.1, h1SMcT0014123.1
OG0002788	SINT1_10900.3, SINT1_10900.4, SINT1_10900.1, SINT1_10900.2	h1SMcT0014807.3, h1SMcT0014807.1, h1SMcT0014807.2
OG0002789	SINT1_18960.1, SINT1_18960.2, SINT1_18960.3, SINT1_18960.4, SINT1_18960.5, SINT1_18960.6, SINT1_18960.7	h1SMcT0013724.1
OG0002790	SINT1_75280.1, SINT1_75280.2	h1SMcT0010488.1, h1SMcT0010488.2
OG0002792	SINT1_55580.1	h1SMcT0001032.3, h1SMcT0001032.1, h1SMcT0001032.2, h1SMcT0001032.4, h1SMcT0001032.5
OG0002794	SINT1_92110.1, SINT1_92110.3, SINT1_92110.2, SINT1_92110.4	h1SMcT0019472.1, h1SMcT0019472.2
OG0002795	SINT1_26580.1	h1SMcT0021429.1, h1SMcT0021429.2
OG0002796	SINT1_12600.1	h1SMcT0009699.1
OG0002798	SINT1_73260.1, SINT1_73260.2, SINT1_73260.3	h1SMcT0022302.2, h1SMcT0022302.1, h1SMcT0022302.3
OG0002800	SINT1_78470.1	h1SMcT0017204.1, h1SMcT0017204.2
OG0002801	SINT1_4900.1, SINT1_4900.2	h1SMcT0004739.1
OG0002802	SINT1_89310.1, SINT1_89310.2, SINT1_89310.3	h1SMcT0013333.1, h1SMcT0013333.2
OG0002803	SINT1_26860.1, SINT1_26860.2	h1SMcT0003358.1
OG0002804	SINT1_39280.1, SINT1_39280.2	h1SMcT0016072.1, h1SMcT0016072.2
OG0002805	SINT1_55860.1, SINT1_55860.2	h1SMcT0021082.1
OG0002806	SINT1_70090.1	h1SMcT0004369.1, h1SMcT0004369.2
OG0002807	SINT1_20630.2, SINT1_20630.3, SINT1_20630.1	h1SMcT0020425.3, h1SMcT0020425.1, h1SMcT0020425.2
OG0002808	SINT1_61750.1, SINT1_61750.2	h1SMcT0003897.1
OG0002809	SINT1_80430.1, SINT1_80430.2	h1SMcT0003694.1, h1SMcT0003694.3, h1SMcT0003694.4, h1SMcT0003694.2
OG0002810	SINT1_34840.1	h1SMcT0007485.1, h1SMcT0007485.2
OG0002812	SINT1_84440.1	h1SMcT0007222.2, h1SMcT0007222.1, h1SMcT0007220.1, h1SMcT0007220.2, h1SMcT0007222.3
OG0002813	SINT1_76640.1	h1SMcT0013510.1
OG0002814	SINT1_23780.1, SINT1_23780.2	h1SMcT0020082.1
OG0002816	SINT1_19700.1, SINT1_19700.2, SINT1_19700.3	h1SMcT0003753.1, h1SMcT0003753.2, h1SMcT0003753.3, h1SMcT0017894.1, h1SMcT0017894.2, h1SMcT0017894.3
OG0002817	SINT1_37240.1, SINT1_37240.2, SINT1_37240.3, SINT1_37240.4, SINT1_37240.5	h1SMcT0022064.1
OG0002818	SINT1_74290.1	h1SMcT0021904.2, h1SMcT0021904.1, h1SMcT0021904.3
OG0002819	SINT1_67950.1, SINT1_67950.2	h1SMcT0000992.1, h1SMcT0000992.2
OG0002821	SINT1_4230.1, SINT1_4230.2	h1SMcT0006182.1
OG0002822	SINT1_9890.1	h1SMcT0005549.1
OG0002823	SINT1_15120.1, SINT1_15120.2, SINT1_15120.3	h1SMcT0008134.1
OG0002824	SINT1_1830.1	h1SMcT0019939.1, h1SMcT0019939.2
OG0002825	SINT1_48630.1	h1SMcT0008532.1, h1SMcT0012833.4, h1SMcT0012833.8, h1SMcT0012833.7, h1SMcT0012833.3, h1SMcT0012833.9, h1SMcT0012833.1, h1SMcT0012833.5, h1SMcT0012833.10, h1SMcT0012833.2, h1SMcT0012833.6
OG0002826	SINT1_40790.1, SINT1_40790.3, SINT1_40790.2, SINT1_40790.4	h1SMcT0013331.1
OG0002827	SINT1_27310.1	h1SMcT0001920.1
OG0002828	SINT1_28190.1, SINT1_28200.1	h1SMcT0013393.1, h1SMcT0014439.1
OG0002829	SINT1_60400.1, SINT1_60400.2	h1SMcT0006187.1
OG0002830	SINT1_23600.1, SINT1_23600.2	h1SMcT0001922.1
OG0002831	SINT1_15700.1	h1SMcT0013023.1
OG0002832	SINT1_80080.1	h1SMcT0004713.2, h1SMcT0004713.5, h1SMcT0004713.3, h1SMcT0004713.4
OG0002834	SINT1_3510.1, SINT1_3510.2	h1SMcT0011093.1, h1SMcT0019571.1
OG0002835	SINT1_90020.1	h1SMcT0001144.1, h1SMcT0001144.2
OG0002836	SINT1_25660.3, SINT1_25660.2, SINT1_25660.1, SINT1_25660.4	h1SMcT0019327.1
OG0002837	SINT1_15710.3, SINT1_15710.1, SINT1_15710.2	h1SMcT0014915.1
OG0002839	SINT1_70670.1, SINT1_70670.3, SINT1_70670.2, SINT1_70670.4	h1SMcT0006670.1, h1SMcT0006670.2
OG0002841	SINT1_50650.1	h1SMcT0006700.1, h1SMcT0017675.1, h1SMcT0017675.2
OG0002842	SINT1_70900.3, SINT1_70900.2, SINT1_70900.1	h1SMcT0004397.1
OG0002845	SINT1_11040.1	h1SMcT0021588.1, h1SMcT0021588.2
OG0002846	SINT1_19910.1, SINT1_19910.2	h1SMcT0021442.1, h1SMcT0021442.2
OG0002847	SINT1_57550.1, SINT1_57550.2	h1SMcT0004395.1
OG0002848	SINT1_60950.1	h1SMcT0001453.1, h1SMcT0014726.1, h1SMcT0014726.2
OG0002849	SINT1_13750.1	h1SMcT0016208.1, h1SMcT0016208.2
OG0002850	SINT1_64330.1	h1SMcT0007062.3, h1SMcT0007062.1, h1SMcT0007062.2
OG0002851	SINT1_88140.1	h1SMcT0000841.1
OG0002852	SINT1_13830.1	h1SMcT0003565.1, h1SMcT0003565.2
OG0002853	SINT1_72250.1	h1SMcT0000924.1, h1SMcT0000924.2
OG0002854	SINT1_34630.1, SINT1_34630.2	h1SMcT0019183.1, h1SMcT0019183.2, h1SMcT0019183.3, h1SMcT0019183.4, h1SMcT0019183.5
OG0002855	SINT1_17220.1	h1SMcT0021886.1, h1SMcT0021886.2
OG0002856	SINT1_53330.1, SINT1_53330.2	h1SMcT0000988.1, h1SMcT0000988.2
OG0002857	SINT1_62780.1	h1SMcT0019973.7, h1SMcT0019973.10, h1SMcT0019973.6, h1SMcT0019973.2, h1SMcT0019973.13, h1SMcT0019973.9, h1SMcT0019973.8, h1SMcT0019973.11, h1SMcT0019973.5, h1SMcT0019973.15, h1SMcT0019973.14
OG0002858	SINT1_10090.1	h1SMcT0011425.1, h1SMcT0011425.2
OG0002859	SINT1_62430.1, SINT1_62430.3, SINT1_62430.2	h1SMcT0010965.1, h1SMcT0010965.2
OG0002860	SINT1_76270.1, SINT1_76270.3, SINT1_76270.2	h1SMcT0011986.1, h1SMcT0011986.3, h1SMcT0011986.4, h1SMcT0011986.5, h1SMcT0011986.2
OG0002861	SINT1_86480.1	h1SMcT0004701.1, h1SMcT0004701.2, h1SMcT0004700.1, h1SMcT0004701.3
OG0002862	SINT1_64760.1, SINT1_64760.2, SINT1_64760.3	h1SMcT0014516.1
OG0002863	SINT1_17470.1, SINT1_17480.1	h1SMcT0004960.1, h1SMcT0004960.2, h1SMcT0001443.1, h1SMcT0001443.2
OG0002864	SINT1_53710.1	h1SMcT0001560.1, h1SMcT0001560.2
OG0002866	SINT1_35770.1	h1SMcT0009506.1
OG0002868	SINT1_85660.1, SINT1_85660.2, SINT1_85660.3, SINT1_85660.4	h1SMcT0018668.1
OG0002869	SINT1_1960.1	h1SMcT0011443.1, h1SMcT0004275.1, h1SMcT0004275.2, h1SMcT0004275.3, h1SMcT0004275.4
OG0002870	SINT1_47510.2, SINT1_47510.1	h1SMcT0019214.1
OG0002871	SINT1_45070.2, SINT1_45070.1, SINT1_45070.3	h1SMcT0016468.1, h1SMcT0016468.2, h1SMcT0020026.1
OG0002872	SINT1_49510.2, SINT1_49510.1	h1SMcT0000880.1, h1SMcT0000880.2, h1SMcT0000880.3
OG0002873	SINT1_90330.1	h1SMcT0009651.1
OG0002874	SINT1_39610.1, SINT1_39610.2	h1SMcT0020479.1, h1SMcT0020479.2
OG0002875	SINT1_51030.1	h1SMcT0000994.3, h1SMcT0000994.4, h1SMcT0000994.8, h1SMcT0000994.6, h1SMcT0000994.7, h1SMcT0000994.2, h1SMcT0000994.10, h1SMcT0000994.1, h1SMcT0000994.9, h1SMcT0000994.5, h1SMcT0000995.2, h1SMcT0000995.3, h1SMcT0000995.1, h1SMcT0000995.4
OG0002876	SINT1_70140.1, SINT1_70140.2, SINT1_70140.3	h1SMcT0007716.1
OG0002877	SINT1_60350.1	h1SMcT0007009.1
OG0002879	SINT1_18030.3, SINT1_18030.1, SINT1_18030.2	h1SMcT0011833.1, h1SMcT0011833.2
OG0002880	SINT1_21900.1	h1SMcT0020926.1, h1SMcT0000951.2, h1SMcT0000951.3, h1SMcT0000951.1, h1SMcT0000951.4
OG0002881	SINT1_58910.2, SINT1_58910.4, SINT1_58910.5, SINT1_58910.1, SINT1_58910.3	h1SMcT0004996.1
OG0002883	SINT1_51140.1, SINT1_51140.2	h1SMcT0022337.1
OG0002884	SINT1_64590.1	h1SMcT0003205.1, h1SMcT0003205.2
OG0002885	SINT1_46690.3, SINT1_46690.1, SINT1_46690.2	h1SMcT0020452.1
OG0002889	SINT1_80790.1, SINT1_80790.2	h1SMcT0005077.1, h1SMcT0005077.2
OG0002902	SINT1_39310.3, SINT1_39310.2, SINT1_39310.1	h1SMcT0009500.1, h1SMcT0013191.1
OG0002903	SINT1_70950.1	h1SMcT0005509.1, h1SMcT0005509.2, h1SMcT0005509.3
OG0002904	SINT1_22450.1	h1SMcT0012884.1, h1SMcT0012884.2
OG0002905	SINT1_65800.1	h1SMcT0004020.1
OG0002907	SINT1_5410.1	h1SMcT0014558.1
OG0002908	SINT1_67910.1, SINT1_67920.1	h1SMcT0018542.1, h1SMcT0018542.2, h1SMcT0018542.3, h1SMcT0018542.5, h1SMcT0018542.6, h1SMcT0018542.4
OG0002910	SINT1_18710.1	h1SMcT0022640.3, h1SMcT0022640.1, h1SMcT0022640.2, h1SMcT0022640.4, h1SMcT0022640.5, h1SMcT0022640.6
OG0002911	SINT1_15020.1	h1SMcT0017495.1, h1SMcT0017622.1
OG0002912	SINT1_64320.1, SINT1_64320.2	h1SMcT0000669.3, h1SMcT0000669.2, h1SMcT0000669.1
OG0002913	SINT1_10270.1	h1SMcT0017030.1, h1SMcT0017030.2, h1SMcT0017030.3, h1SMcT0017030.4
OG0002914	SINT1_16530.2, SINT1_16530.1	h1SMcT0014698.1, h1SMcT0016522.1
OG0002915	SINT1_76300.1, SINT1_76300.2, SINT1_76300.4, SINT1_76300.3	h1SMcT0007240.1, h1SMcT0007240.2
OG0002916	SINT1_17530.1, SINT1_17530.2	h1SMcT0019673.1, h1SMcT0019673.5, h1SMcT0019673.2, h1SMcT0019673.6, h1SMcT0019673.4
OG0002917	SINT1_23110.1	h1SMcT0020733.1, h1SMcT0002931.1
OG0002918	SINT1_80050.1	h1SMcT0022319.1
OG0002921	SINT1_93410.1, SINT1_93410.2, SINT1_93410.3	h1SMcT0009277.1
OG0002922	SINT1_75290.2, SINT1_75290.3, SINT1_75290.1	h1SMcT0003698.1
OG0002925	SINT1_12630.1, SINT1_12630.2	h1SMcT0015505.1
OG0002928	SINT1_73920.1	h1SMcT0017861.1, h1SMcT0017861.2
OG0002929	SINT1_22720.2, SINT1_22720.1	h1SMcT0000960.5, h1SMcT0000960.2, h1SMcT0000960.4, h1SMcT0000960.1, h1SMcT0000960.3
OG0002930	SINT1_40530.1	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2
OG0002931	SINT1_1840.1, SINT1_1840.2	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2
OG0002932	SINT1_44950.1, SINT1_44940.1	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3
OG0002934	SINT1_91580.1	h1SMcT0015709.1, h1SMcT0015709.2
OG0002936	SINT1_46630.1	h1SMcT0008577.1, h1SMcT0008577.2
OG0002938	SINT1_77970.1	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3
OG0002939	SINT1_13270.1, SINT1_13270.2	h1SMcT0009984.1
OG0002942	SINT1_77250.1, SINT1_77230.1	h1SMcT0009114.1
OG0002943	SINT1_77270.1, SINT1_77270.2, SINT1_77270.3	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5
OG0002944	SINT1_17580.1, SINT1_17610.1	h1SMcT0022414.1
OG0002945	SINT1_76600.1, SINT1_76600.2	h1SMcT0021889.1
OG0002947	SINT1_87970.1	h1SMcT0015902.1, h1SMcT0015902.2
OG0002948	SINT1_60270.1	h1SMcT0021089.1, h1SMcT0021089.2
OG0002949	SINT1_34170.1, SINT1_34170.2, SINT1_34170.3	h1SMcT0009486.1
OG0002950	SINT1_69350.1, SINT1_69350.2	h1SMcT0007052.1
OG0002951	SINT1_37850.1	h1SMcT0010433.1, h1SMcT0010433.2
OG0002953	SINT1_3240.1, SINT1_3240.2, SINT1_3240.5, SINT1_3240.3, SINT1_3240.4	h1SMcT0002670.1, h1SMcT0015965.1
OG0002954	SINT1_59740.1	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3
OG0002955	SINT1_72760.1	h1SMcT0017042.1
OG0002956	SINT1_93180.1	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2
OG0002958	SINT1_66290.2, SINT1_66290.1, SINT1_66290.3	h1SMcT0021861.1, h1SMcT0021861.2
OG0002959	SINT1_85650.1	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3
OG0002960	SINT1_48610.1, SINT1_48610.2	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1
OG0002961	SINT1_19320.1	h1SMcT0011634.1, h1SMcT0011634.2
OG0002962	SINT1_65820.1, SINT1_65820.2, SINT1_65820.3	h1SMcT0003796.1
OG0002963	SINT1_14020.1	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2
OG0002964	SINT1_25240.1, SINT1_25240.2, SINT1_25240.3	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3
OG0002967	SINT1_60810.1	h1SMcT0003658.1
OG0002969	SINT1_52700.1	h1SMcT0017175.1
OG0002971	SINT1_62680.1	h1SMcT0017152.1
OG0002972	SINT1_61420.2, SINT1_61420.1, SINT1_61420.3	h1SMcT0004366.2, h1SMcT0004366.5, h1SMcT0004366.1, h1SMcT0004366.3, h1SMcT0004366.6, h1SMcT0004366.4
OG0002973	SINT1_48440.1, SINT1_48440.2	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2
OG0002974	SINT1_32560.1	h1SMcT0008277.1
OG0002975	SINT1_38320.1, SINT1_38320.2	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2
OG0002976	SINT1_63110.1	h1SMcT0004422.1
OG0002977	SINT1_8040.5, SINT1_8040.7, SINT1_8040.4, SINT1_8040.1, SINT1_8040.2, SINT1_8040.3, SINT1_8040.6	h1SMcT0003763.1
OG0002979	SINT1_21650.1, SINT1_21650.2, SINT1_21650.3	h1SMcT0019481.1
OG0002981	SINT1_74110.1	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2
OG0002983	SINT1_24760.1	h1SMcT0017079.1
OG0002984	SINT1_12890.2, SINT1_12890.1, SINT1_12890.3	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2
OG0002985	SINT1_2050.1, SINT1_2050.4, SINT1_2050.2, SINT1_2050.3, SINT1_2050.5	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3
OG0002986	SINT1_10170.1	h1SMcT0009242.1, h1SMcT0009242.2
OG0002988	SINT1_91440.1, SINT1_91440.2	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3
OG0002989	SINT1_49340.3, SINT1_49340.1, SINT1_49340.2, SINT1_49340.5, SINT1_49340.4	h1SMcT0011055.1
OG0002991	SINT1_32020.1, SINT1_32020.2	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1
OG0002992	SINT1_74810.1	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4
OG0002993	SINT1_82590.1	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3
OG0002995	SINT1_87530.1	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3
OG0002996	SINT1_14970.2, SINT1_14970.3, SINT1_14970.4, SINT1_14970.1	h1SMcT0005458.1
OG0002997	SINT1_34440.1	h1SMcT0018267.1
OG0002998	SINT1_44620.1	h1SMcT0006805.1
OG0002999	SINT1_60140.2, SINT1_60140.4, SINT1_60140.1, SINT1_60140.5, SINT1_60140.6, SINT1_60140.3	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2
OG0003001	SINT1_27060.1, SINT1_27060.2	h1SMcT0021432.1
OG0003002	SINT1_19770.1	h1SMcT0017011.1
OG0003003	SINT1_92120.1, SINT1_92120.2	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2
OG0003004	SINT1_74030.1	h1SMcT0022793.1, h1SMcT0021479.3, h1SMcT0021479.4, h1SMcT0021479.1, h1SMcT0021479.2, h1SMcT0022793.2
OG0003005	SINT1_53890.1	h1SMcT0007903.1, h1SMcT0007903.2
OG0003006	SINT1_83520.1, SINT1_83520.2, SINT1_83520.3	h1SMcT0014506.1
OG0003007	SINT1_60860.1	h1SMcT0015078.1
OG0003009	SINT1_6490.1	h1SMcT0001412.1, h1SMcT0001412.2, h1SMcT0001412.3
OG0003010	SINT1_70020.1	h1SMcT0021914.1, h1SMcT0021914.2, h1SMcT0021327.3, h1SMcT0021327.5, h1SMcT0021327.4, h1SMcT0021327.6
OG0003011	SINT1_30440.1	h1SMcT0010357.1
OG0003012	SINT1_61280.1	h1SMcT0018119.1
OG0003014	SINT1_43350.1, SINT1_82810.1	h1SMcT0005268.1
OG0003015	SINT1_43380.1, SINT1_43380.2, SINT1_43380.3	h1SMcT0019089.2, h1SMcT0019089.1, h1SMcT0019089.3
