Orthogroup	schistosoma_guineensis	fasciola_hepatica
OG0002356	SGUI1_65860.1	FhHiC23_g7910.t1, FhHiC23_g7910.t2
OG0002357	SGUI1_27550.1, SGUI1_27540.1	FhHiC23_g10472.t1, FhHiC23_g10506.t1
OG0002358	SGUI1_17200.5, SGUI1_17200.1, SGUI1_17200.2, SGUI1_17200.3, SGUI1_17200.4	FhHiC23_g10727.t1
OG0002359	SGUI1_13970.1	FhHiC23_g13477.t1
OG0002360	SGUI1_76720.1	FhHiC23_g2820.t1
OG0002361	SGUI1_85170.2, SGUI1_85170.1, SGUI1_85170.3, SGUI1_85170.4	FhHiC23_g3856.t1
OG0002370	SGUI1_47980.1, SGUI1_46400.1	FhHiC23_g873.t1
OG0002371	SGUI1_1710.1, SGUI1_1710.2	FhHiC23_g13444.t1
OG0002372	SGUI1_63990.1	FhHiC23_g7937.t1, FhHiC23_g7937.t2
OG0002373	SGUI1_76770.1	FhHiC23_g2814.t1, FhHiC23_g2814.t2
OG0002374	SGUI1_5220.2, SGUI1_5220.3, SGUI1_5220.1	FhHiC23_g13514.t1, FhHiC23_g13514.t2
OG0002375	SGUI1_95730.1	FhHiC23_g9015.t1, FhHiC23_g9015.t2
OG0002376	SGUI1_72720.1, SGUI1_72720.2, SGUI1_72720.3	FhHiC23_g763.t1, FhHiC23_g763.t2
OG0002377	SGUI1_29510.1, SGUI1_29490.1	FhHiC23_g6526.t1
OG0002378	SGUI1_39830.1	FhHiC23_g5644.t1, FhHiC23_g5648.t1
OG0002379	SGUI1_42810.1	FhHiC23_g14623.t2, FhHiC23_g14623.t1, FhHiC23_g14623.t3
OG0002380	SGUI1_21110.1	FhHiC23_g15127.t1
OG0002381	SGUI1_53870.1, SGUI1_53840.1	FhHiC23_g951.t1
OG0002382	SGUI1_9170.1	FhHiC23_g12309.t1
OG0002383	SGUI1_52420.2, SGUI1_52420.5, SGUI1_52420.1, SGUI1_52420.4, SGUI1_52420.3	FhHiC23_g1688.t1
OG0002384	SGUI1_81290.1	FhHiC23_g3497.t1, FhHiC23_g3497.t2
OG0002385	SGUI1_28490.1	FhHiC23_g6302.t1
OG0002387	SGUI1_77690.3, SGUI1_77690.1, SGUI1_77690.2	FhHiC23_g1088.t1, FhHiC23_g1088.t2, FhHiC23_g1088.t3
OG0002388	SGUI1_97270.1	FhHiC23_g11523.t2, FhHiC23_g11523.t3, FhHiC23_g11523.t1
OG0002389	SGUI1_88900.1, SGUI1_88910.1	FhHiC23_g16310.t1
OG0002390	SGUI1_16050.1, SGUI1_16050.3, SGUI1_16050.2	FhHiC23_g11689.t1, FhHiC23_g11687.t1
OG0002391	SGUI1_18390.1	FhHiC23_g11998.t1, FhHiC23_g11998.t2, FhHiC23_g11998.t3
OG0002392	SGUI1_91260.1, SGUI1_91260.2, SGUI1_91260.3, SGUI1_91260.4	FhHiC23_g16155.t1, FhHiC23_g16155.t2
OG0002393	SGUI1_59850.1	FhHiC23_g8397.t1, FhHiC23_g8397.t2
OG0002394	SGUI1_30940.1	FhHiC23_g5292.t2, FhHiC23_g5292.t1
OG0002395	SGUI1_83900.1, SGUI1_83900.2	FhHiC23_g3630.t1
OG0002396	SGUI1_32620.1, SGUI1_32620.2, SGUI1_32620.3	FhHiC23_g5945.t1, FhHiC23_g5945.t2
OG0002397	SGUI1_79260.1	FhHiC23_g3165.t1, FhHiC23_g3165.t2
OG0002398	SGUI1_4990.1, SGUI1_4990.2	FhHiC23_g12984.t1
OG0002399	SGUI1_40840.1	FhHiC23_g13958.t2, FhHiC23_g13958.t1, FhHiC23_g13957.t1, FhHiC23_g13957.t2
OG0002400	SGUI1_3010.2, SGUI1_3010.1	FhHiC23_g12650.t2, FhHiC23_g12650.t1, FhHiC23_g12650.t3
OG0002401	SGUI1_96420.1	FhHiC23_g9572.t1
OG0002402	SGUI1_19270.1	FhHiC23_g15134.t1
OG0002403	SGUI1_23870.1, SGUI1_23870.2, SGUI1_23870.3, SGUI1_23870.4	FhHiC23_g10157.t1
OG0002404	SGUI1_62410.1, SGUI1_62410.2, SGUI1_62410.3	FhHiC23_g12892.t1, FhHiC23_g7985.t1
OG0002405	SGUI1_1860.1	FhHiC23_g13383.t1
OG0002406	SGUI1_7980.1	FhHiC23_g11310.t1
OG0002407	SGUI1_7580.1	FhHiC23_g13733.t1
OG0002408	SGUI1_74060.1, SGUI1_74060.2, SGUI1_74060.3	FhHiC23_g816.t1, FhHiC23_g816.t2
OG0002409	SGUI1_84950.1	FhHiC23_g3934.t1
OG0002410	SGUI1_35340.4, SGUI1_35340.6, SGUI1_35340.3, SGUI1_35340.1, SGUI1_35340.2, SGUI1_35340.5	FhHiC23_g13925.t1, FhHiC23_g681.t1, FhHiC23_g680.t1, FhHiC23_g4782.t1
OG0002411	SGUI1_89090.1, SGUI1_89090.2, SGUI1_89090.3	FhHiC23_g16206.t2, FhHiC23_g16206.t1
OG0002412	SGUI1_29410.1, SGUI1_29410.2	FhHiC23_g5333.t1
OG0002413	SGUI1_87640.1	FhHiC23_g16389.t1
OG0002415	SGUI1_20120.1	FhHiC23_g15500.t1
OG0002416	SGUI1_40770.1	FhHiC23_g14509.t1, FhHiC23_g14509.t3, FhHiC23_g14509.t2
OG0002417	SGUI1_15870.1	FhHiC23_g10794.t1
OG0002418	SGUI1_32760.1, SGUI1_32760.2, SGUI1_32760.3	FhHiC23_g6180.t1
OG0002419	SGUI1_28350.1	FhHiC23_g4620.t1, FhHiC23_g4620.t2, FhHiC23_g4620.t3
OG0002420	SGUI1_32950.1, SGUI1_32950.2, SGUI1_32950.3	FhHiC23_g5866.t1, FhHiC23_g5866.t2
OG0002421	SGUI1_72060.1	FhHiC23_g2730.t1, FhHiC23_g2730.t3, FhHiC23_g2730.t2
OG0002422	SGUI1_34620.1, SGUI1_34620.2	FhHiC23_g6092.t1
OG0002423	SGUI1_70920.1	FhHiC23_g1038.t1, FhHiC23_g1037.t1, FhHiC23_g1038.t2
OG0002424	SGUI1_56260.1	FhHiC23_g1782.t1, FhHiC23_g1782.t2
OG0002425	SGUI1_34380.1, SGUI1_34380.2	FhHiC23_g6185.t1, FhHiC23_g6185.t2, FhHiC23_g6186.t1
OG0002426	SGUI1_36800.3, SGUI1_36800.1, SGUI1_36800.2, SGUI1_36800.4	FhHiC23_g14246.t2, FhHiC23_g14246.t1
OG0002427	SGUI1_7970.1	FhHiC23_g637.t1, FhHiC23_g4042.t1, FhHiC23_g3954.t1, FhHiC23_g3954.t2
OG0002428	SGUI1_11670.1	FhHiC23_g11413.t1, FhHiC23_g11413.t2
OG0002429	SGUI1_39900.1, SGUI1_39900.2, SGUI1_39900.3, SGUI1_39900.4	FhHiC23_g4768.t1, FhHiC23_g4768.t2
OG0002430	SGUI1_74830.1	FhHiC23_g2724.t1
OG0002431	SGUI1_36540.1	FhHiC23_g14499.t1
OG0002432	SGUI1_61150.4, SGUI1_61150.5, SGUI1_61150.2, SGUI1_61150.1, SGUI1_61150.3	FhHiC23_g8139.t1
OG0002433	SGUI1_19020.1	FhHiC23_g10916.t1
OG0002434	SGUI1_34690.1	FhHiC23_g5632.t1, FhHiC23_g5634.t1, FhHiC23_g5634.t2
OG0002435	SGUI1_28410.1	FhHiC23_g6156.t1, FhHiC23_g6156.t2
OG0002436	SGUI1_21770.1	FhHiC23_g14986.t1, FhHiC23_g14986.t2
OG0002437	SGUI1_52830.2, SGUI1_52830.1, SGUI1_52830.4, SGUI1_52830.3	FhHiC23_g1190.t1
OG0002438	SGUI1_33210.1	FhHiC23_g6112.t1
OG0002439	SGUI1_52980.1, SGUI1_52980.4, SGUI1_52980.3, SGUI1_52980.2	FhHiC23_g1032.t1, FhHiC23_g1032.t4, FhHiC23_g1032.t2, FhHiC23_g1032.t3
OG0002440	SGUI1_69270.1	FhHiC23_g8343.t1
OG0002441	SGUI1_49140.2, SGUI1_49140.3, SGUI1_49140.4, SGUI1_49140.1, SGUI1_49140.5	FhHiC23_g1244.t1, FhHiC23_g1245.t1
OG0002442	SGUI1_42610.1	FhHiC23_g14518.t1
OG0002443	SGUI1_45460.1, SGUI1_45460.2, SGUI1_45460.3, SGUI1_45460.4	FhHiC23_g14220.t1
OG0002444	SGUI1_57780.1	FhHiC23_g8384.t1
OG0002445	SGUI1_69290.1	FhHiC23_g7843.t1
OG0002446	SGUI1_62930.5, SGUI1_62930.1, SGUI1_62930.2, SGUI1_62930.3, SGUI1_62930.4	FhHiC23_g7279.t2, FhHiC23_g7279.t1
OG0002447	SGUI1_6990.1, SGUI1_6990.3, SGUI1_6990.2, SGUI1_6990.4	FhHiC23_g11821.t1
OG0002448	SGUI1_32020.1, SGUI1_32020.2	FhHiC23_g5024.t1
OG0002449	SGUI1_17910.1, SGUI1_17910.3, SGUI1_17910.2	FhHiC23_g11903.t1
OG0002450	SGUI1_65570.1, SGUI1_65570.2, SGUI1_65570.3	FhHiC23_g8047.t1, FhHiC23_g8047.t2
OG0002451	SGUI1_77260.1, SGUI1_72090.1	FhHiC23_g2727.t1
OG0002452	SGUI1_7440.1	FhHiC23_g13772.t1
OG0002453	SGUI1_47100.1	FhHiC23_g1800.t1
OG0002454	SGUI1_67510.1	FhHiC23_g8247.t2, FhHiC23_g8247.t3, FhHiC23_g8247.t1
OG0002455	SGUI1_66370.1	FhHiC23_g8605.t1
OG0002458	SGUI1_84980.1	FhHiC23_g4106.t1
OG0002459	SGUI1_38020.1	FhHiC23_g14277.t1, FhHiC23_g14277.t2
OG0002460	SGUI1_7710.1	FhHiC23_g13522.t1
OG0002461	SGUI1_8670.1, SGUI1_8700.1	FhHiC23_g13440.t1
OG0002462	SGUI1_64650.1, SGUI1_64650.2, SGUI1_64650.3	FhHiC23_g6766.t1
OG0002463	SGUI1_83970.1	FhHiC23_g3706.t1
OG0002464	SGUI1_27800.1, SGUI1_27800.2	FhHiC23_g9937.t1
OG0002465	SGUI1_83430.2, SGUI1_83430.3, SGUI1_83430.1	FhHiC23_g3725.t1
OG0002466	SGUI1_94320.1, SGUI1_94320.2	FhHiC23_g10411.t1, FhHiC23_g10411.t2, FhHiC23_g10411.t3
OG0002467	SGUI1_50660.1	FhHiC23_g534.t1, FhHiC23_g534.t2
OG0002468	SGUI1_76330.1	FhHiC23_g3117.t1
OG0002469	SGUI1_97250.1, SGUI1_97250.2	FhHiC23_g13226.t1
OG0002470	SGUI1_79590.2, SGUI1_79590.1, SGUI1_79590.3	FhHiC23_g2264.t1, FhHiC23_g2265.t1
OG0002471	SGUI1_75290.1	FhHiC23_g885.t1, FhHiC23_g885.t2
OG0002472	SGUI1_36700.1	FhHiC23_g5384.t1
OG0002473	SGUI1_9000.1	FhHiC23_g13601.t1
OG0002474	SGUI1_88400.1, SGUI1_88400.2, SGUI1_88400.3	FhHiC23_g15960.t1, FhHiC23_g15960.t2
OG0002475	SGUI1_18420.8, SGUI1_18420.6, SGUI1_18420.7, SGUI1_18420.2, SGUI1_18420.3, SGUI1_18420.1, SGUI1_18420.5, SGUI1_18420.4	FhHiC23_g10950.t1
OG0002476	SGUI1_30730.4, SGUI1_30730.1, SGUI1_30730.2, SGUI1_30730.3	FhHiC23_g4868.t1
OG0002477	SGUI1_76890.1	FhHiC23_g3269.t1
OG0002478	SGUI1_51400.1	FhHiC23_g46.t1
OG0002479	SGUI1_63800.7, SGUI1_63800.3, SGUI1_63800.5, SGUI1_63800.1, SGUI1_63800.6, SGUI1_63800.10, SGUI1_63800.9, SGUI1_63800.4, SGUI1_63800.2, SGUI1_63800.8	FhHiC23_g7687.t1
OG0002480	SGUI1_27610.2, SGUI1_27610.1, SGUI1_27610.3	FhHiC23_g9730.t1
OG0002481	SGUI1_5720.1	FhHiC23_g13216.t3, FhHiC23_g13216.t2, FhHiC23_g13216.t4, FhHiC23_g13216.t1
OG0002482	SGUI1_62130.3, SGUI1_62130.1, SGUI1_62130.2	FhHiC23_g7850.t1, FhHiC23_g7850.t2
OG0002483	SGUI1_20440.1	FhHiC23_g15240.t1, FhHiC23_g15241.t1
OG0002484	SGUI1_23280.1, SGUI1_23280.2, SGUI1_23280.3, SGUI1_23280.4, SGUI1_23280.5, SGUI1_23280.6, SGUI1_23280.7	FhHiC23_g10369.t1
OG0002485	SGUI1_34060.1	FhHiC23_g5397.t1
OG0002486	SGUI1_23540.1	FhHiC23_g9651.t1
OG0002487	SGUI1_80420.1	FhHiC23_g2073.t1
OG0002488	SGUI1_55040.1	FhHiC23_g841.t1
OG0002489	SGUI1_27050.1	FhHiC23_g10462.t1, FhHiC23_g10462.t2
OG0002490	SGUI1_74540.1	FhHiC23_g387.t3, FhHiC23_g387.t1, FhHiC23_g387.t2
OG0002491	SGUI1_93320.1	FhHiC23_g9237.t2, FhHiC23_g9237.t1
OG0002492	SGUI1_75280.1, SGUI1_75280.2	FhHiC23_g1663.t1
OG0002493	SGUI1_64120.1	FhHiC23_g7915.t1
OG0002494	SGUI1_1600.3, SGUI1_1600.1, SGUI1_1600.2	FhHiC23_g13047.t1
OG0002495	SGUI1_14220.1, SGUI1_14220.2	FhHiC23_g11532.t2, FhHiC23_g11532.t1
OG0002496	SGUI1_42840.1	FhHiC23_g14149.t1, FhHiC23_g14148.t1
OG0002497	SGUI1_45730.1, SGUI1_45730.2	FhHiC23_g1965.t1, FhHiC23_g1965.t2
OG0002498	SGUI1_890.1	FhHiC23_g13432.t1, FhHiC23_g13432.t2
OG0002499	SGUI1_49630.1	FhHiC23_g2027.t1
OG0002500	SGUI1_240.1	FhHiC23_g13115.t1
OG0002501	SGUI1_8960.1	FhHiC23_g13148.t1, FhHiC23_g13148.t2
OG0002502	SGUI1_56380.5, SGUI1_56380.3, SGUI1_56380.4, SGUI1_56380.1, SGUI1_56380.2	FhHiC23_g1998.t1, FhHiC23_g1998.t2
OG0002503	SGUI1_83950.1, SGUI1_83950.2	FhHiC23_g3507.t1, FhHiC23_g3507.t2
OG0002504	SGUI1_23490.1, SGUI1_23210.1	FhHiC23_g10182.t1
OG0002505	SGUI1_51730.2, SGUI1_51730.3, SGUI1_51730.4, SGUI1_51730.5, SGUI1_51730.1	FhHiC23_g159.t1
OG0002506	SGUI1_34130.1	FhHiC23_g6239.t1, FhHiC23_g6240.t1
OG0002507	SGUI1_83270.1, SGUI1_83270.2, SGUI1_83270.3, SGUI1_83270.4	FhHiC23_g3629.t1
OG0002508	SGUI1_64540.1, SGUI1_64540.2	FhHiC23_g8437.t1, FhHiC23_g8437.t2
OG0002509	SGUI1_8540.1	FhHiC23_g10742.t1
OG0002510	SGUI1_58030.1	FhHiC23_g7597.t1
OG0002511	SGUI1_72650.3, SGUI1_72650.2, SGUI1_72650.1	FhHiC23_g1267.t1, FhHiC23_g1267.t2
OG0002512	SGUI1_63280.1	FhHiC23_g7261.t1
OG0002513	SGUI1_50710.2, SGUI1_50710.1	FhHiC23_g10857.t1, FhHiC23_g10856.t1, FhHiC23_g803.t1
OG0002514	SGUI1_15590.1	FhHiC23_g11759.t1
OG0002515	SGUI1_41840.1	FhHiC23_g14621.t1
OG0002516	SGUI1_77080.1	FhHiC23_g2441.t1
OG0002526	SGUI1_12780.1	FhHiC23_g11628.t2, FhHiC23_g11628.t1
OG0002527	SGUI1_41560.1	FhHiC23_g14608.t1, FhHiC23_g14608.t2
OG0002528	SGUI1_94850.1	FhHiC23_g10333.t2, FhHiC23_g10333.t1
OG0002529	SGUI1_55550.1	FhHiC23_g308.t1
OG0002530	SGUI1_75150.1, SGUI1_75140.1, SGUI1_75140.2, SGUI1_75130.1	FhHiC23_g3245.t1, FhHiC23_g3246.t1
OG0002531	SGUI1_27170.1	FhHiC23_g9302.t3, FhHiC23_g9302.t2, FhHiC23_g9302.t1
OG0002532	SGUI1_71880.1	FhHiC23_g817.t1
OG0002533	SGUI1_65840.1	FhHiC23_g8167.t1, FhHiC23_g8167.t2
OG0002534	SGUI1_90150.1	FhHiC23_g16664.t1
OG0002535	SGUI1_35330.1	FhHiC23_g4808.t1
OG0002536	SGUI1_12840.1	FhHiC23_g13067.t1
OG0002537	SGUI1_83140.1	FhHiC23_g3595.t1
OG0002538	SGUI1_61220.3, SGUI1_61220.2, SGUI1_61220.1, SGUI1_61220.4	FhHiC23_g7031.t1, FhHiC23_g7031.t2
OG0002539	SGUI1_26170.2, SGUI1_26170.1	FhHiC23_g9724.t1, FhHiC23_g9724.t2, FhHiC23_g9724.t3
OG0002540	SGUI1_38890.1, SGUI1_38890.3, SGUI1_38890.2, SGUI1_38890.4	FhHiC23_g4858.t1
OG0002541	SGUI1_55800.1	FhHiC23_g1685.t1
OG0002542	SGUI1_89820.1, SGUI1_89820.2	FhHiC23_g16600.t1
OG0002543	SGUI1_28630.2, SGUI1_28630.3, SGUI1_28630.6, SGUI1_28630.1, SGUI1_28630.4, SGUI1_28630.5	FhHiC23_g5136.t1
OG0002544	SGUI1_47650.1, SGUI1_47650.2, SGUI1_47650.6, SGUI1_47650.3, SGUI1_47650.4, SGUI1_47650.5	FhHiC23_g1898.t1
OG0002545	SGUI1_23380.1	FhHiC23_g10362.t2, FhHiC23_g10362.t1
OG0002546	SGUI1_17800.4, SGUI1_17800.5, SGUI1_17800.1, SGUI1_17800.2, SGUI1_17800.3	FhHiC23_g11379.t2, FhHiC23_g11379.t1, FhHiC23_g11379.t3
OG0002547	SGUI1_96240.1	FhHiC23_g9213.t1
OG0002548	SGUI1_94000.3, SGUI1_94000.2, SGUI1_94000.1, SGUI1_94000.4	FhHiC23_g9001.t1, FhHiC23_g9001.t2, FhHiC23_g9001.t3
OG0002549	SGUI1_27530.1, SGUI1_27530.2, SGUI1_27530.3	FhHiC23_g9297.t1
OG0002550	SGUI1_46830.1, SGUI1_46830.2	FhHiC23_g404.t2, FhHiC23_g404.t3, FhHiC23_g404.t1, FhHiC23_g404.t4
OG0002551	SGUI1_30890.1	FhHiC23_g5381.t1
OG0002552	SGUI1_4180.1	FhHiC23_g6476.t1, FhHiC23_g12813.t1
OG0002553	SGUI1_64820.1, SGUI1_64820.5, SGUI1_64820.2, SGUI1_64820.3, SGUI1_64820.4	FhHiC23_g8057.t1, FhHiC23_g8057.t2
OG0002554	SGUI1_59190.1, SGUI1_59190.2, SGUI1_59190.3, SGUI1_59190.4	FhHiC23_g7180.t1
OG0002555	SGUI1_35840.1	FhHiC23_g14289.t1, FhHiC23_g14364.t1, FhHiC23_g14365.t1, FhHiC23_g14375.t1, FhHiC23_g14373.t1, FhHiC23_g14374.t1, FhHiC23_g14371.t1, FhHiC23_g14372.t1, FhHiC23_g14372.t2, FhHiC23_g14369.t1, FhHiC23_g14370.t1, FhHiC23_g14367.t1, FhHiC23_g14368.t1
OG0002556	SGUI1_20380.1	FhHiC23_g15423.t1
OG0002557	SGUI1_42460.2, SGUI1_42460.5, SGUI1_42460.6, SGUI1_42460.3, SGUI1_42460.1, SGUI1_42460.7, SGUI1_42460.4	FhHiC23_g14852.t1, FhHiC23_g14852.t2
OG0002558	SGUI1_3960.1, SGUI1_3960.2, SGUI1_3960.3, SGUI1_3960.4, SGUI1_3960.5	FhHiC23_g12983.t1
OG0002559	SGUI1_24230.1, SGUI1_24230.2	FhHiC23_g4708.t1, FhHiC23_g4708.t2
OG0002560	SGUI1_89460.1	FhHiC23_g8654.t2, FhHiC23_g8654.t1
OG0002561	SGUI1_8750.1	FhHiC23_g11583.t1, FhHiC23_g11583.t2
OG0002562	SGUI1_8290.1	FhHiC23_g13527.t1
OG0002564	SGUI1_77950.1	FhHiC23_g3178.t1
OG0002565	SGUI1_2420.1, SGUI1_2410.1, SGUI1_13820.1	FhHiC23_g13384.t1, FhHiC23_g12779.t1
OG0002566	SGUI1_65470.1	FhHiC23_g8574.t1, FhHiC23_g8572.t2, FhHiC23_g8572.t1
OG0002567	SGUI1_35240.1	FhHiC23_g5030.t1, FhHiC23_g5030.t2
OG0002568	SGUI1_64020.1	FhHiC23_g8027.t1, FhHiC23_g8027.t2
OG0002569	SGUI1_66180.1	FhHiC23_g7241.t1
OG0002570	SGUI1_31470.2, SGUI1_31470.1	FhHiC23_g5044.t2, FhHiC23_g5044.t1
OG0002571	SGUI1_40210.1	FhHiC23_g4965.t1, FhHiC23_g4965.t2
OG0002572	SGUI1_59590.1	FhHiC23_g6984.t1, FhHiC23_g6984.t2
OG0002573	SGUI1_24720.1	FhHiC23_g9597.t1, FhHiC23_g9599.t2, FhHiC23_g9599.t1
OG0002574	SGUI1_75720.1, SGUI1_75720.2	FhHiC23_g2263.t1
OG0002575	SGUI1_23130.1, SGUI1_23890.1, SGUI1_23090.1	FhHiC23_g10382.t1
OG0002576	SGUI1_79100.1	FhHiC23_g1183.t1
OG0002577	SGUI1_54830.1	FhHiC23_g6103.t1, FhHiC23_g6104.t1
OG0002578	SGUI1_49360.1	FhHiC23_g424.t1
OG0002579	SGUI1_94190.1, SGUI1_94190.2	FhHiC23_g9459.t1, FhHiC23_g9459.t2, FhHiC23_g9457.t1
OG0002580	SGUI1_59760.2, SGUI1_59760.3, SGUI1_59780.1, SGUI1_59780.2, SGUI1_59760.1, SGUI1_59780.3	FhHiC23_g8589.t1, FhHiC23_g8589.t2, FhHiC23_g8589.t3, FhHiC23_g8589.t4
OG0002581	SGUI1_60990.1	FhHiC23_g8587.t1, FhHiC23_g8587.t2
OG0002582	SGUI1_34840.4, SGUI1_34840.2, SGUI1_34840.1, SGUI1_34840.3	FhHiC23_g5269.t1
OG0002583	SGUI1_88180.1	FhHiC23_g16831.t1
OG0002584	SGUI1_38930.1	FhHiC23_g6584.t1
OG0002585	SGUI1_19800.1, SGUI1_19790.2, SGUI1_19790.1	FhHiC23_g15455.t1
OG0002586	SGUI1_18680.1	FhHiC23_g15341.t1
OG0002587	SGUI1_83350.1, SGUI1_83350.2	FhHiC23_g3689.t1, FhHiC23_g3689.t2
OG0002588	SGUI1_61610.1	FhHiC23_g7743.t2, FhHiC23_g7743.t1, FhHiC23_g7743.t3
OG0002589	SGUI1_61430.1	FhHiC23_g7331.t1
OG0002590	SGUI1_76850.2, SGUI1_76850.3, SGUI1_76850.1	FhHiC23_g2959.t1
OG0002591	SGUI1_78910.1	FhHiC23_g773.t1, FhHiC23_g3423.t1, FhHiC23_g3422.t1, FhHiC23_g3422.t2
OG0002592	SGUI1_27220.1	FhHiC23_g8973.t1
OG0002593	SGUI1_80370.3, SGUI1_80370.1, SGUI1_80370.4, SGUI1_80370.5, SGUI1_80370.2	FhHiC23_g694.t1, FhHiC23_g693.t1
OG0002594	SGUI1_80360.1, SGUI1_80360.2	FhHiC23_g691.t1, FhHiC23_g692.t2, FhHiC23_g692.t1, FhHiC23_g692.t3
OG0002595	SGUI1_48410.1, SGUI1_48410.3, SGUI1_48410.2, SGUI1_48410.4, SGUI1_48410.5	FhHiC23_g1137.t2, FhHiC23_g1137.t1
OG0002596	SGUI1_76550.1	FhHiC23_g209.t1
OG0002597	SGUI1_12060.1	FhHiC23_g13634.t1, FhHiC23_g11982.t1, FhHiC23_g11982.t2
OG0002598	SGUI1_34100.1	FhHiC23_g5451.t1
OG0002599	SGUI1_66880.1	FhHiC23_g8225.t3, FhHiC23_g8225.t1, FhHiC23_g8225.t2
OG0002600	SGUI1_47450.4, SGUI1_47450.1, SGUI1_47450.3, SGUI1_47450.2	FhHiC23_g1304.t1, FhHiC23_g1311.t1
OG0002601	SGUI1_11040.1, SGUI1_11050.1	FhHiC23_g11707.t1, FhHiC23_g11707.t2
OG0002602	SGUI1_21380.1, SGUI1_21380.3, SGUI1_21380.2	FhHiC23_g15586.t1
OG0002603	SGUI1_63580.1	FhHiC23_g7210.t1
OG0002604	SGUI1_2430.2, SGUI1_2430.1	FhHiC23_g13386.t1
OG0002605	SGUI1_49480.1	FhHiC23_g220.t1
OG0002606	SGUI1_85470.1	FhHiC23_g4073.t1
OG0002607	SGUI1_33200.1	FhHiC23_g6574.t1
OG0002608	SGUI1_48240.1, SGUI1_48240.2, SGUI1_48240.3, SGUI1_48240.4	FhHiC23_g13703.t1, FhHiC23_g1775.t1
OG0002609	SGUI1_3860.1	FhHiC23_g13693.t2, FhHiC23_g13466.t1
OG0002610	SGUI1_42550.1	FhHiC23_g13935.t2, FhHiC23_g13935.t1
OG0002611	SGUI1_16500.3, SGUI1_16500.1, SGUI1_16500.4, SGUI1_16500.5, SGUI1_16500.2, SGUI1_16500.6	FhHiC23_g15039.t1
OG0002612	SGUI1_56910.1	FhHiC23_g3012.t1
OG0002613	SGUI1_45390.1, SGUI1_70300.1	FhHiC23_g14058.t1, FhHiC23_g14058.t2
OG0002614	SGUI1_270.1	FhHiC23_g12838.t2, FhHiC23_g12838.t1
OG0002615	SGUI1_83840.1	FhHiC23_g621.t1
OG0002616	SGUI1_37150.1	FhHiC23_g5458.t1
OG0002617	SGUI1_40950.1, SGUI1_40950.3, SGUI1_40950.5, SGUI1_40950.2, SGUI1_40950.4	FhHiC23_g13922.t1
OG0002618	SGUI1_57770.1, SGUI1_57760.1	FhHiC23_g8383.t1
OG0002619	SGUI1_60510.1	FhHiC23_g6954.t2, FhHiC23_g6954.t1, FhHiC23_g6954.t3
OG0002620	SGUI1_30050.1	FhHiC23_g5188.t1
OG0002621	SGUI1_7810.1	FhHiC23_g11134.t1
OG0002622	SGUI1_56830.1	FhHiC23_g1883.t1
OG0002623	SGUI1_10430.1	FhHiC23_g11088.t3, FhHiC23_g11088.t1, FhHiC23_g11088.t2
OG0002624	SGUI1_16210.1	FhHiC23_g11045.t1
OG0002625	SGUI1_35950.4, SGUI1_35950.2, SGUI1_35950.3, SGUI1_35950.5, SGUI1_35950.1	FhHiC23_g5899.t1
OG0002626	SGUI1_58050.2, SGUI1_58050.1	FhHiC23_g7778.t1
OG0002627	SGUI1_12130.1, SGUI1_12130.11, SGUI1_12130.12, SGUI1_12130.13, SGUI1_12130.8	FhHiC23_g12040.t1
OG0002628	SGUI1_41710.1	FhHiC23_g14902.t1, FhHiC23_g14902.t4
OG0002629	SGUI1_91820.1, SGUI1_91820.2, SGUI1_91820.3, SGUI1_91820.4	FhHiC23_g16202.t3, FhHiC23_g16202.t1, FhHiC23_g16202.t2
OG0002630	SGUI1_8120.1	FhHiC23_g15979.t1, FhHiC23_g15979.t2
OG0002631	SGUI1_24830.1	FhHiC23_g9536.t1
OG0002632	SGUI1_85120.1	FhHiC23_g3582.t1
OG0002633	SGUI1_39860.5, SGUI1_39860.3, SGUI1_39860.1, SGUI1_39860.4, SGUI1_39860.2	FhHiC23_g5365.t2, FhHiC23_g5365.t1
OG0002634	SGUI1_24640.2, SGUI1_24640.1	FhHiC23_g8988.t1
OG0002635	SGUI1_22750.1	FhHiC23_g10404.t1
OG0002636	SGUI1_80660.2, SGUI1_80660.1, SGUI1_80660.3	FhHiC23_g1677.t1
OG0002637	SGUI1_94680.1	FhHiC23_g9418.t1, FhHiC23_g9418.t2
OG0002638	SGUI1_54390.4, SGUI1_54390.1, SGUI1_54390.2, SGUI1_54390.3, SGUI1_54390.5	FhHiC23_g2231.t1
OG0002639	SGUI1_67460.1	FhHiC23_g7217.t1
OG0002640	SGUI1_9790.1	FhHiC23_g11544.t1
OG0002641	SGUI1_53770.1, SGUI1_53770.2	FhHiC23_g964.t1
OG0002642	SGUI1_1430.2, SGUI1_1430.1	FhHiC23_g12733.t1, FhHiC23_g12733.t2
OG0002643	SGUI1_4140.1	FhHiC23_g13577.t1
OG0002644	SGUI1_62350.1, SGUI1_62350.2, SGUI1_62350.3	FhHiC23_g7002.t1
OG0002645	SGUI1_9210.1	FhHiC23_g11038.t1, FhHiC23_g11038.t2
OG0002646	SGUI1_26810.1	FhHiC23_g6608.t2, FhHiC23_g6608.t1, FhHiC23_g6608.t3
