Orthogroup	schistosoma_guineensis	schmidtea_mediterranea
OG0002930	SGUI1_40490.1, SGUI1_40490.2, SGUI1_40490.3, SGUI1_40490.4	h1SMcT0000729.3, h1SMcT0000729.4, h1SMcT0000729.5, h1SMcT0000729.1, h1SMcT0000729.2
OG0002931	SGUI1_1960.1	h1SMcT0011300.3, h1SMcT0011300.1, h1SMcT0011300.2
OG0002932	SGUI1_44910.1, SGUI1_44900.1	h1SMcT0017864.2, h1SMcT0017864.4, h1SMcT0017864.1, h1SMcT0017864.3
OG0002934	SGUI1_93580.1	h1SMcT0015709.1, h1SMcT0015709.2
OG0002936	SGUI1_46620.1, SGUI1_46620.2	h1SMcT0008577.1, h1SMcT0008577.2
OG0002938	SGUI1_79560.1	h1SMcT0021901.1, h1SMcT0006732.1, h1SMcT0006732.2, h1SMcT0006732.3
OG0002939	SGUI1_12130.17, SGUI1_12130.18, SGUI1_12130.19, SGUI1_12130.20, SGUI1_12130.21, SGUI1_12240.1	h1SMcT0009984.1
OG0002942	SGUI1_78860.1, SGUI1_78840.1	h1SMcT0009114.1
OG0002943	SGUI1_78880.1	h1SMcT0012968.1, h1SMcT0012968.2, h1SMcT0012968.3, h1SMcT0012968.4, h1SMcT0012968.5
OG0002944	SGUI1_17080.1, SGUI1_17080.2	h1SMcT0022414.1
OG0002945	SGUI1_78200.1, SGUI1_78200.2	h1SMcT0021889.1
OG0002947	SGUI1_89910.1, SGUI1_89910.2	h1SMcT0015902.1, h1SMcT0015902.2
OG0002948	SGUI1_60980.1	h1SMcT0021089.1, h1SMcT0021089.2
OG0002949	SGUI1_33920.1	h1SMcT0009486.1
OG0002950	SGUI1_70450.1, SGUI1_70450.2, SGUI1_70450.3, SGUI1_70450.4	h1SMcT0007052.1
OG0002951	SGUI1_37720.1	h1SMcT0010433.1, h1SMcT0010433.2
OG0002953	SGUI1_3280.1	h1SMcT0002670.1, h1SMcT0015965.1
OG0002954	SGUI1_60480.1	h1SMcT0004944.1, h1SMcT0004944.2, h1SMcT0004944.3
OG0002955	SGUI1_73850.24, SGUI1_73850.25, SGUI1_74040.1	h1SMcT0017042.1
OG0002956	SGUI1_95130.1, SGUI1_95130.2	h1SMcT0006754.3, h1SMcT0006754.1, h1SMcT0006754.2
OG0002958	SGUI1_67220.1, SGUI1_67220.2	h1SMcT0021861.1, h1SMcT0021861.2
OG0002959	SGUI1_87500.1, SGUI1_87500.2, SGUI1_87500.3, SGUI1_87500.4, SGUI1_87500.5	h1SMcT0009503.2, h1SMcT0009503.1, h1SMcT0009503.3
OG0002960	SGUI1_48730.1, SGUI1_48730.2	h1SMcT0004813.1, h1SMcT0004813.2, h1SMcT0014704.1
OG0002961	SGUI1_18770.1	h1SMcT0011634.1, h1SMcT0011634.2
OG0002962	SGUI1_66760.1, SGUI1_66760.2, SGUI1_66760.3, SGUI1_66760.4	h1SMcT0003796.1
OG0002963	SGUI1_13410.1, SGUI1_13410.2	h1SMcT0022059.3, h1SMcT0022059.1, h1SMcT0022059.2
OG0002964	SGUI1_24880.1, SGUI1_24880.2, SGUI1_24880.3, SGUI1_24880.4	h1SMcT0005305.1, h1SMcT0005305.2, h1SMcT0005305.3
OG0002967	SGUI1_61530.1, SGUI1_61530.2, SGUI1_61530.3	h1SMcT0003658.1
OG0002969	SGUI1_52890.1	h1SMcT0017175.1
OG0002971	SGUI1_63400.1	h1SMcT0017152.1
OG0002973	SGUI1_48550.1, SGUI1_48550.2, SGUI1_48550.3	h1SMcT0014362.1, h1SMcT0014359.1, h1SMcT0014361.2, h1SMcT0014361.3, h1SMcT0014361.4, h1SMcT0014360.1, h1SMcT0014360.2
OG0002974	SGUI1_32280.1, SGUI1_32280.2, SGUI1_32280.3	h1SMcT0008277.1
OG0002975	SGUI1_38110.1	h1SMcT0018671.3, h1SMcT0018671.1, h1SMcT0018671.2
OG0002976	SGUI1_63880.1	h1SMcT0004422.1
OG0002977	SGUI1_7460.1	h1SMcT0003763.1
OG0002979	SGUI1_21130.1	h1SMcT0019481.1
OG0002981	SGUI1_75580.4, SGUI1_75580.5, SGUI1_75580.6, SGUI1_75580.2, SGUI1_75580.3, SGUI1_75580.1	h1SMcT0000144.1, h1SMcT0000144.4, h1SMcT0000144.3, h1SMcT0000144.2
OG0002983	SGUI1_24390.1, SGUI1_24390.2	h1SMcT0017079.1
OG0002984	SGUI1_11890.1	h1SMcT0016147.1, h1SMcT0016147.2, h1SMcT0012663.1, h1SMcT0012663.3, h1SMcT0012663.4, h1SMcT0012663.2
OG0002985	SGUI1_2170.1, SGUI1_2170.2	h1SMcT0017937.1, h1SMcT0017937.2, h1SMcT0017937.3
OG0002988	SGUI1_93370.1	h1SMcT0003879.1, h1SMcT0003879.2, h1SMcT0003879.3
OG0002989	SGUI1_49460.1	h1SMcT0011055.1
OG0002991	SGUI1_31790.1, SGUI1_31790.2	h1SMcT0020208.1, h1SMcT0004254.1, h1SMcT0017291.1
OG0002992	SGUI1_76380.1	h1SMcT0020809.7, h1SMcT0020809.5, h1SMcT0020809.6, h1SMcT0020809.8, h1SMcT0020809.4
OG0002993	SGUI1_84450.1	h1SMcT0019238.1, h1SMcT0019238.2, h1SMcT0019238.3
OG0002995	SGUI1_89440.1	h1SMcT0020280.2, h1SMcT0020280.1, h1SMcT0020280.4, h1SMcT0020280.3, h1SMcT0020280.5, h1SMcT0010071.4, h1SMcT0010071.1, h1SMcT0010071.2, h1SMcT0010071.3
OG0002996	SGUI1_14630.1	h1SMcT0005458.1
OG0002997	SGUI1_34190.1	h1SMcT0018267.1
OG0002998	SGUI1_44570.1	h1SMcT0006805.1
OG0002999	SGUI1_60860.2, SGUI1_60860.1, SGUI1_60860.3	h1SMcT0003133.3, h1SMcT0003133.1, h1SMcT0003133.2
OG0003001	SGUI1_26730.1	h1SMcT0021432.1
OG0003002	SGUI1_19190.2, SGUI1_19190.3, SGUI1_19190.4, SGUI1_19190.5, SGUI1_19190.6, SGUI1_19190.1	h1SMcT0017011.1
OG0003003	SGUI1_94110.3, SGUI1_94110.2, SGUI1_94110.1	h1SMcT0012704.1, h1SMcT0022240.1, h1SMcT0022240.2
OG0003004	SGUI1_75480.1, SGUI1_75480.2	h1SMcT0022793.1, h1SMcT0021479.3, h1SMcT0021479.4, h1SMcT0021479.1, h1SMcT0021479.2, h1SMcT0022793.2
OG0003005	SGUI1_54240.1	h1SMcT0007903.1, h1SMcT0007903.2
OG0003006	SGUI1_85340.1	h1SMcT0014506.1
OG0003007	SGUI1_61560.1	h1SMcT0015078.1
OG0003009	SGUI1_6180.2, SGUI1_6180.5, SGUI1_6180.1, SGUI1_6180.3, SGUI1_6180.7, SGUI1_6180.8, SGUI1_6180.9, SGUI1_6180.4, SGUI1_6180.6	h1SMcT0001412.1, h1SMcT0001412.2, h1SMcT0001412.3
OG0003010	SGUI1_71110.1	h1SMcT0021914.1, h1SMcT0021914.2, h1SMcT0021327.3, h1SMcT0021327.5, h1SMcT0021327.4, h1SMcT0021327.6
OG0003011	SGUI1_30140.1	h1SMcT0010357.1
OG0003012	SGUI1_61990.1	h1SMcT0018119.1
OG0003014	SGUI1_84670.1	h1SMcT0005268.1
OG0003015	SGUI1_43390.1	h1SMcT0019089.2, h1SMcT0019089.1, h1SMcT0019089.3
OG0003016	SGUI1_76040.3, SGUI1_76040.4, SGUI1_76040.5, SGUI1_76040.2, SGUI1_76040.1	h1SMcT0006828.1, h1SMcT0006828.2, h1SMcT0006828.3, h1SMcT0006828.4
OG0003017	SGUI1_50440.1, SGUI1_50440.2	h1SMcT0006801.1, h1SMcT0007267.1
OG0003018	SGUI1_94950.1, SGUI1_94950.2	h1SMcT0016671.1, h1SMcT0016671.2
OG0003019	SGUI1_74960.1, SGUI1_74960.2	h1SMcT0004932.4, h1SMcT0004932.3, h1SMcT0004932.2, h1SMcT0004932.1
OG0003021	SGUI1_84700.1	h1SMcT0002696.1, h1SMcT0002696.2
OG0003023	SGUI1_84620.1	h1SMcT0005078.1, h1SMcT0005078.2
OG0003024	SGUI1_78240.1, SGUI1_78240.3, SGUI1_78240.4, SGUI1_78240.2	h1SMcT0020338.1
OG0003028	SGUI1_9300.1, SGUI1_9300.2, SGUI1_9300.3, SGUI1_9300.4	h1SMcT0020044.1
OG0003029	SGUI1_81340.1, SGUI1_81340.2, SGUI1_81340.3	h1SMcT0015062.1
OG0003030	SGUI1_19150.1, SGUI1_19150.4, SGUI1_19150.2, SGUI1_19150.3	h1SMcT0001941.1, h1SMcT0001941.2
OG0003031	SGUI1_64970.1, SGUI1_64970.2, SGUI1_64970.3	h1SMcT0014296.1, h1SMcT0014296.2
OG0003032	SGUI1_59310.6, SGUI1_59310.7, SGUI1_59310.1, SGUI1_59310.3, SGUI1_59310.4, SGUI1_59310.2, SGUI1_59310.5	h1SMcT0005960.1, h1SMcT0005892.1, h1SMcT0005892.2
OG0003033	SGUI1_46790.1	h1SMcT0011480.1, h1SMcT0011480.3, h1SMcT0011480.2
OG0003034	SGUI1_82910.1	h1SMcT0011192.1
OG0003036	SGUI1_84770.1, SGUI1_86020.1, SGUI1_86010.1	h1SMcT0012716.1
OG0003037	SGUI1_79980.1	h1SMcT0006277.1, h1SMcT0006277.2
OG0003038	SGUI1_52300.1	h1SMcT0020116.1
OG0003039	SGUI1_46030.1	h1SMcT0011776.1, h1SMcT0011776.2
OG0003041	SGUI1_32700.4, SGUI1_32700.2, SGUI1_32700.1, SGUI1_32700.6, SGUI1_32700.3, SGUI1_32700.5	h1SMcT0021330.1
OG0003042	SGUI1_40790.1	h1SMcT0014097.2, h1SMcT0014097.3, h1SMcT0014097.1, h1SMcT0014097.4
OG0003043	SGUI1_47850.1	h1SMcT0001787.1
OG0003044	SGUI1_7270.1	h1SMcT0017159.2, h1SMcT0017159.4, h1SMcT0017159.1, h1SMcT0017159.3
OG0003045	SGUI1_51770.1	h1SMcT0002072.1, h1SMcT0002072.2, h1SMcT0002072.3, h1SMcT0002072.4
OG0003046	SGUI1_51780.1, SGUI1_51780.3, SGUI1_51780.2	h1SMcT0000855.1
OG0003048	SGUI1_45670.2, SGUI1_45670.1, SGUI1_96890.1	h1SMcT0011197.1, h1SMcT0011197.2
OG0003049	SGUI1_45660.1, SGUI1_45660.2	h1SMcT0020453.1, h1SMcT0016153.1, h1SMcT0016153.2
OG0003050	SGUI1_79000.1	h1SMcT0005152.5, h1SMcT0005152.3, h1SMcT0005152.1, h1SMcT0005152.4, h1SMcT0005152.2
OG0003051	SGUI1_24130.1	h1SMcT0007990.2, h1SMcT0007990.5, h1SMcT0007990.3, h1SMcT0007990.1, h1SMcT0007990.4, h1SMcT0007990.7, h1SMcT0007990.6
OG0003052	SGUI1_65280.1	h1SMcT0016002.1, h1SMcT0016002.2, h1SMcT0016002.3
OG0003053	SGUI1_26330.2, SGUI1_26330.3, SGUI1_26330.4, SGUI1_26330.1	h1SMcT0016931.1, h1SMcT0016931.2, h1SMcT0016931.3
OG0003054	SGUI1_8150.1	h1SMcT0018675.1, h1SMcT0004016.1, h1SMcT0004016.2, h1SMcT0004016.4, h1SMcT0004016.3, h1SMcT0006537.1, h1SMcT0020138.1
OG0003055	SGUI1_56690.1	h1SMcT0019134.1
OG0003056	SGUI1_8060.1	h1SMcT0003979.1
OG0003058	SGUI1_92350.1	h1SMcT0003333.1, h1SMcT0003333.2
OG0003059	SGUI1_35860.1	h1SMcT0008347.1, h1SMcT0008347.4, h1SMcT0008347.3, h1SMcT0008347.2
OG0003060	SGUI1_52110.1	h1SMcT0011744.1, h1SMcT0011744.2, h1SMcT0011744.5, h1SMcT0011744.6, h1SMcT0011744.3, h1SMcT0011744.4
OG0003062	SGUI1_90200.1, SGUI1_90200.2	h1SMcT0013915.1
OG0003063	SGUI1_17340.1	h1SMcT0012821.1, h1SMcT0012821.2, h1SMcT0012805.1, h1SMcT0012806.1
OG0003064	SGUI1_7280.1	h1SMcT0008163.1
OG0003065	SGUI1_21430.1	h1SMcT0000333.1
OG0003066	SGUI1_94440.2, SGUI1_94440.1	h1SMcT0011449.1, h1SMcT0011449.2
OG0003067	SGUI1_24570.3, SGUI1_24570.2, SGUI1_24570.1	h1SMcT0005008.1
OG0003068	SGUI1_77200.1, SGUI1_77200.2	h1SMcT0022311.1, h1SMcT0022311.3, h1SMcT0022311.2
OG0003070	SGUI1_35080.1	h1SMcT0003629.1, h1SMcT0003629.2
OG0003072	SGUI1_79960.1	h1SMcT0001100.1, h1SMcT0001100.2, h1SMcT0001100.4, h1SMcT0001100.3, h1SMcT0019338.1, h1SMcT0019338.2, h1SMcT0004692.1, h1SMcT0004692.4, h1SMcT0004692.2, h1SMcT0004692.3
OG0003073	SGUI1_64460.1, SGUI1_64460.2	h1SMcT0011150.1, h1SMcT0015836.1, h1SMcT0015836.2, h1SMcT0015836.4, h1SMcT0015836.3, h1SMcT0015837.1, h1SMcT0015837.3, h1SMcT0015837.2, h1SMcT0015841.2, h1SMcT0015841.1, h1SMcT0015841.3, h1SMcT0015841.4, h1SMcT0012715.3, h1SMcT0012715.2, h1SMcT0012715.1, h1SMcT0001252.1
OG0003074	SGUI1_59110.1	h1SMcT0004065.1
OG0003076	SGUI1_57900.1, SGUI1_57930.1	h1SMcT0015937.1, h1SMcT0015937.7, h1SMcT0015937.6, h1SMcT0015937.2, h1SMcT0015937.3, h1SMcT0015937.4, h1SMcT0015937.5
OG0003080	SGUI1_10150.1	h1SMcT0008762.1, h1SMcT0008762.2, h1SMcT0008762.5, h1SMcT0008762.3, h1SMcT0008762.4
OG0003081	SGUI1_14450.1	h1SMcT0017491.1
OG0003082	SGUI1_50200.1, SGUI1_50200.2	h1SMcT0016152.1
OG0003083	SGUI1_79720.1, SGUI1_79720.2	h1SMcT0003189.1, h1SMcT0003189.2
OG0003086	SGUI1_66350.1, SGUI1_66350.2, SGUI1_66350.3	h1SMcT0007745.1, h1SMcT0007745.2
OG0003087	SGUI1_96260.1	h1SMcT0013897.1, h1SMcT0013897.2, h1SMcT0006048.1, h1SMcT0011537.3, h1SMcT0011537.2, h1SMcT0011537.1, h1SMcT0004969.1, h1SMcT0004969.2, h1SMcT0004969.3, h1SMcT0014223.1
OG0003089	SGUI1_18290.1, SGUI1_18290.2	h1SMcT0013279.2, h1SMcT0013279.1, h1SMcT0013268.1, h1SMcT0013268.2, h1SMcT0013281.1
OG0003099	SGUI1_43100.1	h1SMcT0010063.1
OG0003107	SGUI1_56490.1	h1SMcT0015377.1
OG0003108	SGUI1_26110.1, SGUI1_26110.2	h1SMcT0015502.1
OG0003109	SGUI1_14960.1, SGUI1_14960.2	h1SMcT0008651.1
OG0003110	SGUI1_13620.1	h1SMcT0012449.1, h1SMcT0012449.2
OG0003111	SGUI1_72020.2, SGUI1_72020.1	h1SMcT0011575.1
OG0003112	SGUI1_68200.1, SGUI1_68200.2, SGUI1_68200.3	h1SMcT0009040.1, h1SMcT0018311.1, h1SMcT0018311.2, h1SMcT0018311.3
OG0003114	SGUI1_87490.1	h1SMcT0005694.2, h1SMcT0005694.4, h1SMcT0005694.3, h1SMcT0005694.1, h1SMcT0005694.5, h1SMcT0005694.6
OG0003115	SGUI1_74100.1	h1SMcT0000128.5, h1SMcT0000128.2, h1SMcT0000128.3, h1SMcT0000128.1, h1SMcT0000128.4
OG0003116	SGUI1_88640.3, SGUI1_88640.1, SGUI1_88640.2	h1SMcT0014809.1
OG0003118	SGUI1_40640.1	h1SMcT0010890.1, h1SMcT0010890.2
OG0003121	SGUI1_1560.1, SGUI1_1560.2, SGUI1_1560.3, SGUI1_1560.4, SGUI1_1560.5	h1SMcT0012547.1, h1SMcT0012547.2
OG0003124	SGUI1_91070.4, SGUI1_91070.1, SGUI1_91070.2, SGUI1_91070.3	h1SMcT0007756.1, h1SMcT0007756.2
OG0003125	SGUI1_74740.1	h1SMcT0016907.1, h1SMcT0016907.2
OG0003127	SGUI1_86690.1, SGUI1_86680.1	h1SMcT0015110.1, h1SMcT0019913.1
OG0003128	SGUI1_82830.1	h1SMcT0018724.1
OG0003129	SGUI1_2820.1, SGUI1_2820.2	h1SMcT0002450.1, h1SMcT0002450.2
OG0003131	SGUI1_72680.1, SGUI1_72670.1	h1SMcT0000664.1
OG0003133	SGUI1_59690.2, SGUI1_59690.3, SGUI1_59690.1	h1SMcT0020070.1, h1SMcT0020070.2
OG0003135	SGUI1_36210.1	h1SMcT0016694.1, h1SMcT0016694.2, h1SMcT0016694.3
OG0003137	SGUI1_81800.1	h1SMcT0019913.6, h1SMcT0019913.5, h1SMcT0019913.2, h1SMcT0019913.3, h1SMcT0019913.4
OG0003138	SGUI1_90870.1	h1SMcT0011089.1
OG0003140	SGUI1_30810.1	h1SMcT0003323.2, h1SMcT0004572.1, h1SMcT0006058.1
OG0003141	SGUI1_62010.1, SGUI1_62010.2, SGUI1_62010.3	h1SMcT0007365.1, h1SMcT0007366.1
OG0003142	SGUI1_76980.1	h1SMcT0018040.1
OG0003145	SGUI1_20890.1	h1SMcT0010125.1, h1SMcT0010125.2, h1SMcT0010125.3
OG0003146	SGUI1_65240.1, SGUI1_65240.2, SGUI1_65240.3, SGUI1_65240.4, SGUI1_65240.5	h1SMcT0018833.1, h1SMcT0018833.2, h1SMcT0000047.1, h1SMcT0000047.2
OG0003147	SGUI1_49300.1, SGUI1_49300.2	h1SMcT0013401.2, h1SMcT0013401.1, h1SMcT0013401.3, h1SMcT0005526.1, h1SMcT0005526.2, h1SMcT0005526.3
OG0003148	SGUI1_92970.1	h1SMcT0016375.1, h1SMcT0006773.1, h1SMcT0006773.2, h1SMcT0006774.1, h1SMcT0007556.1, h1SMcT0007556.2, h1SMcT0007556.3, h1SMcT0007556.4, h1SMcT0007556.5, h1SMcT0007556.6, h1SMcT0007556.7, h1SMcT0002187.1, h1SMcT0013644.1
OG0003149	SGUI1_56440.1, SGUI1_56440.2	h1SMcT0022070.1
OG0003150	SGUI1_79280.2, SGUI1_79280.1	h1SMcT0005154.1
OG0003151	SGUI1_50050.1	h1SMcT0009477.1, h1SMcT0009477.2
OG0003152	SGUI1_37070.1	h1SMcT0002448.1
OG0003153	SGUI1_74200.1	h1SMcT0009249.1
OG0003155	SGUI1_71410.1	h1SMcT0018245.1, h1SMcT0018245.2
OG0003157	SGUI1_52580.1	h1SMcT0015519.1
OG0003158	SGUI1_89620.1	h1SMcT0022543.1
OG0003159	SGUI1_56120.1, SGUI1_56110.1	h1SMcT0000896.1
OG0003160	SGUI1_20070.1, SGUI1_20070.2	h1SMcT0017909.1, h1SMcT0017909.2
OG0003162	SGUI1_8860.1	h1SMcT0021131.1, h1SMcT0021131.2
OG0003163	SGUI1_1540.1	h1SMcT0021672.1, h1SMcT0021672.2
OG0003164	SGUI1_33120.1	h1SMcT0022123.1, h1SMcT0022123.2, h1SMcT0022123.3, h1SMcT0022123.4, h1SMcT0022123.5
OG0003165	SGUI1_78050.1	h1SMcT0018697.1
OG0003167	SGUI1_94040.1, SGUI1_94040.2	h1SMcT0019950.1, h1SMcT0019950.2, h1SMcT0019950.3
OG0003168	SGUI1_64040.1	h1SMcT0014216.1
OG0003169	SGUI1_15480.2, SGUI1_15480.3, SGUI1_15480.1	h1SMcT0013822.1, h1SMcT0013822.2
OG0003170	SGUI1_17690.1, SGUI1_17690.2, SGUI1_17690.3	h1SMcT0020859.1
OG0003171	SGUI1_73430.1	h1SMcT0003722.1, h1SMcT0003722.2
OG0003172	SGUI1_21760.1	h1SMcT0008462.1, h1SMcT0008462.2, h1SMcT0008462.3, h1SMcT0008462.4, h1SMcT0010776.1, h1SMcT0010776.2
OG0003174	SGUI1_75610.1	h1SMcT0007581.1, h1SMcT0007581.2, h1SMcT0007581.3
OG0003175	SGUI1_94210.1	h1SMcT0015496.1, h1SMcT0015496.2
OG0003176	SGUI1_70390.1, SGUI1_70390.4, SGUI1_70390.5, SGUI1_70390.3, SGUI1_70390.2	h1SMcT0021985.1
OG0003178	SGUI1_33190.1	h1SMcT0022104.1
OG0003179	SGUI1_75770.1	h1SMcT0004843.1, h1SMcT0004843.2
OG0003180	SGUI1_4200.1	h1SMcT0007124.6, h1SMcT0007124.7
OG0003181	SGUI1_36580.1	h1SMcT0011279.1
OG0003182	SGUI1_31020.1	h1SMcT0000868.1
OG0003184	SGUI1_28100.1	h1SMcT0000641.1, h1SMcT0000641.2, h1SMcT0014905.1
OG0003185	SGUI1_72160.1	h1SMcT0016184.1, h1SMcT0016184.3, h1SMcT0016184.2
OG0003187	SGUI1_74210.1, SGUI1_74210.2, SGUI1_74210.3	h1SMcT0008113.1
OG0003188	SGUI1_81300.1	h1SMcT0017318.1
OG0003189	SGUI1_57190.1, SGUI1_57190.3, SGUI1_57190.2, SGUI1_57190.4, SGUI1_57190.5	h1SMcT0020507.5, h1SMcT0020507.3, h1SMcT0020507.4
OG0003191	SGUI1_47350.1	h1SMcT0019331.1, h1SMcT0019331.2
OG0003192	SGUI1_66710.1	h1SMcT0012195.3, h1SMcT0012195.4, h1SMcT0012195.6, h1SMcT0012195.7, h1SMcT0012195.8, h1SMcT0012195.1, h1SMcT0012195.2, h1SMcT0012195.9, h1SMcT0012195.5
OG0003193	SGUI1_37120.1	h1SMcT0008180.1, h1SMcT0008180.2, h1SMcT0008180.3, h1SMcT0021063.1, h1SMcT0021085.1, h1SMcT0021085.2, h1SMcT0021085.3, h1SMcT0021397.1, h1SMcT0021397.2, h1SMcT0006457.1, h1SMcT0006457.2
OG0003194	SGUI1_70030.1	h1SMcT0005218.1
OG0003195	SGUI1_17740.1	h1SMcT0008802.1, h1SMcT0008802.2
OG0003196	SGUI1_62550.1	h1SMcT0016546.1, h1SMcT0016546.2, h1SMcT0002390.1, h1SMcT0002390.2, h1SMcT0002390.3
OG0003197	SGUI1_95350.1	h1SMcT0008434.1, h1SMcT0008434.2
OG0003199	SGUI1_93900.1, SGUI1_93900.2	h1SMcT0012625.2, h1SMcT0012625.1, h1SMcT0012625.3
OG0003201	SGUI1_14210.5, SGUI1_14210.4, SGUI1_14210.1, SGUI1_14210.2, SGUI1_14210.3	h1SMcT0013974.1
OG0003202	SGUI1_18170.1, SGUI1_18170.2, SGUI1_18170.3	h1SMcT0016880.1
OG0003203	SGUI1_92040.1	h1SMcT0000481.1
OG0003205	SGUI1_36520.1, SGUI1_36520.2	h1SMcT0007886.1
OG0003206	SGUI1_17120.1	h1SMcT0003099.1
OG0003207	SGUI1_7760.1	h1SMcT0003114.1, h1SMcT0003114.2
OG0003208	SGUI1_68370.1	h1SMcT0007447.1, h1SMcT0022769.1
OG0003209	SGUI1_79360.1, SGUI1_79360.2, SGUI1_79360.3	h1SMcT0015578.1, h1SMcT0015578.2
OG0003210	SGUI1_11980.1	h1SMcT0010700.1, h1SMcT0010700.2
OG0003211	SGUI1_75470.1	h1SMcT0010088.1, h1SMcT0010088.2, h1SMcT0010092.4, h1SMcT0010092.1, h1SMcT0010092.3, h1SMcT0010091.1, h1SMcT0010091.3, h1SMcT0010091.2
OG0003213	SGUI1_33050.1	h1SMcT0018521.1, h1SMcT0018521.2, h1SMcT0018521.3
OG0003214	SGUI1_10870.1	h1SMcT0016576.1, h1SMcT0016576.2
OG0003215	SGUI1_8250.1, SGUI1_8240.1	h1SMcT0017814.1, h1SMcT0017814.2
OG0003217	SGUI1_61290.1, SGUI1_61290.2, SGUI1_61290.3	h1SMcT0009783.1
OG0003218	SGUI1_58410.1	h1SMcT0018270.1
OG0003222	SGUI1_19200.1	h1SMcT0013691.1
OG0003223	SGUI1_92830.1, SGUI1_89130.1, SGUI1_89130.2	h1SMcT0015106.1, h1SMcT0001134.1
OG0003224	SGUI1_38100.1, SGUI1_38100.2	h1SMcT0015164.1, h1SMcT0001803.1, h1SMcT0001803.2
OG0003225	SGUI1_88730.1, SGUI1_88730.2, SGUI1_88730.3	h1SMcT0011080.2, h1SMcT0011080.3, h1SMcT0011080.1, h1SMcT0011080.4
OG0003226	SGUI1_13640.3, SGUI1_13640.4, SGUI1_13640.1, SGUI1_13640.2, SGUI1_13640.5	h1SMcT0021847.1, h1SMcT0022103.1
OG0003227	SGUI1_62020.1	h1SMcT0001291.1, h1SMcT0001291.2
OG0003229	SGUI1_76650.1	h1SMcT0002408.1
OG0003230	SGUI1_46930.1	h1SMcT0003929.1, h1SMcT0003929.2
OG0003231	SGUI1_17420.1	h1SMcT0002079.1
OG0003232	SGUI1_10060.1	h1SMcT0008345.1, h1SMcT0008345.2, h1SMcT0008345.3, h1SMcT0008345.5, h1SMcT0008345.4
OG0003233	SGUI1_21640.1	h1SMcT0020211.1, h1SMcT0020211.2
OG0003234	SGUI1_60940.1	h1SMcT0018532.1, h1SMcT0018532.2, h1SMcT0018532.3
OG0003235	SGUI1_84760.1	h1SMcT0008953.1
OG0003236	SGUI1_57720.1	h1SMcT0019053.1
OG0003238	SGUI1_65940.1, SGUI1_65940.2	h1SMcT0005250.1, h1SMcT0005250.3, h1SMcT0005250.2, h1SMcT0016407.1
OG0003239	SGUI1_82540.1	h1SMcT0019186.1
OG0003240	SGUI1_7560.1, SGUI1_7560.2	h1SMcT0005478.1, h1SMcT0005478.2
OG0003241	SGUI1_37440.1	h1SMcT0015281.1, h1SMcT0015339.1
OG0003242	SGUI1_53170.2, SGUI1_53170.3, SGUI1_53170.1, SGUI1_53170.4	h1SMcT0017993.1
OG0003244	SGUI1_53600.3, SGUI1_53600.1, SGUI1_53600.2	h1SMcT0000145.1, h1SMcT0000145.2
OG0003245	SGUI1_54190.1	h1SMcT0001501.1
OG0003247	SGUI1_20190.1	h1SMcT0013015.2
OG0003248	SGUI1_83720.1	h1SMcT0006664.1
OG0003249	SGUI1_64420.2, SGUI1_64420.1	h1SMcT0017197.1, h1SMcT0014117.2, h1SMcT0014117.1, h1SMcT0014117.3
OG0003250	SGUI1_70740.1	h1SMcT0001584.1, h1SMcT0001584.2, h1SMcT0001584.3, h1SMcT0011848.1, h1SMcT0011848.2, h1SMcT0019750.1, h1SMcT0019750.2, h1SMcT0019750.3, h1SMcT0019750.4, h1SMcT0019750.5, h1SMcT0019750.7, h1SMcT0019750.6
OG0003251	SGUI1_86940.1	h1SMcT0015003.1
OG0003252	SGUI1_42320.1	h1SMcT0010253.1, h1SMcT0010253.2
OG0003253	SGUI1_87440.1, SGUI1_87440.4, SGUI1_87440.2, SGUI1_87440.3	h1SMcT0011852.1, h1SMcT0011852.3, h1SMcT0011852.2
OG0003254	SGUI1_64720.2, SGUI1_64720.3, SGUI1_64720.1	h1SMcT0013451.1
OG0003256	SGUI1_84280.1	h1SMcT0016315.1
OG0003257	SGUI1_11860.1	h1SMcT0022346.1
OG0003258	SGUI1_43380.1	h1SMcT0012177.1
OG0003259	SGUI1_23240.1, SGUI1_23240.2, SGUI1_23240.3, SGUI1_23240.4	h1SMcT0001977.1, h1SMcT0011181.1, h1SMcT0019326.1
OG0003260	SGUI1_84530.6, SGUI1_84530.5, SGUI1_84530.1, SGUI1_84530.2, SGUI1_84530.4, SGUI1_84530.3	h1SMcT0003254.1
OG0003261	SGUI1_34440.1, SGUI1_34440.2, SGUI1_34440.4, SGUI1_34440.3	h1SMcT0016359.1, h1SMcT0016359.3, h1SMcT0016359.2
OG0003262	SGUI1_58370.1	h1SMcT0005125.2
OG0003263	SGUI1_4740.1, SGUI1_4740.2	h1SMcT0018045.1, h1SMcT0018045.2, h1SMcT0011264.1, h1SMcT0014569.1
OG0003265	SGUI1_41990.2, SGUI1_41990.1, SGUI1_41990.3	h1SMcT0005806.1
OG0003266	SGUI1_71570.1	h1SMcT0014086.1, h1SMcT0014086.2, h1SMcT0014086.3
OG0003267	SGUI1_20490.1, SGUI1_20490.2	h1SMcT0013687.3, h1SMcT0013687.1, h1SMcT0013687.2
