Orthogroup	schistosoma_spindale	schistosoma_haematobium
OG0001931	SSPN1_28250.1	SHAE2_31620.4, SHAE2_31620.5, SHAE2_31620.1, SHAE2_31620.2, SHAE2_31620.6, SHAE2_31620.7, SHAE2_31620.3
OG0001932	SSPN1_59700.1, SSPN1_59700.2, SSPN1_59700.3, SSPN1_59700.4	SHAE2_69160.1
OG0001933	SSPN1_24650.1	SHAE2_27960.4, SHAE2_27960.5, SHAE2_27960.3, SHAE2_27960.2, SHAE2_27960.1
OG0001934	SSPN1_41240.1	SHAE2_45390.1, SHAE2_45390.4, SHAE2_45390.2, SHAE2_45390.3
OG0001935	SSPN1_16670.7, SSPN1_16670.4, SSPN1_16670.3, SSPN1_16670.5, SSPN1_16670.6, SSPN1_16670.2, SSPN1_16670.1, SSPN1_16670.8	SHAE2_13910.4, SHAE2_13910.1, SHAE2_13910.2, SHAE2_13910.3
OG0001936	SSPN1_18850.5, SSPN1_18850.1, SSPN1_18850.3, SSPN1_18850.4, SSPN1_18850.6, SSPN1_18850.2, SSPN1_18850.7	SHAE2_13560.3, SHAE2_13560.4, SHAE2_13560.5, SHAE2_13560.1, SHAE2_13560.2
OG0001937	SSPN1_10570.1	SHAE2_19950.2, SHAE2_19950.1, SHAE2_19950.4, SHAE2_19950.5, SHAE2_19950.3
OG0001938	SSPN1_6410.1	SHAE2_7010.1
OG0001941	SSPN1_85160.1, SSPN1_85160.2	SHAE2_93670.1
OG0001942	SSPN1_26900.1	SHAE2_30260.1, SHAE2_30260.3, SHAE2_30260.2
OG0001943	SSPN1_11810.1	SHAE2_21200.2, SHAE2_21200.1, SHAE2_21200.3
OG0001944	SSPN1_65790.1, SSPN1_65790.2	SHAE2_72740.1, SHAE2_72740.2
OG0001945	SSPN1_92380.1, SSPN1_92370.1, SSPN1_92370.2	SHAE2_101410.1
OG0001946	SSPN1_29170.1	SHAE2_32490.1
OG0001947	SSPN1_40870.1, SSPN1_40880.1, SSPN1_40880.2	SHAE2_45040.2, SHAE2_45040.3, SHAE2_45040.1, SHAE2_45040.4, SHAE2_45040.5
OG0001948	SSPN1_85070.1	SHAE2_93570.1, SHAE2_93570.2
OG0001949	SSPN1_90590.2	SHAE2_99450.4, SHAE2_99450.3
OG0001950	SSPN1_80980.1	SHAE2_89420.1
OG0001951	SSPN1_6140.1, SSPN1_6140.2	SHAE2_6820.1, SHAE2_6820.2
OG0001952	SSPN1_44310.1, SSPN1_44310.2	SHAE2_49220.1
OG0001953	SSPN1_38550.1	SHAE2_34600.5, SHAE2_34600.1, SHAE2_34600.2, SHAE2_34600.4, SHAE2_34600.3, SHAE2_34600.6
OG0001954	SSPN1_15330.1, SSPN1_15350.1	SHAE2_17320.3, SHAE2_17320.2, SHAE2_17320.1
OG0001955	SSPN1_5180.1	SHAE2_5820.1, SHAE2_5820.2, SHAE2_5820.3, SHAE2_5820.4
OG0001956	SSPN1_73100.1, SSPN1_73100.2	SHAE2_80450.6, SHAE2_80450.4, SHAE2_80450.2, SHAE2_80450.1, SHAE2_80450.3, SHAE2_80450.5
OG0001957	SSPN1_15490.1	SHAE2_17150.2
OG0001957	SSPN1_15490.2, SSPN1_15490.3	SHAE2_17150.1
OG0001958	SSPN1_61260.1	SHAE2_67040.1, SHAE2_67040.2, SHAE2_67040.3, SHAE2_67040.4
OG0001959	SSPN1_29470.1	SHAE2_32770.1, SHAE2_32770.2, SHAE2_32770.3
OG0001960	SSPN1_28070.1	SHAE2_31430.1
OG0001961	SSPN1_65600.1	SHAE2_72890.1
OG0001962	SSPN1_10250.1	SHAE2_22590.1, SHAE2_22590.2
OG0001963	SSPN1_24990.1, SSPN1_24990.2	SHAE2_28280.2, SHAE2_28280.1, SHAE2_28280.3, SHAE2_28280.4
OG0001964	SSPN1_85010.1	SHAE2_93510.1
OG0001964	SSPN1_85000.1	SHAE2_93490.1
OG0001965	SSPN1_81010.1	SHAE2_89450.1
OG0001966	SSPN1_7150.1	SHAE2_7800.1
OG0001967	SSPN1_92060.1	SHAE2_101100.2, SHAE2_101100.5, SHAE2_101100.3, SHAE2_101100.4, SHAE2_101100.1
OG0001968	SSPN1_30370.5, SSPN1_30370.1, SSPN1_30370.2, SSPN1_30370.3, SSPN1_30370.4	SHAE2_33760.1, SHAE2_33760.2
OG0001969	SSPN1_28640.3, SSPN1_28640.2, SSPN1_28640.1	SHAE2_31680.7, SHAE2_31680.5, SHAE2_31680.4, SHAE2_31680.6, SHAE2_31680.1, SHAE2_31680.2, SHAE2_31680.3, SHAE2_31990.1
OG0001970	SSPN1_33550.1	SHAE2_40370.1
OG0001971	SSPN1_63790.3, SSPN1_63790.4, SSPN1_63790.7, SSPN1_63790.1, SSPN1_63790.6, SSPN1_63790.8, SSPN1_63790.5, SSPN1_63790.2	SHAE2_64530.1, SHAE2_64530.2, SHAE2_64530.3
OG0001972	SSPN1_58400.1, SSPN1_58400.4, SSPN1_58400.6, SSPN1_58400.3, SSPN1_58400.2, SSPN1_58400.5	SHAE2_70620.1
OG0001974	SSPN1_45690.1	SHAE2_50510.3, SHAE2_50510.1, SHAE2_50510.2
OG0001975	SSPN1_48280.1, SSPN1_48280.4, SSPN1_48280.3, SSPN1_48280.2	SHAE2_53150.1
OG0001976	SSPN1_3940.1	SHAE2_4570.5, SHAE2_4570.1, SHAE2_4570.3, SHAE2_4570.4
OG0001977	SSPN1_87780.1, SSPN1_87780.2, SSPN1_87780.3	SHAE2_96650.1
OG0001978	SSPN1_76360.1	SHAE2_83760.1, SHAE2_83760.3, SHAE2_83760.4, SHAE2_83760.2, SHAE2_83760.5, SHAE2_83760.6
OG0001979	SSPN1_49440.3, SSPN1_49440.4, SSPN1_49440.1, SSPN1_49440.5, SSPN1_49440.2	SHAE2_54500.3, SHAE2_54500.1, SHAE2_54500.6, SHAE2_54500.7, SHAE2_54500.5, SHAE2_54500.2, SHAE2_54500.4
OG0001980	SSPN1_62070.1, SSPN1_62070.2, SSPN1_62070.3, SSPN1_62070.4	SHAE2_66210.1
OG0001981	SSPN1_40860.1, SSPN1_40860.2, SSPN1_40860.3	SHAE2_45030.4, SHAE2_45030.3, SHAE2_45030.2, SHAE2_45030.1
OG0001982	SSPN1_36200.2, SSPN1_36200.3, SSPN1_36200.1	SHAE2_37530.1
OG0001983	SSPN1_81020.1	SHAE2_89460.1, SHAE2_89460.2, SHAE2_89460.3
OG0001984	SSPN1_85440.1, SSPN1_85440.2	SHAE2_93950.1, SHAE2_93950.3, SHAE2_93950.4, SHAE2_93950.2
OG0001985	SSPN1_32180.1	SHAE2_41770.1
OG0001986	SSPN1_51240.1	SHAE2_56220.1, SHAE2_56220.4, SHAE2_56220.2, SHAE2_56220.3, SHAE2_56220.5
OG0001987	SSPN1_32230.1	SHAE2_41720.1, SHAE2_41720.4, SHAE2_41720.2, SHAE2_41720.3
OG0001988	SSPN1_57320.1	SHAE2_63340.1, SHAE2_63340.3, SHAE2_63340.2
OG0001989	SSPN1_19980.5, SSPN1_19980.6, SSPN1_19980.1, SSPN1_19980.3, SSPN1_19980.2, SSPN1_19980.4	SHAE2_12360.2, SHAE2_12360.1, SHAE2_12360.3, SHAE2_12360.4
OG0001990	SSPN1_48040.1, SSPN1_48040.2	SHAE2_52880.1, SHAE2_52880.2
OG0001991	SSPN1_15520.1, SSPN1_15520.2, SSPN1_15520.3	SHAE2_17120.1, SHAE2_17120.2
OG0001992	SSPN1_46250.1	SHAE2_51040.1
OG0001993	SSPN1_72310.1	SHAE2_79630.1, SHAE2_79630.2
OG0001994	SSPN1_10040.1	SHAE2_22360.1, SHAE2_22360.2, SHAE2_22360.3
OG0001995	SSPN1_90560.1	SHAE2_99420.1, SHAE2_99420.2, SHAE2_99420.3, SHAE2_99420.4
OG0001996	SSPN1_80180.1	SHAE2_103360.1
OG0001996	SSPN1_80190.1	SHAE2_103350.1
OG0001997	SSPN1_8670.1, SSPN1_8670.2, SSPN1_8670.3	SHAE2_10620.2, SHAE2_10620.1, SHAE2_10620.3, SHAE2_10620.4, SHAE2_10620.5
OG0001998	SSPN1_87970.1, SSPN1_87970.2	SHAE2_96820.1
OG0001999	SSPN1_48150.1	SHAE2_53010.1
OG0002000	SSPN1_8850.1, SSPN1_8850.4, SSPN1_8850.3, SSPN1_8850.2	SHAE2_10960.1
OG0002001	SSPN1_18360.1	SHAE2_15680.3, SHAE2_15680.1, SHAE2_15680.2
OG0002002	SSPN1_35000.1, SSPN1_35000.3, SSPN1_35000.2	SHAE2_38760.1, SHAE2_38760.5, SHAE2_38760.4, SHAE2_38760.2, SHAE2_38760.3
OG0002003	SSPN1_48120.1, SSPN1_48120.2, SSPN1_48120.3, SSPN1_48120.4	SHAE2_52970.3, SHAE2_52970.4, SHAE2_52970.1, SHAE2_52970.2
OG0002004	SSPN1_4420.1	SHAE2_5090.2, SHAE2_5090.1
OG0002005	SSPN1_53830.1	SHAE2_59260.1
OG0002006	SSPN1_72170.1	SHAE2_79490.1, SHAE2_79490.2
OG0002007	SSPN1_66510.1	SHAE2_73570.1, SHAE2_73560.1
OG0002008	SSPN1_62170.3, SSPN1_62170.1, SSPN1_62170.2, SSPN1_62170.4	SHAE2_66110.2, SHAE2_66110.1, SHAE2_66110.3
OG0002009	SSPN1_37100.4, SSPN1_37100.1, SSPN1_37100.2, SSPN1_37100.3, SSPN1_37100.5	SHAE2_36640.1, SHAE2_36640.3, SHAE2_36640.2
OG0002010	SSPN1_50150.7, SSPN1_50150.1, SSPN1_50150.2, SSPN1_50150.3, SSPN1_50150.4, SSPN1_50150.5, SSPN1_50150.6	SHAE2_55150.1
OG0002011	SSPN1_72830.1	SHAE2_80210.1, SHAE2_80210.2
OG0002012	SSPN1_9190.1	SHAE2_11210.1
OG0002012	SSPN1_9130.1	SHAE2_11120.1
OG0002013	SSPN1_49450.2, SSPN1_49450.4	SHAE2_54490.2
OG0002014	SSPN1_65220.3, SSPN1_65220.1, SSPN1_65220.2	SHAE2_68270.1
OG0002015	SSPN1_84090.1	SHAE2_92470.1, SHAE2_92470.2
OG0002016	SSPN1_61550.1	SHAE2_66790.1, SHAE2_66790.2, SHAE2_66790.4, SHAE2_66790.3
OG0002017	SSPN1_59310.1	SHAE2_69590.1
OG0002018	SSPN1_68470.1, SSPN1_68460.1	SHAE2_75620.1, SHAE2_75610.1
OG0002019	SSPN1_70070.2, SSPN1_70070.4, SSPN1_70070.7, SSPN1_70070.1, SSPN1_70070.3, SSPN1_70070.5, SSPN1_70070.6	SHAE2_77370.3, SHAE2_77370.1, SHAE2_77370.2, SHAE2_77370.4
OG0002020	SSPN1_58920.1	SHAE2_70020.5, SHAE2_70020.3, SHAE2_70020.4, SHAE2_70020.1, SHAE2_70020.2, SHAE2_70020.6, SHAE2_70020.8, SHAE2_70020.7
OG0002021	SSPN1_69120.1	SHAE2_76300.1
OG0002023	SSPN1_57350.1, SSPN1_57350.2, SSPN1_57350.3, SSPN1_57350.4	SHAE2_71880.1
OG0002024	SSPN1_23270.3, SSPN1_23270.4, SSPN1_23270.1, SSPN1_23270.2	SHAE2_26530.2, SHAE2_26530.3, SHAE2_26530.1, SHAE2_26530.4
OG0002025	SSPN1_61570.1	SHAE2_66770.1, SHAE2_66770.2, SHAE2_66770.3, SHAE2_66770.5, SHAE2_66770.4
OG0002026	SSPN1_4720.1	SHAE2_5400.1
OG0002027	SSPN1_78350.1	SHAE2_90970.1, SHAE2_90970.2
OG0002028	SSPN1_50950.3, SSPN1_50950.1, SSPN1_50950.2, SSPN1_50950.4	SHAE2_55950.1, SHAE2_55950.2, SHAE2_55950.3
OG0002029	SSPN1_38230.1	SHAE2_34950.6, SHAE2_34950.4, SHAE2_34950.3, SHAE2_34950.7, SHAE2_34950.8, SHAE2_34950.2, SHAE2_34950.9, SHAE2_34950.5, SHAE2_34950.1
OG0002030	SSPN1_61990.1	SHAE2_66290.4, SHAE2_66290.2, SHAE2_66290.3, SHAE2_66290.1
OG0002031	SSPN1_1730.3, SSPN1_1730.4, SSPN1_1730.2, SSPN1_1730.1, SSPN1_1730.5	SHAE2_2080.2, SHAE2_2080.3, SHAE2_2080.5, SHAE2_2080.1, SHAE2_2080.4
OG0002032	SSPN1_90020.3, SSPN1_90020.1, SSPN1_90020.2	SHAE2_98890.1
OG0002033	SSPN1_64040.1, SSPN1_64040.2	SHAE2_64250.2, SHAE2_64250.1
OG0002034	SSPN1_60420.1, SSPN1_60420.2	SHAE2_72540.1, SHAE2_72540.2
OG0002035	SSPN1_18450.1	SHAE2_15800.1, SHAE2_15790.1
OG0002036	SSPN1_84230.1	SHAE2_92600.1
OG0002037	SSPN1_52660.1	SHAE2_57680.1
OG0002038	SSPN1_42400.1, SSPN1_42400.2, SSPN1_42400.3	SHAE2_46630.2, SHAE2_46630.5, SHAE2_46630.3, SHAE2_46630.4, SHAE2_46630.1
OG0002039	SSPN1_48220.1	SHAE2_53090.2, SHAE2_53090.1, SHAE2_53090.3, SHAE2_53090.4
OG0002040	SSPN1_2620.1	SHAE2_3010.1
OG0002041	SSPN1_71760.1, SSPN1_71760.2	SHAE2_79110.1, SHAE2_79110.2
OG0002042	SSPN1_18340.1	SHAE2_15660.4, SHAE2_15660.3, SHAE2_15660.2, SHAE2_15660.1
OG0002043	SSPN1_60880.1, SSPN1_60880.2, SSPN1_60880.3	SHAE2_67260.1
OG0002044	SSPN1_7430.2, SSPN1_7430.1	SHAE2_8040.1
OG0002045	SSPN1_81920.1, SSPN1_81920.2, SSPN1_81920.3	SHAE2_90730.1
OG0002046	SSPN1_72070.1, SSPN1_72070.3, SSPN1_72070.4, SSPN1_72070.5, SSPN1_72070.2	SHAE2_79390.5, SHAE2_79390.1, SHAE2_79390.2, SHAE2_79390.3, SHAE2_79390.4
OG0002047	SSPN1_82150.1	SHAE2_90510.1, SHAE2_90510.3, SHAE2_90510.2
OG0002048	SSPN1_14400.1, SSPN1_14400.2, SSPN1_14400.3	SHAE2_18400.1, SHAE2_18400.2
OG0002049	SSPN1_87360.2, SSPN1_87360.1, SSPN1_87360.3, SSPN1_87360.4	SHAE2_96100.1, SHAE2_96100.2
OG0002050	SSPN1_52140.1, SSPN1_52140.3, SSPN1_52140.2, SSPN1_52140.4	SHAE2_57160.2, SHAE2_57160.3, SHAE2_57160.1
OG0002051	SSPN1_29340.1, SSPN1_29340.2, SSPN1_29340.3	SHAE2_32640.1, SHAE2_32640.2
OG0002052	SSPN1_41890.1, SSPN1_41890.2	SHAE2_46130.1
OG0002053	SSPN1_74360.5, SSPN1_74360.1, SSPN1_74360.3, SSPN1_74360.2, SSPN1_74360.4	SHAE2_81670.1, SHAE2_81670.5, SHAE2_81670.9, SHAE2_81670.8, SHAE2_81670.2, SHAE2_81670.4, SHAE2_81670.3, SHAE2_81670.7, SHAE2_81670.6
OG0002054	SSPN1_68010.1, SSPN1_68010.2, SSPN1_68010.3	SHAE2_75180.1, SHAE2_75180.2
OG0002055	SSPN1_56100.1	SHAE2_61990.1, SHAE2_61990.2, SHAE2_61990.3
OG0002056	SSPN1_86370.1	SHAE2_95130.1
OG0002057	SSPN1_48340.1, SSPN1_48340.2	SHAE2_53220.2, SHAE2_53220.1, SHAE2_53220.3
OG0002059	SSPN1_42980.2, SSPN1_42980.1, SSPN1_42980.5, SSPN1_42980.6, SSPN1_42980.3, SSPN1_42980.4	SHAE2_47270.2, SHAE2_47270.1, SHAE2_47270.5, SHAE2_47270.3, SHAE2_47270.4
OG0002060	SSPN1_7330.1, SSPN1_7330.2	SHAE2_7910.1, SHAE2_7910.2, SHAE2_7910.3, SHAE2_7910.4
OG0002061	SSPN1_4550.1	SHAE2_5230.2, SHAE2_5230.3, SHAE2_5230.5, SHAE2_5230.1, SHAE2_5230.4
OG0002062	SSPN1_57590.4, SSPN1_57590.1, SSPN1_57590.5, SSPN1_57590.13, SSPN1_57590.7, SSPN1_57590.14, SSPN1_57590.8, SSPN1_57590.11, SSPN1_57590.12, SSPN1_57590.2, SSPN1_57590.3, SSPN1_57590.15, SSPN1_57590.16, SSPN1_57590.18, SSPN1_57590.17, SSPN1_57590.10, SSPN1_57590.6, SSPN1_57590.9	SHAE2_71610.1
OG0002063	SSPN1_43060.1	SHAE2_47360.1, SHAE2_47360.2, SHAE2_47360.3
OG0002064	SSPN1_20420.4, SSPN1_20420.5, SSPN1_20420.1, SSPN1_20420.2, SSPN1_20420.3, SSPN1_20420.6, SSPN1_20420.7	SHAE2_11880.1, SHAE2_11880.2
OG0002066	SSPN1_72670.1	SHAE2_79990.1
OG0002066	SSPN1_72700.1	SHAE2_80080.1
OG0002067	SSPN1_57110.1, SSPN1_57110.2, SSPN1_57110.5, SSPN1_57110.3, SSPN1_57110.4	SHAE2_63110.3, SHAE2_63110.1, SHAE2_63110.2
OG0002068	SSPN1_16680.1, SSPN1_16690.1	SHAE2_13920.1, SHAE2_13920.4, SHAE2_13920.5, SHAE2_13920.2, SHAE2_13920.3
OG0002069	SSPN1_57000.1	SHAE2_94180.1
OG0002069	SSPN1_3300.1	SHAE2_71030.1
OG0002070	SSPN1_57150.4, SSPN1_57150.1, SSPN1_57150.2, SSPN1_57150.3	SHAE2_63140.2, SHAE2_63140.3, SHAE2_63140.5, SHAE2_63140.6, SHAE2_63140.1, SHAE2_63140.4
OG0002073	SSPN1_91330.1, SSPN1_91330.2	SHAE2_100310.1
OG0002074	SSPN1_11840.1	SHAE2_21230.1, SHAE2_21230.3, SHAE2_21230.2
OG0002075	SSPN1_19910.1, SSPN1_19910.2	SHAE2_12420.1
OG0002076	SSPN1_40510.1	SHAE2_44660.1
OG0002077	SSPN1_18210.1	SHAE2_15500.1, SHAE2_15480.1, SHAE2_15480.2
OG0002078	SSPN1_33360.1	SHAE2_40570.1
OG0002079	SSPN1_33160.4, SSPN1_33160.1, SSPN1_33160.5, SSPN1_33160.2, SSPN1_33160.3	SHAE2_40770.1
OG0002080	SSPN1_49470.1, SSPN1_49470.2	SHAE2_54470.1, SHAE2_54470.2, SHAE2_54470.3
OG0002081	SSPN1_79550.3, SSPN1_79550.1, SSPN1_79550.2, SSPN1_79550.4	SHAE2_86970.1
OG0002082	SSPN1_64740.1	SHAE2_63480.1
OG0002082	SSPN1_64730.1	SHAE2_63490.1
OG0002083	SSPN1_43160.1	SHAE2_47460.1, SHAE2_47460.2, SHAE2_47460.3, SHAE2_47460.4, SHAE2_47460.5, SHAE2_47460.6
OG0002084	SSPN1_10690.1	SHAE2_20070.1
OG0002085	SSPN1_63120.1	SHAE2_65210.1
OG0002086	SSPN1_40090.1, SSPN1_40090.2	SHAE2_44280.2, SHAE2_44280.1, SHAE2_44280.3
OG0002087	SSPN1_37410.1, SSPN1_37410.2, SSPN1_37410.3	SHAE2_36350.1
OG0002088	SSPN1_26610.1, SSPN1_26610.2, SSPN1_26610.3	SHAE2_29960.1, SHAE2_29960.4, SHAE2_29960.2, SHAE2_29960.3
OG0002089	SSPN1_44570.1	SHAE2_48970.1, SHAE2_48970.2, SHAE2_48970.3
OG0002090	SSPN1_52650.1	SHAE2_57670.2, SHAE2_57670.1
OG0002091	SSPN1_51080.1	SHAE2_56080.4, SHAE2_56080.3, SHAE2_56080.5, SHAE2_56080.1, SHAE2_56080.2
OG0002092	SSPN1_31930.3, SSPN1_31930.2, SSPN1_31930.1	SHAE2_41990.5, SHAE2_41990.4, SHAE2_41990.3, SHAE2_41990.1, SHAE2_41990.2
OG0002093	SSPN1_24510.1, SSPN1_24510.2	SHAE2_27830.7, SHAE2_27830.5, SHAE2_27830.9, SHAE2_27830.6, SHAE2_27830.4, SHAE2_27830.1, SHAE2_27830.2, SHAE2_27830.3
OG0002094	SSPN1_4890.1	SHAE2_5550.2, SHAE2_5550.3, SHAE2_5550.1
OG0002095	SSPN1_14430.3, SSPN1_14430.5, SSPN1_14430.2, SSPN1_14430.1, SSPN1_14430.4	SHAE2_18340.5, SHAE2_18340.1, SHAE2_18340.3, SHAE2_18340.2, SHAE2_18340.4
OG0002096	SSPN1_27670.1, SSPN1_27670.2	SHAE2_31030.3, SHAE2_31030.6, SHAE2_31030.4, SHAE2_31030.5, SHAE2_31030.1, SHAE2_31030.2
OG0002097	SSPN1_5300.1, SSPN1_5300.2, SSPN1_5300.3, SSPN1_5300.5, SSPN1_5300.4, SSPN1_5300.6	SHAE2_5920.1, SHAE2_5920.2
OG0002098	SSPN1_59960.1, SSPN1_59960.2, SSPN1_59960.3	SHAE2_68840.1
OG0002099	SSPN1_32050.1	SHAE2_41870.1
OG0002100	SSPN1_27180.1	SHAE2_30570.1, SHAE2_30570.2
OG0002101	SSPN1_86840.1, SSPN1_86840.2, SSPN1_86860.1	SHAE2_94560.2, SHAE2_94560.6, SHAE2_94560.5, SHAE2_94560.1, SHAE2_94560.4, SHAE2_94560.3
OG0002102	SSPN1_23450.1	SHAE2_26700.1
OG0002102	SSPN1_24190.1	SHAE2_27530.1
OG0002103	SSPN1_41700.1, SSPN1_41700.2	SHAE2_45910.1, SHAE2_45910.2
OG0002104	SSPN1_29830.3, SSPN1_29830.1, SSPN1_29830.2	SHAE2_33200.2, SHAE2_33200.1, SHAE2_33200.3
OG0002105	SSPN1_24820.1, SSPN1_24820.2, SSPN1_24820.3	SHAE2_28090.1, SHAE2_28090.4, SHAE2_28090.3, SHAE2_28090.2
OG0002107	SSPN1_64300.1	SHAE2_63980.1, SHAE2_63980.5, SHAE2_63980.2, SHAE2_63980.4, SHAE2_63980.6, SHAE2_63980.3
OG0002108	SSPN1_87370.1	SHAE2_96110.1
OG0002108	SSPN1_77770.1	SHAE2_85260.1, SHAE2_85260.2
OG0002109	SSPN1_43950.1, SSPN1_43950.2, SSPN1_43950.4, SSPN1_43950.3	SHAE2_48430.2, SHAE2_48430.1, SHAE2_48430.5, SHAE2_48430.4, SHAE2_48430.3
OG0002110	SSPN1_68260.1, SSPN1_68260.2, SSPN1_68260.3	SHAE2_75430.1
OG0002111	SSPN1_41140.1	SHAE2_45300.1, SHAE2_45300.2
OG0002112	SSPN1_56710.1, SSPN1_56710.2, SSPN1_56710.3	SHAE2_62620.2, SHAE2_62620.1
OG0002113	SSPN1_87170.1, SSPN1_87170.2, SSPN1_87170.3, SSPN1_87170.4, SSPN1_87170.5	SHAE2_95880.1
OG0002114	SSPN1_23200.1	SHAE2_103270.1
OG0002116	SSPN1_38350.1	SHAE2_34840.1
OG0002117	SSPN1_4470.1, SSPN1_4470.2, SSPN1_4470.3, SSPN1_4470.4, SSPN1_4470.5, SSPN1_4470.6, SSPN1_4470.7, SSPN1_4470.8, SSPN1_4470.9	SHAE2_5130.1, SHAE2_5130.2, SHAE2_5130.3
OG0002118	SSPN1_44420.1	SHAE2_49070.1
OG0002118	SSPN1_44410.1	SHAE2_49080.1
OG0002119	SSPN1_81150.1, SSPN1_81150.2, SSPN1_81150.3	SHAE2_89580.1
OG0002120	SSPN1_6270.1, SSPN1_6270.2, SSPN1_6270.3, SSPN1_6270.4	SHAE2_6890.1, SHAE2_6890.3, SHAE2_6890.5, SHAE2_6890.2, SHAE2_6890.4
OG0002121	SSPN1_6280.1, SSPN1_6280.2, SSPN1_6280.3, SSPN1_6280.4	SHAE2_6900.1
OG0002122	SSPN1_30290.2, SSPN1_30290.1, SSPN1_30290.3	SHAE2_33680.2, SHAE2_33680.3, SHAE2_33680.4, SHAE2_33680.5, SHAE2_33680.1
OG0002123	SSPN1_28220.1	SHAE2_31600.2, SHAE2_31600.1
OG0002124	SSPN1_10020.1, SSPN1_10030.1	SHAE2_22350.7, SHAE2_22350.6, SHAE2_22350.4, SHAE2_22350.3, SHAE2_22350.1, SHAE2_22350.5, SHAE2_22350.2
OG0002125	SSPN1_92510.1	SHAE2_101530.1, SHAE2_101530.2
OG0002126	SSPN1_3020.3	SHAE2_3650.2, SHAE2_3650.3, SHAE2_3650.1
OG0002127	SSPN1_64500.1	SHAE2_63740.3, SHAE2_63740.4, SHAE2_63740.1, SHAE2_63740.2
OG0002128	SSPN1_6440.1	SHAE2_7080.1, SHAE2_7080.2, SHAE2_7080.3, SHAE2_7080.4
OG0002129	SSPN1_50220.1	SHAE2_55220.1
OG0002130	SSPN1_23620.1, SSPN1_23620.3, SSPN1_23620.2	SHAE2_26850.1
OG0002131	SSPN1_39310.3, SSPN1_39310.4, SSPN1_39310.1, SSPN1_39310.2	SHAE2_43480.1, SHAE2_43480.2, SHAE2_43480.3
OG0002132	SSPN1_53310.3, SSPN1_53310.4, SSPN1_53310.2, SSPN1_53310.1	SHAE2_58370.1, SHAE2_58370.2
OG0002133	SSPN1_45830.1	SHAE2_50660.5, SHAE2_50660.1, SHAE2_50660.2, SHAE2_50660.3, SHAE2_50660.4
OG0002134	SSPN1_34020.1	SHAE2_39880.2, SHAE2_39880.3, SHAE2_39880.1
OG0002135	SSPN1_25040.3, SSPN1_25040.7, SSPN1_25040.1, SSPN1_25040.4, SSPN1_25040.5, SSPN1_25040.6, SSPN1_25040.2	SHAE2_28340.1, SHAE2_28340.2
OG0002136	SSPN1_89440.1, SSPN1_89440.2, SSPN1_89440.3	SHAE2_98330.1, SHAE2_98330.2
OG0002137	SSPN1_75660.1, SSPN1_75660.2	SHAE2_83060.1
OG0002138	SSPN1_29960.1	SHAE2_33380.2, SHAE2_33380.1, SHAE2_33370.1
OG0002139	SSPN1_61170.5	SHAE2_67140.1, SHAE2_67140.3, SHAE2_67140.4, SHAE2_67140.2
OG0002140	SSPN1_7280.1, SSPN1_7280.2	SHAE2_7850.2, SHAE2_7850.4, SHAE2_7850.1, SHAE2_7850.3
OG0002141	SSPN1_56820.1	SHAE2_62740.1
OG0002142	SSPN1_82710.1, SSPN1_82710.2	SHAE2_91260.4, SHAE2_91260.1, SHAE2_91260.2, SHAE2_91260.3
OG0002143	SSPN1_44360.1	SHAE2_49200.1, SHAE2_49150.1
OG0002144	SSPN1_25300.1	SHAE2_28630.1
OG0002145	SSPN1_29450.1, SSPN1_29450.2	SHAE2_32750.1, SHAE2_32750.2
OG0002146	SSPN1_14160.1	SHAE2_18640.1, SHAE2_18640.2, SHAE2_18640.3
OG0002147	SSPN1_48200.1	SHAE2_53070.2, SHAE2_53070.3, SHAE2_53070.1, SHAE2_53070.4
OG0002148	SSPN1_6030.4, SSPN1_6030.1, SSPN1_6030.3, SSPN1_6030.2, SSPN1_6030.5	SHAE2_6670.1, SHAE2_6670.2, SHAE2_6670.3
OG0002149	SSPN1_51900.1	SHAE2_56900.1
OG0002150	SSPN1_60410.5, SSPN1_60410.4, SSPN1_60410.1, SSPN1_60410.2, SSPN1_60410.3, SSPN1_60410.6	SHAE2_72520.1
OG0002151	SSPN1_48060.1, SSPN1_48070.1	SHAE2_52910.1, SHAE2_52920.1
OG0002151	SSPN1_78940.1, SSPN1_78940.2	SHAE2_86310.1
OG0002152	SSPN1_71300.1, SSPN1_71300.2, SSPN1_71290.1	SHAE2_78590.1, SHAE2_78590.2
OG0002153	SSPN1_7020.1, SSPN1_7020.2	SHAE2_7700.3, SHAE2_7700.2, SHAE2_7700.4, SHAE2_7700.5, SHAE2_7700.1
OG0002154	SSPN1_34510.5, SSPN1_34510.7, SSPN1_34510.6	SHAE2_39340.1
OG0002155	SSPN1_22950.1, SSPN1_22950.2, SSPN1_22950.3	SHAE2_26270.1, SHAE2_26270.2
OG0002156	SSPN1_85320.1, SSPN1_85320.2	SHAE2_93830.1, SHAE2_93830.2
OG0002157	SSPN1_61730.1	SHAE2_66590.1, SHAE2_66590.2, SHAE2_66590.3, SHAE2_66590.4, SHAE2_66590.5
OG0002158	SSPN1_73770.1, SSPN1_73770.2, SSPN1_73770.3	SHAE2_81070.1
OG0002159	SSPN1_71820.1, SSPN1_71820.2	SHAE2_79170.1, SHAE2_79170.2, SHAE2_79170.3
