Orthogroup	trichobilharzia_regenti	schistosoma_bovis
OG0002873	TREG1_128400.1	SBOV2_90870.1
OG0002874	TREG1_41480.1	SBOV2_28170.1, SBOV2_28170.2
OG0002875	TREG1_71400.1	SBOV2_54400.1
OG0002876	TREG1_95470.1, TREG1_95480.1	SBOV2_70270.2, SBOV2_70270.1, SBOV2_70270.3
OG0002877	TREG1_86940.1, TREG1_86940.2, TREG1_86940.3, TREG1_86940.4, TREG1_86940.5, TREG1_86940.6	SBOV2_60210.1
OG0002878	TREG1_79750.1	SBOV2_63360.1, SBOV2_63360.2, SBOV2_63360.3
OG0002880	TREG1_85180.1, TREG1_24810.1, TREG1_24810.2	SBOV2_21190.1
OG0002881	TREG1_81690.2, TREG1_81690.3, TREG1_81690.4, TREG1_81690.5, TREG1_81690.6, TREG1_81690.7, TREG1_81690.1	SBOV2_58740.1
OG0002882	TREG1_22770.1	SBOV2_17750.1
OG0002882	TREG1_22790.1	SBOV2_17760.1
OG0002883	TREG1_19630.1, TREG1_19630.2, TREG1_19630.3, TREG1_19630.4, TREG1_70630.1, TREG1_83000.1	SBOV2_54300.1, SBOV2_54300.2, SBOV2_54300.3
OG0002884	TREG1_88830.1	SBOV2_64600.3, SBOV2_64600.4, SBOV2_64600.1, SBOV2_64600.2
OG0002885	TREG1_63900.1	SBOV2_46120.1, SBOV2_46120.2
OG0002886	TREG1_102880.1	SBOV2_73540.1
OG0002889	TREG1_114190.1	SBOV2_81300.4, SBOV2_81300.3, SBOV2_81300.1, SBOV2_81310.1, SBOV2_81300.2, SBOV2_81300.5, SBOV2_81300.6
OG0002890	TREG1_38000.1, TREG1_38000.2	SBOV2_39900.1, SBOV2_39900.2, SBOV2_39900.3, SBOV2_39900.4, SBOV2_39900.5
OG0002892	TREG1_105580.1	SBOV2_75450.1, SBOV2_75440.1
OG0002893	TREG1_72420.1, TREG1_144340.1, TREG1_145370.4, TREG1_145370.2, TREG1_145370.1, TREG1_145370.3, TREG1_145370.5	SBOV2_8300.1, SBOV2_8300.2
OG0002894	TREG1_114200.3, TREG1_114200.2, TREG1_114200.1	SBOV2_81270.1
OG0002895	TREG1_132720.1	SBOV2_92850.1, SBOV2_94170.3, SBOV2_94170.4, SBOV2_94170.1, SBOV2_94170.2
OG0002896	TREG1_58650.1, TREG1_58650.2	SBOV2_24110.1
OG0002897	TREG1_35840.2, TREG1_35840.4, TREG1_35840.6, TREG1_35840.8, TREG1_35840.9, TREG1_35840.1, TREG1_35840.7, TREG1_35840.3, TREG1_35840.5, TREG1_35840.10	SBOV2_24740.1, SBOV2_24740.2
OG0002902	TREG1_43820.1	SBOV2_28480.3, SBOV2_28480.2, SBOV2_28480.1
OG0002903	TREG1_96970.1, TREG1_96970.2, TREG1_96970.3	SBOV2_71110.1
OG0002904	TREG1_26410.3, TREG1_26410.1, TREG1_26410.2, TREG1_26410.5, TREG1_26410.6, TREG1_26410.7, TREG1_26410.8, TREG1_26410.9, TREG1_26410.4	SBOV2_21720.1
OG0002905	TREG1_89410.1	SBOV2_65980.3, SBOV2_65980.1, SBOV2_65980.4, SBOV2_65980.5, SBOV2_65980.2
OG0002906	TREG1_47090.1, TREG1_47090.2	SBOV2_38570.1
OG0002907	TREG1_19040.1, TREG1_19040.2, TREG1_19040.3, TREG1_19040.4, TREG1_19040.5	SBOV2_5390.1, SBOV2_5390.2, SBOV2_5390.3
OG0002908	TREG1_82890.3, TREG1_82890.1, TREG1_82890.2	SBOV2_68100.1, SBOV2_68100.2
OG0002909	TREG1_111310.1	SBOV2_80500.1, SBOV2_80500.2, SBOV2_80500.3, SBOV2_80500.4, SBOV2_80500.5, SBOV2_80500.6
OG0002910	TREG1_27380.1	SBOV2_18000.1
OG0002912	TREG1_89090.1	SBOV2_64340.3, SBOV2_64340.1, SBOV2_64340.2, SBOV2_64350.3, SBOV2_64350.1, SBOV2_64350.2
OG0002913	TREG1_12470.1	SBOV2_9900.1, SBOV2_9900.2
OG0002914	TREG1_9380.1	SBOV2_15990.1
OG0002915	TREG1_104630.1, TREG1_104630.2	SBOV2_76480.1
OG0002916	TREG1_10510.1, TREG1_10510.2, TREG1_10510.4, TREG1_10510.3	SBOV2_16910.1, SBOV2_16910.2
OG0002917	TREG1_32230.1	SBOV2_22490.1
OG0002918	TREG1_111300.1, TREG1_111300.2	SBOV2_80510.2, SBOV2_80510.3, SBOV2_80510.1
OG0002919	TREG1_122150.1, TREG1_122160.1	SBOV2_85220.1
OG0002920	TREG1_42530.1, TREG1_42530.2, TREG1_42530.3	SBOV2_42140.1, SBOV2_42150.1
OG0002921	TREG1_132840.3, TREG1_132840.4, TREG1_132840.1, TREG1_132840.2	SBOV2_94060.1, SBOV2_94060.2
OG0002922	TREG1_106970.1	SBOV2_75520.3, SBOV2_75520.2, SBOV2_75520.1
OG0002923	TREG1_83890.1	SBOV2_60390.1, SBOV2_60380.2, SBOV2_60380.3, SBOV2_60380.1
OG0002924	TREG1_15350.1, TREG1_15360.1	SBOV2_11650.1
OG0002925	TREG1_25680.1	SBOV2_12320.1, SBOV2_12320.3, SBOV2_12320.4, SBOV2_12320.5, SBOV2_12320.2
OG0002926	TREG1_47530.2, TREG1_47530.4, TREG1_47530.5, TREG1_47530.6, TREG1_47530.1, TREG1_47530.3, TREG1_47530.7	SBOV2_96370.1
OG0002927	TREG1_2100.1	SBOV2_9450.1, SBOV2_9450.2, SBOV2_9450.3, SBOV2_9450.4, SBOV2_9450.5, SBOV2_9450.6, SBOV2_9450.7
OG0002928	TREG1_107960.2, TREG1_107960.4, TREG1_107960.3, TREG1_107960.5, TREG1_107970.1	SBOV2_74070.1
OG0002929	TREG1_29370.3, TREG1_29370.2, TREG1_29360.1, TREG1_29370.1	SBOV2_21990.1
OG0002930	TREG1_45880.1	SBOV2_27290.1
OG0002931	TREG1_9920.6, TREG1_9920.3, TREG1_9920.4, TREG1_9920.7, TREG1_9920.5, TREG1_9920.2, TREG1_9920.1	SBOV2_1970.1
OG0002932	TREG1_31900.1	SBOV2_44180.1, SBOV2_44170.1
OG0002933	TREG1_34790.1, TREG1_34800.1, TREG1_34790.2	SBOV2_27550.1
OG0002934	TREG1_130510.1, TREG1_130510.2, TREG1_130510.3	SBOV2_92190.1
OG0002935	TREG1_82860.1, TREG1_82850.1	SBOV2_65380.1
OG0002936	TREG1_63540.1	SBOV2_46060.1
OG0002937	TREG1_41750.4, TREG1_41750.1, TREG1_41750.3, TREG1_41750.2	SBOV2_28870.1
OG0002939	TREG1_29540.1	SBOV2_12850.1
OG0002940	TREG1_64810.1	SBOV2_47400.4, SBOV2_47400.3, SBOV2_47400.1, SBOV2_47400.2
OG0002941	TREG1_77240.1, TREG1_77250.1	SBOV2_50520.1, SBOV2_50510.1
OG0002942	TREG1_104240.1	SBOV2_77480.1
OG0002942	TREG1_104220.1, TREG1_104230.1	SBOV2_77460.1
OG0002943	TREG1_104260.1	SBOV2_77510.1, SBOV2_77510.2, SBOV2_77510.4, SBOV2_77510.3
OG0002944	TREG1_13630.4, TREG1_13630.1, TREG1_13630.2, TREG1_13630.3	SBOV2_16960.1
OG0002945	TREG1_105990.1, TREG1_105990.4, TREG1_105990.3, TREG1_105990.2	SBOV2_76800.1, SBOV2_76800.2
OG0002947	TREG1_127350.1	SBOV2_88650.1, SBOV2_88660.1, SBOV2_88650.2, SBOV2_88650.3
OG0002948	TREG1_81390.1	SBOV2_60130.1
OG0002949	TREG1_32930.1, TREG1_53760.1	SBOV2_33560.2, SBOV2_33560.1, SBOV2_33560.3
OG0002950	TREG1_97980.1, TREG1_97980.2, TREG1_97980.3	SBOV2_69540.1
OG0002951	TREG1_33030.1	SBOV2_29860.1, SBOV2_29860.2
OG0002952	TREG1_75000.1, TREG1_75010.1, TREG1_75010.2, TREG1_75010.3, TREG1_75010.4	SBOV2_49770.1
OG0002953	TREG1_3010.1	SBOV2_3330.1, SBOV2_3330.2, SBOV2_3330.3, SBOV2_3330.4
OG0002954	TREG1_79650.4, TREG1_79650.1, TREG1_79650.2, TREG1_79650.3, TREG1_79650.5, TREG1_79650.6, TREG1_79650.7, TREG1_79650.8, TREG1_79650.9	SBOV2_59600.1
OG0002955	TREG1_106670.1	SBOV2_72900.2, SBOV2_72900.1
OG0002956	TREG1_134370.1, TREG1_134370.2, TREG1_134370.3	SBOV2_93790.1
OG0002957	TREG1_96720.1	SBOV2_69640.1, SBOV2_69640.4, SBOV2_69640.3, SBOV2_69640.2
OG0002958	TREG1_90850.1, TREG1_90850.2, TREG1_90850.3	SBOV2_66430.1, SBOV2_66430.2
OG0002959	TREG1_119830.1, TREG1_119830.2	SBOV2_86270.1, SBOV2_86270.2
OG0002960	TREG1_70930.1, TREG1_70930.2	SBOV2_48070.3, SBOV2_48070.4, SBOV2_48070.1, SBOV2_48070.2
OG0002961	TREG1_21530.1, TREG1_21530.2, TREG1_21530.3, TREG1_21530.4	SBOV2_18590.1
OG0002962	TREG1_89380.2, TREG1_89380.4, TREG1_89380.1, TREG1_89380.3	SBOV2_66010.1
OG0002963	TREG1_15620.1	SBOV2_13640.4, SBOV2_13640.1, SBOV2_13640.2, SBOV2_13640.3
OG0002964	TREG1_31510.1, TREG1_31510.4, TREG1_31510.2, TREG1_31510.3	SBOV2_24690.1, SBOV2_24690.2
OG0002965	TREG1_74260.1	SBOV2_91460.1, SBOV2_91460.3, SBOV2_91460.2
OG0002966	TREG1_34630.2, TREG1_34630.3, TREG1_34630.1, TREG1_34630.4	SBOV2_43270.1
OG0002967	TREG1_86580.1	SBOV2_60690.1
OG0002968	TREG1_21240.1, TREG1_21240.3, TREG1_21240.4, TREG1_21240.2, TREG1_21240.5	SBOV2_18800.1, SBOV2_18800.2
OG0002969	TREG1_70240.1, TREG1_70230.1	SBOV2_52840.1
OG0002970	TREG1_18710.1, TREG1_18710.2	SBOV2_9720.1
OG0002971	TREG1_89130.1	SBOV2_62590.4, SBOV2_62590.2, SBOV2_62590.5, SBOV2_62590.3, SBOV2_62590.1
OG0002972	TREG1_84410.1	SBOV2_61310.1, SBOV2_61310.3, SBOV2_61310.4, SBOV2_61310.2
OG0002973	TREG1_66240.1	SBOV2_47890.1
OG0002974	TREG1_47570.1, TREG1_47570.2	SBOV2_35130.3, SBOV2_35130.1, SBOV2_35130.2
OG0002975	TREG1_55510.1, TREG1_55510.2	SBOV2_29440.1
OG0002976	TREG1_87550.3, TREG1_87550.1, TREG1_87550.2, TREG1_87550.4, TREG1_87550.5	SBOV2_63040.1, SBOV2_63040.2, SBOV2_63040.3, SBOV2_63040.4, SBOV2_63040.5, SBOV2_63040.6
OG0002977	TREG1_7100.1	SBOV2_7430.1, SBOV2_7430.2, SBOV2_7430.3, SBOV2_7430.4
OG0002979	TREG1_24230.1, TREG1_24220.1	SBOV2_21160.1, SBOV2_21160.2
OG0002980	TREG1_46340.1, TREG1_46350.1	SBOV2_38260.1
OG0002981	TREG1_105250.1	SBOV2_74280.1
OG0002982	TREG1_61920.1	SBOV2_51910.2, SBOV2_51910.3, SBOV2_51910.1
OG0002983	TREG1_58620.1, TREG1_58620.3, TREG1_58620.5, TREG1_58620.2, TREG1_58620.4	SBOV2_24140.2, SBOV2_24140.1, SBOV2_24140.4, SBOV2_24140.3
OG0002984	TREG1_6620.1	SBOV2_12550.2, SBOV2_12550.3, SBOV2_12550.1, SBOV2_12550.4, SBOV2_12550.5
OG0002985	TREG1_1430.1	SBOV2_2180.1
OG0002986	TREG1_29920.4, TREG1_29920.2, TREG1_29920.1, TREG1_29920.3	SBOV2_9800.1
OG0002988	TREG1_130770.1, TREG1_130770.2, TREG1_130770.3, TREG1_130770.4, TREG1_130770.5	SBOV2_91520.1
OG0002989	TREG1_71650.1, TREG1_71660.3, TREG1_71660.1, TREG1_71660.2, TREG1_71640.1	SBOV2_48770.1, SBOV2_48770.2
OG0002990	TREG1_139220.1, TREG1_7010.1, TREG1_111050.1, TREG1_139210.1	SBOV2_80100.1
OG0002991	TREG1_41800.1	SBOV2_35640.2, SBOV2_35640.1
OG0002992	TREG1_98490.1, TREG1_98490.2	SBOV2_75000.6, SBOV2_75000.2, SBOV2_75000.5, SBOV2_75000.1, SBOV2_75000.3, SBOV2_75000.4
OG0002993	TREG1_112320.1, TREG1_112330.1	SBOV2_83180.1
OG0002994	TREG1_22680.1, TREG1_22690.1	SBOV2_18780.1
OG0002995	TREG1_129150.1, TREG1_129150.2, TREG1_129150.3	SBOV2_89130.1
OG0002996	TREG1_24460.1, TREG1_24460.2	SBOV2_14590.1, SBOV2_14590.2
OG0002997	TREG1_50700.2, TREG1_50700.3, TREG1_50700.1, TREG1_50700.4	SBOV2_33290.1
OG0002998	TREG1_30690.1	SBOV2_43830.1
OG0002999	TREG1_31850.1, TREG1_85310.1	SBOV2_60000.1, SBOV2_60000.2, SBOV2_60000.3
OG0003000	TREG1_33470.1, TREG1_33470.2	SBOV2_40510.4, SBOV2_40510.1, SBOV2_40510.5, SBOV2_40510.2, SBOV2_40510.3
OG0003001	TREG1_33540.3, TREG1_33540.1, TREG1_33540.2, TREG1_33430.1, TREG1_33540.4	SBOV2_40590.1, SBOV2_40590.2
OG0003002	TREG1_15010.1	SBOV2_19050.2, SBOV2_19050.3, SBOV2_19050.4, SBOV2_19050.1, SBOV2_19050.5
OG0003003	TREG1_132550.1	SBOV2_92700.1
OG0003004	TREG1_103810.1	SBOV2_74180.1, SBOV2_74180.2
OG0003005	TREG1_68940.2, TREG1_68940.4, TREG1_68940.1, TREG1_68940.3	SBOV2_51610.1, SBOV2_51610.2
OG0003006	TREG1_114320.1	SBOV2_84160.2, SBOV2_84160.1
OG0003007	TREG1_91730.1	SBOV2_60720.1, SBOV2_60720.2, SBOV2_60720.3
OG0003008	TREG1_57830.2, TREG1_57830.1, TREG1_57830.3, TREG1_57830.4, TREG1_57830.5	SBOV2_35590.1
OG0003009	TREG1_6050.1, TREG1_6050.2	SBOV2_6460.3, SBOV2_6460.1, SBOV2_6460.2
OG0003010	TREG1_95200.1	SBOV2_70140.1
OG0003011	TREG1_49010.1	SBOV2_37250.2, SBOV2_37250.1
OG0003012	TREG1_87760.5, TREG1_87760.6, TREG1_87760.3, TREG1_87760.4, TREG1_87760.1, TREG1_87760.2	SBOV2_61150.4, SBOV2_61150.1, SBOV2_61150.2, SBOV2_61150.3
OG0003013	TREG1_101500.1, TREG1_101500.2, TREG1_101500.3	SBOV2_77310.1
OG0003014	TREG1_63780.1, TREG1_63790.1	SBOV2_83420.1, SBOV2_83430.1, SBOV2_83430.4, SBOV2_83430.2, SBOV2_83430.3
OG0003015	TREG1_57710.1	SBOV2_42630.1, SBOV2_42620.1
OG0003016	TREG1_98760.1	SBOV2_74680.2, SBOV2_74680.1
OG0003017	TREG1_76370.1	SBOV2_49650.1
OG0003018	TREG1_132930.1, TREG1_132930.2	SBOV2_93570.1
OG0003019	TREG1_99090.1, TREG1_99090.3, TREG1_99090.4, TREG1_99090.5, TREG1_99090.2	SBOV2_73710.1, SBOV2_73710.2
OG0003020	TREG1_45430.1, TREG1_45430.2	SBOV2_38820.1, SBOV2_38820.2
OG0003021	TREG1_110640.1, TREG1_110620.1, TREG1_110650.1	SBOV2_83460.1
OG0003022	TREG1_54680.1	SBOV2_24420.1, SBOV2_24420.2
OG0003023	TREG1_110770.1, TREG1_110770.2, TREG1_110780.1	SBOV2_83370.2, SBOV2_83370.1
OG0003024	TREG1_108660.1	SBOV2_76860.1, SBOV2_76860.2, SBOV2_76860.3
OG0003025	TREG1_52890.1, TREG1_52890.2	SBOV2_30670.1
OG0003026	TREG1_53110.1, TREG1_53110.2, TREG1_53110.3	SBOV2_34440.1
OG0003027	TREG1_55360.5, TREG1_55360.1, TREG1_55360.3, TREG1_55360.4, TREG1_55360.2	SBOV2_16230.1, SBOV2_16220.1
OG0003028	TREG1_1720.1	SBOV2_9830.2, SBOV2_9830.1
OG0003029	TREG1_112920.1, TREG1_112920.2	SBOV2_81130.1
OG0003030	TREG1_15070.1, TREG1_15080.1	SBOV2_19000.1, SBOV2_19000.2
OG0003031	TREG1_81820.2, TREG1_81820.1, TREG1_81820.3, TREG1_81820.4	SBOV2_64060.1
OG0003032	TREG1_81500.1	SBOV2_58480.1
OG0003033	TREG1_71850.1, TREG1_71840.1	SBOV2_46210.5, SBOV2_46210.1, SBOV2_46210.2, SBOV2_46210.3, SBOV2_46210.4
OG0003034	TREG1_117800.1	SBOV2_81560.1, SBOV2_81560.2
OG0003036	TREG1_110270.1	SBOV2_83560.1, SBOV2_83580.1, SBOV2_83600.1, SBOV2_83610.1, SBOV2_83570.1, SBOV2_83610.2
OG0003037	TREG1_101240.1	SBOV2_78580.2, SBOV2_78580.1
OG0003038	TREG1_70110.1, TREG1_70220.1, TREG1_70220.2	SBOV2_53400.1, SBOV2_53400.2, SBOV2_53400.3
OG0003039	TREG1_62870.1	SBOV2_45370.1
OG0003040	TREG1_47660.1, TREG1_47660.2, TREG1_47660.3, TREG1_47650.1	SBOV2_37580.1
OG0003041	TREG1_51360.1	SBOV2_34740.1
OG0003042	TREG1_56800.1	SBOV2_26990.1
OG0003043	TREG1_64010.1, TREG1_63990.1	SBOV2_47230.1
OG0003044	TREG1_34530.1, TREG1_7400.1	SBOV2_7660.1
OG0003045	TREG1_69760.1, TREG1_69760.2, TREG1_69760.11, TREG1_69760.13, TREG1_69760.6, TREG1_69760.10, TREG1_69760.12, TREG1_69760.14, TREG1_69760.4, TREG1_69760.5, TREG1_69760.7, TREG1_69760.8, TREG1_69760.9, TREG1_69760.3	SBOV2_53910.1
OG0003046	TREG1_69750.1, TREG1_69750.2	SBOV2_53900.1
OG0003047	TREG1_20260.3, TREG1_20260.1, TREG1_20260.2	SBOV2_12680.1
OG0003048	TREG1_61360.1, TREG1_61360.2	SBOV2_45020.1
OG0003049	TREG1_61370.1, TREG1_61370.2	SBOV2_45010.2, SBOV2_45010.1
OG0003050	TREG1_104400.1, TREG1_104400.2	SBOV2_77630.3, SBOV2_77630.1, SBOV2_77630.2
OG0003051	TREG1_60340.1	SBOV2_23890.1
OG0003052	TREG1_89000.1	SBOV2_64420.1, SBOV2_64420.2, SBOV2_64420.3, SBOV2_64420.4
OG0003053	TREG1_38440.1	SBOV2_41030.2, SBOV2_41030.1, SBOV2_41030.3
OG0003054	TREG1_11220.3, TREG1_11220.1, TREG1_11220.2	SBOV2_8670.1
OG0003055	TREG1_75810.1	SBOV2_55700.1, SBOV2_55700.2, SBOV2_55700.3, SBOV2_55700.4
OG0003056	TREG1_11030.1	SBOV2_8560.1, SBOV2_8560.2
OG0003057	TREG1_87700.1, TREG1_87700.2	SBOV2_62890.1
OG0003058	TREG1_128100.1, TREG1_128100.2, TREG1_128100.3, TREG1_128100.4, TREG1_128100.5	SBOV2_91020.1, SBOV2_91020.2, SBOV2_91020.3
OG0003059	TREG1_44240.1	SBOV2_31680.1
OG0003060	TREG1_66600.1	SBOV2_53590.1, SBOV2_53580.1
OG0003061	TREG1_114010.1	SBOV2_81160.1, SBOV2_81160.2, SBOV2_81160.3
OG0003062	TREG1_127720.1, TREG1_127780.1	SBOV2_88360.1, SBOV2_88360.2
OG0003063	TREG1_16730.1	SBOV2_17230.1, SBOV2_17230.3, SBOV2_17230.2
OG0003064	TREG1_3970.1, TREG1_3970.3, TREG1_3970.2, TREG1_3970.4	SBOV2_7640.1
OG0003065	TREG1_142140.1, TREG1_27410.2, TREG1_27410.1, TREG1_27410.3	SBOV2_21230.1
OG0003066	TREG1_131470.1, TREG1_131470.2, TREG1_131470.4, TREG1_131470.6, TREG1_131470.3, TREG1_131470.5	SBOV2_93050.2, SBOV2_93050.1
OG0003067	TREG1_54630.1, TREG1_54630.5, TREG1_54630.7, TREG1_54630.3, TREG1_54630.4, TREG1_54630.2, TREG1_54630.6	SBOV2_24340.3, SBOV2_24340.4, SBOV2_24340.1, SBOV2_24340.2
OG0003068	TREG1_105230.1, TREG1_105230.2	SBOV2_75830.1
OG0003069	TREG1_95960.1	SBOV2_69810.5, SBOV2_69810.3, SBOV2_69810.4, SBOV2_69810.2, SBOV2_69810.1
OG0003070	TREG1_36640.1, TREG1_36640.2	SBOV2_32440.1
OG0003071	TREG1_83980.1	SBOV2_60310.5, SBOV2_60310.2, SBOV2_60310.3, SBOV2_60310.1, SBOV2_60310.4
OG0003072	TREG1_101260.1	SBOV2_78560.1
OG0003073	TREG1_88680.1	SBOV2_63520.1
OG0003074	TREG1_78350.1, TREG1_78350.2, TREG1_78350.3, TREG1_78350.4, TREG1_78350.5	SBOV2_58310.1
OG0003075	TREG1_77770.1	SBOV2_57020.1
OG0003076	TREG1_77840.1	SBOV2_56970.1
OG0003077	TREG1_99050.1, TREG1_99050.2	SBOV2_73740.1, SBOV2_73740.2
OG0003078	TREG1_86530.1	SBOV2_60780.1
OG0003079	TREG1_73860.1, TREG1_73860.2, TREG1_73860.3	SBOV2_55680.1, SBOV2_55680.2, SBOV2_55680.3
OG0003080	TREG1_25540.1	SBOV2_10760.1
OG0003081	TREG1_25770.1, TREG1_33630.1, TREG1_33620.1	SBOV2_14430.2, SBOV2_14430.5, SBOV2_14430.4, SBOV2_14430.1, SBOV2_14430.3
OG0003082	TREG1_76720.1	SBOV2_49430.1, SBOV2_49430.4, SBOV2_49430.3, SBOV2_49430.2
OG0003083	TREG1_109630.1	SBOV2_78320.1, SBOV2_78320.2
OG0003084	TREG1_105720.1, TREG1_105720.2, TREG1_105720.3, TREG1_105720.4	SBOV2_72040.1, SBOV2_72040.2, SBOV2_72040.6, SBOV2_72040.3, SBOV2_72040.4, SBOV2_72040.5
OG0003085	TREG1_37160.1	SBOV2_29040.1, SBOV2_29040.2
OG0003086	TREG1_82070.1, TREG1_82070.2, TREG1_82070.3	SBOV2_65510.1
OG0003087	TREG1_134640.1	SBOV2_94940.1
OG0003088	TREG1_21680.1, TREG1_21680.2, TREG1_21680.3	SBOV2_20030.4, SBOV2_20030.1, SBOV2_20030.3, SBOV2_20030.2
OG0003089	TREG1_16190.1, TREG1_16190.3, TREG1_16190.2	SBOV2_18090.2, SBOV2_18090.1
OG0003090	TREG1_41880.1, TREG1_41880.2	SBOV2_35730.1, SBOV2_35730.2
OG0003091	TREG1_131260.1	SBOV2_91560.1
OG0003094	TREG1_130650.1, TREG1_130590.1, TREG1_130570.1, TREG1_130570.2, TREG1_130630.1, TREG1_130630.2, TREG1_130630.4, TREG1_130630.3, TREG1_130640.1, TREG1_130660.1, TREG1_118930.1	SBOV2_89500.1, SBOV2_87820.1
OG0003095	TREG1_64720.1	SBOV2_47500.1
OG0003096	TREG1_100560.1	SBOV2_74750.1, SBOV2_74750.6, SBOV2_74750.3, SBOV2_74750.8, SBOV2_74750.2, SBOV2_74750.4, SBOV2_74750.5, SBOV2_74750.7
OG0003097	TREG1_81240.1	SBOV2_65700.1, SBOV2_65700.2, SBOV2_65700.3
OG0003098	TREG1_15650.1, TREG1_15660.1	SBOV2_15390.1
OG0003098	TREG1_27230.1	SBOV2_15400.1, SBOV2_15400.2
OG0003099	TREG1_42640.1, TREG1_42650.1	SBOV2_42290.1, SBOV2_42290.2, SBOV2_42290.4, SBOV2_42290.3
OG0003107	TREG1_75300.1, TREG1_75300.2, TREG1_75300.3	SBOV2_55510.1
OG0003108	TREG1_38810.1, TREG1_38800.1	SBOV2_41200.1, SBOV2_41200.2, SBOV2_41200.3, SBOV2_41200.4
OG0003109	TREG1_20030.1	SBOV2_14890.3, SBOV2_14890.1, SBOV2_14890.2
OG0003110	TREG1_14030.2, TREG1_14030.1, TREG1_13980.1, TREG1_13980.2, TREG1_13980.3, TREG1_14010.1, TREG1_14010.3, TREG1_14010.4, TREG1_14010.2, TREG1_14010.5, TREG1_14010.6	SBOV2_13880.1
OG0003111	TREG1_103310.1, TREG1_103320.1	SBOV2_71040.2, SBOV2_71040.1, SBOV2_71040.3
OG0003112	TREG1_91820.1	SBOV2_67360.1
OG0003114	TREG1_119860.1	SBOV2_86260.2, SBOV2_86260.3, SBOV2_86260.1
OG0003115	TREG1_106720.3, TREG1_106720.2, TREG1_106720.1	SBOV2_72960.1, SBOV2_72960.2
OG0003116	TREG1_124110.1, TREG1_124120.1	SBOV2_87410.1, SBOV2_87410.2, SBOV2_87410.3, SBOV2_87410.4, SBOV2_87410.5, SBOV2_87410.6
OG0003117	TREG1_21230.1, TREG1_21230.2, TREG1_21230.3	SBOV2_17960.1, SBOV2_17960.2, SBOV2_17960.3, SBOV2_17960.4
OG0003118	TREG1_57070.1, TREG1_57080.1	SBOV2_27140.1
OG0003119	TREG1_53210.1	SBOV2_34580.1, SBOV2_34580.2, SBOV2_34580.3
OG0003120	TREG1_103190.1	SBOV2_70040.1
OG0003121	TREG1_4740.1, TREG1_4740.2, TREG1_4740.3, TREG1_4740.4, TREG1_4740.5, TREG1_4740.6	SBOV2_1620.1
OG0003122	TREG1_600.1	SBOV2_480.1, SBOV2_480.3, SBOV2_480.2
OG0003123	TREG1_113620.1	SBOV2_82670.1
OG0003123	TREG1_113580.1	SBOV2_82760.1
OG0003124	TREG1_124860.1	SBOV2_89760.1
OG0003125	TREG1_102920.1, TREG1_102920.2	SBOV2_73530.3, SBOV2_73530.4, SBOV2_73530.5, SBOV2_73530.1, SBOV2_73530.2
OG0003126	TREG1_21510.4, TREG1_21510.5, TREG1_21510.1, TREG1_21510.2, TREG1_21510.3	SBOV2_18620.1
OG0003127	TREG1_121820.1	SBOV2_85480.1, SBOV2_85480.3, SBOV2_85480.2
OG0003128	TREG1_110930.1, TREG1_110930.2	SBOV2_81480.1, SBOV2_81480.2
OG0003130	TREG1_37620.1, TREG1_37620.4, TREG1_37620.2, TREG1_37620.3	SBOV2_39650.1
OG0003131	TREG1_139830.1, TREG1_104870.1, TREG1_139820.1, TREG1_139820.2	SBOV2_71650.1
OG0003132	TREG1_37570.1, TREG1_37570.2, TREG1_37570.3	SBOV2_23460.1
OG0003133	TREG1_81610.1	SBOV2_58820.1, SBOV2_58820.2, SBOV2_58820.3
OG0003134	TREG1_113920.6	SBOV2_96780.1
OG0003134	TREG1_113920.5, TREG1_113920.1, TREG1_113920.2, TREG1_113920.3, TREG1_113920.4	SBOV2_82820.1
OG0003136	TREG1_2010.1	SBOV2_9950.1, SBOV2_9950.2
OG0003137	TREG1_111930.1, TREG1_111940.1, TREG1_111920.1, TREG1_111910.1, TREG1_111920.2, TREG1_111920.3	SBOV2_80690.1, SBOV2_80690.2
OG0003138	TREG1_120710.1, TREG1_120710.2, TREG1_120710.3, TREG1_120710.4	SBOV2_87710.2, SBOV2_87710.1
OG0003139	TREG1_71670.1, TREG1_71670.2	SBOV2_48760.1, SBOV2_48760.2
OG0003141	TREG1_87780.1	SBOV2_61180.1, SBOV2_61180.2, SBOV2_61180.3, SBOV2_61180.4, SBOV2_61180.5
OG0003142	TREG1_104730.1	SBOV2_75620.1
OG0003143	TREG1_101980.1, TREG1_101980.2	SBOV2_74830.1, SBOV2_74830.2
OG0003144	TREG1_43740.1	SBOV2_28500.3, SBOV2_28500.1, SBOV2_28500.2
OG0003145	TREG1_22470.3, TREG1_22470.1, TREG1_22470.2	SBOV2_19340.1, SBOV2_19340.3, SBOV2_19340.2
OG0003146	TREG1_89040.1	SBOV2_64380.1
OG0003147	TREG1_72540.1, TREG1_72540.2	SBOV2_48610.1
OG0003148	TREG1_131210.2, TREG1_131210.1, TREG1_131210.3, TREG1_131210.4	SBOV2_91990.1
OG0003149	TREG1_76400.1	SBOV2_55460.1
OG0003150	TREG1_108390.1	SBOV2_77890.1, SBOV2_77890.2
OG0003151	TREG1_61970.1	SBOV2_49310.1
OG0003152	TREG1_47330.1, TREG1_47330.2, TREG1_47330.3, TREG1_47330.4, TREG1_47330.5	SBOV2_30470.1
