Orthogroup	trichobilharzia_regenti	schistosoma_intercalatum
OG0003443	TREG1_83500.1	SINT1_58610.1, SINT1_58590.1
OG0003444	TREG1_101580.1	SINT1_10920.1
OG0003445	TREG1_31060.1, TREG1_31070.1, TREG1_31080.1	SINT1_44830.1, SINT1_44830.3, SINT1_44830.2
OG0003446	TREG1_36850.1	SINT1_35080.1
OG0003447	TREG1_17220.1	SINT1_5430.1
OG0003448	TREG1_99430.2, TREG1_99430.1, TREG1_99430.3	SINT1_69210.1
OG0003449	TREG1_99420.1	SINT1_69220.1
OG0003450	TREG1_90340.1	SINT1_65380.1, SINT1_65380.2
OG0003451	TREG1_117900.1	SINT1_83970.3, SINT1_83970.1, SINT1_83970.2
OG0003453	TREG1_57700.1	SINT1_43390.1, SINT1_43390.2
OG0003454	TREG1_53890.1	SINT1_34250.1
OG0003455	TREG1_84370.1	SINT1_61480.1, SINT1_61480.2, SINT1_61480.3, SINT1_61480.4
OG0003456	TREG1_1180.1	SINT1_8240.2, SINT1_8240.1
OG0003457	TREG1_34330.3, TREG1_34330.2, TREG1_34330.1, TREG1_34330.4	SINT1_38070.1, SINT1_38070.2
OG0003458	TREG1_44990.1, TREG1_44990.2	SINT1_39210.2, SINT1_39210.4, SINT1_39210.1, SINT1_39210.3
OG0003459	TREG1_106760.1, TREG1_139570.1, TREG1_139690.3, TREG1_139700.1, TREG1_139690.1, TREG1_139690.2	SINT1_72850.1
OG0003460	TREG1_31790.1	SINT1_44490.1
OG0003461	TREG1_110390.1, TREG1_110400.1, TREG1_110410.1, TREG1_110420.1, TREG1_110430.1	SINT1_82880.1, SINT1_82880.2, SINT1_82880.3
OG0003462	TREG1_41500.1	SINT1_39590.1
OG0003463	TREG1_114260.1, TREG1_114270.1	SINT1_83580.1
OG0003464	TREG1_111680.1	SINT1_80120.1
OG0003465	TREG1_88540.1	SINT1_62610.1
OG0003466	TREG1_2800.1	SINT1_10080.1
OG0003467	TREG1_100380.1	SINT1_75990.1
OG0003468	TREG1_136120.1, TREG1_136120.2	SINT1_67840.1
OG0003469	TREG1_74650.1, TREG1_74650.2	SINT1_50470.3, SINT1_50470.1, SINT1_50470.2, SINT1_50470.5, SINT1_50470.4
OG0003470	TREG1_70070.1	SINT1_52140.1
OG0003471	TREG1_62830.1	SINT1_45950.1
OG0003472	TREG1_11740.1, TREG1_11740.4, TREG1_11740.5, TREG1_11740.2, TREG1_11740.3	SINT1_9060.1
OG0003473	TREG1_108600.1, TREG1_108610.1	SINT1_76690.1, SINT1_76690.2
OG0003474	TREG1_73680.1, TREG1_73680.2	SINT1_56480.1
OG0003475	TREG1_60360.2, TREG1_60360.1, TREG1_60360.3, TREG1_60360.4	SINT1_24550.1, SINT1_24550.2, SINT1_24550.3
OG0003476	TREG1_42350.4, TREG1_42350.3, TREG1_42350.1, TREG1_42350.2	SINT1_42770.1
OG0003477	TREG1_126050.1	SINT1_87770.1
OG0003478	TREG1_16810.1, TREG1_16810.2, TREG1_16810.3, TREG1_16810.4	SINT1_6270.1
OG0003479	TREG1_38230.1	SINT1_28080.1, SINT1_28080.2, SINT1_28080.3
OG0003480	TREG1_92080.1, TREG1_92140.1	SINT1_67150.1
OG0003481	TREG1_87800.1	SINT1_61310.1, SINT1_61310.2
OG0003482	TREG1_120970.1, TREG1_120970.3, TREG1_120970.2	SINT1_86120.1, SINT1_86120.2
OG0003483	TREG1_48140.1	SINT1_30460.1, SINT1_30460.2, SINT1_30460.3
OG0003484	TREG1_10210.1, TREG1_10210.2, TREG1_10210.3, TREG1_10210.4	SINT1_4250.1
OG0003485	TREG1_117750.1, TREG1_117760.1	SINT1_82090.1, SINT1_82100.1
OG0003486	TREG1_57550.8, TREG1_57550.2, TREG1_57550.3, TREG1_57550.6, TREG1_57550.10, TREG1_57550.5, TREG1_57550.1, TREG1_57550.4, TREG1_57550.7, TREG1_57550.11, TREG1_57550.9	SINT1_41360.1
OG0003488	TREG1_27060.2, TREG1_27060.1, TREG1_27060.3	SINT1_11720.2, SINT1_11720.1, SINT1_11720.3
OG0003489	TREG1_97290.1	SINT1_75570.3, SINT1_75570.5, SINT1_75570.4, SINT1_75570.2, SINT1_75570.1
OG0003490	TREG1_11200.1	SINT1_8950.2, SINT1_8950.3, SINT1_8950.4, SINT1_8950.1
OG0003491	TREG1_53620.1	SINT1_34070.2
OG0003492	TREG1_83190.1	SINT1_60690.3, SINT1_60690.1, SINT1_60690.2, SINT1_60690.4
OG0003493	TREG1_128550.1, TREG1_128600.1	SINT1_90200.1
OG0003494	TREG1_130710.1	SINT1_91470.1, SINT1_91470.2
OG0003495	TREG1_5260.1	SINT1_4050.2, SINT1_4050.1, SINT1_4050.3
OG0003496	TREG1_48110.1	SINT1_30420.1
OG0003497	TREG1_65490.1, TREG1_65470.1, TREG1_65480.1, TREG1_79950.1	SINT1_55440.1, SINT1_55440.2
OG0003498	TREG1_96700.2, TREG1_96700.4, TREG1_96700.1, TREG1_96700.3	SINT1_69440.1
OG0003499	TREG1_81360.1, TREG1_81360.2	SINT1_61810.1, SINT1_61810.2
OG0003500	TREG1_87690.1	SINT1_62990.1
OG0003501	TREG1_102510.1, TREG1_102510.2, TREG1_102510.3, TREG1_102510.5, TREG1_102510.4	SINT1_76290.1
OG0003502	TREG1_119820.1, TREG1_119820.2	SINT1_86200.1, SINT1_86200.2
OG0003503	TREG1_5330.1	SINT1_5760.1, SINT1_5760.2
OG0003504	TREG1_41660.1	SINT1_95410.1, SINT1_95410.2, SINT1_95380.1, SINT1_95380.2, SINT1_95380.3
OG0003505	TREG1_70590.1	SINT1_51100.1
OG0003506	TREG1_6430.1	SINT1_1030.3, SINT1_1030.1, SINT1_1030.2
OG0003507	TREG1_5230.1	SINT1_4060.1
OG0003508	TREG1_89110.1, TREG1_89110.2	SINT1_64310.1, SINT1_64310.2, SINT1_64310.3
OG0003509	TREG1_40690.1, TREG1_40690.2	SINT1_44000.1
OG0003510	TREG1_18330.1, TREG1_18330.2, TREG1_18330.3, TREG1_18330.4	SINT1_1010.1, SINT1_1010.2
OG0003511	TREG1_81420.1, TREG1_81420.2, TREG1_81420.3	SINT1_64220.1
OG0003512	TREG1_114900.1	SINT1_81360.1
OG0003513	TREG1_100590.1	SINT1_74610.1
OG0003514	TREG1_50230.1	SINT1_29010.1
OG0003515	TREG1_133480.1, TREG1_133480.2, TREG1_133480.3	SINT1_92320.1
OG0003516	TREG1_68720.1, TREG1_68720.2, TREG1_68720.3	SINT1_50880.2, SINT1_50880.1
OG0003517	TREG1_139760.1, TREG1_139770.1, TREG1_139780.3, TREG1_139780.2, TREG1_139780.1	SINT1_93860.1, SINT1_93860.2
OG0003518	TREG1_119910.1	SINT1_85170.1, SINT1_85170.3, SINT1_85170.2
OG0003519	TREG1_40070.1	SINT1_37700.1, SINT1_37700.2
OG0003520	TREG1_79160.6, TREG1_79160.7, TREG1_79190.1, TREG1_79160.8	SINT1_57630.1, SINT1_57630.2
OG0003521	TREG1_13930.1, TREG1_13930.2, TREG1_13930.3	SINT1_11910.2, SINT1_11910.3, SINT1_11910.4, SINT1_11910.1, SINT1_11910.5, SINT1_11910.6
OG0003523	TREG1_75110.1	SINT1_54590.1, SINT1_54590.2, SINT1_54590.3
OG0003524	TREG1_85150.1	SINT1_61730.1
OG0003525	TREG1_6510.1	SINT1_3310.1, SINT1_3310.2
OG0003526	TREG1_49360.1	SINT1_30150.1
OG0003527	TREG1_107570.1	SINT1_78510.1, SINT1_78510.2
OG0003528	TREG1_7430.1	SINT1_630.1
OG0003529	TREG1_56090.1	SINT1_42180.1
OG0003530	TREG1_89450.1	SINT1_65770.1, SINT1_65770.2, SINT1_65770.3
OG0003531	TREG1_8830.1, TREG1_8840.1	SINT1_10770.1
OG0003532	TREG1_4340.1	SINT1_8300.1
OG0003533	TREG1_68380.1, TREG1_68380.2	SINT1_48310.1, SINT1_48310.2
OG0003534	TREG1_125270.1, TREG1_125270.3, TREG1_125270.2	SINT1_85890.1, SINT1_85890.2
OG0003535	TREG1_133220.1	SINT1_94650.1
OG0003536	TREG1_86610.1	SINT1_60740.1
OG0003537	TREG1_81790.1, TREG1_81790.2	SINT1_59030.1
OG0003538	TREG1_24170.1	SINT1_22370.1
OG0003539	TREG1_100300.1, TREG1_100300.2	SINT1_75870.2, SINT1_75870.1, SINT1_75870.4, SINT1_75870.3
OG0003540	TREG1_9780.2, TREG1_9780.3, TREG1_9780.1, TREG1_9780.4	SINT1_4270.1
OG0003541	TREG1_122000.1	SINT1_84710.1
OG0003542	TREG1_89930.1	SINT1_63650.1, SINT1_63650.2
OG0003543	TREG1_66100.1	SINT1_49520.1
OG0003544	TREG1_69180.10, TREG1_69180.11, TREG1_69180.7, TREG1_69180.8, TREG1_69280.1, TREG1_69180.9	SINT1_48490.1
OG0003545	TREG1_14880.1, TREG1_14880.2	SINT1_19690.1, SINT1_19690.2, SINT1_19690.3
OG0003547	TREG1_19590.1, TREG1_19590.2	SINT1_7640.1, SINT1_7640.2
OG0003548	TREG1_29280.1, TREG1_29210.1, TREG1_29290.1	SINT1_96290.1
OG0003549	TREG1_124600.1	SINT1_86500.1
OG0003550	TREG1_39790.1	SINT1_37490.1, SINT1_37490.2
OG0003551	TREG1_89320.1	SINT1_63900.1
OG0003552	TREG1_79050.1	SINT1_57700.3, SINT1_57700.1, SINT1_57700.2
OG0003553	TREG1_9750.1, TREG1_9750.2	SINT1_10000.1
OG0003554	TREG1_94630.1	SINT1_68590.1, SINT1_68590.2, SINT1_68590.3
OG0003555	TREG1_104700.1	SINT1_75380.1, SINT1_75380.2
OG0003556	TREG1_83260.4, TREG1_83260.5, TREG1_83260.1, TREG1_83260.6, TREG1_83260.2, TREG1_83260.3	SINT1_60670.3, SINT1_60670.1, SINT1_60670.2
OG0003557	TREG1_63890.1	SINT1_46610.1
OG0003558	TREG1_80060.1	SINT1_57990.1
OG0003559	TREG1_113140.1, TREG1_113140.2	SINT1_80600.1
OG0003560	TREG1_86370.1, TREG1_25230.1, TREG1_25230.2	SINT1_62460.1, SINT1_62460.2
OG0003562	TREG1_88580.1, TREG1_88600.1, TREG1_88610.1	SINT1_63640.1
OG0003563	TREG1_78420.1	SINT1_58340.1, SINT1_58350.1
OG0003564	TREG1_55150.1, TREG1_55150.2	SINT1_31620.1, SINT1_31620.2, SINT1_31620.3
OG0003565	TREG1_33520.1	SINT1_27070.1
OG0003566	TREG1_4980.3, TREG1_4980.4, TREG1_4980.1, TREG1_4980.5, TREG1_4980.2	SINT1_5190.5, SINT1_5190.2, SINT1_5190.1, SINT1_5190.3, SINT1_5190.4
OG0003567	TREG1_23310.1, TREG1_23370.1	SINT1_12220.1
OG0003568	TREG1_1230.1, TREG1_1230.2	SINT1_2640.1, SINT1_2640.2, SINT1_2640.3
OG0003569	TREG1_8620.1, TREG1_8620.2	SINT1_6400.1
OG0003571	TREG1_19230.2, TREG1_19230.3, TREG1_19230.4, TREG1_19230.6, TREG1_19190.1, TREG1_19210.1, TREG1_19220.1, TREG1_19230.5, TREG1_19230.1	SINT1_3400.1, SINT1_3410.1
OG0003572	TREG1_91410.1	SINT1_66900.1, SINT1_66500.1, SINT1_66890.1
OG0003577	TREG1_129580.1, TREG1_30900.1	SINT1_44540.1
OG0003578	TREG1_131890.3, TREG1_131890.6, TREG1_131890.1, TREG1_131890.5, TREG1_131890.2, TREG1_131890.4, TREG1_131890.7, TREG1_131890.8, TREG1_131890.9	SINT1_93010.1
OG0003579	TREG1_56860.1	SINT1_36590.1
OG0003580	TREG1_16980.1, TREG1_16980.2, TREG1_16980.3, TREG1_16980.4, TREG1_16980.5	SINT1_15970.1
OG0003581	TREG1_57440.1, TREG1_57440.2	SINT1_41270.1
OG0003582	TREG1_79310.1, TREG1_79360.1	SINT1_57070.1
OG0003583	TREG1_19130.1	SINT1_2800.1
OG0003584	TREG1_85940.1, TREG1_85940.2	SINT1_61340.1
OG0003585	TREG1_112380.1, TREG1_112360.1	SINT1_82570.1
OG0003586	TREG1_35990.1	SINT1_45060.1
OG0003587	TREG1_7880.1, TREG1_7880.2	SINT1_11100.2, SINT1_11100.1, SINT1_11100.3
OG0003588	TREG1_22960.1, TREG1_22960.2, TREG1_22960.3, TREG1_22960.4, TREG1_22960.5	SINT1_16290.2, SINT1_16290.1
OG0003589	TREG1_100010.1	SINT1_70400.1
OG0003590	TREG1_16780.1	SINT1_6250.1
OG0003591	TREG1_81670.1	SINT1_58930.1
OG0003592	TREG1_102520.1	SINT1_72580.1, SINT1_72580.2
OG0003593	TREG1_44620.1, TREG1_44620.2, TREG1_44620.3, TREG1_44620.4	SINT1_33430.1
OG0003594	TREG1_27800.3, TREG1_27800.1, TREG1_27800.4, TREG1_27800.2	SINT1_15590.1, SINT1_15590.2
OG0003595	TREG1_118070.1	SINT1_84070.1
OG0003596	TREG1_66860.2, TREG1_66860.3, TREG1_66860.1, TREG1_66860.4	SINT1_52770.1
OG0003597	TREG1_98920.1	SINT1_72210.3, SINT1_72210.1, SINT1_72210.2
OG0003598	TREG1_51910.1	SINT1_36230.1
OG0003599	TREG1_16580.1, TREG1_16580.4, TREG1_16580.2, TREG1_16580.3	SINT1_13420.1
OG0003600	TREG1_4010.1, TREG1_4010.2, TREG1_4010.3	SINT1_5180.1
OG0003601	TREG1_60150.1, TREG1_60130.1, TREG1_60120.1, TREG1_60140.1	SINT1_27660.1
OG0003602	TREG1_85740.3, TREG1_85800.1, TREG1_85740.4	SINT1_64240.1, SINT1_64240.2
OG0003603	TREG1_95720.1, TREG1_95720.2, TREG1_43440.1, TREG1_95720.3	SINT1_70310.1
OG0003605	TREG1_125180.1, TREG1_142720.1, TREG1_142720.2, TREG1_142720.3	SINT1_16580.1
OG0003606	TREG1_43560.1	SINT1_34320.1, SINT1_34320.2, SINT1_34320.3, SINT1_34320.4, SINT1_34320.5, SINT1_34320.6
OG0003607	TREG1_21000.1, TREG1_21000.2, TREG1_21000.5, TREG1_21000.3, TREG1_21000.4, TREG1_21000.6	SINT1_15130.1, SINT1_15130.2
OG0003608	TREG1_44490.1	SINT1_36160.1
OG0003609	TREG1_33380.1	SINT1_24640.1, SINT1_24640.2
OG0003610	TREG1_124230.1, TREG1_49480.1	SINT1_86930.1
OG0003611	TREG1_73500.1, TREG1_73520.1	SINT1_53970.1, SINT1_53970.2
OG0003612	TREG1_84190.1, TREG1_84190.4, TREG1_84190.2, TREG1_84190.3	SINT1_59060.1
OG0003613	TREG1_90740.1	SINT1_67630.1
OG0003614	TREG1_81740.1	SINT1_58870.1
OG0003615	TREG1_41690.1, TREG1_41690.2	SINT1_38960.1
OG0003616	TREG1_13760.1	SINT1_17770.1
OG0003617	TREG1_81300.1	SINT1_60290.1
OG0003618	TREG1_58980.1	SINT1_24450.1
OG0003619	TREG1_7320.1, TREG1_7320.2	SINT1_10510.1, SINT1_10510.2
OG0003620	TREG1_71900.1	SINT1_48880.1
OG0003621	TREG1_70810.1	SINT1_54020.1, SINT1_54020.2, SINT1_54020.3, SINT1_54020.4
OG0003622	TREG1_99570.1	SINT1_69790.1
OG0003623	TREG1_61930.1	SINT1_49860.1, SINT1_49860.2, SINT1_49860.3
OG0003624	TREG1_15210.4, TREG1_15210.5	SINT1_12020.1
OG0003625	TREG1_122120.1, TREG1_122120.2	SINT1_84660.1
OG0003626	TREG1_117980.1	SINT1_84130.1
OG0003627	TREG1_116750.2, TREG1_116750.3, TREG1_116750.4, TREG1_116750.1	SINT1_83910.1
OG0003629	TREG1_25480.1	SINT1_7340.1
OG0003630	TREG1_45480.3, TREG1_45480.2, TREG1_45480.1	SINT1_35820.1
OG0003631	TREG1_108280.1, TREG1_108290.1	SINT1_77490.1, SINT1_77490.2, SINT1_77490.3, SINT1_77490.4
OG0003632	TREG1_89280.1, TREG1_89280.2	SINT1_63950.1, SINT1_63950.2
OG0003633	TREG1_75690.1, TREG1_75710.1, TREG1_75710.2	SINT1_53200.1
OG0003634	TREG1_102600.1	SINT1_76790.1
OG0003635	TREG1_106550.1	SINT1_75330.1
OG0003636	TREG1_106800.1, TREG1_106800.2	SINT1_72880.1, SINT1_72880.2
OG0003637	TREG1_91330.1	SINT1_66930.1
OG0003638	TREG1_69680.1	SINT1_53870.2, SINT1_53870.1, SINT1_53870.4, SINT1_53870.3, SINT1_53850.1
OG0003639	TREG1_69670.1, TREG1_69670.2	SINT1_53880.1, SINT1_53880.2
OG0003640	TREG1_7380.1	SINT1_4750.1, SINT1_4750.4, SINT1_4750.2, SINT1_4750.3
OG0003641	TREG1_100570.1, TREG1_100570.2	SINT1_74560.1
OG0003642	TREG1_75940.1	SINT1_56300.2, SINT1_56300.1
OG0003643	TREG1_104850.1	SINT1_71480.1
OG0003644	TREG1_20950.1, TREG1_20950.2, TREG1_20950.3, TREG1_20950.4, TREG1_20950.5, TREG1_20950.6, TREG1_20950.7, TREG1_20950.8, TREG1_20950.9	SINT1_15110.1, SINT1_15110.2
OG0003645	TREG1_72240.1	SINT1_47060.1
OG0003646	TREG1_67610.1	SINT1_53410.2, SINT1_53410.5, SINT1_53410.1, SINT1_53410.3, SINT1_53410.4
OG0003647	TREG1_23250.1	SINT1_15450.1
OG0003648	TREG1_2690.1, TREG1_2730.1	SINT1_10140.1
OG0003649	TREG1_44770.1	SINT1_38570.1, SINT1_38570.2
OG0003650	TREG1_24790.1	SINT1_15510.1
OG0003651	TREG1_74590.1, TREG1_74590.2	SINT1_50450.1, SINT1_50450.2
OG0003652	TREG1_70790.1	SINT1_54000.1
OG0003653	TREG1_41300.1	SINT1_39780.1
OG0003654	TREG1_89670.1, TREG1_89650.1, TREG1_89660.1	SINT1_66040.1
OG0003655	TREG1_49300.1, TREG1_49300.2, TREG1_49300.3	SINT1_30190.1
OG0003656	TREG1_95260.1	SINT1_69990.1, SINT1_69990.2, SINT1_69990.3, SINT1_69990.4
OG0003657	TREG1_240.1	SINT1_3470.1, SINT1_3470.2, SINT1_3470.3
OG0003658	TREG1_94960.1	SINT1_71500.1
OG0003659	TREG1_104360.1	SINT1_77360.1
OG0003660	TREG1_100620.1, TREG1_100620.2, TREG1_100620.3, TREG1_100620.4	SINT1_71150.1
OG0003661	TREG1_66680.2, TREG1_66680.1, TREG1_66680.3	SINT1_51930.2, SINT1_51930.1
OG0003662	TREG1_34690.1, TREG1_34690.2, TREG1_34690.3, TREG1_34690.4, TREG1_34690.5	SINT1_43920.1
OG0003663	TREG1_99290.1	SINT1_69290.1, SINT1_69290.2
OG0003664	TREG1_72970.1, TREG1_72980.1	SINT1_55410.1, SINT1_55420.1
OG0003665	TREG1_95040.1	SINT1_71600.1
OG0003666	TREG1_79260.1	SINT1_57560.4, SINT1_57560.5, SINT1_57570.1
OG0003667	TREG1_17310.1, TREG1_17310.2, TREG1_17310.3, TREG1_17310.4	SINT1_16640.1
OG0003668	TREG1_64230.1	SINT1_53770.3, SINT1_53770.2, SINT1_53770.1
OG0003669	TREG1_77200.1, TREG1_77210.1	SINT1_54900.1
OG0003670	TREG1_82910.2, TREG1_82910.3, TREG1_82950.1	SINT1_62110.1
OG0003671	TREG1_98520.1	SINT1_74530.1, SINT1_74530.3, SINT1_74530.2, SINT1_74530.4, SINT1_74530.5, SINT1_74530.6
OG0003672	TREG1_133920.1	SINT1_92420.1
OG0003673	TREG1_123880.1	SINT1_86420.1
OG0003674	TREG1_53750.1, TREG1_53740.1	SINT1_34160.1, SINT1_34160.2
OG0003675	TREG1_88650.1	SINT1_63630.1, SINT1_63630.2, SINT1_63630.3
OG0003676	TREG1_132200.1	SINT1_92490.1, SINT1_92490.2
OG0003677	TREG1_107670.1	SINT1_96410.1, SINT1_96430.1, SINT1_78450.1
OG0003678	TREG1_50020.2, TREG1_50020.1, TREG1_50020.3	SINT1_31340.1
OG0003679	TREG1_31180.1, TREG1_31180.2	SINT1_44910.1, SINT1_44910.2
OG0003680	TREG1_47500.1, TREG1_47500.2	SINT1_37300.1, SINT1_37300.3, SINT1_37300.2
OG0003681	TREG1_120530.1	SINT1_85700.1, SINT1_85700.2, SINT1_85700.3
OG0003682	TREG1_98850.1	SINT1_74390.1
OG0003683	TREG1_20420.1, TREG1_20420.2, TREG1_20420.3, TREG1_20420.4	SINT1_9390.1, SINT1_9390.2, SINT1_9390.3, SINT1_9390.4, SINT1_9390.5, SINT1_9390.6, SINT1_9390.7, SINT1_9390.8
OG0003684	TREG1_47060.1	SINT1_96660.1
OG0003685	TREG1_54240.1, TREG1_54240.2	SINT1_38230.1
OG0003686	TREG1_129270.1	SINT1_89510.1, SINT1_89510.2
OG0003687	TREG1_142730.1, TREG1_125190.1, TREG1_125190.3, TREG1_142730.2, TREG1_142730.3, TREG1_142730.5, TREG1_125190.2, TREG1_142730.4	SINT1_96200.1, SINT1_96230.1
OG0003688	TREG1_114100.1	SINT1_80810.1
OG0003689	TREG1_85540.1	SINT1_62220.1
OG0003690	TREG1_77290.1, TREG1_77290.2	SINT1_54960.1, SINT1_54960.2
OG0003692	TREG1_52280.1, TREG1_52280.3, TREG1_52280.2	SINT1_38360.1, SINT1_38360.2
OG0003693	TREG1_75530.1, TREG1_75530.2	SINT1_53130.1
OG0003694	TREG1_31670.1, TREG1_31670.2, TREG1_31670.3	SINT1_23970.1, SINT1_23970.2, SINT1_23970.3
OG0003695	TREG1_89100.1	SINT1_64300.1, SINT1_64300.2
OG0003696	TREG1_99530.1	SINT1_69050.1, SINT1_69050.2
OG0003697	TREG1_12540.1, TREG1_12530.1	SINT1_1450.1
OG0003698	TREG1_55460.1	SINT1_32890.1, SINT1_32890.2, SINT1_32890.4, SINT1_32890.6, SINT1_32890.3, SINT1_32890.5
OG0003699	TREG1_53930.1	SINT1_32450.1, SINT1_32450.2
OG0003700	TREG1_62150.1	SINT1_46260.1
OG0003701	TREG1_111180.4, TREG1_111180.3, TREG1_111180.1, TREG1_111180.2	SINT1_79850.2, SINT1_79850.1, SINT1_79850.3
OG0003703	TREG1_18030.1	SINT1_12250.1
OG0003704	TREG1_54000.1, TREG1_98930.1	SINT1_33510.1, SINT1_33510.2
OG0003705	TREG1_50720.1	SINT1_34470.1, SINT1_34470.2, SINT1_34470.3, SINT1_34470.4, SINT1_34470.5, SINT1_34470.6
OG0003706	TREG1_129570.1, TREG1_129570.2	SINT1_89730.3, SINT1_89730.2, SINT1_89730.1
OG0003707	TREG1_7590.1	SINT1_4820.1
OG0003708	TREG1_88210.6, TREG1_88210.1, TREG1_88210.2, TREG1_88210.4, TREG1_88210.8, TREG1_88210.3, TREG1_88210.7, TREG1_88210.5	SINT1_61150.1
OG0003709	TREG1_11490.1	SINT1_2070.1, SINT1_2070.2
OG0003710	TREG1_44580.1	SINT1_33570.1
OG0003711	TREG1_88430.1	SINT1_66560.1, SINT1_66560.2
OG0003712	TREG1_16750.1	SINT1_17880.1, SINT1_17880.2, SINT1_17880.4, SINT1_17880.3
OG0003713	TREG1_120300.1	SINT1_85790.1
OG0003714	TREG1_119350.1	SINT1_87450.1, SINT1_87460.1
OG0003715	TREG1_31580.1, TREG1_31580.2	SINT1_25720.1
OG0003716	TREG1_133570.1	SINT1_91520.2, SINT1_91520.1, SINT1_91520.3
OG0003717	TREG1_105640.1	SINT1_71970.1
OG0003718	TREG1_106180.1	SINT1_76490.1
OG0003719	TREG1_69790.1	SINT1_49940.1
OG0003720	TREG1_88280.1, TREG1_88280.2, TREG1_88280.3, TREG1_88280.4	SINT1_59600.1
OG0003721	TREG1_128280.1	SINT1_90410.1, SINT1_90410.2
OG0003722	TREG1_128290.1	SINT1_90380.1, SINT1_90390.1
OG0003723	TREG1_132220.1, TREG1_132220.3, TREG1_132220.2	SINT1_91240.1, SINT1_91240.2
OG0003724	TREG1_15060.1, TREG1_15060.2, TREG1_15060.4, TREG1_15060.5, TREG1_15060.6, TREG1_15060.7, TREG1_15060.8, TREG1_15060.3	SINT1_19740.1
OG0003725	TREG1_18500.5, TREG1_18500.1, TREG1_18500.2, TREG1_18500.3, TREG1_18500.4	SINT1_5630.1
OG0003726	TREG1_71220.1, TREG1_71220.2	SINT1_54300.1
OG0003727	TREG1_47260.1, TREG1_47260.2	SINT1_29080.1
OG0003728	TREG1_22170.1	SINT1_20290.1
OG0003729	TREG1_11630.10, TREG1_11630.9, TREG1_11630.11, TREG1_11630.2, TREG1_11630.3, TREG1_11630.4, TREG1_11630.5, TREG1_11630.7, TREG1_11630.6, TREG1_11630.1, TREG1_11630.8	SINT1_9180.1
OG0003730	TREG1_66070.1, TREG1_66070.2	SINT1_49720.2, SINT1_49720.3, SINT1_49720.1, SINT1_49720.4, SINT1_49720.5
OG0003731	TREG1_115010.1	SINT1_81440.1, SINT1_81440.2, SINT1_81440.3
OG0003732	TREG1_111990.1, TREG1_111990.2	SINT1_80270.1
OG0003733	TREG1_26280.1	SINT1_7260.1, SINT1_7260.2
OG0003734	TREG1_4870.1, TREG1_4870.2, TREG1_4870.3, TREG1_4870.4, TREG1_4870.5, TREG1_4870.6	SINT1_3620.1
OG0003735	TREG1_18680.1	SINT1_5050.1
OG0003736	TREG1_94340.1	SINT1_68570.1, SINT1_68570.6, SINT1_68570.5, SINT1_68570.2, SINT1_68570.4, SINT1_68570.3
OG0003737	TREG1_99790.1	SINT1_1270.4, SINT1_1270.1, SINT1_1270.3, SINT1_1270.2
OG0003738	TREG1_34480.1	SINT1_43800.1
OG0003739	TREG1_66030.1	SINT1_49680.1
OG0003740	TREG1_33550.1	SINT1_27040.1
OG0003741	TREG1_73780.10, TREG1_73780.1, TREG1_73780.2, TREG1_73780.7, TREG1_73780.8, TREG1_73780.9, TREG1_73780.6, TREG1_73780.3, TREG1_73780.4, TREG1_73780.5	SINT1_53370.1
OG0003742	TREG1_83430.3, TREG1_83430.2, TREG1_83430.4, TREG1_83430.1, TREG1_83440.1	SINT1_59120.1
OG0003743	TREG1_86330.1, TREG1_86330.2	SINT1_63530.1
OG0003744	TREG1_51170.1	SINT1_31460.1
OG0003745	TREG1_45270.1	SINT1_30880.1
OG0003747	TREG1_54490.1	SINT1_24860.1, SINT1_24860.2, SINT1_24860.4, SINT1_24860.3
OG0003748	TREG1_6450.1, TREG1_6460.1, TREG1_6460.3, TREG1_6460.5, TREG1_6460.2, TREG1_6460.4, TREG1_6460.6	SINT1_3360.1
OG0003749	TREG1_24260.3, TREG1_24260.1, TREG1_24260.2, TREG1_24260.4	SINT1_21680.3, SINT1_21680.4, SINT1_21680.1, SINT1_21680.2
OG0003750	TREG1_108800.1	SINT1_78420.1
OG0003751	TREG1_116930.1, TREG1_116930.3, TREG1_116930.2	SINT1_84230.1
OG0003752	TREG1_50730.1, TREG1_50730.4, TREG1_50730.5, TREG1_50730.2, TREG1_50730.3	SINT1_34460.1, SINT1_34460.2
OG0003753	TREG1_26600.1, TREG1_26600.2, TREG1_26600.3, TREG1_26600.4, TREG1_26600.5	SINT1_21850.1
OG0003754	TREG1_112520.1	SINT1_79460.1, SINT1_79460.2, SINT1_79460.3
OG0003755	TREG1_108940.4, TREG1_108940.1, TREG1_108940.2, TREG1_108940.3	SINT1_2200.1, SINT1_2200.2
OG0003756	TREG1_17910.1	SINT1_89390.1
OG0003757	TREG1_33830.1	SINT1_41450.1, SINT1_41450.2, SINT1_41450.3
OG0003758	TREG1_55450.1	SINT1_32880.1
OG0003759	TREG1_90510.1	SINT1_67720.1
OG0003760	TREG1_36970.1	SINT1_41690.1, SINT1_41690.3, SINT1_41690.2
OG0003761	TREG1_65810.1, TREG1_65810.2, TREG1_65810.3, TREG1_65810.5, TREG1_65810.4	SINT1_49770.1
OG0003762	TREG1_122420.1	SINT1_86870.1
OG0003763	TREG1_57530.1	SINT1_41350.1
